duration,trust,placebo1,private,community,placebo2,coproduce,mc,sex,race,age,ideology,income,education,at,gw,gwh,rand,DV_DO,mcpass,atpass,mcatpass,trustprime,climatebelief,climatebelief_scale,white,black,hispanic,asian,other
270,85,92,100,88,82,90,1,0,black,32,1,4,6,80,-1,1,Control,dv|private|placebo2|placebo|community,0,1,0,1,0,-1.384357745,0,1,0,0,0
265,71,42,55,63,60,62,2,0,hispanic,44,2,3,5,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,0,0,1,0,0
148,31,60,80,90,60,50,4,0,white,55,4,5,5,80,1,0,Control,dv|placebo2|placebo|private|community,1,1,1,1,0.5,-0.421115818,1,0,0,0,0
145,20,52,61,100,100,92,1,1,white,29,1,1,3,80,1,1,Corrupt,dv|placebo|placebo2|private|community,1,1,1,0,1,0.54212611,1,0,0,0,0
79,20,48,36,43,56,62,1,0,asian,29,2,6,5,80,1,1,Corrupt,dv|community|private|placebo2|placebo,1,1,1,0,1,0.54212611,0,0,0,1,0
223,95,0,30,100,100,60,4,1,white,48,1,5,5,80,1,1,Control,dv|placebo|placebo2|community|private,1,1,1,1,1,0.54212611,1,0,0,0,0
164,82,61,80,92,100,81,4,1,white,42,2,3,5,80,1,1,Control,dv|placebo2|placebo|community|private,1,1,1,1,1,0.54212611,1,0,0,0,0
283,20,30,60,100,100,100,1,1,black,37,2,2,6,80,1,1,Corrupt,dv|placebo2|placebo|private|community,1,1,1,0,1,0.54212611,0,1,0,0,0
37,47,47,48,49,47,46,2,0,white,28,4,2,2,80,-1,-1,Honest,dv|private|placebo2|community|placebo,1,1,1,2,-1,-3.310841601,1,0,0,0,0
257,81,44,72,71,78,79,2,1,white,63,2,4,8,80,1,1,Honest,dv|community|private|placebo|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
264,65,55,47,68,100,78,2,1,white,23,2,1,3,80,1,1,Honest,dv|private|placebo|community|placebo2,1,1,1,2,1,0.54212611,1,0,0,0,0
167,8,74,65,72,76,81,1,0,white,40,1,2,5,80,1,1,Corrupt,dv|private|community|placebo|placebo2,1,1,1,0,1,0.54212611,1,0,0,0,0
172,49,50,51,100,100,100,4,1,white,36,1,1,3,80,1,1,Control,dv|community|private|placebo|placebo2,1,1,1,1,1,0.54212611,1,0,0,0,0
167,60,25,72,84,90,40,4,0,white,30,3,6,5,80,1,1,Control,dv|placebo2|community|placebo|private,1,1,1,1,1,0.54212611,1,0,0,0,0
124,70,99,70,80,100,76,4,1,white,25,2,2,5,80,1,1,Control,dv|placebo|private|community|placebo2,1,1,1,1,1,0.54212611,1,0,0,0,0
207,80,60,90,90,80,70,2,0,white,26,4,5,5,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
209,30,50,80,80,70,70,1,1,asian,31,2,4,3,80,1,1,Corrupt,dv|community|placebo|private|placebo2,1,1,1,0,1,0.54212611,0,0,0,1,0
176,84,77,92,80,100,88,2,0,black,40,5,4,6,80,1,1,Control,dv|community|private|placebo|placebo2,0,1,0,1,1,0.54212611,0,1,0,0,0
141,0,0,0,0,0,0,1,0,white,49,5,4,3,80,-1,-1,Corrupt,dv|placebo|placebo2|private|community,1,1,1,0,-1,-3.310841601,1,0,0,0,0
128,97,51,47,71,100,50,2,0,asian,25,3,5,3,80,-1,0,Honest,dv|placebo2|placebo|community|private,1,1,1,2,-0.5,-2.347599673,0,0,0,1,0
61,91,78,100,79,100,91,1,0,white,30,3,4,5,90,1,1,Honest,dv|placebo|private|community|placebo2,0,0,0,2,1,0.54212611,1,0,0,0,0
183,68,69,42,58,59,62,2,0,white,30,3,5,5,80,1,0,Corrupt,dv|placebo|community|private|placebo2,0,1,0,0,0.5,-0.421115818,1,0,0,0,0
208,78,82,87,91,84,89,2,0,white,29,2,4,5,80,1,1,Corrupt,dv|placebo2|private|placebo|community,0,1,0,0,1,0.54212611,1,0,0,0,0
212,86,76,91,81,69,92,2,0,black,28,4,4,6,80,1,0,Corrupt,dv|placebo2|private|placebo|community,0,1,0,0,0.5,-0.421115818,0,1,0,0,0
338,69,54,76,79,55,91,4,1,white,43,2,2,4,80,1,1,Honest,dv|private|placebo|placebo2|community,0,1,0,2,1,0.54212611,1,0,0,0,0
135,30,70,60,85,75,76,4,0,white,31,2,3,5,80,1,1,Control,dv|placebo2|community|private|placebo,1,1,1,1,1,0.54212611,1,0,0,0,0
258,85,40,75,80,90,75,2,1,white,48,4,1,5,80,1,1,Honest,dv|placebo2|private|placebo|community,1,1,1,2,1,0.54212611,1,0,0,0,0
229,79,86,82,70,82,95,2,0,white,46,4,5,5,80,1,1,Corrupt,dv|community|placebo|placebo2|private,0,1,0,0,1,0.54212611,1,0,0,0,0
111,6,59,83,93,100,81,1,1,white,31,2,2,4,80,1,1,Corrupt,dv|placebo2|community|private|placebo,1,1,1,0,1,0.54212611,1,0,0,0,0
