fip,age,race,year,sex,totcase,totpop,rate,totrate,id,ir,crack,alcohol,income,ur,poverty,black,perc1519,perc,repeal,aids,aidscapita,ac,acc,trend,tsq,blk,wht,male,female,lnr,t,younger,fa,pi,wm15,wf15,bm15,bf15
1.0,15.0,2.0,1998.0,2,2784.0,109608,3138.5,2540.0,14.0,318.49408,1.657981,1.85,22025.0,3.8833334,14.5,26.04061,7.493403,7.49340295791626,0.0,189.0,4.29087,1081.0,24.9162,14.0,196.0,1.0,0.0,0.0,1.0,8.0515,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,1999.0,2,2124.0,108008,2402.6,1966.5,14.0,338.70895,1.549075,1.87,22722.0,4.275,15.2,26.114248,7.3990645,7.399064540863037,0.0,162.0,3.6567686,880.0,20.124823,15.0,225.0,1.0,0.0,0.0,1.0,7.784307,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,15.0,2.0,2000.0,2,2220.0,105088,2608.6,2112.5,14.0,358.92383,0.8435713,1.88,23764.0,4.0666666,13.3,26.112545,7.2434816,7.243481636047363,0.0,175.0,3.9308398,715.0,16.205465,16.0,256.0,1.0,0.0,0.0,1.0,7.866569,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1985.0,2,25.0,1746,1984.1,1431.8,38.0,254.10478,-0.0097914,3.78,20321.0,9.658333,8.7,4.1232896,7.45748,7.457479953765869,1.0,7.0,1.3142258,7.0,1.3142258,1.0,1.0,1.0,0.0,0.0,1.0,7.592921,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1986.0,2,34.0,1772,2607.6,1918.7,38.0,304.92572,1.481591,3.51,19807.0,11.025,11.4,4.1010456,7.40738,7.407380104064941,1.0,12.0,2.204468,19.0,3.518694,2.0,4.0,1.0,0.0,0.0,1.0,7.8661857,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1987.0,2,27.0,1730,1869.2,1560.7,38.0,355.7467,1.612426,3.46,19357.0,10.166667,12.0,4.0734906,7.298059,7.298058986663818,1.0,6.0,1.1123676,25.0,4.6310616,3.0,9.0,1.0,0.0,0.0,1.0,7.5332656,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1988.0,2,23.0,1705,2032.5,1349.0,38.0,406.56766,1.976441,3.32,19907.0,8.741667,11.0,4.0493746,7.1556787,7.155678749084473,1.0,7.0,1.2913723,32.0,5.922434,4.0,16.0,1.0,0.0,0.0,1.0,7.617022,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1989.0,2,37.0,1672,2762.4,2212.9,38.0,457.38858,1.154805,3.27,21628.0,6.9333334,10.5,4.0262814,6.95324,6.953239917755127,1.0,11.0,2.0103993,36.0,6.6186075,5.0,25.0,1.0,0.0,0.0,1.0,7.9238553,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1990.0,2,59.0,1630,4782.6,3619.6,38.0,508.20956,-1.166012,3.33,22804.0,7.0583334,11.4,3.9256086,6.837102,6.837101936340332,1.0,10.0,1.8073704,34.0,6.22151,6.0,36.0,1.0,0.0,0.0,1.0,8.472739,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1991.0,2,25.0,1660,1920.4,1506.0,38.0,482.22836,-0.3411266,3.11,23161.0,8.266666,11.8,3.8576412,6.8573275,6.857327461242676,1.0,19.0,3.332205,47.0,8.441347,7.0,49.0,1.0,0.0,0.0,1.0,7.560289,7.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1992.0,2,40.0,1872,2253.9,2136.8,38.0,456.24713,-0.9158392,3.02,23786.0,8.95,10.2,4.014533,6.959486,6.95948600769043,1.0,17.0,2.887542,57.0,10.037517,8.0,64.0,1.0,0.0,0.0,1.0,7.7204175,8.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1993.0,2,42.0,1993,1884.7,2107.4,38.0,430.2659,-0.1204929,2.55,24538.0,7.6666665,9.1,4.2343416,7.015141,7.015141010284424,1.0,27.0,4.504264,73.0,12.531382,9.0,81.0,1.0,0.0,0.0,1.0,7.541524,9.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1994.0,2,49.0,1951,2335.9,2511.5,38.0,404.28473,0.32895,3.03,25050.0,7.508333,10.2,4.1197863,7.1295257,7.129525661468506,1.0,31.0,5.138337,94.0,15.862349,10.0,100.0,1.0,0.0,0.0,1.0,7.7561526,10.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1995.0,2,25.0,1887,1473.9,1324.9,38.0,378.3035,1.888664,2.86,25504.0,7.0916667,7.1,3.8907235,7.267228,7.267228126525879,1.0,29.0,4.798052,104.0,17.328196,11.0,121.0,1.0,0.0,0.0,1.0,7.295667,11.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1996.0,2,9.0,1890,461.4,476.2,38.0,352.3223,2.147274,2.63,25805.0,7.4583335,8.2,3.7869165,7.4640675,7.464067459106445,1.0,27.0,4.4366374,114.0,18.87729,12.0,144.0,1.0,0.0,0.0,1.0,6.1342654,12.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1997.0,2,17.0,1945,877.2,874.0,38.0,326.3411,1.042536,2.56,26759.0,7.05,8.8,3.8871524,7.6646743,7.664674282073975,1.0,14.0,2.2839692,101.0,16.656996,13.0,169.0,1.0,0.0,0.0,1.0,6.776735,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1998.0,2,12.0,2119,601.8,566.3,38.0,300.35986,-0.5315719,2.74,27560.0,6.116667,9.4,3.9715645,7.881187,7.8811869621276855,1.0,6.0,0.96784806,76.0,12.486506,14.0,196.0,1.0,0.0,0.0,1.0,6.399925,14.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,1999.0,2,9.0,2070,302.4,434.8,38.0,274.37866,3.174866,2.82,28100.0,6.1583333,7.6,3.9831684,7.9599347,7.959934711456299,1.0,14.0,2.2407923,61.0,9.929247,15.0,225.0,1.0,0.0,0.0,1.0,5.7117505,15.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
2.0,15.0,2.0,2000.0,2,10.0,2125,697.2,470.6,38.0,248.39745,2.123269,2.63,29867.0,6.175,7.6,3.986312,8.118713,8.11871337890625,1.0,7.0,1.115186,41.0,6.6077957,16.0,256.0,1.0,0.0,0.0,1.0,6.5470724,16.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1985.0,2,504.0,7493,8115.9,6726.3,62.0,604.4222,0.563288,3.12,13769.0,6.3333335,10.7,2.564989,7.7164164,7.716416358947754,0.0,43.0,1.3503745,56.0,1.7741841,1.0,1.0,1.0,0.0,0.0,1.0,9.00158,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1986.0,2,523.0,7769,7754.8,6731.9,62.0,672.97095,1.376415,3.14,14427.0,6.8583336,14.3,2.5623775,7.6993732,7.699373245239258,0.0,98.0,2.9619017,154.0,4.736086,2.0,4.0,1.0,0.0,0.0,1.0,8.956067,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1987.0,2,494.0,7976,6936.1,6193.6,62.0,741.5198,1.091899,2.99,14985.0,6.45,12.8,2.5580785,7.6082,7.6082000732421875,0.0,140.0,4.0726786,294.0,8.808764,3.0,9.0,1.0,0.0,0.0,1.0,8.844495,3.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1988.0,2,492.0,8072,6915.2,6095.1,62.0,810.0686,2.088886,2.94,15627.0,6.3333335,14.1,2.554656,7.485192,7.485191822052002,0.0,209.0,5.9111333,490.0,14.296088,4.0,16.0,1.0,0.0,0.0,1.0,8.841477,4.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1989.0,2,654.0,8070,7817.1,8104.1,62.0,878.6174,1.663289,2.89,16403.0,5.266667,14.1,2.5512855,7.304398,7.304398059844971,0.0,247.0,6.819109,694.0,19.764822,5.0,25.0,1.0,0.0,0.0,1.0,8.964069,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1990.0,2,533.0,9283,4828.6,5741.7,62.0,947.16614,0.554759,2.77,17005.0,5.275,13.7,2.880543,7.1105075,7.110507488250732,0.0,300.0,8.143108,896.0,24.94603,6.0,36.0,1.0,0.0,0.0,1.0,8.482312,6.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1991.0,2,583.0,9358,5746.6,6230.0,62.0,937.89923,1.295416,2.71,17260.0,5.7333336,14.8,2.9315236,6.7880387,6.788038730621338,0.0,327.0,8.631211,1083.0,29.504562,7.0,49.0,1.0,0.0,0.0,1.0,8.6563635,7.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1992.0,2,440.0,9534,4611.0,4615.1,62.0,928.63226,1.296788,2.69,17777.0,7.3916664,15.8,2.9484339,6.678227,6.678226947784424,0.0,443.0,11.313315,1317.0,34.906746,8.0,64.0,1.0,0.0,0.0,1.0,8.4362,8.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1993.0,2,349.0,9748,3594.8,3580.2,62.0,919.3653,0.6118448,2.62,18293.0,6.383333,15.4,2.9485369,6.6825485,6.682548522949219,0.0,497.0,12.224999,1567.0,40.312634,9.0,81.0,1.0,0.0,0.0,1.0,8.187243,9.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1994.0,2,327.0,10482,3418.8,3119.6,62.0,910.0984,0.4494802,2.5,19212.0,6.133333,15.9,3.000785,6.7246175,6.7246174812316895,0.0,509.0,11.990326,1776.0,44.15985,10.0,100.0,1.0,0.0,0.0,1.0,8.137045,10.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1995.0,2,248.0,11358,2551.6,2183.5,62.0,900.8314,0.4265882,2.44,19929.0,5.35,16.1,3.040903,6.8330526,6.833052635192871,0.0,544.0,12.272986,1993.0,47.80163,11.0,121.0,1.0,0.0,0.0,1.0,7.8444757,11.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1996.0,2,229.0,12002,2430.4,1908.0,62.0,891.5644,1.013009,2.58,20823.0,5.55,20.5,3.08127,6.9587784,6.958778381347656,0.0,401.0,8.742211,1951.0,45.230522,12.0,144.0,1.0,0.0,0.0,1.0,7.795811,12.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1997.0,2,213.0,12478,2152.6,1707.0,62.0,882.2974,1.006566,2.44,21861.0,4.5916667,17.2,3.1096961,7.039048,7.039048194885254,0.0,212.0,4.4754157,1666.0,37.480938,13.0,169.0,1.0,0.0,0.0,1.0,7.674432,13.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1998.0,2,197.0,13312,1895.5,1479.9,62.0,873.03046,2.066896,2.44,23216.0,4.3416667,16.6,3.1465337,7.1380215,7.138021469116211,0.0,180.0,3.6860003,1337.0,29.176613,14.0,196.0,1.0,0.0,0.0,1.0,7.547238,14.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,1999.0,2,211.0,13658,1948.7,1544.9,62.0,863.76355,2.252411,2.51,24057.0,4.508333,12.2,3.1726236,7.162593,7.162592887878418,0.0,179.0,3.5630236,972.0,20.466652,15.0,225.0,1.0,0.0,0.0,1.0,7.574918,15.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
4.0,15.0,2.0,2000.0,2,223.0,14178,2002.7,1572.9,62.0,854.4966,1.574964,2.5,25660.0,4.008333,11.7,3.2117367,7.1785913,7.178591251373291,0.0,128.0,2.4771914,699.0,14.201632,16.0,256.0,1.0,0.0,0.0,1.0,7.6022515,16.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1985.0,2,2228.0,39656,5846.8,5618.3,86.0,134.54616,0.148856,1.75,11260.0,8.516666,22.9,16.036053,8.16326,8.163260459899902,0.0,8.0,0.3436981,8.0,0.3436981,1.0,1.0,1.0,0.0,0.0,1.0,8.67365,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1986.0,2,2227.0,39795,5640.2,5596.2,86.0,147.59056,0.2898038,1.63,11710.0,8.516666,21.3,16.008978,8.175586,8.175585746765137,0.0,24.0,1.0290227,32.0,1.3727208,2.0,4.0,1.0,0.0,0.0,1.0,8.637675,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1987.0,2,2367.0,39587,5718.3,5979.2,86.0,160.63498,0.4497964,1.71,12085.0,8.15,21.8,15.972459,8.097042,8.097042083740234,0.0,38.0,1.6220635,70.0,2.9947844,3.0,9.0,1.0,0.0,0.0,1.0,8.651427,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1988.0,2,2197.0,39009,5681.2,5632.0,86.0,173.6794,0.7471896,1.74,12901.0,7.675,21.6,15.943639,7.9778376,7.977837562561035,0.0,64.0,2.731493,134.0,5.7262774,4.0,16.0,1.0,0.0,0.0,1.0,8.6449175,4.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1989.0,2,2062.0,38128,4771.2,5408.1,86.0,186.7238,1.423954,1.78,13781.0,7.008333,18.3,15.916594,7.7865868,7.786586761474609,0.0,86.0,3.6651986,212.0,9.047778,5.0,25.0,1.0,0.0,0.0,1.0,8.470353,5.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1990.0,2,2284.0,37403,5953.7,6106.5,86.0,199.76822,0.7592691,1.86,14460.0,6.75,19.6,15.877121,7.611859,7.61185884475708,0.0,75.0,3.18257,263.0,11.201325,6.0,36.0,1.0,0.0,0.0,1.0,8.691769,6.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1991.0,2,1943.0,38065,4831.2,5104.4,86.0,225.10567,0.8980427,1.81,15124.0,7.2083335,17.3,15.902522,7.460355,7.460354804992676,0.0,110.0,4.6157513,335.0,14.195013,7.0,49.0,1.0,0.0,0.0,1.0,8.48285,7.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1992.0,2,1778.0,39283,3938.3,4526.1,86.0,250.4431,1.049516,1.9,16209.0,7.125,17.5,15.955362,7.4477315,7.4477314949035645,0.0,112.0,4.6357923,383.0,16.099312,8.0,64.0,1.0,0.0,0.0,1.0,8.278504,8.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1993.0,2,2206.0,40150,5843.7,5494.4,86.0,275.78055,1.186286,1.79,16619.0,6.133333,20.0,15.978525,7.452053,7.452053070068359,0.0,144.0,5.8624687,441.0,18.296581,9.0,81.0,1.0,0.0,0.0,1.0,8.67312,9.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1994.0,2,1895.0,40963,4947.2,4626.1,86.0,301.11798,1.238474,1.65,17350.0,5.35,15.3,15.921411,7.4889965,7.488996505737305,0.0,184.0,7.3776503,550.0,22.491663,10.0,100.0,1.0,0.0,0.0,1.0,8.5065775,10.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1995.0,2,1518.0,42031,3979.5,3611.6,86.0,326.4554,0.8538725,1.7,18076.0,4.7916665,14.9,15.895289,7.5677633,7.567763328552246,0.0,186.0,7.3361235,626.0,25.212034,11.0,121.0,1.0,0.0,0.0,1.0,8.288912,11.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1996.0,2,1335.0,42799,3616.2,3119.2,86.0,351.79285,0.8603522,1.75,18926.0,5.15,17.2,15.924092,7.6459045,7.645904541015625,0.0,152.0,5.9095473,666.0,26.48579,12.0,144.0,1.0,0.0,0.0,1.0,8.193179,12.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1997.0,2,1059.0,42915,2866.9,2467.7,86.0,377.13028,0.9932896,1.71,19590.0,5.0916667,19.7,15.9279375,7.638605,7.638605117797852,0.0,75.0,2.8834066,597.0,23.506727,13.0,169.0,1.0,0.0,0.0,1.0,7.9609866,13.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1998.0,2,1030.0,43080,2975.6,2390.9,86.0,402.4677,1.012866,1.73,20489.0,5.016667,14.7,15.939564,7.6328235,7.632823467254639,0.0,64.0,2.4368987,477.0,18.565975,14.0,196.0,1.0,0.0,0.0,1.0,7.998201,14.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,1999.0,2,810.0,42259,2349.4,1916.8,86.0,427.80515,0.886052,1.75,21137.0,4.4416666,14.7,15.91581,7.546477,7.5464768409729,0.0,61.0,2.3002722,352.0,13.530125,15.0,225.0,1.0,0.0,0.0,1.0,7.761915,15.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
5.0,15.0,2.0,2000.0,2,882.0,41077,2663.1,2147.2,86.0,453.1426,0.684843,1.74,21925.0,4.2083335,16.5,15.823275,7.399349,7.399349212646484,0.0,46.0,1.7172714,246.0,9.337849,16.0,256.0,1.0,0.0,0.0,1.0,7.887246,16.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1985.0,2,9657.0,147941,6828.9,6527.6,110.0,481.6482,0.9144871,3.12,16956.0,7.2083335,13.6,6.7875314,7.5497737,7.549773693084717,1.0,1498.0,5.6640778,2637.0,10.105407,1.0,1.0,1.0,0.0,0.0,1.0,8.828918,1.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1986.0,2,9265.0,151268,5944.9,6124.9,110.0,556.9433,1.374762,3.11,17668.0,6.758333,12.7,6.786201,7.532254,7.532254219055176,1.0,2706.0,9.983185,5260.0,19.75419,2.0,4.0,1.0,0.0,0.0,1.0,8.690289,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1987.0,2,8663.0,153203,5683.3,5654.6,110.0,632.23834,1.615281,3.03,18549.0,5.8416667,12.3,6.783357,7.443257,7.443256855010986,1.0,3200.0,11.518715,8172.0,30.13733,3.0,9.0,1.0,0.0,0.0,1.0,8.6452875,3.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1988.0,2,7914.0,154430,4942.7,5124.7,110.0,707.5334,1.918534,2.9,19599.0,5.3,13.2,6.7827516,7.3218203,7.321820259094238,1.0,3935.0,13.822357,11339.0,40.988335,4.0,16.0,1.0,0.0,0.0,1.0,8.505667,4.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1989.0,2,6807.0,154615,4330.0,4402.5,110.0,782.8284,2.060436,2.79,20585.0,5.15,12.9,6.7821097,7.142572,7.142571926116943,1.0,5358.0,18.337824,15199.0,53.66208,5.0,25.0,1.0,0.0,0.0,1.0,8.3733225,5.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1990.0,2,5245.0,164060,3051.5,3197.0,110.0,858.1235,1.367013,2.78,21638.0,5.7666664,13.9,7.123693,6.9386067,6.9386067390441895,1.0,6093.0,20.337444,18586.0,64.01634,6.0,36.0,1.0,0.0,0.0,1.0,8.023389,6.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1991.0,2,4803.0,160304,2809.5,2996.2,110.0,827.7667,1.2324,2.46,21750.0,7.766667,15.7,7.127288,6.6050425,6.605042457580566,1.0,6828.0,22.408386,22214.0,74.90601,7.0,49.0,1.0,0.0,0.0,1.0,7.940762,7.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1992.0,2,3954.0,161357,2606.1,2450.5,110.0,797.4099,1.575896,2.54,22492.0,9.375,16.4,7.1148224,6.474586,6.474586009979248,1.0,7370.0,23.793642,25649.0,84.8773,8.0,64.0,1.0,0.0,0.0,1.0,7.86561,8.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1993.0,2,2857.0,159680,2026.6,1789.2,110.0,767.0531,1.413071,2.35,22635.0,9.541667,18.2,7.082395,6.4243665,6.424366474151611,1.0,7703.0,24.629953,27994.0,91.169426,9.0,81.0,1.0,0.0,0.0,1.0,7.6141148,9.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1994.0,2,2775.0,161818,2182.0,1714.9,110.0,736.69635,1.450593,2.24,23203.0,8.633333,17.9,7.051046,6.484391,6.484391212463379,1.0,8088.0,25.688883,29989.0,96.52087,10.0,100.0,1.0,0.0,0.0,1.0,7.6879973,10.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1995.0,2,2537.0,165415,2016.9,1533.7,110.0,706.33954,0.9436879,2.23,24161.0,7.875,16.7,7.0280514,6.599112,6.599112033843994,1.0,7666.0,24.185574,30827.0,98.29805,11.0,121.0,1.0,0.0,0.0,1.0,7.609317,11.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1996.0,2,1831.0,169868,1525.0,1077.9,110.0,675.9828,1.104322,2.24,25312.0,7.3416667,16.9,7.008653,6.7712865,6.771286487579346,1.0,5181.0,16.1811,28638.0,90.68551,12.0,144.0,1.0,0.0,0.0,1.0,7.3297496,12.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1997.0,2,1897.0,173503,1503.0,1093.4,110.0,645.62604,0.8652981,2.24,26490.0,6.4166665,16.6,6.97129,6.9181747,6.918174743652344,1.0,2602.0,8.009602,23537.0,74.065155,13.0,169.0,1.0,0.0,0.0,1.0,7.3152184,13.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1998.0,2,1670.0,178099,1360.2,937.7,110.0,615.2692,0.939545,2.17,28374.0,5.9666667,15.4,6.93261,7.0743175,7.074317455291748,1.0,2225.0,6.744943,17674.0,55.12122,14.0,196.0,1.0,0.0,0.0,1.0,7.215387,14.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
6.0,15.0,2.0,1999.0,2,1785.0,180707,1451.2,987.8,110.0,584.9124,0.9050352,2.18,29828.0,5.25,14.0,6.9019847,7.173654,7.173654079437256,1.0,2075.0,6.194177,12083.0,37.12982,15.0,225.0,1.0,0.0,0.0,1.0,7.280146,15.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0
