state,year,policy,fatalities,employment,rate,union,trtraut,pctttu,mlc,pctmlc,manuf,pctmanufacturing,ST,RTW,lr
AR,1992,-1.677003,82,964,8.506224,8.8,200.6,20.80913,44.5,4.616183,224,23.23652,AR,1,2.140798
AR,1993,-1.535277,71,997.7,7.116368,8.4,205.8,20.62744,47,4.710835,230.7,23.12318,AR,1,1.962397
AR,1994,-1.563957,85,1041.5,8.161305,8.1,217.2,20.85454,49.4,4.743159,242.2,23.25492,AR,1,2.099404
AR,1995,-1.653866,92,1073.5,8.570098,7.9,223.6,20.82906,52.5,4.890545,246.2,22.93433,AR,1,2.148279
AR,1996,-1.668236,88,1092,8.058608,7.2,228,20.87912,55.1,5.045787,240.3,22.0055,AR,1,2.086741
AR,1997,-1.674214,102,1107.9,9.206607,6,229.7,20.73292,56.3,5.081686,240.7,21.72579,AR,1,2.219921
AR,1998,-1.608333,86,1124,7.651246,6.2,236.1,21.00534,55,4.893239,241.7,21.50356,AR,1,2.034868
AR,1999,-1.599827,76,1144.9,6.638134,7.6,240.9,21.04114,57.4,5.013538,240.6,21.01494,AR,1,1.892831
AR,2000,-1.654764,106,1160.6,9.133207,5.9,241.9,20.84267,59.4,5.118042,240.1,20.68758,AR,1,2.211917
AR,2001,-1.709228,68,1154.1,5.892037,6.4,241.2,20.8994,61.6,5.337492,225.1,19.50438,AR,1,1.773602
AR,2002,-1.771482,80,1146.8,6.975933,6.1,241.1,21.02372,61.9,5.397628,212.5,18.52982,AR,1,1.942466
AR,2003,-1.705538,87,1145.2,7.596926,4.9,239.4,20.90465,57.4,5.012225,204.3,17.83968,AR,1,2.027744
AR,2004,-1.744115,70,1161.6,6.026171,4.9,242.5,20.87638,58.6,5.044766,203.8,17.54477,AR,1,1.796112
AR,2005,-1.813638,80,1179,6.785411,4.8,245.5,20.82273,62,5.258694,201,17.04835,AR,1,1.914775
AR,2006,-1.638856,78,1200.3,6.498375,5.2,248.3,20.68649,64.4,5.365325,200.2,16.67916,AR,1,1.871552
AR,2007,-1.60263,89,1204.7,7.387732,5.4,250,20.75205,65.3,5.420437,189.2,15.70515,AR,1,1.999821
AR,2008,-1.693161,85,1203,7.065669,6,246.6,20.49875,67.4,5.60266,183.2,15.22859,AR,1,1.955248
AR,2009,-1.673467,75,1159.8,6.466632,4.3,234,20.17589,62.3,5.371616,160.4,13.82997,AR,1,1.866655
AR,2010,-1.743018,88,1169,7.527802,4.1,235.9,20.17964,59.9,5.124038,160.9,13.7639,AR,1,2.018603
AR,2011,-1.796454,93,1173.1,7.927713,4.3,238.8,20.35632,58.8,5.012361,158.3,13.49416,AR,1,2.070364
AR,2012,-1.845855,63,1175.5,5.359422,3.2,241.2,20.51893,57.1,4.857507,155.5,13.22841,AR,1,1.678856
AR,2013,-1.945097,63,1174.5,5.363985,3.6,241.4,20.55343,54.4,4.631758,152.3,12.96722,AR,1,1.679707
AR,2014,-1.947322,67,1188.1,5.639256,4.8,245.3,20.64641,54.7,4.60399,154.7,13.02079,AR,1,1.729752
AR,2015,,74,1214.6,6.092541,5.2,252.3,20.77227,58.1,4.783468,154.7,12.7367,AR,1,1.807065
AR,2016,,68,1228.5,5.535205,3.953282,252.3,20.53724,56,4.558404,154.8,12.60073,AR,1,1.711129
AZ,1990,-0.7176961,,1483.4,,7.9,310.3,20.91816,96.2,6.485102,176.6,11.90508,AZ,1,
AZ,1991,-0.726871,,1486.9,,7.8,305.1,20.5192,92.2,6.20082,170.3,11.45336,AZ,1,
AZ,1992,-0.6933429,67,1525.5,4.392003,7.4,307.1,20.13111,96.6,6.33235,166.1,10.88823,AZ,1,1.479785
AZ,1993,-0.7781482,55,1591.6,3.455642,7.4,317.2,19.92963,106.5,6.69138,169.9,10.67479,AZ,1,1.240008
AZ,1994,-0.8133186,79,1711.7,4.615295,8.1,346.5,20.24303,123.5,7.215049,183.7,10.73202,AZ,1,1.529376
AZ,1995,-0.8226401,86,1803.3,4.769034,8.2,362.1,20.07985,140.9,7.813453,190.8,10.5806,AZ,1,1.562144
AZ,1996,-0.8627287,77,1903.9,4.04433,5.9,378.2,19.86449,148.8,7.815536,199.8,10.49425,AZ,1,1.397316
AZ,1997,-0.7462887,61,1983.1,3.075992,7.1,393.7,19.85276,153.4,7.735364,203.8,10.27684,AZ,1,1.123628
AZ,1998,-0.7923285,74,2085.2,3.54882,6.5,409.5,19.6384,163.5,7.840974,210.6,10.09975,AZ,1,1.266615
AZ,1999,-0.6761951,70,2175.4,3.217799,6.9,426,19.58261,171.6,7.888205,208,9.56146,AZ,1,1.168698
AZ,2000,-0.7349047,118,2250.3,5.243745,6.6,438.7,19.49518,178.8,7.945607,210.5,9.354308,AZ,1,1.657036
AZ,2001,-0.6154739,87,2267.4,3.836994,6.1,439.6,19.38785,185.1,8.163535,199,8.776572,AZ,1,1.344689
AZ,2002,-0.6093801,101,2269.3,4.450712,5.7,441.5,19.45534,181.1,7.980434,182,8.020094,AZ,1,1.493064
AZ,2003,-0.5827757,80,2301.6,3.475843,5.2,446.1,19.38217,183.6,7.977059,174,7.559958,AZ,1,1.245837
AZ,2004,-0.6871177,84,2395.7,3.506282,6.3,465.3,19.4223,200.7,8.37751,176.7,7.375715,AZ,1,1.254556
AZ,2005,-0.7243512,99,2533.5,3.907638,6.1,491.6,19.40399,230.3,9.090192,183.2,7.231103,AZ,1,1.362933
AZ,2006,-0.7623132,112,2651.5,4.224024,7.7,514.3,19.39657,251.9,9.500283,185.9,7.011126,AZ,1,1.440788
AZ,2007,-0.5004918,97,2682.7,3.61576,8.8,528.7,19.70776,235.7,8.785925,181.5,6.765572,AZ,1,1.285302
AZ,2008,-0.641311,100,2616.2,3.822338,8.8,514.6,19.66975,195.5,7.47267,172,6.574421,AZ,1,1.340862
AZ,2009,-0.8272833,76,2409.9,3.153658,6.6,474.9,19.70621,132.4,5.494004,150.9,6.261671,AZ,1,1.148563
AZ,2010,-0.7913885,77,2379.9,3.23543,6.4,467,19.62267,120.7,5.071641,147.9,6.214547,AZ,1,1.174162
AZ,2011,-0.7407532,69,2416.6,2.855251,6,473.9,19.6102,122.8,5.08152,150.8,6.240172,AZ,1,1.04916
AZ,2012,-0.7893631,60,2471.2,2.42797,5.2,474.3,19.1931,129.8,5.252509,155.4,6.288443,AZ,1,0.8870556
AZ,2013,-0.9782307,95,2529.3,3.75598,5,482.5,19.07642,138.3,5.467916,155,6.128178,AZ,1,1.323349
AZ,2014,-0.9271405,88,2576.8,3.415088,5.3,493.3,19.1439,136.4,5.293387,156.6,6.077305,AZ,1,1.228203
AZ,2015,,69,2645.4,2.608301,5.2,509.4,19.25607,141,5.330007,159.2,6.017993,AZ,1,0.9586991
AZ,2016,,77,2716.4,2.834634,4.464919,518.9,19.10249,148.3,5.459432,159.6,5.875423,AZ,1,1.041913
CA,1990,1.906701,,12544.4,,18.8,2420,19.29148,678.7,5.410382,1958.3,15.61095,CA,0,
CA,1991,1.840293,,12383.8,,18.7,2375.9,19.18555,592.2,4.782054,1875.6,15.14559,CA,0,
CA,1992,2.07754,644,12177.8,5.288311,18.6,2347.7,19.27852,522.2,4.288131,1777.3,14.59459,CA,0,1.665499
CA,1993,2.04432,657,12096.7,5.431233,18.5,2333.4,19.28956,487.1,4.026718,1686.2,13.93934,CA,0,1.692166
CA,1994,2.076128,639,12227.6,5.225883,18.3,2359.9,19.29978,503.1,4.114462,1694.3,13.85636,CA,0,1.653624
CA,1995,1.981737,646,12511.5,5.16325,18.1,2408.9,19.25349,530.6,4.240899,1726.9,13.8025,CA,0,1.641566
CA,1996,2.105371,641,12831.7,4.995441,16.9,2454,19.12451,540.1,4.209107,1778.6,13.86098,CA,0,1.608526
CA,1997,2.081867,651,13247.3,4.914209,16.4,2507,18.92461,590.2,4.455247,1838.6,13.87906,CA,0,1.592131
CA,1998,2.176219,626,13756.3,4.550642,16.5,2595.8,18.8699,653.5,4.750551,1857,13.49927,CA,0,1.515268
CA,1999,2.571995,602,14143.4,4.256402,16.9,2661.9,18.82079,716.3,5.064553,1826.7,12.91556,CA,0,1.448424
CA,2000,2.491252,553,14657.1,3.772916,16.4,2735.1,18.66058,764.1,5.213173,1865.3,12.72626,CA,0,1.327848
CA,2001,2.547284,515,14697.1,3.504093,16.8,2741.8,18.65538,812.6,5.528982,1756.4,11.95066,CA,0,1.253932
CA,2002,2.534327,478,14598.9,3.274219,18.2,2724.9,18.66511,796.6,5.456575,1624.9,11.13029,CA,0,1.18608
CA,2003,2.813595,459,14569.6,3.150395,17.1,2710.4,18.60312,820.5,5.631589,1532.6,10.51916,CA,0,1.147528
CA,2004,2.671489,467,14778.5,3.159996,16.7,2758.9,18.66833,878.9,5.947153,1531.2,10.361,CA,0,1.150571
CA,2005,2.594525,465,15099.6,3.079552,16.7,2830.1,18.74288,938.3,6.214072,1509.7,9.998278,CA,0,1.124784
CA,2006,2.422962,537,15374.1,3.492887,15.8,2888.6,18.78874,963.8,6.268985,1490.3,9.693576,CA,0,1.250729
CA,2007,2.488458,461,15487.3,2.976632,16.9,2918.3,18.84318,917.3,5.922917,1465.2,9.460655,CA,0,1.090793
CA,2008,2.433463,465,15294,3.040408,18.6,2843.1,18.58964,803.9,5.25631,1430.6,9.353995,CA,0,1.111992
CA,2009,2.31192,409,14279.2,2.864306,17.4,2609.6,18.27553,622,4.355986,1261.4,8.833828,CA,0,1.052326
CA,2010,2.387861,326,14290.8,2.281188,17.8,2634.7,18.43634,584.2,4.087945,1249.5,8.743387,CA,0,0.8246964
CA,2011,2.450695,390,14457.5,2.697562,17.4,2687.6,18.58966,595.6,4.119661,1256.3,8.689608,CA,0,0.9923483
CA,2012,2.465375,375,14809.7,2.532124,17.4,2736,18.47438,624.4,4.216156,1262,8.521442,CA,0,0.9290586
CA,2013,2.524276,396,15208.9,2.603739,16.7,2795.7,18.382,672.5,4.421753,1262,8.297773,CA,0,0.9569483
CA,2014,2.482546,344,15626.7,2.20136,16.6,2864.9,18.33336,709.7,4.541586,1281.2,8.198788,CA,0,0.7890756
CA,2015,,388,16135.4,2.404651,16.1,2945.6,18.25551,768.3,4.76158,1306.9,8.099583,CA,0,0.8774046
CA,2016,,376,16512.7,2.277035,15.92807,2997.9,18.15512,801.4,4.853234,1302.9,7.890291,CA,0,0.8228742
CO,1990,-0.2679467,,1525.2,,10.7,305.5,20.03016,81,5.310779,169.9,11.13952,CO,0,
CO,1991,-0.2843159,,1542.2,,9.9,304.9,19.77046,81.4,5.278174,164.3,10.65361,CO,0,
CO,1992,-0.3241341,103,1604.7,6.418645,10.2,313.2,19.51767,90.2,5.620988,163.2,10.17013,CO,0,1.859207
CO,1993,-0.3679836,99,1681.3,5.888301,9.9,326.2,19.40165,103.6,6.161899,166.9,9.926843,CO,0,1.772967
CO,1994,-0.3992295,120,1767,6.791172,11,346.9,19.63214,112.1,6.344086,172.6,9.767968,CO,0,1.915623
CO,1995,-0.4182716,112,1842.4,6.079027,10,362.1,19.65371,117.5,6.377551,176.6,9.585323,CO,0,1.804845
CO,1996,-0.4390569,90,1906.4,4.72094,9.9,373.2,19.57616,125.5,6.583088,179.7,9.426144,CO,0,1.552008
CO,1997,-0.3020831,120,1986.4,6.04108,9.7,383,19.28111,134.9,6.79118,186.5,9.388844,CO,0,1.798583
CO,1998,-0.3716704,77,2065.3,3.728272,9.2,393.4,19.04808,150.2,7.272551,190,9.199632,CO,0,1.315945
CO,1999,-0.3406902,106,2135.7,4.963244,9.5,405.4,18.98207,161.4,7.557241,184.9,8.657583,CO,0,1.60206
CO,2000,-0.3569198,117,2228.1,5.251111,9.1,419.8,18.84117,177.7,7.975405,187.2,8.401777,CO,0,1.65844
CO,2001,-0.3019933,139,2225.6,6.245507,9.2,422.1,18.96567,181,8.132638,175.1,7.867541,CO,0,1.831862
CO,2002,-0.345366,123,2185.1,5.629033,7.9,412,18.85497,173.5,7.94014,160.6,7.349778,CO,0,1.727938
CO,2003,-0.445471,102,2149.5,4.74529,7.8,402.6,18.72994,161.1,7.494766,150,6.978367,CO,0,1.557153
CO,2004,-0.5128416,117,2185.6,5.353221,8.5,407.7,18.65392,165.8,7.586018,150.1,6.867679,CO,0,1.677698
CO,2005,-0.4204293,125,2231.2,5.602366,8.3,412.5,18.48781,179.9,8.062925,148.2,6.642166,CO,0,1.723189
CO,2006,-0.3602448,137,2283.6,5.9993,7.7,418.7,18.33508,189.1,8.280785,146.8,6.428446,CO,0,1.791643
CO,2007,-0.1844114,126,2334.7,5.396839,8.7,428.7,18.3621,194.8,8.343684,144.3,6.180665,CO,0,1.685813
CO,2008,-0.1291857,105,2356.4,4.45595,8.1,429.5,18.22696,191.1,8.109829,141.9,6.021898,CO,0,1.49424
CO,2009,-0.0921414,83,2225.9,3.728829,7.1,400.2,17.97924,149.4,6.711892,125.7,5.647154,CO,0,1.316094
CO,2010,-0.1314698,85,2225.3,3.81971,6.6,398.5,17.9077,138.3,6.214892,124.4,5.590258,CO,0,1.340174
CO,2011,0.0282891,92,2264.6,4.062528,8.2,402.8,17.78681,141.4,6.243928,128.8,5.687539,CO,0,1.401805
CO,2012,0.0355044,82,2318.5,3.536769,7.9,409.6,17.6666,146.3,6.310114,131.2,5.658831,CO,0,1.263214
CO,2013,0.1245881,65,2392.8,2.716483,7.5,421.7,17.6237,160.5,6.707623,133,5.558342,CO,0,0.999338
CO,2014,0.1754646,84,2477,3.391199,9.5,434.2,17.52927,178.5,7.206298,137.2,5.538959,CO,0,1.221184
CO,2015,,75,2547.5,2.944063,8.5,447.7,17.57409,178.2,6.995093,141.5,5.554465,CO,0,1.07979
CO,2016,,81,2609.5,3.104043,9.764469,456.2,17.48228,178.7,6.848055,142.5,5.460816,CO,0,1.132705
CT,1990,1.202843,,1615,,17.8,313.6,19.41796,61.4,3.801857,296.7,18.37152,CT,0,
CT,1991,1.41909,,1546,,19.1,293.7,18.99741,51.2,3.311772,278.5,18.01423,CT,0,
CT,1992,1.392164,42,1526.7,2.751032,18,285.5,18.70046,48.5,3.176786,270.7,17.73105,CT,0,1.011976
CT,1993,1.745864,31,1526.8,2.03039,18.9,283.5,18.56825,48.1,3.15038,258.1,16.90464,CT,0,0.7082281
CT,1994,1.822863,35,1550.1,2.257919,20.2,287.6,18.55364,50.3,3.244952,252.2,16.26992,CT,0,0.8144435
CT,1995,1.831563,32,1563.2,2.047083,20.3,291.3,18.63485,50.5,3.230553,246.2,15.74974,CT,0,0.7164158
CT,1996,1.798857,35,1587.9,2.204169,16.6,295.9,18.63467,54.3,3.419611,243.7,15.34731,CT,0,0.7903506
CT,1997,1.761182,32,1605.9,1.992652,17,297.4,18.51921,56.7,3.53073,244,15.19397,CT,0,0.6894664
CT,1998,1.820002,57,1647.5,3.459788,17.6,305.3,18.53111,59.6,3.617602,246,14.93172,CT,0,1.241207
CT,1999,1.852857,38,1675.2,2.268386,18.3,308.9,18.43959,61.3,3.659265,237.9,14.20129,CT,0,0.8190685
CT,2000,1.807595,55,1697.6,3.239868,16.4,313.4,18.46136,65.2,3.840716,235.4,13.86664,CT,0,1.175533
CT,2001,1.766164,41,1679.4,2.441348,15.1,309,18.39943,66.8,3.977611,222.7,13.26069,CT,0,0.8925503
CT,2002,1.709776,39,1661.9,2.346712,17,305.4,18.37656,63.4,3.814911,207.3,12.47367,CT,0,0.8530151
CT,2003,1.75007,36,1640.5,2.194453,15.4,300.6,18.32368,63.1,3.846388,195.8,11.93539,CT,0,0.7859328
CT,2004,1.878958,54,1653.8,3.265207,15.3,304.3,18.40005,67,4.051276,195.4,11.81521,CT,0,1.183323
CT,2005,1.865615,46,1663,2.766085,16,306.6,18.43656,66.6,4.004811,192.2,11.55743,CT,0,1.017433
CT,2006,1.823093,38,1686.3,2.253454,15.6,306.7,18.18775,67.9,4.026567,191.3,11.34436,CT,0,0.8124642
CT,2007,1.759006,38,1701,2.23398,15.7,307.8,18.09524,69.7,4.097589,187.3,11.01117,CT,0,0.8037847
CT,2008,1.868184,28,1695.9,1.651041,17,304.9,17.97865,65,3.832773,184.2,10.86149,CT,0,0.5014059
CT,2009,1.859525,34,1612.7,2.108266,17.3,286.5,17.76524,53.8,3.33602,165.3,10.24989,CT,0,0.7458656
CT,2010,1.932911,49,1613.3,3.037253,16.7,287.2,17.80202,50.8,3.148825,163,10.10351,CT,0,1.110953
CT,2011,2.112929,37,1623.9,2.278466,16.8,289.3,17.81514,52.2,3.214484,163.9,10.09299,CT,0,0.8235022
CT,2012,2.242458,36,1635.6,2.201027,14.1,290.7,17.77329,51.4,3.142578,161.5,9.874052,CT,0,0.7889242
CT,2013,2.155143,29,1654.1,1.753219,13.5,294.9,17.82843,54.3,3.282752,159.7,9.654798,CT,0,0.5614536
CT,2014,2.318958,35,1664.4,2.10286,14.8,295.7,17.76616,56.8,3.412641,156.7,9.414804,CT,0,0.7432983
CT,2015,,44,1674.2,2.628121,17,296.9,17.73384,58.4,3.488233,157.2,9.389559,CT,0,0.9662691
CT,2016,,28,1681.2,1.665477,17.5171,298.7,17.76707,59.6,3.545087,156.8,9.326672,CT,0,0.5101116
DE,1990,0.4982968,,350,,15,67.8,19.37143,22,6.285714,47.5,13.57143,DE,0,
DE,1991,0.3485352,,337.8,,16.8,64.4,19.06454,18.4,5.44701,46.5,13.76554,DE,0,
DE,1992,0.2786913,11,342,3.216374,16.6,64.5,18.85965,18.8,5.497076,44.4,12.98246,DE,0,1.168255
DE,1993,0.3184153,13,349.4,3.720664,15.6,66.8,19.11849,18.9,5.409273,43.7,12.50716,DE,0,1.313902
DE,1994,0.2453249,15,358.5,4.184101,13.5,68.8,19.19107,18.9,5.271966,43.6,12.16179,DE,0,1.431292
DE,1995,0.4170893,12,368.1,3.259984,13.2,71.2,19.34257,19.7,5.351807,43.7,11.87177,DE,0,1.181722
DE,1996,0.4255427,18,376.3,4.783418,12.5,71.6,19.02737,22.3,5.926123,40.4,10.73611,DE,0,1.565155
DE,1997,0.3388967,17,390.1,4.357857,11.8,71.9,18.43117,22.1,5.665214,43.4,11.12535,DE,0,1.47198
DE,1998,0.1971292,11,403.2,2.728175,13.8,75,18.60119,23.2,5.753968,44.3,10.9871,DE,0,1.003633
DE,1999,0.5651802,14,415.2,3.371869,14,79,19.02698,25,6.021194,43.9,10.57322,DE,0,1.215467
DE,2000,0.5177997,13,420.3,3.093029,13.4,79.3,18.86748,24.2,5.757792,41.3,9.826315,DE,0,1.129151
DE,2001,0.5339499,10,418.8,2.387775,12.5,76,18.14709,24.3,5.802292,39.5,9.431709,DE,0,0.8703619
DE,2002,0.4504038,11,416,2.644231,11.2,77.5,18.62981,24.3,5.841346,37,8.894231,DE,0,0.9723802
DE,2003,0.7595438,9,416.5,2.160864,11.5,79.2,19.01561,24.7,5.930372,35.5,8.523409,DE,0,0.7705083
DE,2004,0.6593685,10,425.3,2.351281,12.4,80.9,19.02187,26.8,6.301435,34.1,8.01787,DE,0,0.8549604
DE,2005,0.6545942,11,434.1,2.533978,11.9,82,18.88966,27.8,6.404054,33.5,7.717116,DE,0,0.9297906
DE,2006,0.7224005,15,437.2,3.430924,10.8,82.4,18.84721,29.5,6.747484,33.2,7.593779,DE,0,1.23283
DE,2007,0.6348927,10,439.2,2.276867,12,83.4,18.98907,27.1,6.17031,33.5,7.627504,DE,0,0.8228003
DE,2008,0.6549439,11,435.5,2.525832,13.5,80.4,18.46154,24.7,5.671642,31.1,7.141217,DE,0,0.9265707
DE,2009,0.6962379,7,413.7,1.692047,12,74.8,18.08073,19.7,4.761905,27.2,6.574813,DE,0,0.5259392
DE,2010,0.6749958,8,416.8,1.919386,11.5,74.8,17.94626,19.5,4.678503,25.9,6.214012,DE,0,0.6520053
DE,2011,0.5903769,10,416.4,2.401537,10.5,75.5,18.13161,18.5,4.442843,25.8,6.195965,DE,0,0.8761089
DE,2012,0.6608778,14,419.9,3.334127,10.6,75.5,17.98047,18.4,4.381996,25.7,6.120505,DE,0,1.204211
DE,2013,1.181302,11,430.8,2.553389,10.4,77.8,18.05942,19.8,4.5961,25,5.803157,DE,0,0.9374215
DE,2014,1.279335,12,438.9,2.734108,9.9,80.2,18.27295,20.5,4.670768,25.2,5.741627,DE,0,1.005805
DE,2015,,8,449.6,1.779359,9.3,82.1,18.26068,20.9,4.648577,25.7,5.716192,DE,0,0.5762535
DE,2016,,12,454.5,2.640264,11.43662,83.1,18.28383,20.9,4.59846,25.9,5.69857,DE,0,0.9708789
FL,1990,-1.038414,,5369.9,,8.2,1222.7,22.76951,511.4,9.523455,505.5,9.413583,FL,1,
FL,1991,-1.056291,,5272.8,,8.9,1202.9,22.81331,511.4,9.698832,474.9,9.0066,FL,1,
FL,1992,-0.2211485,329,5336.3,6.16532,8.2,1208.6,22.64865,511.4,9.583419,471.9,8.843206,FL,1,1.81894
