state,year,tot_acc_all,DUI_1620,tot_acc_nt,tot_acc_dt,tot_acc_we,tot_acc_wd,nonDUI_1620,ur1620_r,mw2,mwdef,bac,pc_perinc,lpc_perinc,beertax,realbeertax,cpi,cpi2006,pop,pop1620,lpop
4.0,2010.0,76,20.7,46,29,35,40,55.3,27.185589,7.25,6.6799116,1,34185,10.439542,0.16,0.14741874,213.96683,197.142,6408790.0,464216.0,15.673181
4.0,2011.0,110,26.35,54,52,37,69,83.65,25.360313,7.35,6.539518,1,35675,10.482205,0.16,0.14235686,221.575,197.142,6468796.0,461137.0,15.682501
4.0,2012.0,96,25.6,56,37,52,41,70.4,31.724798,7.65,6.6664143,1,36788,10.512927,0.16,0.13942827,226.229,197.142,6551149.0,455584.0,15.695151
4.0,2013.0,105,15.05,59,42,49,52,89.95,27.999222,7.8,6.7053933,1,36723,10.511159,0.16,0.13754652,229.324,197.142,6626624.0,452866.0,15.706606
5.0,1991.0,107,45.8,58,49,55,52,61.2,21.873283,4.14,6.0794625,0,15288,9.634824,0.235,0.34509027,134.25,197.142,2383144.0,181279.0,14.683931
5.0,1992.0,100,35.7,65,35,48,52,64.3,18.614414,4.25,6.0644436,0,16451,9.708141,0.235,0.33532807,138.15834,197.142,2415984.0,180084.0,14.697618
5.0,1993.0,101,20.45,54,47,44,57,80.55,14.488358,4.25,5.897954,0,16986,9.740145,0.235,0.32612216,142.05833,197.142,2456303.0,182698.0,14.714168
5.0,1994.0,123,30.1,59,64,56,67,92.9,16.801844,4.25,5.752842,0,17762,9.784817,0.235,0.31809834,145.64166,197.142,2494019.0,185490.0,14.729406
5.0,1995.0,126,25.6,62,62,60,64,100.4,14.601922,4.25,5.5947037,0,18579,9.829787,0.235,0.30935422,149.75833,197.142,2535399.0,188850.0,14.745862
5.0,1996.0,104,24.1,52,50,45,57,79.9,13.462551,4.38,5.601873,0,19444,9.875294,0.235,0.30055708,154.14166,197.142,2572109.0,193059.0,14.760237
5.0,1997.0,109,20.7,47,62,47,62,88.3,19.149845,4.88,6.1060114,0,20149,9.91091,0.235,0.2940395,157.55833,197.142,2601090.0,196653.0,14.771441
5.0,1998.0,107,19.4,54,53,39,68,87.6,14.784601,5.15,6.359087,0,21190,9.961285,0.235,0.29017192,159.65834,197.142,2626289.0,198128.0,14.781082
5.0,1999.0,104,21.2,47,56,42,61,82.8,13.138636,5.15,6.2198157,0,21856,9.99223,0.235,0.28381684,163.23334,197.142,2651860.0,199476.0,14.7907715
5.0,2000.0,110,23.2,46,61,43,64,86.8,12.436081,5.15,6.0114355,0,22803,10.034647,0.235,0.2743082,168.89166,197.142,2678588.0,200179.0,14.8008
5.0,2001.0,112,21.0,53,59,58,54,91.0,12.641038,5.15,5.8512034,1,23873,10.080503,0.235,0.26699665,173.51666,197.142,2691571.0,197494.0,14.805635
5.0,2002.0,103,24.55,56,47,49,54,78.45,10.918066,5.15,5.7727437,1,24237,10.095635,0.235,0.26341647,175.875,197.142,2705927.0,194652.0,14.810955
5.0,2003.0,103,25.5,58,45,47,56,77.5,17.830866,5.15,5.6464643,1,25462,10.144942,0.235,0.2576542,179.80833,197.142,2724816.0,194165.0,14.817911
5.0,2004.0,124,26.7,56,67,50,73,97.3,22.817062,5.15,5.503377,1,26855,10.198207,0.235,0.25112495,184.48334,197.142,2749686.0,195039.0,14.826998
5.0,2005.0,104,15.85,49,55,43,61,88.15,16.515358,5.15,5.3163047,1,27915,10.236919,0.235,0.24258865,190.975,197.142,2781097.0,196833.0,14.838356
5.0,2006.0,114,26.1,58,56,53,61,87.9,12.785785,5.42,5.420009,1,29479,10.291433,0.235,0.2350004,197.14166,197.142,2821761.0,200070.0,14.852872
5.0,2007.0,110,31.25,59,51,50,60,78.75,16.717602,6.25,6.0766125,1,31180,10.347532,0.235,0.22848062,202.76717,197.142,2848650.0,202598.0,14.862356
5.0,2008.0,97,20.4,45,52,45,52,76.6,16.769646,6.4,5.978173,1,32434,10.386963,0.235,0.21951103,211.05258,197.142,2874554.0,205501.0,14.871408
5.0,2009.0,82,18.3,41,38,37,42,63.7,22.381903,6.9,6.488966,1,31629,10.36183,0.235,0.22100101,209.62967,197.142,2896843.0,206487.0,14.879132
5.0,2010.0,55,10.15,29,26,24,31,44.85,21.10156,7.25,6.6799116,1,31991,10.37321,0.235,0.21652128,213.96683,197.142,2922280.0,207927.0,14.887875
5.0,2011.0,60,12.05,24,36,20,40,47.95,19.099651,7.25,6.450545,1,33961,10.432968,0.23,0.20463797,221.575,197.142,2938506.0,203599.0,14.893412
5.0,2012.0,64,11.1,29,35,23,41,52.9,22.552078,7.25,6.317844,1,36291,10.499325,0.23,0.20042814,226.229,197.142,2949828.0,198560.0,14.897258
5.0,2013.0,58,10.4,30,28,25,33,47.6,34.08298,7.25,6.232577,1,36529,10.505861,0.23,0.19772314,229.324,197.142,2959373.0,196846.0,14.900488
6.0,1991.0,824,226.68335,487,330,406,411,597.31665,18.39502,4.25,6.2409945,1,21824,9.990766,0.2,0.29369384,134.25,197.142,30470736.0,2110570.0,17.232277
6.0,1992.0,685,195.65,405,275,327,353,489.35,21.833246,4.25,6.0644436,1,22644,10.02765,0.2,0.28538558,138.15834,197.142,30974659.0,2047556.0,17.24868
6.0,1993.0,627,141.35,377,244,307,314,485.65,23.847702,4.25,5.897954,1,22964,10.041683,0.2,0.27755076,142.05833,197.142,31274928.0,2027151.0,17.258327
6.0,1994.0,637,131.18333,342,289,299,332,505.81665,18.590328,4.25,5.752842,1,23535,10.066244,0.2,0.27072197,145.64166,197.142,31484435.0,2023102.0,17.265003
6.0,1995.0,607,131.95,355,249,296,308,475.05,20.653997,4.25,5.5947037,1,24595,10.110298,0.2,0.26328018,149.75833,197.142,31696582.0,2053137.0,17.271719
6.0,1996.0,568,115.76668,327,237,257,307,452.23334,21.024544,4.38,5.601873,1,25885,10.161419,0.2,0.25579327,154.14166,197.142,32018834.0,2114065.0,17.281836
6.0,1997.0,579,126.75,336,238,270,304,452.25,17.70885,5.01,6.2686715,1,27147,10.209022,0.2,0.25024635,157.55833,197.142,32486010.0,2202754.0,17.29632
6.0,1998.0,548,138.06667,302,242,254,290,409.93335,18.25496,5.65,6.9764743,1,29133,10.279627,0.2,0.24695484,159.65834,197.142,32987675.0,2296547.0,17.311646
6.0,1999.0,563,117.85,323,238,268,293,445.15,13.457778,5.75,6.9444547,1,30663,10.330812,0.2,0.24154624,163.23334,197.142,33499204.0,2394710.0,17.327032
6.0,2000.0,620,141.45,344,270,275,339,478.55,15.08574,5.75,6.7117968,1,33391,10.416041,0.2,0.2334538,168.89166,197.142,33987977.0,2465209.0,17.341516
6.0,2001.0,672,143.26666,371,296,316,351,528.73334,12.355021,6.25,7.100975,1,34091,10.436789,0.2,0.2272312,173.51666,197.142,34479458.0,2494156.0,17.355875
6.0,2002.0,756,176.1,416,334,345,405,579.9,15.821741,6.75,7.5662174,1,34306,10.443075,0.2,0.22418422,175.875,197.142,34871843.0,2512915.0,17.36719
6.0,2003.0,677,142.88333,367,301,337,331,534.1167,17.454916,6.75,7.4007053,1,35381,10.47393,0.2,0.21928015,179.80833,197.142,35253159.0,2535761.0,17.378065
6.0,2004.0,659,152.68333,380,272,300,352,506.31665,16.50457,6.75,7.2131634,1,37244,10.525246,0.2,0.21372336,184.48334,197.142,35574576.0,2580043.0,17.387142
6.0,2005.0,697,137.75,393,299,331,361,559.25,13.973747,6.75,6.967972,1,39046,10.572495,0.2,0.20645843,190.975,197.142,35827943.0,2634553.0,17.39424
6.0,2006.0,674,152.0,399,268,322,345,522.0,16.035538,6.75,6.7500114,1,41693,10.638088,0.2,0.20000035,197.14166,197.142,36021202.0,2696826.0,17.399618
6.0,2007.0,563,115.15,326,230,277,279,447.85,14.98448,7.5,7.291935,1,43182,10.673179,0.2,0.1944516,202.76717,197.142,36250311.0,2755638.0,17.405958
6.0,2008.0,495,100.1,297,194,244,247,394.9,20.119936,8.0,7.472716,1,43786,10.687069,0.2,0.1868179,211.05258,197.142,36604337.0,2810670.0,17.415678
6.0,2009.0,406,105.94999,229,174,196,207,300.05002,26.14495,8.0,7.523439,1,41588,10.635567,0.2,0.18808597,209.62967,197.142,36961229.0,2837994.0,17.42538
6.0,2010.0,316,77.2,198,115,138,175,238.8,31.890171,8.0,7.370937,1,42411,10.655163,0.2,0.18427342,213.96683,197.142,37333601.0,2845166.0,17.435404
6.0,2011.0,308,72.98333,180,127,153,154,235.01666,30.784534,8.0,7.1178427,1,44852,10.711123,0.2,0.17794608,221.575,197.142,37668681.0,2795928.0,17.44434
6.0,2012.0,318,66.15,179,138,143,174,251.85,31.391483,8.0,6.9714136,1,47614,10.770882,0.2,0.17428534,226.229,197.142,37999878.0,2737543.0,17.453093
6.0,2013.0,336,77.9,200,135,157,178,258.1,24.844584,8.0,6.877326,1,48125,10.781557,0.2,0.17193316,229.324,197.142,38332521.0,2688542.0,17.46181
8.0,1991.0,97,36.8,57,40,47,50,60.2,10.211418,4.14,6.0794625,0,20286,9.917686,0.08,0.11747754,134.25,197.142,3387119.0,229436.0,15.03549
8.0,1992.0,99,33.1,65,34,41,58,65.9,19.549604,4.25,6.0644436,0,21377,9.970071,0.08,0.114154235,138.15834,197.142,3495939.0,228705.0,15.067113
8.0,1993.0,94,24.0,45,49,37,57,70.0,14.532145,4.25,5.897954,0,22402,10.016906,0.08,0.111020304,142.05833,197.142,3613734.0,234649.0,15.100252
8.0,1994.0,121,31.2,68,52,48,72,89.8,10.326263,4.25,5.752842,0,23420,10.061346,0.08,0.108288795,145.64166,197.142,3724168.0,242918.0,15.130354
8.0,1995.0,125,29.95,63,62,54,71,95.05,15.192434,4.25,5.5947037,0,24778,10.117711,0.08,0.10531207,149.75833,197.142,3826653.0,253490.0,15.157501
8.0,1996.0,97,18.75,50,47,45,52,78.25,13.170356,4.38,5.601873,0,26090,10.169308,0.08,0.10231731,154.14166,197.142,3919972.0,264729.0,15.181595
8.0,1997.0,112,26.0,55,57,51,61,86.0,9.83405,4.88,6.1060114,0,27388,10.21786,0.08,0.10009854,157.55833,197.142,4018293.0,277133.0,15.2063675
8.0,1998.0,118,26.25,62,56,44,74,91.75,14.140659,5.15,6.359087,0,29734,10.300047,0.08,0.098781936,159.65834,197.142,4116639.0,288904.0,15.230548
8.0,1999.0,131,24.1,60,71,58,73,106.9,11.345203,5.15,6.2198157,0,31391,10.354277,0.08,0.096618496,163.23334,197.142,4226018.0,301408.0,15.256771
8.0,2000.0,120,26.35,56,64,54,66,93.65,9.688837,5.15,6.0114355,0,34234,10.440974,0.08,0.09338152,168.89166,197.142,4326921.0,310284.0,15.280367
8.0,2001.0,136,39.65,82,54,58,78,96.35,10.942683,5.15,5.8512034,0,35247,10.470136,0.08,0.09089248,173.51666,197.142,4425687.0,320053.0,15.302937
8.0,2002.0,134,36.85,79,54,67,66,97.15,14.554979,5.15,5.7727437,0,35002,10.4631605,0.08,0.08967369,175.875,197.142,4490406.0,326571.0,15.317453
8.0,2003.0,122,28.8,63,59,57,65,93.2,17.077368,5.15,5.6464643,0,35412,10.474806,0.08,0.087712064,179.80833,197.142,4528732.0,328221.0,15.325953
8.0,2004.0,140,33.85,76,64,68,72,106.15,18.325014,5.15,5.503377,1,36676,10.509878,0.08,0.08548935,184.48334,197.142,4575013.0,328000.0,15.33612
8.0,2005.0,99,26.68333,62,37,52,47,72.316666,16.368145,5.15,5.3163047,1,38665,10.56269,0.08,0.08258337,190.975,197.142,4631888.0,330638.0,15.348475
8.0,2006.0,91,23.55,56,35,39,52,67.45,15.137161,5.15,5.1500087,1,40709,10.614204,0.08,0.08000014,197.14166,197.142,4720423.0,334860.0,15.367409
8.0,2007.0,78,17.7,35,43,33,45,60.3,12.472226,6.85,6.659967,1,42265,10.651714,0.08,0.07778064,202.76717,197.142,4803868.0,336995.0,15.384932
8.0,2008.0,80,16.55,39,41,32,48,63.45,17.943293,7.02,6.557308,1,43631,10.683523,0.08,0.07472716,211.05258,197.142,4889730.0,340672.0,15.402648
8.0,2009.0,61,12.2,35,26,25,36,48.8,22.073923,7.28,6.8463297,1,41508,10.633641,0.08,0.07523439,209.62967,197.142,4972195.0,342884.0,15.419372
8.0,2010.0,59,9.5,32,27,29,30,49.5,19.03604,7.25,6.6799116,1,41877,10.642492,0.08,0.07370937,213.96683,197.142,5048196.0,344720.0,15.434542
8.0,2011.0,59,15.95,33,26,29,30,43.05,21.662159,7.36,6.5484157,1,44349,10.699845,0.08,0.07117843,221.575,197.142,5118400.0,346144.0,15.448353
8.0,2012.0,62,18.0,33,29,23,39,44.0,23.403145,7.64,6.6577,1,46402,10.745098,0.08,0.06971414,226.229,197.142,5189458.0,345381.0,15.46214
8.0,2013.0,56,16.6,31,25,28,28,39.4,16.83169,7.78,6.6882,1,46746,10.752484,0.08,0.06877326,229.324,197.142,5268367.0,344402.0,15.477231
9.0,1991.0,61,25.05,44,17,34,27,35.95,13.639103,4.27,6.270364,0,26522,10.18573,0.1935483870967742,0.28421986,134.25,197.142,3302895.0,212302.0,15.01031
9.0,1992.0,51,9.5,34,17,30,21,41.5,13.505721,4.27,6.0929823,0,28558,10.259692,0.1935483870967742,0.2761796,138.15834,197.142,3300712.0,200113.0,15.009648
9.0,1993.0,58,13.6,34,24,23,35,44.4,6.2477193,4.27,5.925709,0,29468,10.29106,0.1935483870967742,0.2685975,142.05833,197.142,3309175.0,195422.0,15.01221
9.0,1994.0,53,19.85,33,20,27,26,33.15,11.824948,4.27,5.7799144,0,30176,10.314802,0.1935483870967742,0.26198903,145.64166,197.142,3316121.0,193872.0,15.014306
9.0,1995.0,42,11.3,23,19,19,23,30.7,11.323107,4.27,5.6210318,0,31722,10.364766,0.1935483870967742,0.25478727,149.75833,197.142,3324144.0,195285.0,15.016723
9.0,1996.0,50,17.4,33,17,23,27,32.6,15.997688,4.39,5.614662,0,33143,10.4085865,0.1935483870967742,0.24754187,154.14166,197.142,3336685.0,198175.0,15.020489
9.0,1997.0,57,16.85,36,21,25,32,40.15,15.139977,4.91,6.143548,0,35214,10.469199,0.1935483870967742,0.2421739,157.55833,197.142,3349348.0,201531.0,15.024277
9.0,1998.0,49,9.6,27,22,18,31,39.4,8.055488,5.18,6.39613,0,37555,10.533562,0.1935483870967742,0.23898855,159.65834,197.142,3365352.0,205362.0,15.029043
9.0,1999.0,53,21.8,31,22,34,19,31.2,9.961294,5.65,6.8236814,0,39160,10.575411,0.1935483870967742,0.23375443,163.23334,197.142,3386401.0,209620.0,15.035278
9.0,2000.0,55,14.2,36,19,25,30,40.8,8.998477,6.15,7.1787043,0,42209,10.650389,0.194,0.22645018,168.89166,197.142,3411777.0,212309.0,15.042744
9.0,2001.0,63,18.55,46,17,37,26,44.45,6.8994,6.4,7.2713985,0,43696,10.685012,0.194,0.22041427,173.51666,197.142,3432835.0,219516.0,15.048897
9.0,2002.0,66,18.5,47,19,36,30,47.5,11.022733,6.7,7.510171,1,43405,10.678329,0.194,0.2174587,175.875,197.142,3458749.0,228153.0,15.056417
9.0,2003.0,50,16.65,32,17,19,30,33.35,16.485792,6.9,7.5651655,1,44187,10.696186,0.19,0.20831615,179.80833,197.142,3484336.0,233257.0,15.063788
9.0,2004.0,55,16.55,26,29,23,32,38.45,16.920778,7.1,7.587179,1,47105,10.760135,0.19,0.2030372,184.48334,197.142,3496094.0,236023.0,15.067157
9.0,2005.0,42,16.6,28,14,20,22,25.4,16.29128,7.1,7.329274,1,49481,10.809344,0.19,0.1961355,190.975,197.142,3506956.0,241010.0,15.070259
9.0,2006.0,59,16.9,39,20,19,40,42.1,12.337653,7.4,7.4000125,1,53363,10.884872,0.19,0.19000033,197.14166,197.142,3517460.0,245700.0,15.07325
9.0,2007.0,54,16.4,30,24,26,28,37.6,14.606171,7.65,7.4377737,1,56723,10.945935,0.19,0.18472902,202.76717,197.142,3527270.0,247970.0,15.076035
9.0,2008.0,35,5.4,23,12,17,18,29.6,16.795372,7.65,7.145785,1,57776,10.964329,0.19,0.177477,211.05258,197.142,3545579.0,249995.0,15.081212
9.0,2009.0,31,12.55,23,8,15,16,18.45,19.485195,8.0,7.523439,1,55505,10.924229,0.19,0.17868167,209.62967,197.142,3561807.0,250105.0,15.085778
9.0,2010.0,29,9.65,15,14,11,18,19.35,18.999935,8.25,7.601279,1,57347,10.956876,0.19,0.17505975,213.96683,197.142,3579210.0,253173.0,15.090652
