"","ward_code","count","trnt","full","loc","year","treat","ward"
"54","E05000036",5,0.404,"Barking and Dagenham mayesbrook","Barking and Dagenham",2006,0,"mayesbrook"
"55","E05000036",5,0.208,"Barking and Dagenham mayesbrook","Barking and Dagenham",2002,0,"mayesbrook"
"56","E05000037",5,0.3311,"Barking and Dagenham parsloes","Barking and Dagenham",2014,0,NA
"57","E05000037",5,0.26,"Barking and Dagenham parsloes","Barking and Dagenham",2018,0,NA
"58","E05000037",5,0.578,"Barking and Dagenham parsloes","Barking and Dagenham",2010,0,"parsloes"
"59","E05000037",5,0.371,"Barking and Dagenham parsloes","Barking and Dagenham",2006,0,"parsloes"
"60","E05000037",5,0.199,"Barking and Dagenham parsloes","Barking and Dagenham",2002,0,"parsloes"
"61","E05000038",5,0.3573,"Barking and Dagenham river","Barking and Dagenham",2014,0,NA
"62","E05000038",5,0.28,"Barking and Dagenham river","Barking and Dagenham",2018,0,NA
"63","E05000038",5,0.612,"Barking and Dagenham river","Barking and Dagenham",2010,0,"river"
"64","E05000038",5,0.357,"Barking and Dagenham river","Barking and Dagenham",2006,0,"river"
"65","E05000038",5,0.204,"Barking and Dagenham river","Barking and Dagenham",2002,0,"river"
"66","E05000039",5,0.3742,"Barking and Dagenham thames","Barking and Dagenham",2014,0,NA
"67","E05000039",5,0.29,"Barking and Dagenham thames","Barking and Dagenham",2018,0,NA
"68","E05000039",5,0.606,"Barking and Dagenham thames","Barking and Dagenham",2010,0,"thames"
"69","E05000039",5,0.308,"Barking and Dagenham thames","Barking and Dagenham",2006,0,"thames"
"70","E05000039",5,0.237,"Barking and Dagenham thames","Barking and Dagenham",2002,0,"thames"
"71","E05000040",5,0.3478,"Barking and Dagenham valence","Barking and Dagenham",2014,0,NA
"72","E05000040",5,0.27,"Barking and Dagenham valence","Barking and Dagenham",2018,0,NA
"73","E05000040",5,0.574,"Barking and Dagenham valence","Barking and Dagenham",2010,0,"valence"
"74","E05000040",5,0.398,"Barking and Dagenham valence","Barking and Dagenham",2006,0,"valence"
"75","E05000040",5,0.203,"Barking and Dagenham valence","Barking and Dagenham",2002,0,"valence"
"76","E05000041",5,0.399,"Barking and Dagenham village","Barking and Dagenham",2014,0,NA
"77","E05000041",5,0.31,"Barking and Dagenham village","Barking and Dagenham",2018,0,NA
"78","E05000041",5,0.59,"Barking and Dagenham village","Barking and Dagenham",2010,0,"village"
"79","E05000041",5,0.422,"Barking and Dagenham village","Barking and Dagenham",2006,0,"village"
"80","E05000041",5,0.224,"Barking and Dagenham village","Barking and Dagenham",2002,0,"village"
"81","E05000042",5,0.3765,"Barking and Dagenham whalebone","Barking and Dagenham",2014,0,NA
"82","E05000042",5,0.32,"Barking and Dagenham whalebone","Barking and Dagenham",2018,0,NA
"83","E05000042",5,0.642,"Barking and Dagenham whalebone","Barking and Dagenham",2010,0,"whalebone"
"84","E05000042",5,0.347,"Barking and Dagenham whalebone","Barking and Dagenham",2006,0,"whalebone"
"85","E05000042",5,0.262,"Barking and Dagenham whalebone","Barking and Dagenham",2002,0,"whalebone"
"86","E05000043",5,0.403,"Barnet brunswickpark","Barnet",2014,0,NA
"87","E05000043",5,0.46,"Barnet brunswickpark","Barnet",2018,0,NA
"88","E05000043",5,0.65,"Barnet brunswickpark","Barnet",2010,0,"brunswickpark"
"89","E05000043",5,0.426,"Barnet brunswickpark","Barnet",2006,0,"brunswickpark"
"90","E05000043",5,0.408,"Barnet brunswickpark","Barnet",2002,0,"brunswickpark"
"91","E05000044",5,0.3572,"Barnet burntoak","Barnet",2014,0,NA
"92","E05000044",5,0.33,"Barnet burntoak","Barnet",2018,0,NA
"93","E05000044",5,0.546,"Barnet burntoak","Barnet",2010,0,"burntoak"
"94","E05000044",5,0.324,"Barnet burntoak","Barnet",2006,0,"burntoak"
"95","E05000044",5,0.243,"Barnet burntoak","Barnet",2002,0,"burntoak"
"96","E05000045",5,0.4153,"Barnet childshill","Barnet",2014,0,NA
"97","E05000045",5,0.45,"Barnet childshill","Barnet",2018,0,NA
"98","E05000045",5,0.553,"Barnet childshill","Barnet",2010,0,"childshill"
"99","E05000045",5,0.361,"Barnet childshill","Barnet",2006,0,"childshill"
"100","E05000045",5,0.294,"Barnet childshill","Barnet",2002,0,"childshill"
"101","E05000046",5,0.278,"Barnet colindale","Barnet",2014,0,NA
"102","E05000046",5,0.32,"Barnet colindale","Barnet",2018,0,NA
"103","E05000046",5,0.514,"Barnet colindale","Barnet",2010,0,"colindale"
"104","E05000046",5,0.31,"Barnet colindale","Barnet",2006,0,"colindale"
"105","E05000046",5,0.207,"Barnet colindale","Barnet",2002,0,"colindale"
"106","E05000047",5,0.4114,"Barnet coppetts","Barnet",2014,0,NA
"107","E05000047",5,0.4,"Barnet coppetts","Barnet",2018,0,NA
"108","E05000047",5,0.6,"Barnet coppetts","Barnet",2010,0,"coppetts"
"109","E05000047",5,0.4,"Barnet coppetts","Barnet",2006,0,"coppetts"
"110","E05000047",5,0.318,"Barnet coppetts","Barnet",2002,0,"coppetts"
"111","E05000048",5,0.4191,"Barnet eastbarnet","Barnet",2014,0,NA
"112","E05000048",5,0.47,"Barnet eastbarnet","Barnet",2018,0,NA
"113","E05000048",5,0.666,"Barnet eastbarnet","Barnet",2010,0,"eastbarnet"
"114","E05000048",5,0.463,"Barnet eastbarnet","Barnet",2006,0,"eastbarnet"
"115","E05000048",5,0.407,"Barnet eastbarnet","Barnet",2002,0,"eastbarnet"
"116","E05000049",5,0.43,"Barnet eastfinchley","Barnet",2014,0,NA
"117","E05000049",5,0.46,"Barnet eastfinchley","Barnet",2018,0,NA
"118","E05000049",5,0.663,"Barnet eastfinchley","Barnet",2010,0,"eastfinchley"
"119","E05000049",5,0.429,"Barnet eastfinchley","Barnet",2006,0,"eastfinchley"
"120","E05000049",5,0.351,"Barnet eastfinchley","Barnet",2002,0,"eastfinchley"
"121","E05000050",5,0.405,"Barnet edgware","Barnet",2014,0,NA
"122","E05000050",5,0.44,"Barnet edgware","Barnet",2018,0,NA
"123","E05000050",5,0.67,"Barnet edgware","Barnet",2010,0,"edgware"
"124","E05000050",5,0.392,"Barnet edgware","Barnet",2006,0,"edgware"
"125","E05000050",5,0.323,"Barnet edgware","Barnet",2002,0,"edgware"
"126","E05000051",5,0.4071,"Barnet finchleychurchend","Barnet",2014,0,NA
"127","E05000051",5,0.47,"Barnet finchleychurchend","Barnet",2018,0,NA
"128","E05000051",5,0.671,"Barnet finchleychurchend","Barnet",2010,0,"finchleychurchend"
"129","E05000051",5,0.428,"Barnet finchleychurchend","Barnet",2006,0,"finchleychurchend"
"130","E05000051",5,0.343,"Barnet finchleychurchend","Barnet",2002,0,"finchleychurchend"
"131","E05000052",5,0.4231,"Barnet gardensuburb","Barnet",2014,0,NA
"132","E05000052",5,0.48,"Barnet gardensuburb","Barnet",2018,0,NA
"133","E05000052",5,0.709,"Barnet gardensuburb","Barnet",2010,0,"gardensuburb"
"134","E05000052",5,0.463,"Barnet gardensuburb","Barnet",2006,0,"gardensuburb"
"135","E05000052",5,0.38,"Barnet gardensuburb","Barnet",2002,0,"gardensuburb"
"136","E05000053",5,0.3875,"Barnet goldersgreen","Barnet",2014,0,NA
"137","E05000053",5,0.44,"Barnet goldersgreen","Barnet",2018,0,NA
"138","E05000053",5,0.575,"Barnet goldersgreen","Barnet",2010,0,"goldersgreen"
"139","E05000053",5,0.367,"Barnet goldersgreen","Barnet",2006,0,"goldersgreen"
"140","E05000053",5,0.381,"Barnet goldersgreen","Barnet",2002,0,"goldersgreen"
"141","E05000054",5,0.4341,"Barnet hale","Barnet",2014,0,NA
"142","E05000054",5,0.5,"Barnet hale","Barnet",2018,0,NA
"143","E05000054",5,0.667,"Barnet hale","Barnet",2010,0,"hale"
"144","E05000054",5,0.457,"Barnet hale","Barnet",2006,0,"hale"
"145","E05000054",5,0.365,"Barnet hale","Barnet",2002,0,"hale"
"146","E05000055",5,0.3702,"Barnet hendon","Barnet",2014,0,NA
"147","E05000055",5,0.41,"Barnet hendon","Barnet",2018,0,NA
"148","E05000055",5,0.57,"Barnet hendon","Barnet",2010,0,"hendon"
"149","E05000055",5,0.346,"Barnet hendon","Barnet",2006,0,"hendon"
"150","E05000055",5,0.305,"Barnet hendon","Barnet",2002,0,"hendon"
"151","E05000056",5,0.4765,"Barnet highbarnet","Barnet",2014,0,NA
"152","E05000056",5,0.55,"Barnet highbarnet","Barnet",2018,0,NA
"153","E05000056",5,0.713,"Barnet highbarnet","Barnet",2010,0,"highbarnet"
"154","E05000056",5,0.5,"Barnet highbarnet","Barnet",2006,0,"highbarnet"
"155","E05000056",5,0.376,"Barnet highbarnet","Barnet",2002,0,"highbarnet"
"156","E05000057",5,0.4029,"Barnet millhill","Barnet",2014,0,NA
"157","E05000057",5,0.44,"Barnet millhill","Barnet",2018,0,NA
"158","E05000057",5,0.66,"Barnet millhill","Barnet",2010,0,"millhill"
"159","E05000057",5,0.444,"Barnet millhill","Barnet",2006,0,"millhill"
"160","E05000057",5,0.36,"Barnet millhill","Barnet",2002,0,"millhill"
"161","E05000058",5,0.4067,"Barnet oakleigh","Barnet",2014,0,NA
"162","E05000058",5,0.46,"Barnet oakleigh","Barnet",2018,0,NA
"163","E05000058",5,0.671,"Barnet oakleigh","Barnet",2010,0,"oakleigh"
"164","E05000058",5,0.447,"Barnet oakleigh","Barnet",2006,0,"oakleigh"
"165","E05000058",5,0.339,"Barnet oakleigh","Barnet",2002,0,"oakleigh"
"166","E05000059",5,0.4084,"Barnet totteridge","Barnet",2014,0,NA
"167","E05000059",5,0.47,"Barnet totteridge","Barnet",2018,0,NA
"168","E05000059",5,0.681,"Barnet totteridge","Barnet",2010,0,"totteridge"
"169","E05000059",5,0.425,"Barnet totteridge","Barnet",2006,0,"totteridge"
"170","E05000059",5,0.342,"Barnet totteridge","Barnet",2002,0,"totteridge"
"171","E05000060",5,0.4276,"Barnet underhill","Barnet",2014,0,NA
"172","E05000060",5,0.43,"Barnet underhill","Barnet",2018,0,NA
"173","E05000060",5,0.638,"Barnet underhill","Barnet",2010,0,"underhill"
"174","E05000060",5,0.485,"Barnet underhill","Barnet",2006,0,"underhill"
"175","E05000060",5,0.382,"Barnet underhill","Barnet",2002,0,"underhill"
"176","E05000061",5,0.4475,"Barnet westfinchley","Barnet",2014,0,NA
"177","E05000061",5,0.44,"Barnet westfinchley","Barnet",2018,0,NA
"178","E05000061",5,0.636,"Barnet westfinchley","Barnet",2010,0,"westfinchley"
"179","E05000061",5,0.447,"Barnet westfinchley","Barnet",2006,0,"westfinchley"
"180","E05000061",5,0.355,"Barnet westfinchley","Barnet",2002,0,"westfinchley"
"181","E05000062",5,0.3798,"Barnet westhendon","Barnet",2014,0,NA
"182","E05000062",5,0.42,"Barnet westhendon","Barnet",2018,0,NA
"183","E05000062",5,0.587,"Barnet westhendon","Barnet",2010,0,"westhendon"
"184","E05000062",5,0.355,"Barnet westhendon","Barnet",2006,0,"westhendon"
"185","E05000062",5,0.29,"Barnet westhendon","Barnet",2002,0,"westhendon"
"186","E05000063",5,0.4185,"Barnet woodhouse","Barnet",2014,0,NA
"187","E05000063",5,0.43,"Barnet woodhouse","Barnet",2018,0,NA
"188","E05000063",5,0.631,"Barnet woodhouse","Barnet",2010,0,"woodhouse"
"189","E05000063",5,0.453,"Barnet woodhouse","Barnet",2006,0,"woodhouse"
"190","E05000063",5,0.363,"Barnet woodhouse","Barnet",2002,0,"woodhouse"
"191","E05000064",4,0.4227,"Bexley barnehurst","Bexley",2014,0,NA
"192","E05000064",4,0.699,"Bexley barnehurst","Bexley",2010,0,"barnehurst"
"193","E05000064",4,0.456,"Bexley barnehurst","Bexley",2006,0,"barnehurst"
"194","E05000064",4,0.386,"Bexley barnehurst","Bexley",2002,0,"barnehurst"
"195","E05000065",4,0.3875,"Bexley belvedere","Bexley",2014,0,NA
"196","E05000065",4,0.623,"Bexley belvedere","Bexley",2010,0,"belvedere"
"197","E05000065",4,0.359,"Bexley belvedere","Bexley",2006,0,"belvedere"
"198","E05000065",4,0.281,"Bexley belvedere","Bexley",2002,0,"belvedere"
"199","E05000066",2,0.4157,"Bexley blackfenandlamorbey","Bexley",2014,0,NA
"200","E05000066",2,0.371,"Bexley blackfenandlamorbey","Bexley",2002,0,"blackfenandlamorbey"
"201","E05000067",2,0.4124,"Bexley blendonandpenhill","Bexley",2014,0,NA
"202","E05000067",2,0.328,"Bexley blendonandpenhill","Bexley",2002,0,"blendonandpenhill"
"203","E05000068",4,0.4552,"Bexley brampton","Bexley",2014,0,NA
"204","E05000068",4,0.747,"Bexley brampton","Bexley",2010,0,"brampton"
"205","E05000068",4,0.503,"Bexley brampton","Bexley",2006,0,"brampton"
"206","E05000068",4,0.445,"Bexley brampton","Bexley",2002,0,"brampton"
"207","E05000069",4,0.3963,"Bexley christchurch","Bexley",2014,0,NA
"208","E05000069",4,0.689,"Bexley christchurch","Bexley",2010,0,"christchurch"
"209","E05000069",4,0.422,"Bexley christchurch","Bexley",2006,0,"christchurch"
"210","E05000069",4,0.372,"Bexley christchurch","Bexley",2002,0,"christchurch"
"211","E05000070",4,0.4029,"Bexley colyers","Bexley",2014,0,NA
"212","E05000070",4,0.616,"Bexley colyers","Bexley",2010,0,"colyers"
"213","E05000070",4,0.405,"Bexley colyers","Bexley",2006,0,"colyers"
"214","E05000070",4,0.419,"Bexley colyers","Bexley",2002,0,"colyers"
"215","E05000071",4,0.3763,"Bexley crayford","Bexley",2014,0,NA
"216","E05000071",4,0.643,"Bexley crayford","Bexley",2010,0,"crayford"
"217","E05000071",4,0.423,"Bexley crayford","Bexley",2006,0,"crayford"
"218","E05000071",4,0.307,"Bexley crayford","Bexley",2002,0,"crayford"
"219","E05000072",4,0.3631,"Bexley craymeadows","Bexley",2014,0,NA
"220","E05000072",4,0.641,"Bexley craymeadows","Bexley",2010,0,"craymeadows"
"221","E05000072",4,0.464,"Bexley craymeadows","Bexley",2006,0,"craymeadows"
"222","E05000072",4,0.429,"Bexley craymeadows","Bexley",2002,0,"craymeadows"
"223","E05000073",4,0.3918,"Bexley dansonpark","Bexley",2014,0,NA
"224","E05000073",4,0.676,"Bexley dansonpark","Bexley",2010,0,"dansonpark"
"225","E05000073",4,0.441,"Bexley dansonpark","Bexley",2006,0,"dansonpark"
"226","E05000073",4,0.37,"Bexley dansonpark","Bexley",2002,0,"dansonpark"
"227","E05000074",4,0.3995,"Bexley eastwickham","Bexley",2014,0,NA
"228","E05000074",4,0.683,"Bexley eastwickham","Bexley",2010,0,"eastwickham"
"229","E05000074",4,0.453,"Bexley eastwickham","Bexley",2006,0,"eastwickham"
"230","E05000074",4,0.365,"Bexley eastwickham","Bexley",2002,0,"eastwickham"
"231","E05000075",4,0.3564,"Bexley erith","Bexley",2014,0,NA
"232","E05000075",4,0.592,"Bexley erith","Bexley",2010,0,"erith"
"233","E05000075",4,0.322,"Bexley erith","Bexley",2006,0,"erith"
"234","E05000075",4,0.263,"Bexley erith","Bexley",2002,0,"erith"
"235","E05000076",2,0.4264,"Bexley falconwoodandwelling","Bexley",2014,0,NA
"236","E05000076",2,0.392,"Bexley falconwoodandwelling","Bexley",2002,0,"falconwoodandwelling"
"237","E05000077",4,0.422,"Bexley lesnesabbey","Bexley",2014,0,NA
"238","E05000077",4,0.659,"Bexley lesnesabbey","Bexley",2010,0,"lesnesabbey"
"239","E05000077",4,0.452,"Bexley lesnesabbey","Bexley",2006,0,"lesnesabbey"
"240","E05000077",4,0.406,"Bexley lesnesabbey","Bexley",2002,0,"lesnesabbey"
"241","E05000078",4,0.3974,"Bexley longlands","Bexley",2014,0,NA
"242","E05000078",4,0.693,"Bexley longlands","Bexley",2010,0,"longlands"
"243","E05000078",4,0.433,"Bexley longlands","Bexley",2006,0,"longlands"
"244","E05000078",4,0.358,"Bexley longlands","Bexley",2002,0,"longlands"
"245","E05000079",4,0.3332,"Bexley northend","Bexley",2014,0,NA
"246","E05000079",4,0.575,"Bexley northend","Bexley",2010,0,"northend"
"247","E05000079",4,0.319,"Bexley northend","Bexley",2006,0,"northend"
"248","E05000079",4,0.345,"Bexley northend","Bexley",2002,0,"northend"
"249","E05000080",4,0.4212,"Bexley northumberlandheath","Bexley",2014,0,NA
"250","E05000080",4,0.695,"Bexley northumberlandheath","Bexley",2010,0,"northumberlandheath"
"251","E05000080",4,0.466,"Bexley northumberlandheath","Bexley",2006,0,"northumberlandheath"
"252","E05000080",4,0.351,"Bexley northumberlandheath","Bexley",2002,0,"northumberlandheath"
"253","E05000081",4,0.4288,"Bexley stmarys","Bexley",2014,0,NA
"254","E05000081",4,0.745,"Bexley stmarys","Bexley",2010,0,"stmarys"
"255","E05000081",4,0.454,"Bexley stmarys","Bexley",2006,0,"stmarys"
"256","E05000081",4,0.395,"Bexley stmarys","Bexley",2002,0,"stmarys"
"257","E05000082",4,0.3794,"Bexley stmichaels","Bexley",2014,0,NA
"258","E05000082",4,0.695,"Bexley stmichaels","Bexley",2010,0,"stmichaels"
"259","E05000082",4,0.465,"Bexley stmichaels","Bexley",2006,0,"stmichaels"
"260","E05000082",4,0.359,"Bexley stmichaels","Bexley",2002,0,"stmichaels"
"261","E05000083",4,0.4062,"Bexley sidcup","Bexley",2014,0,NA
"262","E05000083",4,0.711,"Bexley sidcup","Bexley",2010,0,"sidcup"
"263","E05000083",4,0.447,"Bexley sidcup","Bexley",2006,0,"sidcup"
"264","E05000083",4,0.375,"Bexley sidcup","Bexley",2002,0,"sidcup"
"265","E05000084",4,0.3281,"Bexley thamesmeadeast","Bexley",2014,0,NA
"266","E05000084",4,0.534,"Bexley thamesmeadeast","Bexley",2010,0,"thamesmeadeast"
"267","E05000084",4,0.262,"Bexley thamesmeadeast","Bexley",2006,0,"thamesmeadeast"
"268","E05000084",4,0.195,"Bexley thamesmeadeast","Bexley",2002,0,"thamesmeadeast"
"269","E05000085",5,0.4594,"Brent alperton","Brent",2014,0,NA
"270","E05000085",5,0.47,"Brent alperton","Brent",2018,0,NA
"271","E05000085",5,0.65,"Brent alperton","Brent",2010,0,"alperton"
"272","E05000085",5,0.414,"Brent alperton","Brent",2006,0,"alperton"
"273","E05000085",5,0.374,"Brent alperton","Brent",2002,0,"alperton"
"274","E05000086",5,0.3211,"Brent barnhill","Brent",2014,0,NA
"275","E05000086",5,0.34,"Brent barnhill","Brent",2018,0,NA
"276","E05000086",5,0.575,"Brent barnhill","Brent",2010,0,"barnhill"
"277","E05000086",5,0.326,"Brent barnhill","Brent",2006,0,"barnhill"
"278","E05000086",5,0.33,"Brent barnhill","Brent",2002,0,"barnhill"
"279","E05000087",5,0.3653,"Brent brondesburypark","Brent",2014,0,NA
"280","E05000087",5,0.41,"Brent brondesburypark","Brent",2018,0,NA
"281","E05000087",5,0.618,"Brent brondesburypark","Brent",2010,0,"brondesburypark"
"282","E05000087",5,0.4,"Brent brondesburypark","Brent",2006,0,"brondesburypark"
"283","E05000087",5,0.295,"Brent brondesburypark","Brent",2002,0,"brondesburypark"
"284","E05000088",5,0.4374,"Brent dollishill","Brent",2014,0,NA
"285","E05000088",5,0.43,"Brent dollishill","Brent",2018,0,NA
"286","E05000088",5,0.598,"Brent dollishill","Brent",2010,0,"dollishill"
"287","E05000088",5,0.394,"Brent dollishill","Brent",2006,0,"dollishill"
"288","E05000088",5,0.296,"Brent dollishill","Brent",2002,0,"dollishill"
"289","E05000089",5,0.4112,"Brent duddenhill","Brent",2014,0,NA
"290","E05000089",5,0.38,"Brent duddenhill","Brent",2018,0,NA
"291","E05000089",5,0.589,"Brent duddenhill","Brent",2010,0,"duddenhill"
"292","E05000089",5,0.383,"Brent duddenhill","Brent",2006,0,"duddenhill"
"293","E05000089",5,0.282,"Brent duddenhill","Brent",2002,0,"duddenhill"
"294","E05000090",5,0.3477,"Brent fryent","Brent",2014,0,NA
"295","E05000090",5,0.35,"Brent fryent","Brent",2018,0,NA
"296","E05000090",5,0.615,"Brent fryent","Brent",2010,0,"fryent"
"297","E05000090",5,0.408,"Brent fryent","Brent",2006,0,"fryent"
"298","E05000090",5,0.322,"Brent fryent","Brent",2002,0,"fryent"
"299","E05000091",5,0.3024,"Brent harlesden","Brent",2014,0,NA
"300","E05000091",5,0.3,"Brent harlesden","Brent",2018,0,NA
"301","E05000091",5,0.548,"Brent harlesden","Brent",2010,0,"harlesden"
"302","E05000091",5,0.269,"Brent harlesden","Brent",2006,0,"harlesden"
"303","E05000091",5,0.225,"Brent harlesden","Brent",2002,0,"harlesden"
"304","E05000092",5,0.3309,"Brent kensalgreen","Brent",2014,0,NA
"305","E05000092",5,0.36,"Brent kensalgreen","Brent",2018,0,NA
"306","E05000092",5,0.581,"Brent kensalgreen","Brent",2010,0,"kensalgreen"
"307","E05000092",5,0.299,"Brent kensalgreen","Brent",2006,0,"kensalgreen"
"308","E05000092",5,0.225,"Brent kensalgreen","Brent",2002,0,"kensalgreen"
"309","E05000093",5,0.3559,"Brent kenton","Brent",2014,0,NA
"310","E05000093",5,0.38,"Brent kenton","Brent",2018,0,NA
"311","E05000093",5,0.665,"Brent kenton","Brent",2010,0,"kenton"
"312","E05000093",5,0.402,"Brent kenton","Brent",2006,0,"kenton"
"313","E05000093",5,0.345,"Brent kenton","Brent",2002,0,"kenton"
"314","E05000094",5,0.3227,"Brent kilburn","Brent",2014,0,NA
"315","E05000094",5,0.33,"Brent kilburn","Brent",2018,0,NA
"316","E05000094",5,0.592,"Brent kilburn","Brent",2010,0,"kilburn"
"317","E05000094",5,0.312,"Brent kilburn","Brent",2006,0,"kilburn"
"318","E05000094",5,0.209,"Brent kilburn","Brent",2002,0,"kilburn"
"319","E05000095",5,0.3503,"Brent mapesbury","Brent",2014,0,NA
"320","E05000095",5,0.37,"Brent mapesbury","Brent",2018,0,NA
"321","E05000095",5,0.582,"Brent mapesbury","Brent",2010,0,"mapesbury"
"322","E05000095",5,0.364,"Brent mapesbury","Brent",2006,0,"mapesbury"
"323","E05000095",5,0.278,"Brent mapesbury","Brent",2002,0,"mapesbury"
"324","E05000096",5,0.3755,"Brent northwickpark","Brent",2014,0,NA
"325","E05000096",5,0.37,"Brent northwickpark","Brent",2018,0,NA
"326","E05000096",5,0.607,"Brent northwickpark","Brent",2010,0,"northwickpark"
"327","E05000096",5,0.348,"Brent northwickpark","Brent",2006,0,"northwickpark"
"328","E05000096",5,0.318,"Brent northwickpark","Brent",2002,0,"northwickpark"
"329","E05000097",5,0.3572,"Brent preston","Brent",2014,0,NA
