duration,agree,lt_follow,ht_follow,competence,benevolence,honesty,PPP,PCP,coproduce,sex,race,age,ideology,income,education,at,gw,gwh,covid_concern,covid_job,rand,trust_DO,dv_DO,climatebelief,covid,white,black,hispanic,asian,other,trustprime
110,1,NA,NA,5,5,5,40,87,61,1,white,31,2,3,5,80,1,1,4,1,control,trust intro|benevolence|honesty|competence,PPP|coproduce|PCP,1,5,1,0,0,0,0,1
68,1,NA,NA,6,6,6,73,69,70,0,white,32,4,2,3,80,1,1,4,4,control,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,8,1,0,0,0,0,1
188,1,NA,15,6,5,5,70,70,25,0,white,46,4,4,5,80,-1,-1,2,2,ht,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,-1,4,1,0,0,0,0,2
143,1,12,NA,6,6,5,54,88,71,0,white,57,5,1,2,80,1,0,1,4,lt,trust intro|competence|honesty|benevolence,coproduce|PCP|PPP,0.5,5,1,0,0,0,0,0
216,1,NA,15,5,4,4,11,95,80,0,white,50,1,3,4,80,1,1,4,4,ht,trust intro|competence|honesty|benevolence,coproduce|PPP|PCP,1,8,1,0,0,0,0,2
219,1,NA,12,2,2,2,0,100,100,1,white,24,1,6,3,80,1,1,5,5,ht,trust intro|honesty|benevolence|competence,PPP|PCP|coproduce,1,10,1,0,0,0,0,2
220,1,12,NA,1,1,1,64,71,79,1,white,29,4,5,3,80,-1,-1,3,3,lt,trust intro|competence|honesty|benevolence,PCP|PPP|coproduce,-1,6,1,0,0,0,0,0
228,1,NA,NA,1,1,1,90,85,80,1,white,42,4,1,3,80,-1,-1,2,3,control,trust intro|benevolence|competence|honesty,PCP|coproduce|PPP,-1,5,1,0,0,0,0,1
66,1,NA,NA,5,5,4,70,51,68,0,black,46,3,7,8,80,1,1,4,2,control,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,6,0,1,0,0,0,1
124,1,NA,NA,6,7,6,38,100,84,0,white,31,3,6,5,80,1,1,2,2,control,trust intro|honesty|competence|benevolence,PPP|PCP|coproduce,1,4,1,0,0,0,0,1
167,1,12,NA,2,2,2,20,75,75,0,white,35,2,1,3,80,1,1,3,4,lt,trust intro|benevolence|honesty|competence,PPP|coproduce|PCP,1,7,1,0,0,0,0,0
224,1,NA,NA,5,5,4,30,100,90,1,white,41,1,6,4,80,1,1,4,3,control,trust intro|competence|honesty|benevolence,PCP|PPP|coproduce,1,7,1,0,0,0,0,1
102,1,NA,NA,5,5,5,36,72,74,0,white,44,2,6,5,80,1,1,3,2,control,trust intro|honesty|competence|benevolence,PPP|PCP|coproduce,1,5,1,0,0,0,0,1
163,1,13,NA,5,6,5,61,100,100,0,white,47,2,5,6,80,1,1,3,1,lt,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,4,1,0,0,0,0,0
343,1,12,NA,5,3,3,60,100,90,0,white,41,2,4,5,80,1,1,1,1,lt,trust intro|competence|honesty|benevolence,coproduce|PPP|PCP,1,2,1,0,0,0,0,0
155,1,NA,16,4,4,4,28,84,50,0,white,40,2,1,6,80,1,1,4,3,ht,trust intro|benevolence|honesty|competence,PPP|coproduce|PCP,1,7,1,0,0,0,0,2
288,1,14,NA,5,5,5,50,85,75,0,white,47,2,2,8,80,1,1,3,2,lt,trust intro|benevolence|competence|honesty,PCP|PPP|coproduce,1,5,1,0,0,0,0,0
292,1,NA,15,5,4,5,82,82,63,0,white,27,1,3,6,80,1,1,4,4,ht,trust intro|benevolence|honesty|competence,PCP|PPP|coproduce,1,8,1,0,0,0,0,2
309,1,NA,15,6,7,6,82,86,85,1,white,32,2,4,5,80,1,0,4,5,ht,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,0.5,9,1,0,0,0,0,2
296,1,12,NA,1,1,1,91,85,87,1,black,50,2,3,5,80,1,1,4,4,lt,trust intro|honesty|benevolence|competence,PPP|PCP|coproduce,1,8,0,1,0,0,0,0
147,1,NA,NA,3,3,5,81,81,70,0,white,47,4,7,3,80,1,1,2,2,control,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,1,4,1,0,0,0,0,1
204,1,NA,NA,4,2,3,39,90,81,0,white,35,1,5,5,80,1,1,4,2,control,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,6,1,0,0,0,0,1
273,1,NA,NA,5,5,4,78,81,92,1,white,36,3,3,4,80,0,1,5,4,control,trust intro|honesty|competence|benevolence,PCP|coproduce|PPP,0.5,9,1,0,0,0,0,1
117,1,NA,NA,6,6,6,51,100,100,1,white,55,1,4,3,80,1,1,2,1,control,trust intro|benevolence|honesty|competence,coproduce|PCP|PPP,1,3,1,0,0,0,0,1
173,1,NA,NA,5,6,5,70,83,62,0,white,43,2,7,5,80,1,1,2,2,control,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,4,1,0,0,0,0,1
339,1,NA,15,5,5,3,100,100,76,1,black,44,4,7,3,80,1,1,4,2,ht,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,1,6,0,1,0,0,0,2
144,1,NA,NA,5,4,4,64,68,67,0,white,30,4,6,6,80,1,1,3,4,control,trust intro|benevolence|competence|honesty,PCP|PPP|coproduce,1,7,1,0,0,0,0,1
208,1,NA,16,5,5,6,76,100,100,0,white,60,3,1,5,80,1,1,4,2,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,6,1,0,0,0,0,2
122,1,NA,NA,7,2,1,93,85,100,1,white,23,1,2,3,80,1,1,3,1,control,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,1,4,1,0,0,0,0,1
198,1,NA,NA,6,6,6,50,96,95,0,asian,25,3,6,5,80,1,1,4,5,control,trust intro|competence|benevolence|honesty,PPP|coproduce|PCP,1,9,0,0,0,1,0,1
102,1,NA,13,2,2,2,71,71,53,0,white,32,5,6,5,80,1,0,1,3,ht,trust intro|competence|honesty|benevolence,PCP|PPP|coproduce,0.5,4,1,0,0,0,0,2
129,1,NA,16,6,6,6,59,71,61,1,other,25,2,3,5,80,1,1,3,4,ht,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,7,0,0,0,0,1,2
100,1,NA,NA,4,4,4,69,78,61,1,hispanic,29,3,2,4,80,1,1,3,5,control,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,8,0,0,1,0,0,1
195,1,NA,16,5,6,5,30,100,82,1,white,35,2,6,5,80,1,1,4,4,ht,trust intro|benevolence|honesty|competence,PPP|coproduce|PCP,1,8,1,0,0,0,0,2
356,1,NA,NA,6,6,5,81,71,83,0,white,51,4,6,4,80,-1,1,4,4,control,trust intro|benevolence|honesty|competence,PPP|PCP|coproduce,0,8,1,0,0,0,0,1
100,1,NA,NA,5,6,3,23,68,60,1,white,49,2,5,5,80,1,1,3,2,control,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,5,1,0,0,0,0,1
137,1,NA,NA,6,6,6,70,100,100,1,white,62,1,3,3,80,1,1,3,1,control,trust intro|honesty|benevolence|competence,PPP|PCP|coproduce,1,4,1,0,0,0,0,1
169,1,NA,NA,5,5,4,10,100,85,0,asian,20,3,4,3,80,1,1,3,4,control,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,1,7,0,0,0,1,0,1
154,1,12,NA,3,3,2,30,88,79,1,white,26,3,6,5,80,1,1,4,4,lt,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,8,1,0,0,0,0,0
339,1,NA,16,7,7,6,70,100,81,1,white,55,4,4,3,80,1,1,5,5,ht,trust intro|competence|benevolence|honesty,PPP|coproduce|PCP,1,10,1,0,0,0,0,2
131,1,NA,NA,7,7,6,94,99,91,0,asian,28,3,1,5,80,1,0,3,1,control,trust intro|honesty|competence|benevolence,coproduce|PPP|PCP,0.5,4,0,0,0,1,0,1
228,1,NA,16,5,6,6,50,50,20,0,white,65,3,1,5,80,1,0,5,1,ht,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,0.5,6,1,0,0,0,0,2
151,1,12,NA,3,5,2,72,79,71,1,white,38,4,6,5,80,1,1,4,4,lt,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,1,8,1,0,0,0,0,0
287,1,13,NA,6,5,5,96,92,51,0,white,51,3,3,6,80,1,1,4,3,lt,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,1,7,1,0,0,0,0,0
1760,1,NA,NA,6,4,5,62,56,57,1,hispanic,46,3,3,5,80,1,-1,3,3,control,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,0,6,0,0,1,0,0,1
57,1,NA,NA,2,3,3,38,25,75,1,white,24,1,3,3,80,1,1,5,5,control,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,1,10,1,0,0,0,0,1
117,1,NA,15,4,2,4,61,37,67,1,hispanic,28,3,4,2,80,1,1,3,3,ht,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,1,6,0,0,1,0,0,2
347,1,NA,NA,4,2,4,70,100,80,0,other,34,4,4,3,80,-1,-1,1,1,control,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,-1,2,0,0,0,0,1,1
240,1,NA,15,7,6,6,75,80,90,0,hispanic,33,3,5,3,80,1,1,1,4,ht,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,5,0,0,1,0,0,2
124,1,13,NA,4,5,3,79,84,100,0,hispanic,57,2,1,5,80,1,1,4,2,lt,trust intro|honesty|competence|benevolence,PCP|PPP|coproduce,1,6,0,0,1,0,0,0
116,1,12,NA,3,3,6,33,69,75,1,black,35,4,4,5,80,1,1,5,5,lt,trust intro|competence|honesty|benevolence,PCP|PPP|coproduce,1,10,0,1,0,0,0,0
677,1,NA,16,5,5,5,70,100,100,0,white,36,2,5,5,80,1,1,3,2,ht,trust intro|honesty|competence|benevolence,PPP|PCP|coproduce,1,5,1,0,0,0,0,2
130,1,NA,16,4,4,3,63,77,42,1,white,35,4,6,5,80,0,0,1,1,ht,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,0,2,1,0,0,0,0,2
193,1,NA,NA,6,5,3,74,100,100,1,hispanic,30,3,5,5,80,1,1,1,3,control,trust intro|competence|honesty|benevolence,PPP|PCP|coproduce,1,4,0,0,1,0,0,1
190,1,NA,15,5,5,4,68,65,69,0,white,32,3,3,5,80,1,1,4,4,ht,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,1,8,1,0,0,0,0,2
225,1,NA,NA,4,4,4,75,100,90,1,white,46,1,3,5,80,1,1,5,2,control,trust intro|honesty|competence|benevolence,coproduce|PPP|PCP,1,7,1,0,0,0,0,1
68,1,NA,13,3,2,1,33,12,2,0,white,34,4,4,5,80,1,1,4,4,ht,trust intro|benevolence|competence|honesty,PPP|coproduce|PCP,1,8,1,0,0,0,0,2
156,1,NA,NA,5,4,2,73,51,74,1,black,28,4,2,4,81,1,0,5,4,control,trust intro|honesty|benevolence|competence,PCP|PPP|coproduce,0.5,9,0,1,0,0,0,1
119,1,NA,NA,6,6,6,68,98,68,0,white,27,4,5,4,80,1,1,3,2,control,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,5,1,0,0,0,0,1
307,1,13,NA,4,4,3,57,56,59,1,white,26,2,4,6,80,1,1,3,3,lt,trust intro|honesty|benevolence|competence,PCP|PPP|coproduce,1,6,1,0,0,0,0,0
156,1,NA,NA,4,3,4,51,71,71,1,hispanic,22,3,3,5,80,1,1,3,4,control,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,1,7,0,0,1,0,0,1
424,1,NA,16,5,3,4,34,100,71,1,other,36,2,2,2,80,1,1,5,1,ht,trust intro|competence|honesty|benevolence,coproduce|PCP|PPP,1,6,0,0,0,0,1,2
525,1,NA,13,6,5,5,65,73,51,1,white,50,4,6,3,80,0,-1,2,3,ht,trust intro|benevolence|competence|honesty,coproduce|PCP|PPP,-0.5,5,1,0,0,0,0,2
1174,1,13,NA,3,3,3,67,66,72,0,white,30,4,3,5,80,0,0,4,3,lt,trust intro|benevolence|competence|honesty,PCP|coproduce|PPP,0,7,1,0,0,0,0,0
187,1,NA,NA,5,5,5,86,91,86,0,white,50,1,6,2,80,1,1,4,1,control,trust intro|benevolence|honesty|competence,PPP|coproduce|PCP,1,5,1,0,0,0,0,1
172,1,NA,15,6,6,6,65,80,45,0,white,26,3,5,5,80,1,1,3,1,ht,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,1,4,1,0,0,0,0,2
71,1,NA,14,4,4,4,53,52,55,0,white,29,3,3,5,80,1,1,4,4,ht,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,1,8,1,0,0,0,0,2
271,1,NA,15,5,5,3,0,80,19,1,white,32,4,4,2,80,1,1,3,2,ht,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,5,1,0,0,0,0,2
259,1,12,NA,1,1,1,51,92,79,1,black,39,3,2,3,80,1,1,5,5,lt,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,1,10,0,1,0,0,0,0
263,1,NA,15,4,2,2,52,100,73,0,white,46,1,1,5,80,1,1,1,5,ht,trust intro|competence|honesty|benevolence,PPP|coproduce|PCP,1,6,1,0,0,0,0,2
1496,1,NA,NA,3,2,2,25,83,82,0,asian,30,2,5,5,80,1,1,4,4,control,trust intro|benevolence|competence|honesty,coproduce|PCP|PPP,1,8,0,0,0,1,0,1
132,1,NA,16,5,6,6,46,100,80,1,white,30,1,6,6,80,1,1,4,4,ht,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,8,1,0,0,0,0,2
338,1,NA,NA,5,5,4,81,100,56,1,black,29,2,4,6,80,1,1,4,2,control,trust intro|competence|benevolence|honesty,coproduce|PPP|PCP,1,6,0,1,0,0,0,1
146,1,12,NA,5,6,6,57,88,65,0,white,37,3,7,6,80,0,0,2,2,lt,trust intro|benevolence|honesty|competence,coproduce|PPP|PCP,0,4,1,0,0,0,0,0
216,1,NA,15,5,5,5,60,100,100,1,white,44,3,3,4,80,0,0,1,1,ht,trust intro|competence|honesty|benevolence,PPP|PCP|coproduce,0,2,1,0,0,0,0,2
122,1,NA,NA,4,4,4,24,84,63,0,white,29,2,3,4,80,1,1,4,2,control,trust intro|competence|benevolence|honesty,coproduce|PPP|PCP,1,6,1,0,0,0,0,1
87,1,NA,NA,5,6,6,52,95,62,0,white,44,2,7,6,80,1,1,5,3,control,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,8,1,0,0,0,0,1
151,1,NA,16,7,7,7,60,60,92,1,white,31,2,6,5,80,1,1,3,1,ht,trust intro|competence|honesty|benevolence,PCP|coproduce|PPP,1,4,1,0,0,0,0,2
166,1,12,NA,2,3,2,20,100,80,1,white,33,2,1,3,80,1,1,5,2,lt,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,1,7,1,0,0,0,0,0
196,1,NA,15,4,5,4,61,70,54,1,white,68,4,3,3,80,-1,-1,1,2,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,-1,3,1,0,0,0,0,2
252,1,NA,16,6,6,7,92,87,78,0,white,41,2,4,4,80,1,1,4,2,ht,trust intro|benevolence|competence|honesty,coproduce|PPP|PCP,1,6,1,0,0,0,0,2
166,1,12,NA,3,3,1,100,100,100,0,white,30,1,1,5,80,1,1,4,1,lt,trust intro|benevolence|competence|honesty,coproduce|PCP|PPP,1,5,1,0,0,0,0,0
220,1,NA,13,6,5,5,61,92,100,1,hispanic,36,2,3,3,80,1,1,4,2,ht,trust intro|benevolence|honesty|competence,coproduce|PCP|PPP,1,6,0,0,1,0,0,2
497,1,14,NA,4,5,4,65,66,64,1,black,41,3,2,5,78,1,0,3,3,lt,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,0.5,6,0,1,0,0,0,0
76,1,15,NA,4,4,5,60,66,51,1,white,33,1,4,4,80,0,0,3,3,lt,trust intro|benevolence|competence|honesty,PCP|coproduce|PPP,0,6,1,0,0,0,0,0
593,1,12,NA,1,2,1,93,95,86,1,white,33,2,2,5,80,1,1,5,4,lt,trust intro|benevolence|honesty|competence,coproduce|PPP|PCP,1,9,1,0,0,0,0,0
174,1,NA,14,6,6,4,91,94,81,1,white,50,3,4,3,80,1,1,4,4,ht,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,8,1,0,0,0,0,2
134,1,NA,16,6,5,5,70,100,60,1,white,29,3,1,5,80,1,1,4,2,ht,trust intro|competence|honesty|benevolence,coproduce|PCP|PPP,1,6,1,0,0,0,0,2
250,1,NA,13,3,2,2,91,92,91,1,white,31,1,5,5,80,1,1,5,3,ht,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,1,8,1,0,0,0,0,2
252,1,12,NA,7,6,5,74,96,81,1,white,69,3,3,5,80,1,1,5,4,lt,trust intro|benevolence|honesty|competence,coproduce|PCP|PPP,1,9,1,0,0,0,0,0
121,1,NA,NA,6,5,3,33,81,84,1,asian,18,2,4,2,80,1,1,4,2,control,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,6,0,0,0,1,0,1
229,1,NA,16,6,5,5,80,100,50,0,white,28,3,4,3,80,1,1,3,1,ht,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,1,4,1,0,0,0,0,2
156,1,12,NA,1,1,1,67,100,100,1,white,37,2,4,4,80,-1,1,3,5,lt,trust intro|competence|honesty|benevolence,PCP|coproduce|PPP,0,8,1,0,0,0,0,0
111,1,NA,15,4,6,6,76,90,72,0,white,29,2,2,7,80,1,1,4,4,ht,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,8,1,0,0,0,0,2
187,1,NA,16,3,5,5,71,81,61,0,hispanic,27,3,2,3,80,1,1,3,5,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,8,0,0,1,0,0,2
744,1,NA,16,7,6,6,75,90,51,1,black,43,4,3,8,80,-1,0,4,3,ht,trust intro|competence|honesty|benevolence,coproduce|PCP|PPP,-0.5,7,0,1,0,0,0,2
276,1,NA,12,5,1,1,98,95,11,0,hispanic,63,3,4,5,80,1,0,4,1,ht,trust intro|honesty|benevolence|competence,PPP|PCP|coproduce,0.5,5,0,0,1,0,0,2
157,1,12,NA,5,5,5,100,100,100,1,white,50,4,3,4,80,1,1,2,2,lt,trust intro|honesty|competence|benevolence,PCP|PPP|coproduce,1,4,1,0,0,0,0,0
92,1,NA,16,5,4,3,0,100,67,1,white,23,2,1,2,80,1,1,5,5,ht,trust intro|competence|benevolence|honesty,PPP|PCP|coproduce,1,10,1,0,0,0,0,2
184,1,12,NA,4,4,3,27,95,53,1,black,41,2,3,5,80,1,1,5,5,lt,trust intro|honesty|benevolence|competence,PPP|coproduce|PCP,1,10,0,1,0,0,0,0
198,1,NA,15,3,6,4,92,91,51,0,white,28,3,3,6,80,1,1,5,1,ht,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,1,6,1,0,0,0,0,2
146,1,12,NA,6,4,3,61,67,64,0,white,38,4,3,3,80,1,1,2,3,lt,trust intro|benevolence|competence|honesty,PCP|PPP|coproduce,1,5,1,0,0,0,0,0
835,1,NA,15,6,5,6,90,91,82,0,black,37,5,3,6,80,1,1,5,4,ht,trust intro|honesty|benevolence|competence,PPP|coproduce|PCP,1,9,0,1,0,0,0,2
100,1,NA,16,6,6,6,69,66,70,1,white,29,2,7,5,80,1,1,4,3,ht,trust intro|benevolence|honesty|competence,PCP|coproduce|PPP,1,7,1,0,0,0,0,2
119,1,12,NA,1,1,1,29,93,92,0,black,33,2,4,5,80,1,1,2,1,lt,trust intro|benevolence|competence|honesty,PCP|coproduce|PPP,1,3,0,1,0,0,0,0
294,1,NA,NA,5,3,3,35,60,75,0,white,62,3,6,4,80,0,0,2,1,control,trust intro|honesty|benevolence|competence,PCP|coproduce|PPP,0,3,1,0,0,0,0,1
143,1,NA,15,5,5,5,29,80,73,1,white,23,3,3,2,80,1,1,4,2,ht,trust intro|honesty|benevolence|competence,PPP|coproduce|PCP,1,6,1,0,0,0,0,2
189,1,13,NA,3,2,2,57,62,40,1,hispanic,24,2,4,2,80,1,1,2,4,lt,trust intro|competence|benevolence|honesty,coproduce|PCP|PPP,1,6,0,0,1,0,0,0
156,1,NA,NA,5,5,5,72,74,44,0,white,41,3,3,3,80,1,1,2,4,control,trust intro|honesty|benevolence|competence,coproduce|PCP|PPP,1,6,1,0,0,0,0,1
231,1,NA,15,6,5,5,81,81,88,0,black,37,5,3,6,80,1,1,5,4,ht,trust intro|honesty|competence|benevolence,PPP|coproduce|PCP,1,9,0,1,0,0,0,2
192,1,NA,NA,5,3,5,35,90,90,0,asian,42,2,5,5,80,1,1,4,4,control,trust intro|benevolence|competence|honesty,PPP|PCP|coproduce,1,8,0,0,0,1,0,1
88,1,NA,NA,6,5,5,68,89,84,1,hispanic,37,4,5,4,80,1,1,4,2,control,trust intro|competence|honesty|benevolence,PPP|PCP|coproduce,1,6,0,0,1,0,0,1
212,1,NA,NA,5,5,3,90,80,30,1,asian,43,3,4,5,80,1,1,4,4,control,trust intro|benevolence|honesty|competence,coproduce|PCP|PPP,1,8,0,0,0,1,0,1
115,1,NA,NA,4,5,6,100,100,100,1,white,32,2,3,2,80,1,1,2,4,control,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,1,6,1,0,0,0,0,1
221,1,NA,NA,4,6,6,77,83,79,0,white,29,2,3,3,69,1,1,4,5,control,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,1,9,1,0,0,0,0,1
138,1,12,NA,3,2,5,0,60,100,0,other,19,1,6,4,80,1,1,5,1,lt,trust intro|honesty|benevolence|competence,PCP|PPP|coproduce,1,6,0,0,0,0,1,0
100,1,NA,15,5,4,6,78,74,80,1,white,32,2,3,3,65,1,1,4,4,ht,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,1,8,1,0,0,0,0,2
181,1,NA,NA,4,3,4,52,58,22,1,white,33,5,1,2,80,1,1,2,5,control,trust intro|competence|benevolence|honesty,PCP|coproduce|PPP,1,7,1,0,0,0,0,1
189,1,NA,16,6,5,5,9,94,100,1,white,64,1,7,3,80,1,1,5,1,ht,trust intro|honesty|benevolence|competence,PPP|coproduce|PCP,1,6,1,0,0,0,0,2
176,1,NA,NA,6,5,3,93,85,95,0,white,35,5,4,6,80,-1,0,1,2,control,trust intro|competence|benevolence|honesty,PCP|coproduce|PPP,-0.5,3,1,0,0,0,0,1
205,1,NA,NA,4,6,5,81,88,69,0,white,36,2,2,5,80,1,1,2,2,control,trust intro|benevolence|competence|honesty,coproduce|PCP|PPP,1,4,1,0,0,0,0,1
216,1,NA,16,6,5,5,88,86,17,1,white,34,2,4,5,80,1,0,2,1,ht,trust intro|competence|honesty|benevolence,coproduce|PCP|PPP,0.5,3,1,0,0,0,0,2
241,1,NA,NA,5,6,5,100,100,100,0,white,39,3,6,3,80,1,1,2,1,control,trust intro|benevolence|competence|honesty,PCP|PPP|coproduce,1,3,1,0,0,0,0,1
184,1,NA,15,6,5,5,70,91,57,0,white,45,2,4,5,80,1,1,3,1,ht,trust intro|competence|honesty|benevolence,PPP|PCP|coproduce,1,4,1,0,0,0,0,2
289,1,NA,12,5,4,5,44,40,100,1,white,32,2,2,2,80,1,1,5,5,ht,trust intro|competence|honesty|benevolence,PCP|coproduce|PPP,1,10,1,0,0,0,0,2
322,1,12,NA,4,4,4,10,80,70,1,white,26,1,2,5,80,1,1,5,5,lt,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,10,1,0,0,0,0,0
201,1,NA,15,5,6,6,69,70,59,1,white,30,4,2,4,80,1,0,5,5,ht,trust intro|competence|benevolence|honesty,PCP|PPP|coproduce,0.5,10,1,0,0,0,0,2
160,1,NA,16,6,7,7,89,91,86,0,white,38,2,5,2,92,1,1,5,5,ht,trust intro|benevolence|honesty|competence,PCP|PPP|coproduce,1,10,1,0,0,0,0,2
175,1,NA,NA,4,5,5,60,60,70,0,white,37,3,4,5,80,1,0,2,4,control,trust intro|honesty|competence|benevolence,coproduce|PCP|PPP,0.5,6,1,0,0,0,0,1
108,1,NA,NA,6,7,5,81,77,57,0,black,25,5,4,6,80,1,0,4,5,control,trust intro|competence|honesty|benevolence,coproduce|PPP|PCP,0.5,9,0,1,0,0,0,1
243,1,NA,NA,3,2,2,80,83,100,0,other,30,2,2,2,80,1,1,3,1,control,trust intro|honesty|competence|benevolence,PCP|PPP|coproduce,1,4,0,0,0,0,1,1
253,1,NA,16,4,5,5,65,75,40,0,white,37,3,3,3,80,1,1,2,1,ht,trust intro|honesty|benevolence|competence,coproduce|PPP|PCP,1,3,1,0,0,0,0,2
232,1,NA,15,6,6,6,97,100,97,1,white,34,5,4,4,80,1,1,5,5,ht,trust intro|competence|honesty|benevolence,PCP|coproduce|PPP,1,10,1,0,0,0,0,2
177,1,NA,NA,6,5,6,89,91,93,1,white,48,3,2,6,80,1,1,4,5,control,trust intro|benevolence|honesty|competence,PCP|PPP|coproduce,1,9,1,0,0,0,0,1
400,1,12,NA,5,5,5,70,86,70,0,white,29,2,7,5,80,1,1,4,3,lt,trust intro|honesty|competence|benevolence,PCP|PPP|coproduce,1,7,1,0,0,0,0,0
175,1,12,NA,5,5,5,80,76,70,0,white,34,3,5,4,80,1,1,3,2,lt,trust intro|benevolence|competence|honesty,PCP|PPP|coproduce,1,5,1,0,0,0,0,0
149,1,12,NA,4,4,4,50,100,100,1,white,34,1,4,5,80,1,1,5,5,lt,trust intro|competence|benevolence|honesty,PCP|coproduce|PPP,1,10,1,0,0,0,0,0
532,1,NA,NA,6,6,6,81,80,79,0,white,54,3,2,6,81,1,1,4,5,control,trust intro|honesty|competence|benevolence,coproduce|PPP|PCP,1,9,1,0,0,0,0,1
