codi,year,spp,postp,treatment_postp,intensity_postp,yrrate,pop_thou,urate
80410,2004.0,16.945606,1.0,0.0,0.0,6.345992,15.379,3.1991677
80425,2000.0,27.740059,0.0,0.0,0.0,,,
80425,2004.0,19.48052,1.0,0.0,0.0,,,
80431,2000.0,21.836735,0.0,0.0,0.0,,,
80431,2004.0,16.740366,1.0,0.0,0.0,,,
80446,2000.0,20.777779,0.0,0.0,0.0,,,
80446,2004.0,12.624069,1.0,0.0,0.0,,5.381,2.8990893
80459,2000.0,22.857143,0.0,0.0,0.0,,,
80459,2004.0,13.725491,1.0,0.0,0.0,,,
80462,2000.0,19.776892,0.0,0.0,0.0,13.95649,12.926,2.150704
80462,2004.0,12.570249,1.0,0.0,0.0,10.49834,15.673,2.8265169
80478,2000.0,20.362408,0.0,0.0,0.0,7.099391,5.475,1.4977169
80478,2004.0,13.184881,1.0,0.0,0.0,7.45509,5.181,2.026636
80484,2000.0,13.409091,0.0,0.0,0.0,,,
80484,2004.0,8.048289,1.0,0.0,0.0,,,
80497,2000.0,15.124153,0.0,0.0,0.0,,,
80497,2004.0,6.350711,1.0,0.0,0.0,,,
80500,2000.0,13.235294,0.0,0.0,0.0,,,
80500,2004.0,5.4945054,1.0,0.0,0.0,,,
80517,2000.0,17.039663,0.0,0.0,0.0,15.40613,18.385,2.6760945
80517,2004.0,11.119522,1.0,0.0,0.0,10.85992,21.701,3.1058476
80522,2000.0,11.111111,0.0,0.0,0.0,,,
80522,2004.0,8.59375,1.0,0.0,0.0,,,
80538,2000.0,17.492537,0.0,0.0,0.0,,,
80538,2004.0,13.190824,1.0,0.0,0.0,,,
80543,2000.0,25.204918,0.0,0.0,0.0,18.54007,9.026,1.8502105
80543,2004.0,15.631229,1.0,0.0,0.0,13.25264,11.401,2.8769407
80556,2000.0,14.572865,0.0,0.0,0.0,,,
80556,2004.0,8.794788,1.0,0.0,0.0,,,
80569,2000.0,33.331776,0.0,0.0,0.0,20.98339,47.96,2.2456214
80569,2004.0,23.269266,1.0,0.0,0.0,11.256,58.658,2.1156535
80575,2000.0,18.75,0.0,0.0,0.0,,,
80575,2004.0,9.523809,1.0,0.0,0.0,,,
80581,2000.0,13.10616,0.0,0.0,0.0,,,
80581,2004.0,13.292434,1.0,0.0,0.0,,,
80594,2000.0,17.058823,0.0,0.0,0.0,,,
80594,2004.0,6.837607,1.0,0.0,0.0,,,
80608,2000.0,14.925373,0.0,0.0,0.0,,,
80608,2004.0,16.129032,1.0,0.0,0.0,,,
80615,2000.0,14.905661,0.0,0.0,0.0,,,
80615,2004.0,13.783403,1.0,0.0,0.0,,,
80620,2000.0,22.580645,0.0,0.0,0.0,,,
80620,2004.0,13.507626,1.0,0.0,0.0,,,
80636,2000.0,19.23077,0.0,0.0,0.0,,,
80636,2004.0,9.69697,1.0,0.0,0.0,,,
80641,2000.0,11.185308,0.0,0.0,0.0,,,
80641,2004.0,5.960729,1.0,0.0,0.0,,,
80654,2000.0,17.089453,0.0,0.0,0.0,,,
80654,2004.0,7.912088,1.0,0.0,0.0,,,
80667,2000.0,27.65043,0.0,0.0,0.0,,,
80667,2004.0,17.432274,1.0,0.0,0.0,,,
80673,2000.0,14.945737,0.0,0.0,0.0,13.81944,5.867,2.522584
80673,2004.0,9.15162,1.0,0.0,0.0,11.17043,6.777,2.552752
80689,2000.0,24.82736,0.0,0.0,0.0,7.634408,6.425,2.7859921
80689,2004.0,17.022308,1.0,0.0,0.0,1.322957,7.829,2.9761145
80692,2000.0,23.555956,0.0,0.0,0.0,,,
80692,2004.0,18.262806,1.0,0.0,0.0,,,
80706,2000.0,11.320755,0.0,0.0,0.0,,,
80706,2004.0,5.0761423,1.0,0.0,0.0,,,
80713,2000.0,8.333333,0.0,0.0,0.0,,,
80713,2004.0,4.83871,1.0,0.0,0.0,,,
80728,2000.0,22.827898,0.0,0.0,0.0,26.89013,9.913,1.8662362
80728,2004.0,14.531425,1.0,0.0,0.0,5.623511,13.008,2.144834
80734,2000.0,22.84597,0.0,0.0,0.0,11.2799,81.338,3.202685
80734,2004.0,16.201706,1.0,0.0,0.0,9.721837,84.454,3.2763398
80749,2000.0,28.822954,0.0,0.0,0.0,,7.395,2.4205544
80749,2004.0,20.491646,1.0,0.0,0.0,17.82164,12.319,2.3703222
80752,2000.0,24.403927,0.0,0.0,0.0,,,
80752,2004.0,18.424688,1.0,0.0,0.0,,,
80765,2000.0,22.532742,0.0,0.0,0.0,21.39303,18.314,2.4680572
80765,2004.0,14.444928,1.0,0.0,0.0,8.45467,21.246,3.2570837
80771,2000.0,27.312008,0.0,0.0,0.0,6.999126,45.811,2.5976293
80771,2004.0,19.287615,1.0,0.0,0.0,10.84733,46.463,2.9055378
80787,2000.0,21.37931,0.0,0.0,0.0,,,
80787,2004.0,12.432432,1.0,0.0,0.0,,,
80790,2000.0,14.234876,0.0,0.0,0.0,,,
80790,2004.0,4.6979866,1.0,0.0,0.0,,,
80804,2000.0,12.5,0.0,0.0,0.0,,,
80804,2004.0,11.111111,1.0,0.0,0.0,,,
80811,2000.0,17.613636,0.0,0.0,0.0,,,
80811,2004.0,8.812261,1.0,0.0,0.0,,,
80826,2000.0,22.972973,0.0,0.0,0.0,,,
80826,2004.0,15.423729,1.0,0.0,0.0,,,
80832,2000.0,7.7605324,0.0,0.0,0.0,,,
80832,2004.0,3.6319613,1.0,0.0,0.0,,,
80847,2000.0,16.28866,0.0,0.0,0.0,,,
80847,2004.0,9.831461,1.0,0.0,0.0,,,
80850,2000.0,17.021276,0.0,0.0,0.0,,,
80850,2004.0,10.4325695,1.0,0.0,0.0,,,
80863,2000.0,21.792162,0.0,0.0,0.0,18.12254,13.246,2.6121094
80863,2004.0,14.503546,1.0,0.0,0.0,9.548806,16.058,3.014074
80879,2000.0,23.076923,0.0,0.0,0.0,,,
80879,2004.0,12.5,1.0,0.0,0.0,,,
80885,2000.0,18.692526,0.0,0.0,0.0,15.47718,12.156,1.5712405
80885,2004.0,12.269373,1.0,0.0,0.0,6.651072,14.066,2.0830371
80898,2000.0,24.91903,0.0,0.0,0.0,23.34576,40.443,2.5443215
80898,2004.0,17.49086,1.0,0.0,0.0,6.972694,44.644,2.5736942
80902,2000.0,10.989011,0.0,0.0,0.0,,,
80902,2004.0,4.123711,1.0,0.0,0.0,,,
80919,2000.0,19.146341,0.0,0.0,0.0,,,
80919,2004.0,12.439904,1.0,0.0,0.0,,6.062,2.7383702
80924,2000.0,11.711712,0.0,0.0,0.0,,,
80924,2004.0,6.277056,1.0,0.0,0.0,,,
80930,2000.0,0.0,0.0,0.0,0.0,,,
80930,2004.0,0.0,1.0,0.0,0.0,,,
80945,2000.0,11.583012,0.0,0.0,0.0,,,
80945,2004.0,7.7231693,1.0,0.0,0.0,,,
80958,2000.0,24.444445,0.0,0.0,0.0,,,
80958,2004.0,8.77193,1.0,0.0,0.0,,,
80961,2000.0,20.86031,0.0,0.0,0.0,13.39063,54.213,2.6506557
80961,2004.0,14.433085,1.0,0.0,0.0,9.127342,58.824,3.000476
80977,2000.0,11.205074,0.0,0.0,0.0,,,
80977,2004.0,5.5,1.0,0.0,0.0,,,
80983,2000.0,25.175526,0.0,0.0,0.0,,,
80983,2004.0,16.24266,1.0,0.0,0.0,,,
80996,2000.0,9.931507,0.0,0.0,0.0,,,
80996,2004.0,6.125828,1.0,0.0,0.0,,,
81000,2000.0,13.746369,0.0,0.0,0.0,,,
81000,2004.0,8.199121,1.0,0.0,0.0,,,
81017,2000.0,26.118801,0.0,0.0,0.0,10.50902,242.746,2.404571
81017,2004.0,18.354378,1.0,0.0,0.0,9.527522,250.484,2.6233213
81022,2000.0,20.374655,0.0,0.0,0.0,10.44839,33.108,2.6851516
81022,2004.0,13.331759,1.0,1.0,255.0,7.770396,36.807,3.8389437
81038,2000.0,23.129251,0.0,0.0,0.0,,,
81038,2004.0,19.565218,1.0,0.0,0.0,,,
81043,2000.0,18.181818,0.0,0.0,0.0,,,
81043,2004.0,8.938547,1.0,0.0,0.0,,,
81056,2000.0,24.506313,0.0,0.0,0.0,18.55794,12.207,2.809863
81056,2004.0,17.638367,1.0,0.0,0.0,9.376669,13.576,3.8376546
81069,2000.0,21.600449,0.0,0.0,0.0,22.06077,7.236,2.4737425
81069,2004.0,14.415011,1.0,0.0,0.0,9.698492,8.504,2.8222013
81075,2000.0,28.981165,0.0,0.0,0.0,22.10177,10.514,2.0544035
81075,2004.0,20.886797,1.0,0.0,0.0,8.449816,13.205,2.741386
81081,2000.0,26.333334,0.0,0.0,0.0,,5.318,2.0308387
81081,2004.0,18.313387,1.0,0.0,0.0,4.917656,6.058,3.2188842
81094,2000.0,10.982659,0.0,0.0,0.0,,,
81094,2004.0,6.1452513,1.0,0.0,0.0,,,
81108,2000.0,19.647888,0.0,0.0,0.0,10.66735,14.571,3.5344176
81108,2004.0,14.121165,1.0,0.0,0.0,3.729495,17.632,4.29333
81115,2000.0,13.043478,0.0,0.0,0.0,,,
81115,2004.0,6.2827225,1.0,0.0,0.0,,,
81120,2000.0,13.951693,0.0,0.0,0.0,10.81289,18.096,2.6746242
81120,2004.0,9.1989565,1.0,0.0,0.0,9.534811,20.042,3.2731264
81136,2000.0,17.536245,0.0,0.0,0.0,11.09724,64.637,2.1891487
81136,2004.0,11.532662,1.0,0.0,0.0,7.23929,72.337,2.878195
81141,2000.0,20.897436,0.0,0.0,0.0,6.117708,23.038,2.335272
81141,2004.0,14.307078,1.0,0.0,0.0,17.15124,25.993,2.7738237
81154,2000.0,23.17448,0.0,0.0,0.0,,,
81154,2004.0,14.258002,1.0,0.0,0.0,,,
81167,2000.0,9.433962,0.0,0.0,0.0,,,
81167,2004.0,5.063291,1.0,0.0,0.0,,,
81173,2000.0,12.881356,0.0,0.0,0.0,,,
81173,2004.0,9.100473,1.0,0.0,0.0,,,
81189,2000.0,23.195112,0.0,0.0,0.0,16.58088,21.17,2.5177138
81189,2004.0,14.071424,1.0,0.0,0.0,8.529313,21.836,2.770654
81192,2000.0,22.7897,0.0,0.0,0.0,,5.452,2.5128393
81192,2004.0,15.799159,1.0,0.0,0.0,14.28994,7.575,3.630363
81206,2000.0,27.474268,0.0,0.0,0.0,25.17799,7.271,0.9627286
81206,2004.0,18.114092,1.0,0.0,0.0,11.03152,8.205,1.5722121
81213,2000.0,23.554298,0.0,0.0,0.0,15.81994,108.284,2.6652136
81213,2004.0,17.765768,1.0,0.0,0.0,7.627244,119.122,3.375531
81228,2000.0,17.732208,0.0,0.0,0.0,,,
81228,2004.0,12.093023,1.0,0.0,0.0,,,
81234,2000.0,16.418322,0.0,0.0,0.0,13.93704,20.677,2.389128
81234,2004.0,9.983418,1.0,0.0,0.0,7.10861,23.473,2.9395475
81249,2000.0,23.540674,0.0,0.0,0.0,13.08053,47.926,3.1423445
81249,2004.0,14.684231,1.0,1.0,131.0,9.175683,51.482,3.8518317
81252,2000.0,24.02263,0.0,0.0,0.0,14.02057,29.18,2.9198081
81252,2004.0,15.619798,1.0,0.0,0.0,6.715384,32.127,2.91655
81265,2000.0,23.365139,0.0,0.0,0.0,1.267327,8.524,2.7803848
81265,2004.0,14.905695,1.0,0.0,0.0,11.11732,9.603,3.1136103
81271,2000.0,18.944324,0.0,0.0,0.0,,,
81271,2004.0,13.608375,1.0,0.0,0.0,,,
81287,2000.0,8.235294,0.0,0.0,0.0,,,
81287,2004.0,2.857143,1.0,0.0,0.0,,,
81290,2000.0,11.188811,0.0,0.0,0.0,,,
81290,2004.0,5.46875,1.0,0.0,0.0,,,
81304,2000.0,11.111111,0.0,0.0,0.0,,,
81304,2004.0,2.5,1.0,0.0,0.0,,,
81311,2000.0,6.105263,0.0,0.0,0.0,,,
81311,2004.0,3.2200358,1.0,0.0,0.0,,,
81326,2000.0,18.650793,0.0,0.0,0.0,,,
81326,2004.0,7.3170733,1.0,0.0,0.0,,,
81332,2000.0,23.4375,0.0,0.0,0.0,,,
81332,2004.0,21.138212,1.0,0.0,0.0,,,
81347,2000.0,18.886198,0.0,0.0,0.0,,,
81347,2004.0,12.885662,1.0,0.0,0.0,,,
81350,2000.0,24.613003,0.0,0.0,0.0,11.9806,8.638,2.6626534
81350,2004.0,16.672918,1.0,0.0,0.0,4.165824,8.885,3.7478898
81363,2000.0,27.796888,0.0,0.0,0.0,15.09115,12.96,2.5385802
81363,2004.0,19.598507,1.0,0.0,0.0,8.227823,14.612,3.510813
81379,2000.0,9.189189,0.0,0.0,0.0,,,
81379,2004.0,9.545455,1.0,0.0,0.0,,,
81385,2000.0,14.424411,0.0,0.0,0.0,,,
81385,2004.0,9.2243185,1.0,0.0,0.0,,5.436,1.8763797
81398,2000.0,12.162162,0.0,0.0,0.0,,,
81398,2004.0,6.535948,1.0,0.0,0.0,,,
81402,2000.0,12.299465,0.0,0.0,0.0,15.39642,5.364,2.3676362
81402,2004.0,8.67872,1.0,0.0,0.0,2.109827,5.709,3.3280785
81419,2000.0,14.027565,0.0,0.0,0.0,8.997955,5.583,3.2419846
81419,2004.0,7.348863,1.0,0.0,0.0,7.531734,5.88,3.0952382
81424,2000.0,7.070707,0.0,0.0,0.0,,,
81424,2004.0,3.0,1.0,0.0,0.0,,,
81430,2000.0,23.994638,0.0,0.0,0.0,,,
81430,2004.0,16.107,1.0,0.0,0.0,,,
81445,2000.0,13.857677,0.0,0.0,0.0,,,
81445,2004.0,9.586777,1.0,0.0,0.0,,,
81458,2000.0,15.656178,0.0,0.0,0.0,,,
81458,2004.0,11.178986,1.0,0.0,0.0,,,
81461,2000.0,24.08907,0.0,0.0,0.0,,,
81461,2004.0,19.52818,1.0,0.0,0.0,,,
81477,2000.0,19.16277,0.0,0.0,0.0,18.02671,18.177,2.5361722
81477,2004.0,12.041973,1.0,0.0,0.0,9.3016,21.959,3.2424064
81483,2000.0,27.181208,0.0,0.0,0.0,,,
81483,2004.0,23.301888,1.0,0.0,0.0,,,
81496,2000.0,11.251981,0.0,0.0,0.0,,,
81496,2004.0,5.838509,1.0,0.0,0.0,,,
81509,2000.0,8.823529,0.0,0.0,0.0,,,
81509,2004.0,7.3170733,1.0,0.0,0.0,,,
81516,2000.0,19.9446,0.0,0.0,0.0,,,
81516,2004.0,10.991957,1.0,0.0,0.0,,,
81521,2000.0,3.1578948,0.0,0.0,0.0,,,
81521,2004.0,3.125,1.0,0.0,0.0,,,
81537,2000.0,10.679611,0.0,0.0,0.0,,,
81537,2004.0,8.928572,1.0,0.0,0.0,,,
81542,2000.0,21.727749,0.0,0.0,0.0,,,
81542,2004.0,12.288136,1.0,0.0,0.0,,,
81555,2000.0,22.899387,0.0,0.0,0.0,,5.833,2.6572948
81555,2004.0,15.485564,1.0,0.0,0.0,25.28572,7.827,3.602913
81568,2000.0,22.70413,0.0,0.0,0.0,23.15171,11.515,2.9005644
81568,2004.0,15.972988,1.0,0.0,0.0,7.467297,13.45,2.8773234
81574,2000.0,21.55539,0.0,0.0,0.0,20.77544,7.987,2.2661827
81574,2004.0,14.457624,1.0,0.0,0.0,7.812995,10.701,2.607233
81580,2000.0,18.155785,0.0,0.0,0.0,,,
81580,2004.0,10.92475,1.0,0.0,0.0,,,
81593,2000.0,23.896393,0.0,0.0,0.0,18.53488,15.132,3.006873
81593,2004.0,14.232538,1.0,0.0,0.0,7.640314,16.564,3.3747888
81607,2000.0,12.605042,0.0,0.0,0.0,,,
81607,2004.0,6.0728745,1.0,0.0,0.0,,,
81614,2000.0,21.917498,0.0,0.0,0.0,17.36677,9.691,2.6209886
81614,2004.0,15.384615,1.0,0.0,0.0,10.83893,13.319,3.0933254
81629,2000.0,20.60606,0.0,0.0,0.0,,,
81629,2004.0,11.359026,1.0,0.0,0.0,,,
81635,2000.0,25.440096,0.0,0.0,0.0,7.366946,21.394,3.5570722
81635,2004.0,18.789177,1.0,0.0,0.0,10.54248,25.577,4.4258513
81640,2000.0,10.409556,0.0,0.0,0.0,,,
81640,2004.0,5.245347,1.0,0.0,0.0,,,
81653,2000.0,15.92742,0.0,0.0,0.0,,,
81653,2004.0,7.8642383,1.0,0.0,0.0,,,
81666,2000.0,11.5755625,0.0,0.0,0.0,,,
81666,2004.0,7.9875517,1.0,0.0,0.0,,,
81672,2000.0,24.290943,0.0,0.0,0.0,,5.005,3.096903
81672,2004.0,14.91361,1.0,0.0,0.0,4.331116,6.935,2.999279
81688,2000.0,43.442623,0.0,0.0,0.0,,,
81688,2004.0,29.347826,1.0,0.0,0.0,,,
81691,2000.0,24.404339,0.0,0.0,0.0,34.15987,63.195,3.1505656
81691,2004.0,15.757658,1.0,0.0,0.0,7.865037,62.828,3.4188578
81705,2000.0,13.836478,0.0,0.0,0.0,,,
81705,2004.0,6.5155807,1.0,0.0,0.0,,,
81712,2000.0,14.181287,0.0,0.0,0.0,,,
81712,2004.0,6.6131024,1.0,0.0,0.0,,,
81727,2000.0,24.760748,0.0,0.0,0.0,19.19897,26.614,2.5851057
81727,2004.0,16.377502,1.0,0.0,0.0,9.736322,27.675,3.1111112
81748,2000.0,13.235294,0.0,0.0,0.0,,,
81748,2004.0,7.116105,1.0,0.0,0.0,,,
81751,2000.0,14.803849,0.0,0.0,0.0,,,
81751,2004.0,8.345071,1.0,0.0,0.0,,,
81764,2000.0,31.0,0.0,0.0,0.0,,,
81764,2004.0,20.0,1.0,0.0,0.0,,,
81770,2000.0,17.073172,0.0,0.0,0.0,,,
81770,2004.0,16.32653,1.0,0.0,0.0,,,
81786,2000.0,15.412187,0.0,0.0,0.0,,,
81786,2004.0,9.705882,1.0,0.0,0.0,,,
81799,2000.0,15.476191,0.0,0.0,0.0,,,
81799,2004.0,13.032581,1.0,0.0,0.0,,,
81803,2000.0,23.935915,0.0,0.0,0.0,10.92273,30.992,3.5331697
81803,2004.0,16.487965,1.0,0.0,0.0,4.090247,35.464,3.7446425
81810,2000.0,20.468792,0.0,0.0,0.0,20.09434,7.763,2.1641119
81810,2004.0,14.713169,1.0,0.0,0.0,8.988235,9.55,2.8795812
81825,2000.0,18.939394,0.0,0.0,0.0,,,
81825,2004.0,13.940724,1.0,0.0,0.0,,,
81831,2000.0,10.202605,0.0,0.0,0.0,2.980392,5.232,3.172783
81831,2004.0,5.475331,1.0,0.0,0.0,5.767918,5.593,3.6831753
81846,2000.0,23.840088,0.0,0.0,0.0,15.76492,61.538,2.6373947
81846,2004.0,16.516724,1.0,0.0,0.0,8.792538,70.306,3.3325748
81859,2000.0,21.538462,0.0,0.0,0.0,,,
81859,2004.0,6.25,1.0,0.0,0.0,,,
81878,2000.0,20.39114,0.0,0.0,0.0,9.309031,186.661,3.2534916
81878,2004.0,13.1365385,1.0,0.0,0.0,8.926973,200.722,3.6787198
81884,2000.0,18.60465,0.0,0.0,0.0,,,
81884,2004.0,8.333333,1.0,0.0,0.0,,,
81897,2000.0,12.605042,0.0,0.0,0.0,,,
81897,2004.0,6.837607,1.0,0.0,0.0,,,
81901,2000.0,14.285714,0.0,0.0,0.0,,,
81901,2004.0,4.0,1.0,0.0,0.0,,,
81918,2000.0,14.354761,0.0,0.0,0.0,20.48159,7.109,3.0102687
81918,2004.0,8.689024,1.0,0.0,0.0,6.689993,7.116,4.0050592
81923,2000.0,13.930518,0.0,0.0,0.0,21.28234,5.461,2.1241531
81923,2004.0,9.692672,1.0,0.0,0.0,4.948229,6.412,2.5265129
81939,2000.0,22.24719,0.0,0.0,0.0,,,
81939,2004.0,15.42461,1.0,0.0,0.0,,,
81944,2000.0,28.777168,0.0,0.0,0.0,8.045443,32.521,4.6124043
81944,2004.0,18.904665,1.0,0.0,0.0,6.647025,32.595,4.6142044
81957,2000.0,9.523809,0.0,0.0,0.0,,,
81957,2004.0,3.0769231,1.0,0.0,0.0,,,
81960,2000.0,25.966013,0.0,0.0,0.0,20.58803,21.824,2.4468474
81960,2004.0,16.011448,1.0,0.0,0.0,9.905661,25.579,3.31131
81976,2000.0,30.707396,0.0,0.0,0.0,18.98374,7.797,1.6929588
81976,2004.0,22.32586,1.0,0.0,0.0,10.44838,9.605,2.0301926
81982,2000.0,21.493729,0.0,0.0,0.0,,,
81982,2004.0,12.533849,1.0,0.0,0.0,,,
81995,2000.0,17.959183,0.0,0.0,0.0,,,
81995,2004.0,9.769094,1.0,1.0,502.0,,,
82009,2000.0,23.747488,0.0,0.0,0.0,14.10252,79.593,2.6484742
82009,2004.0,15.113902,1.0,1.0,313.0,9.383469,81.045,3.0575607
82016,2000.0,12.349398,0.0,0.0,0.0,,,
82016,2004.0,6.9444447,1.0,0.0,0.0,,,
82021,2000.0,16.817028,0.0,0.0,0.0,10.82961,13.038,2.2165976
82021,2004.0,10.65442,1.0,0.0,0.0,10.77667,15.759,2.2272987
82037,2000.0,24.861265,0.0,0.0,0.0,,,
82037,2004.0,16.280865,1.0,0.0,0.0,,,
82042,2000.0,14.762198,0.0,0.0,0.0,,,
82042,2004.0,8.603667,1.0,0.0,0.0,,,
82055,2000.0,23.984335,0.0,0.0,0.0,20.49948,57.874,2.0337284
82055,2004.0,16.498835,1.0,0.0,0.0,10.70529,73.997,1.9919727
82068,2000.0,14.712644,0.0,0.0,0.0,,,
82068,2004.0,8.856089,1.0,0.0,0.0,,,
82074,2000.0,13.298566,0.0,0.0,0.0,,,
82074,2004.0,6.788991,1.0,0.0,0.0,,,
82080,2000.0,21.763985,0.0,0.0,0.0,,5.444,1.5797207
82080,2004.0,15.164399,1.0,0.0,0.0,0.9255725,6.645,2.2121897
82093,2000.0,29.272959,0.0,0.0,0.0,12.53776,6.607,2.4670804
82093,2004.0,19.552307,1.0,0.0,0.0,4.531105,7.549,3.1527355
82107,2000.0,17.338161,0.0,0.0,0.0,,,
82107,2004.0,11.075612,1.0,0.0,0.0,,5.453,2.4023473
82114,2000.0,23.842188,0.0,0.0,0.0,11.85866,40.25,2.7801242
82114,2004.0,15.051359,1.0,0.0,0.0,6.101745,42.428,3.2926369
82129,2000.0,13.297873,0.0,0.0,0.0,,,
82129,2004.0,6.428571,1.0,0.0,0.0,,,
82135,2000.0,15.616438,0.0,0.0,0.0,15.39899,5.876,1.9230769
82135,2004.0,10.43038,1.0,0.0,0.0,12.13647,7.326,2.6754026
82140,2000.0,19.302822,0.0,0.0,0.0,14.29963,7.611,2.351859
82140,2004.0,13.071512,1.0,0.0,0.0,9.303977,8.386,2.6949677
82153,2000.0,10.108509,0.0,0.0,0.0,,,
82153,2004.0,6.4563823,1.0,0.0,0.0,,,
82166,2000.0,0.0,0.0,0.0,0.0,,,
82166,2004.0,0.0,1.0,0.0,0.0,,,
82172,2000.0,22.854664,0.0,0.0,0.0,10.14625,28.708,2.3895779
