Outcome,Nuclear,Wind,Dist_nuclear,Dist_wind,Region,Urban_rural,Health,Job,Landscape,Supply,Trust_reg,Trust_health,Trust_plant,Env,Gender,Age,Income,Education,Race,Religion,PID,AC1,AC2,AC3,AC
0,50,50,166.946951734315,84.2104814665944,Western,0,3,3,2,4,4,3,3,2,Male,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
-100,0,100,162.161602409533,65.2356149962335,Western,0,4,3,2,2,2,2,2,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
-2,49,51,147.729869824252,44.6567682794698,Western,0,4,4,3,4,1,1,1,2,Female,1965 to 1996,"$105,000 to $159,999",College (no degree),Caucasian,Other Christians,Republican,1,3,2,2
-100,0,100,159.748979304368,75.4860733323234,Western,0,4,3,1,2,1,2,1,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Not religious,Independent,1,2,2,3
0,50,50,65.9794017569827,7.53376456308243,Eastern,1,3,3,2,3,2,3,2,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
60,80,20,57.6921290484488,29.832303376954,Eastern,0,4,3,2,4,3,2,3,2,Male,1965 to 1996,"Less than $40,000",4 yrs college,Caucasian,Not religious,Republican,1,2,2,3
-50,25,75,126.743395429211,42.2595853429973,Eastern,0,4,4,2,4,2,3,2,2,Female,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Not religious,Democrat,1,1,1,1
50,75,25,155.950616358838,35.5155467659989,Western,0,2,2,2,2,2,2,2,1,Female,After 1996,"$40,000 to $69,999",College (no degree),Caucasian,Protestant,Republican,1,2,2,3
-26,37,63,150.846968758173,68.0310683594815,Western,0,3,3,3,4,2,3,1,2,Female,Before 1946,"$70,000 to $104,999",Grad school,Latin or Hispanic,Catholic,Republican,3,3,1,0
-20,40,60,182.53557555864,54.3454006955617,Western,1,3,3,2,3,3,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",High (incomplete),Caucasian,Not religious,Democrat,1,2,2,3
-40,30,70,169.346357301436,31.2121004524357,Eastern,0,4,3,2,4,2,3,2,2,Male,Before 1946,"$105,000 to $159,999",4 yrs college,Caucasian,Jewish,Independent,1,2,2,3
-100,0,100,154.62513085366,43.129202947055,Western,0,4,4,4,4,2,2,1,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Independent,1,1,1,1
-90,5,95,172.447399246593,91.4580506505026,Western,0,4,3,3,4,4,2,1,2,Female,After 1996,"Less than $40,000",High,Caucasian,Not religious,Democrat,1,1,2,2
-20,40,60,150.103353404061,49.9400598747611,Western,0,3,4,2,4,3,3,2,1,Female,1965 to 1996,"Less than $40,000",4 yrs college,Caucasian,Other Christians,Independent,1,2,2,3
-20,40,60,125.396728817223,38.1219955930433,Eastern,0,1,4,1,4,2,4,2,1,Female,1965 to 1996,"Less than $40,000",Grad school,Caucasian,Other Christians,Independent,2,1,1,0
40,70,30,171.356298832742,53.8468166648158,Western,0,3,4,1,4,2,1,2,1,Female,1946 to 1964,"Less than $40,000",4 yrs college,Caucasian,Protestant,Republican,1,1,1,1
42,71,29,169.467420846471,68.1438401109752,Western,0,4,4,2,4,2,2,2,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Protestant,Democrat,1,1,2,2
20,60,40,33.6515483703122,6.94726264220364,Eastern,1,4,3,3,4,1,1,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Independent,1,1,2,2
20,60,40,153.062524273053,48.4093804804512,Western,0,2,3,2,3,3,3,3,2,Female,After 1996,"$40,000 to $69,999",4 yrs college,Other/Unknown,Not religious,Democrat,1,1,2,2
-60,20,80,169.068431125037,84.2976101541168,Western,0,3,2,1,3,2,3,2,2,Male,1965 to 1996,"Less than $40,000",4 yrs college,Asian,Not religious,Independent,1,3,2,2
-40,30,70,154.45310740171,66.1345657262036,Western,0,4,4,3,4,4,4,4,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Asian,Hindu,Republican,1,2,2,3
-100,0,100,171.693413345919,65.750392153793,Western,0,4,2,2,4,3,4,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Other faiths,Democrat,1,2,2,3
60,80,20,168.132919855636,25.7583178104708,Eastern,0,2,4,2,4,2,2,3,1,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Catholic,Republican,1,2,2,3
-68,16,84,164.246966842386,75.4833417657991,Western,0,4,3,1,3,1,1,1,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-50,25,75,150.41290729746,44.129801288154,Western,0,4,3,1,4,2,4,2,2,Female,1965 to 1996,"$70,000 to $104,999",High,Caucasian,Other Christians,Republican,1,2,1,2
34,67,33,166.575196828744,74.1505226503211,Western,0,3,2,1,4,4,4,4,2,Male,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Other faiths,Democrat,1,2,2,3
28,64,36,157.732167522325,38.2590054495107,Western,0,2,2,2,3,1,1,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Republican,1,2,2,3
-84,8,92,162.174077738136,80.6968558297245,Western,0,4,3,4,4,2,2,2,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Independent,1,2,2,3
-30,35,65,152.791146688842,30.4009991353685,Western,0,2,3,1,4,2,2,3,2,Male,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Not religious,Independent,1,2,2,3
0,50,50,154.664340556823,49.1579914341285,Western,0,4,4,3,4,4,4,3,2,Female,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Protestant,Independent,1,1,2,2
-20,40,60,161.937904131718,63.8859554462273,Western,0,4,3,2,4,3,4,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Democrat,1,3,2,2
0,50,50,163.495239033589,74.2464229276928,Western,0,2,1,1,2,2,2,2,2,Male,After 1996,"Less than $40,000",4 yrs college,Asian,Not religious,Independent,1,3,2,2
-40,30,70,94.6201791455091,12.9816946093585,Eastern,1,4,3,2,3,2,2,2,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Jewish,Democrat,1,1,2,2
40,70,30,158.004007746906,52.7782019897556,Western,0,4,2,2,4,3,2,4,1,Male,Before 1946,"Less than $40,000",4 yrs college,Caucasian,Not religious,Independent,1,2,2,3
-100,0,100,196.443501388515,117.87922854012,Western,0,4,2,1,2,1,2,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Independent,1,2,2,3
0,50,50,166.855288580132,77.4173233697374,Western,0,4,4,3,4,2,4,2,2,Female,1946 to 1964,"$160,000 or higher",4 yrs college,Caucasian,Protestant,Democrat,1,2,2,3
100,100,0,142.034383044023,35.2529503458347,Western,0,4,4,3,4,2,2,4,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Other Christians,Republican,1,3,2,2
-56,22,78,164.74876947573,80.5119515570457,Western,0,2,3,2,3,2,3,2,2,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Other faiths,Democrat,3,2,2,2
-80,10,90,56.5926436267736,28.6802675422737,Eastern,0,3,4,3,4,3,3,3,2,Male,1965 to 1996,"$70,000 to $104,999",Grad school,Asian,Catholic,Independent,1,3,1,1
-38,31,69,15.1586005484788,20.4829088227749,Eastern,1,4,4,4,4,4,4,4,2,Male,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Catholic,Democrat,3,2,2,2
-40,30,70,171.654313946589,34.333001348583,Western,1,2,4,1,4,3,1,3,1,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Other Christians,Republican,1,2,2,3
-60,20,80,166.855288580132,77.4173233697374,Western,0,4,4,1,3,2,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Protestant,Independent,1,1,1,1
40,70,30,171.654313946589,34.333001348583,Western,1,4,3,1,4,2,3,4,1,Male,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Protestant,Republican,1,2,2,3
-22,39,61,142.034383044023,35.2529503458347,Western,0,1,3,1,4,4,4,4,1,Female,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
0,50,50,156.385386574582,36.5978101824259,Western,0,4,4,3,4,2,2,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),African-American,Other Christians,Democrat,2,2,2,2
60,80,20,171.654313946589,34.333001348583,Western,1,3,2,1,4,4,3,3,2,Male,Before 1946,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Democrat,1,2,2,3
40,70,30,168.798407890208,69.8549950437337,Western,0,4,4,3,4,2,2,3,1,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Muslim,Independent,1,2,2,3
-2,49,51,161.937904131718,63.8859554462273,Western,0,1,4,2,4,4,4,4,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Protestant,Republican,1,2,1,2
-60,20,80,136.8407635998,65.9343098654847,Eastern,1,4,4,4,4,2,2,2,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Catholic,Republican,1,2,2,3
-72,14,86,241.710964480376,87.6129126794173,Western,0,4,4,2,4,2,2,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Independent,1,1,2,2
-100,0,100,154.664340556823,49.1579914341285,Western,0,4,4,3,4,4,4,2,2,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Hindu,Democrat,1,3,1,1
0,50,50,214.87138446053,18.3248061616427,Western,0,2,3,4,3,2,4,3,2,Female,1965 to 1996,"Less than $40,000",High,Latin or Hispanic,Catholic,Democrat,3,3,1,0
-42,29,71,148.243848219088,37.0482327253547,Western,0,2,3,3,3,3,3,1,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Other Christians,Independent,1,2,2,3
-32,34,66,170.578168258738,136.800186154407,Eastern,1,3,3,2,3,2,3,2,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Native American,Catholic,Independent,1,2,2,3
-36,32,68,225.178429035484,28.5946277688288,Western,1,4,4,4,4,2,2,2,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Democrat,1,2,2,3
100,100,0,154.255458780208,56.6645469502323,Western,0,2,2,4,2,2,2,2,2,Male,1965 to 1996,"Less than $40,000",Grad school,African-American,Other Christians,Independent,1,1,1,1
30,65,35,174.140304107875,62.7749059129735,Western,0,3,4,3,4,2,2,2,1,Male,1965 to 1996,"$70,000 to $104,999",High,Caucasian,Catholic,Republican,1,2,2,3
40,70,30,181.878227417958,37.7881283052653,Eastern,0,4,2,1,4,2,2,3,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-30,35,65,165.749189574095,67.6459974503873,Western,0,4,4,1,2,1,2,1,1,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other faiths,Independent,1,2,2,3
-100,0,100,155.579989094842,69.9973567842287,Western,0,4,3,2,3,2,2,3,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Republican,1,2,2,3
-30,35,65,151.071508537351,26.7657896185488,Western,0,3,4,2,4,3,4,2,2,Female,After 1996,"Less than $40,000",4 yrs college,African-American,Other Christians,Democrat,1,1,2,2
-20,40,60,165.653518698864,73.9678456291263,Western,0,3,4,2,4,3,3,3,2,Female,1946 to 1964,"$40,000 to $69,999",High (incomplete),Native American,Not religious,Democrat,1,2,2,3
-20,40,60,162.080580058526,74.216532443247,Western,0,3,4,2,4,3,3,2,1,Female,After 1996,"$160,000 or higher",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
-20,40,60,170.578168258738,136.800186154407,Eastern,1,1,4,4,4,3,2,2,2,Male,1965 to 1996,"Less than $40,000",4 yrs college,Native American,Other Christians,Republican,1,2,2,3
-40,30,70,152.704350550552,44.2727340258406,Western,0,4,3,4,3,1,2,1,2,Female,1965 to 1996,"$160,000 or higher",College (no degree),Latin or Hispanic,Catholic,Democrat,1,2,2,3
-56,22,78,160.918349569804,64.0775264682216,Western,0,4,3,2,4,2,3,2,2,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
-38,31,69,15.1586005484788,20.4829088227749,Eastern,1,2,3,1,2,2,3,3,2,Male,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Muslim,Democrat,2,1,2,1
50,75,25,159.833689651383,62.2777674717998,Western,0,2,4,2,4,3,3,3,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Asian,Catholic,Independent,1,2,1,2
-20,40,60,224.593439472523,146.354632870556,Western,0,3,4,2,4,2,2,2,1,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Orthodox,Independent,1,2,2,3
80,90,10,156.902094596001,55.7683283740268,Western,0,3,3,4,4,2,2,3,1,Female,Before 1946,"$40,000 to $69,999",4 yrs college,Caucasian,Protestant,Independent,1,2,2,3
-100,0,100,159.833689651383,62.2777674717998,Western,0,4,4,3,4,1,3,1,2,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Asian,Catholic,Democrat,1,2,2,3
60,80,20,116.099129385826,34.9453197325469,Eastern,0,2,3,2,4,3,2,2,2,Male,1946 to 1964,"$40,000 to $69,999",4 yrs college,Caucasian,Catholic,Independent,1,2,2,3
-40,30,70,55.7344895323095,23.5739287707253,Eastern,0,4,4,2,4,2,4,2,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Protestant,Independent,1,1,2,2
0,50,50,169.467420846471,68.1438401109752,Western,0,3,3,2,4,3,4,3,2,Female,1946 to 1964,"$40,000 to $69,999",High,Caucasian,Protestant,Democrat,1,2,2,3
-44,28,72,155.579989094842,69.9973567842287,Western,0,4,4,3,4,3,4,2,2,Male,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Protestant,Democrat,1,2,2,3
12,56,44,147.729869824252,44.6567682794698,Western,0,4,4,2,4,4,4,4,1,Female,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Not religious,Independent,1,3,1,1
-60,20,80,169.705449406397,87.2282397439233,Western,0,3,4,4,4,1,3,1,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Catholic,Republican,1,2,1,2
-80,10,90,152.454031093721,58.3166242574932,Western,0,4,4,4,4,3,4,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Latin or Hispanic,Catholic,Democrat,1,1,1,1
-40,30,70,162.643654690012,64.0472602438719,Western,0,1,4,4,4,4,4,3,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Protestant,Independent,1,2,2,3
-56,22,78,152.707196872698,37.8646859360308,Western,0,4,4,4,4,1,3,1,2,Female,After 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Democrat,1,1,1,1
0,50,50,56.5926436267736,28.6802675422737,Eastern,0,1,4,1,4,2,2,2,2,Female,1965 to 1996,"Less than $40,000",High (incomplete),Latin or Hispanic,Not religious,Independent,1,2,1,2
32,66,34,160.525428343487,58.4600599186471,Western,0,1,4,3,4,3,4,3,2,Male,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Other Christians,Democrat,3,3,2,1
88,94,6,161.101081974022,108.346124008648,Eastern,1,1,1,1,1,4,4,4,1,Female,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Other Christians,Republican,1,1,1,1
-48,26,74,156.902094596001,55.7683283740268,Western,0,2,4,2,4,3,3,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Democrat,1,2,2,3
-28,36,64,150.41290729746,44.129801288154,Western,0,2,4,2,4,2,2,2,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Protestant,Democrat,2,3,2,1
-42,29,71,215.574570131122,137.155601704645,Western,0,4,2,1,3,1,3,1,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Independent,1,2,2,3
-30,35,65,170.775457062846,73.2003379984763,Western,0,4,4,4,4,4,4,4,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Democrat,1,2,2,3
-60,20,80,172.447399246593,91.4580506505026,Western,0,4,4,4,4,2,2,1,1,Female,After 1996,"$105,000 to $159,999",4 yrs college,African-American,Other Christians,Independent,3,3,2,1
-12,44,56,153.084860086042,62.2544198030429,Western,0,1,3,1,4,2,1,3,2,Male,1965 to 1996,"Less than $40,000",High,Asian,Protestant,Independent,1,2,2,3
60,80,20,155.816939796937,71.1168356530135,Eastern,1,3,3,3,4,2,1,3,1,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other Christians,Republican,1,2,2,3
2,51,49,37.389762254125,53.5458121919502,Eastern,1,4,4,4,3,2,3,2,2,Female,After 1996,"$40,000 to $69,999",College (no degree),Latin or Hispanic,Catholic,Democrat,1,2,2,3
0,50,50,159.664944919872,32.0070938557715,Western,0,1,2,1,4,2,2,2,1,Female,1946 to 1964,"$40,000 to $69,999",High,Caucasian,Catholic,Republican,2,1,1,0
0,50,50,167.298595237425,76.4793646546092,Western,0,1,4,2,4,2,2,2,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Catholic,Democrat,1,2,2,3
20,60,40,163.381476854259,61.0011323394057,Western,0,3,4,1,4,1,1,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
-58,21,79,125.180812383174,41.1183077900971,Eastern,0,3,3,3,2,3,3,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Republican,1,1,1,1
0,50,50,154.62513085366,43.129202947055,Western,0,3,4,2,4,3,2,2,2,Female,1946 to 1964,"$70,000 to $104,999",College (no degree),Caucasian,Protestant,Republican,1,2,2,3
-58,21,79,116.099129385826,34.9453197325469,Eastern,0,3,3,1,3,2,2,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
22,61,39,166.348558736743,46.0535504756355,Western,0,4,2,1,4,2,3,2,2,Male,Before 1946,"Less than $40,000",College (no degree),Caucasian,Protestant,Independent,1,2,2,3
-100,0,100,216.601780062758,138.69351935896,Western,0,4,1,1,1,1,3,1,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Republican,1,2,2,3
-40,30,70,127.906772792387,25.6766900627277,Western,1,4,3,3,3,3,2,4,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Republican,1,2,2,3
52,76,24,148.243848219088,37.0482327253547,Western,0,1,3,1,4,2,2,2,1,Female,1965 to 1996,"$70,000 to $104,999",High,Caucasian,Other Christians,Republican,1,2,2,3
-38,31,69,175.205935309115,64.5383278312901,Western,0,2,3,2,3,3,4,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
0,50,50,163.495239033589,74.2464229276928,Western,0,4,4,4,4,1,2,1,2,Female,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Protestant,Independent,1,1,2,2
-20,40,60,151.071508537351,26.7657896185488,Western,0,4,2,3,3,2,3,2,2,Female,After 1996,"Less than $40,000",High,Caucasian,Not religious,Republican,2,3,2,1
-20,40,60,57.6921290484488,29.832303376954,Eastern,0,2,2,3,3,2,3,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Latin or Hispanic,Catholic,Democrat,1,3,1,1
-16,42,58,166.946951734315,84.2104814665944,Western,0,4,4,4,4,4,3,4,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Independent,2,1,1,0
70,85,15,146.547855598347,33.1753731497142,Western,0,2,3,1,4,2,3,2,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-6,47,53,116.099129385826,34.9453197325469,Eastern,0,1,4,1,4,4,4,4,2,Female,1946 to 1964,"$105,000 to $159,999",4 yrs college,Caucasian,Protestant,Independent,1,2,2,3
10,55,45,126.536463880416,36.054377487275,Eastern,0,3,4,3,4,4,4,4,2,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Asian,Other Christians,Republican,3,2,1,1
-40,30,70,157.398910862361,59.550876743526,Western,0,4,4,2,4,4,4,4,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Republican,1,2,2,3
40,70,30,155.579989094842,69.9973567842287,Western,0,3,4,2,4,3,3,3,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Democrat,1,1,2,2
-100,0,100,146.547855598347,33.1753731497142,Western,0,4,3,2,4,3,1,3,1,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Other Christians,Republican,1,2,2,3
-64,18,82,168.798407890208,69.8549950437337,Western,0,1,2,3,3,3,3,2,2,Male,1946 to 1964,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Democrat,1,2,2,3
-66,17,83,166.855288580132,77.4173233697374,Western,0,4,3,2,3,3,4,2,2,Female,1946 to 1964,"$70,000 to $104,999",College (no degree),Caucasian,Protestant,Democrat,1,2,2,3
