,statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
52,1026,0.61008817,0.4255795,1.0,1.0,0.066486865,0.004420503,0.000293905,1.9540848e-05,8.0,8.0,0.0,2.0,1.0,0.066486865,0.004420503,0.000293905,1.9540848e-05,0.18450868
55,1031,0.51919293,0.41139495,1.0,0.0,0.006700665,4.489891e-05,3.0085252e-07,2.0159119e-09,0.0,0.0,1.0,1.0,1.0,0.006700665,4.489891e-05,3.0085252e-07,2.0159119e-09,0.10779798
58,1032,0.4000038,0.4724131,1.0,0.0,-0.053275347,0.002838263,-0.000151209,8.055735e-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0724093
59,1032,0.5622256,0.47336233,1.0,0.0,-0.19999242,0.039996967,-0.007999091,0.001599757,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08886325
60,1032,0.54910547,0.4000038,1.0,0.0,0.12445116,0.015488091,0.001927511,0.000239881,0.0,1.0,3.0,3.0,1.0,0.12445116,0.015488091,0.001927511,0.000239881,0.14910167
63,1033,0.5310924,0.56021357,1.0,1.0,0.2779323,0.07724635,0.021469256,0.005967,3.0,4.0,0.0,0.0,1.0,0.2779323,0.07724635,0.021469256,0.005967,-0.02912116
64,1033,0.5399848,0.63896614,1.0,1.0,0.116078675,0.013474259,0.001564074,0.000181556,4.0,5.0,0.0,0.0,1.0,0.116078675,0.013474259,0.001564074,0.000181556,-0.09898132
65,1033,0.5456406,0.5310924,1.0,1.0,0.11542991,0.013324063,0.001537995,0.000177531,5.0,6.0,0.0,1.0,1.0,0.11542991,0.013324063,0.001537995,0.000177531,0.014548183
68,1034,0.54631823,0.53275174,1.0,1.0,0.3369878,0.11356077,0.038268596,0.012896049,8.0,9.0,0.0,0.0,1.0,0.3369878,0.11356077,0.038268596,0.012896049,0.013566494
69,1034,0.5813486,0.6513992,1.0,1.0,0.11188874,0.01251909,0.001400745,0.000156728,9.0,10.0,0.0,0.0,1.0,0.11188874,0.01251909,0.001400745,0.000156728,-0.0700506
70,1034,0.4646035,0.54631823,1.0,1.0,0.18111685,0.032803312,0.005941233,0.001076057,10.0,11.0,0.0,1.0,1.0,0.18111685,0.032803312,0.005941233,0.001076057,-0.08171472
73,1035,0.6964567,0.49952328,1.0,1.0,0.054073513,0.002923945,0.000158108,8.549453e-06,1.0,1.0,1.0,2.0,1.0,0.054073513,0.002923945,0.000158108,8.549453e-06,0.19693339
74,1035,0.6649283,0.52576333,1.0,1.0,0.3929133,0.15438087,0.0606583,0.023833454,2.0,2.0,0.0,0.0,1.0,0.3929133,0.15438087,0.0606583,0.023833454,0.13916498
75,1035,0.5210433,0.6964567,1.0,1.0,0.32985666,0.10880542,0.03589019,0.01183862,3.0,3.0,0.0,0.0,1.0,0.32985666,0.10880542,0.03589019,0.01183862,-0.17541337
78,1036,0.71349216,0.65678734,1.0,1.0,0.26898006,0.07235027,0.01946078,0.005234562,2.0,2.0,0.0,0.0,1.0,0.26898006,0.07235027,0.01946078,0.005234562,0.05670482
79,1036,0.7131965,0.63449,1.0,1.0,0.43275195,0.18727425,0.081043296,0.035071645,3.0,3.0,0.0,0.0,1.0,0.43275195,0.18727425,0.081043296,0.035071645,0.0787065
82,1041,0.420541,0.3538033,1.0,0.0,-0.11762807,0.013836362,-0.001627545,0.000191445,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06673768
85,1042,0.31127363,0.3934563,1.0,0.0,-0.14833525,0.022003345,-0.003263872,0.000484147,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.082182676
86,1042,0.5090555,0.41355726,1.0,0.0,-0.37233794,0.13863555,-0.051619273,0.019219812,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.095498234
87,1042,0.47956795,0.31127363,1.0,0.0,0.01811102,0.000328009,5.940579e-06,1.0758994e-07,0.0,0.0,4.0,4.0,1.0,0.01811102,0.000328009,5.940579e-06,1.0758994e-07,0.16829431
90,1043,0.50957704,0.47993192,1.0,0.0,0.036212653,0.001311356,4.7487687e-05,1.7196552e-06,1.0,2.0,2.0,2.0,1.0,0.036212653,0.001311356,4.7487687e-05,1.7196552e-06,0.029645115
91,1043,0.4732815,0.51810634,1.0,1.0,0.019154072,0.000366878,7.0272167e-06,1.3459982e-07,2.0,3.0,2.0,3.0,1.0,0.019154072,0.000366878,7.0272167e-06,1.3459982e-07,-0.04482484
92,1043,0.4262733,0.50957704,1.0,1.0,-0.04079181,0.001663972,-6.79e-05,2.768802e-06,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08330375
95,1044,0.37057862,0.36915386,1.0,0.0,-0.080035865,0.00640574,-0.000512689,4.10335e-05,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00142476
96,1044,0.41636324,0.45190406,1.0,0.0,-0.23953667,0.05737782,-0.013744092,0.003292214,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.03554082
97,1044,0.374229,0.37057862,1.0,0.0,-0.16727352,0.02798043,-0.004680385,0.000782905,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.003650397
100,1045,0.46459007,0.42863947,1.0,0.0,-0.407879,0.16636528,-0.0678569,0.027677404,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0359506
101,1045,0.2706714,0.2960605,1.0,0.0,-0.070819855,0.005015452,-0.000355194,2.5154757e-05,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.025389105
102,1045,0.23437704,0.46459007,1.0,0.0,-0.44710717,0.19990481,-0.08937888,0.039961938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23021303
105,1046,0.37628898,0.26714206,1.0,0.0,-0.50641227,0.2564534,-0.12987114,0.06576834,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.10914692
106,1046,0.29873765,0.23773646,1.0,0.0,-0.22828087,0.05211216,-0.011896209,0.002715677,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06100118
109,1051,0.45655078,0.40780452,1.0,0.0,-0.036621153,0.001341109,-4.91e-05,1.798573e-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048746258
112,1052,0.38074493,0.43295372,1.0,0.0,-0.055007577,0.003025834,-0.000166444,9.1556685e-06,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.05220878
113,1052,0.53797877,0.4724962,1.0,0.0,-0.23851013,0.056887083,-0.013568145,0.00323614,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06548256
114,1052,0.5509939,0.38074493,1.0,0.0,0.07595754,0.005769548,0.000438241,3.3287677e-05,0.0,0.0,6.0,6.0,1.0,0.07595754,0.005769548,0.000438241,3.3287677e-05,0.17024899
117,1053,0.59062815,0.58514816,1.0,1.0,0.3460447,0.11974692,0.04143779,0.014339327,3.0,3.0,0.0,0.0,1.0,0.3460447,0.11974692,0.04143779,0.014339327,0.005479991
118,1053,0.56315076,0.67302233,1.0,1.0,0.1812563,0.032853846,0.005954966,0.001079375,4.0,4.0,0.0,0.0,1.0,0.1812563,0.032853846,0.005954966,0.001079375,-0.10987157
119,1053,0.54745096,0.59062815,1.0,1.0,0.12630153,0.015952075,0.002014772,0.000254469,5.0,5.0,0.0,0.0,1.0,0.12630153,0.015952075,0.002014772,0.000254469,-0.043177187
122,1054,0.327493,0.4881682,1.0,0.0,-0.02435857,0.00059334,-1.45e-05,3.520523e-07,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1606752
123,1054,0.5231909,0.4796738,1.0,0.0,-0.33763027,0.1139942,-0.038487893,0.012994678,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.043517113
124,1054,0.50365347,0.327493,1.0,0.0,0.04638183,0.002151274,9.978004e-05,4.627981e-06,0.0,1.0,0.0,0.0,1.0,0.04638183,0.002151274,9.978004e-05,4.627981e-06,0.17616045
127,1055,0.3910945,0.584647,1.0,1.0,-0.08840382,0.007815235,-0.000690897,6.107791e-05,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1935525
128,1055,0.2636131,0.45469278,1.0,0.0,-0.21781099,0.047441628,-0.010333308,0.002250708,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.19107968
129,1055,0.47247568,0.3910945,1.0,0.0,-0.4727738,0.22351506,-0.10567206,0.04995898,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08138117
132,1056,0.5204946,0.31126213,1.0,0.0,-0.06672886,0.004452741,-0.000297126,1.98269e-05,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.20923245
133,1056,0.49882603,0.45530096,1.0,0.0,0.06132105,0.003760271,0.000230584,1.41396395e-05,0.0,1.0,3.0,3.0,1.0,0.06132105,0.003760271,0.000230584,1.41396395e-05,0.04352507
136,1063,0.47679743,0.5392071,1.0,0.8333333,0.1749363,0.030602707,0.005353524,0.000936526,1.0,1.0,0.0,0.0,1.0,0.1749363,0.030602707,0.005353524,0.000936526,-0.06240967
137,1063,0.37712282,0.58746815,1.0,1.0,-0.012190819,0.000148616,-1.81e-06,2.2086734e-08,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.21034533
138,1063,0.51069915,0.47679743,1.0,0.0,-0.24575436,0.060395207,-0.014842385,0.003647581,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03390172
141,1064,0.56619465,0.6019144,1.0,1.0,0.27301988,0.074539855,0.020350862,0.00555619,0.0,0.0,0.0,0.0,1.0,0.27301988,0.074539855,0.020350862,0.00555619,-0.035719752
142,1064,0.64197826,0.63438386,1.0,1.0,0.13660282,0.01866033,0.002549054,0.000348208,1.0,1.0,0.0,0.0,1.0,0.13660282,0.01866033,0.002549054,0.000348208,0.007594407
143,1064,0.58958066,0.56619465,1.0,1.0,0.28395656,0.08063132,0.022895794,0.006501411,2.0,2.0,0.0,0.0,1.0,0.28395656,0.08063132,0.022895794,0.006501411,0.023386002
146,1065,0.35824534,0.47767553,1.0,0.0,-0.2796621,0.07821089,-0.021872623,0.006116943,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.119430184
147,1065,0.33270577,0.36016896,1.0,0.0,-0.28350928,0.08037751,-0.022787772,0.006460545,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.027463198
148,1065,0.256297,0.35824534,1.0,0.0,-0.33013913,0.10899185,-0.035982475,0.011879223,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.10194835
151,1066,0.48926482,0.25197726,1.0,0.0,-0.32379082,0.104840495,-0.03394639,0.01099153,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.23728755
152,1066,0.39592975,0.3149748,1.0,0.0,-0.006967992,4.8552905e-05,-3.38e-07,2.3573847e-09,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08095494
155,1981,0.48553145,0.40877596,1.0,0.0,-0.004506737,2.0310677e-05,-9.15e-08,4.1252365e-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.076755494
158,1982,0.3854964,0.4475944,1.0,0.0,-0.0200952,0.000403817,-8.11e-06,1.630682e-07,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.062097996
159,1982,0.56037766,0.48995242,1.0,0.0,-0.22900721,0.052444305,-0.012010124,0.002750405,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07042524
160,1982,0.53975314,0.3854964,1.0,0.0,0.120755315,0.014581846,0.001760835,0.00021263,0.0,0.0,6.0,6.0,1.0,0.120755315,0.014581846,0.001760835,0.00021263,0.15425673
163,1983,0.54174984,0.5270849,1.0,1.0,0.24996674,0.06248337,0.015618765,0.003904172,1.8333334,2.1666667,0.33333334,0.5,1.0,0.24996674,0.06248337,0.015618765,0.003904172,0.014664948
164,1983,0.51973766,0.6249834,1.0,1.0,0.10040932,0.010082032,0.00101233,0.000101647,2.8333333,3.3333333,0.33333334,0.6666667,1.0,0.10040932,0.010082032,0.00101233,0.000101647,-0.10524571
165,1983,0.49746564,0.54174984,1.0,0.8333333,0.04896765,0.002397831,0.000117416,5.7495913e-06,3.1666667,3.5,0.16666667,0.5,1.0,0.04896765,0.002397831,0.000117416,5.7495913e-06,-0.044284195
168,2013,0.5037798,0.5684889,1.0,0.875,-0.001065105,1.1344491e-06,-1.21e-09,1.2869748e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06470907
169,2013,0.56623095,0.49946746,1.0,0.0,0.051541686,0.002656546,0.000136923,7.0572337e-06,0.0,0.0,0.0,0.0,1.0,0.051541686,0.002656546,0.000136923,7.0572337e-06,0.06676349
170,2013,0.5916184,0.5037798,1.0,1.0,0.13246194,0.017546164,0.002324199,0.000307868,1.0,1.0,0.0,0.0,1.0,0.13246194,0.017546164,0.002324199,0.000307868,0.08783859
173,2014,0.42623448,0.59362555,1.0,1.0,-0.003616929,1.3082175e-05,-4.73e-08,1.7114332e-10,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16739106
174,2014,0.3580324,0.49819154,1.0,0.0,-0.14753103,0.021765405,-0.003211073,0.000473733,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.14015913
175,2014,0.3151485,0.42623448,1.0,0.0,-0.25672698,0.065908745,-0.016920552,0.004343962,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.11108598
178,2015,0.5315836,0.47945797,1.0,0.0,-0.2704122,0.07312276,-0.019773288,0.005346938,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.052125633
179,2015,0.63217527,0.3647939,1.0,0.0,0.09418151,0.008870157,0.000835405,7.867967e-05,0.0,0.0,0.0,0.0,1.0,0.09418151,0.008870157,0.000835405,7.867967e-05,0.26738137
180,2015,0.60196656,0.5315836,1.0,1.0,0.26435053,0.06988121,0.018473133,0.004883383,1.0,1.0,0.0,0.0,1.0,0.26435053,0.06988121,0.018473133,0.004883383,0.07038295
183,2016,0.55315363,0.65011233,1.0,1.0,-0.037850857,0.001432687,-5.42e-05,2.0525931e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0969587
184,2016,0.6032729,0.48107457,1.0,0.0,0.10630727,0.011301235,0.001201403,0.000127718,0.0,0.0,1.0,1.0,1.0,0.10630727,0.011301235,0.001201403,0.000127718,0.12219834
187,2023,0.5676211,0.5684889,1.0,0.875,0.24008295,0.057639822,0.013838339,0.003322349,0.0,0.0,0.0,0.0,1.0,0.24008295,0.057639822,0.013838339,0.003322349,-0.000867784
188,2023,0.5570587,0.6200415,1.0,1.0,0.13524222,0.018290458,0.002473642,0.000334541,1.0,1.0,0.0,0.0,1.0,0.13524222,0.018290458,0.002473642,0.000334541,-0.0629828
189,2023,0.6420932,0.5676211,1.0,1.0,0.114117354,0.01302277,0.001486124,0.000169593,2.0,2.0,0.0,0.0,1.0,0.114117354,0.01302277,0.001486124,0.000169593,0.07447207
192,2024,0.19654106,0.45613182,1.0,0.0,-0.4273858,0.18265863,-0.07806571,0.033364173,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.25959074
193,2024,0.40853113,0.2863071,1.0,0.0,-0.57455575,0.3301143,-0.18966907,0.10897546,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12222403
194,2024,0.21490784,0.19654106,1.0,0.0,-0.0996781,0.009935724,-0.000990374,9.87186e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018366784
197,2025,0.22670284,0.3334917,1.0,0.0,-0.53129596,0.28227538,-0.14997177,0.0796794,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.10678887
198,2025,0.3379036,0.22599357,1.0,0.0,-0.54659426,0.2987653,-0.16330339,0.0892607,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.111910015
199,2025,0.48971498,0.22670284,1.0,0.0,-0.3241928,0.10510097,-0.034072977,0.011046213,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.26301214
202,2026,0.71935195,0.42015338,1.0,0.0,0.049454004,0.002445699,0.00012095,5.981441e-06,0.0,0.0,0.0,0.0,1.0,0.049454004,0.002445699,0.00012095,5.981441e-06,0.29919857
203,2026,0.76196086,0.45703575,1.0,1.0,0.47124714,0.22207387,0.104651675,0.0493168,1.0,1.0,0.0,0.0,1.0,0.47124714,0.22207387,0.104651675,0.0493168,0.3049251
206,3011,0.3109328,0.39734834,1.0,0.0,-0.14357042,0.020612467,-0.002959341,0.000424874,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.08641556
209,3012,0.35986382,0.32658932,1.0,0.0,-0.1116617,0.012468336,-0.001392236,0.000155459,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0332745
210,3012,0.4423993,0.44416913,1.0,0.0,-0.276075,0.076217405,-0.021041721,0.005809093,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.001769841
211,3012,0.31180677,0.35986382,1.0,0.0,-0.110606104,0.01223371,-0.001353123,0.000149664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04805705
214,3013,0.0,0.25634563,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25634563
215,3013,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,3013,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
219,3014,0.36222914,0.0,1.0,0.0,-0.42279306,0.17875397,-0.07557594,0.03195298,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.36222914
220,3014,0.0,0.28860345,1.0,0.0,-0.27554175,0.07592326,-0.020920027,0.005764341,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.28860345
221,3014,0.25114423,0.36222914,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.11108491
224,3015,0.22199708,0.0,1.0,0.0,-0.45859078,0.2103055,-0.09644416,0.044228405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22199708
225,3015,0.8272819,0.2707046,1.0,0.0,-0.55600584,0.3091425,-0.17188503,0.09556908,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5565773
226,3015,0.22438374,0.22199708,1.0,0.0,0.6545638,0.42845374,0.2804503,0.18357262,0.0,0.0,15.0,15.0,1.0,0.6545638,0.42845374,0.2804503,0.18357262,0.002386659
229,3016,0.5274065,0.5154699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.011936605
230,3016,0.7171871,1.0,1.0,1.0,0.054813027,0.003004468,0.000164684,9.026828e-06,2.0,2.0,0.0,0.0,1.0,0.054813027,0.003004468,0.000164684,9.026828e-06,-0.2828129
233,3021,0.5464462,0.48582345,1.0,0.0,0.09734169,0.009475403,0.000922352,8.978328e-05,0.0,1.0,1.0,1.0,1.0,0.09734169,0.009475403,0.000922352,8.978328e-05,0.06062275
236,3022,0.6122156,0.5179991,1.0,1.0,0.1927211,0.037141424,0.007157936,0.001379485,1.0,1.0,0.0,0.0,1.0,0.1927211,0.037141424,0.007157936,0.001379485,0.094216466
237,3022,1.0,0.59636056,1.0,1.0,0.22443116,0.050369345,0.01130445,0.002537071,2.0,2.0,0.0,0.0,1.0,0.22443116,0.050369345,0.01130445,0.002537071,0.40363944
238,3022,1.0,0.6122156,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.38778442
241,3023,1.0,0.67790884,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.32209116
242,3023,0.73646116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.26353884
243,3023,1.0,1.0,1.0,1.0,0.47292235,0.22365555,0.10577171,0.05002181,8.0,8.0,0.0,0.0,1.0,0.47292235,0.22365555,0.10577171,0.05002181,0.0
246,3024,0.7236079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.2763921
247,3024,0.7283562,1.0,1.0,1.0,0.49984655,0.24984658,0.12488495,0.062423307,12.0,12.0,0.0,0.0,1.0,0.49984655,0.24984658,0.12488495,0.062423307,-0.27164382
248,3024,0.671998,0.7236079,1.0,1.0,0.45671237,0.20858619,0.09526389,0.043508198,13.0,13.0,0.0,1.0,1.0,0.45671237,0.20858619,0.09526389,0.043508198,-0.051609874
251,3025,0.6593966,0.72631925,1.0,1.0,0.37394643,0.13983592,0.052291147,0.019554088,16.0,16.0,0.0,4.0,1.0,0.37394643,0.13983592,0.052291147,0.019554088,-0.066922665
