demsnmaj,hospdisc,natreg,stafcder,prevgenx,hhosleng,condavg3,orderent,vandavg3,wpnoavg3,lethal,deathrt1,hosp01,femdiz01,mandiz01,peddiz01,acutediz,orphdum,acttime,d
0,0,1,1673,5,0,0,4,0,1,0,0,0,0,0,0,0,0,11.83562,1
0,457587,2,1708,32.63,3.25,0,16,0,13.5,1,0.1652,1,0,0,0,0,0,20.58082,0
0,75172,12,1055,115.68,3,4.333333,26,0.5,46.75,1,0.0995,1,0,0,0,0,0,55.89041,1
1,75172,12,1368,115.68,3,3,38,0.25,50.25,1,0.0995,1,0,0,0,0,0,35.96712,1
1,0,3,1423,192,0,0.6666667,8,2,28,1,0.0995,0,0,0,0,0,0,21.0411,1
0,0,18,996,30,0,0,6,0.25,68.25,0,0,0,0,0,0,0,0,44.64658,1
1,134882,9,1119,1.3,3.04,0,3,1,3.25,1,0.15,1,0,1,0,0,0,99.97808,1
0,3879,29,1055,93.91,1.9,7.333333,2,0,1,0,0,1,0,0,0,1,0,77.42466,1
0,3879,29,1055,93.91,1.9,7.333333,3,0,1,0,0,1,0,0,0,1,0,96.52602,1
1,457587,2,1368,32.63,3.25,0.6666667,14,0,9,1,0.1652,1,0,0,0,0,0,14.03836,0
1,93293,1,1368,445,13.3,1.333333,17,0,18,0,0,1,0,0,0,1,0,48.03288,1
1,93293,1,1368,445,13.3,1.333333,18,0,18,0,0,1,0,0,0,1,0,48.03288,1
0,37686,1,1708,0.02,7.51,0,1,0,0,1,0,1,0,0,0,0,1,11.96712,1
0,56869,1,1708,0.12,6.17,0,1,2.75,18.75,1,0.013,1,0,0,0,0,1,7.364384,0
0,37686,11,1708,0.06,7.51,0.6666667,1,2.75,85,1,0.0042,1,0,0,0,0,1,5.063014,0
1,75172,12,1423,115.68,3,1.333333,41,0.5,58.5,1,0.0995,1,0,0,0,0,0,28.01096,1
0,0,188,1708,128.48,0,4,3,8.25,131,1,0.0027,0,0,0,0,0,0,6.049315,1
1,181077,10,1423,1.43,3.4,0,5,0,3.75,0,0,1,0,0,0,0,0,35.04657,1
1,181077,10,1423,1.43,3.4,0,3,0,3.75,0,0,1,0,0,0,0,0,20.51507,0
1,0,2,1423,0,0,0,3,0.5,39.5,0,0,0,0,0,0,1,1,6.542466,1
1,181077,10,1423,1.43,3.4,0,4,0,3.75,0,0,1,0,0,0,0,0,22.88219,1
1,0,6,1414,166,0,0,2,0.25,19.25,0,0,0,0,0,0,1,1,11.96712,1
1,75172,12,1414,115.68,3,0.6666667,43,0.5,54.5,1,0.0995,1,0,0,0,0,0,29.49041,1
0,20777,9,1608,0.15,7.1,0,6,3.5,23.5,1,0.0146,1,1,0,0,0,0,5.19452,1
0,0,0,1608,0.01,0,0,2,0,2,0,0,0,0,0,0,1,1,6.016438,1
0,0,6,1608,166,0,0,3,0.75,19.25,0,0,0,0,0,0,1,0,11.30959,1
0,75172,12,1608,115.68,3,0.6666667,51,1.5,42.75,1,0.0995,1,0,0,0,0,0,14.36712,1
0,93293,1,1608,445,13.3,2.333333,16,0.75,32.75,0,0,1,0,0,0,1,0,52.07671,0
1,93293,1,1041,445,13.3,2,19,0,5.5,0,0,1,0,0,0,1,0,25.57808,1
1,0,9,1041,15,0,1,8,0,0.75,1,0.0077,0,0,0,0,0,0,43.6274,1
1,18429,12,1368,20,8.8,0,2,0.25,3.5,0,0,1,0,0,0,0,0,35.21096,1
0,491836,79,1062,81.82,9.28,6.666667,7,12.5,134.25,1,2.78,1,0,0,0,0,0,30.14795,1
0,0,0,1029,11.34,0,0,2,0,1.5,0,0,0,1,0,0,1,0,22.09315,1
0,75172,12,1062,115.68,3,3.666667,22,0.75,55.5,1,0.0995,1,0,0,0,0,0,37.05206,1
0,0,0,1055,0.04,0,0,3,0,0.5,0,0,0,0,0,0,1,1,29.81918,1
1,143309,1,1163,11.35,2.9,2.666667,1,0,0.5,1,0.5955,1,0,0,0,1,0,23.50685,1
0,0,0,1608,0.01,0,0,1,0,0,1,0.0023,0,0,0,0,0,1,13.4137,1
0,370015,1,1062,102.73,8.25,0,2,0,7.75,1,0.302,1,0,0,0,1,0,44.05479,1
0,75172,12,1608,115.68,3,0.6666667,50,1.5,42.75,1,0.0995,1,0,0,0,0,0,12.13151,1
0,0,1,1608,5,0,0,3,0,1.5,0,0,0,0,0,0,0,0,12.26301,1
0,75172,12,1608,115.68,3,0.6666667,49,1.5,42.75,1,0.0995,1,0,0,0,0,0,12.13151,1
0,115577,13,1673,0.15,7.89,0.3333333,5,3.75,9.5,1,0.0068,1,0,0,0,0,1,9.501369,0
1,20777,9,1121,0.15,7.1,0,3,0.25,5,1,0.0146,1,1,0,0,0,1,24.23014,1
1,20777,9,1368,0.15,7.1,0,5,1,14.25,1,0.0146,1,1,0,0,0,0,50.30137,1
1,123767,24,1414,0.22,9.06,24,9,1.75,353.25,1,0.0579,1,0,0,0,1,0,10.48767,1
1,93293,1,1053,445,13.3,0.6666667,8,0.5,14.75,0,0,1,0,0,0,1,0,23.37534,1
1,983538,1,1368,15.45,5.19,1.333333,1,3.25,274,1,0.129,1,0,0,0,1,0,16.33973,1
0,120817,56,1043,0.11,7.96,0,2,10.25,117.75,1,0.0219,1,0,0,0,0,1,89.03014,0
0,93293,1,1055,445,13.3,1,14,0.5,12.5,0,0,1,0,0,0,1,0,62.26849,1
1,75172,12,1163,115.68,3,4,31,0.25,39.5,1,0.0995,1,0,0,0,0,0,33.79726,1
1,116868,108,1237,14.76,9.53,11.66667,1,8.5,137,1,0.0884,1,0,0,0,0,0,39.22192,1
1,120817,56,1368,0.11,7.96,1,5,11,154.5,1,0.0219,1,0,0,0,0,1,7.956164,1
0,93293,1,1608,445,13.3,2.333333,21,0.75,32.75,0,0,1,0,0,0,1,0,14.99178,1
0,0,3,1608,192,0,0.3333333,10,2.5,17.5,1,0.0995,0,0,0,0,0,0,6.016438,1
1,0,6,1041,166,0,0,1,1.75,13,0,0,0,0,0,0,1,0,9.632876,1
0,0,0,1062,34.25,0,0,2,0,22.25,0,0,0,0,0,0,1,0,13.01918,1
