state,dma,turn00,turn96,turn92,turn88,turn90,turn94,turn98,senate,prezg,seng,hseg,issg,othg,govg,balg,pq,___istate,___istat1,___istat2,___istat3,___istat4,___istat5,___istat6,___istat7,___istat8,___istat9,___ista10,___ista11,___ista12,___ista13,___ista14,___ista15,___ista16,___ista17,___ista18,___ista19,___ista20,___ista21,___ista22,___ista23,___ista24,___ista25,___ista26,___ista27,___ista28,___ista29,___ista30,___ista31,___ista32,___ista33,___ista34,___ista35,sum_grp,fall_grp,yr_grp,bush,cheney,gore,lieb,n0901,cont0901,n1001,cont1001,n1016,cont1016,yr_att,yr_cont,yr_pro,sum_att,sum_cont,sum_pro,fall_att,fall_con,fall_pro,end_grp,end_att,end_cont,end_pro,lncpop00,bg
OH,CLEVELAND,0.563210726,0.54995513,0.617349863,0.564589798,,0.432385236,0.411292553,0.411292553,5.228600025,2.224600077,1.896900058,0.664600015,9.498600006,0,0,0.246004403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31523.5,21062.40039,37127.30078,1,2,1,4,148,0.067567565,86,0.069767445,54,0.055555556,10162.40039,11752,15207.2002,10162.40039,10397.2998,10958.09961,8766.900391,8059.700195,4230.100098,5228.600098,3100.699951,1575.400024,546.7999878,14.86831284,1
OH,COLUMBUS OHIO,0.547179282,0.541535616,0.608192503,0.542284131,,0.399609268,0.400638103,0.400638103,5.169099808,2.433000088,11.69589996,0.738200009,7.687699795,0,0,0.247774109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31271.69922,20089.40039,39537.80078,1,1,1,2,90,0.06666667,59,0.084745765,39,0.128205135,7899.799805,14048.5,17589.5,7830.200195,11086.09961,12355.40039,6194.399902,8454.700195,5440.299805,5169.100098,2223.600098,1589.400024,1356.099976,14.21432114,1
TX,DALLAS-FT WORTH,0.493721873,0.451370269,0.545520782,0.499972463,0.335657686,0.371139169,,0.371139169,0.004,1.650699973,7.038899899,0.0189,0,0,0,0.249960586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.300000191,9,9.300000191,0,0,1,0,178,0.050561797,84,0.011904762,42,0,2.299999952,2,5,2.299999952,2,5,2,2,5,4,2,2,0,15.11452007,0
IN,DAYTON,0.47151348,0.482765198,0.510687709,0.497701794,0.363845855,0.36212188,0.374939591,0.374939591,4.783899784,2.239000082,0,0.527199984,6.918799877,0,0,0.249188513,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23131.69922,17530,26766.80078,1,3,1,1,1,0,0,0,0,0,5524.600098,10089.2998,11152.90039,5524.600098,8931.400391,8675.700195,5524.600098,7618.700195,4386.700195,4783.899902,2801.199951,1356.900024,625.7999878,10.88446045,0
OH,DAYTON,0.566776693,0.541572571,0.576136768,0.492667317,,0.411266655,0.404627264,0.404627264,4.783899784,2.239000082,0,0.527199984,6.918799877,0,0,0.245540872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23131.69922,17530,26766.80078,1,3,1,1,49,0.081632651,13,0.15384616,11,0.181818187,5524.600098,10089.2998,11152.90039,5524.600098,8931.400391,8675.700195,5524.600098,7618.700195,4386.700195,4783.899902,2801.199951,1356.900024,625.7999878,13.74845028,1
CO,DENVER,0.589752078,0.554592609,0.642457187,0.625688016,0.406832725,,0.471951425,0.471951425,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.241944566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,103,0.087378643,58,0.103448279,26,0.115384616,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,14.6350317,0
NE,DENVER,0.580961168,0.574802279,0.627699852,0.632787228,0.544828773,0.509895802,,0.509895802,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.243445292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,0,0,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,10.48659706,0
NV,DENVER,0.747321427,0.626593828,0.641263962,0.552182138,,0.600735962,0.609558165,0.609558165,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.188832119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.1000061,239.1000061,850.0999756,0,1,0,2,0,0,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,7.021083832,1
WY,DENVER,0.573464155,0.580349088,0.574512959,0.522629261,,0.554640234,,0.554640234,0.231099993,0,5.16050005,0.115000002,0,0,0.677699983,0.244603023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239.1000061,239.1000061,850.0999756,0,1,0,2,8,0.125,0,0,0,0,45.70000076,229.5,574.9000244,5.300000191,229.5,4.300000191,5.300000191,229.5,4.300000191,231.1000061,1.299999952,229.5,0.300000012,11.13144493,0
IA,DES MOINES-AMES,0.632791638,0.598696053,0.660128653,0.612486959,0.494274378,,0.473195225,0.473195225,12.68179989,0,3.431499958,0,0,0,0,0.232366383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34893.89844,26477.09961,53261.19922,2,1,5,0,47,0.212765962,10,0.300000012,3,0.333333343,9628.400391,13677.7002,29955.09961,9266.400391,11913.09961,13714.40039,7898.899902,10557.90039,8020.299805,12681.7998,7209.5,1976.900024,3495.399902,13.51213551,1
MO,DES MOINES-AMES,0.637370229,0.547892988,0.641746521,0.610400438,,0.4910869,0.474755883,0.474755883,12.68179989,0,3.431499958,0,0,0,0,0.231129423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34893.89844,26477.09961,53261.19922,2,1,5,0,0,0,0,0,0,0,9628.400391,13677.7002,29955.09961,9266.400391,11913.09961,13714.40039,7898.899902,10557.90039,8020.299805,12681.7998,7209.5,1976.900024,3495.399902,7.969011784,1
MI,DETROIT,0.598029077,0.547567964,0.623779833,0.538405776,0.365038455,0.444584459,,0.444584459,11.59010029,16.51510048,10.12250042,0.313499987,8.873600006,0,5.96600008,0.240390301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37448.80078,27990.5,51012.10156,10,5,10,6,141,0.113475174,84,0.142857149,49,0.183673471,15795.7998,13216.59961,21999.69922,13695.7998,11767.90039,11985.09961,11422.09961,9493.400391,7075,11590.09961,6158.5,2120.899902,3310.699951,15.06725788,1
MI,FLINT-SAGINAW-BAY CITY,0.596713364,0.563980758,0.63809222,0.578460217,0.398739338,0.461985171,,0.461985171,9.376700401,9.693300247,11.77270031,0.197500005,4.829599857,0,5.219299793,0.240646526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35627.19922,24609.19922,50983.5,2,1,3,3,43,0.139534891,24,0.083333336,7,0.142857149,11560,13965.2998,25458.19922,9182.5,12154.7002,14290,6805.600098,10009.5,7794.100098,9376.700195,3771.899902,2340.600098,3264.199951,13.69000435,1
CA,FRESNO-VISALIA,0.4711622,0.469531387,0.517931163,0.476854533,,0.414635211,0.378912836,0.378912836,1.95480001,1.565899968,10.64080048,0.015900001,0,0,0,0.249168381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6213.200195,4631.200195,14730.90039,1,2,0,1,40,0.100000001,27,0.111111112,24,0.125,464.8999939,3903.5,10362.5,464.8999939,2368.899902,3379.399902,464.8999939,2368.899902,1797.400024,1954.800049,464.8999939,1027.199951,462.7000122,13.72612572,0
MI,GRAND RAPIDS-KALAMAZOO-BATTLE CREEK,0.597483635,0.563111484,0.638695419,0.570140183,0.384926617,0.426649004,,0.426649004,10.85499954,10.74569988,0.261999995,0.455900013,5.880400181,0,5.860300064,0.240496948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32858.30078,24349.69922,45402.69922,5,2,4,0,80,0.075000003,40,0.100000001,22,0.090909094,11228.5,12844.09961,21330.09961,9535.400391,11275.40039,12047.5,8327.200195,8732.900391,7289.600098,10855,5770.899902,1823,3261.100098,14.10933113,1
MI,GREEN BAY-APPLETON,0.544742584,0.542591035,0.602793694,0.578123987,0.343280166,0.3801516,,0.3801516,13.13059998,3.057100058,4.897099972,0,0,0,0,0.247998103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38405.30078,28266.80078,41077.80078,4,2,2,2,1,0,0,0,0,0,11303.7998,12551.40039,17222.59961,11303.7998,12551.40039,14550.09961,9883.200195,9844.299805,8539.299805,13130.59961,7159.5,2026.099976,3945,9.860266685,1
WI,GREEN BAY-APPLETON,0.646729171,0.576458514,0.701552033,0.623483598,,0.409676462,0.454716563,0.454716563,13.13059998,3.057100058,4.897099972,0,0,0,0,0.228470549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38405.30078,28266.80078,41077.80078,4,2,2,2,50,0.079999998,28,0.142857149,27,0.148148149,11303.7998,12551.40039,17222.59961,11303.7998,12551.40039,14550.09961,9883.200195,9844.299805,8539.299805,13130.59961,7159.5,2026.099976,3945,13.53342056,1
NC,GREENSBORO-HIGH POINT-WINSTON SALEM,0.514148891,0.477662951,0.52455616,0.461464971,0.416874141,,0.373327821,0.373327821,0.0392,0,0,0.046500001,1.275099993,8.299599648,0,0.249799803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.699951,212.1000061,1120.699951,2,0,1,0,47,0.106382981,35,0.057142857,18,0.111111112,0.899999976,18.70000076,1101.099976,0.899999976,18.70000076,1101.099976,0.899999976,18.70000076,192.5,39.20000076,0.899999976,18.70000076,19.60000038,13.92879295,0
VA,GREENSBORO-HIGH POINT-WINSTON SALEM,0.486435711,0.469962895,0.527242899,0.496087641,,0.407930255,,0.407930255,0.0392,0,0,0.046500001,1.275099993,8.299599648,0,0.249816015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1120.699951,212.1000061,1120.699951,2,0,1,0,3,0,2,0,0,0,0.899999976,18.70000076,1101.099976,0.899999976,18.70000076,1101.099976,0.899999976,18.70000076,192.5,39.20000076,0.899999976,18.70000076,19.60000038,10.28425026,0
GA,GREENVILLE-SPARTANBURG-ASHEVILLE-AN,0.41029349,0.413989663,0.466157615,0.375840038,0.193741798,,0.276675791,0.276675791,0.0022,0,10.08940029,0,0.981299996,3.193399906,0,0.241952747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.400000095,6.400000095,15306.90039,0,0,0,0,2,0,2,0,0,0,2254,3336.300049,9716.599609,0.400000006,1.799999952,4.199999809,0.400000006,1.799999952,4.199999809,2.200000048,0.400000006,1.799999952,0,11.11380482,0
NC,GREENVILLE-SPARTANBURG-ASHEVILLE-AN,0.532807946,0.481415689,0.553133368,0.507741749,0.433391392,,0.405308604,0.405308604,0.0022,0,10.08940029,0,0.981299996,3.193399906,0,0.248923644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.400000095,6.400000095,15306.90039,0,0,0,0,36,0.055555556,6,0.166666672,6,0.166666672,2254,3336.300049,9716.599609,0.400000006,1.799999952,4.199999809,0.400000006,1.799999952,4.199999809,2.200000048,0.400000006,1.799999952,0,13.10334778,0
