"","total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","fuel_type","distance","forcing","treat","katiya","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","hb_r","yrs_r","el_r","ex_zsc","ex_icw","k_zsc","k_icw","l_zsc","l_icw","a_zsc","a_icw","ha_zsc","ha_icw","sa_zsc","sa_icw","village","te_log","fe_log","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other"
"11",6000,5000,200,56,NA,1,2,4,0,0,0,0,0,0,2.66666666666667,2.71428571428571,3,3,1,2,2.2,3,50,NA,0,1,4.2,0.1,2,56,0,0,NA,0,0,50,1,0,TRUE,29,NA,NA,1004,NA,NA,NA,2,3,0,1,1,9,29,NA,NA,0.966428006216324,0.365140788795481,0.405852186844196,0.297611501238809,-0.767332865005008,-0.378574095383095,-0.543009498597405,-0.414247546542954,0.381963739498395,0.412965323261811,-0.908976897397444,-0.10389738290578,"Anvar nagar",8.69951491487685,8.51719339141622,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",4000,3000,100,56,NA,1,2,4,0,0,0,0,2,9,2.5,2.28571428571429,2,2,2,1,1.8,3,50,NA,0,0,3.8,0.1,2,58,0,0,NA,0,0,45,1,0,FALSE,28,NA,NA,1004,NA,NA,NA,2,2,0,2,1,8,28,NA,NA,0.0108619355016732,0.0714574863222953,0.405852186844196,0.297611501238809,-0.767332865005008,-0.378574095383095,0.782438668658917,0.89588555355323,-0.100053472191708,0.0259417786307397,-2.08636002891601,-0.714714004942045,"Anvar nagar",8.294049890102,8.00636790098353,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",6000,2000,500,56,0,1,2,4,0,0,0,0,3,7,3.5,2.71428571428571,3,4,2,4,3,5,100,NA,0,1,4,0.1,1,22,1,1,0,0,0,45,0,0,TRUE,2,0.5,7.66666666666667,1004,7.66666666666667,4,4,3,3,0,2,1,12,2,0,8,0.322158580846636,0.322954288902966,0.405852186844196,0.297611501238809,-0.767332865005008,-0.378574095383095,0.946973170394418,0.69977042804131,1.24441083498427,0.965685892889365,0.630366107088094,0.361055139193803,"Anvar nagar",8.69951491487685,7.60090295954196,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"14",2000,1500,0,0,NA,0,0,0,0,0.833333333333333,0,0,0,0,3,1.71428571428571,4,4,4,4,3.4,4,0,NA,0,0,3,0,2,54,0,0,NA,0,1,40,1,0,FALSE,10,NA,NA,1123,NA,NA,NA,5,2,0,1,1,9,10,NA,NA,-1.21059835303866,-0.841332955863635,-1.36327300540094,-1.22952276605159,0.16049321745157,0.0535352109684015,-0.543009498597405,-0.414247546542954,0.00471106164258466,-0.0110651205334745,-0.00322742876147198,-0.0812278288545587,"Aurahi",7.60090295954196,7.31322105375675,0,5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",4000,3500,0,0,NA,0,0,0,0,0.666666666666667,0,0,0,0,3.16666666666667,1.42857142857143,4,4,4,3,3.4,4,0,NA,0,0,3.8,0.1,2,55,0,0,NA,0,1,45,0,0,FALSE,16,NA,NA,1125,NA,NA,NA,4,2,0,1,3,9,16,NA,NA,-0.334270339478761,-0.545077552808034,-1.36327300540094,-1.22952276605159,-0.0250719990397455,-0.0328866503018979,-0.543009498597405,-0.414247546542954,-0.0291513809888571,-0.084840627078337,0.148209366615665,0.0801990225516523,"Aurahi",8.294049890102,8.16051853319175,0,4,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",4500,4000,200,0,200,0,0,0,0,0.666666666666667,1.5,0,4,6,2.5,2,4,2,4,4,3.2,4,200,NA,1,0,3.2,0,1,26,1,1,0,0,1,55,1,1,TRUE,10,1,11.3333333333333,1124,11.3333333333333,2,1.33333333333333,2,1,0,2,0,10,10,1,11,0.0432877782207184,-0.476157903208965,-1.36327300540094,-1.22952276605159,1.65835761796453,0.581736681737411,1.18815222319033,0.634606329538623,-0.306405333920325,-0.158377841839634,0.663694227399744,0.0892992870934075,"Aurahi",8.41183289798061,8.294049890102,0,2,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"17",3000,2500,0,54,200,1,2,4,0,0.166666666666667,0,0,5,16,2.16666666666667,0,4,3,3,3,2.8,4,200,NA,1,0,3.4,0,1,24,1,1,0,0,1,55,1,1,FALSE,7,1,11.6666666666667,1123,11.6666666666667,3.33333333333333,3,2,0,0,1,0,10,7,1,12,-0.374288986721347,-0.0906692306251983,0.405852186844196,0.297611501238809,-0.581767648513693,-0.292152234112796,2.27242133765074,2.0099035281375,-2.095847204215,-1.66970341298327,0.415230552161975,0.303383402168281,"Aurahi",8.00636790098353,7.82404641085621,0,0,0,0,0,1,NA,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"18",4000,3200,200,0,NA,0,0,0,0,0.666666666666667,1,0,0,0,2,2.28571428571429,4,4,4,4,3.6,4,100,NA,1,0,3.2,0,5,30,1,0,NA,0,1,60,1,1,TRUE,9,NA,NA,1124,NA,NA,NA,2,0,0,1,0,9,9,NA,NA,-0.263992584852651,-0.553668773787392,-1.36327300540094,-1.22952276605159,1.09721441229644,0.376862237724308,-0.543009498597405,-0.414247546542954,-0.617521729483236,-0.305690563145793,0.890169955272422,0.221417302516846,"Aurahi",8.294049890102,8.07090640128777,0,2,0,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4000,3000,0,80,NA,1,2,6,0,0,0,0,1,1,3,1.57142857142857,2,2,2,1,1.6,3,50,NA,0,0,3,0.2,2,59,0,0,NA,0,1,35,1,1,FALSE,25,NA,NA,1124,NA,NA,NA,4,2,0,1,1,10,25,NA,NA,0.108577371474638,0.341823375220549,0.645553207503774,0.792167261668378,-0.767332865005008,-0.378574095383095,-0.148541343680677,-0.217509591027176,-0.0984648692217242,-0.103224930768661,-2.50372440049882,-0.915111957601036,"Aurahi",8.294049890102,8.00636790098353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",3000,2500,100,0,NA,0,0,0,0,1,1,0,0,0,2.33333333333333,1.85714285714286,4,4,4,4,3.4,4,50,NA,0,1,3,0,5,23,1,0,NA,0,1,45,1,1,FALSE,5,NA,NA,1125,NA,NA,NA,2,1,0,1,0,10,5,NA,NA,-0.693196289103958,-0.69577735491825,-1.36327300540094,-1.22952276605159,1.46834484527907,0.549705960264907,-0.543009498597405,-0.414247546542954,-0.58207068388181,-0.361081766000331,0.582051668509266,0.22678029590531,"Aurahi",8.00636790098353,7.82404641085621,0,0,0,0,0,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",3000,2000,0,0,NA,0,0,0,0,0.833333333333333,0,0,1,0.3,3.5,1.71428571428571,4,3,4,4,3.2,4,0,NA,0,0,3,0,4,55,0,0,NA,1,1,18,1,0,TRUE,15,NA,NA,1123,NA,NA,NA,4,2,0,2,1,12,15,NA,NA,-0.919431612397701,-0.698950287360046,-1.36327300540094,-1.22952276605159,0.16049321745157,0.0535352109684015,-0.202192529422964,-0.309175309933639,0.522179318934113,0.320567221243058,-0.253795192334084,-0.205231904596357,"Aurahi",8.00636790098353,7.60090295954196,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",5000,4000,50,0,NA,0,0,0,0,0.833333333333333,0.5,0,1,1,2.66666666666667,1.85714285714286,5,4,4,4,3.6,4,0,NA,0,0,4.2,0.2,5,48,0,0,NA,0,1,40,0,0,TRUE,9,NA,NA,1125,NA,NA,NA,3,2,0,1,1,9,9,NA,NA,-0.00348457026042667,-0.403980934595652,-1.36327300540094,-1.22952276605159,0.721636423119661,0.258409654981505,-0.148541343680677,-0.217509591027176,-0.237091845687458,-0.13999353814931,0.827831587045806,0.546889311227525,"Aurahi",8.51719339141622,8.294049890102,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",3000,2500,0,56,NA,1,2,6,0,0,0,0,0,0,3.33333333333333,1.71428571428571,3,2,3,2,2.2,3,0,NA,0,0,2.6,0,2,58,0,0,NA,1,0,65,0,0,FALSE,5,NA,NA,1125,NA,NA,NA,5,2,0,1,2,10,5,NA,NA,-0.359542862294038,-0.0683530815988784,0.645553207503774,0.792167261668378,-0.767332865005008,-0.378574095383095,-0.543009498597405,-0.414247546542954,0.349689899836937,0.210023107317547,-1.99578852732675,-0.888680492546111,"Aurahi",8.00636790098353,7.82404641085621,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",3000,2500,100,0,NA,0,0,0,0,0.5,1,0,0,0,2.5,1.85714285714286,4,4,4,4,3.4,4,50,NA,0,1,3.2,0,5,25,1,0,NA,0,1,40,1,1,FALSE,4,NA,NA,1125,NA,NA,NA,2,1,0,2,0,10,4,NA,NA,-0.693196289103958,-0.69577735491825,-1.36327300540094,-1.22952276605159,0.91164919580512,0.290440376454009,-0.543009498597405,-0.414247546542954,-0.409581264784634,-0.25053765207482,0.671205105251438,0.311201167573648,"Aurahi",8.00636790098353,7.82404641085621,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",5000,3000,0,0,NA,0,0,0,0,1.66666666666667,0,0,1,1,3.16666666666667,2,5,4,5,5,4,5,0,NA,0,1,3.8,0.2,4,55,0,0,NA,0,1,42,1,0,FALSE,25,NA,NA,1124,NA,NA,NA,5,2,0,1,2,9,25,NA,NA,-0.337098131115785,-0.414184950352867,-1.36327300540094,-1.22952276605159,1.08831929990815,0.485644517319898,-0.148541343680677,-0.217509591027176,0.383552342468378,0.28379861386241,1.84852663757172,0.858150382167082,"Aurahi",8.51719339141622,8.00636790098353,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",3000,2500,0,0,NA,0,0,0,0,0.5,0,0,0,0,2.5,0,5,4,4,5,4,4,50,NA,1,0,3.2,0,5,24,1,0,NA,0,1,70,1,1,FALSE,4,NA,NA,1124,NA,NA,NA,2,1,0,2,0,10,4,NA,NA,-0.77243434625871,-0.693205254335835,-1.36327300540094,-1.22952276605159,-0.210637215531061,-0.119308511572197,-0.543009498597405,-0.414247546542954,-1.75086836602065,-1.44861518513225,1.31490602719606,0.324035245811608,"Aurahi",8.00636790098353,7.82404641085621,0,2,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",4000,3500,0,0,200,0,0,0,0,0,0,0,4,14,2.33333333333333,1.42857142857143,4,4,4,4,3.4,4,200,NA,1,0,3.2,0,5,28,1,1,0,0,1,50,1,1,FALSE,7,1,11.6666666666667,1125,11.6666666666667,2,2,2,1,0,1,0,10,7,1,12,-0.334270339478761,-0.545077552808034,-1.36327300540094,-1.22952276605159,-0.767332865005008,-0.378574095383095,1.8013086316736,1.68221454561248,-0.891598476474737,-0.637561196705891,1.10407912993085,0.474592972591361,"Aurahi",8.294049890102,8.16051853319175,0,0,0,0,0,0,NA,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"28",3000,2500,100,54,NA,1,1,4,0,0.833333333333333,1,0,0,0,2.33333333333333,1.85714285714286,4,4,4,4,3.4,4,100,NA,1,0,3.2,0,5,30,1,0,NA,0,1,40,1,1,FALSE,5,NA,NA,1123,NA,NA,NA,2,1,0,2,0,9,5,NA,NA,-0.295050929566595,-0.0932413312076141,0.115022593089398,0.221347160417795,1.28277962878775,0.463284098994608,-0.543009498597405,-0.414247546542954,-0.58207068388181,-0.361081766000331,0.829419330658304,0.358702836531204,"Aurahi",8.00636790098353,7.82404641085621,0,0,0,0,0,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",5000,2500,300,0,NA,0,0,0,0,1,1,0,3,3,3.5,1.71428571428571,5,4,5,4,4,5,0,NA,1,1,3.8,0.2,4,58,0,0,NA,0,1,66,1,0,TRUE,29,NA,NA,1123,NA,NA,NA,6,2,0,1,2,10,29,NA,NA,-0.246381225790518,-0.427646285124325,-1.36327300540094,-1.22952276605159,1.46834484527907,0.549705960264907,0.64039496615278,0.17596632000438,0.522179318934113,0.320567221243058,2.11218320938523,0.921513404557212,"Aurahi",8.51719339141622,7.82404641085621,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2000,1800,0,0,200,0,0,0,0,0,0,0,7,20,2.83333333333333,0,4,4,3,4,3.2,4,200,NA,1,0,3.2,0,1,26,1,1,0,1,1,40,1,1,TRUE,7,1,11.6666666666667,1123,11.6666666666667,2.66666666666667,2,2,1,0,1,4,9,7,1,12,-1.12239999335527,-0.837885936049109,-1.36327300540094,-1.22952276605159,-0.767332865005008,-0.378574095383095,3.21464674960502,2.66528149318752,-1.4058895278263,-1.22752695728123,0.842572455198082,0.381937707494522,"Aurahi",7.60090295954196,7.49554249943966,0,0,0,0,0,0,NA,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0
"31",8000,7000,0,54,NA,1,2,2,0,0.166666666666667,1,0,2,0,4.38333333333333,2,4,4,4,5,4.2,4,100,NA,1,1,3.2,0.1,4,29,1,0,NA,0,1,40,1,0,FALSE,8,NA,NA,1005,NA,NA,NA,10,1.3,0,1,4,10,8,NA,NA,1.66953378103941,0.644224243989594,0.166151166184619,-0.196944259190759,0.540518762822489,0.11759665391341,0.0926377091152326,-0.282673689529864,1.64272510187776,1.09077064551864,1.72554797834079,0.235880392470702,"Awarthi purwa",8.98719694566197,8.85366557089458,0,0,0,0,0,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"32",6000,5500,0,56,0,1,2,3,0,0,0,0,10,27,4,0,4,4,4,4,3.6,4,100,NA,0,1,3.4,0,1,28,1,1,0,1,0,46,1,0,FALSE,35,1,8,1006,8,10.3333333333333,6,3,3,0,2,3,13,35,1,8,0.95494915804581,0.376030022984524,0.286001676514408,0.050333621024025,-0.767332865005008,-0.378574095383095,4.70462941859684,3.77929946777178,-0.198463594146066,-0.45371815980265,0.958439066243999,0.316281573257706,"Awarthi purwa",8.69951491487685,8.61250355303873,0,0,0,0,0,0,NA,3,0,2,0,2,0,0,1,1,0,0,0,0,0,0
"33",2800,2500,0,26,NA,1,1,3,0,0,0,0,0,0,2.33333333333333,0,4,2,4,4,3,5,50,NA,0,0,3.4,0,2,57,0,0,NA,0,1,55,1,1,FALSE,8,NA,NA,1005,NA,NA,NA,2,1,0,1,0,10,8,NA,NA,-0.609568623604077,-0.430422844089552,-0.0048279172403913,-0.025930719796989,-0.767332865005008,-0.378574095383095,-0.543009498597405,-0.414247546542954,-1.92335778511783,-1.55915929905776,0.034892292651283,-0.00403577777457956,"Awarthi purwa",7.93737505330609,7.82404641085621,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",7000,6500,500,176,NA,1,1,4,0,0,1,0,0,0,4.33333333333333,2.14285714285714,4,4,4,4,4,4,150,NA,1,1,3.2,0.2,4,27,1,0,NA,0,1,35,1,0,TRUE,6,NA,NA,1005,NA,NA,NA,10,1,0,1,2,12,6,NA,NA,2.67407091623811,1.85026616317944,0.115022593089398,0.221347160417795,0.354953546331173,0.0311747926431108,-0.543009498597405,-0.414247546542954,1.69415420701292,1.14976722157617,1.59695030177139,0.254854359248001,"Awarthi purwa",8.85366557089458,8.77955760972987,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",4000,0,0,52,NA,1,2,4,0,0.166666666666667,0,0,0,0,2.33333333333333,2,4,4,4,4,3.4,4,0,NA,0,0,3,0.1,2,57,0,0,NA,0,1,50,1,1,FALSE,4,NA,NA,1006,NA,NA,NA,2,1,0,1,0,10,4,NA,NA,-0.979851967341644,-0.00507290929319597,0.405852186844196,0.297611501238809,-0.581767648513693,-0.292152234112796,-0.543009498597405,-0.414247546542954,-0.478894753017501,-0.268921955765145,-0.00322742876147198,-0.0812278288545587,"Awarthi purwa",8.294049890102,-6.90775527898214,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",3000,2500,100,52,NA,1,2,5,0,0.5,0,0,0,0,2.33333333333333,1.85714285714286,4,2,4,4,3,4,100,NA,1,0,3,0,2,55,0,0,NA,0,1,27,1,1,FALSE,6,NA,NA,1005,NA,NA,NA,2,1,0,1,0,10,6,NA,NA,-0.309797053993905,-0.115557480233934,0.525702697173985,0.544889381453593,-0.210637215531061,-0.119308511572197,-0.543009498597405,-0.414247546542954,-0.58207068388181,-0.361081766000331,0.239130366770909,0.0262738133792703,"Awarthi purwa",8.00636790098353,7.82404641085621,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",5000,4000,500,56,NA,1,2,4,0,0,0,0,0,0,2.83333333333333,2.42857142857143,4,2,4,2,2.8,3,50,NA,0,1,3.6,0.1,2,29,1,0,NA,1,0,28,1,0,TRUE,7,NA,NA,1006,NA,NA,NA,2,2,0,2,1,10,7,NA,NA,0.765978170900633,0.209296785520433,0.405852186844196,0.297611501238809,-0.767332865005008,-0.378574095383095,-0.543009498597405,-0.414247546542954,0.348101296866953,0.339189816716948,-0.346346551644021,-0.0816063682900143,"Awarthi purwa",8.51719339141622,8.294049890102,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",4000,3200,100,52,NA,1,2,4,0,0.5,0,0,0,0,2.5,1.85714285714286,4,1,2,4,2.4,4,100,NA,0,0,3.2,0.1,2,60,0,0,NA,0,1,35,1,1,FALSE,8,NA,NA,1005,NA,NA,NA,2,2,0,1,0,10,8,NA,NA,0.0401685931026501,0.02912320147934,0.405852186844196,0.297611501238809,-0.210637215531061,-0.119308511572197,-0.543009498597405,-0.414247546542954,-0.409581264784634,-0.25053765207482,-0.914130832930125,-0.438239578545136,"Awarthi purwa",8.294049890102,8.07090640128777,0,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",3800,2600,100,52,NA,1,2,4,0,0.333333333333333,1,0,0,0,2.33333333333333,2,4,2,4,4,3,4,100,NA,0,0,3,0,2,59,0,0,NA,0,1,45,1,1,FALSE,3,NA,NA,1006,NA,NA,NA,2,1,0,1,0,10,3,NA,NA,-0.165062021164532,-0.00509836524558908,0.405852186844196,0.297611501238809,0.726083979313805,0.20401851518371,-0.543009498597405,-0.414247546542954,-0.478894753017501,-0.268921955765145,-0.22970315663415,-0.213345844277998,"Awarthi purwa",8.24275660887234,7.86326710862488,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",5000,4000,500,56,NA,1,2,4,0,0,1,0,1,0,4,2.14285714285714,4,4,4,4,4,4,100,NA,0,1,3.2,0.2,4,32,1,0,NA,1,0,35,1,0,FALSE,8,NA,NA,1006,NA,NA,NA,6,2,0,2,2,12,8,NA,NA,0.765978170900633,0.209296785520433,0.405852186844196,0.297611501238809,0.354953546331173,0.0311747926431108,-0.225185894741086,-0.348460618036409,1.34917536881857,0.928678993725151,0.990786878730062,-0.0427103664393457,"Awarthi purwa",8.51719339141622,8.294049890102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
