year,policy_year,share_detained_sheriff,share_detained_crime0,share_detained_crime1,share_detained_crime2,share_detained_crime3,no_287g,no_detention_contract,no_ice_alerts,ice_interrogation_limits,sanctuary_2018,in_287g_2018,enforcement_scale_2018,large_county,county_id,election_id,rv,treat,rv2,rv3,rv4,rv5,treat_rv,treat_rv2,treat_rv3,all_sheriff_per1k_fb,all_sheriff_per1k_pop,log_all_sheriff,detained_sheriff_per1k_fb,detained_sheriff_per1k_pop,log_detained_sheriff,sub_per_fb,rem_per1k_fb,miss_share_detained_sheriff,pre_share_detained_sheriff,pre_all_sheriff_per1k_fb,pre_all_sheriff_per1k_pop,pre_log_all_sheriff,pre_detained_sheriff_per1k_fb,pre_detained_sheriff_per1k_pop,pre_log_detained_sheriff,pre_year
2015,2016.0,,,,,,,,,,,,,1.0,6.0,13.0,19.450531,1.0,378.32315,7358.5864,143128.4,2783923.5,19.450531,378.32315,7358.5864,,,,,,,2332.433,32.410534,,0.5,2.7008777,0.053688873,2.5649493,1.3504388,0.026844436,1.9459101,2014.0
2016,2017.0,,,,,,,,,,,,,1.0,6.0,13.0,19.450531,1.0,378.32315,7358.5864,143128.4,2783923.5,19.450531,378.32315,7358.5864,,,,,,,,,,0.5,2.7008777,0.053688873,2.5649493,1.3504388,0.026844436,1.9459101,2014.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,1.0,6.0,13.0,19.450531,1.0,378.32315,7358.5864,143128.4,2783923.5,19.450531,378.32315,7358.5864,,,,,,,,,,0.5,2.7008777,0.053688873,2.5649493,1.3504388,0.026844436,1.9459101,2014.0
2006,2007.0,,,,,,,,,,,,,1.0,7.0,14.0,-3.5306816,0.0,12.465713,-44.012463,155.394,-548.6467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,,,,,,,,,,,,,1.0,7.0,14.0,-3.5306816,0.0,12.465713,-44.012463,155.394,-548.6467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,,,,,,,,,,,,,1.0,7.0,14.0,-3.5306816,0.0,12.465713,-44.012463,155.394,-548.6467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.7241379,,,,,,,,,,,,1.0,7.0,14.0,-3.5306816,0.0,12.465713,-44.012463,155.394,-548.6467,0.0,0.0,0.0,9.644164,0.26111072,3.4011974,6.9837046,0.18908016,3.0910425,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2010,2011.0,0.21153846,,,,,,,,,,,,1.0,7.0,15.0,-11.496159,0.0,132.16167,-1519.3514,17466.705,-200800.02,0.0,0.0,0.0,17.292982,0.4681985,3.9702919,3.6581311,0.09904199,2.4849067,,,0.0,0.7241379,9.644164,0.26111072,3.4011974,6.9837046,0.18908016,3.0910425,2010.0
2011,2012.0,0.23809524,,,,,,,,,,,,1.0,7.0,15.0,-11.496159,0.0,132.16167,-1519.3514,17466.705,-200800.02,0.0,0.0,0.0,13.967409,0.37816033,3.7612002,3.3255737,0.09003817,2.3978953,,,0.0,0.7241379,9.644164,0.26111072,3.4011974,6.9837046,0.18908016,3.0910425,2010.0
2012,2013.0,0.16129032,,,,,,,,,,,,1.0,7.0,15.0,-11.496159,0.0,132.16167,-1519.3514,17466.705,-200800.02,0.0,0.0,0.0,10.3092785,0.27911836,3.465736,1.6627868,0.045019086,1.7917595,,,0.0,0.7241379,9.644164,0.26111072,3.4011974,6.9837046,0.18908016,3.0910425,2010.0
2013,2014.0,0.11111111,,,,,,,,,,,,1.0,7.0,15.0,-11.496159,0.0,132.16167,-1519.3514,17466.705,-200800.02,0.0,0.0,0.0,5.9860325,0.16206871,2.944439,0.66511476,0.018007636,1.0986123,3589.9568,82.14167,0.0,0.7241379,9.644164,0.26111072,3.4011974,6.9837046,0.18908016,3.0910425,2010.0
2006,2007.0,,,,,,,,,,,,,1.0,8.0,16.0,-31.495316,0.0,991.9549,-31241.934,983974.5,-30990588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,0.0,,,,,,,,,,,,1.0,8.0,16.0,-31.495316,0.0,991.9549,-31241.934,983974.5,-30990588.0,0.0,0.0,0.0,0.2950723,0.006978708,0.6931472,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,1.0,,,,,,,,,,,,1.0,8.0,16.0,-31.495316,0.0,991.9549,-31241.934,983974.5,-30990588.0,0.0,0.0,0.0,0.2950723,0.006978708,0.6931472,0.2950723,0.006978708,0.6931472,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.5945946,,,,,,,,,,,,1.0,8.0,16.0,-31.495316,0.0,991.9549,-31241.934,983974.5,-30990588.0,0.0,0.0,0.0,10.917675,0.2582122,3.637586,6.4915905,0.15353158,3.1354942,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2006,2007.0,,,,,,,,,,,,,1.0,9.0,17.0,20.356407,1.0,414.3833,8435.355,171713.53,3495470.5,20.356407,414.3833,8435.355,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2007,2008.0,0.0,0.0,,,,,,,,,,,1.0,9.0,17.0,20.356407,1.0,414.3833,8435.355,171713.53,3495470.5,20.356407,414.3833,8435.355,0.2891009,0.006065201,0.6931472,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2008,2009.0,1.0,1.0,1.0,,,,,,,,,,1.0,9.0,17.0,20.356407,1.0,414.3833,8435.355,171713.53,3495470.5,20.356407,414.3833,8435.355,0.5782018,0.012130402,1.0986123,0.5782018,0.012130402,1.0986123,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2009,2010.0,0.8076923,0.5714286,1.0,0.6666667,0.90909094,,,,,,,,1.0,9.0,17.0,20.356407,1.0,414.3833,8435.355,171713.53,3495470.5,20.356407,414.3833,8435.355,7.5166235,0.15769522,3.295837,6.071119,0.12736923,3.0910425,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
2014,2015.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,1.0,9.0,18.0,-12.09251,0.0,146.2288,-1768.2733,21382.863,-258572.48,0.0,0.0,0.0,5.203816,0.10917362,2.944439,0.0,0.0,0.0,1864.4116,21.393467,0.0,0.02173913,13.298641,0.27899924,3.8501475,0.2891009,0.006065201,0.6931472,2014.0
2015,2016.0,,,,,,,,,,,,,1.0,9.0,18.0,-12.09251,0.0,146.2288,-1768.2733,21382.863,-258572.48,0.0,0.0,0.0,,,,,,,945.3599,10.118531,,0.02173913,13.298641,0.27899924,3.8501475,0.2891009,0.006065201,0.6931472,2014.0
2016,2017.0,,,,,,,,,,,,,1.0,9.0,18.0,-12.09251,0.0,146.2288,-1768.2733,21382.863,-258572.48,0.0,0.0,0.0,,,,,,,,,,0.02173913,13.298641,0.27899924,3.8501475,0.2891009,0.006065201,0.6931472,2014.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,1.0,9.0,18.0,-12.09251,0.0,146.2288,-1768.2733,21382.863,-258572.48,0.0,0.0,0.0,,,,,,,,,,0.02173913,13.298641,0.27899924,3.8501475,0.2891009,0.006065201,0.6931472,2014.0
2014,2015.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,,,,0.0,10.0,19.0,17.38675,1.0,302.29904,5255.9976,91384.72,1588883.1,17.38675,302.29904,5255.9976,7.5757575,0.1652278,1.609438,0.0,0.0,0.0,1388.2576,24.621212,0.0,0.0,3.7878788,0.0826139,1.0986123,0.0,0.0,0.0,2014.0
2015,2016.0,,,,,,,,,,,,,0.0,10.0,19.0,17.38675,1.0,302.29904,5255.9976,91384.72,1588883.1,17.38675,302.29904,5255.9976,,,,,,,761.36365,26.515152,,0.0,3.7878788,0.0826139,1.0986123,0.0,0.0,0.0,2014.0
2014,2015.0,1.0,,,,1.0,1.0,1.0,0.0,0.0,,,,0.0,11.0,20.0,-27.461575,0.0,754.13806,-20709.818,568724.25,-15618063.0,0.0,0.0,0.0,1.6103059,0.026051164,0.6931472,1.6103059,0.026051164,0.6931472,3582.9307,12.882447,0.0,0.0,1.6103059,0.026051164,0.6931472,0.0,0.0,0.0,2014.0
2015,2016.0,,,,,,,,,,,,,0.0,11.0,20.0,-27.461575,0.0,754.13806,-20709.818,568724.25,-15618063.0,0.0,0.0,0.0,,,,,,,1900.161,3.2206118,,0.0,1.6103059,0.026051164,0.6931472,0.0,0.0,0.0,2014.0
2012,2013.0,,,,,,,,,,,,,0.0,12.0,21.0,-5.822876,0.0,33.905884,-197.42976,1149.609,-6694.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.42857143,42.813457,0.41239542,2.7080503,18.348623,0.1767409,1.9459101,2012.0
2013,2014.0,0.33333334,,,,,,,,,,,,0.0,12.0,21.0,-5.822876,0.0,33.905884,-197.42976,1149.609,-6694.031,0.0,0.0,0.0,9.174312,0.08837045,1.3862944,3.058104,0.029456817,0.6931472,6675.841,45.87156,0.0,0.42857143,42.813457,0.41239542,2.7080503,18.348623,0.1767409,1.9459101,2012.0
2012,2013.0,0.22580644,0.13043478,0.25,,0.75,,,,,,,,0.0,13.0,22.0,-14.207157,0.0,201.8433,-2867.6196,40740.723,-578809.9,0.0,0.0,0.0,16.298634,1.222542,3.465736,3.6803365,0.2760579,2.0794415,,,0.0,0.27083334,25.236593,1.8929684,3.8918202,6.8349104,0.5126789,2.6390574,2012.0
2013,2014.0,0.20833333,0.05,1.0,,1.0,,,,,,,,0.0,13.0,22.0,-14.207157,0.0,201.8433,-2867.6196,40740.723,-578809.9,0.0,0.0,0.0,12.618297,0.9464842,3.218876,2.6288118,0.1971842,1.7917595,854.36383,34.700314,0.0,0.27083334,25.236593,1.8929684,3.8918202,6.8349104,0.5126789,2.6390574,2012.0
2014,2015.0,0.16666667,0.0,,,1.0,1.0,1.0,0.0,0.0,,,,0.0,13.0,23.0,11.456394,1.0,131.24896,1503.6399,17226.291,197351.19,11.456394,131.24896,1503.6399,3.1545742,0.23662105,1.9459101,0.5257624,0.039436843,0.6931472,780.2313,33.123028,0.0,0.20833333,12.618297,0.9464842,3.218876,2.6288118,0.1971842,1.7917595,2014.0
2015,2016.0,,,,,,,,,,,,,0.0,13.0,23.0,11.456394,1.0,131.24896,1503.6399,17226.291,197351.19,11.456394,131.24896,1503.6399,,,,,,,374.3428,24.71083,,0.20833333,12.618297,0.9464842,3.218876,2.6288118,0.1971842,1.7917595,2014.0
2016,2017.0,,,,,,,,,,,,,0.0,13.0,24.0,5.6778297,1.0,32.23775,183.04047,1039.2726,5900.8125,5.6778297,32.23775,183.04047,,,,,,,,,,,,,,,,,2016.0
2017,2018.0,,,,,,,,,,0.0,0.0,0.0,0.0,13.0,24.0,5.6778297,1.0,32.23775,183.04047,1039.2726,5900.8125,5.6778297,32.23775,183.04047,,,,,,,,,,,,,,,,,2016.0
