,country,ccode,y_us,y_ch,y_fr,y_ge,y_in,y_ja,y_ru,y_uk,y_ownc,x,x_imputed,z_ratio,z_death,usaid,usaid_imputed,gdppc,wbgi,fhscore,africa,trade_i,trade_e,unvote_key
11,Honduras,91.0,0.7026052,0.3497907,-0.07507269,-0.10911543,-0.76462257,0.71715045,-0.6676575,-0.21814485,-0.7316268,-0.16056404,-0.16056404,0.1612681,-7.4801116,2.621156,2.621156,8.095147,-0.5845787,3.0,0.0,-6.000835866766505,-5.578342172451819,0.503147
12,El Salvador,92.0,0.9465954,0.17125084,0.20789164,0.2847855,-0.31446704,0.5209891,-0.09306362,0.23751296,-0.018386757,-1.3967727,-1.3967727,-0.2548923,-9.059461,2.494689,2.494689,8.64968,-0.17816663,3.0,0.0,-6.573881211673692,-6.078050341706995,0.502331
13,Nicaragua,93.0,0.6413832,0.9728742,0.7495427,0.5794965,0.17048298,1.0522923,0.038372654,0.4523022,-0.4142159,-1.398981,-1.398981,-2.3025851,-10.034073,2.7284768,2.7284768,7.749379,-0.48039222,3.0,0.0,-7.302529414164616,-7.22628073601775,0.576457
14,Costa Rica,94.0,0.61715925,0.30959752,0.5574423,0.3703738,-0.25488952,0.45789206,-0.438176,0.19241187,-0.0644998,-3.307886,-3.307886,-1.7429693,-11.146023,-0.22221681,-0.22221681,9.115644,0.5139206,1.0,0.0,-6.088860892460019,-5.5070630467146735,0.39125866
15,Panama,95.0,1.4203556,0.34287462,0.2998625,0.18753068,-0.5381167,0.25603455,-0.4012394,0.039091162,-0.18175824,-1.5014783,-1.5014783,0.28141248,-7.5022025,1.7829077,1.7829077,9.130769,0.04630373,2.0,0.0,-8.445286090660266,-6.130385258574532,0.40174833
16,Colombia,100.0,0.68564755,0.15272869,0.9071664,0.6853546,-0.16620708,0.65433073,-0.070028566,0.535122,0.24466033,,-6.544867,-0.1923719,-8.031418,2.4980116,2.4980116,8.903041,-0.51652807,3.3333333,0.0,-5.310972472084164,-5.1975726949023064,0.32144535
17,Venezuela,101.0,0.13418873,0.7728057,0.67643523,0.4382696,0.27814493,0.8191122,0.40075094,0.124761604,0.43893218,,-6.1850996,,,-1.0599875,-1.0599875,9.203542,-1.0337952,4.0,0.0,-4.077123250052409,-5.140954923506581,0.10827533
18,Guyana,110.0,2.1305232,0.8581348,0.29019153,0.15072723,0.61556613,0.55028445,-0.20633644,2.3043535,0.03141617,3.144911,3.144911,0.31845373,-6.8957615,3.701207,3.701207,7.838975,-0.42963552,2.6666667,0.0,-9.39329100824649,-8.680285563916609,0.238345
19,Ecuador,130.0,0.46989888,0.3121608,0.59062517,0.45763656,-0.74593216,0.5006322,-0.082848385,0.082759805,0.007213079,,-6.734186,-0.6931472,-8.38971,1.7906638,1.7906638,8.809084,-0.7616829,3.0,0.0,-5.838069586040558,-6.190766567210479,0.35174835
20,Peru,135.0,0.509091,0.7475141,0.78907466,0.6242766,-0.18764417,1.0717938,0.22250366,0.24477586,-1.3769627,-3.9648855,-3.9648855,-0.6931472,-8.331328,1.9645222,1.9645222,8.75612,-0.39420113,3.0,0.0,-5.984063988031304,-5.960334110738266,0.53181833
21,Brazil,140.0,0.009342009,-0.27205825,0.34108484,0.051920157,-0.6045953,0.37658507,-0.62188333,-0.075608484,-0.084190115,-3.7636216,-3.7636216,,,-1.9484824,-1.9484824,9.051477,-0.06379238,2.3333333,0.0,-4.2407076999072135,-4.071847754194784,0.28065267
22,Bolivia,145.0,-0.12768318,0.07376676,-0.20117055,-0.35613865,-0.6896834,0.5158948,-0.79633147,-0.5512565,-0.11431816,-3.3258731,-3.3258731,-1.609438,-9.431644,2.8367674,2.8367674,8.217341,-0.593447,3.0,0.0,-8.638259555750542,-8.343405109700862,0.372261
23,Paraguay,150.0,0.27873975,,,,-0.0283616,,,,-0.5332965,,-6.2514076,-1.2039728,,0.93781924,0.93781924,8.272724,-0.8324554,3.0,0.0,-10.130128218484915,-7.176173096738,0.397902
24,Chile,155.0,0.33080167,0.05178372,0.59378344,0.301033,-0.23210293,0.45371076,-0.26493847,0.09001002,0.0013597226,,-6.8669333,-1.2909842,,-2.0544667,-2.0544667,9.404345,1.1941137,1.0,0.0,-5.738407773080927,-5.420164611602771,0.38508168
25,Argentina,160.0,-0.6235076,-0.40582412,-0.056889478,-0.14816213,-0.9635861,0.077471495,-1.2405524,-1.1948323,-0.60072005,,-6.2010236,-0.9162907,-9.502188,-3.1230173,-3.1230173,9.288688,-0.27108553,2.0,0.0,-5.972259828221483,-5.482493757954259,0.425874
26,Uruguay,165.0,0.09527849,-0.14319985,0.13094027,0.1179333,-0.27145746,0.45961928,-0.579292,-0.54190207,0.8316541,,-6.0850763,-0.9162907,,-1.7003154,-1.7003154,9.171253,0.62954265,1.0,0.0,-7.837554859135824,-7.823423305378229,0.42738932
27,United Kingdom,200.0,0.026648218,-0.68641156,0.42058688,1.4066805,0.1639695,1.0213822,-0.8713473,,-0.34192345,,-8.319786,-1.89712,-11.973476,,-8.319786,10.398232,1.4724003,1.0,0.0,-3.458240138564153,-3.1219758948455403,
28,Ireland,205.0,0.6033218,-0.7491021,0.87663954,1.4832482,-0.24132997,0.7852181,-0.50954944,0.7308951,-0.46527666,,-7.7244763,-1.609438,-11.526074,,-7.7244763,10.55751,1.5270005,1.0,0.0,-3.980527671972832,-4.680997275924944,0.61573434
29,Netherlands,210.0,-0.5311303,-1.0760878,0.32996565,1.9104433,-0.5131668,0.5641619,-1.3779505,0.5271327,0.70063955,,-6.0469,-1.609438,-12.818862,,-6.0469,10.470914,1.6742682,1.0,0.0,-4.7710534211661395,-3.5189015494479943,0.61573434
30,Belgium,211.0,-1.1185813,-0.9997499,0.31393027,1.1528759,-0.46576744,0.17496277,-1.1616498,-0.3649067,0.13953908,,-5.9702673,-1.609438,-12.257841,,-5.9702673,10.380349,1.3092798,1.0,0.0,-4.7713988715204545,-3.877155298190166,0.61573434
31,Luxembourg,212.0,-0.15878917,-1.5382271,0.18540502,1.1787711,-0.59227,0.051026274,-1.229516,0.030047042,1.5452676,,-6.08465,,,,-6.08465,,1.6686883,1.0,0.0,-8.529985550538639,-7.1492783405020015,0.61573434
32,France,220.0,-0.29797614,-1.3850518,,1.3731263,-0.4267445,0.12382183,-1.699832,-0.09749923,-0.20061633,,-5.9551873,-1.1239301,-10.692961,,-5.9551873,10.303013,1.2616343,1.0,0.0,-3.8394778649427117,-3.662161437457932,
33,Switzerland,225.0,0.7508893,-1.7163397,-0.0005092327,1.1525481,-0.5524964,0.20329122,-1.2871805,0.28143156,0.54213107,,-6.676357,-1.2039728,-11.784545,,-6.676357,10.488705,1.7306966,1.0,0.0,-4.839423853495191,-4.474905529637557,0.61573434
34,Spain,230.0,-0.18990187,-1.1418592,0.6957985,1.2780538,-1.0552038,0.53405756,-1.2413988,0.039206058,-0.0528465,,-6.140004,-0.9162907,-10.035381,,-6.140004,10.218897,1.026206,1.0,0.0,-5.298094633855121,-4.8244219015998135,0.61573434
35,Portugal,235.0,0.62633324,-1.0560492,0.8048858,1.5319564,-0.5274399,0.49613106,-0.7532251,0.7934339,-0.6387383,,-6.134876,-0.7444405,-10.193132,,-6.134876,9.968856,1.1190909,1.0,0.0,-6.484887799681273,-6.657710845800933,0.61573434
36,Germany,255.0,-0.47797284,-1.8496349,0.4385365,,-0.7710264,0.15852031,-1.4967937,-0.22771081,-0.19446406,,-6.8087263,-2.3025851,-11.644918,,-6.8087263,10.362299,1.4787389,1.0,0.0,-2.9455680650097054,-3.255445832626931,
37,Poland,290.0,0.31775898,-1.2927195,0.79646665,0.7527848,-0.60340804,0.10411643,-1.3961186,1.08579,-0.7146683,,-8.040632,-2.3025851,-14.018893,,-8.040632,9.540439,0.49172255,1.0,0.0,-6.693164643058741,-6.77614390688052,0.61573434
38,Austria,305.0,-0.30684733,-2.1183434,-0.063921705,0.9216926,-0.79280365,0.06358933,-1.5330889,-0.10666347,-0.20625989,,-5.931697,-2.0794415,-12.167043,,-5.931697,10.419884,1.6371351,1.0,0.0,-5.535237520477381,-6.037156103084869,0.61573434
39,Hungary,310.0,0.6551706,0.3179561,1.713204,2.7836347,-0.31877902,2.1005647,-0.28920138,1.8015113,-1.0731221,,-9.695561,-2.981085,-10.872579,,-9.695561,9.73905,0.9265267,1.0,0.0,-6.347896700737935,-6.569485586923021,0.61573434
40,Czech Republic,316.0,0.4536075,-1.212216,1.1671968,1.2489846,-0.7168982,0.74202836,-0.95859164,1.2292608,-0.61764467,,-8.583916,-2.8658676,-12.048254,,-8.583916,9.92378,0.84052116,1.0,0.0,-6.729824110424037,-6.893172086186625,0.61573434
41,Italy,325.0,0.37111273,-1.7907923,0.59041196,1.1935288,-0.8784544,-0.17042959,-1.420174,0.45156902,-0.40995246,,-6.069865,-1.2039728,-10.801653,,-6.069865,10.250219,0.6344424,1.0,0.0,-3.9571439736112617,-4.333942868904787,
42,Malta,338.0,0.47162423,-0.70078814,0.85818076,1.1730857,-0.95702916,0.44016615,-1.0597491,0.26614097,0.024625741,,-6.75829,-2.3025851,-9.238399,,-6.75829,9.94451,1.1552919,1.0,0.0,-8.25262955062053,-8.410357531047639,0.526457
43,Albania,339.0,2.4839804,0.08119298,1.3376508,1.5968928,-0.4914534,0.19396272,-0.3509825,1.8171449,,-3.4746716,-3.4746716,,,2.527916,2.527916,8.725519,-0.43893138,3.0,0.0,-11.765851912924619,-10.610089663238094,0.61573434
44,Montenegro,341.0,-0.19228825,0.79608154,0.20050746,0.17200935,0.44486368,0.7689561,0.902525,-0.022945391,,,-8.282351,,,2.472519,2.472519,9.033611,-0.1420243,3.0,0.0,,,
45,Macedonia,343.0,0.98696226,0.6835938,0.34133637,1.3213414,0.6859958,1.2803818,0.49077743,0.7553278,,,-6.1527224,,,3.1128333,3.1128333,8.943575,-0.34251356,3.0,0.0,-9.841392282053656,-10.554896907045915,0.61573434
46,Croatia,344.0,0.9836099,-0.044320043,1.0121478,2.085523,0.26850653,1.1310506,0.10888729,0.80375904,,,-7.633937,-2.6338172,-10.913219,2.0376878,2.0376878,9.631766,0.3643587,2.0,0.0,-8.527511035331875,-8.741217063526728,0.61573434
47,Bosnia and Herzegovina,346.0,-0.55150765,-0.16214368,-0.07415489,0.18283457,-0.46788266,-0.18300788,-0.02764026,-0.47641408,,,-6.1793466,,,2.7498858,2.7498858,8.742401,-0.32320043,3.0,0.0,-11.785013758769944,-10.286788848501091,0.6029137
48,Kosovo,347.0,2.4251606,-2.0281053,1.1470814,2.0550995,-0.67398864,-0.6142682,-2.48569,2.2096004,0.34730768,,-6.003979,,,,-6.003979,,,,0.0,,,
49,Slovenia,349.0,0.37773994,-1.1937635,0.5037077,1.3136082,-0.46104085,0.4483587,-0.7492282,0.3056925,-0.553515,,-5.9798307,-3.446832,-10.649903,,-5.9798307,10.069122,0.95875794,1.0,0.0,-7.966475356783013,-8.353025010675635,0.61573434
50,Greece,350.0,-0.6031691,0.39381343,0.50831497,0.28406435,-0.47875735,0.51945806,0.36038977,-0.6992407,-0.6833574,,-5.9300394,-2.3025851,-10.325907,,-5.9300394,10.11974,0.7411642,2.0,0.0,-7.6163397495512815,-5.978488760462332,0.61573434
51,Cyprus,352.0,-0.35193706,0.24531719,0.26208916,0.17015223,-0.50101095,0.3881406,0.4040968,-0.6749442,0.16843717,,-7.34838,,,,-7.34838,10.104972,0.9748428,1.0,0.0,-10.949411038216455,-9.04570104433692,0.526457
52,Bulgaria,355.0,1.0397526,0.9300795,1.824281,2.131317,0.51035213,1.6616518,1.1378518,1.275436,-0.2846663,,-6.1532054,-2.9476151,-11.475031,,-6.1532054,9.193067,0.22570442,2.0,0.0,-7.971440333645371,-8.46374850521782,0.61573434
53,Moldova,359.0,0.73311865,0.5057195,1.5298005,1.7373712,0.010159975,1.0124154,1.4569763,1.2425085,-0.88266253,,-7.93895,-0.9162907,-8.848994,2.0371752,2.0371752,7.760094,-0.53576016,4.0,0.0,-10.30019218478035,-9.935130127869696,0.6134033
54,Romania,360.0,1.1688204,0.09765956,1.8241701,2.2432797,-0.0048837955,1.1166432,-0.23098858,1.5428684,-1.4531668,-5.376927,-5.376927,-2.3025851,-10.535921,-5.376927,-5.376927,9.157256,0.037706077,2.0,0.0,-7.451816174725291,-7.346401988529829,0.61573434
55,Russia,365.0,-1.0080619,0.59882915,0.6111941,1.0679649,0.5069579,0.613431,,-0.18304828,0.39919493,-2.4198387,-2.4198387,-0.597837,,-2.4198387,-2.4198387,9.387612,-0.7209823,5.0,0.0,-4.817007512938845,-5.617233475848974,0.317133
56,Estonia,366.0,-0.46430248,-0.44811803,1.1518527,1.4556348,0.5377228,1.1316841,-0.4212489,0.58032405,-0.5153267,-4.519475,-4.519475,-0.39304256,-8.812277,-4.519475,-4.519475,9.720616,1.0018061,1.0,0.0,-8.226499134162161,-8.710682084478055,0.61573434
57,Latvia,367.0,-0.49415454,-0.08180556,1.1681863,1.5224495,0.32628804,1.0214572,-0.010256909,0.5532231,-1.3205601,,-6.052841,-0.9162907,-9.304202,,-6.052841,9.485026,0.66214365,1.3333334,0.0,-8.30166124493002,-8.813888751399947,0.61573434
58,Lithuania,368.0,0.5815662,-0.6343168,1.4167109,1.9248816,-0.1932518,0.9460938,-0.55677605,1.6477442,-1.495832,,-9.511055,-3.4139578,-11.108208,,-9.511055,9.563027,0.70755583,1.3333334,0.0,-8.022693886336386,-7.923187408378638,0.61573434
59,Ukraine,369.0,-0.2629295,0.33369508,1.041487,1.3677524,-0.1426773,0.8245301,1.0039508,0.8162604,-1.6279935,-2.083017,-2.083017,-0.025317784,-8.149618,0.5636953,0.5636953,8.643059,-0.51669455,2.3333333,0.0,-7.516448203996554,-7.620549177158223,0.5657343
60,Belarus,370.0,-0.75775003,1.3179123,0.8834091,1.0327741,0.6415561,0.9717498,1.1072531,0.08010041,0.82433736,,-7.8885126,-2.3025851,-10.873888,-0.7822501,-0.7822501,9.063485,-1.018798,6.0,0.0,-8.383663277830363,-10.127264437216919,0.12342667
61,Armenia,371.0,0.31450224,0.65391505,1.7246743,1.0664924,0.36985773,0.7346569,2.1000953,0.64367545,-0.17607036,-4.4724813,-4.4724813,-2.3025851,-10.579943,3.0609782,3.0609782,8.321383,-0.3062702,4.0,0.0,-10.369730699650264,-9.103450631654141,0.31480166
62,Georgia,372.0,0.5996883,-0.32358176,0.9750153,0.77517664,-0.09165753,0.36171666,-1.6522735,0.91631055,0.20088722,-2.070665,-2.070665,-2.552871,-11.144009,2.9963531,2.9963531,8.193674,-0.4414531,3.3333333,0.0,-9.84785754089167,-8.185328858473554,0.57109565
63,Azerbaijan,373.0,0.3101118,0.80880535,0.093312524,1.3335541,0.25183672,1.2453475,0.8491644,0.48350054,1.4497546,,-7.6125937,-3.121124,-12.1937275,1.763441,1.763441,8.453263,-0.8819112,5.0,0.0,-10.561148798265105,-8.54291933787732,0.16806534
64,Finland,375.0,-0.1309057,-1.1242985,0.8542859,1.7235397,0.017273521,1.4525218,-0.8351344,0.7664812,0.4564346,,-6.426624,-2.3025851,-11.178533,,-6.426624,10.336516,1.9255996,1.0,0.0,-5.935197571860707,-5.975692155948574,0.61573434
65,Sweden,380.0,-0.5072723,-1.8487239,0.15579535,1.2607198,-0.50885785,0.73457575,-1.9374106,0.56608516,0.42686313,,-7.674985,-2.3025851,-11.742946,,-7.674985,10.398931,1.7311082,1.0,0.0,-4.752550661846644,-5.5258995257091446,0.61573434
66,Norway,385.0,-1.8788931,-1.6668314,0.06046348,1.6823559,-0.24569595,0.7980675,-1.2295932,0.39580563,0.3128987,,-6.0011992,-2.3025851,-11.696913,,-6.0011992,10.762576,1.7020322,1.0,0.0,-5.419674985114208,-6.2300562493100635,0.61573434
67,Denmark,390.0,0.036180463,-1.3175277,0.35304132,1.739867,-0.7270535,0.53197443,-1.3202595,0.75176644,0.57100004,,-6.3785973,-2.3025851,-11.605063,,-6.3785973,10.413636,1.8664101,1.0,0.0,-5.937938264301192,-5.938881574534353,0.61573434
68,Iceland,395.0,-1.5129455,-0.8602013,0.8787314,1.2636148,-0.1518195,1.4811103,-0.28048408,-2.5533185,-1.0506167,,-6.1239443,-1.609438,-8.539738,,-6.1239443,10.449778,1.8064623,1.0,0.0,-8.588356465407616,-7.87862697176168,0.61573434
69,Mali,432.0,2.6054862,2.1539526,1.2750595,2.1150913,1.1999024,1.9081669,1.4669616,1.9885404,0.034514163,-2.1513429,-2.1513429,0.4382549,-7.318274,1.5496243,1.5496243,6.890583,-0.19639657,2.0,1.0,-12.891584648730245,-9.850689115233765,0.22319366
70,Senegal,433.0,1.4801,0.99282676,0.88805825,1.0778111,0.35363427,1.2226642,0.18279423,1.0816478,-0.8342101,-0.5210771,-0.5210771,-0.43078294,-8.55948,1.36505,1.36505,7.3765926,-0.1416683,3.0,1.0,-13.102667477334233,-9.11716871109566,0.16573434
71,Benin,434.0,,,,,,,,,0.6214594,-2.338666,-2.338666,0.31845373,-7.683073,1.1231784,1.1231784,7.1811185,-0.287544,2.0,1.0,-13.778883059229722,-9.785349798394428,0.236014
72,Mauritania,435.0,0.6256768,0.39082626,0.7563272,0.6505945,0.075084865,0.5460894,-0.31788602,0.46019378,-0.02821064,,-7.9496803,-0.47000363,-8.664431,1.571977,1.571977,7.4423423,-0.4957278,4.3333335,1.0,-12.206223298138143,-10.072367051982202,0.21655
73,Niger,436.0,1.1236337,1.3146315,0.43663523,0.3743582,-0.1659074,0.77282983,-0.23760998,0.37428477,0.40069032,,-6.479843,0.0,-8.106846,0.6972745,0.6972745,6.3773437,-0.5843137,3.0,1.0,-10.907772220186033,-10.083368736735467,0.25815865
74,Ivory Coast,437.0,3.0269578,0.91843104,0.22856136,1.4072618,0.29788437,1.8965297,-0.3241366,2.0344727,-0.29473433,0.6916448,0.6916448,1.8405497,-5.859301,0.40283498,0.40283498,7.350394,-1.3950963,6.0,1.0,-7.628701246907429,-8.838707308822974,0.32610732
75,Guinea,438.0,1.2321029,1.6575919,0.9221244,1.0802405,0.7969098,1.3652527,0.99830186,0.8774428,0.92364943,-2.4554665,-2.4554665,0.50077534,-7.2101655,1.5416559,1.5416559,6.856695,-1.1754316,5.0,1.0,-10.038021638224528,-9.535601264802217,0.17342667
76,Burkina Faso,439.0,1.8535792,1.7544806,0.8648462,1.5280185,1.1190768,1.794408,0.9046265,1.5368698,0.0646455,,-7.0631347,0.6931472,-6.73941,0.36823466,0.36823466,6.944436,-0.34984323,3.3333333,1.0,-14.739966714605222,-10.520231129644209,0.238345
77,Liberia,450.0,1.9625049,1.130316,0.41156596,0.5683207,-0.05177373,0.2704918,-0.047501843,0.8144809,0.44475526,-1.2547475,-1.2547475,1.0818051,-6.6370535,3.3184953,3.3184953,5.782969,-1.1966772,4.0,1.0,-9.765823704520098,-9.501041742638167,0.312471
78,Sierra Leone,451.0,2.4355066,1.538685,1.4578307,2.0543694,1.1467029,1.4893031,1.1698734,2.5656688,0.567087,-3.9320674,-3.9320674,0.11778303,-8.359377,1.5881261,1.5881261,6.4836426,-0.8680611,3.0,1.0,-11.815794145467072,-9.906140273506246,0.240676
79,Ghana,452.0,2.354199,1.4679148,1.479207,2.0843134,0.6190147,1.5692933,0.768252,2.282663,1.0256866,-1.113303,-1.113303,0.7997569,-7.0821776,1.1873909,1.1873909,7.0863223,-0.03471164,2.0,1.0,-9.220976054258088,-7.875079798208314,0.236014
80,Togo,461.0,1.8768674,1.7498983,0.43271628,2.5776885,1.396224,2.043686,1.239785,1.9965539,-1.4089631,,-5.9155145,1.2739651,-6.709699,-0.74089074,-0.74089074,6.6578054,-1.0769253,5.0,1.0,-13.742017892630829,-10.444639226616955,0.16573434
81,Cameroon,471.0,1.6194099,1.7205284,0.4589916,1.3655485,0.37661213,1.8828148,0.37772936,1.342177,-0.33395782,,-7.9033923,1.704748,-6.2573647,-0.18429656,-0.18429656,7.5815353,-0.8626106,6.0,1.0,-8.4696727522672,-9.009480755375318,0.372261
82,Nigeria,475.0,2.1171687,1.519786,1.7519277,1.8078055,0.9833047,1.8135638,1.071549,2.0630727,-0.5832672,-0.20372713,-0.20372713,1.3350011,-6.4126873,0.86725557,0.86725557,7.462577,-1.1508528,4.0,1.0,-4.5048144414916536,-6.261724506116626,0.232168
83,Central African Republic,482.0,3.1015677,1.72803,0.21370436,0.98472136,0.63590914,1.310971,-0.067601606,1.550912,1.1788545,,-5.921213,2.154665,-5.5486827,1.4091834,1.4091834,6.4940705,-1.3519801,4.3333335,1.0,-12.030318867876423,-10.208921188853173,0.28531468
84,Chad,483.0,1.3640069,0.8833338,-0.04698624,0.5255818,0.17761584,0.59414846,0.032698873,0.68782157,-0.8902785,,-8.001011,1.1709329,-6.845208,1.5765816,1.5765816,7.1515775,-1.3304721,5.3333335,1.0,-7.572233902866444,-9.886437597348758,0.450233
85,Congo Brazzaville,484.0,2.1479456,1.6086767,1.2591956,2.0992343,0.8787849,1.5285355,0.9137714,2.1972246,-0.7245376,-4.06964,-4.06964,1.3350011,-6.295652,1.1232852,1.1232852,8.155803,-1.1326466,4.6666665,1.0,-7.446499572544544,-9.425163040662268,0.22400934
86,Congo Kinshasa,490.0,2.260298,1.3343992,1.4383254,0.85651636,-0.04333686,0.8443876,0.11645754,1.2866317,0.16891937,-2.0936582,-2.0936582,,,1.889805,1.889805,5.579579,-1.6581191,6.0,1.0,-9.378418978747645,-9.408126348937438,0.36561766
87,Uganda,500.0,2.0738275,0.6071637,0.94666463,1.2630692,0.46857873,1.0381107,0.54381555,2.069829,0.24080953,1.5580639,1.5580639,1.9351381,-5.6718764,2.069846,2.069846,6.8182287,-0.62158304,4.0,1.0,-10.947398718598363,-9.461671131608913,0.38275033
88,Kenya,501.0,2.0364306,0.8689659,0.9743404,1.1857648,0.09720579,1.23037,0.2537625,1.7678194,-0.23483491,1.4178125,1.4178125,2.104134,-5.5669727,1.6811208,1.6811208,7.2011514,-0.6477995,3.0,1.0,-8.336314437531657,-7.759684741176589,0.32447568
89,Tanzania,510.0,1.65511,0.96615773,1.0133877,1.2581975,0.4154835,1.0490617,0.6384467,1.6434542,0.6383343,0.97215956,0.97215956,1.9387417,-5.732671,0.9561512,0.9561512,6.9687495,-0.41184613,3.0,1.0,-11.014675890166652,-8.761263079906254,0.30396268
90,Burundi,516.0,1.7179124,1.4536275,1.3480138,1.1805018,1.1254369,1.3860157,0.9770288,1.4711103,0.69163793,-2.3475533,-2.3475533,1.5789787,-6.135662,1.8795046,1.8795046,5.84308,-1.2352057,5.0,1.0,-13.019664314426487,-10.756131629146772,0.38275033
91,Rwanda,517.0,2.638809,1.3831491,0.38014477,1.4899522,1.4267385,1.4257326,1.1074642,1.8566294,2.8402922,1.8288121,1.8288121,1.2878543,-6.3247175,1.9227971,1.9227971,6.67962,-0.7890105,5.0,1.0,-12.512209268872441,-11.194680526456455,0.400233
92,Djibouti,522.0,1.3010101,0.48561856,1.2368547,0.60260034,-0.19799538,0.75067705,0.0131903505,0.58176917,0.67914677,-1.1910635,-1.1910635,1.0560527,-6.887125,2.29181,2.29181,7.5271955,-0.72420496,5.0,1.0,-14.200824880831327,-9.834310139330453,0.17855467
93,Ethiopia,530.0,,,,,,,,,-0.54084665,0.128595,0.128595,,,1.8346522,1.8346522,6.4492207,-0.98988456,5.0,1.0,-10.482937240547296,-7.897881057783443,0.27016333
94,Angola,540.0,1.210368,1.6706452,1.5895523,1.566767,1.0671471,1.4014884,1.1801314,1.1763153,0.6469419,-1.0624994,-1.0624994,0.64185387,-7.2562532,1.5147618,1.5147618,8.194137,-1.2090992,5.0,1.0,-5.784045805275641,-7.223809187810154,0.30116534
95,Mozambique,541.0,1.3827256,1.6195285,1.8995492,1.7194506,1.1905171,1.8494331,1.3776138,1.5722795,0.34522998,1.1228951,1.1228951,2.2695453,-6.0078897,1.5820206,1.5820206,6.50574,-0.35697946,4.0,1.0,-11.823595031078092,-9.273871199233009,0.22319366
96,Zambia,551.0,1.3475225,0.74011064,0.9126728,0.9520234,0.31145895,0.8995537,0.47693467,1.3729578,-0.11189908,2.3263454,2.3263454,2.6567569,-5.064675,2.8725019,2.8725019,7.0310097,-0.4882008,4.0,1.0,-10.720349045976992,-10.337173224588842,0.210373
97,Zimbabwe,552.0,1.3971759,0.34371123,1.0785543,0.99488443,0.55499107,0.9400979,0.46233934,1.2840575,-0.845578,0.46071303,0.46071303,3.1365805,-4.5279217,1.0636458,1.0636458,,-1.5017285,6.0,1.0,-9.867757569927313,-9.754065020461546,0.14906767
