wave,duration,country,device,sex,age,agerecode,vaccine,south_korea_score,china_score,usa_score,japan_score,ideology,education,region_ar,region_br,region_co,region_cl,region_mx,region_pe,delta_china,delta_usa,income,region_code,country_name,respondent_code,news_experiment,both_waves,excluded
2021,935,6,1,1,51,5,1,80,75,90,90,4,9,,,,,,15,15,50,3,15,Peru,19,1,1,0
2020,331,6,3,1,24,2,0,80,80,70,100,7,8,,,,,,7,,,2,7,Peru,20,1,0,1
2020,249,2,1,1,45,4,0,100,50,80,100,0,5,,2820,,,,,,,3,2820,Brazil,21,0,0,1
2020,228,1,3,0,38,4,0,,10,10,,8,7,1,,,,,,,,2,1,Argentina,22,1,1,0
2021,247,1,1,0,39,4,0,20,0,70,70,10,7,1,,,,,,-10,60,1,1,Argentina,22,1,1,0
2020,291,1,1,1,54,5,0,50,80,80,60,5,9,8,,,,,,,,1,8,Argentina,23,0,0,1
2020,507,6,1,1,53,5,0,25,25,10,30,5,7,,,,,,13,,,3,13,Peru,24,1,1,0
2021,265,6,3,1,54,5,1,90,90,100,100,5,7,,,,,,13,65,90,2,13,Peru,24,0,1,0
2020,223,5,1,0,24,2,0,60,80,70,100,5,7,,,,,33,,,,3,33,Mexico,25,1,1,0
2021,209,5,3,0,25,2,0,,10,70,,5,8,,,,,33,,,0,2,33,Mexico,25,1,1,0
2020,396,6,1,0,25,2,0,70,50,40,70,5,9,,,,,,21,,,3,21,Peru,26,0,1,0
2021,523,6,1,0,25,2,0,60,50,40,70,5,9,,,,,,21,0,0,2,21,Peru,26,0,1,0
2020,266,6,3,0,25,2,0,30,30,30,30,5,9,,,,,,13,,,2,13,Peru,27,1,0,1
2020,331,1,3,1,20,2,0,,50,50,50,5,8,17,,,,,,,,2,17,Argentina,28,1,1,0
2021,493,1,3,1,21,2,0,70,70,70,80,5,5,17,,,,,,20,20,3,17,Argentina,28,0,1,0
2020,165,1,3,0,31,3,0,100,50,70,70,3,6,2,,,,,,,,3,2,Argentina,29,0,1,0
2021,210,1,3,0,32,3,1,100,70,50,80,4,8,2,,,,,,20,-20,4,2,Argentina,29,0,1,0
2020,325,1,3,1,37,4,0,,100,0,10,3,8,3,,,,,,,,3,3,Argentina,30,1,0,1
2020,852,3,3,1,36,4,0,90,50,40,80,3,10,,,14,,,,,,2,14,Colombia,31,1,1,0
2021,225,3,1,1,37,4,1,100,70,50,90,3,10,,,14,,,,20,10,1,14,Colombia,31,0,1,0
2020,293,3,3,1,37,4,0,94,75,65,95,3,7,,,1,,,,,,3,1,Colombia,32,1,1,0
2021,308,3,3,1,38,4,0,92,67,70,99,5,8,,,1,,,,-8,5,2,1,Colombia,32,1,1,0
2020,226,4,2,1,70,7,0,60,50,30,60,4,8,,,,13,,,,,2,13,Chile,33,0,1,0
2021,325,4,2,1,71,7,1,80,70,70,80,4,8,,,,13,,,20,40,1,13,Chile,33,0,1,0
2020,195,4,3,0,33,3,0,10,45,70,50,9,9,,,,13,,,,,3,13,Chile,34,1,0,1
2020,411,1,3,1,36,4,0,50,50,60,50,10,5,3,,,,,,,,3,3,Argentina,35,1,0,1
2020,572,2,1,1,30,3,0,90,10,80,90,9,9,,2841,,,,,,,4,2841,Brazil,36,1,1,0
2021,293,2,1,1,31,3,1,80,40,90,90,8,9,,2841,,,,,30,10,3,2841,Brazil,36,1,1,0
2020,189,4,3,1,48,5,0,,10,90,50,5,7,,,,5,,,,,2,5,Chile,37,1,0,1
2020,2483,4,3,0,32,3,0,,10,90,,5,5,,,,13,,,,,2,13,Chile,38,1,1,0
2021,484,4,3,0,32,3,1,30,50,50,40,5,5,,,,13,,,,,3,13,Chile,38,1,1,0
2020,239,5,2,1,59,6,0,80,68,85,95,4,9,,,,,33,,,,1,33,Mexico,39,0,1,0
2021,265,5,3,1,60,6,1,80,75,85,80,6,9,,,,,33,,7,0,3,33,Mexico,39,1,1,0
2020,228,2,3,0,50,5,0,50,70,50,50,10,7,,2841,,,,,,,2,2841,Brazil,40,1,0,1
2020,1326,4,3,1,28,3,0,40,30,50,60,2,8,,,,8,,,,,2,8,Chile,41,0,1,0
2021,570,4,3,1,29,3,0,,10,60,60,5,7,,,,8,,,,10,3,8,Chile,41,0,1,0
2020,307,1,3,1,29,3,0,80,32,47,89,8,4,2,,,,,,,,3,2,Argentina,42,0,1,0
2021,217,1,1,1,29,3,0,90,35,65,89,7,4,2,,,,,,3,18,3,2,Argentina,42,1,1,0
2020,330,5,1,0,27,3,0,50,55,90,90,5,8,,,,,40,,,,2,40,Mexico,43,0,1,0
2021,443,5,1,0,29,3,1,,80,80,90,5,8,,,,,40,,25,-10,2,40,Mexico,43,1,1,0
2020,241,6,3,1,39,4,0,50,70,30,50,8,9,,,,,,15,,,2,15,Peru,44,1,1,0
2021,225,6,3,1,40,4,0,80,60,50,90,8,9,,,,,,15,-10,20,4,15,Peru,44,1,1,0
2020,1077,5,1,1,50,5,0,70,70,70,70,7,8,,,,,40,,,,2,40,Mexico,45,1,0,1
2020,355,3,1,0,65,6,0,30,70,70,50,10,10,,,5,,,,,,3,5,Colombia,46,0,1,0
2021,761,3,1,0,66,7,1,,50,70,,8,10,,,5,,,,-20,0,1,5,Colombia,46,0,1,0
2020,325,3,3,0,45,4,0,60,80,30,80,8,7,,,1,,,,,,2,1,Colombia,47,1,0,1
2020,514,3,3,1,54,5,0,90,60,90,90,5,8,,,3,,,,,,2,3,Colombia,48,1,0,1
2020,155,6,1,1,32,3,0,13,10,10,21,5,8,,,,,,15,,,1,15,Peru,49,1,0,1
2020,309,3,1,0,23,2,0,0,0,50,0,4,5,,,4,,,,,,2,4,Colombia,50,1,1,0
2021,1762,3,3,0,24,2,1,100,100,50,20,5,9,,,4,,,,100,0,3,4,Colombia,50,1,1,0
2020,511,4,1,0,51,5,0,90,90,0,80,1,9,,,,14,,,,,2,14,Chile,51,1,0,1
2020,274,2,3,0,28,3,0,40,20,70,60,5,10,,2818,,,,,,,3,2818,Brazil,52,0,0,1
2020,692,1,3,1,23,2,0,89,89,89,95,7,8,4,,,,,,,,3,4,Argentina,53,0,0,1
2020,392,1,1,1,53,5,0,80,40,70,90,3,5,3,,,,,,,,2,3,Argentina,54,1,1,0
2021,643,1,1,1,54,5,0,60,30,70,60,10,5,3,,,,,,-10,0,2,3,Argentina,54,1,1,0
2020,242,4,1,1,70,7,0,90,80,100,100,6,9,,,,13,,,,,2,13,Chile,55,0,0,1
2020,606,4,1,1,28,3,0,,30,90,70,3,8,,,,8,,,,,3,8,Chile,56,1,1,0
2021,499,4,1,1,29,3,1,90,11,20,49,4,8,,,,8,,,-19,,2,8,Chile,56,1,1,0
2020,720,5,1,1,71,7,0,50,50,20,80,8,8,,,,,45,,,,3,45,Mexico,57,1,0,1
2020,325,5,3,0,29,3,0,50,40,39,50,5,5,,,,,36,,,,3,36,Mexico,58,1,1,0
2021,476,5,3,0,30,3,1,80,99,80,90,0,5,,,,,36,,59,41,2,36,Mexico,58,1,1,0
2020,698,5,2,1,67,7,0,75,80,60,80,7,9,,,,,42,,,,2,42,Mexico,59,0,1,0
2021,826,5,3,1,68,7,0,70,80,80,80,7,9,,,,,42,,0,20,2,42,Mexico,59,1,1,0
2020,243,6,3,1,26,3,0,95,40,25,80,5,5,,,,,,15,,,1,15,Peru,60,0,0,1
2020,176,6,1,1,44,4,0,50,100,10,50,4,10,,,,,,20,,,2,20,Peru,61,0,1,0
2021,291,6,1,1,45,4,0,50,60,0,50,5,10,,,,,,20,-40,-10,3,20,Peru,61,1,1,0
2020,187,6,3,0,26,3,0,90,50,70,70,5,8,,,,,,15,,,2,15,Peru,62,0,1,0
2021,587,6,3,0,27,3,1,100,70,70,80,5,8,,,,,,15,20,0,3,15,Peru,62,1,1,0
2020,266,1,3,0,35,3,0,,10,70,,10,5,4,,,,,,,,2,4,Argentina,63,0,1,0
2021,471,1,3,0,35,3,1,,50,90,50,5,5,4,,,,,,,,3,4,Argentina,63,1,1,0
2020,258,5,3,0,27,3,0,70,60,50,70,5,7,,,,,28,,,,2,28,Mexico,64,1,1,0
2021,1122,5,3,0,27,3,0,50,50,30,50,5,7,,,,,28,,-10,-20,2,28,Mexico,64,1,1,0
2020,486,1,1,0,32,3,0,50,50,50,,4,8,18,,,,,,,,1,18,Argentina,65,1,1,0
2021,649,1,1,0,33,3,0,,10,90,,5,8,18,,,,,,,,3,18,Argentina,65,1,1,0
2020,205,1,1,1,19,2,0,,60,20,60,8,8,2,,,,,,,,4,2,Argentina,66,1,0,1
2020,278,6,3,1,38,4,0,50,50,30,100,7,9,,,,,,15,,,2,15,Peru,67,1,1,0
2021,1990,6,3,1,39,4,0,50,50,80,90,10,9,,,,,,15,0,50,1,15,Peru,67,1,1,0
2020,282,5,3,1,61,6,0,80,70,50,80,0,7,,,,,34,,,,3,34,Mexico,68,0,1,0
2021,317,5,3,1,62,6,0,8,6,5,7,5,7,,,,,34,,-64,-45,3,34,Mexico,68,1,1,0
2020,311,6,3,0,23,2,0,,10,60,70,6,8,,,,,,15,,,1,15,Peru,69,1,0,1
2020,215,4,1,0,59,6,0,70,50,40,70,5,9,,,,8,,,,,2,8,Chile,70,1,1,0
2021,362,4,1,0,60,6,1,70,70,70,,5,9,,,,8,,,20,30,2,8,Chile,70,0,1,0
2020,207,6,1,0,28,3,0,,70,50,60,5,7,,,,,,20,,,3,20,Peru,71,0,0,1
2020,267,2,3,0,37,4,0,,80,80,90,8,5,,2826,,,,,,,3,2826,Brazil,72,1,1,0
2021,400,2,3,0,38,4,0,,99,90,,5,7,,2826,,,,,19,,3,2826,Brazil,72,1,1,0
2020,205,4,3,1,40,4,0,80,90,0,100,4,8,,,,14,,,,,3,14,Chile,73,1,1,0
2021,458,4,3,1,41,4,1,90,80,10,100,5,8,,,,14,,,-10,10,2,14,Chile,73,1,1,0
2020,674,1,3,1,49,5,0,50,0,15,69,10,7,2,,,,,,,,2,2,Argentina,74,1,0,1
2020,214,4,1,0,21,2,0,85,70,55,50,2,7,,,,6,,,,,3,6,Chile,75,1,0,1
2020,673,4,3,0,48,5,0,50,80,20,80,5,8,,,,13,,,,,4,13,Chile,76,1,1,0
2021,639,4,3,0,49,5,0,0,50,0,20,5,8,,,,13,,,-30,-20,4,13,Chile,76,1,1,0
2020,188,5,3,0,23,2,0,50,100,0,80,3,7,,,,,38,,,,3,38,Mexico,77,1,0,1
2020,166,5,3,0,30,3,0,50,50,30,50,5,8,,,,,28,,,,3,28,Mexico,78,1,0,1
2020,383,3,3,1,46,5,0,40,10,10,50,3,10,,,13,,,,,,1,13,Colombia,79,1,1,0
2021,296,3,1,1,47,5,0,50,70,10,80,4,10,,,13,,,,60,0,1,13,Colombia,79,1,1,0
2020,228,1,3,0,34,3,0,,70,90,70,5,5,2,,,,,,,,2,2,Argentina,80,1,1,0
2021,344,1,3,0,35,3,1,,80,90,,5,5,2,,,,,,10,,3,2,Argentina,80,1,1,0
2020,283,6,3,0,26,3,0,70,70,30,70,5,8,,,,,,18,,,3,18,Peru,81,1,0,1
2020,279,6,3,0,53,5,0,50,0,0,30,8,10,,,,,,4,,,2,4,Peru,82,1,1,0
2021,617,6,3,0,53,5,0,20,80,60,90,8,10,,,,,,4,80,60,1,4,Peru,82,1,1,0
2020,359,2,3,1,53,5,0,90,10,70,70,1,8,,2841,,,,,,,2,2841,Brazil,83,1,1,0
2021,376,2,3,1,54,5,0,0,10,100,50,10,8,,2841,,,,,,30,2,2841,Brazil,83,1,1,0
2020,320,1,3,1,68,7,0,70,60,50,80,5,10,1,,,,,,,,2,1,Argentina,84,1,1,0
2021,428,1,1,1,69,7,0,,40,60,90,6,9,1,,,,,,-20,10,2,1,Argentina,84,0,1,0
2020,393,6,1,0,37,4,0,30,30,30,30,5,7,,,,,,15,,,2,15,Peru,85,1,1,0
2021,374,6,1,0,38,4,1,30,30,70,30,5,7,,,,,,15,0,40,2,15,Peru,85,1,1,0
2020,208,2,1,0,21,2,0,80,50,60,80,3,8,,2841,,,,,,,2,2841,Brazil,86,1,0,1
2020,137,2,3,0,35,3,0,80,80,90,90,5,9,,2834,,,,,,,2,2834,Brazil,87,1,1,0
2021,302,2,3,0,36,4,0,60,60,80,70,5,10,,2839,,,,,-20,-10,2,2839,Brazil,87,1,1,0
2020,772,5,3,0,23,2,0,80,40,50,80,5,9,,,,,33,,,,2,33,Mexico,88,0,1,0
2021,465,5,3,0,24,2,0,,65,50,50,5,9,,,,,33,,25,0,3,33,Mexico,88,1,1,0
2020,239,6,1,0,54,5,0,10,10,50,50,5,9,,,,,,15,,,2,15,Peru,89,1,1,0
2021,522,6,1,0,55,5,1,10,10,25,30,10,9,,,,,,15,0,-25,3,15,Peru,89,1,1,0
2020,303,1,1,1,41,4,0,10,80,100,20,5,9,5,,,,,,,,2,5,Argentina,90,1,0,1
2020,519,6,3,0,31,3,0,70,70,60,80,4,6,,,,,,15,,,2,15,Peru,91,1,1,0
2021,254,6,1,0,32,3,0,10,40,20,50,2,7,,,,,,15,-30,-40,4,15,Peru,91,1,1,0
2020,204,1,1,0,38,4,0,60,60,20,60,1,7,1,,,,,,,,2,1,Argentina,92,0,0,1
2020,175,3,3,1,34,3,0,50,70,60,70,5,9,,,1,,,,,,2,1,Colombia,93,0,1,0
2021,350,3,3,1,35,3,0,70,70,50,70,5,9,,,1,,,,0,-10,3,1,Colombia,93,1,1,0
2020,359,5,1,1,72,7,0,75,95,100,75,3,9,,,,,34,,,,1,34,Mexico,94,1,1,0
2021,935,5,3,1,73,7,0,90,50,90,90,5,9,,,,,34,,-45,-10,1,34,Mexico,94,1,1,0
2020,216,1,1,1,47,5,0,60,40,40,60,6,9,8,,,,,,,,2,8,Argentina,95,1,1,0
2021,243,1,1,1,48,5,0,,30,50,20,6,9,8,,,,,,-10,10,1,8,Argentina,95,1,1,0
2020,330,5,1,0,31,3,0,90,80,30,90,0,9,,,,,44,,,,2,44,Mexico,96,1,0,1
2020,636,6,3,1,55,5,0,50,45,40,55,5,9,,,,,,15,,,3,15,Peru,97,1,1,0
2021,583,6,3,1,55,5,0,49,50,51,51,5,10,,,,,,15,5,11,3,15,Peru,97,0,1,0
2020,200,1,1,1,35,3,0,80,50,60,70,8,9,2,,,,,,,,1,2,Argentina,98,0,1,0
2021,263,1,1,1,36,4,1,70,50,70,80,8,9,2,,,,,,0,10,1,2,Argentina,98,0,1,0
2020,238,1,3,0,50,5,0,,10,90,,6,5,2,,,,,,,,4,2,Argentina,99,1,0,1
2020,2528,3,1,1,49,5,0,69,78,80,80,5,7,,,17,,,,,,3,17,Colombia,100,0,1,0
2021,518,3,1,1,50,5,0,,10,90,,5,7,,,17,,,,,,3,17,Colombia,100,1,1,0
2020,176,5,3,0,38,4,0,50,50,40,50,5,9,,,,,45,,,,2,45,Mexico,101,1,0,1
2020,242,5,3,0,43,4,0,50,30,40,70,5,9,,,,,34,,,,4,34,Mexico,102,0,1,0
2021,381,5,3,0,44,4,0,80,90,80,90,5,8,,,,,34,,60,40,3,34,Mexico,102,1,1,0
2020,281,4,1,1,49,5,0,,90,90,80,5,7,,,,13,,,,,3,13,Chile,103,1,0,1
2020,469,6,1,1,55,5,0,80,60,40,80,5,9,,,,,,15,,,1,15,Peru,104,1,1,0
2021,249,6,1,1,56,6,0,70,80,40,90,5,9,,,,,,15,20,0,1,15,Peru,104,1,1,0
2020,278,1,3,1,20,2,0,,10,90,,0,1,5,,,,,,,,3,5,Argentina,105,1,0,1
2020,472,2,3,1,46,5,0,30,70,70,100,0,8,,2838,,,,,,,3,2838,Brazil,106,0,0,1
2020,280,1,3,1,52,5,0,90,90,80,90,5,5,2,,,,,,,,2,2,Argentina,107,0,0,1
2020,263,2,3,0,33,3,0,80,80,80,90,5,10,,2838,,,,,,,3,2838,Brazil,108,1,0,1
2020,415,4,3,1,47,5,0,30,20,30,30,9,7,,,,15,,,,,3,15,Chile,109,1,0,1
2020,1482,3,1,0,35,3,0,70,60,80,100,10,10,,,2,,,,,,2,2,Colombia,110,1,1,0
2021,354,3,1,0,35,3,0,10,10,30,30,10,7,,,2,,,,-50,-50,1,2,Colombia,110,0,1,0
2020,295,5,1,1,43,4,0,45,89,100,50,5,9,,,,,49,,,,1,49,Mexico,111,0,1,0
2021,530,5,3,1,44,4,0,70,70,70,60,5,9,,,,,49,,-19,-30,2,49,Mexico,111,0,1,0
2020,146,3,1,0,32,3,0,50,60,80,80,6,10,,,2,,,,,,1,2,Colombia,112,1,1,0
2021,146,3,3,0,33,3,0,7,79,67,78,6,10,,,2,,,,19,-13,3,2,Colombia,112,1,1,0
2020,379,5,3,0,28,3,0,,10,0,,1,4,,,,,34,,,,4,34,Mexico,113,1,1,0
2021,469,5,3,0,29,3,0,,10,2,,5,4,,,,,34,,,2,3,34,Mexico,113,0,1,0
2020,314,3,3,0,44,4,0,,10,100,,0,9,,,4,,,,,,3,4,Colombia,114,1,0,1
2020,529,6,3,0,58,6,0,45,50,30,70,5,9,,,,,,13,,,3,13,Peru,115,1,0,1
2020,254,5,1,1,69,7,0,80,30,50,80,8,9,,,,,41,,,,2,41,Mexico,116,1,1,0
2021,312,5,1,1,69,7,0,70,40,50,60,6,9,,,,,41,,10,0,2,41,Mexico,116,1,1,0
2020,239,3,1,1,47,5,0,50,70,70,70,9,5,,,10,,,,,,2,10,Colombia,117,1,0,1
2020,193,4,3,0,46,5,0,70,50,40,70,3,10,,,,13,,,,,2,13,Chile,118,0,1,0
2021,335,4,3,0,47,5,0,10,70,20,50,2,10,,,,13,,,20,-20,2,13,Chile,118,1,1,0
2020,253,5,1,0,45,4,0,80,80,70,90,8,10,,,,,41,,,,3,41,Mexico,119,0,0,1
2020,199,1,3,0,32,3,0,60,50,0,80,8,5,4,,,,,,,,2,4,Argentina,120,0,1,0
2021,447,1,3,0,33,3,0,40,40,20,80,8,5,4,,,,,,-10,20,4,4,Argentina,120,1,1,0
2020,603,4,3,1,49,5,0,60,70,100,90,10,9,,,,10,,,,,2,10,Chile,121,0,0,1
2020,351,4,3,1,26,3,0,1,10,20,10,5,3,,,,7,,,,,4,7,Chile,122,1,0,1
2020,925,6,1,0,53,5,0,90,100,100,90,7,10,,,,,,15,,,2,15,Peru,123,1,0,1
2020,205,3,1,1,41,4,0,10,80,20,90,5,10,,,1,,,,,,1,1,Colombia,124,1,1,0
2021,197,3,3,1,42,4,0,60,50,70,50,5,9,,,1,,,,-30,50,1,1,Colombia,124,1,1,0
2020,616,6,3,1,29,3,0,80,20,70,50,10,8,,,,,,15,,,2,15,Peru,125,1,1,0
2021,441,6,3,1,30,3,1,50,80,80,60,10,7,,,,,,15,60,10,1,15,Peru,125,1,1,0
2020,472,3,3,1,65,6,0,20,40,10,30,5,10,,,1,,,,,,2,1,Colombia,126,1,1,0
2021,488,3,1,1,66,7,0,,70,90,,5,9,,,1,,,,30,,2,1,Colombia,126,0,1,0
2020,368,3,3,0,35,3,0,40,50,50,70,5,5,,,1,,,,,,2,1,Colombia,127,1,1,0
2021,438,3,3,0,35,3,0,,50,50,70,5,6,,,1,,,,0,0,2,1,Colombia,127,0,1,0
2020,1597,3,3,0,29,3,0,100,70,50,100,5,7,,,2,,,,,,2,2,Colombia,128,0,1,0
2021,283,3,3,0,30,3,0,100,70,50,100,5,7,,,2,,,,0,0,3,2,Colombia,128,0,1,0
2020,265,3,1,0,32,3,0,80,50,90,90,4,10,,,1,,,,,,2,1,Colombia,129,1,0,1
2020,168,4,3,1,47,5,0,,10,90,100,0,9,,,,10,,,,,1,10,Chile,130,1,1,0
2021,174,4,1,1,48,5,1,50,80,80,100,2,9,,,,10,,,,,2,10,Chile,130,0,1,0
2020,327,1,3,0,29,3,0,,10,30,100,5,5,3,,,,,,,,2,3,Argentina,131,0,1,0
2021,1256,1,3,0,30,3,0,90,60,50,80,6,5,3,,,,,,,20,3,3,Argentina,131,1,1,0
2020,159,5,1,1,67,7,0,55,40,70,65,3,9,,,,,36,,,,2,36,Mexico,132,1,1,0
2021,225,5,3,1,68,7,0,85,70,80,90,3,7,,,,,36,,30,10,1,36,Mexico,132,0,1,0
2020,266,3,3,1,39,4,0,60,0,100,50,10,9,,,1,,,,,,1,1,Colombia,133,0,1,0
2021,341,3,1,1,40,4,1,80,10,80,80,9,9,,,1,,,,10,-20,1,1,Colombia,133,1,1,0
2020,410,3,3,0,71,7,0,,10,60,70,10,5,,,17,,,,,,2,17,Colombia,134,1,1,0
2021,492,3,3,0,72,7,1,,10,80,,7,4,,,1,,,,,20,2,1,Colombia,134,1,1,0
2020,669,6,3,0,34,3,0,50,40,40,80,5,7,,,,,,15,,,2,15,Peru,135,1,0,1
2020,318,1,1,1,56,6,0,,50,50,70,5,7,2,,,,,,,,2,2,Argentina,136,1,1,0
2021,379,1,3,1,57,6,1,40,50,50,7,5,7,2,,,,,,0,0,2,2,Argentina,136,1,1,0
2020,650,6,3,0,68,7,0,,10,80,80,10,7,,,,,,15,,,2,15,Peru,137,0,1,0
2021,646,6,3,0,69,7,0,,10,40,,10,8,,,,,,15,,-40,2,15,Peru,137,1,1,0
2020,444,1,3,0,33,3,0,50,50,70,100,7,9,17,,,,,,,,2,17,Argentina,138,1,0,1
2020,1044,5,1,1,47,5,0,40,30,70,60,6,9,,,,,27,,,,2,27,Mexico,139,1,0,1
2020,272,4,1,0,29,3,0,50,40,20,80,5,9,,,,9,,,,,3,9,Chile,140,1,1,0
2021,627,4,3,0,30,3,1,50,70,40,60,5,9,,,,9,,,30,20,2,9,Chile,140,0,1,0
2020,292,4,1,1,54,5,0,70,55,40,60,5,9,,,,8,,,,,2,8,Chile,141,1,1,0
2021,313,4,1,1,55,5,1,60,60,50,50,5,9,,,,8,,,5,10,2,8,Chile,141,0,1,0
2020,889,5,3,0,28,3,0,55,60,85,60,6,8,,,,,29,,,,3,29,Mexico,142,1,0,1
2020,228,5,1,1,49,5,0,50,10,30,70,6,9,,,,,28,,,,4,28,Mexico,143,1,1,0
2021,507,5,1,1,50,5,0,0,20,70,100,8,9,,,,,28,,10,40,2,28,Mexico,143,1,1,0
2020,560,6,1,1,39,4,0,85,50,60,85,5,9,,,,,,15,,,2,15,Peru,144,0,1,0
2021,359,6,1,1,39,4,0,99,30,70,99,5,9,,,,,,15,-20,10,1,15,Peru,144,1,1,0
2020,160,4,3,0,28,3,0,80,80,50,50,3,9,,,,5,,,,,2,5,Chile,145,1,0,1
2020,591,6,1,0,43,4,0,,70,60,,5,7,,,,,,7,,,3,7,Peru,146,1,0,1
2020,261,5,1,0,53,5,0,0,0,60,0,5,8,,,,,30,,,,3,30,Mexico,147,0,1,0
2021,267,5,3,0,54,5,0,30,30,70,30,5,8,,,,,30,,30,10,3,30,Mexico,147,0,1,0
2020,2008,2,1,1,47,5,0,,10,70,10,7,5,,2841,,,,,,,3,2841,Brazil,148,0,1,0
2021,887,2,1,1,48,5,0,,80,90,,6,5,,2841,,,,,,,2,2841,Brazil,148,1,1,0
2020,257,4,1,1,50,5,0,80,90,70,100,10,8,,,,13,,,,,2,13,Chile,149,1,1,0
2021,256,4,1,1,51,5,1,,70,60,100,8,8,,,,13,,,-20,-10,1,13,Chile,149,1,1,0
2020,354,1,3,1,28,3,0,0,0,50,75,5,6,2,,,,,,,,3,2,Argentina,150,0,0,1
2020,302,6,1,1,45,4,0,50,30,0,20,3,9,,,,,,8,,,2,8,Peru,151,1,1,0
2021,555,6,1,1,46,5,0,0,30,0,60,2,9,,,,,,8,0,0,1,8,Peru,151,1,1,0
2020,167,2,1,1,33,3,0,70,30,50,70,6,9,,2831,,,,,,,1,2831,Brazil,152,1,0,1
2020,240,2,3,1,53,5,0,50,20,100,80,5,6,,2818,,,,,,,3,2818,Brazil,153,1,0,1
2020,578,5,3,1,72,7,0,100,70,70,80,7,8,,,,,20,,,,1,20,Mexico,154,0,1,0
2021,466,5,3,1,73,7,1,100,90,70,90,6,8,,,,,20,,20,0,2,20,Mexico,154,0,1,0
2020,315,5,3,1,64,6,0,80,80,80,90,7,10,,,,,28,,,,2,28,Mexico,155,0,1,0
2021,387,5,3,1,64,6,0,70,50,70,100,6,9,,,,,28,,-30,-10,3,28,Mexico,155,0,1,0
