"","geoid","geoname","distname","district","State_FIPS","state.y","year.x","general2p","general2palt","minorityprimarymargin","incumbentrunning","incumbentwins","womanwins","party","Dem_2pyShare","Total.x","uniquedist_noyear","uniquedist","pctWhite","pctBlack","RDDBlack","pctLatino","RDDLatino","pctAsian","RDDAsian","uncontestedgen","Upper.x","mmd2keep"
"32","62000US32035","Assembly District 35 (2018), Nevada","35","35",32,"NV",2020,0.47589799240369,0.47589799240369,0.353863381858903,1,0,0,"Republican",0.538961038961039,59370,"NV 0 35","2020 NV 0 35",0.491915108640728,0.078996125989557,1,0.15748694626916,0,0.223597776654876,0,NA,0,NA
"33","62000US32035","Assembly District 35 (2018), Nevada","35","35",32,"NV",2018,0.555138087306813,0.555138087306813,-0.0675394227908361,0,0,1,"Democratic",0.538961038961039,59370,"NV 0 35","2018 NV 0 35",0.491915108640728,0.078996125989557,0,0.15748694626916,0,0.223597776654876,1,NA,0,NA
"34","62000US36035","Assembly District 35 (2018), New York","35","35",36,"NY",2020,0.77992105714776,0.77992105714776,0.306435394670689,1,1,0,"Democratic",0.852903834294628,58465,"NY 0 35","2020 NY 0 35",0.124861027965449,0.184127255623022,1,0.417001624903789,0,0.259043872402292,0,NA,0,NA
"35","62000US36036","Assembly District 36 (2018), New York","36","36",36,"NY",2020,NA,1,0.0257974019637739,1,0,0,"Democratic",0.805152147901368,85175,"NY 0 36","2020 NY 0 36",0.637863222776636,0.0245964191370707,0,0.197417082477253,0,0.120340475491635,1,1,0,NA
"36","62000US36037","Assembly District 37 (2018), New York","37","37",36,"NY",2020,NA,1,-0.110267824563964,1,1,1,"Democratic",0.84092168219592,78475,"NY 0 37","2020 NY 0 37",0.458553679515769,0.0856323669958585,0,0.30920675374323,0,0.130869703727302,1,1,0,NA
"37","62000US36038","Assembly District 38 (2018), New York","38","38",36,"NY",2020,0.727671232876712,0.727671232876712,0.267993456924755,1,0,1,"Democratic",0.784508567424677,77040,"NY 0 38","2020 NY 0 38",0.275441329179647,0.0471832814122534,0,0.465083073727934,0,0.199052440290758,1,NA,0,NA
"38","62000US32042","Assembly District 42 (2018), Nevada","42","42",32,"NV",2018,NA,1,0.211941478845393,0,0,0,"Democratic",0.621445932960262,43460,"NV 0 42","2018 NV 0 42",0.459272894615739,0.124942475839853,1,0.219512195121951,0,0.164749194661758,0,1,0,NA
"39","62000US36046","Assembly District 46 (2018), New York","46","46",36,"NY",2018,0.551019693040858,0.551019693040858,0.00677021107128639,0,0,1,"Democratic",0.537403899136732,86220,"NY 0 46","2018 NY 0 46",0.656112270934818,0.0936557643238228,1,0.136917188587335,0,0.100614706564602,0,NA,0,NA
"40","62000US55048","Assembly District 48 (2018), Wisconsin","48","48",55,"WI",2020,0.797211324355848,0.797211324355848,0.141801166418012,0,0,0,"Democratic",0.797806079762015,44590,"WI 0 48","2020 WI 0 48",0.821372505045974,0.0837631755999103,1,0.0366674142184346,0,0.0356582193316887,0,NA,0,NA
"41","62000US32005","Assembly District 5 (2018), Nevada","5","5",32,"NV",2020,0.457809260539046,0.457809260539046,0.115595737810785,1,0,0,"Republican",0.529217775990348,45975,"NV 0 5","2020 NV 0 5",0.602718868950517,0.0871125611745514,1,0.153670473083197,0,0.115388798259924,0,NA,0,NA
"42","62000US32005","Assembly District 5 (2018), Nevada","5","5",32,"NV",2018,0.441732136176581,0.441732136176581,-0.0525862068965517,1,0,0,"Republican",0.529217775990348,45975,"NV 0 5","2018 NV 0 5",0.602718868950517,0.0871125611745514,1,0.153670473083197,0,0.115388798259924,0,NA,0,NA
"43","62000US36056","Assembly District 56 (2018), New York","56","56",36,"NY",2020,NA,1,0.141602268304887,0,0,1,"Democratic",0.978609136823822,94635,"NY 0 56","2020 NY 0 56",0.153061763618112,0.65467321815396,1,0.151001215195224,0,0.0202884767792043,0,1,0,NA
"44","62000US36061","Assembly District 61 (2018), New York","61","61",36,"NY",2018,NA,1,0.142497753818509,0,0,0,"Democratic",0.679629090202932,79470,"NY 0 61","2018 NY 0 61",0.401220586384799,0.249339373348433,1,0.258084811878696,0,0.0722159305398263,0,1,0,NA
"45","62000US36068","Assembly District 68 (2018), New York","68","68",36,"NY",2020,0.89948959560267,0.89948959560267,NA,1,1,0,"Democratic",0.935612759546735,95305,"NY 0 68","2020 NY 0 68",0.210114894286764,0.306489690992078,NA,0.402497245684906,NA,0.0645296679082944,NA,NA,0,NA
"46","62000US36069","Assembly District 69 (2018), New York","69","69",36,"NY",2018,0.929848236344385,0.929848236344385,-0.297034679175741,1,1,0,"Democratic",0.934748295664439,96175,"NY 0 69","2018 NY 0 69",0.590642058747076,0.112971146347803,0,0.209773849753054,1,0.0651416688328568,0,NA,0,NA
"47","62000US36074","Assembly District 74 (2018), New York","74","74",36,"NY",2018,0.886148099638604,0.886148099638604,-0.437971500419111,0,0,0,"Democratic",0.883914337846922,98475,"NY 0 74","2018 NY 0 74",0.58954049251079,0.0705255140898705,0,0.191673013455192,0,0.129271388677329,1,NA,0,NA
"48","62000US55076","Assembly District 76 (2018), Wisconsin","76","76",55,"WI",2020,0.88202912861022,0.88202912861022,NA,0,0,1,"Democratic",0.878790091010853,58435,"WI 0 76","2020 WI 0 76",0.855394883203559,0.0385043210404723,NA,0.0415846667237101,NA,0.0420124925130487,NA,NA,0,NA
"49","62000US55077","Assembly District 77 (2018), Wisconsin","77","77",55,"WI",2018,NA,1,NA,0,0,1,"Democratic",0.879367230306958,42495,"WI 0 77","2018 WI 0 77",0.811271914342864,0.0548299799976468,NA,0.045534768796329,NA,0.0543358042122603,NA,1,0,NA
"50","62000US32008","Assembly District 8 (2018), Nevada","8","8",32,"NV",2018,0.602837245292752,0.602837245292752,0.269544924154026,1,1,0,"Democratic",0.587457396046353,49410,"NV 0 8","2018 NV 0 8",0.481481481481481,0.11778992106861,1,0.168994130742765,0,0.189435336976321,0,NA,0,NA
"51","62000US55080","Assembly District 80 (2018), Wisconsin","80","80",55,"WI",2020,0.645150306450044,0.645150306450044,-0.34856911720093,1,1,1,"Democratic",0.656475953316732,46170,"WI 0 80","2020 WI 0 80",0.944444444444444,0.0224171539961014,1,0.0158111327701971,0,0.00682261208576998,0,NA,0,NA
"52","62000US36081","Assembly District 81 (2018), New York","81","81",36,"NY",2020,0.835553788029429,0.835553788029429,-0.273590724065622,1,1,0,"Democratic",0.833462981605198,85980,"NY 0 81","2020 NY 0 81",0.395673412421493,0.178820655966504,0,0.362409862758781,1,0.0499534775529193,0,NA,0,NA
"53","62000US36087","Assembly District 87 (2018), New York","87","87",36,"NY",2020,0.896745980707396,0.896745980707396,NA,1,1,1,"Democratic",0.928297089689495,79060,"NY 0 87","2020 NY 0 87",0.0414874778649127,0.310650139134834,NA,0.553503668100177,NA,0.0768403743991905,NA,NA,0,NA
"54","62000US55009","Assembly District 9 (2018), Wisconsin","9","9",55,"WI",2018,NA,1,0.282018111254851,1,0,1,"Democratic",0.750124812780829,31335,"WI 0 9","2018 WI 0 9",0.476304451890857,0.0832934418382001,0,0.389021860539333,1,0.0245731610020744,0,1,0,NA
"55","62000US55091","Assembly District 91 (2018), Wisconsin","91","91",55,"WI",2018,0.665602432535158,0.665602432535158,-0.106311360448808,0,0,1,"Democratic",0.603594450672646,46980,"WI 0 91","2018 WI 0 91",0.9223073648361,0.00968497232865049,0,0.0162835249042146,0,0.0372498935717327,1,NA,0,NA
"56","62000US55098","Assembly District 98 (2018), Wisconsin","98","98",55,"WI",2020,NA,1,-0.456038941283845,1,1,0,"Republican",0.371332080160576,45265,"WI 0 98","2020 WI 0 98",0.901358665635701,0.0178946205677676,0,0.0486026731470231,1,0.0196398983762289,0,1,0,NA
"57","61000US25001","First Suffolk District (2018), Massachusetts","1",NA,25,"MA",2020,NA,1,-0.483633850599987,1,1,0,"Democratic",NA,123515,"MA 1 FIRST SUFFOLK","2020 MA 1 First Suffolk",0.426304497429462,0.376715378698943,1,0.112132129700846,0,0.0675626442132534,0,1,1,NA
"58","62000US34015","General Assembly District 15 (2018), New Jersey","15",NA,34,"NJ",2019,NA,NA,-0.288725722406442,1,1,0,"Democratic",NA,143365,"NJ 0 15","2019 NJ 0 15",0.527988002650577,0.281519199246678,NA,0.101872842046525,NA,0.0754368220974436,NA,NA,0,1
"59","62000US34022","General Assembly District 22 (2018), New Jersey","22",NA,34,"NJ",2019,NA,NA,-0.129954031556715,1,1,0,"Democratic",NA,142865,"NJ 0 22","2019 NJ 0 22",0.487208203548805,0.267665278409687,NA,0.189969551674658,NA,0.042802645854478,NA,NA,0,1
"60","62000US34029","General Assembly District 29 (2018), New Jersey","29","29",34,"NJ",2019,0.845608658174504,0.845608658174504,NA,1,1,1,"Democratic",0.852422698357439,135385,"NJ 0 29","2019 NJ 0 29",0.199135797909665,0.372456328249067,NA,0.382058573697234,NA,0.0328692248033386,NA,NA,0,1
"61","62000US34029","General Assembly District 29 (2018), New Jersey","29","29",34,"NJ",2019,0.154391341825496,0.154391341825496,NA,1,0,1,"Republican",0.852422698357439,135385,"NJ 0 29","2019 NJ 0 29",0.199135797909665,0.372456328249067,NA,0.382058573697234,NA,0.0328692248033386,NA,NA,0,1
"62","62000US34036","General Assembly District 36 (2018), New Jersey","36",NA,34,"NJ",2019,0.613107705875868,0.613107705875868,-0.419941420551623,1,1,0,"Democratic",NA,143605,"NJ 0 36","2019 NJ 0 36",0.532363079279969,0.044218516068382,NA,0.327356289822778,NA,0.0839803628007381,NA,NA,0,1
"63","62000US34036","General Assembly District 36 (2018), New Jersey","36",NA,34,"NJ",2019,0.386892294124132,0.386892294124132,NA,1,0,0,"Republican",NA,143605,"NJ 0 36","2019 NJ 0 36",0.532363079279969,0.044218516068382,NA,0.327356289822778,NA,0.0839803628007381,NA,NA,0,1
"64","61000US25003","Hampden District (2018), Massachusetts","3","HAMPDEN",25,"MA",2020,NA,1,0.0513253341849537,1,0,0,"Democratic",0.741811138386008,110085,"MA 1 HAMPDEN","2020 MA 1 Hampden",0.430712631148658,0.147704046872871,0,0.385066085297724,1,0.0187945678339465,0,1,1,NA
"65","61000US25003","Hampden District (2018), Massachusetts","3","HAMPDEN",25,"MA",2018,NA,1,-0.169288611853171,1,1,0,"Democratic",0.741811138386008,110085,"MA 1 HAMPDEN","2018 MA 1 Hampden",0.430712631148658,0.147704046872871,0,0.385066085297724,1,0.0187945678339465,0,1,1,NA
"66","61000US25025","Second Middlesex District (2018), Massachusetts","25",NA,25,"MA",2020,NA,1,-0.637673195431173,1,1,1,"Democratic",NA,134600,"MA 1 SECOND MIDDLESEX","2020 MA 1 Second Middlesex",0.786515601783061,0.0708395245170877,1,0.0519687964338782,0,0.0705052005943536,0,1,1,NA
"67","61000US25035","Second Plymouth & Bristol District (2018), Massachusetts","35",NA,25,"MA",2020,NA,1,-0.14352229076941,1,1,0,"Democratic",NA,113270,"MA 1 SECOND PLYMOUTH AND BRISTOL","2020 MA 1 Second Plymouth & Bristol",0.70406992142668,0.211220976428004,1,0.0570318707513022,0,0.0135958329654807,0,1,1,NA
"68","62000US2704A","State House District 04A (2018), Minnesota","04A",NA,27,"MN",2020,0.56767976278725,0.56767976278725,0.326308394801545,0,0,1,"Democratic",0.540043413686736,32145,"MN 0 04A","2020 MN 0 4A",0.907606159589361,0.0273759527142635,0,0.0314201275470524,0,0.00591071706330689,0,NA,0,NA
"69","62000US02001","State House District 1 (2018), Alaska","1","1",2,"AK",2020,0.445409064155386,0.445409064155386,-0.00573065902578795,1,0,0,"Democratic",0.447244915696159,12970,"AK 0 1","2020 AK 0 1",0.620277563608327,0.0747879722436392,1,0.0817270624518119,0,0.0296838858905166,0,NA,0,NA
"70","62000US12001","State House District 1 (2018), Florida","1","1",12,"FL",2020,0.347019852472452,0.347019852472452,0.363903586125808,1,0,1,"Democratic",0.353062745033633,128235,"FL 0 1","2020 FL 0 1",0.720825047763871,0.192342184271065,1,0.0346629235388155,0,0.0247592310991539,0,NA,0,NA
"71","62000US12001","State House District 1 (2018), Florida","1","1",12,"FL",2020,0.652980147527548,0.652980147527548,NA,1,0,1,"Republican",0.353062745033633,128235,"FL 0 1","2020 FL 0 1",0.720825047763871,0.192342184271065,NA,0.0346629235388155,NA,0.0247592310991539,NA,NA,0,NA
"72","62000US12001","State House District 1 (2018), Florida","1","1",12,"FL",2018,0.392184218421842,0.392184218421842,-0.215852099518143,0,0,1,"Democratic",0.353062745033633,128235,"FL 0 1","2018 FL 0 1",0.720825047763871,0.192342184271065,1,0.0346629235388155,0,0.0247592310991539,0,NA,0,NA
"73","62000US12001","State House District 1 (2018), Florida","1","1",12,"FL",2018,0.607815781578158,0.607815781578158,0.0289390784345133,0,0,0,"Republican",0.353062745033633,128235,"FL 0 1","2018 FL 0 1",0.720825047763871,0.192342184271065,1,0.0346629235388155,0,0.0247592310991539,0,NA,0,NA
"74","62000US17001","State House District 1 (2018), Illinois","1","1",17,"IL",2018,NA,1,0.0623939679547597,1,0,0,"Democratic",0.845087926427639,52360,"IL 0 1","2018 IL 0 1",0.1981474407945,0.151451489686784,0,0.615068754774637,1,0.0278838808250573,0,1,0,NA
"75","62000US10010","State House District 10 (2018), Delaware","10","10",10,"DE",2020,NA,1,-0.628487036429275,1,1,0,"Democratic",0.615234556432884,15700,"DE 0 10","2020 DE 0 10",0.761146496815287,0.161783439490446,1,0.021656050955414,0,0.0474522292993631,0,1,0,NA
"76","62000US15010","State House District 10 (2018), Hawaii","10","10",15,"HI",2020,0.648555555555556,0.648555555555556,-0.323984808647385,1,1,0,"Democratic",0.651318869985953,17245,"HI 0 10","2020 HI 0 10",0.458973615540736,0.00492896491736735,0,0.0924905769788344,0,0.305595824876776,0,NA,0,NA
"77","62000US16010","State House District 10 (2018), Idaho","10",NA,16,"ID",2020,0.674442421483842,0.674442421483842,0.165471447543161,1,0,1,"Republican",0.339061157541201,32065,"ID 0 10","2020 ID 0 10A",0.712770934040231,0.00405426477467644,0,0.245594885389053,0,0.0104475284578201,1,NA,0,NA
"78","62000US20010","State House District 10 (2018), Kansas","10","10",20,"KS",2020,NA,1,0.558823529411765,0,0,1,"Democratic",0.616402394203507,19020,"KS 0 10","2020 KS 0 10",0.79416403785489,0.0415352260778128,0,0.0523133543638276,0,0.0159831756046267,0,1,0,NA
"79","62000US26010","State House District 10 (2018), Michigan","10","10",26,"MI",2020,0.847512609149688,0.847512609149688,NA,0,0,1,"Democratic",0.828129668359725,66690,"MI 0 10","2020 MI 0 10",0.316614185035238,0.64642375168691,NA,0.0154445943919628,NA,0.00463337831758884,NA,NA,0,NA
"80","62000US26010","State House District 10 (2018), Michigan","10","10",26,"MI",2018,0.144172876304024,0.144172876304024,NA,1,0,0,"Republican",0.828129668359725,66690,"MI 0 10","2018 MI 0 10",0.316614185035238,0.64642375168691,NA,0.0154445943919628,NA,0.00463337831758884,NA,NA,0,NA
"81","62000US39010","State House District 10 (2018), Ohio","10","10",39,"OH",2020,NA,1,0.638955502264855,1,1,0,"Democratic",0.457323154228641,87505,"OH 0 10","2020 OH 0 10",0.374492886120793,0.483458088109251,1,0.100737100737101,0,0.0203416947602994,0,1,0,NA
"82","62000US09100","State House District 100 (2018), Connecticut","100","100",9,"CT",2018,0.392230854605993,0.392230854605993,-0.290229885057471,0,0,0,"Republican",0.63289294734797,17205,"CT 0 100","2018 CT 0 100",0.72972972972973,0.146469049694856,1,0.0851496657948271,0,0.022667829119442,0,NA,0,NA
"83","62000US37102","State House District 102 (2018), North Carolina","102","102",37,"NC",2020,0.784437457893555,0.784437457893555,-0.387628009964019,1,1,1,"Democratic",0.750779567057831,53955,"NC 0 102","2020 NC 0 102",0.460847002131406,0.42943193401909,1,0.0571772773607636,0,0.0234454638124363,0,NA,0,NA
"84","62000US42103","State House District 103 (2018), Pennsylvania","103","103",42,"PA",2020,NA,1,NA,1,1,1,"Democratic",0.809267151332832,44050,"PA 0 103","2020 PA 0 103",0.364358683314415,0.422474460839955,NA,0.155732122587968,NA,0.0284903518728717,NA,1,0,NA
"85","62000US12104","State House District 104 (2018), Florida","104","104",12,"FL",2020,0.579420408721208,0.579420408721208,-0.403456235573024,0,0,1,"Democratic",0.637784721120138,107665,"FL 0 104","2020 FL 0 104",0.390609761761018,0.0990572609483119,1,0.456555055031812,0,0.0428180002786421,0,NA,0,NA
"86","62000US13104","State House District 104 (2018), Georgia","104","104",13,"GA",2020,0.488501166120509,0.488501166120509,0.303076286384329,1,0,1,"Democratic",0.437246442140511,41690,"GA 0 104","2020 GA 0 104",0.564643799472295,0.272607339889662,1,0.0960662029263612,0,0.0474934036939314,0,NA,0,NA
"87","62000US17104","State House District 104 (2018), Illinois","104","104",17,"IL",2018,0.440820028030449,0.440820028030449,-0.291757387247278,0,0,1,"Democratic",0.470366981803395,78945,"IL 0 104","2018 IL 0 104",0.811134334030021,0.126037114446767,1,0.0285008550256508,0,0.0205839508518589,0,NA,0,NA
"88","62000US12105","State House District 105 (2018), Florida","105","105",12,"FL",2018,0.495645272457654,0.495645272457654,0.0325077399380805,0,0,0,"Democratic",0.576702515972241,100840,"FL 0 105","2018 FL 0 105",0.232149940499802,0.0942086473621579,0,0.643990479968267,1,0.0241471638238794,0,NA,0,NA
"89","62000US48105","State House District 105 (2018), Texas","105","105",48,"TX",2018,0.54737990780126,0.54737990780126,NA,1,0,1,"Democratic",0.544588199539791,101460,"TX 0 105","2018 TX 0 105",0.424157303370786,0.162034299231224,NA,0.326532623694067,NA,0.0688448649714173,NA,NA,0,NA
"90","62000US48105","State House District 105 (2018), Texas","105","105",48,"TX",2018,0.45262009219874,0.45262009219874,-0.871458923512748,1,1,0,"Republican",0.544588199539791,101460,"TX 0 105","2018 TX 0 105",0.424157303370786,0.162034299231224,0,0.326532623694067,0,0.0688448649714173,1,NA,0,NA
"91","62000US13107","State House District 107 (2018), Georgia","107","107",13,"GA",2018,0.587915207722154,0.587915207722154,0.609739368998628,0,0,1,"Democratic",0.560215503227904,35805,"GA 0 107","2018 GA 0 107",0.466415305124983,0.272866918028208,1,0.108783689428851,0,0.139645300935624,0,NA,0,NA
