year,deaths_drugod,crude_drugod,ageadjust_drugod,statefips,pop,unemp_rate,welf_fs_4p_benefit,ssi_total,pov_rate,state_min_wage,expansion,exp_st,neighbor_st
1986.0,54.0,,2.8,1.0,3991569.0,9.100000381469727,415.0,336.0,23.8,3.35,0.0,0.0,
2008.0,970.0,39.2,39.6,1.0,4718206.0,5.0,787.0,637.0,14.3,6.55,0.0,0.0,
2006.0,683.0,28.1,28.8,1.0,4628981.0,3.5,751.0,603.0,14.3,5.15,0.0,0.0,
1988.0,73.0,,3.5,1.0,4023844.0,6.900000095367432,437.0,354.0,19.3,3.35,0.0,0.0,
2014.0,1136.0,45.1,46.2,1.0,4849377.0,6.800000190734863,877.0,,,7.25,0.0,0.0,
1991.0,53.0,,2.6,1.0,4091025.0,6.900000095367432,507.0,407.0,18.8,4.25,0.0,0.0,
1990.0,57.0,,2.8,1.0,4040389.0,6.300000190734863,478.0,386.0,19.2,3.8,0.0,0.0,
2003.0,503.0,21.5,21.6,1.0,4503491.0,5.400000095367432,710.0,552.0,15.0,5.15,0.0,0.0,
2005.0,584.0,24.4,24.8,1.0,4569805.0,3.799999952316284,744.0,579.0,16.7,5.15,0.0,0.0,
2008.0,234.0,61.8,62.5,2.0,687455.0,6.400000095367432,1641.0,999.0,8.2,7.15,0.0,0.0,
2009.0,218.0,56.4,57.0,2.0,698895.0,7.699999809265137,1802.0,1036.0,11.7,7.25,0.0,0.0,
2010.0,197.0,50.1,50.6,2.0,713868.0,8.0,1807.0,1036.0,12.4,7.75,0.0,0.0,
1997.0,27.0,,7.8,2.0,608846.0,7.099999904632568,1426.0,846.0,8.8,5.25,0.0,0.0,
2016.0,244.0,60.7,61.9,2.0,,,,,,,0.0,0.0,
1992.0,16.0,,4.9,2.0,587073.0,8.899999618530273,1358.0,784.0,10.2,4.75,0.0,0.0,
2004.0,160.0,44.6,45.1,2.0,659286.0,7.400000095367432,1528.0,926.0,9.2,7.15,0.0,0.0,
1998.0,33.0,,9.6,2.0,615205.0,6.099999904632568,1430.0,856.0,9.4,5.65,0.0,0.0,
2015.0,246.0,61.4,62.6,2.0,,,,,,,0.0,0.0,
2006.0,148.0,40.0,40.2,2.0,675302.0,6.5,1495.0,965.0,8.9,7.15,0.0,0.0,
2005.0,150.0,41.2,41.7,2.0,666946.0,6.900000095367432,1562.0,941.0,10.0,7.15,0.0,0.0,
1988.0,18.0,,6.1,2.0,541983.0,8.699999809265137,1122.0,659.0,11.0,3.85,0.0,0.0,
1985.0,15.0,,4.3,2.0,532495.0,9.600000381469727,1047.0,586.0,8.7,3.85,0.0,0.0,
1979.0,12.0,,5.9,2.0,,,,,,,0.0,0.0,
1984.0,12.0,,4.7,2.0,513702.0,9.899999618530273,1028.0,571.0,9.6,3.85,0.0,0.0,
1994.0,22.0,,6.2,2.0,600624.0,7.5,1397.0,820.0,10.2,4.75,0.0,0.0,
1987.0,6.0,,1.9,2.0,539309.0,10.199999809265137,1084.0,632.0,12.0,3.85,0.0,0.0,
2013.0,223.0,55.4,56.9,2.0,735132.0,6.5,1816.0,,10.9,7.75,0.0,0.0,
2007.0,181.0,48.4,48.8,2.0,680300.0,6.099999904632568,1598.0,985.0,7.6,7.15,0.0,0.0,
2012.0,235.0,58.5,59.5,2.0,730307.0,6.900000095367432,1699.0,,10.0,7.75,0.0,0.0,
2000.0,134.0,39.1,38.3,2.0,627963.0,6.199999809265137,1458.0,875.0,7.6,5.65,0.0,0.0,
1991.0,16.0,,5.0,2.0,569273.0,8.199999809265137,1309.0,756.0,11.8,4.75,0.0,0.0,
2011.0,218.0,54.6,55.1,2.0,723375.0,7.599999904632568,1807.0,1036.0,11.7,7.75,0.0,0.0,
1983.0,12.0,,4.7,2.0,488417.0,10.0,946.0,556.0,12.6,3.85,0.0,0.0,
2003.0,140.0,39.7,40.0,2.0,648414.0,7.699999809265137,1525.0,914.0,9.6,7.15,0.0,0.0,
2002.0,168.0,48.0,47.5,2.0,642337.0,7.099999904632568,1515.0,907.0,8.8,7.15,0.0,0.0,
2014.0,242.0,60.3,61.9,2.0,736732.0,6.800000190734863,1661.0,,,7.75,0.0,0.0,
1982.0,9.0,,3.3,2.0,449606.0,9.800000190734863,906.0,545.0,10.6,3.85,0.0,0.0,
1999.0,112.0,32.7,32.0,2.0,619500.0,6.199999809265137,1453.0,862.0,7.6,5.65,0.0,0.0,
1995.0,19.0,,5.0,2.0,601345.0,7.099999904632568,1399.0,820.0,7.1,4.75,0.0,0.0,
2001.0,134.0,38.8,38.7,2.0,633714.0,6.199999809265137,1484.0,893.0,8.5,5.65,0.0,0.0,
1996.0,37.0,,10.6,2.0,604918.0,7.5,1425.0,832.0,8.2,4.75,0.0,0.0,
1993.0,11.0,,2.9,2.0,596993.0,7.699999809265137,1364.0,808.0,9.1,4.75,0.0,0.0,
1989.0,14.0,,4.4,2.0,547159.0,6.900000095367432,1155.0,685.0,10.5,3.85,0.0,0.0,
1981.0,7.0,,3.3,2.0,418491.0,9.100000381469727,863.0,526.0,9.0,3.85,0.0,0.0,
1986.0,16.0,,5.6,2.0,544268.0,11.0,1075.0,605.0,11.4,3.85,0.0,0.0,
1990.0,16.0,,4.7,2.0,550043.0,7.0,1221.0,717.0,11.4,4.3,0.0,0.0,
1980.0,7.0,,4.8,2.0,401851.0,9.399999618530273,790.0,473.0,9.6,3.6,0.0,0.0,
2008.0,1312.0,41.0,41.2,4.0,6280362.0,6.0,960.0,637.0,18.0,6.9,1.0,1.0,2.0
1983.0,72.0,,5.0,4.0,2968925.0,9.199999809265137,510.0,304.0,16.3,3.35,0.0,1.0,2.0
1995.0,274.0,,12.3,4.0,4306908.0,5.300000190734863,788.0,458.0,16.1,4.25,0.0,1.0,2.0
1990.0,135.0,,7.5,4.0,3665339.0,5.300000190734863,665.0,386.0,13.7,3.8,0.0,1.0,2.0
1998.0,422.0,,17.3,4.0,4667277.0,4.300000190734863,816.0,494.0,16.6,5.15,0.0,1.0,2.0
1982.0,83.0,,6.0,4.0,2889861.0,10.0,464.0,284.0,14.8,3.35,0.0,1.0,2.0
2014.0,1804.0,53.7,53.5,4.0,6731484.0,6.900000095367432,966.0,,,7.9,1.0,1.0,2.0
1993.0,208.0,,10.3,4.0,3993390.0,6.400000095367432,761.0,434.0,15.4,4.25,0.0,1.0,2.0
2000.0,887.0,34.4,34.8,4.0,5160586.0,4.0,841.0,513.0,11.7,5.15,0.0,1.0,2.0
1992.0,185.0,,9.5,4.0,3867333.0,7.400000095367432,746.0,422.0,15.8,4.25,0.0,1.0,2.0
2012.0,1738.0,52.6,52.5,4.0,6551149.0,8.300000190734863,1002.0,,19.0,7.65,1.0,1.0,2.0
2003.0,1069.0,38.4,39.1,4.0,5510364.0,5.699999809265137,883.0,552.0,13.5,5.15,1.0,1.0,2.0
2011.0,1655.0,50.4,50.6,4.0,6468796.0,9.399999618530273,913.0,674.0,17.2,7.35,1.0,1.0,2.0
2005.0,1212.0,40.8,41.6,4.0,5839077.0,4.699999809265137,917.0,579.0,15.2,5.15,1.0,1.0,2.0
1997.0,325.0,,13.6,4.0,4552207.0,4.599999904632568,808.0,484.0,17.2,4.75,0.0,1.0,2.0
1991.0,122.0,,6.4,4.0,3762394.0,5.699999809265137,690.0,407.0,14.8,4.25,0.0,1.0,2.0
2004.0,1116.0,38.9,39.8,4.0,5652404.0,5.0,889.0,564.0,14.4,5.15,1.0,1.0,2.0
1994.0,263.0,,12.4,4.0,4147561.0,6.099999904632568,776.0,446.0,15.9,4.25,0.0,1.0,2.0
2013.0,1785.0,53.7,54.0,4.0,6626624.0,8.0,1002.0,,20.2,7.8,1.0,1.0,2.0
2001.0,946.0,35.6,36.1,4.0,5273477.0,4.699999809265137,852.0,531.0,14.6,5.15,0.0,1.0,2.0
2015.0,1859.0,54.6,54.7,4.0,,,,,,,1.0,1.0,2.0
2007.0,1395.0,44.3,44.9,4.0,6167681.0,3.700000047683716,936.0,623.0,14.3,6.75,1.0,1.0,2.0
1981.0,67.0,,5.4,4.0,2810107.0,6.199999809265137,464.0,265.0,11.7,3.35,0.0,1.0,2.0
1987.0,126.0,,7.2,4.0,3437103.0,6.400000095367432,593.0,340.0,12.8,3.35,0.0,1.0,2.0
1980.0,74.0,,6.0,4.0,2718215.0,6.699999809265137,429.0,238.0,12.8,3.1,0.0,1.0,2.0
1988.0,144.0,,8.0,4.0,3535183.0,6.300000190734863,617.0,354.0,14.1,3.35,0.0,1.0,2.0
2016.0,1982.0,57.3,57.1,4.0,,,,,,,1.0,1.0,2.0
1985.0,92.0,,5.8,4.0,3183538.0,6.300000190734863,530.0,325.0,10.7,3.35,0.0,1.0,2.0
1986.0,104.0,,6.3,4.0,3308262.0,6.900000095367432,589.0,336.0,14.3,3.35,0.0,1.0,2.0
1999.0,893.0,35.3,35.6,4.0,4778332.0,4.5,834.0,500.0,12.2,5.15,0.0,1.0,2.0
1996.0,307.0,,13.3,4.0,4432308.0,5.5,805.0,470.0,20.5,4.25,0.0,1.0,2.0
1979.0,61.0,,5.1,4.0,,,,,,,0.0,1.0,2.0
2009.0,1499.0,46.5,46.7,4.0,6343154.0,9.800000190734863,923.0,674.0,21.2,7.25,1.0,1.0,2.0
1984.0,78.0,,5.2,4.0,3067135.0,5.0,515.0,314.0,18.2,3.35,0.0,1.0,2.0
2006.0,1264.0,41.0,41.8,4.0,6029141.0,4.099999904632568,924.0,603.0,14.4,5.15,1.0,1.0,2.0
2002.0,1038.0,38.1,38.6,4.0,5396255.0,6.0,870.0,545.0,13.5,5.15,1.0,1.0,2.0
1989.0,136.0,,7.5,4.0,3622185.0,5.300000190734863,630.0,368.0,14.1,3.35,0.0,1.0,2.0
2010.0,1614.0,49.7,49.6,4.0,6408790.0,10.399999618530273,1003.0,674.0,18.6,7.25,1.0,1.0,2.0
1980.0,18.0,,1.7,5.0,2286435.0,7.5,390.0,238.0,21.5,2.55,0.0,0.0,
2003.0,386.0,27.7,28.0,5.0,2724816.0,5.800000190734863,712.0,552.0,17.8,5.15,0.0,0.0,
1988.0,38.0,,3.5,5.0,2342656.0,7.699999809265137,528.0,354.0,21.6,3.35,0.0,0.0,
1992.0,53.0,,4.5,5.0,2394098.0,7.099999904632568,617.0,422.0,17.5,4.25,0.0,0.0,
2008.0,581.0,39.2,40.1,5.0,2874554.0,5.400000095367432,789.0,637.0,15.3,6.25,0.0,0.0,
1997.0,69.0,,5.4,5.0,2524007.0,5.099999904632568,647.0,484.0,19.7,5.15,0.0,0.0,
1996.0,58.0,,4.6,5.0,2504858.0,5.099999904632568,644.0,470.0,17.2,4.75,0.0,0.0,
1983.0,22.0,,2.0,5.0,2305761.0,9.699999809265137,417.0,304.0,21.5,2.95,0.0,0.0,
2015.0,715.0,47.4,48.7,5.0,,,,,,,0.0,0.0,
2014.0,660.0,43.9,45.0,5.0,2966369.0,6.099999904632568,879.0,,,6.25,0.0,0.0,
2002.0,385.0,27.9,28.5,5.0,2705927.0,5.300000190734863,699.0,545.0,19.8,5.15,0.0,0.0,
1999.0,270.0,20.2,20.4,5.0,2551373.0,4.400000095367432,666.0,500.0,14.7,5.15,0.0,0.0,
1989.0,36.0,,3.2,5.0,2346358.0,7.0,547.0,368.0,18.3,3.35,0.0,0.0,
2016.0,715.0,47.2,48.2,5.0,,,,,,,0.0,0.0,
2000.0,312.0,23.0,23.3,5.0,2678588.0,4.199999809265137,673.0,513.0,16.5,5.15,0.0,0.0,
2004.0,416.0,29.5,29.9,5.0,2749686.0,5.599999904632568,718.0,564.0,15.1,5.15,0.0,0.0,
1981.0,24.0,,2.3,5.0,2293201.0,8.5,421.0,265.0,24.1,2.7,0.0,0.0,
1985.0,33.0,,3.0,5.0,2327046.0,8.5,455.0,325.0,22.9,3.15,0.0,0.0,
2010.0,582.0,38.8,40.3,5.0,2922280.0,7.900000095367432,915.0,674.0,15.5,6.25,0.0,0.0,
1995.0,56.0,,4.5,5.0,2480121.0,4.800000190734863,633.0,458.0,14.9,4.25,0.0,0.0,
2013.0,590.0,39.2,39.7,5.0,2959373.0,7.5,915.0,,17.1,6.25,0.0,0.0,
1984.0,30.0,,2.9,5.0,2319768.0,8.300000190734863,444.0,314.0,23.9,3.05,0.0,0.0,
1990.0,18.0,,1.6,5.0,2350624.0,6.800000190734863,578.0,386.0,19.6,3.8,0.0,0.0,
2005.0,468.0,32.7,33.4,5.0,2781097.0,5.099999904632568,746.0,579.0,13.8,5.15,0.0,0.0,
2001.0,349.0,25.5,25.8,5.0,2691571.0,4.699999809265137,681.0,531.0,17.8,5.15,0.0,0.0,
2006.0,460.0,31.6,32.4,5.0,2821761.0,5.300000190734863,753.0,603.0,17.7,5.15,0.0,0.0,
1998.0,77.0,,5.9,5.0,2538202.0,5.0,655.0,494.0,14.7,5.15,0.0,0.0,
1979.0,24.0,,2.3,5.0,,,,,,,0.0,0.0,
1993.0,42.0,,3.4,5.0,2423743.0,6.099999904632568,617.0,434.0,20.0,4.25,0.0,0.0,
2011.0,614.0,40.6,42.2,5.0,2938506.0,8.0,1569.0,674.0,18.7,6.25,0.0,0.0,
1994.0,62.0,,5.2,5.0,2450605.0,5.300000190734863,622.0,446.0,15.3,4.25,0.0,0.0,
2009.0,584.0,39.1,40.1,5.0,2896843.0,7.5,835.0,674.0,18.9,6.25,0.0,0.0,
2007.0,533.0,36.2,37.3,5.0,2848650.0,5.300000190734863,765.0,623.0,13.8,6.25,0.0,0.0,
1991.0,34.0,,3.0,5.0,2370666.0,7.199999809265137,599.0,407.0,17.3,4.25,0.0,0.0,
2012.0,628.0,41.7,42.3,5.0,2949828.0,7.5,915.0,,20.1,6.25,0.0,0.0,
1982.0,21.0,,2.0,5.0,2294257.0,9.5,375.0,284.0,23.8,2.8,0.0,0.0,
1987.0,28.0,,2.4,5.0,2342355.0,8.100000381469727,495.0,340.0,21.8,3.35,0.0,0.0,
1986.0,30.0,,2.7,5.0,2331984.0,8.5,492.0,336.0,21.3,3.35,0.0,0.0,
2004.0,4695.0,25.1,25.3,6.0,35574576.0,6.199999809265137,1212.0,790.0,13.3,6.75,0.0,0.0,
2007.0,5721.0,29.8,29.7,6.0,36250311.0,5.400000095367432,1288.0,856.0,12.7,7.5,0.0,0.0,
1990.0,1494.0,,9.5,6.0,29811427.0,5.800000190734863,995.0,630.0,13.9,4.25,0.0,0.0,
1984.0,1332.0,,9.7,6.0,25844393.0,7.800000190734863,755.0,485.0,13.2,3.35,0.0,0.0,
1982.0,1248.0,,9.7,6.0,24820009.0,10.0,714.0,451.0,14.1,3.35,0.0,0.0,
2000.0,3460.0,19.6,19.8,6.0,33987977.0,4.900000095367432,1071.0,693.0,12.7,6.25,0.0,0.0,
1986.0,1644.0,,11.3,6.0,27102237.0,6.800000190734863,830.0,533.0,12.7,3.35,0.0,0.0,
1994.0,2063.0,,12.8,6.0,31317179.0,8.600000381469727,990.0,603.0,17.9,4.25,0.0,0.0,
1996.0,2193.0,,13.4,6.0,31780829.0,7.300000190734863,1019.0,626.0,16.9,4.75,0.0,0.0,
1983.0,1193.0,,9.0,6.0,25360026.0,9.800000190734863,734.0,467.0,14.9,3.35,0.0,0.0,
2002.0,4498.0,24.6,24.9,6.0,34871843.0,6.699999809265137,1121.0,750.0,13.1,6.75,0.0,0.0,
1988.0,1601.0,,10.7,6.0,28464249.0,5.300000190734863,897.0,575.0,13.2,4.25,0.0,0.0,
2006.0,4997.0,26.2,26.2,6.0,36021202.0,4.900000095367432,1270.0,812.0,12.2,6.75,0.0,0.0,
2001.0,2851.0,15.8,16.0,6.0,34479458.0,5.400000095367432,1086.0,712.0,12.6,6.25,0.0,0.0,
2005.0,4695.0,24.8,25.0,6.0,35827943.0,5.400000095367432,1259.0,805.0,13.2,6.75,0.0,0.0,
2015.0,6552.0,31.5,31.0,6.0,,,,,,,0.0,0.0,
1991.0,1394.0,,8.9,6.0,30414114.0,7.800000190734863,1019.0,630.0,15.7,4.25,0.0,0.0,
1980.0,1014.0,,8.6,6.0,23667902.0,6.900000095367432,653.0,420.0,11.0,3.1,0.0,0.0,
1979.0,1085.0,,9.4,6.0,,,,,,,0.0,0.0,
2013.0,6278.0,30.8,30.3,6.0,38332521.0,8.899999618530273,1451.0,,14.9,8.0,0.0,0.0,
2012.0,5908.0,29.3,28.8,6.0,37999878.0,10.399999618530273,1447.0,,15.9,8.0,0.0,0.0,
2008.0,5745.0,29.6,29.4,6.0,36604337.0,7.199999809265137,1318.0,870.0,14.6,8.0,0.0,0.0,
1985.0,1543.0,,10.9,6.0,26441109.0,7.199999809265137,795.0,504.0,13.6,3.35,0.0,0.0,
1987.0,1393.0,,9.5,6.0,27777158.0,5.800000190734863,859.0,560.0,12.3,3.35,0.0,0.0,
2010.0,5941.0,30.0,29.5,6.0,37333601.0,12.399999618530273,1431.0,845.0,16.3,8.0,0.0,0.0,
2011.0,6128.0,30.6,30.2,6.0,37668681.0,11.800000190734863,1448.0,845.0,16.9,8.0,0.0,0.0,
1997.0,2045.0,,12.3,6.0,32217708.0,6.400000095367432,986.0,640.0,16.6,5.15,0.0,0.0,
1999.0,4184.0,23.9,24.2,6.0,33145121.0,5.300000190734863,1013.0,676.0,14.0,5.75,0.0,0.0,
2009.0,6008.0,30.6,30.3,6.0,36961229.0,11.300000190734863,1346.0,907.0,15.3,8.0,0.0,0.0,
1995.0,1827.0,,11.3,6.0,31493525.0,7.900000095367432,1002.0,615.0,16.7,4.25,0.0,0.0,
1992.0,2010.0,,12.4,6.0,30875920.0,9.399999618530273,1016.0,645.0,16.4,4.25,0.0,0.0,
1993.0,2274.0,,14.0,6.0,31147208.0,9.5,988.0,620.0,18.2,4.25,0.0,0.0,
1981.0,1082.0,,8.8,6.0,24285933.0,7.400000095367432,678.0,439.0,13.3,3.35,0.0,0.0,
2014.0,6507.0,31.6,30.9,6.0,38802500.0,7.5,1444.0,,,9.0,0.0,0.0,
1989.0,1719.0,,11.0,6.0,29218164.0,5.099999904632568,934.0,602.0,12.9,4.25,0.0,0.0,
2003.0,4724.0,25.5,25.8,6.0,35253159.0,6.800000190734863,1182.0,757.0,13.1,6.75,0.0,0.0,
2016.0,6570.0,31.3,30.7,6.0,,,,,,,0.0,0.0,
1998.0,2306.0,,13.6,6.0,32682794.0,6.0,994.0,650.0,15.4,5.75,0.0,0.0,
1996.0,190.0,,8.6,8.0,3812716.0,4.199999809265137,815.0,526.0,10.6,4.75,0.0,0.0,
2010.0,1156.0,41.8,42.0,8.0,5048196.0,9.0,1229.0,699.0,12.2,7.24,0.0,0.0,
2006.0,1024.0,39.5,39.8,8.0,4720423.0,4.300000190734863,938.0,628.0,9.7,5.15,0.0,0.0,
1979.0,81.0,,6.1,8.0,,,,,,,0.0,0.0,
2003.0,912.0,36.8,37.0,8.0,4528732.0,6.099999904632568,897.0,589.0,9.7,5.15,0.0,0.0,
2011.0,1324.0,47.1,47.4,8.0,5118400.0,8.5,1229.0,699.0,13.2,7.36,0.0,0.0,
2016.0,1575.0,52.5,52.8,8.0,,,,,,,0.0,0.0,
1998.0,231.0,,10.1,8.0,3968967.0,3.5,826.0,533.0,9.2,5.15,0.0,0.0,
1994.0,187.0,,9.0,8.0,3653910.0,4.300000190734863,786.0,502.0,9.0,3.0,0.0,0.0,
1981.0,87.0,,5.5,8.0,2977898.0,5.5,556.0,326.0,9.6,1.9,0.0,0.0,
1983.0,61.0,,4.0,8.0,3133630.0,7.300000190734863,584.0,362.0,12.6,2.5,0.0,0.0,
1987.0,115.0,,6.5,8.0,3260480.0,7.5,639.0,398.0,12.5,3.0,0.0,0.0,
1995.0,224.0,,10.3,8.0,3738061.0,4.0,798.0,514.0,8.8,3.0,0.0,0.0,
2007.0,1200.0,45.4,45.5,8.0,4803868.0,3.799999952316284,950.0,648.0,9.8,6.85,0.0,0.0,
2004.0,961.0,38.3,38.4,8.0,4575013.0,5.599999904632568,903.0,601.0,10.0,5.15,0.0,0.0,
1988.0,114.0,,6.5,8.0,3262281.0,6.400000095367432,672.0,412.0,12.5,3.0,0.0,0.0,
1990.0,105.0,,5.9,8.0,3294473.0,5.099999904632568,720.0,444.0,13.7,3.0,0.0,0.0,
1989.0,100.0,,5.4,8.0,3275818.0,5.599999904632568,685.0,426.0,12.1,3.0,0.0,0.0,
1986.0,113.0,,6.4,8.0,3237450.0,7.5,636.0,394.0,13.5,3.0,0.0,0.0,
2014.0,1438.0,49.5,49.9,8.0,5355866.0,5.0,1193.0,,,8.0,0.0,0.0,
1982.0,100.0,,6.5,8.0,3061564.0,7.800000190734863,558.0,341.0,12.6,1.9,0.0,0.0,
1985.0,74.0,,4.3,8.0,3208723.0,6.0,627.0,383.0,10.2,3.0,0.0,0.0,
1999.0,669.0,28.9,28.8,8.0,4056133.0,3.0,844.0,536.0,8.5,5.15,0.0,0.0,
1991.0,128.0,,6.8,8.0,3367567.0,5.400000095367432,745.0,452.0,10.4,3.0,0.0,0.0,
2009.0,1289.0,47.1,47.4,8.0,4972195.0,8.100000381469727,1149.0,699.0,12.3,7.28,0.0,0.0,
2001.0,789.0,32.6,32.5,8.0,4425687.0,3.799999952316284,866.0,568.0,8.7,5.15,0.0,0.0,
2015.0,1466.0,49.6,49.8,8.0,,,,,,,0.0,0.0,
2000.0,715.0,30.4,30.2,8.0,4326921.0,2.700000047683716,851.0,549.0,9.8,5.15,0.0,0.0,
2005.0,992.0,39.0,39.1,8.0,4631888.0,5.099999904632568,931.0,604.0,11.4,5.15,0.0,0.0,
1984.0,76.0,,4.6,8.0,3169992.0,5.400000095367432,603.0,372.0,8.9,3.0,0.0,0.0,
1993.0,145.0,,7.2,8.0,3560884.0,5.300000190734863,771.0,490.0,9.9,3.0,0.0,0.0,
2002.0,848.0,34.5,34.6,8.0,4490406.0,5.699999809265137,884.0,582.0,9.8,5.15,0.0,0.0,
1992.0,140.0,,7.1,8.0,3459995.0,6.0,767.0,478.0,10.8,3.0,0.0,0.0,
2008.0,1163.0,43.2,42.9,8.0,4889730.0,4.800000190734863,974.0,662.0,11.0,7.02,0.0,0.0,
2013.0,1322.0,46.1,46.0,8.0,5268367.0,6.800000190734863,1229.0,,10.6,7.78,0.0,0.0,
1997.0,175.0,,7.9,8.0,3891293.0,3.4000000953674316,818.0,546.0,8.2,5.15,0.0,0.0,
2012.0,1414.0,49.9,49.8,8.0,5189458.0,7.800000190734863,1229.0,,11.9,7.64,0.0,0.0,
1980.0,67.0,,4.5,8.0,2889964.0,5.900000095367432,504.0,293.0,8.6,1.9,0.0,0.0,
2016.0,1128.0,59.6,60.9,9.0,,,,,,,0.0,0.0,
1993.0,190.0,,10.5,9.0,3272325.0,6.400000095367432,1023.0,747.0,8.5,4.27,0.0,0.0,
1985.0,13.0,,0.7,9.0,3201131.0,4.599999904632568,778.0,466.0,7.6,3.37,0.0,0.0,
1991.0,53.0,,2.9,9.0,3288640.0,6.5,997.0,766.0,8.6,4.27,0.0,0.0,
1984.0,20.0,,1.2,9.0,3180014.0,4.5,749.0,455.0,6.9,3.37,0.0,0.0,
2009.0,541.0,28.2,28.6,9.0,3561807.0,8.199999809265137,1227.0,842.0,8.4,8.0,0.0,0.0,
2015.0,968.0,50.9,51.3,9.0,,,,,,,0.0,0.0,
1988.0,38.0,,2.2,9.0,3271953.0,2.9000000953674316,861.0,747.0,4.0,4.25,0.0,0.0,
1989.0,33.0,,1.9,9.0,3283403.0,3.5999999046325684,892.0,752.0,2.9,4.25,0.0,0.0,
2005.0,449.0,23.9,24.2,9.0,3506956.0,4.900000095367432,1174.0,747.0,9.3,7.1,0.0,0.0,
2003.0,446.0,23.9,24.0,9.0,3484336.0,5.5,1134.0,735.0,8.1,6.9,0.0,0.0,
2000.0,484.0,26.6,26.5,9.0,3411777.0,2.299999952316284,1067.0,748.0,7.7,6.15,0.0,0.0,
2001.0,437.0,23.8,23.8,9.0,3432835.0,3.0999999046325684,1083.0,748.0,7.3,6.4,0.0,0.0,
2014.0,792.0,41.4,42.6,9.0,3596677.0,6.599999904632568,1295.0,,,8.7,0.0,0.0,
1992.0,119.0,,6.6,9.0,3274997.0,7.300000190734863,1019.0,747.0,9.8,4.27,0.0,0.0,
1990.0,41.0,,2.3,9.0,3287116.0,4.900000095367432,947.0,752.0,6.0,4.25,0.0,0.0,
1996.0,205.0,,11.3,9.0,3267030.0,5.300000190734863,1031.0,470.0,11.7,4.77,0.0,0.0,
