year,state,yearstate,fips,yearx,tl_onset,house_delay,sen_delay,comb_delay,repeal,standardpoors,sp25,moodys,m25,fitch,f19,grants,igr,gopshare,totalrevenue,total_general_revenue,totalexp,deficit,general_revenue_from_taxes,fullfaithandcredit,nonguaranteeddebt,totallongtermdebt,squire_score,debtlimit,bsf_deposit,bsf_withdrawal,bsf_size,tel,income,unemployment,schoolagepopulation,over65population,gsp,popgrowth,population,populationdensity,exp_highways,exp_welfare,exp_education,handh,govdem,dividedgov,demcontrol,termlimits_governor,termlimits_house,termlimits_senate,termlimits_e,seats_house,seats_senate,initiatives,cpi,v57,grants_total,emptot,empwagesalary,emppriv,totempgovt,fedempciv,fedempmil,govtempsandl,totalexpipolated,highwaysipolated,welfareipolated,educationipolated,handhipolated,exp_real,exp_highways_real,exp_welfare_real,exp_education_real,handh_real,income_real,grants_real,igr_real,gsp_real,totallongtermdebt_i,nonguaranteeddebt_i,total_debt_real,nong_debt_real,exp_real_pc,exp_highways_real_pc,exp_welfare_real_pc,exp_education_real_pc,exp_handh_real_pc,income_real_pc,grants_real_pc,gsp_real_inc,fedempciv_pc,fedempmil_pc,govtempsandl_pc,exp_inc,total_debt_real_pc,nong_debt_real_pc,_Iyear_1980,_Iyear_1981,_Iyear_1982,_Iyear_1983,_Iyear_1984,_Iyear_1985,_Iyear_1986,_Iyear_1987,_Iyear_1988,_Iyear_1989,_Iyear_1990,_Iyear_1991,_Iyear_1992,_Iyear_1993,_Iyear_1994,_Iyear_1995,_Iyear_1996,_Iyear_1997,_Iyear_1998,_Iyear_1999,_Iyear_2000,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Ifips_4,_Ifips_5,_Ifips_6,_Ifips_8,_Ifips_9,_Ifips_10,_Ifips_12,_Ifips_13,_Ifips_16,_Ifips_17,_Ifips_18,_Ifips_19,_Ifips_20,_Ifips_21,_Ifips_22,_Ifips_23,_Ifips_24,_Ifips_25,_Ifips_26,_Ifips_27,_Ifips_28,_Ifips_29,_Ifips_30,_Ifips_32,_Ifips_33,_Ifips_34,_Ifips_35,_Ifips_36,_Ifips_37,_Ifips_38,_Ifips_39,_Ifips_40,_Ifips_41,_Ifips_42,_Ifips_44,_Ifips_45,_Ifips_46,_Ifips_47,_Ifips_48,_Ifips_49,_Ifips_50,_Ifips_51,_Ifips_53,_Ifips_54,_Ifips_55,_Ifips_56
1996,Idaho,Idaho1996,16,18,1,1,1,1,1,(I),0.0,(I),0.0,(I),0.0,887463000.0,843660000.0,0.60226965,4383.68,4739.8,3501.298,882.382,2541.9,525.178,1676.492,2201.67,0.11,1,1,1,3,1,20248,5.3,0.2141648,0.1128634,28152,0.021881,1203083,14.54,346.443,528.432,1360.952,105.593,0.0,0,0,0,0,0,0,70,35,1,1.2,337.0,887.0,693616,535460,547872,106209,12715,9443,84051,3501.298,346.443,528.432,1360.952,105.593,4201.558,415.7316,634.1184,1633.1425,126.71161,24297.602,1064955650.0,1012392060.0,33782.402,2201.67,1676.491943359375,2642.0042,2011.7904,349.2326,34.55552,52.707787,135.74644,10.532242,2019.6115,88518890.0,2807.986,1056.868,784.90015,6986.3013,0.17292069,219.60281,167.21959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Idaho,Idaho1997,16,19,1,1,1,1,1,AA,23.0,A1,21.0,(I),0.0,936091000.0,839338000.0,0.60226965,4289.18,4947.396,3674.21,614.97,2719,674.071,1953.818,2627.889,0.11,1,1,1,3,1,20648,5.1,0.2111842,0.1119436,28510,0.0211432,1228520,14.85,396.677,599.005,1345.736,130.326,0.0,0,0,0,0,0,0,70,35,1,1.18,393.0,936.0,713230,549929,567146,109099,12766,10003,86330,3674.21,396.677,599.005,1345.736,130.326,4335.5674,468.07883,706.82587,1587.9684,153.78468,24364.639,1104587400.0,990418800.0,33641.797,2627.889,1953.8179931640625,3100.909,2305.5051,352.9098,38.101036,57.534748,129.25865,12.517882,1983.2513,89912040.0,2738.4004,1039.1365,814.23175,7027.155,0.17794506,252.41013,187.66525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Idaho,Idaho1998,16,20,1,1,1,1,1,(I),0.0,(I),0.0,(I),0.0,947460000.0,858057000.0,0.60226965,4705.17,5352.621,3785.613,919.557,2868.8,709.033,2149.956,2858.989,0.11,1,1,1,3,1,21789,5.1,0.207498,0.1116846,29800,0.019381,1252330,15.13,397.106,594.902,1402.567,138.525,0.0,0,0,0,0,0,0,70,35,1,1.16,934.0,934.0,739755,570024,588139,111231,12709,9852,88670,3785.613,397.106,594.902,1402.567,138.525,4391.311,460.64294,690.0863,1626.9777,160.689,25275.24,1099053600.0,995346100.0,34568.0,2858.989,2149.9560546875,3316.4272,2493.949,350.65128,36.78287,55.10419,129.91605,12.8312025,2018.2572,87760696.0,2760.295,1014.82837,786.6936,7080.4023,0.17373964,264.82056,199.14471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Idaho,Idaho1999,16,21,1,1,1,1,1,(I),0.0,(I),0.0,(I),0.0,1111191000.0,957488000.0,0.60226965,4870.43,5714.746,4230.335,640.095,3039.3,758.579,2376.077,3134.656,0.11,1,1,1,3,1,22786,4.9,0.2019552,0.1113364,32653,0.0186405,1275674,15.42,422.052,691.134,1537.18,139.037,0.0,0,0,0,0,0,0,70,35,1,1.13,1109.0,1109.0,758640,587296,605071,114490,12662,9718,92110,4230.335,422.052,691.134,1537.18,139.037,4780.2783,476.91876,780.9814,1737.0134,157.11182,25748.18,1255645800.0,1081961500.0,36897.89,3134.656,2376.076904296875,3542.1614,2684.9668,374.7257,37.38563,61.221077,136.16437,12.315985,2018.3981,98429990.0,2892.423,992.57336,761.7934,7220.4966,0.18565501,277.6698,210.47437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Idaho,Idaho2000,16,22,1,1,1,1,1,(I),0.0,(I),0.0,(I),0.0,1229225000.0,1070050000.0,0.6582078,5576.28,6076.954,4492.552,1083.728,3294.2,788.739,2628.706,3417.445,0.11,1,1,1,3,1,24077,4.6,0.2094358,0.112731,34989,0.018921,1299811,15.71,470.498,761.531,1663.98,141.199,0.0,0,0,0,0,0,0,70,35,1,1.1,1229.0,1229.0,787929,610881,628468,117850,13413,9536,94901,4492.552,470.498,761.531,1663.98,141.199,4941.807,517.5478,837.68414,1830.378,155.31891,26484.701,1352147600.0,1177055000.0,38487.902,3417.445,2628.7060546875,3759.1897,2891.5767,380.19427,39.817158,64.44661,140.81879,11.949346,2037.5809,104026480.0,2961.0383,1031.9193,733.64514,7301.138,0.186591,289.21048,222.46132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Idaho,Idaho2001,16,23,1,1,1,1,1,(I),0.0,(I),0.0,(I),0.0,1383654000.0,1226469000.0,0.6582078,5286.1,,4951.659,334.441,,,,,0.11,1,1,1,3,1,25024,4.9,0.2056459,0.1128007,35631,0.0166447,1321446,15.97,501.659,922.92,1768.837,146.784,0.0,0,0,0,0,0,0,70,35,1,1.07,1384.0,1384.0,795644,620855,636182,119255,12943,9700,96612,4951.659,501.659,922.92,1768.837,146.784,5298.2754,536.77515,987.5244,1892.6558,157.05888,26775.682,1480509800.0,1312321900.0,38125.17,3692.1954999999143,2853.655029296875,3950.6494,3053.4111,400.94528,40.620285,74.73059,143.22612,11.885381,2026.2411,112037100.0,2885.11,979.45734,734.0444,7311.082,0.1978764,298.9641,231.0659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Idaho,Idaho2002,16,24,1,1,1,1,1,(I),0.0,Aa3,22.0,(NA),0.0,1560005000.0,1324351000.0,0.6582078,4487.67,6619.627,5234.047,-746.377,3291.095,888.342,3078.604,3966.946,0.11,1,1,1,3,1,25221,5.4,0.2022978,0.1132268,36651,0.017269,1344266,16.25,499.916,1003.118,1829.52,158.166,0.0,0,0,0,0,0,0,70,35,1,1.05,1560.0,1560.0,802181,622469,639650,121127,13224,9749,98154,5234.047,499.916,1003.118,1829.52,158.166,5495.749,524.91174,1053.2738,1920.996,166.0743,26482.049,1638005100.0,1390568400.0,38483.547,3966.946,3078.60400390625,4165.293,3232.534,408.82898,39.048206,78.35308,142.90297,12.354273,1970.0006,121851260.0,2862.7925,983.7339,725.2285,7301.6797,0.20752734,309.8563,240.46832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Idaho,Idaho2003,16,25,0,0,0,0,1,AA-,22.0,Aa3,22.0,(NA),0.0,1651106000.0,1449188000.0,0.6582078,5492.99,,5415.138,77.852,,,,,0.138,1,1,1,3,1,25524,5.2,0.1987271,0.1137201,38148,0.0172302,1367428,16.53,521.746,1092.616,1886.421,161.835,0.0,0,0,0,0,0,0,70,35,1,1.03,1651.0,1651.0,813043,627298,649791,123375,13682,9764,99929,5415.138,521.746,1092.616,1886.421,161.835,5577.5923,537.3983,1125.3944,1943.0135,166.69005,26289.719,1700639100.0,1492663600.0,39292.438,3983.727999999999,3036.6109619140625,4103.2397,3127.7092,407.88928,39.299934,82.30009,142.09256,12.1900425,1922.5669,124367730.0,2873.4556,1000.5646,714.04126,7307.807,0.2121587,300.0699,228.72935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Idaho,Idaho2004,16,26,0,0,0,0,1,AA-,22.0,Aa2,23.0,(NA),0.0,1900491000.0,1735963000.0,0.70084876,7112.36,7757.897,5762.624,1349.736,3805.827,1005.892,2994.618,4000.51,0.138,1,1,1,3,1,27361,4.6,0.1957535,0.1142404,42626,0.0198153,1394524,16.85,524.242,1197.42,2013.929,151.627,0.0,0,0,0,0,0,0,70,35,1,1.0,1900.0,1900.491,841031,642788,676507,124743,13375,10063,101305,5762.624,524.242,1197.42,2013.929,151.627,5762.624,524.242,1197.42,2013.929,151.627,27361.0,1900491000.0,1735963000.0,42626.0,4000.51,2994.617919921875,4000.51,2994.618,413.23233,37.5929,85.86586,144.41695,10.873029,1962.0315,136282420.0,3056.6702,959.10864,721.6082,7264.486,0.21061452,286.8728,214.74123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Idaho,Idaho2005,16,27,0,0,0,0,1,AA-,22.0,Aa2(II),23.0,(NA),0.0,1813746000.0,1739865000.0,0.70084876,7204.27,8299.784,6030.894,1173.376,4182.872,,,3952.878,0.138,1,1,1,3,1,28650,3.7,0.1876312,0.1146998,46584,0.0247913,1429096,17.27062,563.206,1318.483,2029.231,166.427,0.0,0,0,0,0,0,0,70,35,1,0.97,,1813.746,878647,665866,714248,125049,13122,9615,102312,6030.894,563.206,1318.483,2029.231,166.427,5849.9673,546.3098,1278.9286,1968.3541,161.4342,27790.5,1759333600.0,1687669100.0,45186.48,3952.878,2952.6248779296875,3834.2917,2864.0461,409.3474,38.22765,89.49214,137.7342,11.296247,1944.621,123108150.0,3161.8926,918.2028,672.8029,7159.211,0.21050242,268.3019,200.40964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Idaho,Idaho2006,16,28,0,0,0,0,1,AA-,22.0,Aa2(II),23.0,(NA),0.0,1829057000.0,1823377000.0,0.70084876,7785.62,8853.607,6228.318,1557.302,4498.509,,,4419.358,0.138,1,1,1,3,1,30374,3.0,0.1918334,0.1153611,48557,0.0243385,1463878,17.72223,600.953,1360.709,2109.126,182.889,0.0,0,0,0,0,0,0,70,35,1,0.94,,1829.057,917825,693843,752950,125612,12915,9785,102912,6228.318,600.953,1360.709,2109.126,182.889,5854.6187,564.8958,1279.0664,1982.5784,171.91566,28551.56,1719313500.0,1713974400.0,45643.58,4419.358,2910.6318359375,4154.1963,2735.994,399.93896,38.588997,87.375206,135.4333,11.743852,1950.4058,117449240.0,3117.9905,882.24567,668.43,7030.094,0.20505424,283.7802,186.9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Idaho,Idaho2007,16,29,0,0,0,0,1,AA,23.0,Aa2,23.0,(NA),0.0,2031444000.0,,0.70084876,9095.15,9365.553,6711.196,2383.954,4736.005,,,5121.301,0.138,1,1,1,3,1,31804,3.0,0.1927982,0.1166772,52110,0.024267,1499402,18.12027,632.101,1409.874,2448.743,132.755,0.0,0,0,0,0,0,0,70,35,1,0.91,,2031.444,947483,709165,782903,126704,12896,10006,103802,6711.196,632.101,1409.874,2448.743,132.755,6107.1885,575.2119,1282.9854,2228.3562,120.80706,28941.64,1848614100.0,,47420.1,5121.301,2868.6387939453125,4660.3843,2610.4614,407.3083,38.362755,85.56647,148.61633,8.057016,1930.2123,123290100.0,3162.6008,860.07623,667.3327,6922.893,0.21101736,310.8162,174.10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Illinois,Illinois1979,17,1,0,0,0,0,0,.,,.,,.,,3782934000.0,2332888000.0,0.5837187,11201.9,17085.7,10418.0,783.9,11209.3,6450.1,6013.0,12463.1,0.344,1,2,1,3,0,10152,5.5,0.2147148,0.1092866,139925,-0.0013778,11396837,205.04,1044.0,2306.0,3423.0,584.0,0.0,1,0,0,0,0,0,177,59,1,2.6,4191.0,3783.0,5810730,5088761,4846593,809785,104928,63320,641537,10418.0,1044.0,2306.0,3423.0,584.0,27086.799,2714.4,5995.5996,8899.8,1518.3999,26395.2,9835629000.0,6065508400.0,363805.0,12463.1,6013.0,32404.059,15633.8,237.66945,23.817133,52.607574,78.09009,13.322994,231.60109,86301390.0,3192.1577,920.6765,555.5928,5629.0796,1.0262017,284.325,137.17665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Illinois,Illinois1980,17,2,0,0,0,0,0,.,,.,,.,,4476964000.0,2764181000.0,0.55890226,12729.9,19347.3,12429.0,300.9,12375.2,6814.4,7350.9,14165.3,0.344,1,2,1,3,0,11005,8.2,0.2101253,0.1104448,146414,0.0026043,11426518,205.57,1352.0,2553.0,4044.0,647.0,0.0,1,0,0,0,0,0,177,59,1,2.29,4304.0,4477.0,5687999,4951475,4742390,799223,103985,68533,626705,12429.0,1352.0,2553.0,4044.0,647.0,28462.41,3096.0798,5846.37,9260.76,1481.63,25201.45,10252247000.0,6329974300.0,335288.06,14165.3,7350.89990234375,32438.537,16833.56,249.09085,27.095568,51.164932,81.04621,12.966593,220.5523,89723280.0,2934.2979,910.0323,599.7715,5484.6543,1.1293958,283.8882,147.32013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Illinois,Illinois1981,17,3,0,0,0,0,0,.,,.,,.,,4610352000.0,3180553000.0,0.55890226,14250.2,21395,11776.0,2474.2,13306,7733.6,7486.7,15220.3,0.344,1,2,1,3,0,12196,8.6,0.2035224,0.112466,160806,0.0014825,11443458,205.88,1446.0,2808.0,4310.0,738.0,0.0,1,0,0,0,0,0,177,59,1,2.08,4688.0,4610.0,5684033,4938226,4747325,792356,102617,70101,619638,11776.0,1446.0,2808.0,4310.0,738.0,24494.078,3007.68,5840.6396,8964.8,1535.0399,25367.68,9589532000.0,6615550000.0,334476.47,15220.3,7486.7001953125,31658.223,15572.336,214.04437,26.282965,51.039116,78.33996,13.414126,221.67845,83799250.0,2922.8618,896.7307,612.5858,5414.7793,0.9655624,276.64908,136.08069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Illinois,Illinois1982,17,4,0,0,0,0,0,.,,.,,.,,4102545000.0,2904497000.0,0.55890226,14417.6,21897.4,20518.0,-6100.4,13673,7509.7,7968.3,15478.0,0.344,1,2,1,3,0,12921,11.3,0.1990649,0.1144142,165181,-0.0017517,11423412,205.52,1626.0,3198.0,7108.0,1389.0,0.0,1,0,0,0,0,0,177,59,1,1.96,5010.0,4103.0,5582942,4802082,4659073,784234,100609,71739,611886,20518.0,1626.0,3198.0,7108.0,1389.0,40215.28,3186.96,6268.08,13931.681,2722.44,25325.16,8040988000.0,5692814300.0,323754.78,15478.0,7968.2998046875,30336.88,15617.868,352.04263,27.898495,54.870472,121.95726,23.832108,221.69524,70390424.0,2834.1338,880.7264,627.99976,5356.421,1.5879576,265.5676,136.71806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,Illinois,Illinois1983,17,5,0,0,0,0,0,.,,.,,.,,4191166000.0,2990643000.0,0.55890226,15119.9,23066.5,21789.0,-6669.1,14418.1,8251.6,9240.0,17491.6,0.344,1,2,1,3,0,13459,11.7,0.1952875,0.1163135,173528,-0.0012776,11408818,205.25,1831.0,3227.0,7524.0,1400.0,0.0,1,0,0,0,0,0,177,59,1,1.9,4468.0,4191.0,5541505,4756366,4619844,777480,100842,71850,604788,21789.0,1831.0,3227.0,7524.0,1400.0,41399.098,3478.9,6131.3,14295.6,2660.0,25572.1,7963215400.0,5682221600.0,329703.2,17491.6,9240.0,33234.04,17556.0,362.8693,30.493078,53.74176,125.30307,23.315298,224.14328,69798776.0,2889.898,883.89526,629.776,5301.0576,1.6189166,291.30133,153.88097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,Illinois,Illinois1984,17,6,0,0,0,0,0,.,,.,,.,,4303811000.0,3416139000.0,0.55404395,16470.3,25715.8,23369.0,-6898.7,16167.5,7961.9,10559.2,18521.1,0.344,1,2,1,3,0,14873,9.1,0.1935659,0.1176818,194740,0.0002905,11412132,205.31,2060.0,3403.0,7850.0,1507.0,0.0,1,0,0,0,0,0,118,59,1,1.82,4670.0,4304.0,5745857,4955666,4828087,782670,103924,73948,604798,23369.0,2060.0,3403.0,7850.0,1507.0,42531.582,3749.2002,6193.46,14287.0,2742.74,27068.861,7832936400.0,6217373000.0,354426.8,18521.1,10559.2001953125,33708.402,19217.744,372.68744,32.85276,54.27084,125.19133,24.033546,237.19373,68636930.0,3105.702,910.6449,647.9771,5299.606,1.5712365,295.3734,168.39749,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Illinois,Illinois1985,17,7,0,0,0,0,0,.,,.,,.,,4688411000.0,3770137000.0,0.55404395,17573.0,27398.9,25067.0,-7494.0,17006.9,8283.0,12356.0,20639.0,0.344,1,2,1,3,0,15661,9.1,0.192284,0.1191248,206509,-0.0010801,11399806,205.09,2403.0,3614.0,8371.0,1621.0,0.0,1,0,0,0,0,0,118,59,1,1.76,4989.0,4688.0,5813905,5005694,4892078,789780,105500,75872,608408,25067.0,2403.0,3614.0,8371.0,1621.0,44117.918,4229.28,6360.64,14732.96,2852.96,27563.36,8251603500.0,6635441000.0,363455.84,20639.0,12356.0,36324.64,21746.56,387.00586,37.099575,55.79604,129.2387,25.02639,241.78796,72383720.0,3188.2634,925.45435,665.5552,5337.003,1.6006002,318.6426,190.76254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Illinois,Illinois1986,17,8,0,0,0,0,0,.,,.,,.,,5009911000.0,3986653000.0,0.55404395,19437.2,28606.1,27155.0,-7717.8,17866.2,9306.0,15430.0,24736.0,0.302,1,2,1,3,0,16424,8.3,0.1920568,0.1206612,218492,-0.0011008,11387257,204.87,2403.0,3811.0,9198.0,1752.0,0.0,1,0,0,0,0,0,118,59,1,1.72,5280.0,5010.0,5926527,5092193,4988615,805461,104729,80382,620350,27155.0,2403.0,3811.0,9198.0,1752.0,46706.6,4133.16,6554.92,15820.561,3013.44,28249.281,8617047000.0,6857043500.0,375806.25,24736.0,15430.0,42545.92,26539.6,410.16553,36.296364,57.563644,138.93214,26.463264,248.07802,75672720.0,3300.235,919.7035,705.8943,5447.7563,1.6533731,373.62747,233.06403,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Illinois,Illinois1987,17,9,0,0,0,0,0,.,,.,,.,,4467816000.0,4027138000.0,0.55404395,20632.0,30040.3,29170.0,-8538.0,18872.2,10245.0,16410.0,26655.0,0.302,1,2,1,3,0,17347,7.4,0.1907617,0.1221998,230594,0.0003443,11391178,204.94,2549.0,3905.0,9999.0,1824.0,0.0,1,0,0,0,0,0,118,59,1,1.66,5954.0,4468.0,6071556,5224966,5135611,809481,106808,78946,623727,29170.0,2549.0,3905.0,9999.0,1824.0,48422.2,4231.34,6482.3,16598.34,3027.8398,28796.02,7416574500.0,6685049000.0,382786.03,26655.0,16410.0,44247.3,27240.6,425.08508,37.145763,56.906315,145.71223,26.580568,252.79228,65108056.0,3360.3726,937.6379,693.0451,5475.527,1.6815587,388.4348,239.13768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Illinois,Illinois1988,17,10,0,0,0,0,0,.,,.,,.,,4670274000.0,3908730000.0,0.5376088,20549.2,31673.1,30329.0,-9779.8,20692.5,11287.0,16129.0,27416.0,0.302,1,2,1,3,0,18613,6.8,0.1880567,0.123264,251086,-8.73e-05,11390183,204.92,2707.0,3980.0,10289.0,1867.0,0.0,1,0,0,0,0,0,118,59,1,1.6,6937.0,4670.0,6232088,5353131,5298237,815094,108227,76632,630235,30329.0,2707.0,3980.0,10289.0,1867.0,48526.402,4331.2,6368.0,16462.4,2987.2,29780.8,7472438300.0,6253968000.0,401737.6,27416.0,16129.0,43865.6,25806.4,426.03708,38.02573,55.907795,144.53148,26.226093,261.46024,65604200.0,3527.0513,950.17786,672.7899,5533.142,1.6294527,385.1176,226.56703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Illinois,Illinois1989,17,11,0,0,0,0,0,.,,.,,.,,4989002000.0,4205648000.0,0.5376088,22243.1,33442.6,20345.0,1898.1,21794.5,11865.0,17265.0,29130.0,0.302,1,2,1,3,0,19770,6.1,0.1851043,0.124367,265152,0.0017207,11409782,205.27,2055.679,4145.439,6185.822,1183.715,0.0,1,0,0,0,0,0,118,59,1,1.52,7845.0,4989.0,6341945,5472472,5402799,823236,108581,77231,637424,26200.5,2448.5,4208.5,8388.5,1630.0,30924.4,3124.632,6301.0674,9402.449,1799.2467,30050.4,7583283000.0,6392584700.0,403031.03,29130.0,17265.0,44277.598,26242.799,271.03412,27.385555,55.225132,82.40691,15.769335,263.37402,66463000.0,3532.3289,951.6483,676.8841,5586.645,1.0290844,388.067,230.00262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
