state,year,office,dist,type,dem_share,dem_win,dem_share_next,dem_win_next,state_type2,gov_dem,st_dem
AK,1978,H,98.0,G,0.4450144,0.0,0.25921527,0.0,,0.0,
AK,1978,S,2.0,G,0.24170256,0.0,0.28584066,0.0,,0.0,
AK,1980,H,98.0,G,0.25921527,0.0,0.28845376,0.0,R,0.0,0.0
AK,1980,S,3.0,G,0.46109268,0.0,0.44941685,0.0,R,0.0,0.0
AK,1982,G,,G,0.5543342,1.0,0.5260997,1.0,R,0.0,0.0
AK,1982,H,98.0,G,0.28845376,0.0,0.4310488,0.0,R,0.0,0.0
AK,1984,H,98.0,G,0.4310488,0.0,0.4211098,0.0,R,1.0,0.0
AK,1984,S,2.0,G,0.28584066,0.0,0.32708952,0.0,R,1.0,0.0
AK,1986,G,,G,0.5260997,1.0,,,,1.0,
AK,1986,H,98.0,G,0.4211098,0.0,0.37345436,0.0,,1.0,
AK,1986,S,3.0,G,0.44941685,0.0,0.41995093,0.0,,1.0,
AK,1988,H,98.0,G,0.37345436,0.0,0.4807898,0.0,,1.0,
AK,1990,H,98.0,G,0.4807898,0.0,0.47789493,0.0,,1.0,
AK,1990,S,2.0,G,0.32708952,0.0,0.11877446,0.0,,1.0,
AK,1992,H,98.0,G,0.47789493,0.0,0.36512434,0.0,,,
AK,1992,S,3.0,G,0.41995093,0.0,0.2093267,0.0,,,
AK,1994,G,,G,0.50153273,1.0,0.7416004,1.0,,,
AK,1994,H,98.0,G,0.36512434,0.0,0.38006145,0.0,,,
AK,1996,H,98.0,G,0.38006145,0.0,0.35605878,0.0,,1.0,
AK,1996,S,2.0,G,0.11877446,0.0,0.11854832,0.0,,1.0,
AK,1998,G,,G,0.7416004,1.0,0.42249605,0.0,,1.0,
AK,1998,H,98.0,G,0.35605878,0.0,0.19206381,0.0,,1.0,
AK,1998,S,3.0,G,0.2093267,0.0,0.4834649,0.0,,1.0,
AK,2000,H,98.0,G,0.19206381,0.0,0.18827318,0.0,,1.0,
AK,2002,G,,G,0.42249605,0.0,0.45881048,0.0,,1.0,
AK,2002,H,98.0,G,0.18827318,0.0,0.23930216,0.0,,1.0,
AK,2002,S,2.0,G,0.11854832,0.0,0.5065975,1.0,,1.0,
AK,2004,H,98.0,G,0.23930216,0.0,0.41425368,0.0,,0.0,
AK,2004,S,3.0,G,0.4834649,0.0,,,,0.0,
AK,2006,G,,G,0.45881048,0.0,0.38944548,0.0,,0.0,
AK,2006,H,98.0,G,0.41425368,0.0,0.4728374,0.0,,0.0,
AK,2008,H,98.0,G,0.4728374,0.0,0.30675521,0.0,,0.0,
AK,2008,S,2.0,G,0.5065975,1.0,,,,0.0,
AK,2010,G,,G,0.38944548,0.0,,,,0.0,
AK,2010,H,98.0,G,0.30675521,0.0,0.30917186,0.0,,0.0,
AK,2012,H,98.0,G,0.30917186,0.0,,,,0.0,
AL,1876,ATTY GENL,,G,0.636048,1.0,,1.0,,0.0,
AL,1876,AUDITOR,,G,0.6356327,1.0,,1.0,,0.0,
AL,1876,G,,G,0.63387096,1.0,,1.0,,0.0,
AL,1876,H,1.0,G,0.83231086,1.0,,1.0,,0.0,
AL,1876,H,2.0,G,0.5490205,1.0,0.56025183,1.0,,0.0,
AL,1876,H,3.0,G,0.783375,1.0,,1.0,,0.0,
AL,1876,H,4.0,G,0.52687585,1.0,0.56537616,1.0,,0.0,
AL,1876,H,5.0,G,0.65771776,1.0,,1.0,,0.0,
AL,1876,H,6.0,G,1.0,1.0,,1.0,,0.0,
AL,1876,H,7.0,G,1.0,1.0,,1.0,,0.0,
AL,1876,H,8.0,G,1.0,1.0,,,,0.0,
AL,1876,SEC STATE,,G,0.63520133,1.0,,1.0,,0.0,
AL,1876,TREASURER,,G,0.6359211,1.0,,1.0,,0.0,
AL,1878,ATTY GENL,,G,1.0,1.0,,1.0,,1.0,
AL,1878,AUDITOR,,G,1.0,1.0,,1.0,,1.0,
AL,1878,G,,G,1.0,1.0,,1.0,,1.0,
AL,1878,H,1.0,G,1.0,1.0,0.64185125,1.0,,1.0,
AL,1878,H,2.0,G,0.56025183,1.0,0.599007,1.0,,1.0,
AL,1878,H,3.0,G,1.0,1.0,0.64522797,1.0,,1.0,
AL,1878,H,4.0,G,0.56537616,1.0,0.58309823,1.0,,1.0,
AL,1878,H,5.0,G,1.0,1.0,,1.0,,1.0,
AL,1878,H,6.0,G,1.0,1.0,,1.0,,1.0,
AL,1878,H,7.0,G,1.0,1.0,0.71377724,1.0,,1.0,
AL,1878,SEC STATE,,G,1.0,1.0,,1.0,,1.0,
AL,1878,TREASURER,,G,1.0,1.0,,1.0,,1.0,
AL,1880,ATTY GENL,,G,1.0,1.0,0.6989546,1.0,D,1.0,1.0
AL,1880,AUDITOR,,G,1.0,1.0,0.7008651,1.0,D,1.0,1.0
AL,1880,EDUCATION,,G,1.0,1.0,0.68848604,1.0,D,1.0,1.0
AL,1880,G,,G,1.0,1.0,0.6870493,1.0,D,1.0,1.0
AL,1880,H,1.0,G,0.64185125,1.0,0.57404864,1.0,D,1.0,1.0
AL,1880,H,2.0,G,0.599007,1.0,0.58435106,1.0,D,1.0,1.0
AL,1880,H,3.0,G,0.64522797,1.0,0.87886137,1.0,D,1.0,1.0
AL,1880,H,4.0,G,0.58309823,1.0,0.5839675,1.0,D,1.0,1.0
AL,1880,H,5.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1880,H,6.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1880,H,6.0,S,1.0,1.0,,1.0,D,1.0,1.0
AL,1880,H,7.0,G,0.71377724,1.0,0.80653554,1.0,D,1.0,1.0
AL,1880,PUB SRV C,0.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1880,PUB SRV C,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1880,PUB SRV C,2.0,G,,1.0,,1.0,D,1.0,1.0
AL,1880,SEC STATE,,G,1.0,1.0,0.69721055,1.0,D,1.0,1.0
AL,1880,TREASURER,,G,1.0,1.0,0.70195806,1.0,D,1.0,1.0
AL,1882,ATTY GENL,,G,0.6989546,1.0,,1.0,D,1.0,1.0
AL,1882,AUDITOR,,G,0.7008651,1.0,,1.0,D,1.0,1.0
AL,1882,EDUCATION,,G,0.68848604,1.0,,1.0,D,1.0,1.0
AL,1882,G,,G,0.6870493,1.0,,1.0,D,1.0,1.0
AL,1882,H,1.0,G,0.57404864,1.0,0.810541,1.0,D,1.0,1.0
AL,1882,H,2.0,G,0.58435106,1.0,0.5575731,1.0,D,1.0,1.0
AL,1882,H,3.0,G,0.87886137,1.0,0.71601146,1.0,D,1.0,1.0
AL,1882,H,4.0,S,0.5839675,1.0,0.6782206,1.0,D,1.0,1.0
AL,1882,H,5.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1882,H,6.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1882,H,7.0,G,0.80653554,1.0,0.63323516,1.0,D,1.0,1.0
AL,1882,H,8.0,G,0.5156323,1.0,,1.0,D,1.0,1.0
AL,1882,SEC STATE,,G,0.69721055,1.0,,1.0,D,1.0,1.0
AL,1882,TREASURER,,G,0.70195806,1.0,,1.0,D,1.0,1.0
AL,1883,H,1.0,S,0.810541,1.0,0.5807909,1.0,D,1.0,1.0
AL,1883,H,8.0,S,1.0,1.0,0.527645,1.0,D,1.0,1.0
AL,1884,ATTY GENL,,G,1.0,1.0,0.8877144,1.0,D,1.0,1.0
AL,1884,AUDITOR,,G,1.0,1.0,0.8867844,1.0,D,1.0,1.0
AL,1884,EDUCATION,,G,1.0,1.0,0.8340516,1.0,D,1.0,1.0
AL,1884,G,,G,1.0,1.0,0.7977162,1.0,D,1.0,1.0
AL,1884,H,1.0,G,0.5807909,1.0,,1.0,D,1.0,1.0
AL,1884,H,2.0,G,0.5575731,1.0,,1.0,D,1.0,1.0
AL,1884,H,3.0,G,0.71601146,1.0,,1.0,D,1.0,1.0
AL,1884,H,4.0,G,0.6782206,1.0,0.8087749,1.0,D,1.0,1.0
AL,1884,H,5.0,G,1.0,1.0,0.87762517,1.0,D,1.0,1.0
AL,1884,H,6.0,G,1.0,1.0,0.64586204,1.0,D,1.0,1.0
AL,1884,H,7.0,G,0.63323516,1.0,0.6209591,1.0,D,1.0,1.0
AL,1884,H,8.0,G,0.527645,1.0,0.5749151,1.0,D,1.0,1.0
AL,1884,PUB SRV C,0.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1884,PUB SRV C,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1884,PUB SRV C,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1884,SEC STATE,,G,1.0,1.0,0.79520565,1.0,D,1.0,1.0
AL,1884,TREASURER,,G,1.0,1.0,0.8011963,1.0,D,1.0,1.0
AL,1886,AGR & IND,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1886,ATTY GENL,,G,0.8877144,1.0,,1.0,D,1.0,1.0
AL,1886,AUDITOR,,G,0.8867844,1.0,,1.0,D,1.0,1.0
AL,1886,EDUCATION,,G,0.8340516,1.0,,1.0,D,1.0,1.0
AL,1886,G,,G,0.7977162,1.0,0.77722245,1.0,D,1.0,1.0
AL,1886,H,1.0,G,1.0,1.0,0.62003314,1.0,D,1.0,1.0
AL,1886,H,2.0,G,1.0,1.0,0.66090846,1.0,D,1.0,1.0
AL,1886,H,3.0,G,1.0,1.0,0.82246983,1.0,D,1.0,1.0
AL,1886,H,4.0,G,0.8087749,1.0,0.66053975,1.0,D,1.0,1.0
AL,1886,H,5.0,G,0.87762517,1.0,0.64739436,1.0,D,1.0,1.0
AL,1886,H,6.0,G,0.64586204,1.0,0.6775267,1.0,D,1.0,1.0
AL,1886,H,7.0,G,0.6209591,1.0,0.68176043,1.0,D,1.0,1.0
AL,1886,H,8.0,G,0.5749151,1.0,0.61637723,1.0,D,1.0,1.0
AL,1886,SEC STATE,,G,0.79520565,1.0,,1.0,D,1.0,1.0
AL,1886,TREASURER,,G,0.8011963,1.0,,1.0,D,1.0,1.0
AL,1888,AGR & IND,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1888,ATTY GENL,,G,1.0,1.0,0.7754584,1.0,D,1.0,1.0
AL,1888,AUDITOR,,G,1.0,1.0,0.772998,1.0,D,1.0,1.0
AL,1888,EDUCATION,,G,1.0,1.0,0.77314466,1.0,D,1.0,1.0
AL,1888,G,,G,0.77722245,1.0,0.7674695,1.0,D,1.0,1.0
AL,1888,H,1.0,G,0.62003314,1.0,0.80445725,1.0,D,1.0,1.0
AL,1888,H,2.0,G,0.66090846,1.0,0.79829973,1.0,D,1.0,1.0
AL,1888,H,3.0,G,0.82246983,1.0,0.91694945,1.0,D,1.0,1.0
AL,1888,H,5.0,G,0.64739436,1.0,,1.0,D,1.0,1.0
AL,1888,H,6.0,G,0.6775267,1.0,0.95209455,1.0,D,1.0,1.0
AL,1888,H,7.0,G,0.68176043,1.0,0.9210333,1.0,D,1.0,1.0
AL,1888,H,8.0,G,0.61637723,1.0,0.58210194,1.0,D,1.0,1.0
AL,1888,PUB SRV C,0.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1888,PUB SRV C,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1888,PUB SRV C,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1888,SEC STATE,,G,1.0,1.0,0.7717252,1.0,D,1.0,1.0
AL,1888,TREASURER,,G,1.0,1.0,0.773987,1.0,D,1.0,1.0
AL,1890,AGR & IND,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1890,ATTY GENL,,G,0.7754584,1.0,,1.0,D,1.0,1.0
AL,1890,AUDITOR,,G,0.772998,1.0,,1.0,D,1.0,1.0
AL,1890,EDUCATION,,G,0.77314466,1.0,,1.0,D,1.0,1.0
AL,1890,G,,G,0.7674695,1.0,,1.0,D,1.0,1.0
AL,1890,H,1.0,G,0.80445725,1.0,,,D,1.0,1.0
AL,1890,H,2.0,G,0.79829973,1.0,,,D,1.0,1.0
AL,1890,H,3.0,G,0.91694945,1.0,,,D,1.0,1.0
AL,1890,H,4.0,G,0.66053975,1.0,,,D,1.0,1.0
AL,1890,H,5.0,G,1.0,1.0,,,D,1.0,1.0
AL,1890,H,6.0,G,0.95209455,1.0,,,D,1.0,1.0
AL,1890,H,7.0,G,0.9210333,1.0,,,D,1.0,1.0
AL,1890,H,8.0,G,0.58210194,1.0,,,D,1.0,1.0
AL,1890,SEC STATE,,G,0.7717252,1.0,,1.0,D,1.0,1.0
AL,1890,TREASURER,,G,0.773987,1.0,,1.0,D,1.0,1.0
AL,1892,AGR & IND,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,ATTY GENL,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,AUDITOR,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,EDUCATION,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,G,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,H,1.0,G,0.924976,1.0,,1.0,D,1.0,1.0
AL,1892,H,2.0,G,0.9176464,1.0,,1.0,D,1.0,1.0
AL,1892,H,3.0,G,0.985295,1.0,,,D,1.0,1.0
AL,1892,H,4.0,G,0.8924173,1.0,,,D,1.0,1.0
AL,1892,H,5.0,G,0.8536988,1.0,0.6084912,1.0,D,1.0,1.0
AL,1892,H,6.0,G,0.8747255,1.0,0.7493124,1.0,D,1.0,1.0
AL,1892,H,7.0,G,0.99109817,1.0,,,D,1.0,1.0
AL,1892,H,8.0,G,0.8725819,1.0,,1.0,D,1.0,1.0
AL,1892,H,9.0,G,0.9773007,1.0,,1.0,D,1.0,1.0
AL,1892,PUB SRV C,0.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,PUB SRV C,1.0,G,1.0,1.0,,,D,1.0,1.0
AL,1892,SEC STATE,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1892,TREASURER,,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1894,AGR & IND,,G,1.0,1.0,0.59575933,1.0,D,1.0,1.0
AL,1894,ATTY GENL,,G,1.0,1.0,0.5976336,1.0,D,1.0,1.0
AL,1894,AUDITOR,,G,1.0,1.0,0.6028843,1.0,D,1.0,1.0
AL,1894,EDUCATION,,G,1.0,1.0,0.5938662,1.0,D,1.0,1.0
AL,1894,G,,G,1.0,1.0,0.5901101,1.0,D,1.0,1.0
AL,1894,H,1.0,G,1.0,1.0,0.73526686,1.0,D,1.0,1.0
AL,1894,H,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1894,H,3.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1894,H,3.0,S,1.0,1.0,,1.0,D,1.0,1.0
AL,1894,H,6.0,G,0.7493124,1.0,,1.0,D,1.0,1.0
AL,1894,H,8.0,G,1.0,1.0,0.573524,1.0,D,1.0,1.0
AL,1894,PUB SRV C,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1894,SEC STATE,,G,1.0,1.0,0.5993305,1.0,D,1.0,1.0
AL,1894,TREASURER,,G,1.0,1.0,0.60348856,1.0,D,1.0,1.0
AL,1896,AGR & IND,,G,0.59575933,1.0,,1.0,D,1.0,1.0
AL,1896,ATTY GENL,,G,0.5976336,1.0,,1.0,D,1.0,1.0
AL,1896,AUDITOR,,G,0.6028843,1.0,,1.0,D,1.0,1.0
AL,1896,EDUCATION,,G,0.5938662,1.0,,1.0,D,1.0,1.0
AL,1896,G,,G,0.5901101,1.0,,1.0,D,1.0,1.0
AL,1896,H,1.0,G,0.73526686,1.0,0.8472722,1.0,D,1.0,1.0
AL,1896,H,2.0,G,1.0,1.0,0.8495123,1.0,D,1.0,1.0
AL,1896,H,3.0,G,1.0,1.0,0.96935314,1.0,D,1.0,1.0
AL,1896,H,5.0,G,0.6084912,1.0,0.77930546,1.0,D,1.0,1.0
AL,1896,H,6.0,G,1.0,1.0,0.7043513,1.0,D,1.0,1.0
AL,1896,H,8.0,G,0.573524,1.0,,1.0,D,1.0,1.0
AL,1896,H,9.0,G,1.0,1.0,0.87192297,1.0,D,1.0,1.0
AL,1896,PUB SRV C,0.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1896,SEC STATE,,G,0.5993305,1.0,,1.0,D,1.0,1.0
AL,1896,TREASURER,,G,0.60348856,1.0,,1.0,D,1.0,1.0
AL,1898,AGR & IND,,G,1.0,1.0,0.8304504,1.0,D,1.0,1.0
AL,1898,ATTY GENL,,G,1.0,1.0,0.8218159,1.0,D,1.0,1.0
AL,1898,AUDITOR,,G,1.0,1.0,0.8278545,1.0,D,1.0,1.0
AL,1898,EDUCATION,,G,1.0,1.0,0.8085541,1.0,D,1.0,1.0
AL,1898,G,,G,1.0,1.0,0.8027141,1.0,D,1.0,1.0
AL,1898,H,1.0,G,0.8472722,1.0,0.8273418,1.0,D,1.0,1.0
AL,1898,H,2.0,G,0.8495123,1.0,,1.0,D,1.0,1.0
AL,1898,H,3.0,G,0.96935314,1.0,0.80848247,1.0,D,1.0,1.0
AL,1898,H,5.0,G,0.77930546,1.0,0.6695401,1.0,D,1.0,1.0
AL,1898,H,6.0,G,0.7043513,1.0,0.6568221,1.0,D,1.0,1.0
AL,1898,H,7.0,G,0.65923536,1.0,0.5183529,1.0,D,1.0,1.0
AL,1898,H,8.0,G,1.0,1.0,0.8475931,1.0,D,1.0,1.0
AL,1898,H,9.0,G,0.87192297,1.0,,1.0,D,1.0,1.0
AL,1898,PUB SRV C,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1898,PUB SRV C,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1898,SEC STATE,,G,1.0,1.0,0.8251852,1.0,D,1.0,1.0
AL,1898,TREASURER,,G,1.0,1.0,0.82987285,1.0,D,1.0,1.0
AL,1900,AGR & IND,,G,0.8304504,1.0,0.7591026,1.0,D,1.0,1.0
AL,1900,ATTY GENL,,G,0.8218159,1.0,0.7528893,1.0,D,1.0,1.0
AL,1900,AUDITOR,,G,0.8278545,1.0,0.748984,1.0,D,1.0,1.0
AL,1900,EDUCATION,,G,0.8085541,1.0,0.74415433,1.0,D,1.0,1.0
AL,1900,G,,G,0.8027141,1.0,0.73720866,1.0,D,1.0,1.0
AL,1900,H,1.0,G,0.8273418,1.0,0.90776783,1.0,D,1.0,1.0
AL,1900,H,2.0,G,1.0,1.0,0.8993806,1.0,D,1.0,1.0
AL,1900,H,3.0,G,0.80848247,1.0,0.9341943,1.0,D,1.0,1.0
AL,1900,H,4.0,G,0.9743101,1.0,0.6929895,1.0,D,1.0,1.0
AL,1900,H,5.0,G,0.6695401,1.0,0.78375804,1.0,D,1.0,1.0
AL,1900,H,6.0,G,0.6568221,1.0,,,D,1.0,1.0
AL,1900,H,7.0,G,0.5183529,1.0,0.536155,1.0,D,1.0,1.0
AL,1900,H,8.0,G,0.5971575,1.0,0.8077158,1.0,D,1.0,1.0
AL,1900,H,8.0,S,0.8475931,1.0,0.5971575,1.0,D,1.0,1.0
AL,1900,H,9.0,G,1.0,1.0,,,D,1.0,1.0
AL,1900,PUB SRV C,0.0,G,1.0,1.0,0.98953545,1.0,D,1.0,1.0
AL,1900,PUB SRV C,2.0,G,1.0,1.0,0.7197478,1.0,D,1.0,1.0
AL,1900,SEC STATE,,G,0.8251852,1.0,0.7472364,1.0,D,1.0,1.0
AL,1900,TREASURER,,G,0.82987285,1.0,0.74622065,1.0,D,1.0,1.0
AL,1902,AGR & IND,,G,0.7591026,1.0,0.8432294,1.0,D,1.0,1.0
AL,1902,ATTY GENL,,G,0.7528893,1.0,0.851202,1.0,D,1.0,1.0
AL,1902,AUDITOR,,G,0.748984,1.0,0.8532148,1.0,D,1.0,1.0
AL,1902,EDUCATION,,G,0.74415433,1.0,0.8524867,1.0,D,1.0,1.0
AL,1902,G,,G,0.73720866,1.0,0.8598253,1.0,D,1.0,1.0
AL,1902,H,1.0,G,0.90776783,1.0,,1.0,D,1.0,1.0
AL,1902,H,2.0,G,0.8993806,1.0,,1.0,D,1.0,1.0
AL,1902,H,3.0,G,0.9341943,1.0,,1.0,D,1.0,1.0
AL,1902,H,4.0,G,0.6929895,1.0,0.76302755,1.0,D,1.0,1.0
AL,1902,H,5.0,G,0.78375804,1.0,,1.0,D,1.0,1.0
AL,1902,H,6.0,G,0.7277945,1.0,0.7655077,1.0,D,1.0,1.0
AL,1902,H,7.0,G,0.536155,1.0,0.5586913,1.0,D,1.0,1.0
AL,1902,H,8.0,G,0.8077158,1.0,0.8428134,1.0,D,1.0,1.0
AL,1902,H,9.0,G,0.972051,1.0,0.84416157,1.0,D,1.0,1.0
AL,1902,LT GOV,,G,0.7453757,1.0,0.8524352,1.0,D,1.0,1.0
AL,1902,PUB SRV C,1.0,G,1.0,1.0,,,D,1.0,1.0
AL,1902,SEC STATE,,G,0.7472364,1.0,0.8520154,1.0,D,1.0,1.0
AL,1902,TREASURER,,G,0.74622065,1.0,0.8504261,1.0,D,1.0,1.0
AL,1904,H,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1904,H,2.0,G,1.0,1.0,0.8887737,1.0,D,1.0,1.0
AL,1904,H,3.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1904,H,4.0,G,0.76302755,1.0,,1.0,D,1.0,1.0
AL,1904,H,5.0,G,0.7655303,1.0,,1.0,D,1.0,1.0
AL,1904,H,5.0,S,1.0,1.0,0.7655303,1.0,D,1.0,1.0
AL,1904,H,6.0,G,0.7655077,1.0,,1.0,D,1.0,1.0
AL,1904,H,7.0,G,0.5586913,1.0,0.6271341,1.0,D,1.0,1.0
AL,1904,H,8.0,G,0.8428134,1.0,0.94878834,1.0,D,1.0,1.0
AL,1904,H,9.0,G,0.84416157,1.0,,1.0,D,1.0,1.0
AL,1904,PUB SRV C,0.0,G,0.98953545,1.0,0.766665,1.0,D,1.0,1.0
AL,1906,AGR & IND,,G,0.8432294,1.0,0.84792924,1.0,D,1.0,1.0
AL,1906,ATTY GENL,,G,0.851202,1.0,0.8464001,1.0,D,1.0,1.0
AL,1906,AUDITOR,,G,0.8532148,1.0,0.8460221,1.0,D,1.0,1.0
AL,1906,EDUCATION,,G,0.8524867,1.0,0.8506577,1.0,D,1.0,1.0
AL,1906,G,,G,0.8598253,1.0,0.8017626,1.0,D,1.0,1.0
AL,1906,H,1.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1906,H,2.0,G,0.8887737,1.0,,1.0,D,1.0,1.0
AL,1906,H,3.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1906,H,4.0,G,1.0,1.0,0.6512526,1.0,D,1.0,1.0
AL,1906,H,5.0,G,1.0,1.0,0.83871645,1.0,D,1.0,1.0
AL,1906,H,6.0,G,1.0,1.0,0.7803287,1.0,D,1.0,1.0
AL,1906,H,7.0,G,0.6271341,1.0,0.56011987,1.0,D,1.0,1.0
AL,1906,H,8.0,G,0.94878834,1.0,0.8269477,1.0,D,1.0,1.0
AL,1906,H,9.0,G,1.0,1.0,0.8147239,1.0,D,1.0,1.0
AL,1906,LT GOV,,G,0.8524352,1.0,0.8479405,1.0,D,1.0,1.0
AL,1906,S,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1906,S,2.0,S,,,,1.0,D,1.0,1.0
AL,1906,S,3.0,G,,1.0,,1.0,D,1.0,1.0
AL,1906,SEC STATE,,G,0.8520154,1.0,0.8496367,1.0,D,1.0,1.0
AL,1906,TREASURER,,G,0.8504261,1.0,0.84379005,1.0,D,1.0,1.0
AL,1908,H,1.0,G,1.0,1.0,0.97965115,1.0,D,1.0,1.0
AL,1908,H,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1908,H,2.0,S,1.0,1.0,,1.0,D,1.0,1.0
AL,1908,H,3.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1908,H,4.0,G,0.6512526,1.0,0.69876873,1.0,D,1.0,1.0
AL,1908,H,5.0,G,0.83871645,1.0,,1.0,D,1.0,1.0
AL,1908,H,6.0,G,0.7803287,1.0,0.8147239,1.0,D,1.0,1.0
AL,1908,H,7.0,G,0.56011987,1.0,0.5140475,1.0,D,1.0,1.0
AL,1908,H,8.0,G,0.8269477,1.0,0.9814546,1.0,D,1.0,1.0
AL,1908,H,9.0,G,0.8147239,1.0,,1.0,D,1.0,1.0
AL,1908,PUB SRV C,0.0,G,0.766665,1.0,0.8968535,1.0,D,1.0,1.0
AL,1910,AGR & IND,,G,0.84792924,1.0,0.8482981,1.0,D,1.0,1.0
AL,1910,ATTY GENL,,G,0.8464001,1.0,0.8493254,1.0,D,1.0,1.0
AL,1910,AUDITOR,,G,0.8460221,1.0,0.84595084,1.0,D,1.0,1.0
AL,1910,EDUCATION,,G,0.8506577,1.0,0.85197645,1.0,D,1.0,1.0
AL,1910,G,,G,0.8017626,1.0,0.8389026,1.0,D,1.0,1.0
AL,1910,H,1.0,G,0.97965115,1.0,,1.0,D,1.0,1.0
AL,1910,H,2.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1910,H,3.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1910,H,4.0,G,0.69876873,1.0,0.91782284,1.0,D,1.0,1.0
AL,1910,H,5.0,G,1.0,1.0,,1.0,D,1.0,1.0
AL,1910,H,6.0,G,0.8147239,1.0,0.8199593,1.0,D,1.0,1.0
AL,1910,H,7.0,G,0.5140475,1.0,0.7827898,1.0,D,1.0,1.0
AL,1910,H,8.0,G,0.9814546,1.0,0.9026274,1.0,D,1.0,1.0
AL,1910,H,9.0,G,1.0,1.0,0.88732195,1.0,D,1.0,1.0
AL,1910,LT GOV,,G,0.8479405,1.0,0.8342093,1.0,D,1.0,1.0
