X,duration,cblame_1,tblame_1,mc,lc_c,direct_c,lt_c,lc_t,direct_t,lt_t,sex,age,race,income,worry,twitter,party,lean,ideology,state,ch,covid,virus,list,blame,direct,ict.c,ict.t,ict,Y.c,Y.t,ido,ido1,inc,wor,social,ID,Item,ch1,male,female,young,midage,old,white,blk,his,asian,other,hwor,lwor,hsocial,lsocial,Dem,Rep,Ind,lib,con,mod,low,med,high,mcr,group
11,42,NA,75,COVID-19,NA,NA,NA,NA,NA,4,1,28,White,"$75,000 to $99,999",Somewhat worried,Most of the time,Republican,,Conservative,Washington,1,NA,1,1,75,NA,NA,4,4,NA,4,2,1,5,2,3,11,4-item,b,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,virus4
12,95,NA,30,Chinese Virus,NA,NA,NA,NA,NA,2,0,22,White,"$100,000 to $149,999",Very worried,Sometimes,Democrat,,Liberal,Pennsylvania,1,NA,1,1,30,NA,NA,2,2,NA,2,4,3,6,3,1,12,4-item,b,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,virus4
13,154,NA,82,COVID-19,NA,NA,NA,3,1,NA,0,37,White,"Less than $25,000",Very worried,Always,Republican,,Very conservative,Florida,1,NA,0,0,82,1,NA,3,3,NA,4,1,1,1,3,4,13,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,virus3
14,148,31,NA,COVID-19,2,0,NA,NA,NA,NA,0,28,Asian,"$25,000 to $34,999",Very worried,Always,Democrat,,Liberal,California,0,0,NA,0,31,0,2,NA,2,2,NA,4,3,2,3,4,14,3-item,a,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,covid3
15,120,NA,14,COVID-19,NA,NA,NA,3,1,NA,0,46,White,"Less than $25,000",Not too worried,Sometimes,Republican,,Very conservative,Mississippi,1,NA,0,0,14,1,NA,3,3,NA,4,1,1,1,1,1,15,3-item,b,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,virus3
16,169,NA,0,Chinese Virus,NA,NA,NA,0,0,NA,0,35,Other,"$35,000 to $49,999",Somewhat worried,Sometimes,Independent,No opinion,Moderate,Colorado,1,NA,0,0,0,0,NA,0,0,NA,0,3,2,3,2,1,16,3-item,b,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,virus3
17,72,NA,0,Chinese Virus,NA,NA,NA,0,0,NA,0,34,White,"$50,000 to $74,999",Not worried at all,Never,Democrat,,Very Liberal,Pennsylvania,1,NA,0,0,0,0,NA,0,0,NA,0,5,3,4,0,0,17,3-item,b,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,virus3
18,101,NA,55,Chinese Virus,NA,NA,NA,NA,NA,2,1,24,Black,"$150,000 or more",Somewhat worried,Sometimes,Democrat,,Liberal,Maryland,1,NA,1,1,55,NA,NA,2,2,NA,2,4,3,7,2,1,18,4-item,b,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,virus4
19,166,73,NA,COVID-19,1,0,NA,NA,NA,NA,1,32,White,"$50,000 to $74,999",Somewhat worried,Never,Independent,Democratic,Moderate,Pennsylvania,0,0,NA,0,73,0,1,NA,1,1,NA,3,2,4,2,0,19,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,covid3
20,158,100,NA,COVID-19,1,0,NA,NA,NA,NA,0,58,White,"$50,000 to $74,999",Very worried,Sometimes,Democrat,,Liberal,Washington,0,0,NA,0,100,0,1,NA,1,1,NA,4,3,4,3,1,20,3-item,a,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid3
21,153,60,NA,COVID-19,NA,NA,1,NA,NA,NA,0,36,White,"$50,000 to $74,999",Very worried,Sometimes,Democrat,,Liberal,New Hampshire,0,1,NA,1,60,NA,1,NA,1,1,NA,4,3,4,3,1,21,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
22,89,NA,60,Chinese Virus,NA,NA,NA,NA,NA,2,1,23,White,"$25,000 to $34,999",Somewhat worried,About half the time,Democrat,,Liberal,Florida,1,NA,1,1,60,NA,NA,2,2,NA,2,4,3,2,2,2,22,4-item,b,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,virus4
23,56,NA,95,Chinese Virus,NA,NA,NA,2,0,NA,1,37,White,"$50,000 to $74,999",Very worried,About half the time,Democrat,,Liberal,Arizona,1,NA,0,0,95,0,NA,2,2,NA,2,4,3,4,3,2,23,3-item,b,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,virus3
24,169,NA,67,COVID-19,NA,NA,NA,2,0,NA,1,39,White,"Less than $25,000",Not too worried,Never,Democrat,,Liberal,Wisconsin,1,NA,0,0,67,0,NA,2,2,NA,2,4,3,1,1,0,24,3-item,b,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,virus3
25,187,0,NA,COVID-19,2,1,NA,NA,NA,NA,1,36,White,"$25,000 to $34,999",Very worried,Most of the time,Independent,Republican,Moderate,Pennsylvania,0,0,NA,0,0,1,2,NA,2,3,NA,3,2,2,3,3,25,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,covid3
26,122,NA,10,Chinese Virus,NA,NA,NA,NA,NA,2,0,37,White,"$100,000 to $149,999",Somewhat worried,Never,Democrat,,Moderate,Pennsylvania,1,NA,1,1,10,NA,NA,2,2,NA,2,3,2,6,2,0,26,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,virus4
27,117,NA,76,COVID-19,NA,NA,NA,1,1,NA,1,29,Black,"$35,000 to $49,999",Somewhat worried,Sometimes,Republican,,Liberal,California,1,NA,0,0,76,1,NA,1,1,NA,2,4,3,3,2,1,27,3-item,b,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,virus3
28,135,42,NA,COVID-19,1,1,NA,NA,NA,NA,0,27,Black,"Less than $25,000",Not too worried,Most of the time,Democrat,,Liberal,Maryland,0,0,NA,0,42,1,1,NA,1,2,NA,4,3,1,1,3,28,3-item,a,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,covid3
29,166,32,NA,COVID-19,0,0,NA,NA,NA,NA,0,56,White,"Less than $25,000",Somewhat worried,Sometimes,Independent,Democratic,Moderate,New Mexico,0,0,NA,0,32,0,0,NA,0,0,NA,3,2,1,2,1,29,3-item,a,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,covid3
30,77,70,NA,COVID-19,1,0,NA,NA,NA,NA,1,41,White,"$50,000 to $74,999",Somewhat worried,Sometimes,Democrat,,Liberal,Tennessee,0,0,NA,0,70,0,1,NA,1,1,NA,4,3,4,2,1,30,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid3
31,188,40,NA,COVID-19,1,0,NA,NA,NA,NA,0,44,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Independent,Democratic,Liberal,Iowa,0,0,NA,0,40,0,1,NA,1,1,NA,4,3,2,2,1,31,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid3
32,114,20,NA,COVID-19,1,0,NA,NA,NA,NA,1,43,White,"$35,000 to $49,999",Not too worried,Sometimes,Democrat,,Liberal,Michigan,0,0,NA,0,20,0,1,NA,1,1,NA,4,3,3,1,1,32,3-item,a,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,covid3
33,119,100,NA,COVID-19,2,0,NA,NA,NA,NA,1,30,White,"$75,000 to $99,999",Somewhat worried,Most of the time,Democrat,,Very Liberal,Florida,0,0,NA,0,100,0,2,NA,2,2,NA,5,3,5,2,3,33,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,covid3
34,157,NA,20,Chinese Virus,NA,NA,NA,2,0,NA,0,39,White,"$50,000 to $74,999",Somewhat worried,Most of the time,Republican,,Liberal,Ohio,1,NA,0,0,20,0,NA,2,2,NA,2,4,3,4,2,3,34,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,virus3
35,117,10,NA,COVID-19,NA,NA,2,NA,NA,NA,1,33,White,"$50,000 to $74,999",Very worried,Always,Independent,Republican,Conservative,Florida,0,1,NA,1,10,NA,2,NA,2,2,NA,2,1,4,3,4,35,4-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,covid4
36,183,NA,27,Chinese Virus,NA,NA,NA,NA,NA,1,1,58,Asian,"$75,000 to $99,999",Very worried,Always,Republican,,Very conservative,New Hampshire,1,NA,1,1,27,NA,NA,1,1,NA,1,1,1,5,3,4,36,4-item,b,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,virus4
37,123,NA,91,Chinese Virus,NA,NA,NA,NA,NA,2,0,46,White,"$100,000 to $149,999",Very worried,Never,Independent,No opinion,Very Liberal,Florida,1,NA,1,1,91,NA,NA,2,2,NA,2,5,3,6,3,0,37,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,virus4
38,198,NA,50,COVID-19,NA,NA,NA,1,1,NA,1,24,Black,"Less than $25,000",Somewhat worried,About half the time,Democrat,,Liberal,Maryland,1,NA,0,0,50,1,NA,1,1,NA,2,4,3,1,2,2,38,3-item,b,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,virus3
39,105,94,NA,COVID-19,NA,NA,1,NA,NA,NA,0,28,White,"$25,000 to $34,999",Somewhat worried,Most of the time,Independent,Democratic,Moderate,Illinois,0,1,NA,1,94,NA,1,NA,1,1,NA,3,2,2,2,3,39,4-item,a,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,covid4
40,122,NA,100,Chinese Virus,NA,NA,NA,NA,NA,2,0,32,White,"$50,000 to $74,999",Very worried,About half the time,Democrat,,Very Liberal,Arizona,1,NA,1,1,100,NA,NA,2,2,NA,2,5,3,4,3,2,40,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,virus4
41,144,NA,60,COVID-19,NA,NA,NA,NA,NA,2,1,40,White,"$50,000 to $74,999",Somewhat worried,Sometimes,Democrat,,Liberal,West Virginia,1,NA,1,1,60,NA,NA,2,2,NA,2,4,3,4,2,1,41,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,virus4
42,141,NA,0,COVID-19,NA,NA,NA,2,0,NA,0,36,Black,"$25,000 to $34,999",Very worried,Most of the time,Democrat,,Liberal,Virginia,1,NA,0,0,0,0,NA,2,2,NA,2,4,3,2,3,3,42,3-item,b,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,virus3
43,222,20,NA,COVID-19,NA,NA,2,NA,NA,NA,1,36,Hispanic,"$75,000 to $99,999",Somewhat worried,Sometimes,Independent,No opinion,No opinion,New Jersey,0,1,NA,1,20,NA,2,NA,2,2,NA,3,4,5,2,1,43,4-item,a,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,covid4
44,255,NA,60,Chinese Virus,NA,NA,NA,1,1,NA,0,46,White,"$150,000 or more",Somewhat worried,Most of the time,Democrat,,Liberal,New Jersey,1,NA,0,0,60,1,NA,1,1,NA,2,4,3,7,2,3,44,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,virus3
45,186,NA,95,Chinese Virus,NA,NA,NA,1,0,NA,0,63,White,"$75,000 to $99,999",Somewhat worried,Never,Democrat,,Very Liberal,Massachusetts,1,NA,0,0,95,0,NA,1,1,NA,1,5,3,5,2,0,45,3-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,virus3
46,264,NA,93,Chinese Virus,NA,NA,NA,2,1,NA,0,44,White,"$75,000 to $99,999",Not too worried,About half the time,Democrat,,Very conservative,Colorado,1,NA,0,0,93,1,NA,2,2,NA,3,1,1,5,1,2,46,3-item,b,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,virus3
47,43,NA,50,Chinese Virus,NA,NA,NA,1,1,NA,1,28,White,"$35,000 to $49,999",Somewhat worried,About half the time,Independent,Republican,Moderate,Illinois,1,NA,0,0,50,1,NA,1,1,NA,2,3,2,3,2,2,47,3-item,b,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,virus3
48,105,81,NA,COVID-19,2,0,NA,NA,NA,NA,1,26,White,"$25,000 to $34,999",Very worried,Always,Republican,,Moderate,Florida,0,0,NA,0,81,0,2,NA,2,2,NA,3,2,2,3,4,48,3-item,a,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,covid3
49,116,0,NA,COVID-19,NA,NA,1,NA,NA,NA,1,35,Black,"$25,000 to $34,999",Somewhat worried,Never,Democrat,,Liberal,Indiana,0,1,NA,1,0,NA,1,NA,1,1,NA,4,3,2,2,0,49,4-item,a,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
50,151,31,NA,COVID-19,NA,NA,1,NA,NA,NA,0,55,White,"$150,000 or more",Not too worried,Never,Democrat,,Liberal,North Carolina,0,1,NA,1,31,NA,1,NA,1,1,NA,4,3,7,1,0,50,4-item,a,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,covid4
51,239,NA,0,Chinese Virus,NA,NA,NA,1,1,NA,0,58,White,"$75,000 to $99,999",Somewhat worried,Sometimes,Republican,,Conservative,New Jersey,1,NA,0,0,0,1,NA,1,1,NA,2,2,1,5,2,1,51,3-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,virus3
52,239,0,NA,COVID-19,NA,NA,1,NA,NA,NA,1,72,White,"$150,000 or more",Somewhat worried,Never,Independent,Republican,Conservative,Georgia,0,1,NA,1,0,NA,1,NA,1,1,NA,2,1,7,2,0,52,4-item,a,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,covid4
53,219,61,NA,COVID-19,NA,NA,1,NA,NA,NA,1,22,White,"$75,000 to $99,999",Somewhat worried,Always,Independent,Democratic,Very Liberal,Pennsylvania,0,1,NA,1,61,NA,1,NA,1,1,NA,5,3,5,2,4,53,4-item,a,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,covid4
54,130,70,NA,COVID-19,NA,NA,0,NA,NA,NA,0,31,White,"$50,000 to $74,999",Somewhat worried,Never,Democrat,,Very Liberal,Washington,0,1,NA,1,70,NA,0,NA,0,0,NA,5,3,4,2,0,54,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
55,137,10,NA,COVID-19,1,0,NA,NA,NA,NA,1,52,White,"$100,000 to $149,999",Not too worried,Never,Republican,,Conservative,Arkansas,0,0,NA,0,10,0,1,NA,1,1,NA,2,1,6,1,0,55,3-item,a,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,covid3
56,133,NA,10,Chinese Virus,NA,NA,NA,NA,NA,0,1,70,White,"$25,000 to $34,999",Somewhat worried,Never,Democrat,,Liberal,Oregon,1,NA,1,1,10,NA,NA,0,0,NA,0,4,3,2,2,0,56,4-item,b,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
57,232,20,NA,COVID-19,NA,NA,2,NA,NA,NA,1,57,Hispanic,"$25,000 to $34,999",Very worried,Sometimes,Republican,,Moderate,Florida,0,1,NA,1,20,NA,2,NA,2,2,NA,3,2,2,3,1,57,4-item,a,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,covid4
58,281,NA,6,Chinese Virus,NA,NA,NA,NA,NA,2,0,45,White,"$50,000 to $74,999",Not too worried,Sometimes,Republican,,Conservative,California,1,NA,1,1,6,NA,NA,2,2,NA,2,2,1,4,1,1,58,4-item,b,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,virus4
59,208,40,NA,COVID-19,1,0,NA,NA,NA,NA,1,29,White,"$50,000 to $74,999",Very worried,Sometimes,Independent,Democratic,Moderate,Alabama,0,0,NA,0,40,0,1,NA,1,1,NA,3,2,4,3,1,59,3-item,a,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,covid3
60,141,45,NA,COVID-19,NA,NA,1,NA,NA,NA,1,54,White,"$150,000 or more",Somewhat worried,Sometimes,Republican,,Conservative,Ohio,0,1,NA,1,45,NA,1,NA,1,1,NA,2,1,7,2,1,60,4-item,a,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,covid4
61,137,NA,0,Chinese Virus,NA,NA,NA,0,0,NA,1,64,White,"Less than $25,000",Not worried at all,Most of the time,Independent,Republican,Conservative,North Carolina,1,NA,0,0,0,0,NA,0,0,NA,0,2,1,1,0,3,61,3-item,b,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,virus3
62,74,79,NA,COVID-19,NA,NA,2,NA,NA,NA,0,29,Asian,"$75,000 to $99,999",Very worried,Most of the time,Independent,No opinion,Moderate,South Carolina,0,1,NA,1,79,NA,2,NA,2,2,NA,3,2,5,3,3,62,4-item,a,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,covid4
63,177,NA,62,Chinese Virus,NA,NA,NA,NA,NA,2,1,39,White,"$35,000 to $49,999",Somewhat worried,Sometimes,Democrat,,Very Liberal,Oregon,1,NA,1,1,62,NA,NA,2,2,NA,2,5,3,3,2,1,63,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
64,174,NA,57,Chinese Virus,NA,NA,NA,2,0,NA,1,44,Black,"$75,000 to $99,999",Somewhat worried,About half the time,Democrat,,Liberal,New Jersey,1,NA,0,0,57,0,NA,2,2,NA,2,4,3,5,2,2,64,3-item,b,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,virus3
65,171,7,NA,COVID-19,1,0,NA,NA,NA,NA,0,38,White,"$75,000 to $99,999",Not too worried,Most of the time,Independent,Republican,Moderate,Ohio,0,0,NA,0,7,0,1,NA,1,1,NA,3,2,5,1,3,65,3-item,a,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,covid3
66,55,69,NA,COVID-19,NA,NA,1,NA,NA,NA,0,31,White,"$100,000 to $149,999",Somewhat worried,Most of the time,Democrat,,Conservative,Pennsylvania,0,1,NA,1,69,NA,1,NA,1,1,NA,2,1,6,2,3,66,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,covid4
67,143,NA,27,Chinese Virus,NA,NA,NA,NA,NA,2,0,59,White,"$100,000 to $149,999",Somewhat worried,About half the time,Republican,,Moderate,Illinois,1,NA,1,1,27,NA,NA,2,2,NA,2,3,2,6,2,2,67,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,virus4
68,176,5,NA,COVID-19,1,0,NA,NA,NA,NA,0,58,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Democrat,,Very Liberal,Florida,0,0,NA,0,5,0,1,NA,1,1,NA,5,3,2,2,1,68,3-item,a,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid3
69,166,NA,40,Chinese Virus,NA,NA,NA,2,1,NA,1,28,White,"$35,000 to $49,999",Somewhat worried,About half the time,Republican,,Conservative,Iowa,1,NA,0,0,40,1,NA,2,2,NA,3,2,1,3,2,2,69,3-item,b,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,virus3
70,118,40,NA,COVID-19,NA,NA,1,NA,NA,NA,0,35,White,"$150,000 or more",Somewhat worried,Most of the time,Democrat,,Liberal,Connecticut,0,1,NA,1,40,NA,1,NA,1,1,NA,4,3,7,2,3,70,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,covid4
71,342,NA,25,Chinese Virus,NA,NA,NA,NA,NA,2,1,48,White,"$50,000 to $74,999",Somewhat worried,Sometimes,Republican,,Moderate,Virginia,1,NA,1,1,25,NA,NA,2,2,NA,2,3,2,4,2,1,71,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,virus4
72,299,NA,50,Chinese Virus,NA,NA,NA,NA,NA,2,0,28,Black,"$25,000 to $34,999",Somewhat worried,Sometimes,Democrat,,Liberal,Florida,1,NA,1,1,50,NA,NA,2,2,NA,2,4,3,2,2,1,72,4-item,b,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
73,170,NA,87,Chinese Virus,NA,NA,NA,NA,NA,1,1,38,Asian,"$100,000 to $149,999",Very worried,Most of the time,Republican,,Conservative,Tennessee,1,NA,1,1,87,NA,NA,1,1,NA,1,2,1,6,3,3,73,4-item,b,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,virus4
74,348,NA,10,Chinese Virus,NA,NA,NA,NA,NA,1,0,37,White,"$100,000 to $149,999",Not too worried,Always,Republican,,Moderate,Pennsylvania,1,NA,1,1,10,NA,NA,1,1,NA,1,3,2,6,1,4,74,4-item,b,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,virus4
75,195,NA,10,Chinese Virus,NA,NA,NA,NA,NA,1,1,59,Asian,"$35,000 to $49,999",Somewhat worried,About half the time,Republican,,Conservative,California,1,NA,1,1,10,NA,NA,1,1,NA,1,2,1,3,2,2,75,4-item,b,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,virus4
76,59,74,NA,COVID-19,2,0,NA,NA,NA,NA,0,19,White,"Less than $25,000",Somewhat worried,About half the time,Independent,No opinion,Moderate,Indiana,0,0,NA,0,74,0,2,NA,2,2,NA,3,2,1,2,2,76,3-item,a,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,covid3
77,91,NA,0,Chinese Virus,NA,NA,NA,NA,NA,2,1,36,White,"$150,000 or more",Not worried at all,Sometimes,Republican,,Conservative,Indiana,1,NA,1,1,0,NA,NA,2,2,NA,2,2,1,7,0,1,77,4-item,b,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,virus4
