paper_name,data_description,natural_language_query,answer,std_error,is_significant,method,treatment,outcome,control_variables,running_var,temporal_var,instrument_var,state_var,is_rct,interaction_var,multirct_treatment,data_files,reference,publication_year,domain,license,data_source (link),other_source,remark,other_notes,changes_to_original_data,bibtex_paper,link_to_reproduced_results,Total Count: 82
Does 'right to work' imperil the right to health? The effect of labour unions on workplace fatalities,"This dataset consists of U.S. state-year panel covering 50 states from 1992-2016, combining annual counts of occupational fatalities, employed population, unionization rates, sectoral employment composition, and statutory right-to-work status; each row is a state-year observation with a derived fatality rate per 100,000 workers and its natural logarithm. The fatalities series comes from the Bureau of Labor Statistics' Census of Fatal Occupational Injuries, employment from BLS state employment data, unionization from the Union Membership and Coverage Database, and sectoral composition from BLS industry employment, yielding 1,250 total observations. Variables: state: State identifier (name or postal abbreviation) for each observation; year: Calendar year of the observation, ranging from 1992 to 2016; policy: Annual index of state policy liberalism capturing a state's overall regulatory orientation (higher values indicate more liberal policy environments); fatalities: Number of occupational fatalities in the state during the year from CFOI (count of deaths); employment: Employed population used to scale fatality counts to rates (number of workers or full-time equivalent workers); rate: Occupational fatality rate per 100,000 workers, computed as fatalities divided by employment and multiplied by 100,000; union: Unionization rate (share of workers who are union members or covered by a union contract) expressed in percentage points; trtraut: Number of workers employed in trade, transportation, and utilities in the state-year (industry employment count); pctttu: Share of workers employed in trade, transportation, and utilities (percent of total employment); mlc: Number of workers employed in mining, logging, and construction in the state-year (industry employment count); pctmlc: Share of workers employed in mining, logging, and construction (percent of total employment); manuf: Number of workers employed in manufacturing in the state-year (industry employment count); pctmanufacturing: Share of workers employed in manufacturing (percent of total employment); ST: State code used for grouping and identification in the dataset (numeric or categorical state code aligned with state); RTW: Indicator for whether a right-to-work law is in effect in that state-year (1 = RTW in force, 0 = otherwise); lr: Natural logarithm of the fatality rate variable to stabilize scale and interpret changes in proportional terms","How does the percentage of unionised workers in a state effect the state's occupational fatality rate per 100,000 workers?",-0.049,0.01,1,iv,union,lr,"policy, pctttu, pctmlc, pctmanufacturing",,year,RTW,ST,0,,,repdata.csv,Table 1,2017,healthcare,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UVCZ5D,,,,,,,
The impact of intergenerational support on multidimensional poverty in old age (2023),"This study examines multidimensional poverty among senior citizens in China using data from the 2018 Chinese Longitudinal Healthy Longevity Survey (CLHLS). The dataset contains individual-level observations with variables measuring demographic characteristics, household composition, and social support factors. Variables: economicsupport: The logarithm of the amount the children give to the parent; emotionalsupport: Indicator specifying whether one receives emotional support through conversations with children (1 = yes, 0 = no); caresupport: Indicator specifying whether one is comfortable expressing their thoughts to children; gender: Respondent's gender (1 = male, 0 = female); age: Respondent's age in years; squareofage: Age squared; maritalstatus: Marital status (1 = with spouse, 0 = no spouse); householdregistration: Household registration (1 = urban, 0 = rural); totalnumberofchildren: Total number of children in the household; numberofboys: Number of male children in the household; proportionofboys: Proportion of boys among all children; totalhouseholdincome: Total household income (log of annual income last year); numberofpeoplelivingtogether: Number of people living in the household; region: Geographic region of the respondent (1 = eastern, 0 = not eastern); socialsecurity: Whether the respondent has social security (1 = yes, 0 = no); emotionalsupport: Whether the respondent receives emotional support (1 = yes, 0 = no); multidimensionalpoverty: Multidimensional poverty status (1 = yes, 0 = no); spiritualpoverty: Indicator denoting whether one feels lonely or not (1 = yes, 0 = no); rightspoverty: Indicator denoting whether one has final say in their business or not (1 = yes, 0 = no); economicpoverty: Indicator denoting whether the source of living is sufficient or not (1 = yes, 0 = no); healthpoverty: Indicator denoting whether one is healthy or not (1 = yes, 0 = no)",How does receiving economic support affect spiritual poverty?,0.006,0.00773,0,glm,economicsupport,spiritualpoverty,"caresupport, emotionalsupport, socialsecurity, gender, age, squareofage, maritalstatus, householdregistration, totalnumberofchildren, numberofboys, proportionofboys, totalhouseholdincome, numberofpeoplelivingtogether, region",,,,,0,,,4Cleaned base data.csv,Table 3,2023,healthcare,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/1YE9B6,,,,,,,
The impact of intergenerational support on multidimensional poverty in old age (2023),"This study examines multidimensional poverty among senior citizens in China using data from the 2018 Chinese Longitudinal Healthy Longevity Survey (CLHLS). The dataset contains individual-level observations with variables measuring demographic characteristics, household composition, and social support factors. Variables: economicsupport: The logarithm of the amount the children give to the parent; emotionalsupport: Indicator specifying whether one receives emotional support through conversations with children (1 = yes, 0 = no); caresupport: Indicator specifying whether one is comfortable expressing their thoughts to children; gender: Respondent's gender (1 = male, 0 = female); age: Respondent's age in years; squareofage: Age squared; maritalstatus: Marital status (1 = with spouse, 0 = no spouse); householdregistration: Household registration (1 = urban, 0 = rural); totalnumberofchildren: Total number of children in the household; numberofboys: Number of male children in the household; proportionofboys: Proportion of boys among all children; totalhouseholdincome: Total household income (log of annual income last year); numberofpeoplelivingtogether: Number of people living in the household; region: Geographic region of the respondent (1 = eastern, 0 = not eastern); socialsecurity: Whether the respondent has social security (1 = yes, 0 = no); emotionalsupport: Whether the respondent receives emotional support (1 = yes, 0 = no); multidimensionalpoverty: Multidimensional poverty status (1 = yes, 0 = no); spiritualpoverty: Indicator denoting whether one feels lonely or not (1 = yes, 0 = no); rightspoverty: Indicator denoting whether one has final say in their business or not (1 = yes, 0 = no); economicpoverty: Indicator denoting whether the source of living is sufficient or not (1 = yes, 0 = no); healthpoverty: Indicator denoting whether one is healthy or not (1 = yes, 0 = no)",What is the effect of receiving emotional support on multidimensional poverty?,-0.256,0.0834,1,glm,emotionalsupport,multidimensionalpoverty,"socialsecurity, gender, age, squareofage, maritalstatus, householdregistration, totalnumberofchildren, numberofboys, proportionofboys, totalhouseholdincome, numberofpeoplelivingtogether, region",,,,,0,,,4Cleaned base data.csv,Table 3,2023,healthcare,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/1YE9B6,,,,,,,
The impact of intergenerational support on multidimensional poverty in old age (2023),"This study examines multidimensional poverty among senior citizens in China using data from the 2018 Chinese Longitudinal Healthy Longevity Survey (CLHLS). The dataset contains individual-level observations with variables measuring demographic characteristics, household composition, and social support factors. Variables: economicsupport: The logarithm of the amount the children give to the parent; emotionalsupport: Indicator specifying whether one receives emotional support through conversations with children (1 = yes, 0 = no); caresupport: Indicator specifying whether one is comfortable expressing their thoughts to children; gender: Respondent's gender (1 = male, 0 = female); age: Respondent's age in years; squareofage: Age squared; maritalstatus: Marital status (1 = with spouse, 0 = no spouse); householdregistration: Household registration (1 = urban, 0 = rural); totalnumberofchildren: Total number of children in the household; numberofboys: Number of male children in the household; proportionofboys: Proportion of boys among all children; totalhouseholdincome: Total household income (log of annual income last year); numberofpeoplelivingtogether: Number of people living in the household; region: Geographic region of the respondent (1 = eastern, 0 = not eastern); socialsecurity: Whether the respondent has social security (1 = yes, 0 = no); emotionalsupport: Whether the respondent receives emotional support (1 = yes, 0 = no); multidimensionalpoverty: Multidimensional poverty status (1 = yes, 0 = no); spiritualpoverty: Indicator denoting whether one feels lonely or not (1 = yes, 0 = no); rightspoverty: Indicator denoting whether one has final say in their business or not (1 = yes, 0 = no); economicpoverty: Indicator denoting whether the source of living is sufficient or not (1 = yes, 0 = no); healthpoverty: Indicator denoting whether one is healthy or not (1 = yes, 0 = no)",How does receiving care support influence rights poverty?,0.236,0.09684,1,glm,caresupport,rightspoverty,"emotionalsupport, socialsecurity, gender, age, squareofage, maritalstatus, householdregistration, totalnumberofchildren, numberofboys, proportionofboys, totalhouseholdincome, numberofpeoplelivingtogether, region",,,,,0,,,4Cleaned base data.csv,Table 3,2023,healthcare,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/1YE9B6,,,,,,,
"Internet-accessed sexually transmitted infection (e-STI) testing and results service: A randomised, single-blind, controlled trial","The data comes from a randomized control trial conducted to assess the impact of Internet-accessed sexually transmitted infection testing (e-STI testing) through the sh24 platform. Sexually active individuals between the ages of 16 and 30 were recruited. The participants were then randomly sent text messages inviting them to participate in the testing. The treatment group was asked to order the test online while the control group was asked to visit a walk-in clinic and take the test. The main outcome of interest was the self-reported diagnosis of STIs, supported by medical reports. Variables include: anon_id: Participant id; group: Allocation group ('Control' denotes control group and 'SH_24' denotes treatment group); imd_decile: Index of Multiple Deprivation decile rankings on scale of 1-10; 1 represents the most deprived and 10 represents the least deprived; partners: Number of sexual partners in past 12 months at baseline; gender: Gender (Male or Female); msm: Men who have sex with men ('msm'=Yes; 'other'=No; 99=Not Known); ethnicgrp: Ethnic group; age: Age in completed years at baseline; anytest_sr: Binary variable indicating whether the participant self-reported the completion of the STI test or not (1=tested, 0=not tested); anydiag_sr: Binary variable indicating whether the participant self-reported the diagnosis of STI test or not (1=diagnosed, 0=not diagnosed); anytreat_sr: Binary variable indicating whether the participant self-reported receiving STI treatment or not (1=treated, 0=not treated); anytest: Objectively verified binary indicator of STI testing completion (1 = tested, 0 = not tested); anydiag: Objectively verified binary indicator of STI diagnosis (1 = diagnosed, 0 = not diagnosed); anytreat: Objectively verified binary indicator of STI treatment (1 = treated, 0 = not treated); time_test: Time from randomization to test in days; time_treat: Time from randomization to treatment in days; sh24_launch: Binary variable indicating whether the randomization occurred before or after SH:24 was made publicly available (1 = yes, 0 = no)",What is the effect of the e-STI testing service on the probability of getting tested for an STI by 6 weeks?,0.232,0.0233,1,ols,tx,anytest,"age, male, msm, black, partners",,,,,1,,,sh24_dataset.csv,Table 1,2017,healthcare,CC BY 4.0,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002479,https://solomonkurz.netlify.app/blog/2023-04-24-causal-inference-with-logistic-regression/,data available in the paper itself,,,,,
Estimating Incumbency Effects Using Regression Discontinuity Design,"The dataset is a panel of electoral constituencies across multiple countries and years, designed to study incumbency effects. Each row corresponds to a party's performance in a given constituency at a given election. Dataset Variables: year: The year of the election; country: The country where the election took place (e.g., Canada, Japan, UK, USA, Romania, etc.); office: Name of the office being contested (e.g., House of Commons, Mayor); cst_n: Constituency identifier (e.g., ""abbotsford"", ""abitibi""); l_vmargin: Lagged vote margin: the party's vote margin in the previous election (Values more than 0 indicate the party won (positive) and values less than 0 indicate the party lost (negative)); vmargin: Current vote margin: the party's vote margin in the current election; vs: Vote share of the party in the current election (between 0 and 1); win: Outcome of the current election: 1 means the party won the seat, 0 means the party lost; l_win: Lagged win indicator: 1 means the party won the previous election in this constituency, 0 means the party lost; inc: Incumbency indicator for the party's candidate in the current election: 1 means candidate is the incumbent, 0 means not incumbent, -1 appears to mark cases where incumbency is undefined or missing; office_num: Encoded office type, combining country and office (e.g., Canada, House); rd_s: Indicator variable that equals 1 if the observation is part of a subset of elections defined by narrow vote margins, and 0 otherwise","In the UK, in very close elections, does just barely winning make it more likely that the party's candidate will stand again as the incumbent in the next election?",0.006,0.015,0,rdd,inc_run i,win,,l_vmargin,,,,0,,,data_party.csv,Figure 1,2018,political science,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JSOWUR,,,,,,,
Instrumental Variables Estimates of the Effect of Subsidized Training on the Quantiles of Trainee Earnings,"This dataset was constructed to measure how subsidized Job Training Partnership Act (JTPA) programs affect not just average earnings but different points (quantiles) of the trainee earnings distribution. Data collection process: Data are drawn from the National JTPA Study - a large encouragement design randomized controlled trial under the JTPA. Eligible individuals were randomly assigned to be offered training services (treatment group) or excluded for 18 months (control group), with roughly 60% of those offered actually receiving training. Baseline demographic and economic covariates were collected before randomization, and earnings plus participation data were tracked for 30 months post-assignment via administrative records and follow-up interviews. Dataset variables: V1: Unique identifier for individuals; income: Individual's income (continuous, ranges from 0 to ~155,760); JTPA training offer: Whether the person was offered JTPA training (binary: 1 = yes, 0 = no); JTPA training participation: Whether the person actually participated in JTPA training (binary); male: Gender (1 = male, 0 = female); hsorged: Completed high school or earned a GED (1 = yes, 0 = no); black: Race indicator (1 = Black, 0 = otherwise); hispanic: Ethnicity indicator (1 = Hispanic, 0 = otherwise); married: Marital status (1 = married, 0 = unmarried); wkless13: Employment status: whether worked less than 13 weeks in the year before program entry (1 = yes, 0 = no); afdc: Receipt of Aid to Families with Dependent Children (AFDC welfare program) (1 = yes, 0 = no); age2225: Age group indicator (22-25 years old); age2629: Age group indicator (26-29 years old); age3035: Age group indicator (30-35 years old); age3644: Age group indicator (36-44 years old); age4554: Age group indicator (45-54 years old); class_tr: Participation in classroom training (1 = yes, 0 = no); ojt_jsa: Participation in on-the-job training (OJT) or job search assistance (JSA); f2sms: Indicator for assignment to ""Follow-up survey sample"" or another experimental grouping",What is the effect of receiving subsidized training on 30-month income of men?,1593,895,0,iv,JTPA training participation,income,"hsorged, black, hispanic, married, wkless13, class_tr, ojt_jsa, age2225, age2629, age3035, age3644, age4554",,,JTPA training offer,,,,,jtpa.csv,Table 3,2002,economics,CC0 1.0,https://dataverse.harvard.edu/file.xhtml?persistentId=doi:10.7910/DVN/XVADZ7/OYIAFS&version=1.0,,needs minor preprocessing to select men only data,,,,,
Instrumental Variables Estimates of the Effect of Subsidized Training on the Quantiles of Trainee Earnings,"This dataset was constructed to measure how subsidized Job Training Partnership Act (JTPA) programs affect not just average earnings but different points (quantiles) of the trainee earnings distribution. Data collection process: Data are drawn from the National JTPA Study - a large encouragement design randomized controlled trial under the JTPA. Eligible individuals were randomly assigned to be offered training services (treatment group) or excluded for 18 months (control group), with roughly 60% of those offered actually receiving training. Baseline demographic and economic covariates were collected before randomization, and earnings plus participation data were tracked for 30 months post-assignment via administrative records and follow-up interviews. Dataset variables: V1: Unique identifier for individuals; income: Individual's income (continuous, ranges from 0 to ~155,760); JTPA training offer: Whether the person was offered JTPA training (binary: 1 = yes, 0 = no); JTPA training participation: Whether the person actually participated in JTPA training (binary); male: Gender (1 = male, 0 = female); hsorged: Completed high school or earned a GED (1 = yes, 0 = no); black: Race indicator (1 = Black, 0 = otherwise); hispanic: Ethnicity indicator (1 = Hispanic, 0 = otherwise); married: Marital status (1 = married, 0 = unmarried); wkless13: Employment status: whether worked less than 13 weeks in the year before program entry (1 = yes, 0 = no); afdc: Receipt of Aid to Families with Dependent Children (AFDC welfare program) (1 = yes, 0 = no); age2225: Age group indicator (22-25 years old); age2629: Age group indicator (26-29 years old); age3035: Age group indicator (30-35 years old); age3644: Age group indicator (36-44 years old); age4554: Age group indicator (45-54 years old); class_tr: Participation in classroom training (1 = yes, 0 = no); ojt_jsa: Participation in on-the-job training (OJT) or job search assistance (JSA); f2sms: Indicator for assignment to ""Follow-up survey sample"" or another experimental grouping",What is the effect of receiving subsidized training on 30-month income of women?,1780,532,1,iv,JTPA training participation,income,"hsorged, black, hispanic, married, wkless13, class_tr, ojt_jsa, age2225, age2629, age3035, age3644, age4554, afdc",,,JTPA training offer,,,,,jtpa.csv,,2002,economics,CC0 1.0,https://dataverse.harvard.edu/file.xhtml?persistentId=doi:10.7910/DVN/XVADZ7/OYIAFS&version=1.0,,needs minor preprocessing to select women only data,,,,,
Field Experiments Testing the Impact of Radio Advertisements on Electoral Competition ,"The dataset consists of 49 observations from mayoral elections in U.S. cities, with 33 observations from 2005 and 16 from 2006. The data is gathered through a randomized field experiment. Within matched pairs of municipalities, one city was randomly assigned to the treatment group and the other to the control group. The treatment involved a 60-second, non-partisan get-out-the-vote radio advertisement. The control group received no such intervention. The unit of observation is the city. Inclusion was limited to cities with populations over 30,000 where an incumbent mayor ran for reelection against an opponent. The study's outcome measure is the change in the incumbent mayor's vote share compared to the previous election. Variables: State: State; City: City; Contested_2006: Mayoral election contested; To_Prev: Turnout in prior mayoral election; Partisan: Partisan ballot; Inc_Voteshare_Prev: Incumbent vote percentage in prior mayoral election; Inc_Running_2006: Incumbent running in mayoral election; Grp_Buy: Gross Ratings Points purchased (measure of advertising intensity); Statewide_2005: Statewide election; Strata90: Low Cost-per-point stratum; Strata70: Moderate Cost-per-point stratum; Votesharechange: Change in incumbent vote percentage since prior mayoral election; Votesharediff: Margin of victory; Year_Exp: Experiment year",What was the effect of the radio advertising campaign on the change in the incumbent mayor's vote share in the 2006 elections?,-0.112,0.136,0,ols,Grp_Buy,Votesharechange,"Strata70, Strata90, Partisan, To_Prev, Statewide_2005",,,,,1,,,PanagopoulosGreen_AJPS_2008_ReplicationDataset.csv,"TABLE 2, 2006, Strata and Covariates column",2008,political science,CC BY-NC-ND 3.0,https://isps.yale.edu/research/data/d042,,,,,,,
Demand for in-app purchases in mobile apps�A difference-in-difference approach,"The dataset consists of user-level information, such as total number of purchases and total videos watched, associated with five ""freemium"" mobile app games in six European markets for the years 2017-2022. The games are available on both iOS and Android platforms. However, only Apple changed its pricing tiers in between, as a result of which the prices of the games changed on the iOS platform. Data Variables: game: Anonymized codenames of the games (W1-W5); country: Two-letter country code (France, Germany, Great Britain, Italy, Netherlands, and Sweden); platform: Gaming platform (Android or ios); dt: Date; norm_users: Number of users normalized; norm_purch_users: Normalized number of users who purchase premium; norm_videos: Number of rewarded videos watched; purchsmooth: Number of purchases smoothed; year: Year recorded; month: Month recorded (1-12); apple: Dummy variable for ios platform (1 = platform is ios, 0 = otherwise); google: Dummy variable for android platform (1 = platform is android, 0 = otherwise); post: Indicator of the time period after price change (1 = post price change, 0 = pre price change); window: Not applicable; userssmooth: Number of users smoothed; postxapple: Interaction between post and apple; forpan: Concatenation of game codename, country, and platform; cgn: Concatenation of country and game codename",Does the logarithm of the number of users who purchase premium change after the price of premium is altered?,0.158,0.067,1,did,apple,norm_purch_users,"game, country, year, month",,post,,country,0,post,,ijio_replication_didapps.csv,Table 4(1),2023,economics,CC BY 4.0,https://www.openicpsr.org/openicpsr/project/186201/version/V1/view?path=/openicpsr/186201/fcr:versions/V1/ijio_replication_didapps.dta&type=file,,need to first create the logarithm of the users; log(norm_purch_users),,,,,
Comparing public support for nuclear and wind energy in Washington State,"This data comes from a survey administered in the state of Washington. Adults 18 years and older were first asked to read about the challenges to addressing the rising demands of energy while meeting decarbonization goals. To begin with, the participants were asked to answer attention-check questions. These were multiple-choice questions. Then, the participants were asked to indicate their degree of support for nuclear and wind energy sources. Additionally, participants were asked questions about factors that explain their preference for wind or nuclear energy sources. Dataset Variables: Outcome: The difference in support level between nuclear and wind (nuclear support % minus wind support %); Nuclear: Level of nuclear support (0-100%); Wind: Level of wind support (0-100%); Dist_nuclear: Distance in miles from respondent's county to the Richland nuclear power plant; Dist_wind: Distance in miles from respondent's county to the closest wind facility; Region: Geographic region (Eastern or Western Washington); Urban_rural: Binary variable indicating whether respondents live in urban (county population >10,000) or rural areas; 1 = urban, 0 = rural; Health: Importance attached to health effects of electricity generation and waste disposal (scale 1-4, where 1=""not important at all"", 4=""very important""); Job: Importance attached to local jobs and economic benefits (scale 1-4, where 1=""not important at all"", 4=""very important""); Landscape: Importance attached to disruption of the rural landscape (scale 1-4, where 1=""not important at all"", 4=""very important""); Supply: Importance attached to reliability of electricity supply (scale 1-4, where 1=""not important at all"", 4=""very important""); Trust_reg: Trust in the federal Nuclear Regulatory Commission (1 = no trust at all, 4 = trust very strongly); Trust_health: Trust in Washington State Department of Health (1 = no trust at all, 4 = trust very strongly); Trust_plant: Trust in nuclear plant operators (1 = no trust at all, 4 = trust very strongly); Env: Environmental attitude - priority given to environmental protection (1) vs. economic growth (2); Gender: Respondent gender; Age: Age categories by birth year (1946-1964, 1965-1996, After 1996); Income: Income categories ($40,000-$69,999, $70,000-$104,999, $105,000-$159,999, $160,000+); Education: Education level (High school incomplete, High school, College no degree, 4 yrs college, Graduate school); Race: Racial/ethnic identification; Religion: Religious affiliation; PID: Party identification (Democrat, Independent, Republican); AC1: Attention check question 1 answer; AC2: Attention check question 2 answer; AC3: Attention check question 3 answer; AC: Overall attention check performance",Does the distance to nuclear facilities influence the difference in a person's support for nuclear or wind energy?,-0.029,0.044,0,ols,Dist_nuclear,Outcome,"Dist_wind, Health, Job, Landscape, Supply, Gender, Age, Income, Education, Race, Religion, PID",,,,,0,,,nuclear_wind_energy_washington.csv,Table 3,2023,political science,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HM1KXT,,,,,,,
Does rising income inequality affect mortality rates in advanced economies?,"This dataset aims to study the effect of income inequality on mortality rates for men and women in a subset of OECD countries from 1950 to 2000 using adult mortality rates at age sixty-five as the measure of mortality. Likewise, for measuring income inequality, the inverted Pareto-Lorenz coefficient was used. The coefficient is directly obtained from the World Top Income Database. More specifically, the measure was derived from individual taxation and income data as well as national account statistics. The Pareto-Lorenz coefficient ranges from 1.5 to 3. Values in the range of 1.5 to 1.8 are considered low inequality, while values above 2.5 are considered high inequality. Data variables: year: Year observation was taken; cc: Country code; qxall: Averaged rate between qxfemale and qxmale; qxfemale: Five-year mortality rate for females at age sixty-five (the probability of dying within 5 years for 65-year-old women); invertedplc: Inverted Pareto-Lorenz coefficient (measure of income inequality at the top end of distribution, ranging from ~1.5-3); exfemale: Life expectancy for females at age 65; qxmale: Five-year mortality rate for males at age sixty-five (the probability of dying within 5 years for 65-year-old men); exmale: Life expectancy for males (at age 65); country: Country name; rgdpe: Real GDP obtained from Penn World Table; values adjusted for purchasing power parity; pop: Population (in millions); hc: Health capital index - a measure capturing educational attainment that serves as a proxy for human capital stock; rpcgdp: Real per capita GDP - GDP per person adjusted for purchasing power parity",Does a greater inequality in income lead to a higher average mortality rate among males and females?,-0.0237,0.01,1,ols,invertedplc,qxall,"pop, hc, rgdpe",,,,,0,,,mortality_income_inequality.csv,Table 3,2017,economics,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/E3X2NO,,,,,"@article{rebeira2017does,
  title={Does rising income inequality affect mortality rates in advanced economies?},
  author={Rebeira, Mayvis and Grootendorst, Paul V and Coyte, Peter C and Aguirregabiria, Victor},
  journal={Economics: The Open-Access, Open-Assessment E-Journal},
  volume={11},
  pages={2017--16},
  year={2017},
  publisher={Kiel Institute for the World Economy (IfW Kiel)}
}",,
Inference with 'Difference in Differences' with a Small Number of Policy Changes (Merit dataset),"Individual-level U.S. Current Population Survey (CPS) microdata pooled across states and years (late 1980s-2000). Each row is a person-year observation with demographics plus state and year identifiers suitable for fixed-effects analysis. The sample spans all 50 states plus DC. Variables: coll: Whether the person is enrolled in college (1 = yes, 0 = no); merit: Statewide merit-aid program in effect in that state-year (1 = yes, 0 = no); male: Respondent's gender (1 = male, 0 = female); black: Race indicator (1 = Black/African American, 0 = otherwise); asian: Race indicator (1 = Asian, 0 = otherwise); year: CPS survey year (e.g., 1989-2000); state: Numeric CPS state code identifying the respondent's state (includes DC); chst: ""Changer state"" flag (1 = state that adopts a merit program during the sample window, 0 = otherwise)",What is the effect of the Merit scholarship on college attendance?,0.034,0.015,1,did,merit,coll,"male, black, asian",,year,,state,0,,,regm.csv,Table 2c,2011,economics,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GCBK24,,,,,,,
Inference with 'Difference in Differences' with a Small Number of Policy Changes,"Individual-level U.S. Current Population Survey (CPS) data pooled across years and states (late 1980s-2000). Each row is a person-year observation with demographics plus state and year identifiers for fixed-effects analysis. Georgia's HOPE (Helping Outstanding Pupils Educationally) scholarship program provided two years of full tuition for high school graduates with a B average and family income below $66,000. Variables: collegeAttendance: Whether the person is currently enrolled in college (1 = yes, 0 = no); hopeScholarship: Policy indicator for Georgia's HOPE program being in effect for that observation (1 = HOPE in effect for the person's state/year, 0 = otherwise); male: Respondent's gender (1 = male, 0 = female); black: Race indicator (1 = Black/African American, 0 = otherwise); asian: Race indicator (1 = Asian, 0 = otherwise); year: CPS survey year (e.g., 1989-2000); state: Numeric state code from the CPS identifying the respondent's state (includes DC)",What is the effect of the HOPE scholarship on college attendance?,0.072,0.043354,0,did,hopeScholarship,collegeAttendance,"male, black, asian",,year,,state,0,,,reg.csv,Table 1c,2011,economics,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GCBK24,,,,,,,
Dismantling the 'Jungle': migrant relocation and extreme voting in France,"This dataset combines municipal-level information from across France to study the political effects of migrant relocation after the dismantling of the Calais ""Jungle"" between 2015 and 2016. Data on temporary migrant reception centers, called Centres d'Accueil et d'Orientation (CAOs), were collected through a combination of systematic searches in local newspapers using Factiva and a publicly released dataset by CIMADE in October 2016. The media search recorded CAO locations and migrant counts reported in articles, while the CIMADE dataset listed 210 centers and their capacities. By merging these two sources, the final dataset includes 349 CAOs, closely matching the official government count of 365 centers. CAO capacity was measured either using the maximum number of migrants reported in media articles or the number of beds provided in the CIMADE dataset. Variables: period: A discrete variable representing the time period (1 = pre-2012, 2 = 2012, 3 = 2017); log_fn: The natural logarithm of the vote share for the far-right party, Front National (FN); log_melenchon: The natural logarithm of the vote share for Jean-Luc Melenchon, a far-left candidate; log_turnout: The natural logarithm of the voter turnout rate; evol2_fn_2012_2017: The change in the log of the FN vote share between the 2012 and 2017 presidential elections; evol2_melench_2012_2017: The change in the log of the Melenchon vote share between 2012 and 2017; evol2_turnout: The change in the log of the voter turnout rate between 2012 and 2017; right_: A binary variable indicating if the mayor of the municipality is right-wing; CAO: A dummy variable indicating if a municipality hosted a Centre d'Accueil et d'Orientation (CAO), a temporary migrant reception center; CAO_period_1: A binary variable indicating the presence of a CAO during the first period (pre-2012, period = 1); CAO_period_2: A binary variable indicating the presence of a CAO during the second period (2012, period = 2); CAO_period_3: A binary variable indicating the presence of a CAO during the third period (2017, period = 3); period_1: Time period before 2012 (1 = time period before 2012, 0 = otherwise); period_2: Indicator for the year 2012 (1 = year 2012, 0 = otherwise); period_3: Indicator for the year 2017 (1 = year 2017, 0 = otherwise); ring5_CAO_period_3: A spatial spillover variable indicating the presence of a CAO within a 5 km radius of the municipality; ring10_CAO_period_3: A spatial spillover variable indicating the presence of a CAO within a 10 km radius of the municipality; ring15_CAO_period_3: A spatial spillover variable indicating the presence of a CAO within a 15 km radius of the municipality; tot_places_CAO_per1000: The total number of places in CAO centers per 1,000 inhabitants; migshare_: The share of foreign-born individuals (migrants) in the total population; num_group_vv: The number of group accommodation buildings used as an instrumental variable; volontaires_migrants: The number or share of volunteer migrants; evol_CADA_2012_2016: The change in the number of places in Centres d'Accueil pour Demandeurs d'Asile (CADA) between 2012 and 2016; log_tot_pop_: The natural logarithm of the total population; share_0014_: The share of the population aged 0 to 14; share_60p_: The share of the population aged 60 and over; log_median_inc_: The natural logarithm of the median disposable income; share_chom1564_: The share of the population aged 15-64 that is unemployed; female_: The proportion or count of females in the population; age_: The average age of the population; CSP_agri_: The share of the population in the agricultural socio-professional category; CSP_ind_: The share of the population in the industrial socio-professional category; CSP_sal_: The share of the population in the sales socio-professional category; CSP_lib_: The share of the population in the liberal professions socio-professional category; CSP_ens_: The share of the population in the education socio-professional category; CSP_func_: The share of the population in the public servants socio-professional category; CSP_div_: The share of the population in the diverse socio-professional category; CSP_retr_: The share of the population in the retired socio-professional category; coastal: A binary variable indicating if a municipality is located on the coast; log_hotel_rooms: The natural logarithm of the number of hotel rooms; log_min_dist_center: The natural logarithm of the minimum distance to a major city center; codeinsee: The INSEE code, a unique identifier for each French municipality; numdep: The unique identifier for a French administrative department",What is the effect of having a migrant reception center (CAO) on the vote share of the Front National (FN) for the year 2012 - 2017?,-0.042,0.01,1,did,CAO,log_fn,,,period_3,,,0,,,gamalerio_2022_dismantling.csv,Table 1 (1),2022,political science,CC0 1.0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RQFXPR&version=1.0,,needs preprocessing. We use data for the periods 2 and 3 only. ,,,,,
