defendant_age,previous_convictions,case_complexity,public_defender,plea_bargain,felony_charge,alternative_sentencing,recidivism_rate
24,19,14,1,1,0,0,31.79825211001384
44,13,9,1,1,1,0,23.13035994005132
26,13,11,1,0,1,0,32.56644816299485
21,21,12,0,1,1,1,34.59379436908774
23,9,7,1,0,1,1,39.39767662545215
33,10,7,1,1,1,1,34.067901157717195
47,16,8,1,1,1,1,22.47617576281445
42,22,16,1,0,0,0,19.45690778464748
17,26,2,1,1,0,0,28.447132008672067
4,18,7,0,1,0,1,46.56517697877667
15,22,10,1,0,0,0,31.69294924976063
41,17,13,1,1,1,1,27.883834328530885
26,18,4,1,1,1,0,28.001730015969645
40,24,12,0,0,1,0,18.830323693029168
31,16,7,1,1,0,1,30.974571965588005
22,22,7,1,1,1,0,28.991524113740617
38,28,8,0,1,1,0,17.900246879248982
26,18,9,1,0,1,0,28.810419785291312
33,13,9,1,1,0,0,28.593120333378007
39,16,7,0,1,1,1,27.499817359000183
29,15,12,1,0,1,0,29.187445411304388
22,8,6,0,1,0,0,36.8706444998872
42,27,10,1,1,0,0,18.02937580158504
36,26,10,1,1,1,1,24.60340675311569
34,15,10,0,0,1,1,31.99512945625924
35,24,15,0,1,0,0,23.644785501069567
27,21,4,1,0,0,1,30.64399172075385
33,18,7,0,1,1,0,24.95574455856367
25,11,6,0,0,1,1,36.83511113488012
26,15,12,0,0,1,1,37.360219845282224
26,16,12,0,0,1,1,35.280988374838856
28,23,12,1,0,1,1,29.37588104522744
34,26,13,1,0,1,1,24.830097976171437
37,24,7,1,1,1,1,24.266765094412985
24,14,15,1,0,1,1,38.698632283625216
22,26,6,1,1,1,1,29.7193003059573
27,19,9,1,1,1,1,34.00999728700663
42,19,10,1,1,1,0,21.85120755674984
33,22,10,1,1,1,0,23.907857965054
29,32,8,1,1,0,0,21.12358879770873
26,17,7,0,1,1,1,33.98226923849861
20,15,14,1,0,0,0,35.57428840710104
32,21,9,0,1,1,1,31.659803257541757
28,18,4,0,0,1,1,33.446397213999404
32,31,4,1,0,1,1,22.837955613821705
34,18,8,1,1,0,0,22.190791705646497
29,24,8,1,1,0,0,25.44417770953997
28,14,10,1,0,1,1,34.53265750132823
19,25,5,0,1,1,1,34.07068062752301
23,25,7,0,1,1,1,31.35977982176175
29,26,6,0,0,1,1,26.77211774304382
27,24,14,1,1,1,0,28.761300042681796
33,12,8,1,0,0,0,29.5914104874747
44,20,5,0,0,0,1,22.474610629258663
21,24,11,1,1,1,0,28.92736662395848
22,18,7,1,1,0,0,31.38836364179466
36,21,10,1,1,1,1,27.771648959209053
26,29,9,1,0,1,0,25.66227316035223
41,11,11,1,0,1,0,24.67583751586943
34,25,9,0,0,1,0,22.20764879617894
33,12,3,0,1,1,1,31.92037771176638
30,2,9,1,1,0,1,38.44851049506746
19,19,7,1,1,1,1,36.29512013633257
31,21,12,0,1,0,0,27.105308591084764
37,24,13,1,1,1,0,21.902503075092007
31,28,12,1,1,0,0,21.92450797151724
37,21,16,1,0,1,0,22.52007325166551
29,26,14,0,1,1,0,26.935665527079628
25,25,8,0,0,1,0,27.399820411443823
29,21,14,1,1,1,0,28.84588502058977
25,15,9,1,1,1,1,36.85909658575
16,20,12,0,1,1,1,38.56483363390253
22,17,5,1,1,1,1,35.48268757066199
13,14,10,1,0,0,0,37.71177566269798
28,10,11,0,1,1,1,38.56592577840389
27,6,9,1,1,0,0,33.874877499281354
31,18,7,0,1,1,1,29.840053461102627
25,15,7,0,1,1,1,34.97902271085168
29,25,11,0,1,1,1,28.84493770295812
20,17,14,1,0,1,0,34.18593639320878
16,15,10,1,1,1,1,42.22107035043704
27,15,8,1,1,0,1,35.0060760243175
22,19,6,0,1,1,1,34.325204742204434
16,22,12,0,1,1,1,38.33811115427715
34,17,9,0,1,0,1,29.06419318795489
26,16,10,1,1,1,0,29.86052347903731
23,33,10,1,1,1,1,29.1827277847266
13,23,8,0,0,0,0,34.92721540069505
23,28,11,1,1,1,0,25.58335450281852
17,15,13,1,0,1,0,35.51839561992993
38,23,13,1,1,1,0,21.686180120517083
30,19,10,1,0,1,1,32.3427874328444
17,32,12,1,1,1,1,34.299118496675185
19,12,17,0,0,1,0,39.50155315151987
30,13,13,1,1,1,1,33.70146142468011
35,23,12,1,1,0,0,21.61423876201228
17,17,4,1,1,1,1,37.08044542189755
37,17,12,1,1,0,0,23.70468196787097
24,21,13,0,1,1,0,30.506147299557203
39,23,12,1,1,0,0,21.03855434024636
33,17,13,1,0,1,1,31.63277161662467
22,15,12,1,0,1,1,37.845261585931645
29,13,7,1,1,1,1,32.506837596303896
22,11,7,1,1,1,1,37.50444225363061
32,23,10,1,1,1,0,25.77911294359965
26,20,9,1,1,1,0,29.308650913908423
33,24,13,1,1,0,0,24.796524723861264
33,27,16,1,1,0,0,23.16977194746403
24,16,9,0,1,1,1,36.571174131735695
31,19,9,1,1,1,0,25.495483625563185
42,28,13,1,0,1,1,21.002361500224367
38,24,12,0,0,0,0,20.764525033065222
26,23,10,1,1,1,1,32.837565584946965
23,18,13,0,1,0,1,36.959775467412
15,19,7,1,0,0,1,40.01843425970279
36,17,11,1,0,0,0,24.71289403174448
43,13,9,1,1,0,0,22.642650136687703
42,7,11,1,0,1,1,31.752070601038216
33,21,9,1,1,1,0,24.572645554149133
41,16,12,0,1,1,0,23.37536899518214
40,26,13,1,1,0,0,19.499147702893083
31,14,7,0,1,1,1,33.88516229121465
25,31,8,0,1,1,1,28.950278624074546
24,27,9,0,1,1,1,30.268405737007978
33,20,11,1,1,0,1,27.82344694798174
24,19,10,0,1,0,0,30.96742605490925
19,28,6,0,1,0,0,29.140016233051
22,24,9,1,0,1,1,32.21287964283412
29,20,14,1,1,0,0,27.941792022423463
15,18,11,1,1,0,0,35.38883316567489
29,15,10,1,1,0,1,32.0315098922633
38,26,6,0,1,0,0,18.261095142945784
30,25,3,0,1,1,1,29.26789978136479
23,11,15,1,1,1,1,40.37309320144231
38,16,9,1,0,0,1,29.028031490730616
38,11,12,1,1,0,0,27.261363862321133
39,22,6,0,1,0,0,19.438422260677346
39,13,4,1,1,1,1,28.354012490385127
26,17,10,0,1,1,0,31.26522434994883
27,16,5,1,0,1,1,34.29715840968759
42,18,6,1,1,0,0,21.096249023234776
22,21,11,1,1,1,1,36.53095593692891
38,19,10,1,0,0,1,26.467896547570252
24,8,13,0,1,1,0,35.560711029254925
37,25,8,1,1,1,0,20.437949049365503
19,23,14,1,1,1,0,34.19767690562661
27,18,9,1,1,0,0,29.54450154937932
25,16,8,0,1,1,0,31.690998540257368
17,28,16,1,0,1,1,34.97452649143421
33,22,6,0,1,0,1,27.49621586416433
21,14,8,1,1,1,0,33.59944273674097
28,17,13,1,1,1,1,33.02531644350832
35,14,12,0,0,1,1,33.65888733044557
22,18,10,0,1,1,0,34.293379067603595
29,14,5,1,0,0,1,31.817518845350698
48,15,2,1,1,1,1,21.601289150030787
41,17,10,1,1,0,0,21.68032429587539
33,14,12,0,0,1,0,29.363191319632385
25,32,10,1,1,1,1,28.451926612011743
24,14,8,0,0,1,0,34.55048535603921
41,6,5,1,0,1,1,30.358277080664507
22,14,11,0,0,1,0,34.115179925682405
25,17,10,0,0,0,1,34.95182909113082
29,22,14,1,0,1,0,27.190965987083672
41,15,13,1,0,1,1,28.81844565840715
27,19,10,1,1,1,1,33.840183457804194
39,22,7,1,1,0,0,19.50278562091582
26,13,10,0,1,1,0,33.39948527554222
24,15,7,1,1,1,0,31.158765367498862
32,15,9,0,0,0,0,28.383944151532692
22,15,10,0,1,1,0,34.06686759619714
32,18,7,1,1,1,0,26.35150516591624
34,20,10,0,1,1,1,29.54658634841949
33,34,17,1,1,1,0,21.92846173657319
18,10,6,1,1,1,0,37.39860265289469
30,26,13,1,0,0,0,24.538580007641063
28,9,13,1,1,1,0,33.47656037791815
26,18,10,1,1,1,1,32.577592331425755
37,5,15,1,1,1,0,31.825818204218717
17,22,9,1,1,1,1,38.47010631342986
43,25,10,0,0,1,0,18.05797521293557
32,23,13,0,0,1,0,25.86299945229936
21,30,12,0,0,0,0,28.43043837799844
23,18,8,0,1,1,0,30.566802355608967
37,29,8,1,0,0,0,17.13908959201268
28,16,11,1,0,1,0,29.706100276178788
25,16,11,1,1,1,0,30.899466007950277
22,22,10,1,1,1,1,33.70785163420191
26,35,6,1,1,1,0,21.88689823370903
21,21,8,1,1,1,1,35.18006322254294
43,32,5,1,1,1,1,16.755196038067883
36,13,13,1,0,1,0,28.468989191208568
42,15,10,1,1,1,1,27.58563341456309
34,23,6,0,0,1,1,27.51498399273959
23,18,13,1,1,0,1,37.4135737074402
22,24,16,1,0,1,0,29.97043285912749
30,17,8,1,1,1,1,30.85192155057016
28,26,12,0,1,1,1,30.30724218094813
19,22,9,1,1,1,1,35.864190196444724
29,26,9,0,0,0,0,24.893128115325712
25,16,15,1,0,1,1,37.57811388843349
41,14,10,0,1,1,1,29.948524388891315
25,14,9,1,1,1,1,36.88457060818115
20,17,10,0,0,1,1,38.05044997533181
20,24,10,1,0,1,1,35.26029211952719
26,21,16,1,1,1,0,30.63946329089477
26,20,5,1,1,1,1,32.230807301668534
38,22,15,1,1,0,1,27.276400427729897
27,15,12,0,1,0,0,30.505575207860616
15,14,7,0,1,1,0,35.855474741581986
43,28,7,0,1,0,0,16.17208395789553
28,19,8,1,1,1,0,27.79985687011279
13,17,10,1,1,1,1,42.236552092671474
31,11,10,1,0,0,0,29.86583780755269
35,16,4,0,1,1,1,28.263995177552854
33,20,10,1,0,1,1,28.809460556653185
29,26,12,1,0,1,0,24.439032554004903
24,20,12,1,1,0,1,34.97359289121625
37,19,9,1,0,0,1,29.190229114919035
36,4,14,1,0,1,0,33.32601104554032
28,26,9,1,1,0,0,27.00753923661297
30,15,5,1,0,1,1,31.29022595897328
38,7,11,1,1,0,0,29.012287721490598
31,14,16,1,0,1,0,29.62068834002212
31,17,13,1,1,1,0,28.97670257085572
27,8,11,1,1,1,1,39.46225025194359
45,24,11,1,1,1,0,16.68084761881719
37,28,12,1,0,1,0,19.70909875183416
23,13,13,1,1,1,0,34.64944075121436
33,25,11,0,1,0,0,21.085272224747865
30,11,5,0,0,0,0,30.72901909126332
27,24,4,1,1,1,1,29.52048397781577
29,25,8,1,1,1,0,22.95289624325424
27,18,7,1,0,1,1,33.39488371810095
18,22,15,0,1,1,1,39.5151233971236
35,24,6,1,0,1,1,25.426082773680942
39,20,13,1,1,0,0,21.277922686855685
23,15,3,0,1,1,1,36.41093430449025
33,28,7,1,0,1,0,19.57556385134606
9,25,8,0,1,0,0,34.60731754502429
22,23,6,1,1,1,1,32.71880459979083
30,30,3,1,1,1,1,23.155579067163973
23,16,7,1,1,1,0,32.56503453440861
30,16,5,1,1,0,0,26.19088392024086
26,20,7,1,1,1,1,31.37034272165421
16,16,11,1,1,1,1,41.04428901988785
28,12,8,1,0,0,0,32.05275110932443
21,25,7,1,1,0,1,33.592895384947425
24,28,14,0,0,0,0,26.954434892140718
28,15,17,1,1,1,0,32.304384191299235
30,20,12,0,1,0,0,28.33418676922262
35,18,2,1,1,1,1,26.935201708494212
33,7,7,1,1,1,1,34.08408900789905
44,26,8,1,0,0,0,14.758573342894705
31,16,11,1,1,1,0,28.63220217488872
30,20,7,0,1,0,0,27.020355046804895
37,19,14,1,0,0,0,22.77673110059694
28,15,6,1,1,1,1,32.70733702155153
31,27,9,1,1,1,1,27.16343531806538
26,28,5,1,1,0,1,27.58269988551024
43,27,9,0,1,0,0,15.7567525372585
23,19,7,1,1,1,1,33.68188344490856
27,23,6,1,1,0,1,29.990543810728763
47,19,5,0,1,1,0,18.171211984678557
38,17,9,0,1,1,0,24.36760016115876
30,23,4,1,1,1,0,23.442082499697165
19,19,12,1,1,1,0,34.63741591464493
28,20,6,1,1,0,1,31.62719563027489
51,24,8,1,1,0,0,12.710767423193966
33,11,9,1,1,0,0,29.85307866260951
32,13,8,1,0,0,1,33.60965726328063
24,16,4,0,1,0,1,36.04891853250999
22,14,10,1,1,0,0,34.441486197984545
36,7,13,1,1,0,0,29.24380793248672
27,15,10,1,1,1,0,32.13084548703424
21,17,10,1,1,0,1,37.59249696293692
35,24,13,1,1,0,0,25.963074179145707
21,37,7,0,0,1,1,27.521468440013976
30,24,9,0,1,0,0,25.38232189034081
18,14,5,0,1,0,1,39.887647284536826
33,19,11,1,1,0,0,26.202304759926527
46,14,5,1,0,1,1,23.823845456082925
21,18,8,1,1,1,1,38.5091716539247
20,23,15,1,0,0,0,30.92900698563388
30,23,12,1,0,0,0,24.17847050989989
16,20,4,0,1,1,1,36.91890692665679
23,18,7,0,1,1,1,37.768197569973694
23,17,12,1,1,1,0,31.006788653131448
33,24,14,1,1,0,0,23.40852069854957
23,20,5,1,1,0,0,30.409370854728976
30,22,5,0,1,0,1,29.535841712702176
25,13,8,0,1,1,1,37.51198834852487
32,14,14,1,1,1,0,28.98638230569348
23,12,5,0,0,1,1,37.288369677103525
33,17,11,1,1,1,0,26.377755405018444
38,13,13,1,0,1,0,26.265435159567367
27,13,11,1,1,1,1,36.25589096638138
31,21,9,1,0,1,1,27.912119982000696
41,-1,12,1,1,0,0,29.977072358646364
34,26,10,1,1,0,1,24.447158199290524
29,15,9,0,1,0,0,29.41399907220979
23,-5,13,1,0,1,1,47.9866208239586
37,25,13,1,1,1,0,21.47730656573753
19,26,6,0,0,1,1,33.72797866713939
25,26,3,1,1,1,1,27.373623731662036
19,21,6,0,1,0,1,36.80213994504388
21,15,9,1,0,0,0,34.295540794557134
31,21,12,0,0,1,1,31.061729583755625
34,10,11,1,0,1,0,28.77503797799943
24,21,7,1,1,1,0,27.273501722288344
30,18,9,1,1,1,1,30.89469086360621
25,11,9,1,0,1,1,36.716416563990656
28,11,5,1,1,1,1,33.56048281977063
21,23,14,1,1,1,0,33.36516551724909
22,18,12,1,1,1,0,33.46331866054281
22,20,7,1,1,1,1,34.22497547168837
15,13,6,0,1,1,1,41.64911045311288
35,28,8,1,1,1,1,23.562595464891995
33,29,8,0,1,0,0,22.158002026462835
29,20,11,1,1,1,0,27.911070463815165
29,13,7,0,1,0,1,35.62935485969061
27,15,8,0,1,1,0,31.674764611965998
39,29,4,1,0,1,1,19.05931286754088
22,12,10,1,1,1,0,34.67280983783806
28,22,11,1,1,1,0,27.38668109058209
23,23,14,0,1,1,0,32.572391960621914
24,18,12,1,0,1,0,32.2356534234686
17,29,9,0,1,1,0,30.614579604228435
34,20,15,0,1,0,0,27.115314630808903
27,7,12,1,1,0,0,33.5750670046339
38,20,6,1,1,1,1,25.865092868239596
29,6,9,1,1,0,1,36.959611555917945
37,19,7,1,0,1,0,22.03912920133139
32,16,11,1,1,0,0,27.259999184919373
28,13,12,1,0,0,0,29.658212367630664
25,9,14,1,0,0,0,36.8746457715597
40,19,9,0,1,0,0,21.60676147044406
33,20,9,0,0,1,0,25.58086510975186
28,16,12,1,1,1,1,34.64494885538332
25,26,5,1,1,1,1,31.531305400270448
27,17,10,1,1,1,1,34.00999635276784
25,7,6,0,1,1,1,38.69752734982124
40,19,8,0,1,0,0,21.91738005946757
40,16,11,1,1,0,1,25.576709095616383
27,5,12,0,0,0,1,39.86758518970903
33,23,11,0,0,1,1,30.003309158151115
37,22,12,0,1,0,0,23.224114384155484
35,21,10,1,1,0,1,26.78723995270121
29,14,9,1,1,1,1,33.43229367487417
30,6,13,1,1,1,0,35.75736224758843
34,16,8,0,1,1,1,31.94978152849467
30,20,12,1,1,0,0,26.696801865474303
39,9,7,0,1,1,0,27.05844517054317
54,28,10,0,1,0,0,9.400274525575975
28,7,15,1,1,1,1,37.82469204632707
26,19,13,1,0,1,0,29.960324489869052
38,25,8,1,1,1,1,22.96103848727071
29,17,5,1,1,1,1,30.09564555811788
37,15,11,1,1,1,1,30.584167142347123
48,15,10,1,1,0,0,18.98811689601627
44,16,9,1,0,0,0,20.177265680305933
52,16,9,1,0,1,1,19.8972196011171
37,20,6,0,1,1,0,22.21638911808103
30,15,12,0,1,0,0,31.623777228321224
40,15,6,1,1,1,1,26.70965628129389
35,33,6,1,1,1,1,19.759128710664545
32,17,13,1,0,0,0,28.13810823600909
29,29,10,0,0,0,0,22.62396056680637
39,19,9,1,1,1,0,22.821306732117044
19,24,6,1,0,0,1,33.410416842599794
31,31,10,0,1,1,1,26.2229569866082
18,20,17,1,0,1,0,34.68901040358916
22,17,4,1,1,0,1,34.878899392469336
26,27,17,0,0,0,0,28.46336942330022
21,22,6,0,0,1,1,33.10578434878859
30,26,8,1,1,1,1,27.018213694199588
25,25,9,1,0,1,0,26.337140228795253
24,20,8,0,1,0,0,30.032636715565975
40,16,10,0,0,1,1,29.58648762570643
23,29,12,1,1,0,0,29.07734786529429
31,13,7,1,1,0,1,33.200787591836885
15,30,12,1,1,1,1,35.207683494972635
16,17,10,1,1,1,1,38.99606833531744
27,15,8,1,1,1,0,28.978711525360747
35,20,8,1,0,1,0,22.863858086231403
38,22,5,1,0,0,0,18.773275015029544
33,10,7,1,1,1,1,35.44875063915248
44,18,6,0,0,1,1,25.55835536029582
33,25,10,1,1,1,1,26.692187569693772
17,21,10,1,0,1,1,36.43411854776642
31,21,10,1,0,1,1,31.048086436476257
28,13,12,0,0,1,1,37.17916878929973
39,27,11,1,1,1,0,17.880087374245804
42,19,11,1,1,0,0,21.277995330956013
29,18,7,1,0,0,0,27.501580052638836
33,16,14,0,1,1,0,29.54133667529388
26,19,13,1,1,0,1,32.72200146803313
27,12,12,1,1,0,0,33.98606176715797
36,25,9,0,1,0,0,21.509500227329944
39,14,6,1,1,1,1,28.760824400221104
39,19,12,1,1,1,0,22.66417634759922
29,22,9,1,1,1,1,28.854890832911316
24,24,10,0,1,1,1,32.186939185566914
31,22,11,1,0,1,0,25.846673210394727
23,15,9,1,1,1,1,37.027371187440544
11,24,9,1,1,1,0,34.27192813671523
35,12,6,1,1,0,1,31.52389299197001
22,20,6,0,0,0,1,36.99770580651685
36,19,11,1,1,0,0,22.62105426499
36,23,14,1,1,1,0,22.38317573954131
30,20,9,1,1,1,0,26.418620011572717
16,17,6,1,1,1,1,39.37096665551502
27,14,9,1,0,1,1,34.71734760568097
22,27,10,1,1,1,1,31.22657574956556
32,19,12,1,1,0,0,25.901717853269243
31,21,9,0,1,0,0,25.62100581629572
27,19,9,1,1,0,1,32.82161338792347
35,20,8,1,1,1,1,27.04259814009071
44,18,9,1,1,0,0,20.870491525328266
20,21,15,1,1,1,1,38.13226904314789
19,18,11,1,0,1,0,35.19263106494152
30,15,11,0,0,1,1,35.663058038100026
29,11,14,1,0,1,1,34.72310619306701
34,23,11,1,0,1,1,29.125914412286814
36,16,13,0,0,0,1,31.97462825444465
24,20,17,1,1,1,1,37.04444818091205
16,15,8,0,1,0,1,41.22581047731412
34,22,8,1,1,1,0,22.472513019644552
27,29,10,0,0,1,1,29.70990071411769
16,29,9,1,1,0,1,35.09495768317148
36,28,14,0,1,1,0,22.28789191941413
40,27,9,1,0,1,0,18.320039781012262
21,16,7,0,1,0,0,34.9194756348882
35,31,9,1,1,1,0,17.05827321082774
29,30,8,0,1,1,1,26.904265489387395
28,15,9,0,0,1,0,30.548892479785422
46,16,8,1,1,1,1,23.196691830115928
29,23,8,1,0,0,1,29.3751510880816
22,24,11,1,1,0,0,29.02413956270997
18,9,10,1,0,1,0,38.13720693652446
40,39,7,1,0,1,0,11.304510086326292
41,29,8,1,1,1,0,14.552407269614353
28,22,10,0,1,1,1,31.5206546768257
27,15,9,1,1,1,1,34.85370215559808
36,31,9,0,1,1,1,21.94957569445093
18,21,9,0,0,0,1,37.862077563457845
30,23,7,0,1,1,1,28.118951514476286
30,23,9,0,0,0,1,29.24604941206444
36,15,10,1,0,1,1,29.03687196661999
26,21,11,1,1,0,0,27.882135263625248
28,19,9,1,1,1,1,31.570655035270764
38,19,6,0,0,1,1,26.937269738621904
35,27,10,1,1,0,0,20.631011342242555
41,21,12,1,1,1,0,21.11551313567315
23,28,12,1,1,1,0,28.837106693529336
28,19,12,1,1,1,0,30.80299950821745
29,14,11,0,1,0,1,34.60472737579743
49,17,9,0,0,0,1,22.863877449781285
33,15,4,1,0,1,1,30.1544174805877
17,19,6,1,1,1,1,38.04940695742156
27,27,11,1,1,0,0,24.1270895862506
48,13,9,1,1,1,0,18.099865964238493
28,18,6,1,1,1,1,33.292926575655414
22,13,7,1,0,0,1,39.07541414477252
31,24,10,0,1,1,1,29.138901264337893
35,19,9,0,0,1,1,29.02685369215495
33,17,10,1,0,1,1,31.77529885055073
20,16,15,0,0,1,1,39.74108640467688
26,20,12,1,1,1,1,34.20300491559094
27,14,12,1,1,1,1,34.524165993227136
22,18,4,0,0,1,1,35.7816354859112
24,18,11,0,1,1,1,34.989785468921404
30,26,8,0,1,0,0,23.69391844411786
23,18,12,1,1,0,0,33.30398976249922
33,22,13,0,1,1,0,24.677179161094035
31,22,12,1,0,1,0,26.300741109058
29,24,13,1,1,1,0,25.92450760485561
24,20,10,1,1,1,1,34.27946386954632
37,26,9,1,1,1,0,18.9352151594438
44,14,10,1,0,0,0,22.328779769527827
24,28,7,1,1,1,1,27.356674573294008
28,20,5,1,0,1,1,29.773140051104196
25,17,9,0,0,1,1,35.11318872549093
19,23,9,1,1,0,1,34.23325187492731
42,18,9,1,1,1,1,24.86483870626269
30,17,10,1,1,0,0,28.428163427478463
36,25,15,0,1,0,0,21.59088755680721
27,20,14,1,1,1,0,27.71452085879385
26,23,7,1,0,1,1,31.981020809198554
29,19,10,1,1,1,1,31.4478872018468
23,25,8,0,0,1,1,30.395235895952844
23,22,12,0,1,1,1,35.26255479373336
19,7,7,1,1,1,1,43.668714451966586
27,11,11,1,0,0,0,32.27994062246639
37,13,3,1,1,0,1,29.20476618742046
40,24,8,1,0,0,0,19.381215965229263
31,33,15,1,1,0,0,22.469169355027176
40,20,7,1,1,1,1,24.293171810108294
24,18,13,0,0,1,0,32.20971352450611
28,16,13,1,0,1,1,33.93730715291918
28,23,8,1,0,1,1,31.08698158010113
39,24,13,0,1,1,1,25.91267810197748
39,14,9,0,0,1,1,28.994389470688315
47,28,11,1,0,1,0,12.903261621561516
35,27,9,1,1,1,1,24.415356339232652
34,23,6,1,1,1,1,24.385001295281235
26,16,11,1,0,1,1,33.847854106399204
21,14,13,0,1,1,1,40.54924321276978
34,7,11,0,1,0,0,32.056905308140415
35,10,8,1,1,0,1,31.103641603186816
26,16,13,0,1,1,0,31.25837415135817
23,23,9,1,1,1,1,33.029189460496056
39,13,7,1,1,0,1,28.00256936695164
34,21,4,0,1,0,0,24.285520127575168
38,20,9,0,0,1,0,22.153052196003863
29,21,11,1,1,1,1,30.99485857226361
40,18,4,1,1,0,1,24.696766011616667
55,16,8,1,0,1,1,19.7032772966525
28,13,9,1,1,1,1,35.510614357586434
10,20,12,1,0,1,1,43.74872525506455
29,17,7,1,1,1,1,32.49611093094403
29,20,13,1,1,0,0,28.603935935918496
34,11,9,1,1,1,1,32.40282743737367
33,22,16,0,1,1,0,25.94767864886986
20,13,10,1,1,1,1,38.637175730139774
45,17,13,1,1,0,0,21.773254907813698
28,24,4,1,0,0,0,24.83687596538709
22,20,8,1,1,1,1,34.34231151112528
32,20,12,1,1,0,0,25.45274337246165
23,17,10,1,1,1,0,32.853936572732586
36,24,13,1,1,1,0,22.475756064489666
26,26,6,0,1,1,1,29.37104350060144
27,12,6,1,1,1,1,34.90741876878504
26,10,9,0,1,0,1,39.45644500630596
33,20,10,0,1,1,1,30.153113033409763
22,23,13,1,1,1,1,34.4430368026909
24,20,13,0,1,1,1,34.98082220193422
34,21,6,1,1,0,0,22.44306393595439
24,26,11,1,1,1,0,29.88193286165644
27,8,13,1,1,1,1,38.36156655320367
27,10,11,0,1,1,1,39.16844791773653
38,16,5,1,0,0,0,23.521335926110485
28,27,9,1,1,1,0,24.04144507166057
26,25,15,1,0,1,0,28.634905436770364
18,12,7,1,1,0,1,39.99916968658789
21,17,9,0,1,1,0,31.57005886512273
19,21,4,0,0,1,1,33.594882171199984
30,15,6,1,0,1,0,27.389883446301088
36,19,6,1,1,1,0,23.653629470129385
36,11,12,0,0,1,1,32.31640163446612
28,21,13,0,1,0,1,32.412278681745285
28,22,12,1,1,1,0,27.87255521135789
42,14,10,1,1,1,0,22.23922894579896
26,20,12,1,1,1,0,30.44494843409193
27,23,8,1,1,0,0,26.65716796243192
29,23,9,0,1,1,1,30.433858153628435
35,26,11,1,1,0,0,22.068986098942258
29,6,9,0,1,1,1,37.12885138055322
32,19,12,1,1,1,1,32.259067947636034
24,23,9,1,1,0,0,27.281237425502862
46,19,12,1,0,1,0,18.66021203341022
17,26,4,0,1,0,1,33.37909698645015
21,22,11,1,1,1,1,33.91719884146101
33,17,13,1,1,1,1,32.28529077976393
30,13,12,0,1,1,0,30.15873368779851
31,11,11,1,0,0,0,29.54532695100696
26,11,11,1,1,1,1,37.67084908325622
28,26,9,0,0,1,1,29.175344956487283
20,20,7,1,0,1,1,34.752609426159125
28,18,14,1,1,1,1,32.92625922322573
29,19,7,1,1,1,0,26.3319630566476
23,31,8,1,1,1,1,30.507409871841908
13,18,6,1,1,0,0,36.27407211647811
39,18,10,0,1,0,0,23.93807976027098
