defendant_age,judge_experience_years,gender,public_defender_assigned,prior_convictions,public_defender_experience_years,legal_representation_hours,trial_length_days
15,31,1,1,0,10,21,182.0301088495464
8,29,0,1,1,11,26,206.31423397604647
16,31,0,0,0,11,21,184.8736395451776
8,33,0,0,1,12,27,217.0724470663394
8,31,0,1,1,11,25,202.2496312026005
10,29,1,1,1,14,28,218.852485354882
9,32,1,0,1,8,24,198.5387163513855
11,33,0,1,0,8,20,177.52706281750153
12,32,0,0,1,12,24,200.75682306930264
11,33,0,1,1,9,20,178.71182802242313
12,29,1,0,1,11,24,197.9517458578789
14,27,1,0,1,12,25,204.2362448101634
6,30,0,1,1,10,26,205.67737427635103
10,29,0,1,0,12,25,200.6180563707651
7,32,1,0,0,9,25,203.6463922632938
13,30,0,1,0,13,24,196.6736601843408
15,30,0,0,0,14,23,190.2692924824192
