age,income,home_owner_status,previous_loan_history,job_stability,loan_grant,loan_repayment
16,24,1,1,1,1,82.58332894280784
16,24,1,1,0,1,80.26172074616655
14,27,0,1,0,1,80.36694696653745
32,25,0,1,1,0,83.47808122175334
32,22,1,1,1,0,83.31964131268784
17,26,1,1,1,1,82.10574290300005
24,25,0,1,0,0,78.55550399418132
31,24,1,1,1,0,81.95679976098816
24,21,1,1,0,0,77.802466765337
33,21,1,0,1,1,86.14944448031548
11,32,0,1,1,0,77.99047026963189
34,18,1,0,0,1,82.7189530603083
27,32,1,1,0,1,89.4590228236701
29,26,0,1,1,1,87.07193007922062
28,27,1,1,1,0,82.74523128008853
46,34,1,1,1,0,93.5841222880472
23,29,1,1,0,0,81.24337345850442
24,23,1,1,0,0,78.55046952363185
31,27,1,0,1,0,86.76514331240843
36,27,1,0,1,0,88.77412484633444
20,20,0,0,1,0,74.30631628167725
38,22,1,0,0,1,86.36547212373051
19,20,0,1,0,1,77.69255236910172
34,21,1,1,1,0,84.29975786142097
14,23,1,0,1,0,76.67602972490529
35,19,1,1,1,1,85.66969770532012
28,22,1,1,1,1,82.65849235737349
49,24,1,1,0,0,89.73358442454214
7,12,1,1,1,0,69.59278131716563
30,32,1,1,1,1,91.225969252039
26,19,1,1,1,0,78.16652715398965
30,18,1,1,1,0,77.42317632943309
9,21,0,0,1,1,76.49246593527839
-2,24,0,1,0,1,73.23315357996711
42,26,1,0,0,0,86.2977630946103
25,25,1,0,1,1,85.4026074735236
34,21,1,0,1,1,86.56808016136806
30,18,1,0,0,1,81.66154483276881
15,21,0,1,1,1,78.30119935797805
34,18,1,1,1,0,81.47354605733038
22,23,1,1,1,1,83.85751491676022
25,24,1,1,0,0,78.95210031444113
23,19,1,1,0,1,80.18015834859428
38,26,0,1,1,1,88.1379730688048
39,23,0,0,0,0,83.66611289747352
40,24,1,1,0,1,89.72577168412218
8,27,1,1,0,1,77.88935249898498
27,22,1,0,1,1,83.62772490529817
29,26,0,1,1,1,86.1989018004054
32,26,1,0,1,0,85.36762408991015
34,19,0,1,1,1,85.97114670748252
21,29,1,1,0,1,84.10664182089029
7,29,1,0,0,0,76.87947221295003
37,21,1,1,1,1,88.51575353181387
23,25,1,1,1,1,83.37658773745196
31,17,0,1,0,0,77.7182936364788
21,25,1,1,1,0,80.70038634762189
26,21,1,1,1,0,79.18104913990273
5,20,1,0,1,1,75.53203010863743
31,26,0,0,0,0,83.65306989726638
27,15,1,1,1,0,75.6892118946242
6,30,1,1,1,1,81.12959981760424
20,25,1,0,0,1,82.84715421458047
34,29,1,0,1,1,89.97678138997858
21,22,1,1,0,1,81.28193062191825
15,17,1,1,1,0,74.1975442127527
10,25,0,1,1,0,75.43725737476356
39,25,1,1,1,0,86.13217291377167
26,21,0,1,0,0,75.69781574099329
26,17,1,1,1,0,77.52835961710242
14,25,1,0,0,1,80.70019254989727
26,26,1,1,1,0,82.60091374867534
36,22,0,1,1,0,83.15490241996116
2,16,0,0,1,0,68.13137807428016
22,29,1,1,1,0,82.55962633494018
22,16,1,1,1,1,79.176089838346
18,25,1,1,1,1,79.95611939966982
15,25,1,1,1,0,77.74781087196116
35,19,1,1,1,0,81.66977152185466
28,17,1,0,0,0,78.21799899367879
32,21,1,1,0,0,80.05229158947523
35,25,1,1,0,1,86.76571711800962
28,23,0,1,0,1,83.96081853128972
32,24,1,0,0,1,84.67815007639436
24,29,0,1,1,1,86.68047295493895
31,19,1,0,1,0,80.69409887089677
22,22,1,1,1,0,78.39162845597721
21,22,1,0,0,1,80.47081178138316
13,23,1,1,0,1,78.54347945944585
35,26,1,1,1,0,85.43770179806305
13,32,0,1,1,0,79.7912808116317
14,23,1,1,1,1,78.85332098948112
17,23,0,0,0,1,78.52839745107029
10,23,1,1,1,0,75.12739466507273
11,28,0,1,1,1,80.428190785392
10,24,0,1,0,1,78.50332066836185
13,16,1,0,1,0,73.86698940396775
30,26,0,1,1,1,86.13079945693845
17,23,0,0,0,0,75.68584523864892
13,22,1,1,1,1,78.94249664744066
36,24,0,1,1,1,86.85277862466424
45,22,0,1,1,1,90.30339685913572
19,28,1,1,1,0,78.66886385088787
16,19,1,1,1,1,79.15767504423732
45,23,0,1,1,1,91.36527034079826
11,26,0,0,0,1,78.75405765118455
12,18,1,0,1,1,74.66056971063944
12,24,1,0,1,1,79.15292491905693
29,18,1,0,0,1,81.74221212786328
20,27,1,1,0,0,81.67917445642895
24,26,1,1,1,1,85.78840683215302
18,13,1,0,1,0,70.70274410188021
22,14,1,1,1,0,74.31152777843683
30,19,0,0,1,0,80.78262153708361
16,22,1,1,1,0,79.1667601265437
48,29,1,1,0,0,90.5010835768941
26,18,1,0,0,1,80.67795335423563
29,18,1,1,1,0,80.67585077280233
25,22,0,1,1,0,78.87955870198485
6,15,1,1,0,0,69.70583991053209
21,13,1,1,1,0,73.45747859495552
11,17,0,1,1,0,72.76343872718297
25,27,1,1,0,0,81.15270860877821
21,23,1,1,0,0,77.24704975616952
17,21,0,1,1,0,75.48922410125641
27,27,1,1,1,1,86.68638805518208
21,27,1,0,1,1,84.56913240385724
38,19,1,0,1,0,81.68573616091831
31,29,1,1,0,1,88.01200700291803
11,19,1,0,1,0,74.11553895341656
38,32,0,1,0,1,90.58164332447691
16,35,1,1,0,0,82.38158635974439
37,23,1,1,1,0,83.59318630219961
42,19,0,0,1,0,83.68940640497286
18,24,1,0,0,0,76.39079461313858
35,26,1,1,1,1,89.62746271380833
30,22,1,1,0,1,86.11033489270228
35,20,0,1,1,0,82.54091754120212
40,24,0,0,0,1,88.59504234856108
19,23,0,1,1,1,80.73539917325611
16,21,1,0,1,0,75.3737367435849
42,25,0,0,0,0,85.25759302654018
19,27,1,1,0,1,82.44786011823399
21,21,1,1,1,1,82.94158179342134
42,21,0,1,1,0,86.96555052652887
16,21,1,0,0,0,74.05888862666725
22,23,1,1,1,1,83.39111458719059
23,22,1,1,0,1,81.10204776939365
52,19,1,1,1,1,92.1433005421698
17,24,0,1,0,0,76.7494990129687
22,22,1,1,0,0,78.43211859066768
33,22,0,0,0,1,84.65280376825865
29,26,0,1,0,0,80.79838573336235
20,29,1,0,1,1,83.40295047453199
25,21,0,1,1,0,80.21250468115785
10,32,1,0,1,1,81.6227005590581
6,25,1,1,0,0,74.89238663452576
33,22,0,1,1,0,82.074926246323
25,25,1,0,1,0,81.24719848688262
26,28,1,0,1,0,82.8620190801252
49,22,0,1,0,0,86.57334970228979
22,27,0,1,1,1,83.9766220633426
13,28,1,0,1,1,82.11633729651454
41,23,1,1,1,1,89.50938414240434
43,26,1,0,0,0,86.18547664365744
31,25,1,1,0,0,82.1219840674369
28,30,1,1,1,0,84.76269076905965
15,26,1,1,1,0,78.82952444069097
5,21,0,0,1,1,73.84189526822483
24,18,1,0,1,1,80.8923927005508
36,28,0,1,1,0,85.54064302432857
25,25,1,1,0,1,84.60955805709631
15,21,1,1,1,1,81.04966406483166
33,23,0,1,1,0,81.55639856924067
18,19,1,1,1,1,78.79275642067347
13,23,1,0,1,0,76.7743763868894
43,24,1,1,1,0,87.48882184965503
16,14,1,0,1,0,73.11388829734533
19,20,1,0,1,1,78.90660158332304
16,23,1,1,0,0,75.40031169526479
36,25,1,0,1,1,88.93255731346629
41,21,1,0,0,1,87.0630284340841
23,24,1,1,1,1,85.26828555608981
30,23,1,1,1,0,81.76542196395746
18,21,1,1,1,1,80.38165654084011
33,19,0,1,1,1,83.51037696503894
37,25,0,1,1,1,88.26432419031862
24,18,1,0,0,0,76.8176471664767
28,19,0,0,1,1,81.08851596330268
14,18,0,1,0,1,74.63159763015214
35,27,1,0,1,0,86.09006425138817
31,26,0,1,1,1,86.27955618587951
26,18,0,1,1,0,76.91521182500263
37,26,1,1,0,1,89.31082679601555
39,23,0,1,0,0,83.96613490994395
42,25,1,0,1,0,87.98603711829435
18,22,1,1,1,0,76.26219248924738
23,21,1,0,0,1,82.07645439261657
22,33,0,1,1,1,87.1015925440153
19,24,1,1,0,0,77.27447997734441
23,27,1,1,1,1,85.810677613189
25,17,0,1,1,0,76.76190127737058
27,18,1,1,0,0,76.81364131997177
25,26,1,1,1,1,85.66479959977679
45,22,1,1,1,1,89.68064339102744
15,32,0,1,1,0,81.36199764009287
32,25,0,0,1,0,83.7348798643558
29,25,1,1,1,0,82.60356364999612
35,28,1,1,0,0,87.80173879500057
22,27,1,1,0,1,82.45171921096527
21,18,0,1,0,0,75.64396105931762
29,22,1,1,1,1,83.12368562386845
30,23,0,0,0,1,84.31905495090652
23,26,1,1,1,1,85.1570629814924
12,27,1,0,0,1,78.37029346784479
9,26,1,0,1,0,77.1049579791381
0,19,1,1,1,0,67.87557591755332
16,25,1,0,1,0,79.20489821442516
30,25,1,1,1,1,85.98397884891635
29,25,1,1,1,0,84.66260490559789
8,25,1,1,1,0,74.92784867709236
24,24,1,1,1,1,84.67162143216788
27,22,1,1,1,0,80.089798582964
-1,27,1,1,0,0,73.70226772377637
19,26,0,1,1,1,81.29584989271936
29,22,1,0,1,1,84.53935732342872
33,21,0,0,1,0,81.33729592357571
43,22,1,1,1,0,86.63011384588506
23,16,0,1,1,0,75.04524329484418
45,31,1,1,1,0,91.11310195561728
18,24,1,1,0,1,81.30360116005848
23,23,1,0,0,1,82.33796042881094
8,24,1,0,1,1,77.89704545231348
10,28,0,1,0,1,79.44866253851283
28,25,1,1,1,0,82.22103855709989
37,14,1,0,1,0,80.25713090022175
29,23,0,0,1,1,84.12414638524271
16,23,1,1,1,0,76.17332200721616
20,24,1,1,1,0,79.03262879648172
27,27,1,1,0,1,85.45217110173652
12,17,0,1,1,1,74.49835963331667
29,21,0,0,1,0,79.84031173510185
7,20,1,1,1,1,77.88434156655958
32,21,0,1,0,1,83.12287984105825
41,25,0,1,1,0,84.69031274655998
25,24,1,0,1,1,84.88690230410712
35,32,1,1,1,1,91.5492331754259
16,27,1,1,1,1,81.69684574584423
10,21,0,1,0,1,76.01645974554874
13,24,0,1,0,1,79.73982701024077
18,23,1,0,1,1,80.72600137462335
43,22,0,0,1,0,85.36588929020363
35,20,1,0,1,1,86.96530153083602
37,16,1,1,1,0,80.28730681832673
36,23,1,1,0,0,86.10738809279388
18,18,0,1,0,0,71.26100268095351
26,20,1,1,1,0,79.23151477901656
26,28,1,1,0,0,81.84915786262023
39,21,1,1,1,1,88.84448148367157
33,30,0,0,1,0,83.03058535212885
29,26,1,0,1,0,81.16870555071851
15,20,1,1,0,0,73.94166868665661
26,27,0,1,0,1,86.28862673080249
11,27,0,1,1,1,79.45234960898497
30,19,0,1,0,0,78.34343489173128
12,26,0,0,1,0,76.70232692015443
18,21,0,1,1,1,80.74489890419626
44,26,1,1,1,1,91.6244316795376
30,24,0,0,1,0,82.28044425838596
22,22,1,0,0,1,81.74994319096521
22,25,1,1,1,0,79.97903827150606
25,18,1,0,1,0,76.43241535164354
37,30,0,1,1,1,91.61147479928609
22,18,1,0,0,1,77.48733683646157
29,31,1,0,1,1,90.21956707761012
13,26,1,0,1,1,80.40559905635276
30,27,0,1,1,1,88.92098113208166
13,18,0,1,1,1,75.75229598457044
18,14,0,1,0,1,75.79449368600423
14,25,0,0,0,1,76.55273285489467
34,32,1,1,0,1,89.11376851505653
32,22,1,1,1,1,84.98080704189387
11,18,0,1,1,0,72.20251228431309
30,20,0,0,0,1,83.57749727999969
32,21,0,1,1,0,81.89585309925073
39,17,1,0,1,1,84.38475822049537
20,22,1,1,0,1,81.73322006602119
1,26,1,1,1,1,78.03386103009935
15,22,0,0,1,0,74.88356235227685
20,22,1,0,1,1,82.2916192407229
14,20,0,1,1,1,76.86554727943346
24,26,1,1,0,1,84.23538479996233
18,16,1,1,1,0,72.61441350839867
23,26,0,0,0,0,78.74228488452076
19,19,0,0,1,1,78.41215890924212
38,21,1,1,1,0,84.13811143644172
20,26,1,1,1,1,84.88597684732852
12,19,1,1,1,1,74.81489265709595
25,27,0,1,1,1,85.08138275984416
20,23,1,1,1,0,79.25688246566699
28,24,1,1,1,1,84.70843159983004
18,32,0,1,1,1,84.80868635927021
34,24,1,0,0,0,83.72331729151281
28,18,1,0,1,1,81.88957913157654
13,28,0,1,1,0,76.66339997537182
27,24,1,0,0,1,85.31856976571832
22,25,1,1,1,1,82.93975574878552
29,27,1,0,0,1,84.64792926486311
28,26,1,0,1,0,82.19441825704482
10,20,1,1,1,1,76.23497608529047
45,23,0,0,1,0,88.35564568741563
21,22,1,0,0,0,78.17227743831171
15,20,0,1,1,1,79.35204816542274
16,28,1,0,1,0,78.92892384308453
4,19,1,1,1,0,70.37224015987286
25,24,1,1,0,1,82.95305632969965
35,19,1,1,0,0,83.0740529190202
29,28,1,0,1,1,86.61606110391433
33,31,1,0,1,0,86.55779153973185
22,25,1,1,1,1,83.81733681369187
22,25,0,1,1,1,82.9572845625207
10,26,1,1,0,1,79.94758601980445
31,24,1,0,1,0,82.18743013381722
35,31,0,1,0,0,88.17318898750973
15,25,0,1,0,1,82.03279658931066
50,20,1,0,1,1,92.05218140377184
33,21,1,1,1,0,81.60981972736478
7,22,0,1,1,0,72.94442949102832
23,27,0,1,1,0,81.18789686350165
24,19,1,0,1,0,76.96353225184164
23,19,1,1,0,0,76.80772599891215
26,30,0,0,1,1,85.86420850946557
20,24,1,1,1,1,83.13043740389783
36,25,0,1,1,1,89.11523596317993
20,23,0,1,0,0,77.31475065274091
38,24,0,0,0,0,82.54033719342513
32,27,1,1,0,1,86.03426767922139
18,15,0,0,1,1,77.30063058050969
15,27,1,1,1,1,80.61914837987312
46,35,0,0,1,0,93.44803684200733
40,30,0,0,1,1,91.61171807380548
6,27,1,1,1,1,79.57293910412973
14,17,1,1,0,1,74.09586650986328
22,23,0,1,0,0,80.27013021543573
17,26,1,1,0,1,80.95749375253736
28,23,1,0,1,0,80.40206802632211
15,18,1,0,1,1,77.0651592608564
30,16,1,1,0,0,78.59223875714436
8,26,0,1,0,1,77.26854535265625
43,27,1,1,1,0,87.28126142233629
20,27,1,1,1,0,82.16061688701538
24,27,1,1,0,0,82.95246022168892
24,23,0,1,0,0,76.9382991807356
34,24,1,1,1,0,83.98891004692125
29,24,1,1,0,1,83.801722566262
27,23,1,1,0,1,82.99503259907542
28,17,1,0,1,1,80.67770972962798
31,23,1,1,1,0,80.63093214558619
43,26,1,1,1,1,91.07689031890956
39,18,0,1,1,1,86.9739056787379
37,26,1,0,1,0,86.44317064620722
35,20,0,1,0,0,81.96466032236322
26,29,0,0,1,1,86.23384741065466
28,17,0,1,1,0,78.60173182340363
4,21,0,1,0,0,70.83391755273261
29,16,1,1,1,1,82.47867111028762
24,20,0,0,1,1,82.49215874269488
21,30,1,1,1,1,85.63506119153327
38,20,0,1,1,0,83.0327400639577
13,25,0,1,0,1,77.81645843178828
20,26,0,0,1,0,78.24982886232435
31,19,1,0,1,0,80.26051211748626
31,25,1,1,0,1,86.59276073121029
14,18,0,1,0,1,75.13325467688811
20,27,1,1,1,1,84.7503931906498
39,19,1,0,1,0,82.16202513993208
26,17,1,1,1,0,75.77117312985685
35,31,1,1,0,1,92.22548475016764
35,31,1,1,1,1,92.65082781075182
46,18,0,1,0,1,88.38778223792555
31,27,0,0,1,1,86.21321573965871
7,19,1,0,1,1,75.42954842195245
23,27,1,0,0,1,83.0326962663849
31,18,0,0,1,0,80.34114862547247
46,31,0,0,0,1,93.00264850600696
16,20,0,0,1,0,73.34681667717919
33,23,1,0,1,1,86.35625040821206
24,23,1,0,1,0,80.82737078402396
47,30,0,1,1,0,91.10227952700508
39,24,1,1,1,1,89.60694900437338
21,26,0,1,0,0,79.36985372631203
23,23,1,1,1,0,79.82298081398308
27,30,1,1,1,1,87.6513612293958
24,21,1,0,1,0,78.50526772964304
11,16,0,1,1,0,71.52161752199198
32,31,0,0,0,0,84.52639098516984
33,21,1,0,1,0,79.93732927218564
-1,25,1,0,1,1,75.4555168184579
24,22,1,1,1,1,81.47261818123597
22,29,1,1,0,0,80.06456539773829
35,15,1,1,1,0,80.28012870557386
34,23,1,1,0,0,83.45192390160773
9,22,0,1,1,1,76.85478262313747
20,24,1,0,1,1,83.27813357254628
22,28,1,1,1,1,86.22636726567467
35,29,1,0,1,1,89.35308486615284
25,25,1,1,1,1,85.88682229459944
16,26,0,1,1,0,76.50304849918237
25,22,1,1,0,1,82.62481714086398
32,24,1,1,1,1,88.55734422288883
36,23,1,0,1,1,86.43294684036289
20,15,1,1,1,0,73.19796668336751
9,20,1,1,0,0,73.63995903105526
20,22,0,1,1,0,79.58160630131157
21,23,1,1,1,0,79.75485503998553
26,26,1,1,1,0,79.89494145262229
26,11,1,1,1,0,74.73003132947422
23,26,1,0,1,0,81.01082620669051
25,29,1,0,1,0,83.18509862526844
24,24,1,1,1,1,83.88183551359917
37,26,1,1,1,1,90.00670212893586
31,26,1,1,1,1,88.8077779239538
