defendant_age,income_level,prior_convictions,legal_representation,charge_severity,bail_status,diversion_program_enrollment,sentencing_length,recidivism
28,11,6,1,0,0,1,49.0826829676885,184.0156209629622
31,15,0,0,0,0,1,46.45392788061664,182.4665122928264
13,8,3,0,0,0,1,24.67313209741149,120.67221065955152
15,9,10,1,1,1,1,37.84032935938421,154.73916473436165
13,23,12,1,1,0,1,43.03983093147664,180.76658277877692
29,25,12,0,1,0,1,62.24048573906877,231.0786201580668
34,19,5,1,1,0,1,59.78574050049869,220.33454211308745
35,17,12,1,1,1,1,68.02086494492177,237.85416240713167
31,16,8,1,0,1,1,54.9801363257225,204.9097907717679
33,28,10,0,1,0,1,66.95112054932025,244.56326778824288
25,28,9,1,0,0,1,55.50880236963442,213.6487658193814
23,22,11,1,1,0,1,54.99150507672071,204.0857739055621
26,26,3,1,1,1,1,52.477215277218,202.10132860424224
45,21,12,0,1,0,1,80.12317858362488,274.3131302484295
36,19,7,1,1,0,1,63.61305768425655,228.6865545250324
33,17,10,0,1,0,1,59.04193676513554,219.8170792586368
45,15,8,0,1,0,1,69.94160910018107,245.12517227203472
24,24,12,1,1,0,1,57.323019781254494,216.3403473727516
20,17,8,1,0,0,1,43.02860718738521,173.51588403389746
31,35,3,0,0,1,1,61.10202313902476,232.81174608610505
34,25,13,0,0,0,1,68.46956574363814,245.99536794831675
38,20,10,1,0,0,1,67.24262462545475,239.66517834723845
36,30,5,0,0,0,1,65.53868498621178,240.6933261847236
35,22,12,1,1,0,1,70.09871362510951,247.37475728839271
25,12,9,0,1,0,1,49.29516763495469,185.89772379932123
26,15,14,1,0,1,1,55.96558414148395,207.37143151904104
23,19,11,0,0,1,1,50.890586198041625,196.6999673944788
39,19,10,0,1,1,1,70.70645073315855,246.7126498885795
14,19,15,1,1,1,1,45.30949540270554,183.39724465951417
35,28,6,1,0,0,1,66.61801775257845,241.62186690888487
40,28,6,0,1,0,1,69.52578226460069,251.93583361701533
33,15,11,1,0,1,1,62.41217536662699,222.0644171420223
24,9,8,1,0,0,1,44.57815471254137,170.6548380607803
29,14,13,1,1,0,1,60.81787939346085,216.53846473318964
30,11,11,1,1,0,1,57.01995801297392,206.35340293904795
23,11,12,1,0,0,1,48.91282093412704,186.6248294739852
26,18,7,1,1,0,1,51.68192622272855,196.7547463243651
34,26,8,1,0,1,1,66.03446572877066,239.11134500665904
37,24,8,0,1,0,1,68.73586440556764,244.82389555582944
31,17,9,1,0,0,1,58.37645642837618,215.1059780409178
22,16,8,0,0,1,1,47.91161493101762,184.0106338661459
20,19,7,0,0,1,1,43.89460780648658,178.2125194903269
43,16,4,1,1,1,1,68.6379819605298,238.51962198644057
36,17,15,1,1,0,1,71.0252108818774,246.53009855630796
26,16,12,1,0,0,1,55.10008790760575,206.2484917496695
30,19,3,0,1,0,1,52.5102320023355,198.5483455828897
30,15,14,1,1,1,1,61.13784013348507,221.78607932747096
25,7,10,1,0,1,1,47.128602710189135,176.8355840325349
42,17,14,1,1,0,1,75.92661206349993,260.71752961528915
43,19,6,1,1,1,1,73.12881558013645,253.2369870497749
42,21,12,0,1,1,1,76.25119029376467,262.73524736024643
40,12,7,1,1,1,1,65.00790881795973,229.6532957619166
39,20,11,0,0,0,1,69.27546612305248,243.043510356238
38,26,0,1,1,1,1,64.12299108803103,232.9573216221833
39,21,10,0,0,0,1,70.67791895645782,248.4989884743059
25,22,12,0,0,1,1,55.521876623510096,208.67572528175904
27,24,12,1,1,1,1,60.92764756901577,227.3916522476083
32,16,12,1,0,0,1,62.82929400634471,225.55249547710736
37,14,7,1,1,0,1,61.82838324045585,221.04169292876816
25,10,13,1,0,1,1,50.80918430861017,189.2771354786037
20,25,11,0,1,0,1,50.428591766715634,198.38220753656185
21,16,8,0,1,0,1,43.87571341003623,175.9389130736054
29,18,10,1,0,1,1,58.69107132665199,210.66151131307413
27,18,13,1,1,1,1,60.37304770192359,219.88870773749085
36,18,11,0,0,1,1,66.84787732504387,234.56336091333205
24,15,12,1,1,1,1,53.2467389505654,200.72059857135517
28,24,9,0,1,1,1,58.102705585128085,217.59662499444076
39,12,18,1,0,1,1,72.00954273115778,249.51910815523928
36,10,11,0,1,1,1,63.39323150709132,221.65649213579303
34,18,9,1,1,1,1,62.6775533804574,225.92835657094227
31,20,12,0,0,1,1,61.44354959499472,225.59912621804185
29,13,7,1,0,1,1,51.25517134394766,193.2208615846841
32,20,10,1,1,1,1,63.80572537168872,228.7266631550441
42,20,10,0,1,1,1,73.54349863573812,255.6133708176512
31,18,6,1,0,0,1,54.341276781194274,201.98558313605065
38,24,10,0,0,1,1,72.04275363486764,251.7972638253589
34,15,8,1,0,1,1,61.25381366161716,216.3073024741797
27,12,11,0,0,1,1,51.34850465513077,191.37229043738685
29,16,11,0,1,1,1,57.78418625150899,212.2051825164009
28,22,7,1,0,1,1,53.43464617712128,202.83956856452468
18,27,10,0,0,1,1,47.69178339581054,189.76563870817543
29,13,11,1,1,0,1,55.90870215963093,207.08089493865293
25,18,12,0,0,0,1,53.30876446002241,199.34600951426165
40,28,8,1,0,0,1,73.24259993710093,257.789025604803
38,12,13,1,1,1,1,70.5619250787185,243.2812183855032
26,19,9,0,1,1,1,51.87402232345318,201.01427860899932
24,17,12,1,1,1,1,54.61897056909826,203.0652939699356
29,27,13,1,0,1,1,65.94259378275115,239.01459112901583
37,19,8,1,0,0,1,65.49117700530999,232.51980155830907
15,13,8,0,0,0,1,35.36651603634631,150.96718374528504
39,22,12,1,0,1,1,75.57254373161494,260.2868820342023
18,17,12,1,0,0,1,46.30606096462551,182.62507779335223
40,16,6,1,0,1,1,65.95749230415304,233.52850240783408
31,18,10,1,1,0,1,60.23494773560446,219.18364824128645
27,20,10,0,0,1,1,54.81824661560736,205.35090152891445
27,24,7,1,1,0,1,55.90896749594026,210.0688003418944
25,23,8,0,0,1,1,53.40455702059528,204.83692330589375
36,11,5,0,0,0,1,56.31555324281104,204.176433761054
36,17,10,0,1,1,1,64.25063464877981,232.8388178655567
32,15,9,1,1,0,1,58.32651335600905,214.32064781111492
22,30,1,1,1,1,1,46.80078918878885,193.05331345798064
32,24,14,0,1,0,1,67.84529247297688,244.03353739311515
29,17,11,1,1,1,1,58.18511236141647,217.40050269272496
43,22,6,0,0,0,1,70.95032175408858,250.21957902802416
22,20,10,1,0,1,1,52.408912034729326,198.94556909405796
22,18,7,0,0,1,1,46.27628467280773,182.76707115051067
32,17,11,0,1,0,1,60.79358692841681,220.4607934816932
35,26,7,1,0,0,1,63.68289756137858,232.9250922608034
40,20,8,0,1,1,1,71.96776166297988,251.88928470752376
29,20,16,1,0,1,1,66.48689090870242,236.4215291511714
30,19,6,1,0,1,1,56.8798741910954,208.36027459814463
39,21,12,1,1,0,1,73.74732711105158,256.267361076385
32,23,15,0,1,0,1,68.26576275056986,246.4722659135977
31,21,8,1,0,1,1,61.03775241537077,222.41703498766373
21,18,6,0,1,0,1,41.350913997235445,169.44760169990474
18,16,13,0,0,1,1,45.85675209489692,181.5808425431528
17,21,10,1,0,0,1,42.35472280811792,174.73914635135245
43,18,7,0,1,0,1,70.06398210079945,246.91519997499077
30,15,10,1,0,0,1,57.07664236260732,209.73666675990324
39,13,7,1,0,0,1,64.19161816136577,226.41463483764232
45,14,8,1,0,1,1,76.19526649346102,257.83095823589167
38,13,12,1,0,0,1,65.51818625269867,228.88676703376703
33,15,9,1,0,1,1,61.06951460966511,217.6310930554784
11,22,10,0,0,1,1,35.11834472731169,158.36667798780155
39,19,13,1,1,0,1,72.75304989910948,255.62660731493665
17,18,17,1,1,1,1,52.2777658371305,198.2919569245847
37,29,6,0,0,0,1,65.89583879247124,240.18781643543232
29,17,5,0,0,1,1,50.1066786721554,192.0277535851122
29,6,9,0,0,0,1,47.99984580898387,178.54809159773373
29,13,6,1,0,0,1,51.406776481752544,190.80948820051472
34,26,8,1,1,0,1,66.24198244419371,242.72181466583308
48,22,12,0,1,1,1,85.93854752599786,288.76457892056294
28,22,5,1,0,1,1,52.46570457101501,203.97900334560032
23,12,8,0,0,0,1,41.781503878553565,169.44991174213936
38,31,13,1,0,1,1,78.23796205160444,273.7927683942818
41,12,9,1,0,0,1,68.1971882681302,235.71394802147415
28,17,9,0,0,1,1,53.67251589055834,201.45604502516687
27,9,11,1,0,0,1,51.81507966187297,190.40135025580972
17,16,9,0,0,0,1,37.98308000681767,160.373924252934
13,7,9,1,0,0,1,31.93432660141444,137.93992289670297
28,8,9,1,1,0,1,50.721331045988734,187.16998505466125
33,27,9,0,1,1,1,66.76588307991624,244.67246907754293
21,19,7,0,1,1,1,46.148447286728725,185.7388926142929
27,16,12,1,0,1,1,55.41972368274296,207.0007508864583
35,19,4,1,1,0,1,60.33780150569245,221.25185212010507
36,31,7,0,0,1,1,68.6567548360114,250.39038188479248
33,25,3,0,0,0,1,55.58029946833422,213.0458450299631
33,21,8,1,0,1,1,62.220072867958905,227.36752518260437
41,19,11,1,1,0,1,73.82959515822024,255.48580057503148
36,11,15,0,0,0,1,65.42650619262888,226.7141234551444
20,15,13,1,0,0,1,48.108445984298136,185.39966357331224
34,21,5,1,1,0,1,60.509952914117314,220.570997054796
47,21,11,1,0,0,1,78.77145721453675,269.1800759704873
31,25,10,1,0,1,1,63.16219534472658,231.0775778210023
14,10,5,0,1,0,1,29.713284568897304,134.5768230524844
44,19,16,1,1,1,1,81.13954793749505,277.9522423225342
26,22,9,1,0,0,1,56.072079796702496,209.605022908506
30,18,11,1,0,1,1,59.99826732155438,218.13261327576876
19,24,5,1,0,1,1,44.414162571458206,182.44798469918217
26,9,11,1,1,1,1,50.44509915981577,187.50434289763987
35,35,15,1,1,1,1,80.00373181298372,282.43303907966066
35,15,6,1,0,0,1,58.4778699438095,210.8005121301923
28,27,10,1,1,1,1,62.39789638010146,233.6596958176677
26,12,6,1,0,0,1,46.3084462940718,181.039253810662
35,26,7,1,1,1,1,66.99688912385834,242.3571725602756
34,24,14,0,0,0,1,69.27474699272051,247.8962597705568
26,16,9,1,1,1,1,53.0509563014053,199.29355504227783
27,16,12,1,0,0,1,55.708358523947695,205.01014215241167
28,13,7,1,1,0,1,49.60923711919172,188.5164897696337
38,29,4,0,0,0,1,66.81203660150612,244.475545241826
16,18,11,1,1,1,1,43.1424476921282,175.40093117576427
20,17,7,1,1,1,1,45.22949533661058,180.08899438797332
27,25,14,0,1,1,1,63.15684746046117,230.32028793389983
24,10,8,1,0,1,1,45.125967896533226,176.57097135956184
41,21,11,0,1,0,1,74.2259635159329,257.22918748580867
27,18,8,0,1,0,1,51.68742776114182,198.5059760467792
25,27,10,1,1,0,1,58.82171275915218,220.6633733009865
48,22,8,0,0,0,1,78.58302837929925,270.08775971227743
40,24,9,0,1,1,1,73.15437073903436,259.03635219598743
34,13,10,1,1,0,1,64.34812338801812,225.46255344637945
33,10,5,1,1,0,1,54.36298732750568,199.6205162369708
28,22,17,0,1,1,1,66.04464718818937,237.04873879391823
33,16,9,1,1,1,1,62.385799283750416,225.2428745695605
27,22,9,0,0,0,1,54.63288976594269,208.68187941601445
31,27,5,1,0,1,1,61.494051031573726,228.7919316897961
11,18,8,0,0,0,1,32.290081705018515,146.27299535498835
22,25,10,1,0,0,1,53.71402510378025,204.80726350325708
11,21,10,0,0,1,1,35.16523890608002,155.8529394290633
44,6,6,0,1,0,1,64.90605248943899,224.0684575898597
37,14,13,0,0,1,1,68.91035392266602,238.91691836028127
32,19,11,0,1,0,1,61.04089268030239,220.1507900863588
26,22,9,1,1,1,1,55.22977133683072,210.51938976171272
22,16,4,0,1,0,1,41.58820442964112,167.83086546758108
34,21,12,1,0,0,1,67.10048988866241,241.58354355359128
38,15,10,0,0,0,1,64.19788452289377,229.7200321853844
27,13,12,0,1,0,1,54.04256999903951,199.9147481099081
33,26,12,0,0,1,1,66.85332248387228,244.21471603029883
20,28,9,1,0,1,1,51.935377369912096,203.92388514964065
27,24,13,1,0,0,1,60.9417293834474,225.51382451079755
27,26,12,1,0,0,1,60.49088148970585,223.89406790481124
32,8,9,1,0,0,1,53.75160150187794,196.4136165164065
37,16,14,0,1,1,1,70.10495579436784,244.0984894912427
27,18,8,1,1,0,1,51.49592472003566,197.93572149020991
34,19,5,1,0,0,1,59.79395897630014,218.03223184167047
42,18,8,0,0,1,1,71.04566621414251,248.849067317576
41,8,11,1,0,0,1,66.71823579471308,229.4078909410629
32,19,7,1,0,1,1,60.708386967129,218.8991349197213
37,10,10,1,0,1,1,63.47069093843814,222.4651939693656
24,21,6,0,0,0,1,48.74558440526884,190.46546483605084
22,28,6,1,0,1,1,50.354033724236814,201.51381799382196
33,18,16,0,0,0,1,65.73796535654365,234.1767447404797
29,23,8,0,0,0,1,56.26101336016899,212.84256415316187
9,26,13,1,0,0,1,39.20914398926579,170.0103580016369
25,22,9,0,1,0,1,53.08416785239051,203.9920713672368
46,16,10,1,1,1,1,78.26569131495387,263.5440385161616
23,28,7,0,1,1,1,52.73604178738442,205.8957751289836
37,16,12,1,0,1,1,68.63019611500141,240.9352295962068
27,15,8,0,0,0,1,50.165905510604986,191.5468562871043
27,17,7,0,1,0,1,52.36440004115158,197.77409490619317
16,21,10,1,1,0,1,42.74710299153133,177.33047665137337
26,16,8,0,0,1,1,51.75270067760077,194.38002031579992
37,24,9,0,1,1,1,69.14431718128775,247.65191830634635
35,19,12,1,0,1,1,66.89679496798642,236.2572003237269
42,14,9,1,0,0,1,67.96836368516509,237.7540138972287
30,18,3,1,1,1,1,53.5384470194972,202.4676107087436
29,20,8,1,1,1,1,57.644166281949765,216.0673208074861
27,15,6,1,1,0,1,48.05331003282065,187.3165878465984
30,23,14,1,1,1,1,66.89348043177455,239.96189185816465
34,16,8,0,1,1,1,61.81926642851898,220.19627341875747
28,18,12,1,1,0,1,57.58355845739527,212.64879173523985
41,16,10,1,1,1,1,73.90828454565185,254.73369992976825
25,22,11,0,1,0,1,54.87326784938925,208.11034627274
34,21,15,0,1,0,1,69.52583790898493,246.34582525971567
26,23,9,1,0,0,1,56.79675378413967,214.3047607410712
25,19,4,1,1,0,1,48.47196290171808,188.5579944542148
35,19,14,0,1,0,1,70.03131510689718,246.14079634153532
31,19,10,1,1,0,1,62.57527541681973,226.3869903813261
19,18,15,0,0,0,1,48.778629675937154,190.7949788341982
29,23,7,1,0,1,1,58.91673422766663,218.1387433168199
34,17,8,0,0,1,1,59.7756450818715,218.15237248921704
29,11,4,1,1,0,1,47.77022846068528,184.9557036805381
14,25,12,0,1,1,1,44.453981845907975,185.91578157263672
16,14,17,1,1,1,1,49.47642036141235,187.2490510505847
34,12,16,1,1,0,1,66.58172403951588,231.6135867379534
24,18,7,0,1,0,1,45.83411229024417,180.84903115233345
17,26,8,1,1,0,1,45.65646755023936,187.428853424056
22,8,12,1,1,0,1,49.10663187000981,182.5900094876452
27,26,8,0,0,0,1,56.73186697720913,217.50685018882805
23,27,11,0,1,1,1,55.53544551838894,214.38574399116956
23,19,7,1,1,0,1,47.52576907880496,187.5030236495718
21,15,13,0,1,1,1,49.9117420415732,191.4498302259761
20,21,8,0,1,1,1,46.19714405171396,185.39245146852983
34,12,11,0,0,1,1,62.540393216247146,219.74931984894107
16,17,4,1,1,1,1,36.539430985676645,157.15639190496344
41,20,7,0,0,0,1,68.52675096039084,240.3896690389082
31,24,8,1,1,0,1,57.94054107033188,220.85937941081957
28,22,2,0,0,0,1,48.367638482925344,189.86439478209093
39,10,8,1,1,0,1,62.96325738852469,224.2828048786332
35,24,13,0,0,0,1,70.14871003510275,249.17760516275496
30,29,12,1,0,0,1,66.61771266896324,241.9072013494041
28,13,5,1,1,0,1,47.76402454035088,183.54010971816552
20,31,7,0,1,1,1,51.36316576523811,203.21743973074905
22,31,11,0,0,0,1,54.73805842960097,212.60623296511417
29,26,10,1,1,0,1,61.04090574468595,228.3464838778983
32,19,8,0,0,1,1,58.573687591076045,213.23242915878268
35,29,10,1,0,0,1,70.58140052860023,251.10586350727945
31,24,12,1,1,0,1,65.90705568213716,236.9684073300176
25,8,6,1,1,1,1,46.38783646884155,173.58703905526818
29,24,8,1,0,1,1,57.34901008921471,216.70710884568848
12,21,7,1,1,1,1,35.04639272691168,155.09294364956318
37,6,6,1,0,0,1,56.71525534831415,198.32886267026728
26,16,11,0,1,0,1,52.71376521277352,197.4955917496185
27,12,6,0,1,1,1,49.29338653439784,187.0395149304877
24,18,8,1,0,1,1,51.02150504056318,194.10747245436397
28,36,7,0,0,0,1,60.59189591281398,234.5018612872541
41,11,12,1,1,1,1,71.20223451016916,244.43398206314143
30,18,10,1,1,0,1,58.564382383187606,212.74724409308325
26,21,14,1,0,1,1,59.8963645074676,218.7074532549536
21,26,11,1,0,1,1,54.66548916459683,210.8243897068429
31,24,12,1,1,1,1,65.59245374845713,238.51780749781128
8,25,12,1,1,1,1,39.37408080793004,170.31291206399067
38,15,8,1,0,0,1,63.32373232235874,225.47251466145144
37,16,8,1,1,0,1,64.6646254971225,229.81484559030136
36,22,5,0,0,0,1,60.997209993527264,224.65583192351335
29,17,9,0,1,0,1,54.02176221033546,204.49409120746176
37,18,8,1,1,0,1,64.73277439129711,234.5442610247165
24,23,13,0,1,0,1,55.86802312884657,213.8960889850256
38,28,4,1,1,1,1,67.12940410647707,244.5953487815215
31,17,14,0,1,0,1,61.963454300273305,226.8119022822493
24,12,9,1,1,1,1,49.3402067125335,183.6270680095506
36,26,14,0,1,0,1,75.36149145370916,262.6412576301653
38,18,14,0,0,1,1,72.5277251305179,252.66608891180996
50,14,14,1,1,1,1,86.3680505497382,286.40686539595646
28,18,11,1,1,1,1,58.2989950456225,213.79045036902485
21,21,17,1,0,0,1,55.43693698335853,208.3655635844829
21,20,7,1,1,1,1,46.084631467141335,184.05237196452413
34,23,11,0,0,1,1,66.33630291973012,238.3852417372472
33,23,5,1,1,1,1,60.91967229852405,224.58209285133853
29,30,14,0,0,0,1,65.2219052245788,241.2786935232448
33,19,7,1,1,0,1,60.195489842726296,219.4454960570137
32,25,6,0,1,1,1,61.85378801380633,227.04062389015988
33,15,9,1,0,0,1,59.18691324259057,215.01079748924988
25,21,6,1,1,0,1,50.83704734993172,197.97618236588136
32,10,10,1,1,1,1,57.403547000225885,207.35059349090812
36,15,8,0,1,1,1,62.05836901887334,222.3323571521724
23,29,12,0,0,0,1,56.21968103390343,218.6132103850034
33,23,11,1,1,0,1,64.75089158762172,235.0073822135697
23,15,8,1,0,1,1,49.12241435635325,187.25234783854037
34,11,13,0,1,1,1,64.29108727752822,225.73475136678417
21,13,6,1,1,0,1,40.91750827745302,164.7436848829157
43,26,11,0,1,1,1,81.30897538934546,279.95559327554264
20,29,9,1,0,1,1,52.11442927094688,205.8273393944097
9,19,8,0,1,1,1,30.62989327922424,144.54921311394253
24,20,10,0,0,1,1,51.57872543056906,196.98329105979624
37,16,5,1,1,0,1,61.84989691880335,219.0701924158358
15,28,9,1,0,1,1,45.84821057038518,186.65310053886805
16,20,5,1,1,1,1,39.71338973254637,166.95544205142775
25,16,4,1,1,1,1,48.64462237371577,183.04770234365765
20,28,9,1,0,1,1,54.07088311123108,209.00816922885608
35,14,6,0,0,0,1,58.24844905580579,211.50577281462623
10,21,5,1,1,0,1,29.65542634125596,144.27036132369426
20,27,8,0,1,1,1,49.0318906333906,197.9777474828944
25,20,11,0,1,0,1,53.4542139618695,204.32250336846224
27,23,8,1,0,1,1,56.45131717260072,213.3804635149093
32,21,9,1,1,1,1,63.16579985633807,229.9421305445869
31,23,9,1,0,0,1,60.747614883456826,224.213496621851
45,26,12,1,1,0,1,84.70541003125619,288.9463662502477
34,24,10,0,0,0,1,66.11909978794576,239.53677973400048
39,25,10,0,0,1,1,71.87274534739895,253.54008635884276
32,22,6,1,1,1,1,60.64790595404662,224.4964621944513
38,18,13,0,0,1,1,72.12769756802903,251.86628158345636
26,20,6,1,1,1,1,53.42660589479031,201.6111415898259
35,21,4,1,0,0,1,60.621663807905335,221.68571978663212
20,16,7,1,0,1,1,43.695889976922444,173.175070348684
47,12,7,0,0,0,1,70.43256872286493,241.78340825851436
35,27,10,1,0,1,1,70.3644966609274,252.13519143136463
39,22,8,0,0,1,1,68.5311540685775,244.84972951857537
25,15,13,1,1,0,1,56.79955062736895,207.07162746079536
29,16,9,1,0,0,1,55.92738931601883,204.5729091595889
30,23,5,1,0,1,1,55.46121026354256,210.49537455572096
13,32,2,0,0,1,1,37.40095990231637,167.6518915329359
25,25,12,0,1,1,1,59.6641061886589,224.62829549607432
34,28,5,1,1,1,1,64.85529297789245,238.7180155041841
10,19,8,0,1,0,1,31.60851742261824,144.28791342058904
34,19,8,1,0,1,1,61.86192733831648,222.84496367218796
22,17,14,0,0,1,1,53.19575591346718,201.11853532599403
25,16,6,1,0,0,1,46.80906858386689,183.02351981907827
28,21,10,1,0,0,1,57.14242710351586,213.4962501143102
20,23,9,1,0,1,1,48.68864373929746,192.7063120124865
9,19,12,0,1,0,1,35.309645606849536,158.15508400525087
40,26,8,0,0,0,1,71.79655486445323,253.6104990821097
29,29,9,1,1,1,1,65.44505519741949,240.6000571969568
26,26,10,1,0,1,1,59.77421448497471,219.31344843183624
23,20,10,1,1,0,1,51.9320644013121,200.65354459730676
37,32,9,0,1,1,1,74.09247519167397,263.72424205778844
27,17,8,1,0,0,1,50.04980115699658,191.536544645988
8,26,6,1,1,1,1,34.45265639245875,156.51010598259407
36,14,6,1,0,0,1,59.09176484601922,212.1158297743911
39,17,12,0,1,0,1,70.69036030815468,249.3969143683344
25,26,9,1,1,0,1,55.97121534508828,214.54353325693256
