cognitive_test_score,sessions_attended_last_year,recent_life_event_score,has_history_of_anxiety,is_employed_full_time,invited_to_support_group,attended_support_group,psychological_wellbeing_score
2,3,0,0,1,1,0,53.24644555151789
2,2,0,1,1,1,0,51.89305199154849
2,2,0,0,0,1,1,60.29951090054144
3,2,0,0,0,1,1,59.978864624412815
2,2,0,1,0,1,1,57.66522080263399
3,2,0,0,0,0,0,54.51219854782717
4,3,1,1,0,1,1,57.09808049463589
6,3,0,0,1,0,0,54.64362106062928
0,2,0,0,1,0,1,58.19459402318738
3,1,0,0,0,1,0,55.19746950364008
3,3,0,0,1,0,0,53.58387534314552
5,2,0,1,0,0,1,58.13918327691454
2,2,0,1,0,0,0,51.53049956695749
2,3,0,1,0,0,1,55.62565430331323
5,3,0,1,1,0,1,58.14741223276398
3,2,0,1,0,1,1,57.888791873753824
0,4,0,1,0,0,1,56.7141249232082
2,2,0,0,0,1,0,52.819976183784384
3,1,0,0,1,1,1,59.44639498644307
5,1,1,0,1,1,1,60.44802656230121
5,3,-1,0,0,1,1,59.54349547011572
8,2,0,1,0,1,0,57.70534275807295
3,2,1,1,0,1,1,57.210985710156336
4,2,0,0,0,1,1,58.64811293461131
5,2,0,1,1,1,0,54.95154836110956
0,2,0,0,0,1,0,50.81357996597652
10,3,0,1,1,0,0,59.27979436589092
5,2,0,1,0,0,1,60.59395950158204
3,2,0,0,1,1,0,54.90202791528716
6,4,0,1,1,1,1,59.21144700921253
0,3,1,0,1,1,1,56.23384643974924
4,3,0,0,1,0,0,55.45457326175734
1,3,0,1,0,1,1,56.94408557904458
1,2,0,0,0,0,0,52.73945438069337
5,3,0,0,1,1,0,54.03481341005002
2,3,0,1,0,1,0,53.171737603069154
5,2,1,1,0,1,1,60.1040964598447
3,3,1,0,1,1,1,57.4789301162421
1,2,0,1,1,1,0,52.24459150885226
4,3,0,0,1,1,0,54.21023349073917
1,3,0,1,0,1,1,55.78073600186504
-1,3,0,0,1,1,1,54.41526485949578
2,2,0,1,0,1,1,58.0393240665266
4,3,0,0,0,1,1,58.37015484394585
5,3,0,1,1,1,1,58.191338988694845
6,4,-1,0,0,0,0,56.79016855919131
8,2,0,0,0,1,0,58.32104075504266
5,2,0,1,0,1,1,60.58175744341093
3,2,0,0,0,1,0,53.03154370166759
8,3,0,0,0,1,0,58.80921784085079
1,2,1,0,0,0,0,53.640493338060125
3,2,0,1,0,0,0,52.710636098335456
6,3,0,0,1,1,0,56.21635744360887
5,2,0,0,0,1,0,54.99416420087432
2,3,0,1,0,1,1,56.55963073047841
2,2,0,1,0,1,1,57.12972638803734
4,3,0,0,0,1,1,57.90328124297352
3,2,0,0,0,1,0,55.32459832400606
1,2,0,0,0,1,1,56.34473092169328
3,2,1,0,0,0,0,53.79926231706105
2,3,0,1,1,1,0,51.77274306278356
5,3,0,1,0,1,1,59.28357403247282
0,2,0,0,0,1,1,57.55175290357788
4,2,0,0,1,1,0,53.29906875115697
5,2,0,1,0,0,1,59.08487072156536
3,2,0,0,0,1,1,57.32071993407432
2,2,0,1,0,1,1,57.29449921546664
5,3,0,1,0,1,0,54.5374552876791
3,3,0,0,1,1,1,59.21439235718354
7,3,0,1,0,1,0,55.34141083268912
-1,2,0,0,0,1,1,55.660396692804056
7,3,0,1,0,1,1,61.34630656333146
0,3,0,0,0,1,1,56.20281681977694
3,3,0,0,1,1,1,57.19977591574035
5,3,0,0,1,1,1,58.29079720212538
2,2,0,1,0,1,0,51.9694607117798
8,4,0,0,1,1,0,55.48715834736631
7,3,0,1,1,0,0,56.46296471225639
2,3,0,0,1,1,0,52.17538748491328
5,2,0,1,0,0,0,55.614731754046005
3,3,0,1,0,0,1,56.968061070125714
4,2,0,1,0,0,0,55.52574086557867
4,2,0,0,1,0,0,55.48115075272413
5,2,0,0,0,0,1,61.081043318078486
5,2,0,1,1,1,1,60.238221817179145
7,3,0,1,1,1,1,61.29060796499133
4,2,0,1,1,1,0,55.326517363865
5,3,0,0,1,0,1,59.59839903438416
3,3,0,1,0,1,0,53.84410211337581
3,1,0,1,1,1,0,54.29958659487513
4,2,0,1,1,0,0,55.82694760934282
2,2,0,0,1,1,0,52.55908685608016
2,3,0,0,1,0,0,51.499194676675934
5,3,0,0,0,1,1,60.76613662196521
4,3,0,1,0,1,1,58.01247080496284
6,2,0,1,0,1,0,57.16148254621169
4,2,0,1,1,0,0,55.49921272163429
1,3,0,1,0,1,0,50.45315355535048
4,2,0,0,0,1,1,59.6473372229524
2,3,1,1,0,1,1,57.35160521072546
11,2,0,0,0,0,0,59.38811716347038
1,2,1,1,0,1,1,57.392759026852886
5,3,1,0,0,1,1,60.647358361903954
4,2,0,0,0,1,0,54.40828714257973
5,3,0,0,0,1,1,59.53701678683641
2,3,0,0,0,1,1,58.874196483486486
3,2,0,0,0,0,0,54.88457074869572
4,3,0,1,0,1,0,54.30374592148697
0,3,0,0,0,1,1,55.780379309974144
5,3,0,0,1,0,0,53.015637926636366
1,4,0,0,1,0,0,50.85379013014704
1,1,0,0,1,1,1,56.03011219639941
0,2,0,0,0,0,0,50.59265330825354
4,3,0,0,0,1,1,59.779145622625016
2,3,0,0,0,1,0,52.61988905907533
5,3,0,0,0,1,1,59.33402583103424
1,3,0,0,1,0,0,52.48943084816894
5,4,1,0,0,1,0,54.553425701663976
7,3,0,1,1,0,1,60.36498219806348
6,2,1,1,0,1,1,62.631635227331245
3,3,0,1,0,0,0,52.60347689173648
1,3,1,0,0,0,1,56.4185602601852
1,3,0,0,0,1,0,52.01825485154512
3,1,-1,0,0,1,1,60.42899820882999
2,3,1,0,0,0,1,58.24139764612215
3,3,1,1,1,1,1,58.81612448106748
7,2,0,0,1,1,0,56.935277653639
1,2,0,0,0,1,1,56.47119079059405
3,2,0,1,0,1,1,59.9735593631009
0,2,0,0,1,1,1,54.66049679484567
7,2,0,0,0,1,1,61.36631064039459
6,2,0,0,1,0,0,58.071474448849685
3,4,0,1,0,1,1,57.355625892997445
4,1,0,0,0,1,1,58.70178508043112
3,3,-1,1,0,0,0,53.33808937917372
4,3,0,0,0,0,0,55.58923142702439
2,3,0,0,0,1,1,56.83146628407855
1,2,0,0,0,1,1,56.91156929476736
3,3,0,1,1,1,1,57.72251020453032
4,3,0,0,0,1,0,53.67906876578609
2,2,0,1,0,1,0,54.17994195914837
7,3,0,0,0,0,1,59.36369344045242
3,2,1,0,1,1,0,52.43838775691459
7,3,0,0,0,1,0,57.974942220641495
4,2,1,1,0,1,1,59.27618584892182
3,2,0,1,0,0,1,57.84980749630573
0,3,0,0,0,1,0,53.00113404029664
0,4,0,0,0,0,0,51.73933182156807
3,2,0,1,0,1,1,58.21770850980885
3,2,0,0,1,0,1,57.43636411803242
5,2,0,0,0,1,0,54.97018070741562
5,2,1,1,0,1,1,59.89512137992664
4,2,0,0,0,0,1,58.04488931182943
5,3,0,0,0,1,0,55.80963909955105
3,2,0,1,0,0,0,53.47516551388334
0,2,0,0,0,0,1,54.518837747263255
2,3,0,1,0,0,0,53.76703732306286
3,3,0,0,1,1,0,52.479547259685255
2,2,0,0,0,1,1,57.53679711540487
3,2,0,0,0,0,0,54.17580932563634
5,3,0,1,0,0,1,57.8456514545048
6,1,0,0,1,1,0,55.74411345799761
1,3,0,0,0,1,1,57.25470074999428
2,4,0,1,0,1,1,57.76918166269517
1,3,0,1,0,1,1,55.75467122948984
3,2,0,1,0,1,1,59.66674041744025
5,3,0,0,1,0,1,59.01476344550254
2,2,0,0,0,1,1,57.6098737092588
3,2,0,1,1,1,1,55.22437987162474
4,2,0,0,0,0,0,55.0004287213436
3,2,0,1,0,1,1,57.589874247252666
1,2,0,0,0,1,0,53.3956997391434
4,2,0,1,0,0,0,54.59852226674441
3,2,0,0,0,0,1,57.93951334854855
4,3,0,0,0,1,1,58.90328072151803
5,1,0,0,1,1,0,58.30256566501978
3,3,1,0,0,1,1,59.692614000229305
0,2,1,0,0,0,1,55.31748715590428
4,2,0,0,1,1,0,55.256573074556655
3,2,1,0,1,1,0,53.15811957618425
4,3,0,0,1,1,1,59.37498819767345
0,3,0,0,1,0,0,51.745035973646
3,2,0,1,0,1,1,57.81987828336655
2,2,0,1,0,1,1,60.09835951527785
2,2,0,1,1,0,1,58.02626036456765
7,2,0,1,0,1,0,57.30310455470583
4,3,0,0,0,1,0,54.44378280103581
7,3,0,0,1,1,1,62.33987931972162
0,4,1,1,1,1,1,54.859145034903776
3,2,0,1,1,0,0,54.198695880423735
4,2,0,1,0,0,1,59.00614666947772
6,2,0,1,0,1,1,63.17540809617024
3,2,0,0,0,1,0,56.030946677988304
4,2,0,1,1,1,1,61.26685559279227
4,2,1,0,0,0,0,53.55792738897023
5,2,0,0,0,0,0,57.35869509759215
4,2,0,0,1,1,0,54.59039938976
1,3,1,1,1,1,1,55.72859217274819
2,1,0,0,1,1,0,52.30305231308788
0,3,0,0,1,1,1,56.6804084200656
2,2,0,1,0,0,0,54.10888328600617
0,3,0,1,0,1,0,52.12806953356109
5,4,1,0,0,1,1,57.65359692912746
4,2,0,0,0,1,1,60.51815140043083
5,3,0,0,0,1,0,55.63421642794334
6,3,0,0,0,1,1,60.4848400854281
2,3,0,1,0,1,0,52.13587419802812
3,4,0,1,1,0,0,53.210524810595246
8,2,0,1,1,0,0,57.03467462544039
6,2,0,1,1,1,0,55.81650079438495
5,3,0,0,1,0,0,54.315389179237606
4,2,0,1,0,0,0,54.84790226366071
3,3,1,0,0,1,1,58.954916700043
1,3,0,0,1,1,1,55.65238868909595
3,2,0,0,0,1,1,59.98829838021804
6,2,0,1,0,1,0,56.173243901583774
5,2,0,0,0,1,1,60.27469078577561
5,2,0,0,0,1,1,61.094181838129074
3,2,-1,0,1,0,1,59.482603200967134
9,3,0,0,1,1,0,58.12679418097348
4,2,-1,0,0,1,0,53.64171427349264
2,2,0,1,0,1,1,59.006065571288765
5,3,0,0,0,1,0,54.91359417155984
4,2,0,1,1,0,0,57.30925344561352
1,2,0,0,0,0,0,53.78550712323672
7,3,1,0,0,1,1,62.04006096053978
5,2,0,0,0,0,0,55.45333452364561
4,2,0,1,0,1,1,58.48693921976913
1,2,0,1,0,1,1,57.298006044021
6,1,0,0,0,1,1,62.78372318292283
2,2,0,0,1,0,0,54.99029515250069
2,2,0,0,1,1,1,57.2954572274836
6,3,0,1,1,1,1,60.55020056413074
5,2,0,0,0,1,1,60.6233020754809
3,3,0,0,1,1,1,58.84863779784934
3,3,0,1,1,1,0,51.992308052451406
2,2,0,0,1,1,0,51.939908535349005
2,3,0,0,1,1,1,56.64795729968842
6,2,-1,1,0,1,0,56.25346132642101
3,4,1,0,0,1,0,53.1335686844046
3,2,0,0,0,1,1,57.78137312443811
3,2,0,1,0,0,0,52.63497847366166
5,2,0,0,1,1,1,58.69775761268716
7,3,0,1,0,0,1,61.83654694698967
6,2,0,1,0,0,1,60.93883273980738
4,2,-1,0,0,1,0,55.461474276388046
2,2,0,1,1,1,1,58.25711757619656
6,3,-1,0,1,0,0,55.18515338270933
1,3,0,1,0,1,1,57.65654771093655
4,2,0,0,1,1,1,59.48299222604542
3,3,0,0,0,0,1,58.22671718068923
3,3,-1,0,0,1,0,53.1689198444469
4,1,0,1,1,0,0,54.96426671057972
6,2,0,0,0,1,0,57.787800943897246
3,2,1,0,1,1,1,57.9763720037656
6,3,0,1,0,1,1,59.95921213189327
3,2,0,1,0,0,1,57.60691763658098
3,3,0,1,0,1,0,53.43804055642557
3,3,0,0,0,0,0,53.79182173117082
3,3,0,0,0,0,0,53.3660547127938
4,2,0,0,0,1,1,58.93586030240047
7,3,0,0,0,1,0,58.91921705901096
2,3,0,1,0,1,1,56.37927680027256
2,2,0,0,1,1,1,57.5580482598861
3,3,0,1,0,1,1,58.87184078863578
2,4,0,1,0,0,0,52.793127187605855
4,3,0,0,0,0,1,58.46455028401837
8,2,0,1,0,1,1,61.856447607282426
6,3,0,0,0,1,0,56.78678180577157
4,3,-1,1,0,1,0,54.776484945504286
2,2,0,1,0,1,0,53.046169115542206
4,3,0,0,1,1,1,58.50583263644861
0,3,0,1,0,1,1,54.48853839914018
5,4,0,0,0,1,1,58.57877007393823
4,2,0,1,0,1,1,59.96576427341543
2,4,0,0,0,0,0,51.61597639152946
2,3,0,1,0,1,1,57.89315922862457
6,2,0,0,0,0,1,61.17103177007969
3,2,0,0,1,1,0,54.92022966407915
4,3,0,1,0,0,0,52.67393042107168
3,2,0,0,0,1,1,60.56091861824216
4,3,0,0,0,0,0,54.960805466227605
5,3,0,0,1,1,1,58.9931156390897
6,3,-1,0,0,1,0,57.9845994614652
3,2,0,0,0,1,0,54.699842510021824
3,4,0,0,1,0,1,56.73092152986182
0,2,0,1,0,1,1,55.55161558691204
0,3,0,0,0,0,0,52.32501979272051
5,3,0,1,1,1,0,55.07933782382943
3,3,0,1,1,1,1,58.39873954030119
5,3,0,1,0,1,1,61.46803387349105
2,2,1,1,0,1,0,51.85911835009121
4,1,0,0,0,0,0,55.10245336805751
2,2,0,1,0,1,1,58.01688991865437
0,3,0,0,0,1,1,56.25171766391232
4,2,0,1,0,1,1,59.67536073303162
5,2,0,0,1,1,0,53.849097170220944
0,2,0,0,0,1,1,57.22815832126791
2,3,0,1,0,1,1,57.252938827054166
6,3,0,0,1,1,0,54.18345159819192
2,4,0,0,0,1,0,52.83443488698931
9,3,0,0,0,1,0,58.55441890895274
5,3,1,0,0,1,1,58.84027454791488
3,3,1,0,0,1,1,58.530947878219024
3,2,1,0,1,1,0,56.241162904249855
4,1,0,0,0,1,1,60.69752743768823
4,2,0,1,1,1,1,59.97139877852615
7,2,0,0,1,1,0,58.551170865473615
5,2,0,0,0,1,0,54.888455309283366
3,1,1,0,0,1,1,58.843137196170005
4,3,0,0,0,0,0,55.36399834025647
2,3,0,0,0,1,1,55.80596508281532
4,3,0,0,0,1,1,58.24429105987614
7,2,0,0,0,1,0,56.75748962685044
1,3,0,0,0,1,0,52.294219329270526
3,3,0,0,0,1,0,55.60096810293674
9,3,0,1,0,1,1,62.39997514370219
5,2,0,1,1,1,1,61.07646960930593
2,2,0,0,0,1,1,58.880597789704
2,2,0,1,0,1,1,58.05804225440692
2,3,1,0,1,1,1,57.56172767807997
3,2,0,1,1,1,1,56.96828675704087
1,3,0,0,0,1,1,57.56919975661932
2,2,0,0,0,0,0,53.92005173413118
2,2,0,1,1,0,0,54.10915143871224
3,3,0,0,1,1,1,58.40386970100205
3,3,0,0,0,1,1,58.35299790000092
3,2,1,1,0,1,1,57.79275698638715
5,3,1,1,1,1,1,58.83414070454218
1,3,0,0,0,0,1,56.27822718308472
7,3,0,0,1,0,0,54.76100698241844
1,3,0,1,0,1,1,55.95296293076454
4,2,0,0,1,1,0,56.19591878000488
5,1,0,1,0,0,1,61.07148559758534
3,3,1,0,0,1,1,58.85698766859183
2,2,0,0,1,1,0,53.95486524956614
5,2,0,1,0,1,1,60.09707731044018
2,2,0,1,0,1,1,57.27944170759445
2,3,0,1,1,1,1,56.91141972536359
4,2,0,0,1,1,1,60.193652723612416
4,3,1,1,1,0,1,58.12227076437546
6,3,0,0,0,0,0,56.061229588907885
5,2,0,0,0,1,0,56.240637266373234
6,2,-1,0,0,0,0,55.36207430094891
2,2,0,0,1,1,0,52.785539509244224
3,2,1,0,0,1,1,58.77831278419427
3,2,0,0,0,0,1,59.82144524210923
5,2,0,0,0,0,0,54.8595059376882
2,2,0,1,1,1,0,51.7633528847229
5,2,0,0,0,1,1,59.31651429314564
5,2,0,0,1,0,0,53.88013879731628
2,3,0,0,1,0,0,54.14932093206674
4,1,0,0,0,1,0,54.79264799976061
2,2,0,0,1,0,0,53.40092526562182
-3,3,-1,0,0,0,1,52.724431080183095
2,2,0,0,1,1,0,53.94484826445858
2,2,0,0,1,1,1,59.24617139463884
0,2,0,1,1,0,0,51.782315061189216
6,3,1,0,0,1,0,55.06217003575836
0,3,0,0,0,1,0,52.1462332175194
0,3,1,1,0,1,1,56.2823550226908
4,2,0,1,1,0,1,58.12598519317678
2,2,0,0,1,1,0,52.831774162254455
4,3,1,1,0,1,0,53.580524155893336
1,2,0,0,0,0,0,50.25063519630422
2,4,1,1,0,1,1,57.29016774358132
4,2,0,0,0,1,1,59.269465949631936
5,2,0,1,1,1,1,59.59353067742358
6,3,0,0,0,1,0,56.42967469396385
3,2,0,0,1,0,0,54.8837982325338
3,2,0,1,0,1,0,54.28643036712403
1,3,0,1,0,1,1,56.19771128781738
4,2,1,1,0,0,1,58.61013685929997
3,2,1,0,0,0,0,54.65836405719297
3,3,0,0,1,0,0,53.63674464647316
5,3,0,0,0,1,1,59.52997115278197
6,3,0,0,0,1,1,61.91203668018003
4,3,0,1,0,1,0,51.64785967396176
6,2,0,0,0,0,0,56.89810988583269
3,3,0,1,1,1,0,54.13055161502412
2,3,1,0,0,1,1,55.86631768773108
5,2,0,1,1,1,0,56.3035441825116
6,3,-1,0,0,0,0,57.16819563770068
0,1,1,0,0,1,1,56.640930137948
2,3,0,1,0,1,1,56.35038751194121
6,2,0,0,0,1,0,57.27334320445182
5,3,0,0,0,1,0,55.59828213370367
5,2,0,1,0,1,1,59.17942470938548
3,1,0,0,0,1,1,57.74544139157423
1,2,0,0,0,0,1,58.26614480484552
2,2,0,0,1,0,0,52.47418476934102
4,1,0,0,1,1,1,59.26265084811426
1,2,0,1,0,0,0,53.90301144735809
4,2,0,0,0,0,0,54.25752878692476
0,2,0,0,0,1,1,55.80787184130088
3,2,0,0,0,1,1,59.55181427739355
3,2,1,0,0,1,1,59.03696502788225
9,2,0,1,0,1,1,63.44081957711728
3,1,0,0,1,0,0,54.00175772977186
2,2,0,1,1,1,0,53.31478229215037
8,2,0,1,1,1,0,57.294591879515146
4,3,0,0,0,1,1,59.25960152998589
2,3,-1,1,0,1,0,54.60470618118348
1,2,0,0,1,0,0,52.496992606724135
5,2,0,1,0,1,0,54.951809879106456
2,3,0,0,0,1,1,58.80738971068429
3,3,0,0,1,0,0,53.226180280954026
4,2,0,0,0,0,1,58.87189024728981
5,3,0,0,0,1,1,57.8873176957551
6,2,1,1,0,1,0,56.73586579656236
1,2,0,0,0,0,1,56.52115521867396
3,3,0,1,0,1,1,58.58325038996772
4,3,0,1,0,1,1,57.69632008070865
6,3,0,1,1,0,0,56.02675562489672
-1,3,0,0,1,1,0,49.89692259462836
2,2,1,0,0,1,1,55.39431167314944
6,3,0,1,0,1,0,55.589344319273536
4,3,0,1,0,0,0,54.15573100175614
3,1,0,0,1,1,0,55.67587372117914
1,2,0,0,0,1,1,56.91598576094832
-1,2,0,0,0,1,0,51.26355370972483
3,3,0,0,1,0,0,54.05909448314158
6,2,0,0,0,0,0,56.1830436543914
5,3,0,1,0,1,1,59.22549397142299
1,2,0,0,1,1,0,52.92666743246676
1,2,0,1,1,1,0,53.9488924278282
0,3,0,0,0,1,0,51.47049215331007
0,3,0,0,0,1,0,52.09584908648979
1,3,0,0,0,1,1,55.85428481641695
4,3,0,0,1,1,0,53.56620659222972
4,3,0,0,0,1,0,53.12081091341189
4,3,1,1,0,1,1,61.1173989143217
2,3,0,1,0,1,1,57.97184164107786
2,3,1,0,1,1,0,51.04623408003092
5,3,0,1,1,1,0,53.64590375526083
4,2,1,0,0,1,1,58.962585165455216
5,3,0,1,0,1,0,54.13550142902814
1,3,1,0,0,1,0,51.68907515928274
1,2,0,0,0,0,1,58.08453633810301
1,3,-1,1,0,1,0,53.988211479878686
4,2,0,1,1,1,0,54.29903024753575
9,2,0,1,0,1,0,58.53054095321251
3,1,0,0,1,1,1,57.18526628406014
4,2,0,0,0,1,0,55.42751290001681
4,2,0,0,0,1,1,59.87963070447772
5,3,0,0,1,1,0,55.21400127381151
1,3,0,1,1,0,0,51.59700888074254
0,3,0,0,0,0,1,56.70092322686804
3,2,0,0,0,1,1,59.41116680583862
5,4,0,0,1,1,0,55.63272415069576
4,2,0,1,1,1,1,58.85070686124564
4,2,0,0,0,1,1,60.53623447896906
3,2,1,0,0,1,1,59.23746579393762
3,2,0,0,0,1,1,59.39182457700672
3,3,0,0,0,0,0,53.53176144473344
6,2,0,0,0,0,0,55.538815316787456
3,2,0,0,0,0,0,54.46234800450584
2,4,0,0,0,0,0,52.27718373433122
3,2,0,0,1,1,0,52.558158668616414
1,3,0,0,1,0,1,56.59467125172022
6,4,0,0,0,1,0,55.51460139166044
5,3,0,1,1,0,0,55.833675631440514
3,3,0,1,0,1,0,51.580669007436576
6,3,0,0,0,1,0,54.77819447964487
3,2,1,0,0,1,1,58.30154875255832
3,3,0,0,0,1,1,55.56490672440785
7,2,0,1,0,1,0,57.72292460206904
2,2,0,1,0,1,1,57.70827318454852
2,3,0,1,0,1,1,56.46632620871891
5,3,0,0,1,1,0,55.30981577587279
5,2,0,0,1,1,1,59.75020113380714
2,3,0,0,1,1,0,53.54533756644547
5,3,0,0,0,1,1,58.35194222431212
4,3,0,1,1,0,0,54.03122025147796
3,3,0,1,1,0,1,58.759164515534
0,1,0,0,1,0,0,52.26803886512677
3,2,1,0,0,1,1,58.37005936969095
7,2,0,0,1,1,0,55.71352525287916
4,3,0,1,0,1,1,57.77994478624076
5,3,0,1,0,1,1,59.38392310678475
1,2,0,1,0,1,0,51.92048882626598
9,2,0,1,0,1,0,58.85297742549154
6,2,0,1,1,1,0,57.987363896254266
5,3,-1,0,1,1,1,59.11940292646996
2,3,0,0,0,1,1,54.84308599601101
3,2,0,0,0,0,0,54.97958713470851
1,3,0,0,0,1,1,56.11858226874712
2,3,0,0,0,1,1,56.62025092885558
3,2,0,0,0,0,1,58.36542226106625
3,3,1,0,0,1,1,58.526737937004526
6,2,0,0,1,0,0,57.95767341831144
2,3,0,1,1,0,0,53.08528837846426
5,4,0,1,0,1,1,58.91725222973928
3,3,0,0,0,1,1,58.069104007410886
6,3,0,0,0,0,0,56.61616281396426
5,2,0,0,1,1,1,60.04580962721391
0,2,0,0,0,1,0,50.53571140854435
6,2,0,0,1,0,0,56.958959215096336
4,4,0,1,1,1,1,59.96935102561245
2,2,0,1,0,0,0,51.99594771106361
2,3,1,1,1,1,0,51.98594228032682
3,2,0,0,0,0,1,58.61458689319586
3,2,-1,0,0,1,1,59.57303932135828
1,2,0,0,0,1,1,56.307018105570194
