age,education_years,monthly_income,experience_years,hours_worked_weekly,has_union,job_security_level,has_benefits,received_training,promotion_received
20,23,6,21,2,0,1,0,0,81.79330903097026
13,27,6,20,2,1,0,1,1,80.31424255468184
20,27,3,15,2,1,0,1,1,81.82988185151437
41,25,6,17,2,1,1,0,1,92.0141157638937
29,36,4,15,1,1,0,1,0,90.31681191078812
31,24,5,14,2,0,1,1,1,84.15888625049637
10,24,7,21,2,0,0,1,0,78.61224329784811
35,17,9,18,2,1,1,0,0,84.58278985309757
28,27,9,17,3,1,1,0,1,87.88263604169279
22,18,3,18,2,0,0,1,1,77.89848213195562
40,26,6,3,2,1,0,0,0,82.91834607735579
20,25,5,8,1,0,1,1,1,77.15607247312037
15,27,6,22,0,0,1,0,0,82.33685808959308
23,21,5,19,2,1,0,1,0,79.72251089680759
16,27,7,19,1,0,0,0,1,81.64599796226209
19,21,6,17,2,0,1,0,1,78.08723421232318
17,27,5,14,1,0,1,0,0,76.61880434737505
20,24,6,25,2,0,0,0,0,82.43597668262314
26,23,5,8,1,0,1,1,1,78.77864688213288
13,28,11,9,2,1,0,0,0,77.2538682261258
48,20,6,18,3,0,0,0,1,92.52541862329022
31,28,4,15,2,1,1,0,0,86.9343984664627
27,28,5,15,0,0,0,1,0,82.1303892446485
21,25,5,22,1,0,0,1,1,85.32940535554107
32,22,7,17,2,1,1,0,1,85.51676833641825
25,21,8,8,1,0,0,0,1,78.25552136389861
18,21,5,18,2,0,0,0,0,77.81500663252046
30,22,6,17,0,0,1,0,0,81.3087117518803
24,20,6,14,2,1,1,0,0,78.70458445972511
30,30,4,13,1,0,1,1,0,83.80200123687307
27,27,5,15,1,0,0,0,0,82.64657546714419
30,20,5,12,4,0,1,1,0,80.93481088026134
21,20,7,12,3,0,1,0,0,76.70890630940092
21,27,4,16,1,0,1,1,0,80.12220146840994
31,28,4,19,0,1,1,0,0,84.87750829857174
21,23,2,14,0,1,1,1,0,77.28949417350785
18,23,4,17,1,1,0,1,1,79.77256695788957
17,29,8,22,2,1,1,0,1,85.92243829617482
22,19,6,11,2,0,1,0,1,76.39978884729996
29,25,4,13,2,1,1,0,0,79.60569800815743
36,19,4,8,2,0,0,0,1,80.77765562637161
16,24,3,11,3,1,1,1,0,74.7765283820026
14,25,0,14,0,0,0,0,0,70.19174623675806
40,22,2,7,0,0,1,0,0,79.98730300572123
23,23,7,15,2,1,1,1,1,81.4747246705028
14,24,5,11,0,0,0,0,0,71.78449528254772
18,19,2,19,4,1,0,0,1,75.77890063623656
31,21,4,14,2,0,0,0,0,79.46011499770033
37,30,11,18,2,0,0,0,0,91.2991974944113
13,17,7,19,2,1,0,1,0,75.16999545661182
20,22,6,16,1,0,0,1,1,79.50840801031421
33,24,8,17,2,1,1,0,0,87.06245840057122
-4,19,10,16,3,0,1,0,0,68.47444094264738
15,16,4,21,2,1,0,0,1,76.52980540449454
16,24,8,14,2,0,0,1,0,79.7471469607794
17,25,5,10,2,1,1,0,0,73.92848128999012
28,28,1,20,1,0,1,0,0,81.36960673813182
15,23,9,14,2,1,0,0,0,77.86260099361932
-3,22,0,18,2,1,0,1,0,67.4878110605916
14,25,9,23,1,1,0,0,1,83.17736036963511
31,21,7,23,1,0,0,1,0,85.75287427801143
29,28,8,17,1,1,0,0,0,86.43698625150363
31,30,4,14,3,0,1,0,0,84.80338339078291
13,23,4,7,1,1,0,1,0,72.22809350520313
24,23,7,21,0,0,1,1,1,83.43537725741605
20,19,1,17,1,0,0,0,1,74.54868720944395
17,23,6,15,1,0,0,1,0,77.8356056042296
45,26,7,15,2,0,0,1,1,92.06296863586022
22,26,7,9,3,0,0,0,0,77.34957960719984
33,31,9,20,1,0,0,0,0,92.5831466097293
27,33,0,15,2,0,0,1,0,82.28812990368615
24,26,6,20,0,1,0,1,0,83.31905516443696
37,24,5,15,3,0,1,1,0,87.31097448744889
30,24,8,17,1,0,1,1,1,88.10386148935274
47,26,7,11,1,0,0,1,0,91.22114798650462
28,20,10,8,1,0,1,1,0,81.79828328450154
4,25,5,14,1,1,1,0,1,71.46264302650678
2,27,7,11,3,0,1,1,0,73.64159061524654
25,23,7,21,1,1,0,0,1,85.47332471373177
25,22,9,18,3,1,1,0,1,84.6709400674874
23,28,4,15,2,1,1,1,1,82.55220364694071
26,25,7,15,2,1,1,0,1,84.7972694227829
23,16,6,20,1,0,0,0,0,76.67230607245035
29,25,4,16,1,0,1,0,0,82.88637493161995
31,28,6,14,2,1,0,0,0,83.04278024916306
29,21,7,16,2,0,0,0,0,82.10355480819241
17,24,5,10,2,1,0,1,0,75.31017467568958
10,25,5,16,2,1,0,1,0,75.73637693902454
13,23,3,17,0,0,0,1,0,73.25694582179669
12,26,3,16,2,1,1,1,0,74.26974344163888
8,31,7,14,1,0,0,0,0,77.38709613441969
36,26,6,11,0,0,0,0,1,83.99292585945012
20,22,2,15,0,1,0,0,0,74.08044401875817
27,23,5,11,4,0,0,1,1,80.6665598728878
33,27,6,23,3,0,0,0,1,90.218395180852
25,22,7,17,1,0,1,1,1,85.3026052699312
19,24,3,8,0,0,1,0,1,72.75210800941639
32,28,5,22,2,1,0,0,1,91.03958565674644
29,28,8,9,1,0,1,0,0,82.22020938287693
47,22,5,16,2,0,0,0,1,91.31533654453388
25,24,10,21,1,0,1,0,1,86.14244234680072
41,29,4,11,0,1,0,0,0,87.59825205425334
14,24,5,11,1,1,0,1,1,75.87082510485696
33,30,4,20,2,0,0,0,1,90.12496495332944
34,21,6,22,2,1,1,0,1,87.38362333023699
23,17,7,14,1,1,1,1,1,79.81984017732567
10,21,1,17,3,0,0,0,1,70.90097608623574
20,23,4,11,1,0,0,0,1,76.18809715723197
30,17,8,19,2,1,0,0,1,84.12445563254946
30,23,5,21,1,1,0,0,0,86.06354671428787
23,31,5,15,3,1,0,1,0,83.52886161749844
50,23,6,16,2,1,1,1,0,94.10336389858136
26,22,9,16,2,1,0,1,0,84.58662297582107
19,21,7,25,1,0,0,0,0,80.72751305149376
12,23,0,20,3,1,0,0,1,73.87682373273661
14,19,11,15,1,1,0,0,1,77.87395814911626
12,19,7,12,1,0,0,1,0,72.26862102883756
16,19,5,10,2,0,1,1,0,71.3605090060468
24,28,5,23,0,0,1,1,1,86.29208019687502
39,25,9,23,0,0,1,0,0,92.50253785465046
24,25,7,10,1,0,1,1,0,79.8683835428619
25,23,8,14,2,0,1,1,1,83.83611898151976
28,29,6,15,2,1,0,0,1,85.5830910623131
29,23,7,20,1,0,0,1,1,86.21646961125538
18,29,9,19,2,1,0,1,1,87.21452059737601
33,24,5,19,0,1,0,0,1,86.21514010592448
39,26,6,11,2,1,0,0,1,87.42843891676591
29,29,3,13,1,0,0,1,1,85.16268160467287
35,16,4,17,4,0,1,0,1,83.05352283082873
8,22,6,16,3,1,0,1,1,76.54037839509907
13,18,7,23,1,0,0,0,1,77.73937447725474
17,25,8,15,5,0,0,1,1,81.47359839465658
27,22,9,13,4,0,0,0,0,82.97764884592868
33,19,7,15,2,0,0,1,0,83.16519995603811
25,17,6,17,3,1,1,1,1,80.22165364876714
25,18,6,12,1,1,1,0,0,74.67318313257303
51,34,5,20,2,1,1,1,0,99.13697344266438
32,17,2,24,2,0,0,0,0,83.36000949088779
24,22,4,12,2,0,1,1,0,76.97605691585068
11,17,5,20,0,1,0,1,1,74.71145631080226
26,25,4,15,2,1,0,1,0,81.80999782501301
5,25,0,14,3,0,0,1,1,70.05634979368025
22,19,3,8,2,1,0,0,1,73.5772233621669
35,22,3,15,1,0,1,0,0,82.97540090240598
10,21,2,21,2,0,0,1,1,72.70829214811722
37,30,10,16,1,0,0,0,1,92.39490360623398
44,15,10,14,2,1,0,1,1,88.69623782608828
47,19,2,14,2,0,0,1,0,86.62720083624181
39,26,5,14,1,0,0,1,1,88.96310103059761
24,28,6,21,1,0,0,1,0,83.41632627855795
34,17,6,15,1,0,0,1,1,82.79900882345666
14,24,6,10,3,0,1,0,1,74.72082624066987
22,22,4,15,2,0,0,0,0,76.70339109211918
20,23,3,21,3,1,0,1,1,80.74511604869095
14,27,8,16,2,1,0,0,1,80.68180772939012
29,17,7,19,2,1,0,1,1,85.17718628524317
18,20,5,8,1,1,1,1,0,74.52090357820987
39,23,5,19,3,0,1,0,1,88.90482538490689
25,21,7,13,1,1,0,1,1,80.00006760122683
22,23,3,15,3,1,0,0,0,77.06007466572983
36,18,4,15,3,1,0,1,1,84.00909265424568
23,25,9,16,1,0,0,0,1,83.62434263560415
24,16,8,15,2,1,0,0,0,78.17323123867656
37,23,7,16,0,0,0,1,1,87.74321668963326
31,24,5,18,4,0,1,1,0,84.88274648165992
13,19,5,12,2,1,1,1,1,72.80573541508097
22,22,4,11,1,0,0,0,0,75.20400215494755
31,22,6,13,2,0,0,0,1,83.6156843483343
25,23,4,12,1,0,1,1,0,77.84887763378494
28,28,8,12,1,1,1,1,0,84.73299304981687
28,27,2,12,0,1,0,0,1,81.83541347683482
34,16,6,11,3,1,0,0,1,80.88899300800574
19,24,7,19,0,0,0,0,0,78.51001927057158
33,19,4,11,3,0,0,1,0,76.98580508586967
15,21,0,16,0,1,1,0,0,71.77221290830238
26,27,0,17,2,0,1,1,1,81.81086190448224
34,19,3,10,1,1,1,0,1,79.90365713087853
31,19,4,19,1,1,0,0,0,82.03076381124778
18,26,7,17,4,0,0,0,1,82.61223660132342
7,29,0,13,2,0,0,0,0,71.16361283603503
40,27,7,16,2,0,1,0,1,90.58422681604426
20,19,4,4,0,0,0,1,0,69.09759236917166
24,27,5,16,1,0,1,0,1,80.93501217224448
10,28,7,12,1,0,0,0,1,76.4033569864762
28,24,6,8,2,1,1,1,0,79.0973772473661
28,27,7,16,0,1,0,0,0,84.71766658680413
24,26,0,20,2,1,0,0,0,79.06705536633021
1,24,10,16,0,0,1,1,1,74.14923167937125
31,17,7,21,2,0,1,1,0,82.81427902375303
24,24,6,16,2,1,1,0,0,80.35757396498583
22,22,6,21,2,1,1,1,0,83.20006028354565
37,29,2,14,2,1,0,0,1,86.44907156731932
44,23,6,22,1,0,1,0,0,91.692327725218
30,22,4,16,3,1,0,1,0,84.12434450789922
27,36,4,9,2,0,0,1,0,85.75736384798027
14,20,5,21,1,1,0,0,1,78.22186847032202
26,25,4,18,3,0,0,0,0,80.88398939266176
26,23,6,17,0,1,0,1,0,80.07965566379463
19,25,3,16,4,1,0,0,1,78.7190467257889
18,30,7,19,0,1,1,1,0,83.99274547137553
31,23,5,11,0,1,1,1,0,81.32700006665002
16,18,6,17,1,1,0,1,1,76.97102731830115
16,25,3,16,3,1,0,0,1,77.25783410210983
17,24,10,8,1,1,1,0,1,78.50607221625933
31,21,6,16,2,0,1,1,1,85.4155710229161
35,26,9,15,0,1,0,0,0,91.0643533534329
13,20,7,15,2,0,0,1,0,75.53985495752265
30,26,6,12,1,0,1,1,1,86.28478691418242
18,22,7,7,1,0,0,0,1,74.39735512595465
12,28,7,18,1,0,1,1,0,78.33957907985577
38,22,4,16,3,0,0,1,0,85.37398750165482
16,25,7,9,3,0,1,0,1,76.11698466286227
