participant_age,annual_income,crime_rate,home_ownership,education_level,employment_status,public_safety_fund,safety_satisfaction
48,22,11,0,1,0,1,121.9333125906544
24,25,5,0,0,0,0,86.16977969729984
36,23,10,0,0,0,0,102.12242410096056
17,24,7,0,0,0,0,80.01364257702956
26,16,6,0,0,1,0,84.58710005008655
22,20,6,1,1,1,1,93.14496438658786
32,26,6,0,0,0,0,95.69367071313977
4,18,6,0,1,0,1,74.52286800227854
51,24,4,0,1,1,0,110.42589545152428
20,26,7,0,1,1,1,91.26425824278112
23,17,8,1,0,0,1,96.65336948737216
30,25,7,1,0,0,0,93.88040954963488
18,23,2,0,0,0,1,83.57096463575601
13,25,9,0,0,0,0,78.79252293392997
24,21,4,0,0,1,0,84.11787303398073
21,23,7,0,0,0,0,85.32396371810295
39,30,5,1,0,0,0,101.7868510107024
17,18,4,0,0,1,1,83.90718304099781
14,21,11,0,0,0,1,90.63748072527564
23,24,6,1,1,0,0,86.07419209726399
8,27,6,1,0,0,1,80.24918443911346
30,20,9,0,0,0,0,93.55414546196758
43,27,6,0,0,1,0,103.01864294259306
22,29,7,1,0,1,1,97.87606130118994
26,26,3,1,0,0,0,88.3642362516474
27,13,5,1,1,1,1,94.03902938278522
13,21,4,0,0,0,1,82.93279393878282
15,21,8,1,1,0,1,89.52726342335637
26,18,5,0,0,1,1,92.83806679456556
23,17,9,1,1,0,1,96.30190337181564
29,23,9,0,1,1,0,95.389005128535
32,27,4,0,0,0,0,93.96662147792694
29,22,3,0,0,0,1,95.83894187962264
29,22,10,0,0,0,1,103.01552175759718
38,26,7,1,1,0,1,110.2896625292021
8,16,5,0,0,0,1,76.0101417002051
31,27,6,1,1,0,1,105.23450613853106
30,19,2,0,1,1,0,88.23067000888777
28,22,5,0,1,0,0,89.8577446298452
20,24,4,0,0,0,1,90.04513001752558
37,18,7,0,0,0,0,97.69419643133332
24,16,3,0,0,1,0,81.86477778873883
22,17,5,1,0,0,0,84.30962043892546
25,21,2,0,1,1,1,91.5799516307565
25,25,9,1,1,1,1,99.98699296034312
27,23,11,0,1,0,1,103.4481647025404
24,25,7,1,0,1,0,89.1905173805067
23,23,9,0,0,1,0,86.64349643239939
20,21,6,0,0,0,1,90.27759406106776
21,29,-1,0,1,0,1,86.7378659306916
24,26,7,0,0,0,0,87.06906240494223
42,26,5,0,1,0,1,113.34430171231726
7,21,7,0,0,0,0,70.42888077623019
22,24,5,1,0,0,1,92.47401705575668
18,23,4,0,1,0,0,78.42660421387649
11,34,7,0,0,1,0,80.19196793867737
23,20,8,0,0,0,0,86.61342165978657
32,26,7,1,1,0,1,105.79532681844526
21,30,7,1,0,1,1,95.67711186938848
18,32,8,1,0,0,0,86.80777790368748
34,27,7,1,0,1,1,107.541027827607
-5,18,5,0,0,0,1,63.61896276078908
38,23,9,1,1,0,1,111.5312499761066
15,17,3,0,0,0,1,81.80817996917227
28,23,3,0,0,1,1,97.10360256701092
22,28,7,1,1,0,0,87.23695317254712
10,21,4,0,0,1,0,72.35778047717632
22,17,2,0,0,1,1,87.18485761103449
32,27,6,1,0,0,0,96.46387972021562
25,24,7,1,0,0,1,98.42723366865287
35,29,3,0,1,0,1,103.63276427504358
39,22,6,0,0,0,1,108.36809689374888
41,22,5,1,0,1,1,110.79395393361658
32,23,6,0,0,1,1,102.84013299656056
25,24,6,0,0,1,0,87.79154583618839
25,27,5,0,0,0,0,87.4933284244917
33,26,4,0,0,1,1,101.69650452833406
32,26,6,0,0,0,0,94.79714946044568
28,21,1,0,0,0,1,94.67083124141986
26,29,5,0,0,1,0,90.2913877850908
23,27,6,1,1,0,1,95.769943294533
25,25,6,0,0,0,0,87.32088269778289
16,23,6,0,0,0,0,78.65818624130597
30,30,6,1,0,0,1,101.98073436009057
36,21,6,0,0,0,0,96.01760499021373
9,28,4,0,0,0,0,71.31477845283261
38,18,5,1,0,0,1,104.52099761800034
52,26,5,0,1,0,0,112.80810460162178
39,27,7,0,0,0,1,111.17710129899824
39,29,2,0,0,1,0,98.3339109480486
35,25,6,0,0,0,0,98.05667581404182
26,15,5,0,0,0,0,84.86112878394185
21,27,5,0,0,0,0,85.99376640998486
32,28,7,0,0,0,1,104.46025279922412
38,21,8,1,0,1,1,112.08363620617068
23,22,5,1,1,1,1,93.18246666358851
3,19,5,0,1,1,0,65.33196583236041
23,25,4,1,1,0,1,94.41066905484254
27,15,7,0,0,0,0,88.29659087849055
39,22,7,1,1,1,0,101.4355935941249
28,27,5,0,0,1,1,98.44464639103104
29,28,10,0,0,0,0,95.66237394926408
23,26,5,0,1,1,1,93.05922983202323
49,24,6,0,0,1,1,119.36448305088156
19,24,7,0,1,1,1,92.06506609704986
19,28,10,0,0,1,1,95.731618674835
29,21,6,1,1,1,0,91.34313774842146
0,25,6,0,1,0,0,65.06445962991603
12,21,5,0,0,0,1,81.61479454012944
13,17,2,0,1,1,1,77.72853266082937
26,26,8,1,0,1,1,100.87258715808434
17,23,5,0,0,0,1,87.6938774624948
28,27,6,1,0,0,0,92.92395534887224
11,19,9,0,0,0,1,85.45280991733696
38,23,0,1,1,0,1,103.86560497146463
29,24,5,0,1,0,1,98.3990628906739
35,20,4,0,0,0,0,95.73833367026822
24,20,8,1,1,0,1,96.978147788127
15,27,4,1,1,1,0,81.37115961748631
23,22,5,0,1,0,1,93.52214877067853
25,26,6,0,0,0,0,87.30666777527831
13,26,4,0,0,0,1,83.67802336840575
35,18,5,0,0,0,0,94.8970784521342
16,23,5,0,1,0,1,85.19577501088133
18,23,4,1,0,0,1,87.36131466476807
25,14,6,0,0,0,0,85.19387076553551
30,25,8,1,0,1,1,103.10069143551988
17,22,4,1,1,0,0,77.68736092831818
21,32,6,0,1,1,0,86.68044061307461
33,23,6,0,0,1,0,93.5440671352579
38,21,7,0,0,0,0,100.19877864478772
28,30,7,0,0,0,1,100.03022288540564
30,26,5,0,0,0,1,100.8129531568173
21,18,8,1,1,1,1,95.51633290610602
6,18,3,1,1,1,0,66.96676249841488
2,26,5,0,0,0,0,65.50663265055059
18,24,5,0,0,0,0,78.98966410711563
21,26,2,0,1,1,1,89.61897989362494
21,19,8,0,0,0,1,91.66614066051685
32,19,8,1,0,0,0,94.24976978911889
17,22,7,1,1,1,1,91.08455466969814
8,28,1,0,1,0,0,69.04234187261878
36,22,8,0,1,0,0,98.67859510976648
22,20,3,1,1,0,0,84.01309156688936
36,27,6,1,0,0,0,100.50732112170247
16,20,4,1,0,0,1,83.5806368037555
29,22,4,0,0,1,0,91.12283517070593
31,17,7,0,1,1,0,94.24170080799335
30,23,10,0,1,0,0,96.89478270704905
34,20,7,0,0,0,1,104.49661931018244
21,28,9,1,1,1,0,90.1494178952542
29,26,5,1,0,0,1,100.12108386097104
11,28,0,1,0,0,0,71.39132688759732
36,20,5,0,0,0,1,101.89130642233782
28,28,4,0,0,1,1,96.1971639803808
26,23,4,1,1,0,0,88.7805283288761
19,23,7,0,0,1,1,92.39485290030392
17,22,7,0,0,1,1,88.66591809670176
33,26,3,1,0,0,0,94.1163801510095
34,24,5,0,0,1,0,95.95697983365008
14,22,5,1,1,0,0,76.17427760360725
26,23,6,1,0,1,1,99.1863996313168
22,23,5,0,0,0,0,83.60272670970751
36,18,7,0,1,1,1,104.95085443058956
21,24,4,0,1,1,1,89.90037323192114
26,25,5,0,0,0,0,87.1275091141152
37,21,4,1,0,1,1,105.68638557011349
16,24,5,1,0,0,0,79.50074538340249
15,28,7,0,0,0,0,79.64191053466695
35,22,6,0,0,1,0,97.19965631929396
25,22,0,0,0,0,1,86.64157405341106
6,22,5,1,0,0,1,77.94797216887379
31,28,4,0,1,1,1,101.67180874831716
10,20,6,1,0,0,1,80.43715529348592
35,28,4,0,0,1,1,103.81535965557936
29,27,9,0,0,1,1,102.95262881526013
30,22,7,0,0,0,0,93.38883365185995
30,23,7,1,0,1,1,101.34273233933162
52,27,7,1,1,0,0,118.1656101452254
30,27,9,0,1,0,0,96.1696183978492
24,24,0,0,0,0,1,88.61219099206491
31,24,5,0,0,1,0,91.55352820881468
46,23,5,1,1,0,0,106.3729838990901
24,19,4,0,1,1,0,84.89326510285537
22,20,2,0,1,0,1,87.67581209393735
4,19,8,0,0,0,0,68.23182531288779
39,25,6,0,0,1,1,109.77850352955866
28,23,5,0,1,1,1,97.9613618176404
27,27,5,1,0,0,0,91.17072003968194
25,24,9,0,1,1,0,90.28326345086398
21,22,6,0,0,0,0,85.14498381364751
39,30,3,1,1,1,0,102.84165448517308
19,22,8,0,1,1,0,85.97056950956396
19,20,3,1,0,0,0,78.94965303325094
26,22,5,1,1,0,1,97.18724594029304
18,21,10,0,0,0,0,84.57441375328817
42,22,5,0,0,1,0,102.129052777117
13,24,10,0,0,0,1,87.52568991249588
35,22,4,0,0,0,1,102.94844922647262
26,25,2,1,0,0,1,95.1448214496939
17,19,5,0,0,0,1,87.86854803620928
31,27,4,1,0,0,0,94.82200193691271
12,28,7,1,0,0,0,78.69546174211796
25,22,7,1,0,0,0,89.26706526384652
26,22,5,0,1,1,1,97.69725002115116
15,18,7,1,1,1,0,77.95308718712953
33,25,4,0,1,1,1,101.19130897586548
32,22,8,0,1,0,0,97.53595925119347
17,19,4,0,0,1,0,77.97944295413849
3,27,2,0,1,1,1,72.32228866996049
31,24,5,1,1,1,0,94.85464967026336
10,23,1,1,0,0,1,77.11102004363879
11,17,4,0,0,0,0,71.6385034735322
29,21,7,0,0,0,1,97.88844360275178
31,20,5,0,1,1,0,92.28578400084962
17,20,8,0,0,1,0,80.18997151355431
14,24,6,1,0,0,0,76.98458004107736
24,12,3,1,0,0,1,91.49819308412876
32,21,5,0,0,0,0,92.65520117815974
24,22,3,0,0,0,0,82.67932228767782
31,18,5,1,0,0,0,91.13223466248392
26,25,6,0,0,1,0,87.48485034938454
22,22,8,0,0,0,1,95.48072269923946
36,26,3,1,0,1,1,104.19651443835726
29,24,4,0,0,1,0,90.87669001748628
30,20,4,1,0,1,0,90.44570104013476
14,25,6,0,1,0,0,78.90612167012829
29,27,3,0,0,0,0,89.20470683753116
29,25,6,1,0,1,0,92.79681092372348
27,21,11,1,0,0,1,102.74972903970206
37,27,2,0,0,0,0,96.34778898286294
28,26,7,0,0,0,0,91.68130146484272
20,19,7,0,0,0,0,81.49776008415321
16,24,3,0,0,1,0,76.52948279097672
27,33,2,0,0,0,0,88.99135028268861
18,21,5,0,1,0,1,89.114585935796
52,19,4,1,0,1,0,110.58467685111994
22,33,6,0,1,0,1,95.46094772620155
6,19,8,0,0,1,0,71.68371826279605
33,26,4,0,1,0,0,96.15496326838908
16,24,6,0,0,0,0,78.59646197047469
9,27,2,1,1,1,1,80.43060236733704
27,31,10,1,0,0,0,95.69391584200012
20,32,3,1,0,0,0,82.62003081939861
27,25,6,0,0,0,1,97.22622080146232
42,27,4,0,0,0,1,109.47963504632028
40,31,5,1,0,0,1,111.90411300311432
30,19,3,0,0,0,0,87.22715056066447
20,27,3,0,0,1,0,78.90735650624418
22,20,7,0,1,0,1,92.72162571773632
44,25,5,1,1,1,0,105.7027372946972
28,20,5,1,0,1,1,97.2311943160082
30,16,6,0,0,1,0,91.23680485167031
29,19,3,0,0,0,1,94.09615043059604
13,27,6,1,0,0,1,84.7239520461047
23,25,2,0,1,0,0,80.91474969528574
32,20,6,0,0,0,1,100.41068013889512
27,21,5,1,1,1,0,88.31842378037585
24,27,7,0,1,1,1,96.92330354996608
18,24,3,0,0,0,0,78.82309903992358
33,22,6,1,1,0,0,95.43550852616308
18,21,6,0,1,1,1,87.27657120781882
42,16,7,0,1,0,1,110.05776307568138
45,25,0,1,0,0,1,109.74073728935672
30,29,2,1,0,0,1,100.55478370635744
30,30,6,1,1,1,0,96.10585847098294
30,32,6,1,0,0,1,104.53313904922554
20,31,4,1,0,1,0,84.16869209555783
31,26,6,0,0,0,0,94.11098743553248
27,25,6,1,1,1,0,90.4637836336533
32,29,10,1,0,0,1,108.23363805346432
43,23,3,0,0,1,0,100.10281434666416
11,23,11,1,1,1,0,79.02092957100855
30,21,7,1,0,0,0,91.95663465657276
31,26,5,0,1,0,1,100.79950064876526
18,30,4,0,1,1,0,82.55286393378978
34,29,1,0,0,0,1,102.67323611969542
38,31,10,0,1,0,1,113.91343754968328
14,25,5,1,1,0,0,78.75744791920133
14,19,5,0,1,0,1,82.81816247181482
32,23,5,0,1,0,0,93.28279305292304
19,26,4,0,1,1,0,83.01661535160092
23,19,3,0,1,0,1,90.5788524345253
20,21,7,0,1,0,0,85.10701997227471
14,18,5,0,1,0,0,73.47109641482153
19,18,5,0,1,0,1,87.80575517530288
11,22,3,0,1,0,0,70.83095232913936
39,20,0,0,0,0,0,95.55866557783844
28,27,2,0,0,0,0,88.43219568085136
44,26,9,1,0,0,1,117.85211701725714
25,23,7,0,1,0,1,96.93120255214096
18,25,4,1,0,1,0,81.88181541401985
26,25,10,0,0,1,1,100.15169706044227
15,22,4,1,1,0,0,75.65094624874361
21,25,10,0,0,0,0,86.8309068872144
20,25,9,0,0,0,0,85.88776620857823
21,23,3,0,0,0,0,81.02963548495546
17,27,5,1,1,1,1,88.87486050939972
26,22,2,1,0,1,0,85.0663808056147
18,21,6,1,0,0,1,87.93340355384713
20,23,2,1,0,0,1,88.1117883448062
43,19,4,1,1,1,1,111.3081502596075
9,21,6,1,1,1,0,74.61146173958873
30,20,10,0,0,0,1,102.3185381146928
36,20,4,0,0,0,0,95.67928576192028
19,21,7,0,1,0,1,90.63885028453709
29,26,3,1,0,1,0,89.30508339253504
31,23,8,1,0,1,1,103.85945826936712
15,27,5,1,1,0,0,79.11021471700296
31,20,6,0,0,0,1,102.29511310344633
22,21,7,0,1,1,1,93.6452197540656
54,20,3,1,0,0,0,111.21501315420107
6,15,6,0,0,0,1,75.52730488796905
25,26,8,0,0,1,0,89.04734569931468
38,25,2,0,0,0,1,105.01018686563305
30,18,6,0,0,0,0,92.89193805982988
27,28,8,0,1,0,1,102.12884951049423
32,24,6,0,0,0,1,102.30730659699395
14,24,8,1,1,1,0,81.03692821795016
21,26,6,1,0,0,0,85.5596066162757
35,22,5,0,0,1,1,102.48629390619128
29,22,7,1,0,1,0,92.42700565190545
22,28,7,0,0,0,1,95.58350020197172
26,26,0,0,0,0,1,91.81172986653424
11,28,5,1,1,1,1,85.47573106707436
29,29,2,0,0,0,1,96.13974894565348
15,25,4,0,1,0,0,78.94640861492611
21,18,4,1,0,0,1,89.3608151036294
35,34,7,1,0,1,0,100.44788609945988
19,26,2,1,0,1,0,80.42308181134472
24,31,5,0,0,0,0,86.88297710492014
29,15,4,0,0,1,0,87.27612126181765
38,23,6,1,1,1,0,100.29878298953382
11,24,3,0,1,1,0,71.44079370205343
19,27,8,0,1,1,1,93.72074695797691
38,28,8,0,1,0,0,103.6501667475798
30,13,3,1,0,0,1,95.9357057429024
40,20,4,0,1,1,0,99.5945902110805
32,19,3,0,0,0,1,98.63989805944249
30,27,6,1,1,0,0,95.7489031948016
22,27,7,0,0,0,1,94.13750887836274
8,21,6,1,0,1,1,79.82541846531724
42,18,5,0,1,1,0,103.02618751741356
24,34,9,1,0,0,0,93.22632333525462
27,20,3,0,1,1,1,94.2260236000434
28,26,7,0,0,0,1,101.66398512048228
16,27,0,0,1,1,0,76.22132382922167
25,29,4,0,0,0,1,97.66840274080464
17,25,5,0,0,0,0,79.07448151006615
28,27,3,1,1,0,0,90.49941686261202
28,28,4,0,0,0,0,89.25732560519253
26,23,5,1,1,0,0,90.13082260708886
35,29,5,0,0,0,1,104.8727151585612
13,24,2,1,0,0,0,70.34757302566686
11,16,4,1,1,1,0,70.65418251681521
21,23,2,0,0,1,1,87.09655085810718
22,26,7,0,0,0,1,94.02065047045598
36,25,6,1,1,1,1,108.92507593889424
13,20,3,0,0,1,0,73.4426728977286
8,23,7,0,0,0,0,73.68731613243975
41,19,5,1,0,1,1,107.242327792805
2,25,5,0,1,1,0,67.91108746491356
26,31,5,1,0,0,0,90.2210824016452
-5,23,8,0,0,0,0,59.6321711814953
36,29,5,0,0,0,1,105.51899590781768
8,31,4,1,0,1,0,72.50008312234715
27,27,6,0,0,1,1,97.59532187219654
11,27,6,1,1,0,0,77.40298210355613
25,28,8,0,0,1,1,99.55563093594112
33,25,5,0,0,0,1,102.55674544066436
27,21,4,1,0,1,1,97.24689784217696
32,23,5,0,1,1,1,101.9006651714194
21,32,8,0,1,1,1,96.27700326413552
20,20,2,0,0,0,0,79.09543701529292
41,22,5,1,1,0,1,111.55391122259108
26,23,7,0,0,1,1,98.1105225210642
15,23,6,0,1,0,1,86.3895161856393
22,21,8,0,0,1,0,87.92178731279905
24,20,5,0,0,0,1,90.41559557162677
34,28,8,0,0,1,1,107.83300247266592
21,28,7,1,1,0,1,96.10279188745815
10,27,9,1,0,0,1,85.2501007719946
16,27,4,0,1,0,1,88.40173679876581
15,18,9,0,0,0,1,86.49431218731213
13,31,7,0,1,0,1,87.94007065179143
21,23,7,1,0,0,1,94.38813078451156
20,22,5,0,1,0,0,82.5064403618202
34,26,7,0,1,1,0,97.7734699793104
31,22,7,1,0,0,0,96.52822204460962
42,20,4,1,0,0,0,100.80279184140971
14,29,9,1,1,0,1,91.51324228194214
27,19,5,0,1,1,0,87.66502127875054
25,23,6,0,1,0,1,96.88194331006406
34,23,1,0,0,0,1,98.30444584570108
26,26,5,0,0,1,1,96.96832729701184
37,29,7,1,0,1,0,101.3164175035541
20,26,10,1,1,0,1,98.02683496539616
33,26,4,0,1,0,1,103.47785929888532
23,31,5,1,1,1,0,88.44083719951666
27,20,2,0,1,1,1,92.61720613881326
34,23,7,1,1,0,1,106.631300489005
20,15,7,0,0,0,1,90.4359657111546
14,16,8,1,1,0,0,80.0032011028271
4,26,7,0,1,0,0,68.8551215697506
19,25,5,0,0,0,1,90.87554110698083
27,19,5,1,1,1,1,95.5625395860879
39,30,4,1,0,0,1,109.99732483234534
26,23,6,0,1,0,1,97.03110670984812
25,17,10,0,0,0,0,90.56152508691638
29,29,4,0,0,1,1,98.12032579528588
24,33,7,0,0,1,1,98.42957758467472
22,27,7,1,0,1,1,97.57920490308793
18,25,2,0,1,0,1,85.68687619750716
2,21,4,0,1,0,0,63.64616598195158
23,26,7,0,0,1,1,95.09124508618488
28,21,8,0,0,0,1,100.0853012132147
15,29,2,0,1,1,0,76.27935709711281
32,23,1,0,1,0,0,88.72580956659648
15,22,6,1,0,0,1,87.0303792814408
51,18,6,1,0,0,0,110.3916290404716
29,27,6,0,0,1,0,93.92225687764966
32,27,5,0,1,0,0,93.93725587761485
37,22,4,0,1,0,0,98.17763573757068
17,22,7,0,0,0,0,79.83288351545887
26,16,4,0,0,0,1,92.51307384570704
18,19,8,1,0,1,0,81.93316686289695
21,22,3,0,0,1,0,81.41249047304358
30,25,6,1,0,0,0,92.99763263828972
40,29,2,0,0,0,0,99.33125432810756
29,23,7,0,1,0,1,101.49287890176966
20,20,5,0,0,1,1,89.72068301528041
