age,education_level,gender,minority_status,local_unemployment_rate,job_training_intensity,annual_income
12,33,1,0,11,46,500.98478581214863
12,28,1,1,11,47,506.1120709045349
16,29,1,1,8,46,497.8191201785388
9,30,0,0,10,44,479.616570455932
10,30,0,1,9,45,489.7291581140474
12,28,0,1,14,46,495.32145065346594
8,29,1,1,9,44,479.2270102729675
10,28,0,1,14,45,489.8498913552028
7,27,0,1,7,41,452.1167886663666
8,30,1,0,13,43,470.3983742187468
10,32,0,1,13,50,538.8079615047892
11,29,0,0,12,46,499.20145427931226
13,28,1,0,12,47,507.7115628666084
11,30,0,0,10,46,499.2588469933611
13,30,0,0,10,48,519.4570930624338
6,28,1,1,13,42,458.5398286590736
6,28,0,1,10,42,460.4550665543224
7,34,1,1,9,44,483.29108567292144
13,30,0,0,9,46,499.232110463161
10,30,1,0,13,48,519.9508212885256
11,32,0,1,11,44,480.877841151719
10,29,1,0,11,45,490.0737155564028
16,25,0,1,14,52,552.2730739623651
6,29,0,1,10,40,439.7772723092714
14,34,0,1,11,48,517.9050104853435
3,31,0,0,10,41,455.2693242527917
7,32,1,0,7,43,475.9087568713147
10,27,0,0,6,43,471.6631938676419
8,33,0,1,10,44,480.1932290938545
8,28,1,1,15,46,497.2111370400783
9,30,1,1,12,45,488.1572587873316
10,27,1,0,9,45,489.56100255677126
8,29,0,1,9,44,480.1866215443326
15,34,1,1,13,50,536.8551895140939
10,27,0,1,12,46,497.15822268077153
4,32,0,1,11,43,472.9420987202796
15,33,0,1,11,50,537.1496596389768
13,30,1,0,9,47,507.46408892748167
8,28,1,1,8,42,459.84330700303
9,28,0,1,14,46,495.3908413922891
7,26,1,0,12,43,469.78732663457424
16,26,1,0,12,46,493.6743140292167
7,33,1,0,10,45,492.3317999208217
11,28,1,0,9,44,476.41439247967554
6,33,1,0,11,42,463.7270430957144
9,31,0,0,11,45,490.236379364472
14,29,1,1,12,48,518.70139758129
5,31,1,0,14,44,483.6044636957526
10,29,0,0,12,45,489.3927599626885
12,28,0,1,12,47,505.7006320918228
10,32,1,1,10,48,519.5510304114555
9,28,1,1,8,41,449.5651904261118
9,28,0,0,8,44,479.8220003507331
10,29,1,1,12,46,498.49644324837294
12,33,1,0,12,48,523.4308503079995
10,29,1,0,8,42,460.82209687157336
6,32,1,1,10,42,464.0362646240585
9,25,1,0,10,44,476.72327184997096
8,34,0,0,15,48,521.5174182413336
11,30,1,1,9,47,511.0406840106836
5,24,0,1,10,41,445.7770503958273
7,30,0,1,9,44,483.2959052086554
5,31,1,0,12,43,470.6196278008155
9,32,0,1,10,45,491.3301199693335
10,32,1,0,11,47,511.1380269145169
9,32,0,1,11,44,480.70008090965086
4,29,0,0,12,41,451.0213619956182
12,27,0,0,11,46,499.4354345813411
11,27,1,1,11,44,475.3551394281761
7,29,1,1,9,42,459.9677670624933
10,29,1,1,11,46,501.2308500873909
15,25,0,0,11,48,513.739075597922
6,32,1,1,10,42,462.9424120233063
8,33,0,0,12,47,512.8414401377876
7,30,0,1,11,42,459.5426823963649
13,27,0,0,13,46,498.15797953503215
6,30,0,0,14,44,482.12436010134144
11,29,1,1,11,47,509.6852278008225
10,30,0,1,12,48,519.9311138188497
12,32,0,1,9,49,531.411938439323
7,25,1,1,9,44,479.6981394875897
8,30,1,1,10,46,501.6801967739498
8,27,1,1,9,43,472.232301398802
9,29,1,0,7,41,450.0342552746764
10,32,0,1,10,47,510.9275435655549
13,30,1,1,11,48,516.5310390813263
11,31,1,1,10,43,470.9500498558427
12,31,0,1,9,48,519.1402529643946
7,28,1,1,10,40,442.2171992600985
5,26,0,0,8,39,430.45200814762256
6,28,0,0,10,40,440.7360308599281
11,29,1,0,10,47,512.0712514474757
11,29,1,0,9,45,488.6933569275755
15,24,0,1,13,47,501.0833632472724
11,27,1,1,9,44,477.5118568486075
9,30,0,1,6,42,462.34271950199326
6,32,1,1,7,41,454.00651840740136
13,30,1,1,9,48,515.635542950129
10,29,0,1,11,45,489.22450231006303
9,30,0,1,11,46,501.089445607584
12,33,1,0,11,50,539.2734155975509
5,28,1,1,12,39,429.4000395638186
12,32,1,1,16,48,517.6442579137847
10,31,1,1,12,44,482.4046250009629
10,26,0,0,8,42,458.33487407376464
10,33,1,0,11,45,488.7208356855773
4,26,0,1,9,41,452.401277644784
8,25,1,1,9,43,468.96328431811656
10,31,0,0,10,47,510.8237402598655
10,31,1,0,8,44,481.52307984828593
12,25,0,1,13,48,516.9014436421731
9,29,1,0,8,46,499.5127400025085
13,31,0,0,9,45,488.7063336573247
12,30,0,0,9,46,498.6930907101428
12,25,0,0,12,45,486.09043913891554
14,29,1,0,13,51,547.9019066344148
13,27,0,0,11,47,506.40003171773714
6,27,0,1,13,42,458.88155089005375
12,29,1,1,14,49,526.4269003100197
8,30,1,1,10,45,490.1300144233616
13,28,0,0,12,47,506.4376874315655
10,33,1,0,12,47,512.1035430151379
16,30,1,0,11,45,489.311833571557
6,29,1,1,9,43,470.0556814306777
16,30,1,0,9,49,526.965136297205
10,32,0,1,11,44,480.3706654079669
6,28,0,1,7,40,441.6354772459912
13,27,1,1,8,44,476.608978419501
12,33,1,1,11,46,495.2800302066967
14,30,0,1,8,47,506.9082095221598
16,31,0,0,11,53,565.1103222387319
11,29,1,0,10,43,467.53924409610096
6,30,1,0,8,40,445.4147619454399
10,29,1,1,9,44,479.82781472449807
11,30,1,0,9,44,480.328280467795
7,29,1,0,15,43,470.56172786304273
11,29,1,0,10,43,469.557172186293
11,30,1,0,10,45,488.723934688592
12,30,0,1,9,45,486.646671867954
12,28,0,0,10,47,508.22673633293294
11,29,0,1,10,47,509.8422331129965
12,32,0,1,7,45,490.6494986728793
14,32,1,1,9,49,527.3410270992881
10,28,0,1,8,43,470.2780071561532
10,30,0,1,9,44,480.1278886492564
6,31,1,1,13,47,511.2031713859232
12,26,0,0,9,45,489.7613766724736
8,32,1,1,14,47,512.838111663183
11,33,0,0,8,46,501.6010344594221
13,28,1,1,13,48,514.8271708623311
8,31,0,0,12,46,505.1561863988006
11,30,1,0,10,43,472.8092840654045
5,33,0,1,10,44,483.2203568365152
9,27,0,0,11,43,466.5002821026672
12,28,0,0,9,47,507.1855475729542
11,28,1,0,9,46,500.1695081799922
10,30,1,1,12,47,506.85326349208617
8,25,0,0,12,43,466.78298999288256
13,31,1,0,10,49,528.8439205242939
12,29,1,1,13,50,534.7827643294744
9,30,1,0,10,44,482.1330676203029
13,31,1,0,11,48,519.4798409181061
12,28,1,1,14,48,516.1474068776329
11,29,1,1,12,48,515.8166847967301
10,29,1,1,11,46,500.9677567109919
10,28,0,0,9,42,461.21002768697247
7,27,1,0,9,41,450.3507102867094
7,29,1,1,9,42,460.2557699027661
7,32,0,1,10,44,482.228880274919
5,28,0,0,6,41,455.3926899055453
6,29,1,0,12,44,477.4236958090764
11,30,1,0,11,45,488.9797983687562
11,34,0,1,8,47,512.4831329600132
10,28,1,1,12,48,515.8489125462596
9,32,1,1,10,45,492.7856046521522
11,28,0,0,12,44,481.1852519654175
8,28,1,0,12,42,461.220581173787
13,27,1,1,7,46,498.1517332512575
14,27,1,0,12,45,486.0649068067288
8,28,0,1,10,42,460.3651131173552
5,29,0,0,10,39,431.2162982877544
11,29,0,1,9,47,506.70943922961726
6,28,1,1,12,40,439.4268582192656
10,28,0,0,13,45,487.4809703031184
10,28,1,0,8,44,477.2395524247689
11,28,1,1,12,47,507.3789526810886
11,28,1,1,12,48,519.137065274391
7,30,1,0,10,43,468.0593834274035
12,28,0,0,13,46,497.0082667150213
6,30,1,1,8,42,465.6934915014486
6,29,0,1,8,42,461.75918385578416
12,30,1,1,10,46,499.62478661549545
11,29,1,0,10,44,480.455513865186
12,30,0,1,9,47,511.1822342736374
8,26,1,0,10,42,461.3209078603878
11,33,0,0,11,48,524.6447060659345
11,28,0,1,9,45,486.21881007388265
3,30,0,0,8,37,414.5540060293025
16,30,0,0,8,48,516.422776179551
11,32,1,0,7,48,522.9693622368374
5,28,1,0,11,41,453.84972370120016
10,29,1,0,9,45,487.13444666180936
8,29,1,0,12,43,469.4028794169766
14,28,1,0,8,45,488.5132561114113
9,27,0,1,13,45,486.3629455740477
6,26,1,1,7,39,429.3845873546385
9,28,1,1,12,45,489.5936357691663
5,32,1,1,12,42,461.77665306684906
2,32,0,1,10,39,435.4660499731207
4,29,0,0,12,40,444.4772856103642
15,28,0,1,10,49,525.1101401207646
8,31,1,0,13,44,480.7750502881138
11,30,0,1,12,49,528.524448862445
10,33,0,1,10,43,471.6194093954624
9,28,0,0,17,48,518.5588481316042
6,30,0,0,11,44,483.3887052420485
7,30,0,1,11,45,490.0996528386188
13,33,0,0,9,47,510.1005059592573
15,32,0,1,12,50,534.8821749783648
12,32,0,1,11,47,509.3446218904196
9,30,1,0,11,43,470.4722137465381
11,28,0,1,14,48,514.1829810282226
13,30,0,0,11,47,510.0873268269849
15,29,0,0,10,49,525.9550151268659
11,25,0,1,13,49,523.8563302552024
12,29,0,0,10,45,489.4201586371592
13,29,1,0,12,45,487.9895578192953
7,26,0,0,10,43,469.0915075189239
12,31,1,0,6,45,491.90039266087257
9,30,0,0,10,43,468.4221625489373
9,27,0,1,11,45,485.7867970476988
5,30,1,1,9,40,444.3273768499756
14,29,1,1,10,48,517.547862661991
11,30,0,1,11,47,509.7981374945854
12,27,0,1,14,49,523.4020288067999
11,29,1,1,6,41,449.0023840067752
7,29,0,1,10,46,498.7027404189012
13,26,0,1,14,49,523.4789805267758
6,29,0,1,11,43,470.7608138666287
9,29,0,1,14,47,506.2396907919396
8,28,0,0,6,41,452.0705835780346
6,30,1,0,6,40,445.8615532316015
10,28,1,1,14,43,467.7130875313322
11,30,1,1,11,48,520.5518706112996
10,31,1,1,11,48,518.9013888776194
13,29,1,0,11,48,518.5941468933283
13,26,1,1,12,45,487.46364550003
10,27,0,0,12,44,480.21736296669474
6,31,1,0,8,44,483.1857430346263
8,32,0,1,11,45,489.3221572902745
7,32,0,1,13,45,493.1626070154352
4,31,0,1,9,39,432.9670559908955
9,29,1,0,8,38,424.33118314162346
11,31,0,1,8,45,488.18748004260186
9,33,0,0,12,47,508.336103055541
10,28,1,1,11,43,466.9663498798736
12,27,1,1,13,47,505.3009748989011
7,29,0,0,8,42,461.9963402428289
11,31,1,1,9,49,528.7967034570675
6,27,0,1,9,43,470.2328421847411
11,28,1,1,11,46,496.4572431934697
13,31,0,1,13,49,526.6132428321844
7,32,1,1,9,42,461.9933805450491
7,32,0,1,8,42,464.39082627781903
10,29,0,1,12,47,507.9427383459782
13,32,0,1,14,49,528.4734836548653
11,30,1,1,8,43,472.21176037182
15,32,1,0,9,48,521.7516146055555
3,30,1,1,11,43,472.5345722331364
9,25,1,1,6,42,457.8770136645589
10,32,1,0,8,44,478.646398742756
7,30,1,1,12,46,500.2334693630944
8,30,0,0,12,46,499.2157800793552
7,31,1,1,10,42,460.457009731188
14,28,0,1,11,50,534.5205263705565
14,29,1,1,12,50,534.4253557049545
10,29,1,0,10,44,479.5953510347758
13,27,0,1,8,46,498.31283497911886
9,28,0,1,14,44,478.7857885567913
8,31,1,1,8,45,492.3461101699255
13,31,1,1,11,49,529.4546303078549
8,29,0,0,10,44,480.3960878349761
12,30,0,1,10,48,518.5168667237183
6,30,1,0,11,44,480.8722972854736
12,30,1,0,6,44,483.1099399820275
14,31,1,1,12,47,507.3282116252805
12,30,0,0,10,44,479.01038838178266
5,30,1,1,8,44,483.5671844011434
6,28,0,1,12,42,459.1899425225116
12,31,1,1,7,44,479.7319927815275
15,35,0,1,12,52,562.2465863504782
9,28,1,1,14,46,497.4610610828356
14,32,0,1,9,48,517.7645856799724
14,30,0,1,11,47,506.6411498938075
3,28,1,1,12,40,443.2369989056704
8,29,0,0,13,45,491.47268056022887
9,27,0,0,13,47,503.9744912981057
6,30,0,1,10,42,461.41024946509344
12,31,0,1,9,47,508.9055240215346
6,26,1,1,9,41,450.10620277631233
13,29,1,0,11,43,469.8453253900912
14,29,0,1,12,50,535.1973518805959
15,31,0,1,15,52,554.965888816256
5,30,1,1,11,40,441.2455687960304
11,28,0,1,15,48,517.3543396376949
11,27,0,0,10,47,508.8711656590853
8,29,0,0,11,43,469.0983388797122
12,31,1,1,10,47,511.0161979944855
13,27,0,1,10,46,496.4997363986473
8,30,1,0,12,43,470.6847733803944
7,29,0,0,12,43,469.49215883703545
11,31,1,0,8,43,472.3298865665546
9,30,0,1,10,47,510.0700478247725
11,32,1,0,10,47,510.5474591805903
7,28,1,0,12,44,479.8788796820653
8,30,1,0,9,44,482.0374128781149
10,27,1,0,8,43,469.234691429324
8,30,0,0,13,46,501.13798016285136
8,31,0,0,11,44,482.9430947909475
5,31,1,1,14,45,490.97362758735807
8,27,1,1,11,41,447.4336428107966
5,32,1,1,10,42,463.7873527206559
12,30,1,0,12,48,516.6431687420978
9,31,1,1,10,43,470.34498364323696
14,27,1,1,11,46,492.8394835339777
15,27,0,1,9,47,505.4854484902119
6,32,1,0,11,43,473.8508221179694
10,30,0,0,12,44,479.87759287372654
11,31,1,0,7,44,482.2110389029057
5,32,0,0,10,43,472.2398941055542
11,27,0,1,14,47,506.7568920407075
11,30,1,0,10,43,468.9522699004503
12,30,1,1,11,48,517.895914386363
13,28,0,0,11,47,507.7296250026042
8,29,1,0,12,44,479.219847799672
9,25,0,1,9,43,465.6579832661191
15,31,1,1,10,48,520.5313885389583
10,32,0,1,9,45,491.3476060421266
6,30,1,1,9,42,465.2813035997294
13,32,1,1,10,50,538.859908870572
8,31,0,0,10,44,483.24379927068793
11,29,1,0,9,42,457.19846487327897
8,28,1,1,13,44,477.4802250299063
5,31,0,1,11,42,461.52332588704814
10,35,1,0,10,47,512.1347371555825
10,31,1,0,10,45,491.2032857400943
10,32,0,0,14,48,520.3735241150706
7,31,1,1,11,42,461.5929110718941
13,27,0,1,8,44,479.1716159012942
8,29,1,1,12,44,479.456830880271
10,32,0,0,13,47,511.9175380308674
9,27,0,0,10,47,508.5596786252604
12,30,0,0,9,48,520.1021640033325
10,29,1,1,15,49,526.790076797901
9,32,0,1,12,48,519.3253250045458
12,28,0,0,10,44,478.14000171519706
7,28,1,1,11,44,480.1870264962908
10,29,1,1,14,48,518.8818302009307
9,28,1,0,11,45,490.2893680293661
7,25,0,1,11,41,449.1599939455744
4,30,1,1,14,42,460.592489469781
10,25,0,1,10,44,475.0586102028013
11,28,0,0,13,49,527.9276076891074
8,27,0,0,9,45,488.7584367160408
13,32,0,1,8,47,508.1912379833289
7,31,0,0,11,45,492.0081784214639
13,28,0,1,9,46,496.4927686641223
7,28,0,1,7,45,487.3919552223904
7,32,1,0,8,42,465.1874146827933
6,34,0,0,11,47,513.4151452678777
8,29,0,0,15,44,478.5217985791333
11,32,1,1,12,46,499.6780315121594
10,29,0,0,10,45,489.535917649372
12,30,0,0,10,45,489.1871618182988
9,31,1,1,14,48,520.0000242409473
14,28,1,1,8,45,488.9294023223699
10,30,0,0,10,45,491.1782846583697
9,29,1,0,9,44,481.2381315050072
13,28,0,0,15,47,509.1035815136921
13,30,1,0,9,45,493.33999736878
6,29,0,1,9,43,472.2273292584836
8,26,1,0,12,43,470.8577072794136
8,26,1,1,12,44,478.5179367161739
7,30,0,1,10,43,468.5696686577271
11,26,0,0,11,46,496.7262275603792
10,28,0,0,11,45,485.6571673708698
5,28,0,1,10,41,452.04528223625033
10,30,1,1,10,42,461.0446129571117
14,28,0,1,8,46,498.29822024869975
6,32,0,0,12,46,501.5514571554134
11,28,1,0,7,44,482.8390067479913
11,32,1,1,10,48,521.4906866899513
9,32,0,0,12,48,520.9815818265826
9,28,1,1,8,43,471.12225747410537
11,29,0,0,7,42,461.2719102396845
16,27,1,0,11,47,504.860600691346
7,27,0,1,12,44,479.3143263311073
13,28,0,1,12,49,523.8572216281216
12,31,1,1,6,46,503.4214721826649
11,31,0,1,7,46,501.23361694888337
10,29,0,0,11,44,476.27975445507
7,31,0,1,10,44,481.4904806854739
5,29,0,1,9,42,464.6450366011548
7,31,0,1,12,44,479.8713706078865
7,27,0,1,10,41,452.9863173159541
9,29,0,1,14,44,477.2735009560096
13,27,0,1,10,50,534.1938113992385
9,28,1,0,9,40,441.3289266884426
8,29,1,1,8,44,480.821113340155
11,29,0,1,11,45,490.6072619629082
12,29,1,0,9,43,469.9614652886567
9,30,1,1,14,48,515.3997422668577
7,30,1,1,11,43,472.0894271186999
13,34,0,1,10,50,540.3485405267145
13,26,1,1,10,45,487.75485301992745
7,33,0,1,11,44,481.6188921116813
7,27,0,0,13,45,488.1453985890001
10,33,1,1,10,44,481.6583156597154
9,31,1,1,12,45,489.6418628066487
7,28,0,1,10,43,469.303744868736
9,25,1,1,10,41,449.1890949120955
5,26,0,0,9,40,441.6219497725151
8,35,0,1,9,44,483.29141566368986
12,29,0,1,11,48,516.2871136749807
8,33,0,1,11,45,491.0581379684121
10,28,0,1,12,46,499.50791283274674
6,33,1,1,13,45,492.0955361335044
8,32,1,1,9,44,479.60286255880976
14,28,0,1,10,46,495.21770587499856
13,30,0,0,8,45,489.1243171597862
11,25,1,1,11,45,486.4924175293688
7,25,0,0,14,44,478.11683942945774
7,29,1,1,13,45,488.1596948411024
7,30,0,1,10,44,483.2009776129133
9,32,0,1,9,45,493.8538909425855
9,29,1,0,10,43,472.6220356452288
9,31,0,0,11,46,496.8845952370035
5,29,0,1,8,42,459.9765743708963
10,31,0,0,11,47,507.8431853605034
10,32,1,0,11,47,510.1983308177799
17,29,0,0,8,48,516.659199954002
14,32,1,1,10,51,549.7130777193113
4,27,0,1,10,39,428.7454320971356
6,27,0,0,10,40,443.5379061799192
11,33,1,0,10,44,482.4146271391493
9,27,0,0,11,44,479.3865439182418
12,29,1,0,12,49,525.8778196662956
7,26,0,0,11,39,430.2722077252738
12,34,0,0,13,46,499.8798190456312
11,30,1,0,11,48,518.237156422693
14,28,1,0,11,50,536.293101257137
9,28,1,0,8,42,461.8199187092344
15,28,0,1,10,47,507.1592423358879
5,27,1,0,12,41,448.90238410868943
11,31,1,1,14,47,508.3347662613428
14,29,1,0,12,48,518.2144860054584
14,28,0,1,10,51,544.6953760834821
9,32,1,0,12,46,501.9832518100898
17,32,1,0,11,51,546.2731018038155
5,29,0,1,11,41,452.6976767574709
13,29,0,0,10,47,508.6690676220477
7,36,0,1,10,42,463.329783246492
12,28,0,0,10,47,508.5146054220904
15,27,1,1,9,44,477.4206211476075
8,33,0,1,9,44,483.916568117971
6,32,0,1,11,43,474.1299329620693
2,28,0,0,14,41,451.5699730140853
13,31,1,1,9,44,477.7188843801203
9,31,1,1,12,45,487.8905295229823
11,28,0,1,8,42,458.0380305230245
15,29,1,0,7,45,488.2792456767804
10,27,1,1,11,45,485.36390342809614
10,28,1,0,8,44,479.5705737656045
7,28,1,1,6,38,423.7724820732207
11,26,1,1,9,45,485.6890749260137
10,28,1,1,10,43,467.366201276426
8,31,0,0,11,45,490.1070816854885
9,27,0,0,11,43,467.8194202213837
4,27,1,0,11,41,450.68485458386937
11,27,1,1,9,43,467.0613400756836
5,32,0,1,13,46,499.9777851976102
9,29,0,0,13,45,486.43890538722405
6,33,1,0,10,42,463.9581373739484
12,28,0,0,11,45,486.0464951535782
9,29,0,1,10,43,469.422968500193
9,26,1,1,9,42,460.82936134239344
7,28,1,1,7,41,454.9450221123415
8,30,1,0,9,43,471.717213883339
9,35,1,0,10,47,513.9509917442258
10,29,0,1,8,44,478.78953040083184
10,30,1,1,11,47,510.2894275428093
8,34,0,0,9,48,524.9470072629408
9,27,1,0,7,40,440.4200614564149
9,31,0,1,11,47,512.8449491880999
5,28,1,1,10,41,453.2543055001408
6,28,0,1,12,43,470.73368267142143
13,28,0,1,10,48,514.5816309324246
9,32,0,0,10,42,463.7348179319762
12,31,0,0,11,46,497.8852450470969
15,33,1,1,10,50,538.9792907910423
8,30,1,1,9,46,500.19632654826665
13,29,1,0,13,49,526.8547347326561
14,31,0,0,13,50,540.4146191951008
11,31,0,0,11,46,501.44129804806965
12,29,1,0,9,45,487.9719190925196
11,32,1,1,13,44,478.5155416118269
5,29,0,1,13,42,462.3354753998533
9,27,0,0,9,44,478.96960051328375
7,31,1,0,12,45,491.6255290590315
10,31,0,0,10,44,482.8709461302764
5,31,0,0,11,41,450.05748003042703
8,32,1,0,13,45,490.1970044016347
6,29,1,1,7,41,452.7960553586441
15,30,1,0,8,47,509.2232334955482
13,32,1,0,12,50,537.4823654665386
14,30,0,0,10,47,508.6802374752192
8,30,0,1,8,43,472.9760249465151
9,27,1,1,10,41,445.3499055183077
8,32,1,0,10,42,462.2995599524496
7,27,0,0,8,42,460.6401498187341
12,33,0,0,6,48,524.4167787398826
7,30,0,1,12,44,482.8250645260069
14,30,1,0,11,49,528.4551838315065
10,31,1,0,7,41,449.590269503776
15,26,0,0,7,46,495.4954003883796
8,24,1,0,11,41,448.2903182489109
13,29,1,1,10,49,529.2369086597229
13,26,1,0,14,49,528.1916269733938
6,30,0,1,14,44,480.8057745575733
13,27,0,1,9,45,486.7211572597205
7,25,1,0,11,40,437.5540403422672
10,32,0,0,10,45,491.436337615079
