education_years,job_experience_years,has_college_degree,is_union_member,invited_to_skill_training,attended_skill_training,annual_income
6,3,0,0,0,1,59.97355731196719
5,2,0,0,1,1,62.06309371062108
5,3,0,1,0,0,50.46137515176358
8,2,0,1,1,0,52.4993559536176
8,3,1,0,1,1,60.276429272037625
0,3,0,0,1,0,53.34974639712791
2,2,0,0,0,0,52.67482767836261
1,1,1,1,0,0,52.72382779328892
3,3,1,0,1,1,61.07130044591901
1,2,1,0,1,1,61.09631409402186
3,2,0,0,1,1,60.82138407890104
6,3,0,0,1,1,61.63020342757187
3,2,0,1,1,1,61.15878649870187
1,2,0,0,1,0,53.26172199202894
5,3,1,0,1,1,61.48213830722776
3,3,0,0,1,1,59.74393429386824
2,2,0,0,1,0,53.91499524698317
0,3,0,1,0,0,53.99845177159688
3,3,1,0,0,0,53.3455174105763
5,3,1,1,1,0,52.51789546138448
-3,2,0,1,1,0,54.41313314358971
1,3,0,0,1,0,53.59704413489853
1,3,0,1,1,0,53.930796012815776
4,3,0,1,0,0,51.651851634345626
2,3,0,0,1,1,62.25933811921768
4,3,0,1,0,0,52.90547266159519
2,3,0,1,1,0,52.67791898239411
6,3,1,0,0,0,53.49471450862468
2,3,1,0,0,0,53.49167008830984
4,2,0,0,1,0,52.40330240737046
4,3,0,0,1,1,61.82746264314659
3,2,0,1,1,0,53.135960486460405
1,2,1,0,1,1,61.5251402316829
4,2,0,0,1,1,61.04454177602064
7,2,1,0,0,0,52.68881470447978
5,2,1,1,1,1,61.727123437866446
2,3,0,1,1,0,52.336313133117166
0,2,0,1,1,0,53.85597430456017
4,3,1,0,1,0,53.69186157089088
4,2,0,0,1,1,60.07092509406005
6,3,1,0,1,1,60.26780602782013
4,1,0,1,1,0,54.77961918863459
3,2,1,0,0,0,52.870213406739474
1,2,1,0,1,0,51.322361408818544
1,1,1,0,0,1,61.792265275955536
3,3,0,0,0,0,53.3005693380719
1,2,0,0,1,0,53.4744875657612
3,3,1,1,1,0,52.84576219996188
2,2,0,0,0,0,54.81004492479642
5,2,1,1,1,0,53.57552926165909
3,2,1,0,0,1,60.46356139097277
3,3,0,0,1,0,53.13299316265983
0,2,0,1,1,0,52.92051866827117
4,3,0,0,1,0,52.46076479637384
6,2,1,0,1,1,61.54929052047469
5,2,0,0,1,1,60.86932607058981
3,3,0,0,0,1,61.88774863523098
5,2,1,1,1,1,59.7800722979613
3,2,0,1,0,1,61.04516505417529
1,3,1,0,1,0,52.24217157973599
-2,3,0,0,1,0,54.83708086085192
4,3,0,1,1,0,52.20642550277555
1,3,0,1,1,0,54.12407983140495
6,3,1,1,1,1,60.07694950815269
1,3,0,1,1,0,50.41072838094996
2,3,0,0,1,1,59.62842951877239
4,1,1,1,1,0,54.02433837517011
2,2,1,0,1,1,60.77353870971746
3,3,1,0,1,0,53.5618564801274
4,2,0,1,0,0,52.42731051081861
0,4,0,1,1,1,62.180252853183546
3,3,1,0,1,0,52.385444085063824
7,2,0,0,0,1,61.08219116308263
8,2,0,0,0,1,61.75710446766184
6,2,1,0,1,1,60.30474059974506
5,3,0,0,1,1,61.40297471135261
1,2,0,1,1,0,52.44253727317995
4,2,0,0,1,1,62.7472770947998
2,3,0,0,1,1,61.00144253991776
2,1,0,0,1,1,60.55550760298568
4,2,1,1,1,1,61.91067086503589
2,3,0,0,1,0,53.054040444715945
1,2,0,1,1,1,61.91681056385108
4,2,0,0,1,0,51.39224694903975
2,3,1,0,1,1,60.181937827927314
6,2,1,0,1,1,60.83076362674405
3,3,0,0,1,0,54.04116113286705
8,4,0,0,1,1,62.550303337696505
0,2,1,1,1,1,61.74692316424394
3,2,0,0,1,0,53.417345141849765
2,2,0,0,0,1,61.05002857337601
2,2,0,0,1,0,52.76681208666615
3,3,0,1,1,1,59.78644972101396
2,1,1,0,1,0,50.83229525372991
4,2,0,0,0,1,60.25223004222519
4,3,1,0,1,1,60.91371905236902
2,1,1,0,0,0,52.98998796040932
5,3,1,0,1,1,62.43728697817502
3,3,1,0,1,0,53.07309673001775
1,2,0,0,1,0,52.37127917164333
2,3,0,0,0,0,51.57061762284422
2,3,0,1,0,1,61.93621373502003
1,3,0,0,1,1,58.86009190440674
3,3,0,0,1,0,51.587966891450606
3,3,0,1,1,0,54.39307210291664
1,2,0,1,1,0,52.90616701167715
2,2,0,0,1,0,52.93473576093523
5,2,0,0,1,1,61.33843570502006
2,2,0,1,0,0,53.35106367652202
3,3,0,1,1,1,60.832550002047554
1,3,0,0,1,0,51.77291282498834
5,3,1,0,1,0,51.73467373528926
1,3,0,0,1,0,51.73608044557324
8,3,0,0,0,1,60.11048306734629
2,1,1,0,1,1,62.31533437487025
5,3,1,0,0,0,51.95001179516713
4,2,1,1,0,0,53.65983653413293
3,2,0,1,1,1,60.31212439014374
5,2,0,0,1,0,52.60216948785253
5,2,0,0,0,0,54.42131603500637
0,2,0,0,1,0,53.549134047601015
4,3,1,0,0,1,61.74319881370596
0,2,0,0,1,1,60.14969271230426
5,3,1,1,0,1,62.13757001857075
4,2,0,0,0,0,52.45214327458413
6,3,0,0,1,1,60.83460319005695
1,2,1,1,1,1,61.475855202231415
2,1,0,1,0,0,53.90908405472483
5,2,0,1,0,0,51.66329181402125
7,2,0,1,1,1,63.49319228393587
2,3,1,0,1,1,61.36137772027378
0,3,0,0,0,0,52.51163642611945
3,2,0,0,1,1,60.68793471577453
6,2,0,0,1,1,59.734215704170296
5,3,0,1,1,1,61.50087977810263
7,4,1,1,1,0,53.05305028033488
2,2,0,0,1,0,53.31029539295012
5,3,0,1,0,0,52.248471583854574
5,3,1,0,1,0,51.882056497151176
2,3,0,0,1,1,60.78658777944595
3,3,1,1,1,0,50.45501775458933
5,2,1,0,0,1,61.25161456694803
3,2,1,1,1,1,60.38195713887471
3,3,1,0,0,0,54.52573398490948
4,3,1,1,1,1,59.62421191064109
0,3,0,0,0,0,53.75596834601048
5,2,0,1,1,1,59.61138406393157
5,2,1,0,1,1,60.60381086990809
2,2,0,0,1,0,54.41954207194348
3,3,1,1,1,1,60.9531205231144
-1,1,0,0,0,1,60.07805737845821
0,3,1,0,1,0,52.54705397723614
0,2,1,0,0,1,61.02390006577257
2,2,1,0,0,1,59.82868270821886
10,2,1,1,0,0,50.41055986296753
6,3,1,0,1,1,62.059797474786784
6,3,0,0,1,0,51.64178375535939
6,3,0,1,1,0,50.933726333988254
1,2,1,0,1,1,61.601544543901824
5,1,0,0,1,1,62.93124912530094
2,2,0,0,1,0,53.86972927130184
7,2,0,0,0,1,62.7625451341971
1,3,0,0,1,1,61.97315721038467
5,2,0,0,1,1,61.26955041021105
1,3,0,1,1,1,61.10436085132798
4,3,0,1,0,1,61.793606933818566
5,3,1,0,0,0,50.87823519003584
1,3,0,0,0,0,51.22196265395939
1,3,0,0,1,0,52.081723560239965
5,2,0,1,0,1,61.68402912364158
8,2,0,1,1,1,61.10760319830322
2,3,0,0,1,1,61.79460331361018
6,2,0,0,1,1,61.96007141726954
4,2,1,0,0,1,59.56211053023692
0,2,1,0,1,0,54.85791623556509
9,3,0,1,0,0,53.278914380693934
4,3,0,0,1,0,53.83736248008464
0,3,0,1,1,0,53.70097945962533
4,3,0,0,0,0,52.5620208791882
1,2,0,0,0,0,52.97758216735265
2,2,0,1,0,0,53.416075097256005
5,2,0,0,1,1,59.91771285779383
3,3,0,0,1,1,60.45382978176403
0,2,1,0,1,1,60.898559376875546
3,3,0,0,1,1,62.44452656416785
4,2,1,0,1,1,62.09899374799967
5,3,0,1,1,1,62.338450493638526
1,2,0,1,0,1,60.94441046972264
0,2,0,0,0,1,62.42705136283266
1,2,1,0,1,1,62.15754850371994
5,2,0,0,1,1,62.58632486711885
2,2,0,0,1,1,61.91612710355128
3,2,0,0,1,1,62.64227541457906
4,3,0,0,1,1,60.49412098717595
5,3,0,0,1,0,52.89988471909592
1,2,0,1,1,0,52.93630074520004
2,3,1,1,1,1,60.55123194622051
7,3,0,0,1,1,61.197816069038105
6,3,0,0,1,1,62.15511527617026
5,2,0,1,0,1,62.11624423720532
4,4,1,1,1,0,52.5800527505106
0,3,1,0,1,0,53.36965814629127
6,3,0,1,1,1,62.11048859550321
5,3,1,0,1,1,61.31442569869982
4,2,1,0,1,1,60.81821662360657
5,2,1,1,1,1,62.688601443139945
4,3,1,0,1,1,61.77406363356936
5,3,1,0,1,1,61.43991030973065
5,3,0,0,1,1,62.97374842142459
7,3,0,0,1,0,51.66144269140126
6,2,0,1,1,1,60.905108184226016
3,2,0,0,0,0,53.43641461836864
2,3,0,0,0,0,53.35164152988707
4,3,1,1,1,1,61.73904600570757
6,2,1,1,1,1,62.21529075716322
3,3,0,1,0,0,53.43006794747591
4,2,0,1,1,0,52.63159985444082
3,3,0,1,0,0,53.301562872069375
0,3,0,1,1,0,54.07248088984368
5,2,0,0,1,1,61.282047255411975
2,3,1,0,1,0,53.825898522374416
1,2,1,0,0,1,61.17507887857575
5,3,0,1,0,1,60.88878661009218
4,3,1,0,0,0,52.51525695416184
3,2,0,1,1,1,63.5036788922844
8,2,0,1,0,0,52.31392101126973
5,2,1,0,1,1,59.64643569266223
2,2,0,0,0,0,53.17682380445991
4,3,1,1,1,0,51.69544193319171
4,2,0,0,1,0,53.05845666460626
0,2,1,0,1,1,62.33037023928389
4,3,1,1,1,1,62.14930143643758
3,3,1,1,1,1,61.821622729939136
4,2,1,0,1,0,52.49837990652365
1,2,1,1,0,0,52.38760645693721
3,2,0,1,0,0,52.53762506475511
5,3,0,0,1,1,58.80499956753365
3,3,1,1,1,0,53.63232945902362
5,3,1,0,1,1,61.71073972324714
3,3,0,1,1,1,61.20869738233981
2,1,0,1,1,1,60.37007646030055
3,3,0,1,1,0,52.413572350878205
2,3,0,0,1,0,50.24945662721857
3,2,0,0,1,0,51.54447704660384
4,2,0,0,1,1,59.29700710433168
4,2,0,1,1,0,53.13527235151559
3,2,0,0,0,1,62.61259962795973
4,3,0,0,0,1,62.76843064972398
1,2,0,0,0,0,53.414084500617925
6,3,1,0,1,1,61.67436119775647
3,4,1,1,1,1,61.70035199830573
3,2,0,0,1,0,53.65831349346335
1,3,0,0,0,1,62.692680951402174
5,2,1,0,0,0,54.04550744086636
1,3,0,0,1,0,53.083396368616576
3,2,0,0,0,0,53.11049811830773
5,2,0,0,1,1,60.10805506386636
4,3,1,1,1,0,51.64112258562106
3,3,0,1,0,0,54.23574628800764
2,3,0,1,1,1,61.94799154555198
0,3,0,1,1,0,53.32379540504372
4,3,0,1,1,0,52.82013742939738
4,3,0,0,1,0,51.839583612168205
2,2,1,1,1,1,60.99871040176304
5,2,0,1,0,0,51.44274176434869
4,3,0,0,1,0,52.87577640209177
2,2,0,0,1,1,60.576584195825816
2,1,1,0,1,1,60.13435791627099
3,2,1,0,1,1,60.23354580015848
2,2,0,0,0,0,53.52777026526475
5,3,0,0,1,0,53.35735160675199
3,3,0,0,1,1,60.84158164870721
2,3,0,0,1,1,59.873861197591154
0,2,1,0,1,1,62.38255914704611
6,2,0,1,0,0,51.07992337053833
6,2,0,1,1,0,53.31265705344286
4,3,0,0,1,1,61.82931052429156
4,3,0,0,0,0,54.3460887393524
5,3,0,0,0,0,52.618830001262445
3,3,1,1,1,0,53.580230475842455
0,2,0,0,1,1,60.06355316639679
2,2,0,1,1,1,60.28131945216687
0,3,0,0,1,0,53.499812228961645
7,2,0,1,1,1,60.16901463812538
7,2,0,0,0,0,52.83265091843917
6,2,0,0,0,0,54.37750327038746
2,2,1,1,1,1,60.21693829083656
4,3,0,0,1,0,52.25459769453836
-2,2,0,0,0,0,53.66019955346685
5,3,1,1,1,0,52.73189177056894
4,2,0,0,1,0,53.416381688779744
0,2,0,1,1,0,53.72057444185936
7,2,1,0,0,0,52.88595963074066
1,2,0,0,1,0,53.23245768966881
4,2,0,0,1,0,53.2702511333205
2,2,1,1,0,1,59.92015694103472
4,3,0,0,1,0,53.11226885562241
1,3,1,1,1,0,52.91639181426682
-1,2,0,1,0,0,54.492529117265455
0,2,0,1,1,0,53.18706722882282
2,1,0,0,0,1,60.603269055484034
5,2,0,0,0,0,52.8283340143195
1,2,1,1,1,1,59.54171618337284
6,2,0,0,1,1,59.591118447771535
6,2,0,0,1,1,60.87558625851722
6,3,1,0,1,1,58.79962001461503
5,2,1,0,0,0,53.651055034247904
8,3,0,0,1,1,58.87964649579757
4,2,0,0,1,0,52.71695327585682
7,2,0,1,1,1,60.83874197223406
5,2,1,0,0,0,53.69131931175748
2,2,1,0,0,0,51.6557736958554
0,2,0,0,1,1,61.92433634286544
6,2,0,1,1,0,52.43254134514192
2,2,1,0,1,1,59.91615677928329
4,3,0,0,1,1,62.06587239070608
1,2,1,0,1,0,51.86743730568075
2,2,0,0,0,0,51.79064945613993
5,2,1,0,0,1,59.60275056033085
1,3,0,1,1,0,52.52574180902882
7,3,1,0,1,1,61.25373297255422
5,3,0,0,1,1,60.949112676780885
6,2,0,1,1,1,60.87384499250721
2,3,1,0,1,0,51.46786106853703
4,3,0,0,1,0,53.98740695206269
5,2,0,0,0,0,50.319835876217326
3,2,0,0,1,1,60.40708820673561
5,2,0,1,1,0,51.40207769949947
7,2,0,0,1,1,61.37311281656431
3,3,0,0,1,1,60.20977074978072
1,2,1,1,0,0,54.44395869114173
8,2,0,0,1,1,61.577602265913
6,3,0,0,0,0,52.24985903004287
-1,2,0,0,0,0,50.567031237089566
4,3,0,0,1,1,62.5299601217657
2,2,0,0,1,1,61.38330261402013
3,2,0,0,1,1,61.71261981686046
6,3,0,0,1,1,61.09789504313807
6,3,0,1,1,0,52.70856584040609
3,2,0,1,1,0,53.62696301102571
2,1,1,1,1,1,60.16381247461961
7,2,0,0,1,1,60.95457198114008
4,3,1,0,0,0,53.50095419347152
2,2,0,0,1,0,54.256872950195024
5,3,0,0,1,1,60.96286389155151
6,2,0,1,1,1,60.17689458695644
3,4,1,1,1,1,61.20206617744678
8,2,0,0,0,1,61.333818514153904
5,2,0,0,1,1,61.56236078745437
7,2,0,0,1,1,61.625559558296544
4,2,0,1,1,1,60.84145843738972
4,2,1,1,0,0,53.19915736980599
3,3,1,1,1,0,54.21351192918772
5,3,1,0,1,1,59.72752206562025
4,3,1,0,1,1,60.6343366332566
3,2,1,0,1,0,50.88095056601268
1,3,1,0,1,1,61.29979580284064
5,2,0,1,1,0,51.8439964884805
4,2,0,1,0,0,51.57071759061863
5,4,0,0,0,0,53.05322073967647
6,2,0,0,0,1,59.24274843825756
4,3,1,0,1,1,60.712572329943285
3,3,1,0,1,1,61.32836868423654
3,3,1,0,1,1,61.75047208707457
4,4,1,0,1,0,53.10736557626674
3,1,0,0,1,1,61.58942230407759
4,3,1,0,1,1,61.29478361294392
7,2,0,0,1,0,53.15218884713247
4,3,0,0,1,1,59.31882661771739
-2,2,1,0,1,1,63.58111903248715
1,3,1,0,0,1,60.3227486889258
5,2,0,0,1,0,53.62229016868525
6,2,0,0,0,0,51.82830881422297
6,1,0,0,1,1,60.98139880077244
5,3,0,1,0,1,60.85217676457266
9,2,0,0,0,0,52.34474713264506
4,1,1,0,1,1,61.09390290513729
4,3,1,0,1,1,62.18539288671347
5,2,0,1,1,1,62.36003387901327
4,2,0,1,0,1,61.166894304114805
2,3,0,0,1,0,54.72341723158797
3,2,1,1,0,1,61.05047778423667
2,2,0,1,1,1,62.36159595060139
0,4,0,0,0,0,52.21764078373624
4,2,1,0,0,1,61.76455052649917
6,2,0,0,1,1,61.42789565896148
1,2,0,0,1,0,53.41559984061057
0,3,0,0,1,0,54.26437865161916
3,2,0,0,1,1,60.86361555704397
3,2,0,0,0,0,54.08762226955702
7,2,0,0,1,1,58.669009510836695
1,2,0,0,0,0,51.66436499521774
3,3,0,0,1,0,52.63805015960431
4,2,0,1,0,0,51.84295717819643
