age,household_income,gender,urban_residence,participation_in_social_program,social_network_size,life_satisfaction_score
24,9,0,0,1,28.15931597318209,141.06915415483553
19,17,0,0,1,29.372001148736224,148.44908837236082
41,18,1,1,1,49.36042739868124,213.83730362504784
26,25,0,0,1,40.60657267654775,185.99851325336925
36,20,1,0,1,45.31431658446287,201.4840701905671
35,26,0,1,1,51.31445071985633,219.0850877652097
24,37,1,1,1,48.42497781708927,217.87156414946676
45,20,0,0,1,51.62167424186077,224.49380938885872
31,21,0,1,1,41.887277480884464,191.0257452256741
27,17,1,1,1,38.016504240371255,174.2959784602162
28,17,0,0,1,36.63785554331226,170.55679002758416
21,24,1,1,1,39.0985567678245,180.8119820091704
16,22,0,0,1,29.743795338024952,152.20193549225934
27,7,1,1,1,29.220986978362447,145.18859722528185
27,22,1,1,1,43.346921869283214,191.9969580535918
42,22,0,1,1,51.85035413067212,225.01185790208208
24,27,0,0,1,41.72909897704878,187.87030980747605
36,26,1,1,1,51.75545455628474,220.8617063450363
44,19,0,1,1,53.675211589320725,226.69755399514085
21,17,0,0,1,32.739935446171295,157.09041743303612
28,17,1,0,1,35.760587201635744,170.1021382347356
30,21,0,1,1,43.8361831006284,193.641340627516
24,15,1,0,1,30.86263959538584,155.92174121340614
33,29,1,0,1,47.76450050999315,214.3572913797329
30,10,1,1,1,33.803694541177215,163.1993568055613
21,31,0,0,1,42.02830691591908,191.36493994189092
36,16,1,0,1,42.70042285775082,188.7044800823045
28,14,0,0,1,34.30352774867372,162.7841338663874
27,12,0,0,1,32.71224270923656,156.6648006900489
19,19,0,0,1,28.99374402603139,151.6255482852592
20,16,1,1,1,31.90157597127836,154.21546181133272
23,21,0,0,1,34.955600494216725,167.93291702565682
23,16,1,0,1,31.658505050238517,156.8969474209179
32,15,1,0,1,38.77085361975582,178.52329005468906
32,25,0,0,1,45.72861745453194,201.256551287152
18,18,0,0,1,27.50026645343616,145.01399849018773
23,18,0,0,1,33.36321145658907,161.63701044600256
29,20,0,0,1,39.7373652380453,182.12151727077807
23,30,0,1,1,43.33423346241799,198.92099685448343
25,16,1,1,1,35.19866393841205,166.9224487630797
26,15,0,1,1,35.03488535167357,164.92361775659091
35,13,0,0,1,38.746268210469296,178.49077716807528
21,31,1,1,1,42.44455591202109,193.5359225191208
28,12,0,0,1,30.73517620428664,153.33576150374145
42,11,1,1,1,47.22836466070091,202.34275542543872
37,18,0,1,1,44.68011291777027,199.9671244437493
35,22,0,1,1,47.19725345324561,205.87098376531992
30,17,1,1,1,40.86336275289138,182.25417849107865
22,21,0,1,1,34.52685664796124,164.87930222193808
32,18,0,1,1,41.878908802364734,189.84146793171564
28,23,0,1,1,41.39693528182146,187.7689390477404
30,26,1,0,1,45.01162957419032,200.0070524217617
46,26,0,0,1,57.7324807051953,243.8898389718208
39,21,0,0,1,49.58530880960078,214.16403407281388
30,21,1,0,1,41.52137094296447,189.1296670522772
28,1,0,0,1,25.34239039051715,129.87327965182925
22,25,0,0,1,38.84286190048663,179.60915107844835
19,18,1,0,1,29.816937306157577,148.48577376507723
28,8,0,1,1,32.85920427110604,155.47761983531296
20,17,0,0,1,29.39337564565078,149.89930257497454
31,14,1,0,1,37.529248022349606,173.1742269770218
39,11,1,1,1,44.34910703139962,191.8126994620669
32,14,1,0,1,38.87572572418892,179.35606365275095
41,18,1,0,1,48.25331702965916,208.70102212056244
36,11,0,0,1,37.54154669240511,173.72340463743777
18,11,0,0,1,23.392999969224167,127.64784888585058
33,18,1,1,1,43.45476977466915,192.3126141252586
33,31,0,0,1,50.28956769537013,222.38935061162604
22,26,0,0,1,39.31322897010817,183.29541014015567
20,22,0,0,1,31.815644488318885,158.89785573590095
14,26,0,0,1,30.10901646809913,157.21313095383445
13,18,0,1,1,26.763356623869623,138.4227416770751
29,20,0,0,1,39.651129434973406,183.25828982592563
23,26,0,1,1,41.40153350766527,188.24274848100103
31,10,0,1,1,34.237751104094706,162.9269160446685
58,21,0,1,1,65.60581400885474,264.7139889339313
12,14,0,0,1,20.40916960952565,121.56487071458676
13,18,0,0,1,24.30382941975169,134.14722066527392
26,26,1,0,1,41.08676896712379,188.1595778855461
30,17,1,0,1,38.656718486983344,177.95981236700638
25,10,1,0,1,31.126678294714868,147.31064335219574
36,27,1,1,1,51.75765219769061,224.6386105120644
29,25,0,1,1,45.05450802787562,200.21329883608848
40,18,0,0,1,48.25477153249643,209.33994760124912
37,24,1,0,1,47.8876832199966,213.67189206704725
39,22,0,0,1,48.56522199710226,210.50788900655985
33,22,0,1,1,47.98178076168413,205.50110367330035
19,21,1,1,1,33.108347125807335,163.94783851464908
36,20,1,0,1,45.79888316536648,201.4963983477344
30,32,0,0,1,49.669343782780544,218.5709373687966
15,18,1,0,1,26.998883466579752,142.24257482058172
31,11,0,1,1,36.17300240048981,164.66393936166773
36,31,0,0,1,52.06250491752963,228.29961689871703
35,21,0,1,1,45.72369787365718,201.806111060378
30,22,1,0,1,42.483800523004255,189.84119203587048
35,17,0,1,1,42.92608856852765,191.7927170705201
33,10,1,0,1,37.25293416574205,168.38254081474042
31,25,1,0,1,44.73538282827927,201.6790860349836
24,8,1,0,1,27.708826932341296,138.46414483310107
55,11,1,1,1,55.639502977204174,231.6871760719053
27,24,1,0,1,41.176487150847805,188.39290021056
29,26,0,1,1,44.58905964266064,201.89343685101449
23,17,0,0,1,30.30951962483817,153.44896374165836
18,12,1,0,1,25.382322377437752,134.22025489246244
31,19,0,0,1,41.882598046504434,187.79236512606872
31,16,1,0,1,37.89048696738531,176.24239391208118
40,23,1,1,1,52.09459071107757,224.53666913311625
43,25,0,1,1,55.68598650679555,233.96102083437464
26,18,0,1,1,37.330043713206855,172.4117207710729
22,22,1,0,1,36.21417480404736,169.75345435784777
34,13,1,1,1,41.83061071195856,184.9681283557059
9,9,0,0,1,14.055674167086494,98.51478521479429
27,22,1,1,1,40.82703352265772,188.00337758971287
37,9,0,1,1,40.88320677437231,178.97011562210972
29,15,0,0,1,36.01671512492028,170.132124956363
41,24,0,1,1,53.84800163250464,228.91972535212133
30,27,0,0,1,46.50716525939798,206.30020042288615
45,31,0,0,1,59.58912426542037,253.4116015267509
39,9,0,0,1,41.43461453761945,181.4713492778852
35,10,0,1,1,38.56361691536295,174.98112607773416
31,15,1,0,1,38.21046483108611,176.934065247276
29,12,1,0,1,34.57003737840563,163.5378856261978
36,20,0,1,1,47.58174066502212,207.1213824465576
32,25,1,0,1,48.30714843721925,212.0441811413538
21,23,0,1,1,36.35622999441231,173.67939531349768
28,18,1,0,1,38.73130863607562,179.18703600213698
30,21,1,0,1,41.30981435460467,188.7740992687289
23,22,1,1,1,37.37447717743092,176.76482664982336
32,10,1,1,1,36.6265262966182,170.3128943577445
16,26,0,0,1,32.67484486892532,162.29565199199183
35,18,0,0,1,42.5804985841267,193.83978362744327
20,25,0,1,1,37.67272571981622,174.98857217828328
31,23,1,1,1,45.58921468853292,202.0910070880288
18,26,1,0,1,35.027253724257974,169.40822315735326
28,20,1,1,1,39.33863798251483,180.4052720126814
43,13,0,1,1,47.682951483527006,204.25681349928848
37,11,0,1,1,39.96632772444304,182.37896099488404
25,19,1,1,1,38.1389722970952,176.53830014560845
27,29,0,1,1,44.86793086239544,202.25618172387303
33,21,1,0,1,44.10547467196733,198.31680650189944
44,33,0,0,1,61.5041458681132,257.1825625065365
27,21,0,0,1,39.4902808573892,184.57474247978976
27,20,0,0,1,37.23426274751864,177.4593676390192
29,19,1,0,1,39.78735293122074,183.31046741268955
33,20,1,1,1,44.93384808057907,199.9094408831193
24,21,1,1,1,37.45456293229204,176.0779048804103
37,21,0,0,1,47.081066870063374,205.54031909531537
26,12,1,1,1,33.7215515521696,160.1652220442579
33,27,1,0,1,47.16151394310171,211.01190038467175
32,19,1,1,1,43.735549810948754,191.72281688342957
36,14,1,0,1,41.64457023229612,190.1255300989751
44,22,0,1,1,55.53369923698659,232.7031579030253
21,17,0,0,1,30.27222835135873,151.30314876693188
28,28,0,1,1,46.75132448544774,204.82747999687572
29,15,0,1,1,37.318651031333935,172.5868554499081
28,15,0,0,1,34.00442411194814,163.9278240154143
41,11,0,1,1,44.36243209039197,191.59060165485877
30,20,0,1,1,41.51061557131979,186.9028542417574
34,21,0,1,1,46.71866561614426,203.57341551710456
36,23,0,1,1,48.02522037464262,211.1699008756366
29,2,0,1,1,27.547577531421755,139.07698047200333
38,20,1,0,1,47.50806131582219,207.77672811492047
22,18,0,1,1,33.729415848943304,163.5263787624037
33,21,1,0,1,44.61572159449504,198.34368568683715
30,20,1,0,1,39.20429556086775,181.62048458752776
30,21,0,1,1,42.89169091309508,192.48341998658248
27,26,1,1,1,44.47091455698831,198.72014029454903
36,20,0,0,1,45.019565408681245,200.16131287658683
30,23,1,0,1,42.887638291070445,192.44104679281327
22,23,1,0,1,34.786038115697224,167.89097805499472
28,8,0,0,1,30.676547516432827,149.33676905358914
34,13,1,1,1,40.37523362172019,180.6894525065977
36,32,1,0,1,55.00176272908123,234.59533110945412
27,24,0,1,1,41.3546131214552,188.18675640447336
36,15,0,0,1,41.813197219578896,187.63041734549432
16,14,1,0,1,24.80567183905477,132.08868571681742
17,17,0,0,1,26.571645134873755,140.1385131307725
25,26,1,0,1,41.655095129088494,188.6708097228456
33,22,1,1,1,44.488306168132524,201.21119086677805
49,22,0,1,1,59.28014116110925,245.80010012573152
23,19,0,0,1,35.395635364321706,166.48463148191342
24,19,0,1,1,38.21183936365568,170.703645109929
28,24,1,1,1,42.54950233033236,191.50829299989283
34,13,1,0,1,38.08409188197571,176.28557732513235
29,22,0,1,1,43.45328670795111,195.51406834268445
38,25,0,0,1,50.9232029172585,218.5805276242309
39,24,1,1,1,53.372767464709696,227.04290453746069
45,19,0,1,1,55.77930536224583,229.47355200209623
29,16,0,0,1,37.46989516504937,175.02764984467993
27,15,1,1,1,36.17131501603774,167.3060517910431
28,35,1,0,1,51.266906457622085,224.08972407335023
33,25,0,1,1,46.14877954518862,204.1949217791108
32,24,0,0,1,44.03180008294492,202.06370789787468
33,6,0,1,1,33.24811447822118,157.85145782372436
24,11,1,1,1,32.85906333720645,157.96616969161312
21,12,0,0,1,28.186462018560405,142.28768934320826
15,17,0,0,1,26.56338407676893,138.0414893663291
31,26,1,0,1,45.91263168829963,205.04049208991603
20,19,1,0,1,32.04573342434755,157.28793419024524
22,21,0,0,1,34.61990421994335,167.28696450521716
23,31,1,1,1,45.10327836215419,202.94661780838624
14,16,0,0,1,24.790457563578663,132.00702441291523
37,13,0,0,1,41.97206870188488,184.9833032791161
27,21,0,0,1,38.95477295541825,180.22874311950503
39,20,1,0,1,48.76788960142007,209.92995192170736
32,19,1,1,1,43.13091001036893,192.87139185415185
26,7,1,1,1,29.63266712801285,146.6208998133861
38,21,1,1,1,49.02355279845232,213.8140146895016
40,14,0,0,1,43.28080864809624,192.6994377777188
20,21,1,0,1,33.856609380088095,161.23185643627372
34,11,0,0,1,36.15489144934621,168.46787913463183
46,9,1,1,1,46.43435007493952,203.45163386190484
21,19,0,1,1,34.29266327876751,162.58363292441018
25,21,1,0,1,35.82183053382455,174.31215966947363
27,23,0,0,1,38.172070400961054,184.24285078882272
25,24,0,0,1,38.86474281219069,181.944597348574
25,26,0,0,1,41.02441131244859,189.365484034198
34,10,0,1,1,38.57076153912962,172.93096879206806
31,19,1,0,1,41.702040318884094,189.15611282562185
31,15,0,0,1,39.93187095573218,176.84799827957136
21,15,0,0,1,28.7647795568034,144.6810937373358
28,21,0,1,1,40.00507770389496,183.9182170322821
46,19,0,0,1,52.70967976848842,222.2520384075573
36,10,0,0,1,36.25514108750673,171.55930719659648
33,18,1,0,1,44.073187543563385,193.88608797306856
29,24,0,0,1,40.12480668675867,189.2370608611607
22,9,1,0,1,25.93155017457275,136.67905185085783
36,11,0,1,1,38.95567952234863,178.88793710553583
27,18,0,0,1,37.45021223543284,174.8892430328671
26,29,1,1,1,44.43051454392157,199.61898045363404
43,24,1,0,1,56.25977412332668,237.7513566539641
30,23,0,0,1,42.7713626434143,194.7000476725059
44,18,0,1,1,53.19527898528812,222.71537492786064
28,18,0,0,1,37.817010089844544,172.76394817326465
33,9,1,0,1,35.66739160917546,164.90056401834806
35,14,0,0,1,37.5396772712202,178.399647653407
32,24,1,0,1,44.80431097162774,200.7738586415664
24,24,0,0,1,38.66149017091038,181.39789437216223
40,11,0,1,1,42.32539773988113,188.47418855036688
26,22,0,0,1,40.41222680194348,182.83288996902172
16,21,0,0,1,29.269671280096027,148.5414269204574
35,22,0,1,1,45.761318273477855,203.1849800175399
41,23,1,1,1,54.83755310214789,229.6103904242044
27,19,0,1,1,37.998840380222056,175.34793990173267
29,24,0,0,1,42.03297862479796,189.2749731762846
35,9,1,0,1,38.72990557027232,174.8455161105292
43,28,0,1,1,60.49562831722025,250.9570049057408
29,11,0,1,1,33.89554278985374,160.6503701157679
32,25,0,0,1,45.15203092794295,203.34180877629328
30,28,1,1,1,47.64842752045269,209.7083735443449
33,15,1,1,1,41.67599898704324,185.90778399626225
16,13,0,1,1,25.69708956536583,133.2483474043487
28,19,1,0,1,40.30952600716774,182.6894903963706
31,16,0,0,1,38.3607110170714,178.54349150158515
28,23,1,1,1,42.72612730494741,193.33124591102867
28,31,1,1,1,48.68033104104537,212.59356697743647
31,25,1,0,1,44.58974559635914,200.70724424849448
26,18,1,0,1,35.71922506013204,169.42346104221826
40,2,1,0,1,37.30860888238361,165.5633734190072
33,35,0,1,1,55.2603553426433,237.55832047217064
30,9,0,1,1,35.52806902892588,165.20973051444545
39,33,0,0,1,58.377062894523256,244.79552053219584
22,18,0,0,1,31.39594891945614,158.02426028757745
40,18,1,1,1,49.66896664198694,211.13273022873489
26,10,0,1,1,30.65723721524536,148.84636798329504
19,16,0,1,1,28.33550789275045,143.5057384490578
37,23,1,0,1,48.145531680583176,211.5489122230235
30,17,0,0,1,39.03955855848329,176.15602165927345
48,26,0,0,1,59.27975223167401,246.65202267609797
22,28,0,1,1,40.37679074272354,187.4572215002817
36,26,1,0,1,51.91039295131256,221.6527637154155
23,19,0,1,1,35.900429543455,169.71417797184293
30,19,0,0,1,39.34620311656788,181.7303071289851
26,14,1,0,1,32.722876999337835,157.16854397223835
23,20,0,1,1,36.84591596399527,172.77312798924874
20,20,0,0,1,32.6044868011741,159.89665075127334
36,13,0,0,1,39.17127745408391,180.3073160977706
38,14,0,0,1,42.96804218544058,189.3115098399693
28,23,0,1,1,41.81188136778998,190.90894238180107
33,19,1,1,1,44.73188657968044,198.01893176729936
29,24,1,0,1,41.82250301885408,193.9126670384355
16,20,1,0,1,29.136653834482107,146.48966374734957
36,18,1,1,1,45.71876209707647,201.02485025237027
20,20,0,1,1,31.830801960847776,160.89325298737603
29,19,0,1,1,40.66228169183164,185.42523785644528
32,29,1,0,1,49.03535553122204,215.80919999185863
35,9,1,1,1,39.12743757225409,175.2704021890703
15,23,0,0,1,31.36783924230943,155.66508653257694
33,24,0,0,1,43.5980603184571,195.5051004314972
14,9,0,1,1,18.77857440192816,112.28556081619638
32,21,1,1,1,42.60937792478262,195.38734234389443
27,20,0,1,1,40.66573117942544,181.54384741483184
29,23,1,1,1,42.19238173568932,191.78996879856024
23,16,0,0,1,32.77348830386287,157.80565998047243
29,9,0,0,1,31.329077875814043,152.8459094494216
22,10,0,0,1,27.8801021702182,140.42419831270624
19,32,1,0,1,40.05513295815067,187.08469715487783
28,19,1,1,1,40.05696647087994,179.8254195274218
45,14,0,1,1,48.87263226704175,211.6824177524556
27,30,0,0,1,44.97793108158788,202.52974116393216
29,24,0,1,1,43.633992530082566,197.4902586850166
51,22,1,0,1,60.65018105436831,246.93420095354287
30,21,0,0,1,41.32904159101203,189.5972402051956
24,9,0,1,1,27.842422862948265,141.01684699358253
22,13,1,1,1,30.8030049959983,153.6540149309367
14,22,1,0,1,30.460317292062133,153.90110567944117
21,21,1,0,1,34.96178148080797,167.31078241942936
43,17,1,0,1,49.74530922982725,212.66521425800937
29,29,0,1,1,45.43231517842912,206.57993047384036
21,27,1,0,1,39.44151359077424,182.83008204592127
12,17,1,1,1,23.894500634444352,132.8036327205649
26,16,0,1,1,34.92772125156285,166.67066881332536
13,26,1,0,1,30.20283322808927,155.92757883236754
41,20,0,1,1,49.36743903890176,214.71912486451131
24,19,1,1,1,35.5726583109421,169.9146932612093
19,30,1,0,1,39.33360131697132,182.50737685339067
42,36,1,0,1,62.387825440173614,259.7283941898335
53,17,1,0,1,58.01645299506594,239.52215762554695
38,24,1,0,1,49.05490071937047,212.1881117928433
31,19,0,0,1,40.11891502035181,185.188558629443
28,20,0,0,1,38.25750711074629,176.42934346530504
36,13,1,0,1,40.16522126378238,182.72937128395023
55,10,0,1,1,54.58214722175921,227.2305213953196
40,15,1,1,1,47.18375448502017,203.6254784944107
29,28,0,0,1,43.44163189521892,202.22553862125432
51,17,0,0,1,55.34380087918162,233.33200699057977
23,22,0,0,1,36.42174832379435,173.49973794115897
32,20,1,0,1,44.01860359929963,193.1372794332539
36,24,1,1,1,49.44744902094935,214.84837674924864
47,21,0,1,1,58.03727688360405,238.3231279217888
35,17,1,1,1,45.12692483508948,199.50302165409215
31,18,1,1,1,42.91632459257739,190.2598311464436
33,14,0,1,1,41.27435878854676,182.38365938249177
41,15,0,1,1,45.88256955397826,202.5703881885821
43,16,0,1,1,48.69623166326126,208.54401554813907
31,22,0,0,1,42.72274443741805,194.78608311873927
43,17,1,0,1,49.2920356560619,212.5792092017702
23,25,0,1,1,38.31026381544054,178.126387397215
21,12,1,0,1,28.49461033185968,141.71161629941457
39,9,0,0,1,38.059742763126096,174.3130785359131
31,23,1,0,1,44.08300034617642,197.2736438692972
41,2,1,0,1,37.80812376736991,169.02940521365022
27,16,0,0,1,34.71292728147348,163.00332850714523
28,22,1,0,1,40.29225615452648,187.86295608877896
25,27,1,0,1,42.92807760437546,193.05276172790576
23,23,0,0,1,37.56349145030532,176.5171123339211
43,18,0,1,1,50.79074523942054,217.45265883344044
24,23,0,0,1,37.9898202537187,179.3680615178857
21,26,0,1,1,38.43048141071228,180.52242222844103
43,23,0,1,1,54.3207870737703,228.76766548849767
39,16,1,0,1,44.91415354899482,198.0509887073438
18,34,1,1,1,41.71130449261408,193.64816002327868
36,16,1,0,1,45.222713799905954,196.25353918389143
44,15,1,1,1,49.28788328680152,210.80718407443783
40,6,0,1,1,41.56112661048006,180.6863383841186
16,20,1,1,1,30.87301452974581,155.04522320254543
36,13,0,0,1,41.984911668740864,186.27479967804425
48,13,1,1,1,54.31101818891101,222.30010384898216
29,26,0,0,1,42.93754733066715,195.96162317915943
46,21,0,1,1,55.56583670649511,232.5741798782588
27,10,1,1,1,32.17208822833044,154.39269344482938
39,23,0,0,1,50.42037198314768,216.30458377323708
38,19,1,1,1,50.21542715499199,211.4276746023201
31,27,1,0,1,46.13828446286394,205.2162768534534
16,14,0,1,1,26.425604810563524,135.374990044596
12,17,1,1,1,25.388193183195444,132.83515449230134
37,16,0,1,1,44.41870750656992,197.2788996361064
19,23,0,1,1,34.21166521976893,166.27138943490834
20,19,0,1,1,32.04330726383508,156.27588165656653
47,21,0,0,1,57.13255934153798,237.3561859447528
18,24,0,0,1,33.97988461581449,166.13625026419126
31,14,1,1,1,38.77233806737267,177.4276514499459
27,23,1,0,1,41.17446875475174,187.19037789071848
21,19,0,1,1,34.653117404834624,166.44113925996444
43,18,1,1,1,51.315062503328456,219.77157157725944
27,10,1,1,1,31.13655966851483,152.9669701341643
40,11,0,0,1,41.99964522652269,188.3955302066661
37,16,0,0,1,44.17175471605188,193.73274970185287
23,2,0,1,1,24.258028916372915,123.60395746822286
33,19,1,0,1,44.08936975310138,195.40471017736093
50,25,1,0,1,59.918602012248606,249.73935181379957
29,15,0,1,1,38.02678809813133,174.62181341351626
27,29,1,1,1,45.88572242911629,203.73417487772437
42,16,0,1,1,49.636551813958185,212.0268641611861
33,21,1,0,1,45.11224442124052,197.77836321686723
16,8,0,1,1,21.37379456575617,118.39962288174996
23,20,1,0,1,34.82050795017448,166.56068970505845
29,22,1,1,1,45.16358850564974,198.30677088536336
33,19,1,0,1,42.769405476550105,191.34527188557055
42,10,0,0,1,43.03612115649295,193.05577726970412
21,13,0,1,1,28.15539263409754,143.70227475255572
37,20,0,1,1,47.31946918797553,207.96867357908928
18,21,1,0,1,34.153043934480905,161.1060522958941
20,21,0,1,1,35.01747724426059,166.14186315180078
24,15,0,1,1,31.98223870833624,156.30035242598146
20,29,0,1,1,40.507141930119246,185.48144571674467
45,14,1,1,1,50.76089058708173,216.27577656748207
6,25,0,1,1,24.716413012703352,135.21846017842827
28,12,1,1,1,33.8887304048742,160.77353768344258
14,22,0,0,1,29.20491877912094,148.1882691122035
29,14,1,1,1,38.16471092919174,173.05813633569147
28,21,0,0,1,38.824962429751984,183.5503375344105
34,23,1,1,1,47.15236059917607,209.2067795757316
28,22,0,1,1,40.43771462355386,185.07285740677807
13,28,0,1,1,33.72335534690898,164.32228733363212
35,19,1,0,1,45.46626720397478,196.72776283034088
26,14,1,1,1,33.99834689358567,164.6387471157294
21,29,0,1,1,40.64834492516479,186.80831240692976
22,21,0,1,1,35.727071298890664,169.07135452271805
27,15,1,0,1,33.79801020059851,164.40352347083774
42,25,0,1,1,54.58061166208238,233.54322898954712
39,28,0,0,1,54.01508766308844,230.43257809290247
25,21,0,1,1,38.308796621918965,178.3737080568867
27,25,0,0,1,40.022279407957896,190.12991671797693
28,34,1,0,1,49.68858804022922,219.34860324953135
40,14,1,1,1,45.78885278318938,199.02780867552
21,11,0,0,1,27.152365133895813,139.44350836754964
14,21,0,1,1,28.635848851021933,148.41483579341855
37,14,0,1,1,45.42389183900776,195.23463668788312
26,21,1,1,1,40.114033223723766,184.2939971823185
34,24,0,0,1,48.62717743325756,211.9308835281548
26,24,0,1,1,41.40534823917853,190.05337953736395
24,19,1,0,1,37.013811821293935,170.60511548834646
27,11,1,0,1,32.73890456953215,157.73780972358475
33,16,0,1,1,42.48141773824916,190.09048770240224
29,23,0,0,1,40.63181763842282,188.4757954733966
33,10,0,0,1,34.8910927080849,164.14512478848582
26,23,1,0,1,39.24987798969409,182.79724229251224
28,15,0,1,1,35.433210634987375,168.9766885057929
21,20,1,0,1,34.018774418742815,164.4756152149178
27,19,1,0,1,36.71995867214856,173.40224670709082
24,20,0,1,1,36.45234075733849,173.55936883504242
20,21,0,0,1,31.867001464937605,160.09134200868496
31,19,0,1,1,41.45500471702386,188.0704300022807
48,20,0,1,1,56.53515123833634,236.0223454842917
29,17,0,1,1,36.755747767272126,173.67213428373557
32,20,1,1,1,44.12347437502705,197.79111118191145
27,24,1,0,1,41.94237756840507,189.03154158099076
19,18,0,0,1,30.147979999327585,151.43536146726296
36,11,0,1,1,39.43491257911898,179.66895114293922
30,16,1,0,1,37.65100296889697,174.43801184427633
21,35,0,1,1,44.67701434756503,203.1813088511379
16,14,0,1,1,26.220168765023605,137.76279537040168
28,23,0,1,1,41.93820796571177,190.58801021741917
31,15,0,1,1,37.444015780710295,173.66207429377937
22,24,0,0,1,36.23973951685652,174.5215591767649
19,18,1,0,1,31.81174477012774,154.30379369476475
29,14,0,0,1,35.71330651096538,167.8729955191111
26,35,1,0,1,47.32574681486621,214.04481351543927
33,5,1,1,1,34.16478322063714,158.04463729748784
43,23,1,0,1,53.00351525471634,227.68383490596565
20,13,1,0,1,25.81386030476068,136.42513545901144
14,19,1,0,1,28.61016615774257,145.72291201779942
25,19,1,1,1,35.893073905806254,170.31553839822823
33,17,0,0,1,39.88960813644828,181.01261150108948
31,21,0,1,1,42.91740720650179,192.67545765933232
35,14,0,1,1,40.38530448902452,181.05566781541117
30,16,1,0,1,38.467395604095486,177.51859015732725
35,25,1,0,1,47.82125370054688,210.37628167386552
12,22,1,0,1,28.608942138546418,144.34446750660817
32,7,0,0,1,32.029637632360135,152.22225545375264
23,27,1,0,1,39.44038150268,184.99801848945475
40,21,0,1,1,49.072436231457786,214.2891474917161
21,10,1,0,1,27.249466949998325,137.07462328483166
41,6,1,0,1,41.09442834388445,182.75661378698965
28,18,0,1,1,38.52932403528081,176.21081525214237
23,20,0,1,1,35.73284574316908,168.04579537071018
29,21,0,0,1,40.357253857876216,184.35124397910477
13,25,1,0,1,29.90491856429454,153.95035980665406
50,21,1,1,1,60.730173026090384,246.8208933270161
25,17,1,1,1,35.1160442937736,169.16910490912838
27,28,0,0,1,41.346545598167374,190.7966536320569
12,17,0,0,1,23.238132092990305,128.57020508932527
41,23,0,0,1,52.79738814399699,225.4730626439694
14,22,0,0,1,27.37484523424288,148.44143845262226
29,13,0,0,1,35.00979251302361,164.0039314761954
18,22,1,0,1,35.56665872208802,166.41396685035508
19,11,0,1,1,26.674393522920035,137.2083453603818
22,32,0,1,1,43.833792969178624,200.83245216238163
27,16,1,1,1,36.75076904566919,171.42595168041072
34,17,1,0,1,42.42531356450624,190.34934116805647
22,24,1,0,1,36.812036337775645,174.68541717611154
29,19,1,0,1,39.89533890928661,179.67888424244993
25,26,0,1,1,42.422063050610674,190.80369608821744
45,18,0,1,1,53.32111989479867,222.27907609367784
27,20,0,0,1,38.2721085381142,176.383340407809
29,15,1,0,1,37.7581108088469,173.83535762730924
35,19,1,0,1,43.37997941331814,196.4707555469365
27,14,1,1,1,37.155442534225706,170.6708692120403
