worker_age,years_of_experience,hours_worked_per_week,income,union_membership,completed_job_training,has_benefits,received_minimum_wage_increase,job_satisfaction
22,29,1,8,1,1,1,1,103.98295499438728
20,21,7,20,0,0,1,0,105.70842409415496
39,29,9,17,0,1,0,1,135.84554493362168
0,19,7,17,1,1,0,0,81.82211056578409
38,23,6,19,0,0,1,0,121.52541580285148
21,23,9,15,0,1,1,0,102.247724276778
41,24,8,18,1,1,1,1,136.21780586863864
7,19,3,17,0,1,1,0,84.99675829810718
19,20,5,9,0,1,1,1,100.4168177325742
16,20,4,14,1,1,1,0,92.3589279974192
28,25,5,8,1,0,1,0,102.25386632017492
30,28,0,17,0,1,1,1,118.76611099485038
29,29,5,17,1,1,1,0,114.55773929686822
30,25,5,14,1,1,1,0,110.6361218795816
41,20,7,15,0,1,1,0,119.46190411512497
25,20,8,12,1,1,0,1,111.73971180929291
11,29,8,26,0,1,1,1,116.67262131704452
18,19,1,14,1,0,1,0,89.3921049066397
21,30,7,15,1,1,0,0,107.16900352554524
24,25,5,8,0,0,0,1,107.06064430160691
35,26,8,18,1,1,1,0,120.9234998516104
38,24,7,20,1,0,0,0,122.70289095750296
23,22,10,19,1,1,0,0,110.11762804402376
45,21,3,11,1,1,1,1,125.53736281886064
25,25,7,19,0,0,1,1,118.27148899141264
14,14,3,10,1,0,1,1,91.3608873642728
27,18,5,19,0,1,1,0,106.99467306325644
18,25,7,8,0,1,1,1,102.05062600774004
17,21,3,12,1,1,0,0,91.50376595552936
27,24,5,24,1,1,1,0,116.44288242852956
35,20,6,18,1,1,1,1,124.548212600905
22,22,7,20,1,1,1,0,107.3727471802531
37,27,3,21,1,1,1,0,124.47352000582468
8,19,0,17,0,0,1,1,89.86262586849335
33,25,9,11,1,1,1,0,113.2725385791432
41,23,1,18,0,1,1,1,129.07572473136912
25,20,3,16,0,0,1,1,110.67918536894956
26,23,6,14,0,0,1,1,112.53978758505278
20,17,6,13,0,1,1,1,103.65847730052444
38,28,9,22,1,0,0,0,129.11551070558517
23,19,6,20,0,1,0,0,105.11246728683652
33,24,5,13,1,1,1,0,110.2775490635782
16,27,5,16,1,0,0,0,99.0630424264657
35,28,8,16,0,1,1,1,129.39624605216568
28,25,7,15,1,1,1,1,120.08394901208273
31,22,5,18,1,0,1,1,123.46759981376924
29,22,6,22,1,1,0,0,117.6701355461528
8,16,9,24,1,1,1,1,105.83347067647792
26,27,2,13,1,0,1,1,114.1391953336468
10,17,7,15,0,0,0,1,94.7749544654976
41,18,8,23,1,0,0,0,127.73943376514966
29,26,4,14,0,0,0,0,107.61746846020527
17,30,2,6,1,0,1,1,98.45415831284564
26,25,5,10,1,1,1,0,103.4801212816696
14,22,9,11,0,0,1,1,100.53275510107142
33,23,4,20,1,1,1,1,126.56179702397183
18,25,5,17,1,0,0,0,99.87111364592022
30,17,7,18,1,1,1,0,110.280040137518
16,29,6,23,0,1,1,1,118.96306272980996
27,26,7,18,1,1,0,0,112.68355268417534
24,14,5,17,1,0,0,0,98.41134422828188
33,29,8,9,0,1,1,0,113.85976791415456
30,27,6,10,0,1,1,1,118.0145883781437
31,20,7,14,0,1,1,1,119.27380087711448
7,25,4,10,1,0,0,1,91.29823397393491
13,25,4,15,1,1,1,1,102.47075148465558
33,23,11,20,0,1,1,1,132.75608824412677
19,28,7,15,0,0,1,0,103.22832766732208
43,25,6,13,0,0,1,0,123.45504878255996
27,29,9,17,1,1,0,1,122.36194690770556
16,26,2,15,0,1,1,0,95.42163704414192
31,23,6,16,0,1,1,1,120.11221361698132
35,24,4,12,1,1,1,0,111.77823432595932
26,17,5,13,0,0,0,0,99.6608812742216
11,31,4,15,0,1,0,1,102.00455090098912
24,15,7,19,1,1,0,1,112.95878128375956
19,21,5,9,1,0,1,1,100.23556261257532
17,23,6,21,1,0,0,1,110.55811992770268
24,30,5,21,1,1,0,0,113.0943148334562
24,25,5,16,1,1,1,1,116.64341880447772
28,20,4,16,1,0,0,1,115.08520437806496
11,20,2,15,1,1,0,1,94.02780611799618
33,26,5,16,1,1,0,0,114.9947914479964
24,16,7,13,1,1,1,0,101.21254460998838
19,26,5,11,1,1,1,0,97.31952098259436
20,27,1,17,1,0,1,1,111.10441212472894
3,26,8,14,1,1,0,0,87.21556176052336
30,22,7,15,0,1,1,0,111.1509493890334
28,8,4,21,1,1,1,0,104.5596027884479
27,27,8,18,0,1,0,0,115.60981439152062
34,20,3,17,1,0,1,0,110.71272715076806
12,28,6,11,1,1,1,1,101.47576109800497
24,28,3,8,1,0,1,0,98.23990196701722
30,25,3,6,1,0,0,0,99.82046988771752
30,18,6,16,1,0,1,1,117.2000360931046
22,23,2,12,0,0,1,0,96.96976694503692
13,22,4,8,0,1,0,0,85.20249934589053
31,25,7,10,1,1,1,1,116.94989167687557
14,25,5,11,1,0,1,1,100.2296919950156
19,20,7,14,1,1,1,0,99.28957494699394
16,29,8,13,1,1,0,1,108.2278850619332
6,24,6,19,1,0,0,0,90.64317144065818
18,22,5,15,1,1,0,0,97.16353372867452
36,29,6,9,1,0,1,1,123.82166027455888
33,25,6,16,1,1,1,1,124.67071283450537
23,17,4,14,0,1,0,0,98.37497674826436
33,24,4,12,0,1,1,0,108.67183508740683
11,17,4,14,0,1,0,0,84.2648497828313
38,19,6,20,0,1,1,0,119.56472395558582
22,29,-1,20,1,0,1,0,105.67933036742272
23,18,7,15,0,0,1,1,109.4653006060419
32,20,5,14,0,1,0,1,116.1683100458732
29,29,8,19,1,1,1,0,119.10362674948097
27,30,4,4,0,1,1,0,99.81392234325617
22,22,3,10,1,0,0,0,93.93469884953406
13,24,6,16,0,1,1,1,103.51312022306088
18,32,9,13,0,1,1,1,112.98638112391284
26,19,5,15,0,0,0,1,110.7664267903134
11,24,5,15,1,1,1,0,93.90106948373952
18,18,4,19,1,1,1,0,100.8133208021122
36,23,8,14,0,1,1,1,125.92367319933076
24,27,6,22,0,1,0,1,121.9794168126026
33,14,4,19,0,1,0,0,107.86715633523907
23,30,3,12,0,1,1,1,109.71442535631924
27,23,6,16,0,1,1,1,116.8572472532579
21,14,2,12,1,1,0,1,97.028008817151
23,18,10,11,0,1,1,0,99.71214089370896
30,14,5,14,1,1,1,1,113.78081973375215
30,15,6,17,1,0,1,0,106.49963575513767
27,19,4,15,1,1,1,0,104.8118476213695
5,23,9,9,1,1,1,1,91.56151047070634
14,20,2,17,0,1,0,0,92.39087513233116
35,25,11,15,1,1,0,0,119.91785128247297
18,22,6,15,1,1,0,0,99.3537382395349
24,22,4,16,0,1,1,0,102.1289443719241
42,22,3,14,0,1,1,0,119.16466313698986
38,26,8,16,0,0,1,1,132.73608856980826
11,23,7,13,0,1,0,1,100.5741863465622
34,28,6,14,0,0,0,1,124.48435666701076
13,27,6,15,0,1,0,0,96.28310799243938
25,19,10,14,1,1,1,0,105.65627526933672
25,33,9,15,1,1,1,1,125.25464205970916
39,20,9,17,1,0,0,1,130.15229788354242
21,26,6,15,1,0,1,0,103.4141448728942
23,25,3,19,1,1,1,1,116.24709883708717
21,17,5,14,1,0,1,1,105.43111708762844
41,24,9,12,0,0,0,0,121.49263454089392
40,20,6,19,1,1,1,1,131.6239995317883
24,21,5,11,1,1,1,0,98.76282657721636
17,23,6,10,1,1,1,0,94.94382204660864
18,26,9,19,1,1,0,0,106.4370759895507
15,25,3,19,1,1,1,0,99.89376910210812
26,29,11,12,0,1,1,1,122.59085351851672
26,25,5,14,1,0,1,1,113.83397289642514
8,24,6,19,1,1,1,0,94.31959171134211
35,26,5,14,1,1,1,0,117.2530934992462
29,18,3,18,0,0,1,0,104.31125537762588
16,25,7,7,0,1,1,1,100.39838740707384
28,23,8,18,0,0,0,1,119.97324151613743
9,23,4,20,0,1,1,0,92.2607807036938
15,23,6,19,1,1,1,1,111.48036628197192
24,26,6,10,0,1,1,0,101.77952610620822
27,29,4,13,0,1,0,1,116.10507798928676
29,24,5,20,0,1,0,0,114.1674529802252
16,29,7,7,0,1,1,0,92.814048126348
14,25,5,13,1,1,1,1,102.826432978636
28,19,5,22,1,1,1,1,121.48877379182018
8,15,6,16,0,0,1,1,93.05653213628398
35,24,1,16,0,0,0,1,120.20990865744623
13,24,5,22,0,0,0,0,100.31028197582144
20,24,0,16,0,1,1,0,98.19964393666169
35,20,8,19,0,0,0,1,127.08689375179684
50,20,5,19,1,0,0,0,131.25604587075287
12,15,4,8,1,1,1,0,80.5824486275916
42,17,4,12,1,1,0,0,113.80246187750642
27,25,4,14,1,0,0,1,115.38727470867306
18,28,5,13,1,1,0,1,108.4036182474865
47,27,7,14,0,1,0,0,127.57677856871524
6,24,5,17,0,0,1,1,99.13047925309516
11,22,11,9,1,0,1,1,97.9919075761411
21,23,4,12,1,1,1,0,97.69575391644037
19,20,6,18,1,0,1,1,111.976628096393
9,23,10,11,1,0,0,0,88.03859173400247
21,18,4,15,0,0,1,1,105.21124690826429
24,26,7,13,1,1,0,0,104.89462303677094
37,19,5,21,1,0,0,1,126.93454974175955
25,20,7,14,0,0,0,0,102.86380201440912
31,12,6,5,1,0,1,1,103.09539540156224
10,26,3,17,1,0,1,1,101.46618851190657
23,29,4,20,1,1,0,0,110.90181353627844
14,23,2,25,1,0,1,0,101.7404581926854
5,12,2,21,0,1,1,0,81.35942903283055
14,18,6,22,0,1,1,1,107.72125326426792
26,20,6,13,1,1,1,0,103.6047163496584
23,25,2,10,0,1,0,0,96.0285130917726
27,20,7,9,0,1,1,0,100.41712758196064
18,26,5,8,1,0,0,0,92.65232256138806
49,28,7,15,1,1,1,0,134.73890501255974
20,23,9,10,1,1,0,0,99.40254360094322
31,26,5,20,1,1,1,0,119.4610090734685
20,24,3,19,0,1,1,1,113.64423218882231
33,27,2,16,0,1,0,1,123.93950217056522
11,19,6,24,1,1,0,0,98.31516085379882
37,19,4,16,1,1,0,0,111.78487982822814
34,24,7,21,1,0,1,1,129.17413209877094
8,25,4,17,1,0,0,1,98.67579984537566
29,26,12,16,0,1,1,1,124.08089019870091
28,29,8,20,0,0,1,0,118.49106578061009
22,23,6,19,1,1,0,0,106.76615097330765
26,26,2,12,1,0,1,0,101.16266999049044
25,25,4,12,0,0,1,0,101.86497473183977
30,18,6,12,1,1,0,1,113.98237531725307
30,21,4,13,1,1,0,1,113.7966602579168
30,23,6,17,1,0,1,1,119.7336744052618
24,22,8,16,1,0,1,0,106.37540120369808
29,23,6,16,1,1,1,1,121.26827688432924
30,27,8,18,1,1,1,1,126.7525979144949
26,24,4,8,1,0,1,0,99.29575345868244
33,18,10,18,0,1,0,1,124.23130426959445
17,22,7,18,1,0,0,1,108.41851434199066
13,20,7,13,1,1,1,0,91.97628425005304
31,24,8,17,0,1,0,1,123.45073190646244
27,24,5,13,1,0,0,0,105.95950215946468
13,25,7,19,1,1,0,0,100.06304181823836
22,24,5,16,0,1,0,1,111.5142300833554
34,27,7,16,1,0,1,0,116.94666177736914
24,25,6,13,1,0,0,0,102.03476690731844
12,24,7,11,1,1,1,1,99.7296841478894
31,28,4,17,1,1,1,0,114.12109657185788
18,26,6,10,1,1,1,1,105.72763747338792
16,17,4,18,1,1,0,1,102.11614010783138
18,20,8,18,1,1,0,0,101.4079297608591
35,23,4,17,1,1,1,1,124.71050563536905
20,22,7,14,0,0,1,0,98.68311083054876
23,25,4,31,0,0,1,0,119.06699354346458
13,26,8,13,0,1,1,0,97.87075828271308
26,23,4,17,0,1,0,0,105.5469528667999
13,24,6,19,0,1,1,0,100.24620537226248
29,19,3,21,1,1,1,0,110.29450955123032
25,25,3,19,0,1,0,0,109.24447076013014
26,26,6,11,1,0,1,0,104.78728572981196
26,28,9,10,1,0,1,1,115.8298760972394
31,28,7,22,0,1,1,1,132.29710094520158
26,23,11,20,1,1,1,1,124.29939110317092
32,25,4,18,1,1,1,1,125.26757969049494
21,27,4,4,0,1,1,1,98.54357526499416
17,27,5,15,0,1,1,1,107.83327065361496
40,14,7,22,1,0,1,1,131.03059894777317
32,31,2,17,1,0,0,0,114.04426098102036
40,20,7,20,1,1,0,1,134.77874870696044
18,24,6,24,0,1,1,0,108.20770158446794
24,23,5,17,1,0,1,0,104.77826765472535
35,19,6,11,0,1,1,1,116.9298782559933
22,22,6,17,0,1,1,0,104.1095349270498
25,21,4,18,1,1,1,0,105.750297405889
5,21,4,14,0,1,1,1,90.05259772680698
32,21,8,13,1,1,0,1,122.203597837568
19,27,7,21,0,0,0,1,118.8556263504666
25,32,7,20,1,1,1,1,126.16145201600946
14,28,3,16,0,0,1,0,96.52928155212254
16,23,3,8,1,1,1,1,95.5845597273526
31,20,11,20,1,1,1,1,127.42462674824796
42,16,7,16,1,1,0,1,129.62377353862394
7,25,0,7,1,0,1,0,75.52993080379608
23,30,4,15,1,0,1,1,114.75150295524811
17,19,7,16,1,0,0,1,105.76042431530956
4,26,6,11,1,1,1,0,81.08446339687077
17,14,3,15,1,1,0,0,88.5833517596107
35,23,6,17,1,1,1,0,120.07800914609696
41,25,5,19,1,1,1,1,135.39342326221217
33,24,5,13,1,1,1,1,119.13358851642036
33,23,5,16,1,1,1,1,123.15131802961696
26,24,3,18,0,0,0,0,106.2256181548032
25,28,6,7,1,0,0,0,98.94732148119432
15,22,4,12,1,1,1,1,99.93283511420624
5,24,4,7,0,0,1,1,86.52642801630732
26,20,3,12,1,0,1,0,98.69035224150711
22,23,4,10,0,1,1,0,98.171841571988
16,29,2,10,0,0,0,0,91.99123971171224
17,22,8,20,1,1,1,1,113.63497519725512
40,27,9,14,1,1,1,0,125.24692659111132
39,22,7,19,0,0,0,0,122.09283446502336
15,19,8,10,1,0,0,0,90.43880720113232
10,24,5,14,1,0,1,0,89.4459637171062
27,24,6,24,1,0,0,0,115.75339066675268
31,27,8,11,0,1,1,0,112.46610677393129
21,32,9,20,1,0,1,0,113.8338553744169
12,26,6,19,0,1,1,1,108.28056829069456
16,23,8,14,1,1,1,1,106.99880962890091
35,23,2,15,1,1,0,1,122.1034278137704
18,29,6,15,1,1,0,1,109.76546129927594
28,28,6,11,0,1,1,0,107.9001590208086
35,19,9,15,1,1,0,1,124.1661130234347
23,26,4,18,1,1,1,1,116.70799028784664
31,31,6,6,1,1,0,1,114.62077024463971
37,18,3,23,0,1,0,0,119.80129830954952
18,31,3,18,1,1,1,1,113.45675503888644
39,27,4,10,1,1,0,0,115.0593863366097
18,22,7,22,0,1,0,0,106.51825212388972
23,25,4,17,1,1,0,1,111.85861332898914
30,18,6,11,0,1,1,1,110.75302662898474
14,29,7,14,0,1,1,0,98.93653316156131
15,22,4,13,1,1,1,1,101.56571074102474
26,25,9,21,1,1,1,1,127.04516551832047
32,18,7,23,0,1,0,0,117.4186571411044
33,22,9,18,0,1,1,1,128.59245649164325
28,25,6,10,1,0,1,0,104.79612226422157
27,27,8,19,0,0,1,1,124.79458439148998
30,21,6,12,0,1,1,1,114.71377633331645
33,27,6,14,1,0,0,0,114.40232207637834
41,24,6,15,0,1,1,1,132.57840869399683
32,18,5,21,1,0,0,1,122.65256149795113
19,26,5,18,0,1,0,0,101.91764305726832
17,22,7,10,0,1,0,0,93.20379279858408
8,27,5,11,1,1,0,1,95.70988779310372
20,26,6,10,0,0,1,0,99.38284928714396
25,31,4,13,1,1,1,1,117.34898690943108
26,25,7,21,1,1,1,1,123.44631335590807
7,21,6,6,0,1,0,0,78.97235450008783
10,24,2,18,1,0,1,1,100.93565843547746
3,29,3,12,1,1,1,1,93.04364864719211
19,28,10,12,0,1,1,1,111.43470515564329
25,26,4,21,1,0,1,1,119.5582927951444
24,26,5,20,1,1,1,0,111.93770400821684
25,24,6,22,1,0,0,0,112.80618963115096
28,20,5,11,0,1,0,1,110.61514822748988
39,22,9,20,1,1,1,1,136.4162406931373
43,25,6,9,1,0,0,1,128.2621583316941
18,28,7,8,0,1,1,1,103.795435506986
30,19,6,10,1,1,0,1,110.62922495225683
21,21,7,21,1,0,1,0,109.33879470718507
27,20,3,16,1,1,1,0,104.05893055973289
25,19,5,15,1,1,1,0,102.22835718879088
28,24,5,15,1,1,0,1,118.69176213010324
34,20,4,21,0,1,0,1,125.56924542050176
3,27,6,12,1,1,0,1,92.25007142955955
42,27,5,19,0,1,1,0,128.37450843597517
31,24,2,12,1,0,1,0,105.49467393542126
36,26,9,19,1,0,0,1,132.2828742178434
38,21,3,3,1,1,1,1,112.74275935142528
23,30,5,8,1,1,0,0,100.01500743582416
34,29,7,19,1,1,0,1,132.81145708805647
28,22,10,8,1,0,1,0,104.42349314163668
35,24,3,16,1,0,1,1,123.57334917656917
23,16,4,14,1,1,0,1,105.46713259029896
22,25,1,16,1,0,0,1,109.51760200636777
3,23,10,15,1,1,0,1,96.6238872729592
17,25,2,20,1,1,0,0,100.60686861536377
41,23,2,16,1,1,1,0,120.38637153429512
36,23,9,19,0,1,1,1,131.94798748286797
23,24,5,18,1,1,0,1,115.38318532821076
28,26,5,15,1,0,0,1,116.80669021297594
35,24,6,14,0,0,0,1,123.33900494294386
15,21,6,13,1,1,1,0,91.51324629804267
15,20,1,17,0,1,1,1,100.17034184771848
24,24,7,20,0,1,1,0,112.879046937506
19,25,5,23,1,1,1,0,108.66285855380332
12,20,9,18,1,1,1,0,95.43859678207576
32,22,3,16,0,0,1,1,117.82996439454406
24,22,7,21,1,1,0,0,111.20777371626434
14,19,5,13,1,0,1,0,90.94558894071542
33,29,5,19,1,1,1,0,121.80255391623508
30,20,6,16,1,1,0,0,110.0735564240359
24,25,8,21,1,1,1,1,122.63727546775064
25,25,10,17,0,1,1,1,120.20559696615192
32,25,7,27,1,0,1,0,125.28929243300423
35,28,5,9,0,1,0,1,119.0141246229643
20,20,7,4,1,1,0,0,89.5786744762564
25,24,7,16,1,1,1,1,117.05721443793708
32,22,7,10,1,0,1,0,109.29018078252378
38,24,5,14,1,1,1,0,120.24703101290208
23,20,5,19,1,1,1,0,107.65324419153328
21,24,5,4,1,1,0,1,99.78733558345073
33,26,6,11,0,1,1,0,111.93101052783996
35,19,6,8,0,0,0,0,106.53490729283024
20,25,5,21,1,0,1,0,107.3831097404184
15,19,12,17,0,1,0,1,109.23803394552854
32,24,6,23,0,0,0,1,128.91052024341437
29,22,1,13,0,1,1,1,111.47783512425944
24,19,3,20,1,1,0,1,112.33098821370208
28,22,5,17,1,0,0,0,107.8043671201024
31,25,5,16,1,1,1,1,121.80172476415753
38,18,5,12,1,1,1,1,121.63255938820365
32,26,7,25,0,1,1,1,134.97556987005268
24,22,2,20,1,0,1,1,114.28571942767564
21,25,4,14,0,0,1,0,101.92870191016362
43,23,6,12,0,1,1,0,119.31713403747824
41,26,7,17,1,1,1,0,125.3671453588416
24,27,6,18,1,0,1,0,109.61976276801626
36,31,5,11,1,0,1,1,125.75860207957784
16,17,4,19,1,1,1,0,96.70945135020344
8,20,6,18,0,1,1,0,90.3829217262194
28,23,8,17,0,0,0,0,111.56319966620576
10,19,6,15,1,1,1,0,89.00060296575688
27,19,3,16,1,0,1,1,112.22876813162318
31,22,6,14,1,1,0,1,118.40152739239764
15,22,5,12,1,1,1,0,92.57504140976629
21,20,3,14,1,1,1,0,97.92581591525352
0,30,5,16,1,1,0,0,86.8241718284255
16,23,3,15,0,1,1,0,93.79840597186956
19,31,6,10,1,1,0,1,108.00134799613949
36,21,7,12,1,1,1,1,123.59400030018548
15,26,8,13,1,0,1,1,106.075487624199
36,18,8,20,1,1,1,0,120.48043257778016
35,26,5,20,0,1,0,1,129.80073794555324
27,21,3,21,1,0,0,0,109.54355988834772
18,27,4,5,1,1,1,1,99.11210894958798
40,23,4,11,0,1,0,1,124.37215183087582
29,25,6,16,1,1,1,1,121.9951088968976
40,31,2,20,1,1,1,0,129.35270053941233
14,21,7,12,1,1,1,1,99.80053943250908
41,25,8,16,1,1,1,0,126.48180298813318
27,29,2,12,1,0,1,0,104.12615882521676
32,24,3,23,1,1,0,1,126.47103329366723
30,22,7,12,1,1,1,0,107.84499961849448
22,20,2,5,1,0,0,0,87.43062067305206
32,22,7,18,0,1,0,0,115.25671603546026
41,26,3,7,0,1,1,1,121.34643839605216
25,23,10,17,0,0,1,0,110.5883235305389
41,27,8,11,1,1,1,1,130.72715174767686
17,25,4,16,0,1,0,0,98.48362272038682
24,19,7,24,0,0,1,0,109.92441431103416
20,20,5,18,0,1,0,1,109.14909519525324
18,29,2,24,0,1,1,0,108.466782339026
31,23,8,19,0,0,1,1,125.63264081937923
40,19,7,17,0,1,1,1,129.0352403476974
10,26,8,12,0,0,0,1,98.81036408996766
38,33,7,17,1,1,1,1,137.07901195529266
49,22,3,18,1,1,1,1,138.75136017421187
30,20,3,16,0,1,0,1,113.88429437948842
11,24,3,9,0,1,1,0,83.54115370336285
22,28,7,20,0,1,0,0,111.2548437079534
10,25,3,21,1,0,1,1,104.97298430768238
27,24,4,21,1,0,0,0,111.5317605370639
19,24,9,14,1,1,1,0,104.22376592305636
20,22,6,17,1,1,0,1,111.46702468577784
21,19,4,18,1,1,0,0,100.5143359615901
5,19,5,18,1,1,0,1,95.32402229962229
42,18,6,23,1,0,1,0,127.51258420739784
28,23,5,16,1,0,1,0,109.29503644813886
20,22,9,17,1,1,1,0,106.08447786453895
10,23,2,5,1,1,1,1,86.2040512882598
42,32,9,16,1,0,0,0,131.2858495382186
30,15,2,23,0,1,1,1,118.5956513840953
26,26,6,18,1,1,1,1,119.99545379801486
35,26,6,19,1,1,1,1,131.1345245773587
30,16,7,15,1,1,0,1,116.1423607875657
26,22,4,16,1,0,0,0,104.97484072363004
44,26,4,19,0,1,0,0,128.98048131790148
10,17,4,7,0,1,0,0,77.06430334390143
19,18,6,12,1,0,1,0,94.39833770964924
14,21,8,26,1,1,1,1,113.95965902018924
13,22,2,14,1,0,1,0,88.06028097459651
33,26,5,15,0,0,1,0,115.09437411914034
16,22,10,5,1,1,1,0,91.09868151893195
30,21,5,17,0,0,0,1,120.01265849233243
29,25,8,4,1,1,0,1,110.87532442009385
3,28,3,13,0,1,1,1,91.99776372974075
20,28,7,17,1,1,0,0,105.27515943573763
38,19,6,16,1,1,1,1,127.31126983824056
28,31,5,14,1,0,1,1,118.09919131997007
8,30,7,24,0,1,1,1,111.201852134338
30,30,6,17,0,1,1,1,125.31260904844294
34,29,4,9,1,1,1,0,113.24368451509298
48,24,7,12,0,0,1,0,124.92810842012786
10,26,6,14,1,1,1,0,91.19187707699987
19,23,6,19,0,1,1,1,112.5231542066849
22,24,4,12,1,0,0,0,98.65886058383676
29,27,5,14,0,1,1,0,110.13948157339442
46,26,8,9,0,1,1,1,132.14566858396276
26,22,7,7,1,1,0,0,98.46024500607184
15,27,0,20,0,0,0,1,105.75490854248278
29,25,5,10,0,0,1,1,112.14207534820471
7,31,5,17,1,1,1,1,105.00555824058668
11,25,6,10,1,0,1,1,96.33550761325014
47,25,6,11,0,1,1,0,123.45162377308526
14,22,5,18,1,0,1,1,104.83260966389388
40,24,7,12,0,1,1,1,127.44993595707632
32,20,6,20,1,1,1,1,122.46743533333508
23,23,6,20,1,1,0,0,107.79973195794064
48,24,4,15,0,0,1,1,133.87864022192855
22,25,5,27,0,1,1,1,123.61951687512456
29,29,4,18,1,0,1,0,114.80492102974756
15,19,3,19,1,1,1,1,104.140119201423
8,29,8,21,1,1,1,0,100.7899680252418
16,20,5,15,1,1,1,0,95.15878924597315
40,22,8,19,1,0,1,0,125.7639919630864
21,23,4,17,0,1,1,0,102.9542085246682
54,25,5,17,1,1,1,1,146.23636623984518
30,25,6,11,0,1,0,0,106.7044569673226
32,30,7,8,0,0,1,0,110.5000763003242
32,23,4,22,1,1,1,1,126.01695792362374
32,22,5,22,1,0,0,1,125.54568123915558
50,19,8,10,1,0,1,1,132.01630385689248
12,23,3,14,0,1,0,0,89.32303080821642
38,15,7,16,0,1,1,1,123.56504166005494
44,26,1,16,1,1,1,0,122.3579338224382
13,27,5,14,0,1,1,1,103.76517941562868
19,20,5,18,0,1,1,1,109.07538875502944
29,27,2,16,0,0,1,1,119.20191542752636
15,26,8,22,1,0,1,0,106.35957688467504
20,28,5,16,1,1,1,0,105.18151127272974
26,25,6,12,1,1,1,1,114.51106915433594
18,26,0,13,1,0,0,1,101.47206837586027
4,20,8,17,0,1,1,0,89.67572819854317
23,24,9,22,1,1,1,1,123.10326644749682
28,23,3,15,0,1,0,1,116.2502758629914
21,18,0,19,1,0,1,0,97.0940722549944
28,23,9,10,1,1,1,1,114.77509127860736
26,29,8,4,1,0,1,1,108.53641614063976
21,23,3,8,1,1,0,0,91.16254411707123
22,23,3,17,1,0,1,0,100.37396474542848
19,17,4,13,0,0,1,0,93.4473891065276
30,26,10,16,1,1,0,0,117.14284103720462
20,24,6,13,1,0,1,0,99.60405190368851
16,22,1,20,1,1,0,0,98.09887780254442
30,28,4,13,1,0,1,1,118.4582512220412
21,25,1,11,1,1,0,0,94.50477316432598
20,24,7,11,1,0,0,1,105.06490983948134
21,22,4,14,0,0,0,0,96.09970270644642
30,21,1,19,1,1,1,0,108.46939546562368
22,22,3,13,1,0,1,0,98.58992478166851
-4,24,4,7,0,0,1,0,68.87914117987613
27,26,5,22,0,1,1,1,126.3571901446222
24,21,6,18,0,0,1,0,106.7048738180168
42,26,11,14,0,1,1,1,138.53302083725913
8,22,6,20,0,0,1,0,93.23085255862432
25,19,6,11,1,0,0,0,98.76402875769912
41,25,4,11,0,0,1,1,124.80025184973724
36,24,6,17,1,1,1,0,119.44994208527925
1,20,7,18,1,1,1,0,83.78374771765816
18,16,4,20,1,1,1,0,97.20094075041992
30,24,7,17,1,1,1,1,124.4203856055979
36,16,8,21,1,0,1,0,120.56580463440103
