individual_age,previous_month_income,unemployment_status,rural_residence,retraining_program_participation,current_month_income
38,29,1,0,1,11.34205525425445
29,26,0,0,0,11.412886683023512
24,16,0,0,1,30.06420449658523
19,20,0,0,0,22.079500437354994
45,11,1,0,0,20.16856129230302
11,10,0,0,0,34.76008546530215
23,21,0,0,1,27.34710939151092
19,18,1,0,0,22.70256857029765
28,10,1,1,0,28.476353633775208
19,21,1,0,0,20.336232456156903
36,25,0,0,1,17.610036616614394
15,21,0,1,0,22.706129996585855
22,29,0,0,0,13.93384953829522
39,24,0,0,1,16.595347486240556
22,28,0,1,0,12.295879955150804
33,27,0,0,1,15.771760268441156
33,21,1,1,1,23.61837315485509
23,24,0,1,0,14.8703809939611
23,19,1,0,0,20.254866798876183
35,34,0,1,1,8.912007560703056
11,24,0,1,0,22.363404927060422
24,20,0,0,0,22.107900200761527
36,23,0,1,1,18.23994721385662
29,7,0,0,0,32.36648259483007
32,23,0,0,1,21.822399784252998
38,18,0,1,0,17.104060224015672
29,18,1,0,1,27.29305143123722
16,17,0,1,1,32.80403654913058
24,25,0,0,0,16.000175571475186
36,10,0,0,0,25.77096827849816
29,11,0,0,0,26.050619157738435
12,22,0,1,1,31.3376000481354
29,17,1,0,0,20.4454918372331
35,16,0,1,1,27.41231202052071
27,14,1,1,0,24.870444157222902
22,25,0,1,0,16.093218391627616
33,23,1,0,1,19.313981163860603
28,8,0,0,1,38.33212587228571
32,18,0,0,1,24.783908775420084
27,16,1,0,0,22.414409734461444
31,15,0,1,0,24.15910897721601
31,29,0,0,1,13.60192615004456
41,13,0,0,1,25.362670496242643
27,15,0,0,1,30.479338808464394
26,23,0,0,1,25.56414743656017
42,24,0,0,1,15.53887865663027
33,38,0,1,0,-1.8678663723144255
45,18,0,0,1,20.286540161277948
20,9,0,0,1,38.7885943058762
36,13,1,0,0,21.897388240246517
34,24,0,0,1,19.74241213179542
23,13,0,0,0,27.59710044496793
43,16,0,1,1,23.50969585922159
23,27,1,0,0,13.291074484528366
18,21,0,1,0,21.308004840563843
30,17,0,0,1,28.84700343684832
19,21,0,0,0,21.53947804406101
29,14,1,0,0,22.64278796657687
24,11,1,0,0,26.5917283560594
30,20,1,0,1,23.8868740425592
35,26,0,1,1,18.72499821883075
19,21,0,1,1,26.72009032249235
37,17,1,1,1,24.06971958599468
27,9,1,0,0,29.9349860311971
38,28,0,0,1,12.038537322623784
27,25,0,0,0,13.926911011545686
37,34,1,0,1,5.985768621146355
27,17,0,0,0,23.311950498364077
25,20,0,0,0,18.362440351628656
35,8,0,1,1,34.8749928357511
19,23,1,1,0,18.153117815403974
21,30,0,0,1,18.27418739365537
31,18,0,0,1,26.89109415294521
23,22,1,0,1,27.01924552844254
24,15,1,0,0,25.301926354133077
15,25,0,0,0,20.074208350344243
22,20,0,1,1,29.18599047885375
44,28,1,0,1,9.374650154520344
33,14,0,0,0,23.81934352123614
24,13,1,0,0,26.481804844464488
23,14,0,0,0,25.818569437359177
30,12,0,0,1,33.9350224048008
17,12,1,0,0,32.22226491233724
40,14,0,0,1,25.765313244495097
34,14,1,1,1,28.519249054111118
39,12,0,0,1,28.87754999600347
36,23,0,1,1,18.907207706565373
26,13,0,1,0,25.22792653562761
23,18,1,1,0,21.94466236680079
29,5,1,0,0,31.33475709706729
30,11,0,1,0,27.017823445544597
34,13,0,1,1,31.417008074841053
37,34,0,0,1,7.151707384690231
24,20,0,0,0,20.25217286214476
17,23,0,0,0,20.96927318501807
21,25,0,0,0,16.963345578394076
21,28,1,0,0,10.77077704786613
25,12,1,0,0,27.497737574207843
38,21,0,0,1,19.696029058216748
26,25,0,0,0,13.992663272369189
17,18,0,1,0,26.36745407179833
28,24,0,0,1,19.34466469961674
25,22,1,1,0,17.614424950766903
32,21,1,0,0,15.577683376795308
38,26,0,0,1,13.918434804612913
18,29,0,0,1,20.3215465285114
28,31,0,1,1,14.143751335691348
40,25,0,1,1,15.493459670032964
42,16,0,1,1,23.809407984181764
38,31,1,0,1,8.629481689828637
33,21,0,0,0,13.858465110240312
34,20,0,0,0,17.690890010944994
27,17,0,0,1,28.773120374268387
38,14,1,1,0,21.09783813388933
28,23,0,1,0,15.20465371435653
10,17,0,0,0,28.9733144565619
22,19,0,0,0,23.105888837003207
22,29,0,1,1,18.608811881512835
13,25,1,0,0,19.580203662693854
30,15,0,0,0,24.49261524132749
32,20,1,1,1,24.694574240136244
28,17,0,1,1,28.841252813800807
30,20,1,1,1,24.62300140793592
28,27,0,1,0,8.97019865830029
13,18,0,1,0,28.237812072840832
47,19,1,1,1,18.145626768300037
7,15,0,0,0,31.94285710568581
23,17,0,0,1,31.29360981025718
27,23,1,1,0,16.881853140008225
25,14,1,1,0,24.00477855912868
25,21,0,0,1,26.043373465363278
19,10,1,0,0,31.09738089388531
20,19,0,0,0,23.137182443092943
35,24,0,1,0,12.836588617666909
35,14,0,0,1,26.836897345520107
28,25,1,0,0,12.843799245469356
33,19,0,1,1,25.45847349472556
26,18,0,0,1,28.94711211834502
18,14,0,0,1,36.84904087265995
31,14,0,1,1,30.93516283582141
18,13,1,0,0,27.895513551347364
44,22,1,0,1,15.63362399420053
36,25,0,0,0,8.68134530900621
26,18,1,1,1,28.29306427806993
27,18,0,0,0,20.981177064375423
14,17,1,1,0,26.32744741313117
18,15,0,0,0,29.02895646436944
26,21,0,0,0,17.481405143815117
27,25,0,1,1,22.762069548481545
31,30,1,0,1,13.62922888135563
38,18,0,0,1,22.45557273973946
41,13,1,0,0,19.449028666037723
31,26,1,0,0,10.027356161387951
41,28,1,0,1,12.493733550756833
16,21,1,0,0,22.484337374076592
19,24,0,1,0,19.42748869512689
45,19,1,0,1,18.993744218944958
23,19,1,0,1,28.09599153013173
34,10,1,0,0,23.801418176715984
32,24,0,0,1,20.590066912452208
33,14,1,0,1,30.490272685688502
37,9,0,0,1,33.08814876111858
29,16,1,0,0,22.797815485505534
30,19,1,0,0,17.57608770184091
23,10,1,1,0,30.686129303336667
25,13,1,1,0,26.488671845338253
29,20,0,1,1,25.863854688744105
38,22,0,1,1,20.342413248799105
38,25,1,1,1,14.876275314681202
31,9,0,1,1,36.81625207582462
40,24,1,0,1,16.47924288927839
43,19,0,0,0,15.112699776959529
37,15,1,0,0,18.984052405427125
30,10,0,0,0,29.448518910618372
37,22,0,0,1,19.878875643237752
43,17,0,0,1,23.387270307260074
39,22,1,0,1,18.1075567249856
26,15,0,1,1,31.503423629023608
25,18,1,0,1,27.884102772740068
17,19,0,0,0,23.57708310127833
20,16,1,0,0,27.685114415385986
25,22,1,1,1,24.01496678086156
16,19,1,0,0,23.34126537694344
24,12,0,0,0,26.808627133473028
29,16,1,1,0,22.59404503216669
22,15,1,0,0,24.30690855423823
23,12,1,0,1,35.36321955285805
30,22,0,0,1,24.32925088825884
25,18,0,0,1,27.81613422432005
48,12,0,0,0,17.446103547508972
32,23,0,1,0,13.404750821304122
24,15,0,1,1,32.33475675620162
35,16,1,0,0,18.196280952741457
33,9,1,1,1,32.35734502006015
30,18,0,0,1,26.60693890190113
20,20,1,0,0,21.86511031076198
34,22,1,0,1,20.134631283363536
29,11,1,1,0,26.744222088380734
38,12,1,1,1,28.21496541019812
29,19,0,0,1,25.70459829374533
40,21,1,0,1,18.350120205280223
27,22,1,0,1,21.679973461288977
29,12,0,0,0,26.661658826483304
39,11,0,0,1,30.02717543564884
29,14,1,1,1,29.767470317886445
21,18,0,0,0,24.90001628210696
33,29,0,0,1,14.25730531649678
44,28,0,1,1,11.02676364226032
27,28,1,1,0,10.831563237070766
47,24,0,0,1,14.276496557756314
28,24,1,1,0,13.336208073683473
18,25,0,1,1,25.26088793779059
25,27,1,0,0,12.027942233361264
39,29,1,0,1,11.18430978955899
27,8,0,0,0,33.91322992574302
29,17,0,1,0,22.080564640989877
20,26,0,0,0,16.97878183663341
20,13,0,0,1,36.642032733771615
46,13,0,0,1,24.972054420743103
28,23,0,0,0,15.817191423640615
31,29,0,0,1,13.952356140318612
24,15,0,1,1,32.74318986067451
38,27,0,0,1,15.715487677375908
31,14,1,1,1,30.23899841297927
19,17,0,0,0,23.72964705497974
29,18,0,0,0,19.137755245177523
17,14,0,1,0,30.13363497997785
27,28,1,0,1,18.77130948754322
35,24,0,1,1,18.613747931334697
36,22,0,0,1,20.44257521019288
29,21,1,0,0,17.73512648424194
18,10,0,0,0,34.21912080220753
45,19,0,1,1,21.47867571820149
21,3,0,0,0,38.58067982875307
27,13,0,0,0,25.993557724863585
28,7,0,1,0,33.19361657925283
32,19,0,1,0,17.957055552100766
19,24,0,0,0,18.490264579551145
28,17,0,0,1,30.47147023293365
23,11,1,0,0,28.39309890276238
24,12,0,0,1,35.387645783842885
30,27,0,0,1,16.53758816016447
32,17,0,0,0,20.70830048754925
33,23,0,0,0,14.64088039347434
46,13,1,0,0,19.60193604036356
25,15,1,0,0,24.635782938259787
22,14,0,0,0,26.96223327859981
32,31,0,1,1,12.928972647583308
35,25,0,0,0,10.271872355116344
32,18,0,0,0,20.179444965977503
35,22,0,0,0,13.561471941114704
42,27,0,1,1,13.571770341474394
37,26,0,0,1,13.272947531300764
26,14,1,0,1,31.67708765395893
35,14,0,0,1,29.06908482686668
44,21,1,0,1,18.908597709077675
33,14,0,0,1,30.018130367911624
39,20,0,0,1,21.62119730188177
21,16,0,0,0,27.180012755032703
25,24,0,0,1,23.521290185193664
28,21,1,0,0,17.934839635492267
25,24,1,1,0,16.885441521737825
25,26,0,0,0,13.0589674434167
27,24,0,0,1,22.88210892275452
22,20,1,0,1,26.491222690998494
35,15,0,0,1,28.887804850635547
39,15,0,0,1,26.474222011184548
31,21,0,0,0,17.06708053781079
32,19,0,0,0,17.739759472308304
36,15,0,0,1,27.220141503675272
29,13,0,1,1,31.421777174678667
20,11,0,0,1,37.75096623291592
35,15,0,0,1,26.709745541366047
23,12,0,0,0,30.24164850223107
24,23,0,0,0,17.641492674830747
24,18,1,1,0,21.479314710174453
18,18,1,1,0,24.8352508287936
32,21,0,0,1,23.518107410450657
21,26,1,0,0,13.800169398390697
28,19,1,0,1,25.173701419407596
38,26,1,0,1,14.432063511226684
29,13,0,1,1,31.70507525726591
35,12,0,0,1,31.002290672443976
40,15,1,1,0,17.05116362862645
24,18,1,1,0,23.0327685164074
23,25,0,0,0,13.659087041394738
25,32,0,0,0,7.390862581530801
51,8,1,1,1,26.748593102081777
27,12,0,0,1,34.6213432312863
21,16,1,1,1,32.596322266494354
23,16,0,0,1,33.50062732834845
22,18,1,0,0,22.214288837979204
35,16,1,0,1,25.874826238509343
23,22,0,0,0,19.039169459851507
26,20,1,0,0,17.093501113991664
26,15,0,1,0,24.8369693532176
14,9,1,0,0,33.16465557837615
29,1,0,0,0,38.93145935823984
30,20,0,1,0,16.73624972053371
28,35,1,0,1,7.521413465715823
34,22,0,1,1,22.27077344161371
30,27,0,1,0,10.270702715264186
18,10,0,0,0,35.309920085559746
31,16,1,0,0,20.97967541712897
40,25,0,1,1,15.748110652158156
40,16,1,0,1,23.89415254902647
39,17,0,0,0,16.536767291035904
22,15,0,0,1,32.58105744182722
37,20,0,1,1,21.223655132886798
41,16,0,0,1,22.308271116371248
39,24,1,0,1,15.021265378631956
44,15,1,0,1,22.159937696323464
23,17,0,0,0,20.67435468890244
35,19,1,0,1,22.537437001091156
28,23,0,0,1,21.66622033021505
31,24,1,1,1,20.569682820913258
36,21,0,1,1,21.43787654065181
40,23,1,1,0,11.971220558741248
15,20,1,0,0,22.790794469094067
21,16,1,0,0,24.315005232406133
37,14,0,0,1,28.47008821673985
26,18,0,1,0,22.54679322773173
39,25,0,0,1,13.275264468208809
43,17,0,0,1,22.880854826744088
34,17,0,0,1,26.52562621200293
37,21,0,0,1,20.25180524810595
32,14,0,1,0,23.22977665560949
37,14,0,0,1,28.5915806007862
18,21,0,0,0,22.035136443383763
28,24,1,1,0,14.599883127051108
26,25,0,0,1,21.14593190359705
33,18,0,0,0,18.004562264354576
37,25,0,0,1,17.217408588303545
27,33,0,0,1,12.814588496014396
31,16,0,0,1,29.43762554623883
37,26,0,0,1,14.613707143219932
42,11,1,1,1,31.32988804135825
32,26,0,0,0,10.95664759565702
30,22,0,0,1,21.47465014616039
37,15,0,0,1,27.647815956690817
29,27,0,0,0,10.78860977986198
18,28,0,0,0,14.150827572125444
46,28,0,1,1,10.63314571479401
27,13,0,1,0,27.50269149067697
33,30,1,0,0,5.24591382933006
31,20,0,0,0,17.16514574957687
17,22,0,0,0,21.87552493028891
27,18,0,1,1,28.732671042827192
23,16,0,0,0,25.066291062912583
30,18,0,1,1,27.203917494982672
27,20,1,1,0,18.205615003086823
28,22,0,1,1,23.693185798318574
26,19,0,0,0,21.0859449687565
24,27,1,0,0,11.864661175172534
23,21,1,0,1,25.744308075845844
28,30,1,0,0,6.925569576023762
32,27,0,0,0,9.087110485205573
31,9,0,0,0,28.22375976085554
38,23,0,0,1,19.03175607668708
50,21,0,0,1,14.418063559156964
16,18,0,0,0,26.84003406287285
17,28,1,0,0,13.697056635680962
29,19,0,0,1,24.32798082940047
16,10,0,0,0,34.90569425704687
30,13,0,1,0,25.26763389551715
27,26,0,0,1,20.714957892455896
31,18,0,1,1,26.76337121681366
22,18,1,1,0,22.147309382522145
32,13,0,0,0,23.64172881644121
27,13,0,0,0,26.207400969399806
32,14,0,0,0,22.26502296537723
30,27,1,0,1,17.687354366248872
15,14,1,0,0,29.96560656558009
29,22,0,1,0,16.021502175940622
34,23,0,0,1,17.576060850819577
35,15,1,0,1,28.4676453434001
18,16,0,1,0,27.57010920989097
15,12,1,0,1,37.45929213678861
19,11,0,0,0,32.149000185541674
24,32,0,0,1,15.58836326601267
23,25,0,0,0,16.909693458242433
31,16,1,0,1,27.729490942287374
26,30,1,0,1,15.460998666067994
20,15,0,0,0,27.66609070358802
25,21,1,0,0,19.304592063605806
32,19,1,1,0,15.80792173540868
21,32,0,1,0,9.558323205141308
19,18,0,0,0,23.372983890523795
40,7,0,1,0,28.24229230917428
32,24,0,0,1,19.964723100600622
35,27,0,1,0,9.403721935134342
26,22,1,0,0,17.78831934589796
33,22,0,0,1,22.250751261823726
27,37,0,0,1,6.818091040088312
35,21,0,0,1,23.116090829704845
24,17,0,0,1,30.33048813337824
31,25,0,0,1,19.128408834109177
26,22,1,0,0,15.512139802849337
16,22,0,1,0,22.43425506111588
11,17,0,0,0,29.114996456958096
24,22,0,0,0,18.92575384662145
29,26,1,1,1,18.738841452537468
25,17,0,0,1,28.223629397943853
27,10,0,1,1,36.91597351835134
23,21,0,1,1,27.69678388123645
27,24,0,0,0,14.920627341442286
32,12,1,0,0,26.174029822463805
33,19,1,0,1,24.834795705942536
41,23,1,1,1,17.398792456997565
35,26,0,0,1,16.202360900664363
23,11,1,0,0,28.51541106564946
33,18,1,0,0,16.81977450431192
30,16,0,0,1,31.44937843487378
46,15,0,1,1,22.9808986545795
24,24,0,0,0,15.909632300934684
29,16,0,0,1,30.257922998994044
36,18,1,1,0,15.972857867966818
38,18,1,0,1,23.569849445032
46,16,0,1,0,18.33710520790481
37,14,0,0,1,24.896070359321467
26,19,1,1,0,19.20743559740868
23,18,0,1,0,23.15808731336192
45,23,0,0,1,15.69415617661035
36,18,1,0,0,17.954478609460114
34,11,1,0,0,24.16783137568004
34,18,0,0,0,17.080594967985682
31,13,1,0,1,31.974721150525745
18,11,0,0,0,32.32686506010534
42,18,0,0,1,22.657116245964843
38,24,0,0,0,7.992045805562416
23,21,1,0,0,19.892128924525128
40,23,0,1,0,10.489670811670376
20,18,1,1,0,23.09228667282289
27,20,0,1,0,19.26626285716037
24,15,1,0,0,24.329063134173524
40,21,0,1,1,22.345765309561003
22,4,1,1,0,35.66549004181677
36,23,0,0,1,19.4984032149318
34,7,1,0,0,27.509554345052663
32,17,0,1,1,27.91955465966066
29,18,1,0,0,20.096985353586128
26,28,0,0,0,11.962179285395171
18,13,0,0,0,31.37904830002994
36,17,1,1,0,16.237242694522966
37,22,0,0,1,19.0918123884406
27,20,0,0,1,25.53328253152576
38,13,1,0,1,27.26150129746442
28,21,0,1,0,17.261919121421517
31,20,1,0,0,15.700150182662115
34,19,0,0,1,24.17066862368227
30,21,1,0,1,20.620139666321947
25,22,1,1,0,16.809574105300097
28,20,1,1,1,26.274453767086257
33,19,0,0,0,17.272391309100882
34,17,0,0,0,20.042014297493225
47,20,0,0,1,17.032328623312445
21,20,0,0,1,28.003534000039725
27,26,0,0,0,13.037617062707108
38,27,0,1,1,15.6075567154793
29,26,0,1,0,12.78767371487523
38,15,0,0,1,25.22999644466465
32,17,0,0,0,20.56147683230824
25,16,1,0,0,22.800186670523537
33,22,0,0,1,21.07951176788599
41,18,1,1,1,21.059882578228176
43,12,0,0,1,26.967169497721933
40,12,0,0,1,28.77746012209699
22,21,0,0,1,28.02499474754503
31,17,0,1,1,28.387584277596293
38,24,0,1,1,16.733719950661637
31,12,0,1,0,24.596874845760475
24,20,0,1,0,20.515804126529567
32,32,0,0,1,11.100016685092326
30,8,0,0,1,38.64743330160312
32,18,1,0,0,17.847412148183196
31,29,0,1,0,9.998983454806094
39,19,0,0,1,21.766957059023014
32,15,0,1,1,28.426826930492485
24,31,1,0,0,6.956047891461013
38,23,1,0,1,18.40378646143294
17,20,0,0,0,24.31499150623246
33,17,0,0,0,19.162864012602437
27,15,1,0,0,22.704082018488037
17,18,0,1,0,26.98499587880317
26,26,0,0,1,19.93744868038773
17,20,1,1,0,22.20357919473178
33,22,1,0,1,22.09146891168816
34,14,0,0,1,30.37610970969345
22,23,0,0,0,18.978097366047816
30,16,1,1,0,21.21803498871692
16,19,0,0,0,25.234010246728857
43,26,1,0,0,6.155009673589262
19,20,0,1,0,23.568013034556778
20,22,0,0,0,19.52578128743317
26,14,0,1,0,24.901253915153024
25,12,0,1,1,35.75846290525168
30,23,0,0,0,15.19115031168974
21,25,1,1,0,15.343922178475824
20,14,0,0,1,33.71977637583352
30,23,1,0,1,21.36475124780703
30,21,0,1,0,18.605774726055223
47,26,1,0,1,10.24608667563534
31,27,0,0,1,15.184849151716246
27,30,1,1,1,15.142332836703329
14,15,0,0,1,36.937193808667935
33,14,0,1,1,29.724121449162038
37,14,1,1,1,28.657609265996665
1,16,1,1,0,32.37378482688128
36,32,1,0,1,9.315230171254978
20,18,0,0,1,30.42782234895788
27,23,0,0,0,14.8354480371671
30,11,0,1,0,26.999767946444933
37,15,0,0,1,26.213817296193973
12,17,0,1,0,29.88216288170273
14,18,0,0,0,26.816478227966005
47,21,0,0,1,17.870226863749245
47,6,0,0,1,32.01201321719612
35,20,0,0,1,22.32185772728929
22,21,0,0,1,26.65195066625576
38,23,0,1,1,19.87544889440117
38,14,0,1,0,21.02523502590253
34,12,0,1,1,33.152105827417486
37,19,0,0,0,16.188502493925167
26,10,0,0,0,28.760910391837733
28,31,1,0,0,5.974749846273996
38,13,0,0,1,28.34295428477547
48,16,0,0,1,23.398889555116646
31,14,0,1,0,24.27694212329169
13,24,0,1,0,22.13537573859402
23,19,1,1,0,22.71588502607993
27,19,1,1,0,20.09716655359555
27,16,0,1,1,30.226830628539872
32,21,1,0,1,20.89166054036209
32,19,1,0,0,18.797052602450652
28,28,1,1,0,9.711183416789748
28,20,1,1,1,26.03248369161032
27,17,0,1,0,21.10159829873519
18,19,0,0,0,23.92572337152358
38,27,0,0,0,6.119406094971602
22,20,1,0,1,28.06853184316237
28,15,0,0,1,30.21542081379448
18,18,1,0,0,24.09902283222893
22,14,0,0,0,27.21462734233401
33,18,1,0,0,18.490115585080652
35,7,1,1,0,28.13445876042389
29,27,0,1,1,19.56777154886251
30,21,0,0,1,24.78902442718968
15,14,0,1,0,28.627678689387785
23,16,0,0,0,24.167699346977965
24,20,0,1,1,27.2684531405416
41,14,0,0,1,25.558350163396245
37,25,0,1,1,17.32727858684274
30,25,0,0,1,20.60943992329097
22,17,1,0,1,29.514383756311
23,18,0,0,1,30.650090408033808
29,7,1,0,1,38.62617745639408
34,12,1,0,0,23.206604217180978
38,24,0,0,1,17.26421787968636
43,25,0,0,1,14.131057692170954
42,12,1,1,1,27.81340815331824
31,22,0,1,0,18.023571925434197
14,22,0,0,0,23.104702367011814
36,27,1,0,1,12.99119731355762
31,28,0,1,1,17.359757715170172
26,27,0,0,0,11.172609409033187
38,23,0,0,0,11.36923895852317
25,19,0,0,0,21.139838644141573
27,16,0,0,1,29.52586864090484
16,26,0,0,1,25.42066543678144
20,27,0,0,1,21.8043476166084
33,17,1,0,0,19.777354401038437
28,20,1,1,0,17.04013229334587
16,22,0,0,0,21.053910962969635
27,19,1,0,1,27.62042062164063
32,25,1,0,1,18.118729611598862
37,19,1,0,1,23.550369100558736
23,23,0,0,1,24.60621125519516
37,10,1,1,1,30.342314113793456
25,19,0,0,0,20.562037580570287
6,27,1,0,0,19.666081363303626
12,27,1,1,0,17.196113733257512
33,14,0,0,1,31.184085163547355
41,24,0,1,1,16.373604891146922
17,23,0,0,0,19.044848982862327
29,14,0,0,1,29.490926470023723
23,14,0,0,0,25.737584328525838
23,4,0,0,1,42.6506529504515
36,15,0,0,1,27.8072489807466
33,22,0,0,1,19.621738759554702
14,19,1,0,0,24.93512362857224
44,23,0,0,1,15.64790755438581
41,12,1,0,1,27.132984562760807
31,15,0,1,1,30.277846562458752
22,22,0,0,1,25.936656228462176
22,16,0,0,0,24.317668085360577
30,16,0,1,0,22.900550074223958
23,21,1,0,0,19.164172596336577
29,10,1,1,1,33.91383941066801
30,9,0,1,1,35.36916163014431
25,29,0,0,0,9.559122532930276
29,22,0,1,0,17.383825871079136
31,23,1,1,1,21.790909927249523
21,27,1,0,1,21.30085414887865
20,24,0,0,1,25.587226368888658
21,16,0,0,0,24.09224476887069
27,25,0,0,1,20.44000907014305
27,21,0,0,0,18.124537757412057
31,17,0,0,1,27.83005210113922
22,18,0,0,1,29.886279693297062
35,18,0,0,1,23.305634223723526
25,9,0,1,1,39.3831608603164
24,20,0,0,0,18.73403941254128
25,20,1,1,0,19.40152859256688
37,11,0,1,0,24.30377375545273
34,25,0,1,1,16.733084044567367
33,16,1,0,0,18.70067206037712
45,16,0,0,1,20.3665776410934
27,24,0,0,0,13.2647510135981
25,18,1,0,0,19.88664927158718
20,33,0,1,1,17.022496361602613
22,27,1,0,0,12.864728333626802
34,2,1,0,1,40.940284477170245
19,8,0,0,0,32.8443042938858
18,19,0,0,0,23.133665027173127
50,5,0,0,0,25.205325333510768
25,30,0,1,0,10.79248925599979
29,24,0,0,1,18.559084634975324
28,27,0,1,0,12.254266123477176
23,12,0,0,0,27.69505312739139
43,18,1,1,1,23.35879189514869
23,21,0,0,0,19.594112905298758
28,20,0,0,0,19.64054496616181
35,12,0,1,1,29.598332847871223
28,19,1,0,0,20.959068801846666
9,19,1,0,0,26.619588257503583
25,19,0,1,1,28.24384092205493
41,22,0,1,1,15.849362409947876
29,20,1,0,0,19.1478818946261
32,13,0,0,0,25.50772908451072
29,25,1,0,1,18.135665896223276
26,18,0,0,1,28.039809428396357
37,18,0,0,1,22.38247502771817
16,17,1,0,1,30.77013746910873
40,27,0,1,1,13.37233393933516
32,11,1,1,0,26.171347261403334
36,19,0,0,0,17.509384171342802
29,17,0,0,0,20.47144988081308
29,24,0,1,1,21.81687527007796
24,18,0,1,1,29.34587611965344
20,22,0,1,1,25.753666127059887
23,8,0,1,0,33.32060503029257
17,14,0,0,0,29.794528333669398
37,32,0,0,1,9.845919496817949
41,20,1,1,1,18.22724389053369
23,25,1,0,1,20.410282754355897
17,21,0,1,0,21.025614962630574
41,25,0,0,1,15.153261105115106
20,13,0,1,0,29.6190166677482
29,13,1,1,0,25.2727790038094
50,24,0,1,1,13.77195944150657
36,15,1,1,1,28.0448765216177
41,19,1,1,1,18.67777919867513
25,10,0,0,1,37.81996652978171
27,19,0,0,1,26.670130506445314
34,18,0,0,1,24.882150161435558
41,21,1,0,1,18.407101356570426
43,6,1,0,0,24.79978120084729
41,23,0,0,1,17.280670422443315
