years_in_residence,household_size,num_recent_moves,has_dependents,public_housing_recipient,received_counseling_invitation,attended_counseling,housing_stability_score
4,2,0,1,0,1,0,47.071408159129184
3,4,1,0,1,0,1,54.5380199788665
3,2,0,0,1,0,1,51.91971786825066
4,3,0,1,0,1,0,45.34648089252187
8,2,0,1,0,0,0,46.14318634765828
8,3,0,1,1,1,1,52.602851493349554
1,2,0,1,0,1,0,48.823364202457086
0,3,0,1,1,1,1,52.81584011934192
7,3,0,1,1,1,1,52.98570269154678
6,1,0,1,1,0,0,46.22286893369442
-1,2,0,1,1,1,0,49.37533897370354
4,1,0,1,0,1,0,46.19319209867396
2,2,0,1,1,1,1,53.91438935694383
1,2,0,1,0,1,0,46.84963887290569
3,2,0,0,1,1,1,53.36616476694459
6,2,0,0,1,1,0,47.00958235903071
5,2,0,0,0,1,0,47.84222396955287
4,3,0,0,1,1,1,53.069204035644425
6,3,0,0,1,1,1,52.80756424167952
3,2,0,1,1,1,0,46.4369006278698
3,3,0,1,1,0,0,47.42372860458296
5,3,0,1,1,0,1,52.203246795948274
7,2,0,1,1,0,1,52.154643543320766
8,3,0,0,1,0,1,52.94775278068477
2,2,0,1,1,1,1,53.41377794952423
4,2,0,1,1,1,0,47.591520464433714
6,2,0,0,1,0,1,54.24845835082566
0,3,0,1,0,1,0,47.118673624316486
4,2,0,1,1,1,1,54.2627692652611
0,2,0,1,0,0,0,48.38281135459051
0,2,0,1,1,0,0,50.22597125711051
1,2,0,1,1,1,0,46.72873095036928
1,3,1,0,1,0,1,52.41349160740496
6,2,0,0,1,1,1,53.06724317043141
4,2,0,1,1,1,0,46.04988032122526
4,3,0,1,0,1,1,52.54229281380477
3,3,0,0,1,1,1,53.069214737113526
3,3,0,1,0,1,1,54.724127805019286
5,3,1,1,1,1,1,54.31422149930739
4,2,0,0,1,1,1,53.32896646982909
5,2,0,1,1,1,0,48.49524699282296
3,3,0,1,0,1,1,53.59864174144002
4,3,1,1,1,1,1,54.64587778263241
4,2,0,0,1,1,0,47.59013582546342
7,3,0,1,1,0,1,53.13454244765813
3,2,0,0,0,1,0,46.64639125785194
3,3,0,1,1,1,0,48.2334873873786
5,3,0,1,1,0,1,50.89228923718832
2,2,0,1,1,0,0,49.64822461597038
5,2,1,0,1,1,1,53.932135525117424
4,3,0,1,1,0,1,53.84926964869496
2,2,0,1,1,1,0,48.79506471376096
0,4,0,0,1,1,1,52.78798527247382
3,3,1,1,0,1,1,52.58276544204904
6,3,0,0,1,1,1,53.04456385081063
6,1,0,1,1,0,0,48.8680838123198
6,2,0,1,0,0,0,47.30409005330154
3,3,0,1,1,1,1,52.37855734656652
4,2,0,1,1,0,0,49.00243187136586
3,3,0,1,1,1,0,47.29601175593591
6,2,1,1,1,0,1,53.21809280889485
2,2,-1,1,0,1,0,49.32401667625938
4,2,0,1,1,1,0,47.27317077667832
-1,3,1,0,1,1,1,52.51354862009827
7,3,0,1,0,1,1,52.10552506648007
4,2,0,0,1,0,1,53.684350053690416
4,2,0,0,1,1,1,54.21350462885943
7,3,0,1,1,1,1,53.89538964022884
6,2,0,1,0,0,0,46.58978677579285
3,2,0,1,0,0,0,48.01210807217407
6,2,-1,1,1,0,1,54.38852123583976
5,2,0,1,1,1,1,53.73242292763028
5,2,1,0,1,1,1,51.249887135297456
2,3,0,0,0,1,1,54.49058339304282
4,3,0,1,1,0,1,51.78049409339451
3,2,0,1,0,0,0,45.78265366229972
6,3,0,0,1,1,1,53.27592026610294
2,2,0,0,0,1,0,46.78921780028067
4,2,0,1,0,0,1,52.0649836087657
1,2,0,0,0,1,1,52.57849601530615
4,2,0,1,0,1,0,46.541255317357184
5,3,0,0,0,1,1,52.76371402047872
5,3,0,1,1,1,1,53.3940626658996
5,3,0,0,0,1,1,50.84746076158783
6,3,0,1,0,1,0,45.44344791954049
4,3,0,1,0,1,0,46.874429894442
6,2,0,1,1,0,0,47.32892877810868
3,2,0,1,1,1,0,47.02606823210536
0,3,0,1,1,0,1,53.06356251737345
3,4,0,1,1,0,0,47.865465261185946
0,3,0,0,1,1,0,47.69986445273582
2,2,0,1,1,1,0,47.555527904480186
2,2,0,1,1,1,0,48.72668122994048
5,3,0,1,1,1,0,46.06545124896023
7,3,0,1,0,1,1,52.332602542643386
7,2,0,1,1,0,0,45.58580238070633
1,3,-1,1,0,1,0,47.87195189335778
1,3,0,1,1,1,0,48.27587207810576
4,3,0,1,0,1,0,46.48821763984634
0,2,0,1,1,1,1,54.52753132336132
2,3,0,1,0,1,0,47.28801414010695
2,3,0,1,0,0,0,46.19313574575224
4,2,0,0,0,1,1,52.22206969249846
5,3,0,1,0,1,0,45.35853121567892
2,2,0,1,1,1,0,48.15663960299874
1,2,0,1,1,1,0,48.53710738799245
4,2,0,0,1,1,1,52.85308788156553
4,2,0,0,1,1,0,45.19398972691063
4,3,1,0,1,1,1,51.80455754295454
1,2,0,0,1,1,0,47.32781912424163
3,2,1,1,0,0,0,46.11722811303774
4,3,0,0,1,1,1,53.401816229812844
7,2,0,1,1,0,0,49.13629350120249
3,3,0,1,1,0,1,53.817545956670486
1,2,0,1,0,1,0,48.21664536114263
2,3,0,0,0,1,1,54.01854997912315
5,3,0,0,1,1,1,52.4834126937859
3,3,0,0,1,1,1,53.088156059294384
5,3,0,1,1,0,0,48.204316899667376
6,3,0,1,1,1,1,51.70443160378087
3,3,0,1,0,1,0,47.02998401956306
2,3,1,1,0,0,1,54.20410036695509
4,2,0,1,0,0,0,47.855604596608366
4,3,0,0,1,0,1,52.727049817202186
6,2,0,1,1,0,0,47.45285237529375
6,2,0,0,0,1,0,47.26972565915609
6,2,0,1,1,0,1,53.42800231298792
5,2,0,1,1,1,1,52.852521307150674
6,2,0,1,1,1,0,48.944438905978245
7,2,0,1,1,1,0,46.58379071379227
2,3,0,0,1,1,1,53.32025876438975
4,2,0,1,1,0,0,47.22266347475304
4,3,0,1,0,1,1,51.78911426064099
1,3,0,0,0,1,1,50.93457409144796
0,1,0,1,1,0,0,48.69925150220546
5,2,0,0,1,1,1,53.06965026925815
1,2,0,0,1,1,0,47.7877499305282
3,3,0,1,0,0,0,47.57925957742543
2,3,0,1,1,1,1,55.17076147174673
4,3,1,1,0,0,1,51.09932296516196
0,2,0,0,1,1,0,47.54120457158543
0,2,0,0,0,1,1,53.869224245658856
3,3,0,0,1,0,1,55.234985519772806
2,3,0,1,1,1,1,53.95311449691478
6,2,0,1,1,1,0,47.02316124003152
3,2,0,1,0,1,0,47.41274315058384
2,2,0,1,1,1,0,48.18241859198988
3,3,0,1,1,1,1,54.38219228657464
1,3,0,1,0,0,0,46.56500930741265
6,2,1,1,1,1,0,47.12330874590032
6,3,-1,1,1,0,0,47.18065405961861
1,2,0,1,1,1,1,54.40437616180402
4,2,0,1,1,1,0,46.88668318192564
4,2,0,1,1,1,1,50.74312410619666
4,1,0,0,0,1,0,46.83697789688751
4,3,0,1,0,1,0,47.45130769205754
5,3,0,0,1,0,1,51.718194297125095
0,3,0,0,0,1,1,52.38782400386116
4,2,0,0,0,1,1,53.50853975069916
-1,3,0,0,0,1,1,54.81596876951463
7,3,0,1,0,0,0,47.07456500784431
0,3,1,1,1,1,0,47.44549489932687
2,1,0,0,0,1,0,46.32411170716618
4,2,-1,0,1,1,1,54.344049675598725
4,3,0,0,1,0,0,46.744874297207325
3,3,0,1,1,1,1,53.95579586277466
7,2,1,0,1,0,1,54.65691956997009
4,4,0,0,0,1,1,52.444096980522126
3,3,0,1,0,1,1,51.879418386238974
2,3,0,1,0,1,1,53.05691908011317
3,3,0,0,1,1,1,52.570587125482135
0,2,0,1,1,0,1,55.85550199367125
6,1,0,0,0,1,0,46.67437180751714
2,3,0,0,1,1,1,52.934015578911726
2,2,0,1,0,1,0,47.89910432004108
3,2,0,0,0,1,0,47.31665110338835
2,2,0,1,0,1,0,46.79489977768799
0,2,0,1,1,1,0,46.84522656012093
0,3,0,0,1,0,1,54.8088887071674
0,3,1,1,1,1,1,52.94975184625349
9,3,0,1,0,1,1,53.49073393018056
1,2,0,1,1,1,0,48.45175335227479
1,3,0,1,1,0,0,47.439696647966834
4,2,0,1,0,1,0,45.86119787599728
4,2,0,0,1,1,1,53.10379597996496
4,3,0,1,0,0,1,51.66782538031828
3,2,0,1,1,1,1,54.78795000925558
6,2,0,0,1,0,0,47.08971069410435
4,3,0,0,0,1,1,50.40531752708898
4,2,1,1,1,0,0,47.36275354538611
5,3,1,0,1,0,1,51.46808820195334
6,3,0,1,1,1,1,53.70023041361305
3,2,0,0,1,1,0,46.94450929735153
1,2,0,1,1,1,0,47.36480173428064
5,2,0,1,1,1,1,52.62602592296072
1,3,1,1,1,1,0,45.787998169361295
2,3,0,1,0,0,0,47.65479922130002
4,2,0,0,0,1,1,52.85237680245934
3,3,0,1,1,1,1,53.49313266371455
4,1,0,0,1,1,0,47.767859595806485
5,3,0,1,1,1,1,53.41893898390423
4,2,0,0,0,1,0,47.627003034168055
4,3,0,1,0,1,0,47.028954003863966
5,2,0,1,0,0,0,45.77991015465776
5,2,0,1,1,1,1,51.38853430357347
3,2,0,1,0,1,1,52.47222687378573
5,1,0,1,0,0,0,46.49244172712256
6,2,0,0,1,1,0,48.17170115306171
2,2,0,1,1,0,0,47.62172721700976
0,3,0,1,0,1,1,54.11899685036164
3,2,1,1,1,0,1,52.2957362961286
6,3,0,0,0,1,1,51.42050511675619
4,2,0,1,0,1,1,52.53016776806879
4,2,0,1,1,1,0,48.779801681399405
5,3,0,1,0,1,0,47.934930857626206
2,3,0,1,1,1,1,53.4754606292048
2,3,0,1,1,1,1,53.34966556674102
5,2,0,0,1,1,1,53.555430539855095
5,2,0,0,1,0,1,52.18505731397446
2,3,0,0,1,1,0,49.39487057725157
-1,3,0,0,1,1,1,53.18871644137376
6,2,0,1,0,1,0,46.77991816426744
5,3,0,0,1,1,1,54.74800713161802
4,3,0,0,1,1,1,53.7952636570632
4,2,0,1,1,1,0,47.73203102793214
5,3,0,1,1,1,0,49.89151977655855
2,3,0,1,0,0,0,46.09354952138036
1,3,0,1,1,0,0,48.196938656431584
8,2,0,1,1,1,0,48.48521789587
5,3,0,1,1,1,1,53.56324788037962
6,3,0,1,0,1,0,45.04403928501898
3,2,0,1,1,1,0,48.06926346395508
2,2,0,0,1,1,0,46.94614864047295
2,3,0,1,1,1,1,54.6505251832342
0,2,1,1,0,0,0,45.52022438650288
5,2,0,0,1,0,1,53.3277601231304
0,2,0,1,1,1,0,48.17286270634369
1,3,0,0,1,1,0,49.93881476689473
0,3,0,1,0,1,1,51.24798666261528
6,3,0,1,1,1,1,53.26858251966553
4,2,0,1,1,1,0,47.77584819726919
-1,2,0,1,1,1,1,54.67003334671059
0,3,0,1,1,1,1,53.68488591434469
5,2,0,0,1,1,1,53.07546209748452
2,2,0,1,1,0,0,48.92119081862005
3,3,0,0,0,1,1,52.77956986635388
4,4,0,1,1,0,1,54.765544681611374
0,3,0,0,0,1,1,52.35569456315171
1,2,0,1,1,1,0,48.119353319857446
3,2,0,1,0,1,1,53.049111978573485
6,3,0,0,1,1,1,51.48624856710323
4,3,0,0,1,1,1,54.19517018012087
4,2,0,0,1,1,1,54.316694214309095
6,2,0,1,1,1,0,45.93608627317783
3,2,0,0,1,1,0,45.72379221167443
0,2,0,1,1,1,0,47.410998188578624
5,3,0,0,0,1,1,52.610341446099966
3,3,0,1,1,0,0,47.36201167480149
1,2,0,0,1,1,1,54.00523239290885
0,2,0,1,1,1,0,48.45371476533245
6,4,0,1,1,0,1,53.96344259191959
3,2,0,1,0,0,0,45.32946860693044
5,3,0,1,1,1,0,46.799808511028175
5,2,0,1,0,0,0,48.5473837828382
6,3,0,1,1,1,1,53.67571300554111
5,2,0,1,0,1,0,46.05805846009741
2,4,0,1,1,1,1,53.6858426715184
0,2,0,1,0,1,0,48.32383858243813
2,3,0,0,1,1,1,53.74759834458874
9,2,0,0,0,1,1,52.805914905862565
4,3,0,1,0,1,1,52.63315802323688
7,2,0,1,1,0,1,51.01486318887185
3,2,0,1,0,1,0,46.73544752062297
5,3,0,1,0,1,1,52.80051969876766
2,3,0,0,0,1,1,55.294182757192914
5,3,0,1,1,0,0,47.84855791618095
2,3,0,0,1,0,1,54.81325450952048
3,3,0,0,1,1,1,54.29186327269768
0,3,0,1,1,1,0,48.27146653055015
3,2,0,0,1,1,0,48.98238764474962
5,4,0,1,0,0,1,53.20279934059142
0,4,0,1,1,1,1,53.590538415870896
2,3,0,1,1,1,1,51.99930024834827
3,2,1,0,1,1,0,48.04598684297173
0,2,0,0,0,1,0,46.402785070307175
2,3,1,1,1,1,1,52.840842879899576
4,3,-1,0,1,0,1,53.64498261064848
3,2,0,1,0,1,1,52.935020396633966
3,2,0,0,1,1,1,53.62996556979574
4,3,0,1,0,0,1,50.53316776549512
4,2,-1,0,1,1,1,54.45720435890191
1,3,0,1,1,1,0,47.59658381443953
2,2,0,0,1,0,0,47.75673996780562
1,3,0,1,1,1,1,54.63925534813316
4,2,0,1,1,1,1,54.0751896334026
4,2,0,1,1,1,0,47.322555814858575
2,2,0,1,1,1,0,50.701036847717205
3,2,0,0,0,1,1,51.94135856833237
0,3,0,1,1,1,0,47.22112989257159
7,3,0,1,1,1,1,53.08613218742278
6,2,0,1,0,1,0,47.50698013249748
2,2,0,0,1,1,0,47.12666022090026
3,2,0,1,0,1,0,46.82179165489511
1,3,0,1,0,1,0,47.41436800755453
2,3,0,1,1,0,1,53.28091490548462
6,2,-1,1,1,1,0,45.83124927299561
3,2,0,1,0,1,1,52.33346560555614
4,3,0,1,1,0,1,53.98422430781349
3,1,0,0,1,0,0,47.839370154953286
7,2,0,1,1,1,1,52.76896412517072
0,3,0,0,0,1,0,47.00217074206677
2,2,0,0,0,0,0,48.213255445026746
1,3,0,1,0,0,0,48.15251600828767
7,3,1,1,1,0,1,52.653862123405005
4,3,0,0,1,1,1,52.178827741794976
5,2,0,0,1,1,1,53.42145374352223
5,2,0,1,1,0,1,52.26204298021943
7,2,0,1,1,1,0,46.81727238497269
8,3,0,1,1,1,1,53.62795473271551
7,3,0,0,0,0,1,51.94739813451609
3,3,0,0,1,1,1,54.33423309671861
0,2,0,1,0,0,0,49.38640540736201
5,3,0,0,1,1,1,55.16907645989933
10,3,0,1,1,1,1,54.5892084577133
4,2,0,1,1,0,0,47.53767867134365
3,3,0,1,1,1,1,52.9112142932842
4,3,0,1,1,1,0,46.35709359389827
8,4,0,1,0,1,0,44.567380959764165
0,3,0,1,1,1,0,46.63938036214643
2,2,1,1,0,1,0,47.447657364705165
4,1,0,1,0,0,0,46.26439898785657
3,2,0,1,1,1,1,52.15401254748613
1,3,0,1,1,0,0,50.09322027805967
5,2,0,1,1,1,1,53.75349838808189
4,2,0,1,1,1,0,46.57231974280937
6,2,0,1,1,1,0,48.706871391076575
4,2,1,0,0,0,0,47.24433313414827
5,3,0,1,0,1,1,52.20904092645019
5,2,0,1,1,1,1,52.9018254393809
1,3,0,1,0,0,0,47.00833915773447
3,2,0,0,1,1,1,54.38282467527803
6,3,0,0,1,0,1,53.13806539651971
0,2,0,1,1,1,0,49.24685958409725
5,2,0,1,0,1,0,46.39651846009126
0,2,0,0,1,1,1,54.249765978251645
3,3,0,1,1,1,1,54.6674712664306
1,2,0,1,0,1,1,53.27679882567341
11,2,0,0,0,0,1,52.647531014668914
5,4,1,1,1,1,0,45.884545693779735
3,3,0,0,0,0,1,52.00852184601321
1,3,1,0,1,1,1,54.54071423312712
2,3,1,1,0,1,1,52.47703539520276
5,3,-1,1,0,1,0,47.99389968255448
3,3,0,1,0,1,1,55.46560980593869
-2,3,0,1,1,1,0,47.33224304448676
2,2,0,0,0,1,1,54.06385762080076
2,2,0,1,1,0,0,46.1421969795529
5,2,1,1,0,1,0,48.51016519370826
2,2,0,0,1,1,1,54.92454840193095
-1,3,0,1,0,1,1,52.53692950813338
2,2,0,0,0,1,0,46.85219376962191
3,2,0,1,0,1,0,47.993573468963206
0,3,0,1,1,1,0,48.38853939853436
3,2,0,0,1,1,1,53.69441830847266
3,3,1,0,1,1,1,50.81443517383364
5,3,0,1,0,1,0,48.182607850421775
0,3,0,1,1,1,1,52.745823610036354
6,3,0,0,1,1,1,53.87815262375302
3,3,0,0,0,1,1,51.60725377168696
1,4,0,1,0,1,1,53.61749876198128
1,3,0,1,1,1,0,46.98012745542753
5,2,0,1,1,1,0,46.48797283562191
3,2,0,0,0,1,1,52.25266003236845
4,3,0,0,0,0,0,47.38832013505825
5,2,0,0,0,1,1,54.10133414791081
5,3,0,1,0,1,0,45.81863709016741
4,3,0,0,1,1,1,51.32630050732341
2,3,0,1,0,0,0,47.0980602324332
5,3,0,0,1,1,0,48.97286996022891
3,3,0,1,1,1,1,55.48404368020918
2,2,1,1,0,0,0,47.369831794226414
2,3,0,0,1,1,1,54.66635024768568
5,2,0,1,0,0,0,47.73885107926177
1,3,0,1,0,1,1,53.50810673987352
1,4,0,1,1,1,1,54.916528962743456
7,3,0,0,0,0,1,52.90371913670394
-1,3,1,1,1,1,1,54.35522629503616
1,3,0,1,0,0,1,51.35718223024467
6,2,0,1,1,1,0,48.61022862142556
6,2,0,1,1,0,0,46.78693673514402
5,1,0,1,0,1,0,48.45418079376846
3,2,0,1,0,0,0,47.14509311711799
3,4,0,0,1,1,1,53.43048152975432
3,2,-1,1,1,0,0,49.74436965815384
2,3,0,1,0,0,0,47.592702794388686
4,2,1,1,0,0,0,46.98554332220153
5,2,0,1,1,1,0,47.52903680450707
4,1,0,1,0,1,0,47.32382095018492
4,3,0,0,1,1,1,51.88939154115072
4,3,0,0,1,1,1,53.57151563436028
2,3,0,1,1,1,0,47.7632652354804
9,3,0,1,1,0,0,46.87628474976909
4,1,0,0,1,1,1,54.82533549594911
5,2,1,1,1,1,1,52.66811043822855
4,3,0,0,1,1,1,52.74886942065695
5,3,1,0,1,0,1,54.45044941930224
1,2,-1,1,1,1,0,48.36194593948199
1,3,0,0,1,1,1,53.08649854294322
4,2,-1,1,1,1,0,48.29216867754375
1,3,0,0,1,1,1,54.61225142660194
3,3,0,0,1,1,1,55.02698328483317
6,3,0,0,0,0,0,44.89962735219873
3,1,0,0,1,1,1,55.43270926823267
6,2,1,1,1,0,0,46.31733881279708
2,2,0,1,1,0,0,46.62448813817053
0,2,0,1,1,1,0,46.467239308109335
5,2,0,1,1,1,1,52.73861864223905
6,4,0,1,1,1,1,52.94873047938893
0,3,0,0,1,0,1,53.04622231372489
5,2,-1,0,1,1,1,53.64490497262758
4,2,0,1,1,1,1,54.02311768455476
1,3,0,0,1,1,0,48.22788383318669
0,2,0,0,1,0,0,48.496906348104766
2,2,0,1,1,1,0,48.15421859067784
1,4,0,1,1,1,0,47.175967058259324
0,3,0,1,0,1,0,46.88289182243196
5,3,0,1,0,1,1,52.35995566750951
1,2,0,1,1,1,0,49.37435510703689
5,3,0,1,0,0,1,50.96223043368165
1,1,0,0,0,1,0,47.54066637881574
7,3,0,0,1,0,1,53.22494185317377
5,1,0,0,1,1,0,47.057558483814
5,2,0,0,0,1,1,53.06511655747048
-1,2,0,0,1,1,1,53.14465205525018
0,2,0,1,0,1,0,45.869880259285424
4,2,0,1,0,1,1,52.21871696102508
0,3,1,1,0,1,0,46.62148074396193
4,3,0,1,1,1,1,53.563404246249405
5,3,0,1,1,1,1,52.95777699477251
4,2,0,0,1,1,1,53.7886798873457
3,3,1,0,0,0,1,51.55054949126964
3,1,0,1,0,0,0,45.70212512405736
8,2,0,1,1,1,1,51.749569794461145
3,3,0,0,1,0,1,53.43963071937519
2,2,0,0,1,1,1,55.13210418532362
3,2,0,1,1,1,1,52.6977713446552
1,3,0,1,1,1,1,55.15399303850344
4,3,0,1,1,1,0,47.92305675968458
3,2,0,1,0,1,0,46.67392532629573
5,2,0,0,0,0,1,51.26720951107537
5,3,0,1,0,1,1,52.68262273641681
2,3,0,0,1,1,1,54.4313346649973
6,3,0,0,1,1,1,54.13201011683137
5,3,0,1,1,1,1,53.99287890368135
3,3,0,1,1,1,0,49.70134164995613
2,4,0,1,1,1,1,51.45636400771919
5,2,0,1,0,0,0,48.47578741376101
4,3,1,0,1,0,1,53.199054292888405
3,2,0,1,1,1,0,48.71784608765092
1,3,1,0,1,1,1,52.30540922912375
1,3,0,1,1,0,0,47.50304602714444
3,2,0,1,1,1,1,53.19574212300909
7,2,0,1,1,0,0,45.876486293686334
4,3,0,1,0,1,0,46.905872269112045
4,3,0,0,1,1,1,53.72958049782045
10,3,0,1,1,1,1,52.68601530872166
4,2,0,1,1,0,0,47.43536352314162
6,2,0,1,1,1,0,45.56959794637212
5,2,1,1,1,1,0,46.6130805980033
3,3,0,1,0,1,0,47.41854656418855
3,4,0,1,1,1,1,51.58224954905436
3,3,0,0,0,1,1,54.62207707569055
1,2,0,1,1,0,0,48.90080752412341
1,2,0,0,1,1,1,54.08777607158403
0,2,0,0,0,1,0,45.10958752961902
0,3,0,0,1,0,1,52.59489806154755
5,2,0,1,1,1,0,46.993537172799726
8,3,0,0,0,0,1,52.26409443420189
6,2,0,1,1,1,0,46.883107671115525
3,3,-1,1,0,0,0,45.83978109355071
2,3,0,1,1,1,0,47.47309904671848
6,2,0,0,1,0,0,46.55384298413392
0,3,0,1,1,0,0,46.82800535006933
5,2,0,1,1,1,0,48.2314776943259
