age,income,education_years,household_size,previous_loan_count,homeowner_status,rural_residence,credit_card_access,annual_spending
17,25,4,15,2,0,0,1,82.31786366024323
24,28,7,12,3,1,1,1,86.0307286646679
35,23,6,7,1,0,1,0,82.0752028144279
31,19,11,18,2,1,1,0,89.14488454692247
11,22,6,17,1,1,1,1,80.10568133949688
17,28,6,21,1,1,1,0,83.00893219121451
12,32,4,12,1,1,0,0,70.27443130750032
43,22,6,12,1,1,1,1,98.25697673798568
16,29,8,20,2,0,0,1,86.65323297901834
12,19,8,15,1,1,1,0,71.25798859714459
30,21,9,20,2,0,0,1,95.5116206249078
21,25,10,7,1,1,0,0,70.86998004665747
17,24,3,19,2,0,1,1,84.8293060007938
29,27,4,19,2,1,0,0,86.47728282214356
17,23,4,12,1,1,0,1,83.23108345406757
45,18,3,7,2,1,0,1,95.4548005178332
28,22,4,18,1,0,1,1,92.7003434522551
28,15,4,22,1,1,0,1,97.77743183643422
33,31,3,12,2,0,1,1,91.37967353421432
26,17,6,11,1,1,1,0,77.946190662286
25,23,4,21,2,0,1,1,94.65520161848605
18,23,3,18,1,0,0,1,84.01449834334434
25,28,3,15,3,1,0,0,82.59944307194523
13,18,7,14,2,1,1,0,70.91335154459553
31,30,5,13,2,1,1,1,92.31492085169415
37,18,10,16,2,0,1,0,90.46821486628116
12,23,3,9,3,1,1,1,76.26605745590686
25,24,2,18,3,0,1,0,82.53146071893231
27,22,5,16,1,0,1,1,89.71155057616113
21,22,5,13,3,0,1,0,75.30868720018398
36,23,4,20,1,0,1,1,99.29825231929888
15,23,5,15,2,0,1,0,73.17579162537727
13,27,8,13,1,1,1,1,80.60885822818118
35,28,6,21,1,1,1,0,93.8575706803239
23,20,8,17,3,0,1,0,82.34997739899217
25,23,2,13,2,0,1,0,78.28806950791474
-10,23,5,9,0,1,1,1,59.88583317775373
48,25,4,16,1,1,1,1,105.78374200900784
40,25,7,18,1,0,0,0,93.91064228366878
7,20,2,7,1,1,1,1,69.07620023235309
9,26,7,10,2,1,0,1,74.24618097706893
36,26,8,17,2,1,0,1,98.50415950148842
16,27,7,12,2,0,0,1,78.59654951946689
20,23,2,17,1,0,1,0,78.63765295305512
27,24,7,16,2,1,1,1,93.65314368690164
23,29,7,10,2,1,0,1,84.42042878946593
31,22,8,18,1,0,1,0,87.41327170447023
37,19,3,19,2,0,1,0,91.0216600511439
10,24,4,23,2,1,1,0,77.66095288272683
6,23,11,12,0,1,0,0,64.30985215643415
34,17,4,23,1,0,0,0,95.78470391218524
38,27,5,12,1,0,1,1,95.60715486525808
16,28,2,23,2,1,0,1,89.78093516374142
24,24,5,16,3,1,1,0,80.67351642207485
23,22,6,23,1,0,0,0,85.58157891862282
39,23,3,24,2,1,0,1,106.14733838359516
30,22,6,20,1,1,1,0,90.73437265960986
37,20,6,19,0,1,0,0,93.38137600078709
16,25,6,24,0,1,0,1,90.65622895599525
28,27,7,18,1,0,0,1,93.69072808894192
23,26,6,22,2,1,1,0,86.57197163146267
19,25,11,12,2,1,1,1,83.96646477793226
25,17,8,7,2,0,1,1,81.74970409875547
18,23,0,14,1,0,1,0,72.5947743329645
20,17,2,15,0,1,1,1,85.94285309433914
22,29,7,16,0,1,1,0,80.30897302528732
39,23,7,15,2,1,0,1,98.0915758791646
25,27,5,26,3,0,0,0,91.31381568149722
21,28,6,13,2,1,0,0,77.77916703198376
23,22,3,24,0,0,1,1,93.50862202923196
30,25,5,7,1,1,1,0,76.86645339204098
21,17,5,14,1,1,1,1,84.64313710008817
30,25,6,17,0,1,1,1,93.04448746161252
2,28,8,16,2,1,1,0,66.57113177196928
29,23,6,18,2,0,1,0,86.03805981288764
12,21,8,21,0,1,0,0,77.81287869053149
31,25,7,15,3,0,1,1,93.49850817296122
24,30,7,13,2,1,0,1,87.7029672182734
18,23,9,15,1,0,0,1,83.46500887785305
28,22,6,19,2,1,0,1,96.476172705083
11,18,7,24,2,1,1,0,79.07351653827956
26,26,7,15,1,1,0,0,81.85598215373321
32,25,8,16,3,1,0,0,87.35359324633421
35,26,2,9,2,1,1,1,91.03248209109496
14,16,3,18,0,1,1,1,83.78024007321409
33,24,6,16,1,1,1,0,88.83416394214329
23,28,7,8,0,1,1,0,74.44954150679567
17,30,3,19,2,0,1,1,84.71423184088977
11,19,6,10,2,1,1,1,75.26805595304498
23,23,6,10,3,1,1,1,84.11614533521985
13,28,7,13,3,1,1,1,80.4329189901317
26,20,8,12,3,1,1,0,81.63794960010165
20,16,3,10,1,0,1,0,71.85196737302086
19,14,8,12,1,0,0,1,81.86328471670863
23,19,6,11,1,1,1,1,84.56515278714015
32,26,7,17,0,0,0,0,88.12385686421982
25,20,4,8,3,0,1,1,83.17860635296856
20,17,4,11,1,1,0,1,82.8848097751611
36,20,4,11,1,1,1,1,91.76896522566972
32,25,7,13,2,1,1,1,93.65240364854176
24,22,8,20,0,1,1,1,91.78959179072464
12,20,3,10,3,1,1,0,67.90059006154306
23,28,3,15,2,1,1,1,87.8970747885794
14,27,4,18,2,0,0,0,75.19787062962442
30,17,2,19,0,1,1,1,95.32155005024606
39,28,7,10,2,1,1,0,89.03967112611586
34,23,3,17,2,1,1,1,97.6312094679918
45,24,9,27,3,1,1,1,113.30078412850908
33,16,8,16,2,0,1,1,95.54675214646517
9,25,5,15,1,1,1,1,77.83989416518858
11,22,7,12,2,1,1,0,71.26240113512024
33,21,6,10,2,1,1,1,90.86503550595889
24,29,11,17,2,0,0,1,89.16967187174018
27,36,6,15,2,1,1,1,94.14361888693306
23,28,9,18,2,1,1,1,89.64267288887088
31,27,10,8,3,0,0,1,87.19252557990805
27,31,3,16,2,1,0,0,83.76189642200818
28,30,2,19,0,1,0,1,94.41004567613253
31,22,7,21,2,1,1,1,98.11829147421032
28,19,7,4,2,0,0,0,75.07322117999956
7,21,7,20,2,0,1,1,79.65481279687472
28,27,9,11,3,1,1,0,79.71093468954871
34,26,7,19,0,0,1,1,97.82760365955548
39,30,4,12,1,1,0,1,96.47046049133569
14,18,5,15,1,1,1,0,71.18844745992814
23,20,5,16,2,0,1,1,89.05231447630054
29,28,2,19,0,0,0,1,94.23510173779198
8,26,6,10,1,1,1,0,66.3903906539865
30,28,7,12,0,1,1,1,90.25498026321284
21,24,4,10,0,1,1,1,83.32640710487424
17,27,6,18,2,1,0,0,79.32913755900972
27,30,11,18,2,1,0,0,84.9423416421374
22,32,6,19,0,1,0,0,82.40729348871298
26,24,7,14,1,0,1,0,81.26284922436348
37,28,7,16,3,1,1,1,98.88199069764988
35,22,4,12,1,1,1,1,94.53486960393892
34,27,2,10,1,1,1,0,84.48174427384295
40,30,7,12,1,1,1,1,99.18429528640888
16,23,7,15,0,1,1,0,77.11244517173259
40,27,7,20,4,0,0,0,96.702147696591
28,26,10,21,3,0,1,0,88.76982662645392
28,23,7,22,2,0,0,1,95.9238910183451
25,26,5,19,0,1,1,1,92.44580645704322
18,20,9,18,2,1,1,1,87.8945937999242
14,28,5,18,2,0,0,1,83.57064910977262
24,22,6,18,3,0,1,1,89.15004512081205
27,23,4,16,1,1,0,0,82.12973212270502
17,23,2,16,2,0,1,0,76.26379254183803
13,24,7,22,1,0,1,0,78.6239116571085
39,26,7,19,2,1,1,0,95.42802496375006
16,19,8,13,3,1,1,0,73.62364319633777
19,24,6,16,2,1,0,1,85.90114321464789
33,22,5,15,1,0,1,1,94.8225313090089
28,30,6,25,2,1,1,0,91.6201016093758
38,20,10,8,2,0,1,1,91.37562749252308
32,11,6,16,1,1,1,0,87.5437837864031
2,23,5,28,1,1,0,1,84.05568440487292
54,25,8,15,1,0,1,0,99.88182095599976
36,22,4,19,1,0,1,1,99.84330557585658
24,22,3,14,1,1,1,1,87.76761604323295
21,26,3,14,2,1,0,0,77.8649540229372
29,19,5,22,1,0,1,0,86.70121150473213
18,22,1,13,1,1,1,1,83.6295527127525
27,21,5,19,2,1,0,1,93.0783640597011
35,24,3,15,0,1,1,0,89.0241875122213
27,26,5,19,2,0,1,1,93.0764270407528
32,21,8,24,1,1,1,0,94.79395956225676
18,21,4,17,3,1,1,0,78.06189485678742
23,19,0,12,2,0,0,1,82.92449505378033
27,25,7,10,2,1,1,1,87.19982017575633
30,20,7,22,1,1,0,1,97.97481478399084
27,23,5,17,2,1,1,0,82.8863210045686
17,24,4,20,0,1,1,0,78.55169167033887
24,22,5,14,2,1,0,1,88.0323519774676
26,22,1,19,1,1,1,1,94.26829285289456
39,24,8,18,1,1,1,0,92.59291542230562
4,27,5,15,2,1,1,1,75.06216190703127
34,21,8,16,0,1,1,0,87.7032928368455
31,19,1,11,2,1,1,1,91.00144935476936
18,22,4,13,4,1,0,1,82.1045768980229
9,25,9,1,0,0,0,1,66.71371624478485
15,23,1,11,1,1,1,1,79.52873145853863
15,26,4,20,3,1,1,0,78.965346118483
13,24,4,13,0,1,1,1,78.30705051627625
17,21,7,19,2,1,0,1,86.78623155814009
23,24,8,21,0,1,1,0,84.72317578979734
23,21,4,13,2,1,1,0,79.28289531440191
26,19,6,23,3,1,0,0,89.04708097203309
15,30,4,16,0,1,0,0,75.85454890395292
34,25,3,14,1,1,0,0,85.26051055679895
42,24,1,17,2,0,1,0,94.265137231981
38,21,8,15,0,1,1,1,98.31579605434624
27,19,6,22,1,0,0,0,85.46741673573277
3,26,8,20,2,0,1,1,76.40115835954123
30,25,6,18,3,1,0,1,95.48628382794406
16,23,4,14,1,1,1,1,81.9952340696635
27,24,4,21,2,1,1,0,87.6434240150744
32,17,5,13,3,1,1,0,84.47643062111807
17,26,7,12,3,0,1,0,72.43616108582027
34,25,3,9,2,1,1,0,83.4284845103826
31,23,7,10,1,1,1,0,82.35515635263421
23,25,5,17,2,0,1,1,90.71105740254887
31,19,3,13,3,1,0,1,92.21481691099407
37,21,4,13,2,1,1,0,89.04965495310836
27,26,8,12,2,1,1,0,80.58174523980902
11,22,5,20,1,1,0,0,75.24535398898134
20,23,9,18,2,0,0,0,80.89886775281362
31,20,3,20,1,1,1,0,88.92089161397354
11,22,9,16,3,0,1,0,72.20998135972998
20,19,6,18,1,1,0,0,80.50205863264921
23,29,8,19,2,1,1,0,82.86866799582766
34,27,5,12,2,0,1,1,90.65196634594736
38,19,8,14,0,0,1,1,97.34643660817746
15,24,3,15,1,0,0,1,83.25935264269059
23,26,6,15,2,1,1,0,78.91409945589959
24,26,3,12,1,1,1,0,80.06508153293215
18,24,6,19,2,1,1,0,80.14401808521234
21,27,8,15,3,1,1,1,89.76800482187106
17,29,3,14,2,1,1,0,73.38319647229942
39,19,5,26,0,1,1,0,98.83631084621048
20,24,5,14,1,0,0,0,76.59188141943442
29,29,8,10,2,1,0,1,89.73655471533388
33,26,10,24,0,1,1,0,95.66332274179824
40,22,9,27,0,1,0,1,109.48771524780886
33,24,7,14,1,0,1,0,86.3815273918982
24,23,8,9,1,1,1,0,76.6828692100953
15,27,7,18,1,0,0,0,78.17699244633968
28,25,8,20,2,0,1,0,87.18326738298279
2,26,4,13,0,1,1,1,71.3464181291777
19,25,6,13,2,1,1,0,77.01875546956289
29,18,6,15,3,0,0,1,90.90718050152974
29,23,3,24,4,1,1,0,91.08830684470912
15,16,10,18,1,1,1,0,75.62196021749327
12,22,8,15,0,0,1,1,81.08027942709815
25,19,9,18,2,0,0,0,82.37197499614612
27,27,8,19,2,1,1,0,86.76136976741563
32,21,7,23,0,1,0,1,100.0146709209725
32,20,4,6,3,1,1,1,87.80211190156554
25,24,5,17,3,1,1,0,83.82110444070429
18,26,9,14,3,1,1,1,85.90520278700888
29,20,5,8,2,0,1,1,86.12067281967673
33,23,3,13,2,1,1,1,93.1315141025056
23,20,7,22,0,0,0,1,92.77365149316756
28,25,4,19,2,1,1,0,88.13290040745898
18,20,3,19,3,1,1,0,79.82729884509169
26,28,6,21,0,0,1,1,92.90386515402903
26,27,5,14,0,0,0,0,80.84739583812598
22,21,6,8,1,0,0,1,82.28442493166274
32,25,7,8,1,1,1,1,87.45821817973996
26,22,7,12,2,0,0,1,86.91533034675278
28,26,5,16,2,1,0,1,91.4488770473322
28,18,9,10,1,1,1,1,88.50843555208867
14,19,3,16,3,1,1,1,81.585890027854
13,19,6,12,1,1,1,0,70.35531096974798
21,25,7,13,3,1,1,1,86.44054966435883
17,31,7,19,1,1,1,1,87.50118938160469
34,23,4,17,1,1,1,1,99.29615891284377
17,28,2,23,2,1,1,1,88.9769465940656
19,20,11,16,2,1,1,0,79.1007856088759
6,31,5,18,1,0,1,1,77.6846534742464
30,28,8,22,2,1,1,0,90.48010681476585
37,21,6,14,3,1,1,0,89.43442186722949
18,22,0,14,0,0,1,1,80.40983529240873
49,27,6,10,4,0,1,1,102.00295911873528
30,25,2,17,1,1,0,1,94.5750186764512
6,18,6,26,1,1,0,1,83.44291546511514
22,21,5,10,1,1,1,1,83.34127673219548
4,28,10,9,3,0,1,0,61.903987746281466
36,22,6,25,3,0,1,0,96.0768961139042
12,22,2,22,1,1,0,1,86.3513177419254
34,14,8,16,4,1,1,0,88.98886784973487
36,22,8,18,2,1,0,1,99.77050287282522
31,23,3,13,3,0,1,1,92.03669676066876
27,27,6,17,0,1,0,0,85.4343380952527
28,21,7,15,2,1,1,0,83.02990247160466
23,21,5,24,3,1,1,1,97.6106549396068
39,36,6,20,2,0,0,0,93.77760825256134
17,28,7,13,2,1,1,1,81.62804253568814
28,22,5,13,2,0,1,0,80.11537916869173
40,21,10,14,2,0,1,0,91.4430667639886
23,24,7,17,2,0,1,1,87.56447612797379
20,28,7,11,3,0,1,1,83.16153601050355
18,24,8,17,3,0,0,1,84.67414581673324
30,17,5,22,1,1,0,1,98.39834182484236
30,29,6,12,3,0,1,0,81.23082873819268
15,17,8,13,2,0,1,0,74.13472151300397
28,27,2,17,1,1,1,0,84.26721986922118
24,24,5,13,2,1,0,1,90.01691108063935
25,26,6,25,1,1,1,0,90.72729676455472
21,28,5,15,0,1,1,1,85.12070313856466
22,33,7,11,2,0,1,0,75.16334137839961
25,25,6,8,1,1,0,0,76.12516765597266
32,25,8,16,0,0,1,0,86.78520788961778
38,19,6,9,1,0,0,0,84.91665335250269
29,17,4,15,2,1,1,1,91.70709656818022
26,27,6,8,2,1,1,1,83.84121758760159
26,21,2,15,1,0,0,1,86.17458115715075
50,25,5,15,2,0,1,1,105.47013713387985
23,23,2,14,0,1,1,1,86.27968674980974
30,25,8,19,1,0,1,1,95.4332360414925
16,20,5,25,0,1,0,0,82.3286039767338
36,30,8,22,0,0,1,0,94.34065688495036
19,22,10,17,1,1,1,1,87.67463164583216
29,21,3,17,1,1,1,1,91.61312132881886
23,22,5,26,0,1,0,1,96.50285986310568
27,23,6,25,0,0,1,1,96.56838813853416
21,19,5,10,1,0,1,0,74.13964188734717
16,25,8,10,0,1,1,1,78.78155478946934
15,23,8,10,2,0,1,1,77.86016086424488
21,27,4,21,2,1,1,0,83.31545818307661
22,22,5,16,1,1,0,1,87.65367975749749
29,21,8,24,3,0,0,1,98.31357134139088
27,28,10,16,3,0,1,1,91.87190822118248
37,24,5,11,2,1,0,1,92.84309676994904
11,23,2,20,1,1,0,0,75.32825612875519
33,29,7,6,3,1,0,0,81.95587308035496
19,22,7,24,1,1,1,0,84.3476152675503
22,27,2,16,1,0,1,1,86.02120035959335
34,28,9,20,0,1,1,0,91.6069824372752
31,19,1,18,2,1,0,0,87.60327103556645
24,23,4,19,1,1,1,0,83.54959184930021
20,26,8,21,0,1,1,0,83.22678218794418
6,22,2,14,2,0,1,1,74.61666466720716
31,19,6,10,1,1,1,1,89.07668803529907
19,21,6,14,3,0,1,1,84.71864899543583
15,20,6,23,1,0,0,0,80.45636182427555
5,26,5,18,2,1,1,0,71.34026077327775
24,32,7,9,0,1,1,1,83.27892238021703
26,22,4,23,0,0,0,0,88.06289618828005
34,29,6,15,1,1,1,0,86.58962315166221
18,24,5,11,2,0,1,1,79.2564778293964
33,24,5,19,0,0,1,1,95.48717544229372
25,26,4,20,2,0,1,1,90.96529067520788
21,24,5,18,3,1,1,0,81.67131050458754
24,18,6,13,2,1,0,1,88.32772607652565
15,26,2,21,2,1,1,0,77.86794323953656
20,25,5,23,1,1,0,0,85.1789000933939
37,26,5,6,0,1,1,1,89.27225452850773
5,21,7,17,1,1,1,1,76.40643536385942
23,21,3,12,3,0,1,0,76.8997895568392
13,25,5,13,1,1,1,0,72.36620526210046
32,32,5,24,0,0,1,0,92.65198744418124
24,16,7,23,2,1,1,1,94.22331139904048
26,22,3,16,1,0,0,1,89.38442766341258
25,28,8,15,2,1,1,0,82.64219330409436
21,26,8,13,2,1,1,1,84.70932871120122
30,23,5,15,3,1,1,0,85.93671592487014
10,17,3,20,0,1,1,0,74.10657313880262
21,27,3,12,1,1,1,1,83.00436304573427
37,21,5,22,0,1,0,1,102.05781066428553
18,26,3,11,2,1,0,1,81.38520937824912
28,23,10,12,3,1,0,1,88.1333196400358
28,28,5,11,1,0,1,1,88.4473900800096
48,14,4,18,3,0,1,0,97.42563724399936
0,26,5,17,2,0,1,0,65.46523523564211
12,17,6,16,2,1,0,0,72.95304789613299
25,21,6,17,2,0,1,0,81.73950067011025
32,23,8,20,2,1,1,0,90.6893060619343
42,18,5,20,0,1,1,0,97.02809605858974
32,24,3,23,1,0,0,1,100.92054322744204
24,15,9,2,1,1,1,1,78.56443697579364
14,29,3,15,3,0,1,1,81.25509518858289
36,16,6,11,2,1,1,1,94.03660166003328
29,20,9,13,3,0,0,1,89.60959985550595
38,25,7,12,3,1,1,1,97.53859178098271
18,24,3,18,2,1,1,0,80.65852979549092
39,25,8,13,2,0,1,1,98.55566214914434
27,26,7,15,0,0,1,0,80.7621715247814
23,17,9,16,2,1,1,0,81.64798842506876
23,20,8,22,0,1,1,1,94.21103604527477
6,31,5,7,2,0,1,1,69.00131242225514
8,24,7,21,1,1,0,1,82.00272219493375
23,16,3,23,1,0,1,0,84.9413577161921
14,14,8,16,0,1,1,1,81.90532478410856
28,18,7,14,1,1,0,0,80.03462659213207
21,26,9,16,3,1,1,0,78.38708636317551
12,26,3,27,2,1,1,0,82.34882325266423
-7,26,6,12,2,1,1,0,57.163286318081695
20,29,3,21,1,0,1,0,80.31426222658978
14,16,3,22,2,1,1,1,87.67010163386458
25,24,2,9,1,1,0,1,84.01806449121386
25,23,5,14,2,0,0,1,86.93487327401878
31,30,3,7,1,1,1,0,80.75653019189966
25,20,3,19,2,1,0,1,92.86725151910233
32,30,5,17,1,0,1,0,88.84652959383367
30,23,9,19,2,1,1,0,90.98601266612758
31,18,1,18,2,1,1,1,97.77494013187712
17,23,7,19,3,1,0,0,79.55186678061175
30,15,7,10,3,0,1,1,87.84236688512752
38,28,4,20,0,1,0,1,102.9723952137323
31,28,2,12,1,1,1,0,84.08988053431378
13,28,4,11,3,1,1,1,78.9465220954139
27,17,7,9,0,0,0,1,85.39492273397575
29,24,8,17,2,1,1,1,94.30977453552237
22,22,4,10,1,0,1,0,72.72766623042946
10,25,5,15,1,1,0,0,69.48523095619082
26,28,9,26,2,0,1,0,89.93976076652245
41,26,6,21,0,0,1,1,102.7284412244766
23,23,11,13,0,1,0,0,79.27933740091208
36,17,5,19,0,0,0,0,90.30957626199472
35,26,7,19,2,1,1,1,99.83624983579176
34,27,4,14,2,1,1,0,87.73420668864235
29,26,6,13,2,1,1,1,91.20367158540267
28,28,11,19,1,1,1,0,87.64583134067
50,20,3,19,1,1,0,0,100.59184228532662
6,26,4,7,1,1,0,1,69.22612269235105
22,21,2,11,1,0,1,1,82.76055881956032
28,22,3,16,1,1,1,0,85.81915153111952
30,24,5,14,2,0,1,0,81.82754306910573
43,18,5,20,1,0,0,1,104.96345856817588
20,23,9,16,1,0,0,1,84.66192571979036
15,34,7,20,1,0,1,1,84.92385781692322
25,28,8,16,1,1,1,0,79.7265587913944
10,27,7,15,2,1,0,1,80.0957374705735
28,23,6,9,1,0,0,0,77.6722130232862
32,16,5,21,0,0,1,0,89.34162950336506
47,15,4,19,3,1,1,0,99.1720098472328
38,18,5,13,3,0,1,1,96.53266900489378
37,20,4,22,1,1,1,0,96.03200805323564
26,16,2,15,2,1,0,1,90.4790621363454
22,17,2,20,2,0,1,0,83.074507103302
32,19,5,18,0,0,1,0,86.57560526151758
32,17,5,9,1,1,0,1,89.57161602001368
3,21,4,6,0,0,1,1,64.77687977926917
17,25,5,16,3,0,1,1,83.8314934207011
9,27,5,19,1,1,0,0,75.59104862532065
29,26,1,18,0,1,1,1,94.0799013440517
26,21,2,14,3,0,1,0,80.90979334110398
11,18,7,16,1,1,1,0,72.5300776759359
30,24,7,25,1,1,1,1,102.4635408047206
3,20,3,12,1,1,0,0,64.72497685050362
43,26,1,18,1,1,0,1,104.67907263014686
22,19,4,20,1,1,1,1,89.64361663588735
24,27,6,11,2,0,1,1,84.83760844090489
33,31,7,15,3,0,1,1,96.35304147847356
35,26,5,23,2,1,1,1,102.90202776530823
30,25,7,23,1,1,0,0,92.42783851969088
1,33,1,17,1,0,1,1,74.005808737694
34,25,8,18,0,0,0,1,95.37121858637174
23,28,6,14,2,1,1,0,79.35419117110794
22,19,6,11,0,1,1,1,83.72422030327698
14,23,7,13,1,0,1,1,78.42533998640221
20,23,6,18,3,1,1,1,88.7517926840429
22,21,5,18,2,0,1,0,78.86993976499963
31,32,4,18,1,1,1,1,95.28600731549604
20,16,5,18,0,1,0,1,86.4921517351992
20,27,5,15,1,0,0,1,83.8978937684235
38,21,0,18,1,1,1,1,100.22645854391632
37,23,4,6,1,0,0,1,88.54231861545313
-9,24,8,15,2,1,0,1,65.60028314170418
37,21,6,11,2,1,0,1,93.51664034083468
31,26,8,19,2,1,1,1,96.96241248348092
20,28,12,14,1,1,1,1,84.73294415639035
29,26,5,16,2,1,1,1,93.14648090716328
34,15,4,22,1,0,0,1,99.89869441144504
27,25,6,19,2,0,0,1,92.16308770967166
29,23,4,22,1,1,0,1,97.27809941053188
25,26,3,12,3,0,1,1,86.895134875572
32,26,5,11,0,0,1,1,90.63461999904295
17,12,6,14,1,0,1,0,75.03409344622995
33,25,5,14,1,0,1,0,86.58328510233979
25,18,5,17,0,0,0,0,81.6491970332501
28,27,5,17,3,1,0,0,86.25429701503863
35,31,4,13,2,0,1,1,96.08379829905196
48,23,10,12,2,1,0,1,101.91352502940192
27,23,6,11,0,1,1,1,86.6918733220102
18,27,5,20,2,0,1,1,87.75414416587583
29,22,7,16,2,0,1,1,91.7110154834965
16,30,7,19,2,1,1,0,77.88919289859932
14,20,7,15,0,0,0,1,80.80624739056962
22,22,3,9,1,0,1,1,82.57133416526116
31,18,6,13,2,1,1,0,82.34283188713462
37,24,4,16,1,0,1,0,87.36922811133344
25,25,6,19,1,0,1,0,83.70593208566746
28,25,4,14,0,1,1,0,80.51452376945963
31,27,7,18,1,1,1,0,89.34089323535355
37,23,6,12,0,1,1,1,95.19902912953393
33,24,2,13,0,0,1,0,84.12801747318869
28,18,3,14,1,1,0,1,89.9038943512984
7,24,6,22,1,1,0,0,72.6489818902419
31,19,5,20,1,1,0,1,97.40211881623856
39,24,6,17,2,0,1,1,101.75216009062474
-1,18,7,12,3,1,0,0,59.025186523822896
27,26,5,18,1,1,0,0,84.17458988852255
37,29,4,15,1,1,1,1,95.6693466071464
22,15,8,15,1,1,1,1,88.14460862403024
15,28,6,19,0,1,0,0,76.3933957860197
11,24,4,10,1,0,1,0,66.921153124148
17,23,7,10,1,0,1,1,77.34058026739824
20,22,0,17,0,0,1,1,84.70733075057387
12,27,6,14,1,1,1,1,79.17104431238293
15,25,5,12,2,1,1,1,80.91455516562463
38,21,8,4,2,0,1,1,90.1047990375755
29,24,7,16,0,1,0,1,93.0806778549651
28,27,6,17,0,1,1,1,91.44241150880896
13,22,7,16,1,0,0,0,72.42328857314104
12,25,1,16,3,1,1,0,73.03455662996006
38,23,3,18,2,0,0,0,91.90339574806016
37,27,4,17,2,1,1,0,90.47709212018871
38,17,6,17,3,1,1,0,91.94166718651732
17,22,7,20,2,0,0,0,78.89941388274066
21,21,5,21,2,0,0,0,82.3515763467689
31,20,2,26,1,1,1,0,93.45792876738544
19,20,4,14,3,1,1,1,84.56037874264982
30,20,8,23,1,1,1,1,99.4879128687653
20,18,3,15,1,1,1,1,84.76263457434237
4,30,7,16,1,0,0,0,67.5929679245199
22,20,2,13,1,1,1,0,77.25012195307227
-2,21,7,8,0,0,0,1,63.79141123341397
31,29,6,15,2,0,1,0,85.97584107124449
12,24,7,25,3,1,1,0,81.13044859687436
15,22,4,12,1,0,1,0,69.9068557441569
23,21,8,17,1,1,0,0,80.06854803605523
29,24,8,13,1,1,1,0,83.21547914902543
28,25,8,23,1,0,0,0,88.25847440956615
42,17,5,14,2,0,1,1,99.50771944814416
24,32,7,17,3,1,0,0,84.22689524269839
24,23,6,21,2,1,1,0,87.28107483891354
34,22,8,15,3,1,1,1,95.28490953128188
12,21,3,11,2,0,1,1,77.7836664056107
27,20,4,12,1,0,0,1,85.59229881643152
20,28,6,19,2,0,1,1,86.6980687439204
31,27,9,12,4,1,0,1,90.71996583462958
26,28,2,12,2,0,1,0,78.61493402203529
11,26,12,11,3,1,0,0,70.27403952253218
27,22,8,7,2,1,0,1,86.13138423833487
20,22,8,14,1,0,0,0,75.54935547074912
26,27,5,23,0,1,1,0,89.78167380844472
22,24,8,8,2,1,0,0,73.82970810493707
14,19,6,22,2,1,1,0,79.95176770439356
