parent_education_years,baseline_gpa,low_income_status,english_language_learner,invited_to_college_readiness_program,participated_in_college_readiness_program,final_exam_score
4,3,0,0,1,1,55.06934802309583
4,3,0,0,1,1,53.39209015662008
4,2,0,0,1,1,53.84770234124499
3,2,0,1,1,1,55.18728838688173
3,1,1,0,1,0,46.97418504774976
1,3,0,1,0,0,45.45191649882479
4,2,0,1,1,0,44.53947341540896
5,2,1,0,1,0,43.80105428019083
5,2,0,1,1,1,54.83159034226365
5,2,0,0,0,1,55.06099641459308
2,2,0,0,0,1,54.9193978196546
2,3,0,0,1,1,54.83601992075859
3,4,1,0,1,1,53.59967204389648
4,2,1,0,1,1,53.67609081013698
2,3,0,1,1,1,54.409846807945534
2,2,1,1,1,1,54.79877376239679
1,3,0,0,1,1,55.89591200743914
6,3,0,1,1,1,52.09513376653628
1,2,0,1,1,0,44.34571479924377
4,2,0,0,1,1,54.33809910873336
6,3,0,0,1,1,54.332649162690565
1,2,1,0,1,1,56.5310077471166
2,2,0,1,1,0,45.331545399125226
3,3,1,0,1,1,54.091107251482526
7,4,0,1,1,1,53.790702540261215
0,3,1,0,1,1,55.07228765754374
5,2,1,1,1,0,44.35305049533034
5,2,1,1,1,0,44.112595054951655
4,2,1,0,0,0,47.24114654964141
0,2,0,1,1,1,55.00053157243694
7,2,0,0,0,0,43.56042264070527
6,2,1,0,0,0,42.912239787414975
5,3,1,0,0,0,43.52963109424537
2,3,0,0,0,0,46.92142877266964
4,2,0,1,0,0,45.61560877093995
3,3,0,0,1,1,54.65838117908325
3,3,0,0,0,1,54.68164584557109
5,3,0,0,1,1,53.17776610922172
0,3,0,1,1,1,54.8163335795474
6,3,0,1,0,0,43.98500547748864
7,3,1,0,0,0,43.22205368632336
5,2,1,0,1,1,51.905650175849935
3,1,1,1,1,0,47.18572939712733
0,4,1,1,1,1,54.42689475978554
4,3,0,1,1,1,54.11421547232817
1,2,0,0,1,1,56.04734152195636
9,3,1,1,1,0,41.76805212417943
3,3,0,1,0,1,53.98002621752236
4,3,0,0,1,0,45.29106490877409
0,3,0,0,1,0,47.19622772091623
3,2,1,0,1,0,44.73441836134479
6,2,1,1,0,0,42.5660071672924
0,3,0,1,0,1,53.928675248503424
2,3,1,0,1,1,53.62077808880768
8,3,1,0,0,0,43.03498695122068
2,2,0,1,0,1,53.77520527205796
4,3,0,1,1,1,54.93533943157632
2,3,1,1,1,1,53.85042582879119
2,2,0,1,1,0,47.4303597548891
3,3,1,1,0,0,46.55473752570951
2,1,0,1,1,0,46.03625323489493
3,3,0,0,1,1,55.88290435181888
2,2,0,1,1,1,55.12296366279269
1,3,0,0,1,1,55.15668709476688
5,1,0,0,0,0,46.81129274131437
1,3,0,0,0,0,46.53392534001579
9,3,0,1,0,0,42.54798884486213
3,2,0,0,1,0,44.66363928227072
1,3,0,0,1,1,54.11956910669576
1,3,0,0,0,0,48.523509163154365
5,3,0,0,0,1,54.18311290895525
9,2,0,0,0,0,42.97735820935783
6,2,0,0,1,1,52.439768861307385
1,2,1,0,1,0,46.02182996143698
1,2,1,0,1,0,46.8804638325168
1,2,1,0,1,1,55.762004005584345
6,3,0,0,1,1,52.76835546211903
3,2,0,0,0,1,53.6367737340339
0,2,0,0,1,1,56.02447861046916
1,2,0,0,1,1,56.06923856504905
4,3,0,1,1,0,45.42830223629282
3,3,0,1,1,1,53.46492398159909
4,3,0,0,1,1,55.02068119260835
3,3,1,0,1,0,45.64702436649814
3,2,1,0,1,0,46.239528223620844
8,2,1,1,1,0,44.18696345325553
2,3,0,1,1,1,54.45801938304983
1,2,0,1,1,1,54.30203641359448
2,1,0,0,1,0,49.59889032007175
4,3,0,1,1,0,44.29524165368184
1,3,1,0,1,0,47.60681096393376
2,2,0,0,1,1,57.84626364973748
5,1,0,0,1,0,44.39025913878082
4,3,0,0,1,0,44.52860538075071
1,2,1,0,1,0,46.76760057827512
4,2,1,0,0,0,47.441540802665
5,2,0,1,0,1,51.89987291760311
4,2,0,0,1,0,46.61452495696751
3,2,0,0,1,1,53.84805957428428
2,2,0,0,1,1,56.107712472961474
1,3,1,0,0,1,54.37899054474111
4,2,0,1,1,1,53.92800685271285
0,2,0,0,1,1,54.62891503076576
4,2,0,0,1,0,47.33403395026519
3,3,0,1,1,0,46.27251285724669
3,3,0,1,0,1,54.97301346553954
3,4,0,1,1,1,54.4475746650096
4,3,1,0,1,1,54.729363332450326
5,3,1,0,1,0,44.01261751893024
3,2,0,0,1,1,52.79630218168981
8,2,1,1,0,0,44.90044932144571
7,3,0,1,1,0,44.88282210958145
2,2,1,0,1,0,46.15252893503183
-2,3,0,1,1,1,55.93493081710668
4,2,0,1,1,1,53.17392157185155
4,2,0,1,0,1,53.129176373223466
7,2,0,0,1,0,44.75876379360536
8,4,0,0,0,0,44.4812681342936
-1,2,0,0,1,1,57.026683453145786
5,3,1,0,1,1,52.13175609066762
2,3,0,1,1,1,53.65501138989058
4,3,1,1,1,1,54.29634613104858
3,2,0,1,1,1,52.837440256454656
6,2,0,1,1,0,42.370884743865055
4,3,0,0,1,1,55.71631903210827
5,3,1,0,1,0,43.559389667849175
1,2,1,0,1,1,55.93568699371356
5,2,0,1,1,0,44.02592840573026
0,3,0,0,0,1,54.828927952103086
2,3,0,1,1,1,54.06121517846557
1,3,0,0,1,1,55.93019845038872
5,3,0,1,1,0,41.99384012960913
3,3,1,0,1,0,44.550055279951685
5,3,0,0,1,0,46.05832135140567
5,1,1,1,1,0,45.360299835442646
5,2,0,0,1,1,54.51511417561685
6,2,1,0,0,0,40.872143741116105
2,2,1,1,1,0,45.85353100736143
4,2,1,0,1,0,45.0664466813881
2,2,1,0,1,1,57.46877284906248
4,2,1,0,0,1,55.32564726047861
3,2,0,0,1,1,53.30559605442084
5,3,1,1,1,0,42.73570423779035
4,3,0,0,1,1,54.16925511898551
5,2,1,1,0,1,52.00673414501623
3,2,0,0,1,1,56.13746561302411
0,2,0,0,1,1,55.45480737066224
4,3,1,1,1,1,52.433827642919326
4,2,1,0,1,0,45.73008370041449
3,2,1,0,1,0,46.39291298581691
6,3,0,1,1,1,53.98149026148486
2,3,1,0,1,1,55.5900280699265
3,3,1,1,0,1,55.4993459600142
4,3,0,0,1,1,54.94518014055624
8,2,1,0,1,0,44.481181667460206
2,3,0,0,0,1,55.46668295346064
5,2,1,1,0,0,43.174929736218935
3,3,0,1,1,1,54.24006248625923
4,2,0,0,1,1,54.992330619242
7,2,0,0,0,0,45.63057064774764
3,2,0,0,1,1,54.33811992595861
3,2,0,0,1,1,53.20738721999611
1,3,1,0,1,1,53.08550094151348
-1,3,0,1,1,1,56.80410521855714
5,3,1,1,1,0,44.40712538002764
2,3,1,1,1,0,43.900322945142335
3,3,0,0,0,0,45.9855538180458
-1,2,0,0,1,0,48.243395885414095
3,2,0,1,1,0,45.17772375773784
4,4,1,1,0,1,53.74553083365066
5,2,0,0,0,1,56.00839490113072
3,3,0,1,0,1,54.83607226930307
8,2,0,1,1,0,45.08753184589454
5,3,0,1,1,0,44.05557934581626
2,3,0,1,1,1,52.71261681224326
6,2,0,1,1,0,43.278677276242455
3,3,0,0,1,1,52.56544309135901
3,2,0,1,1,0,43.86745517600145
3,3,0,1,1,0,44.92538226514719
4,3,1,0,0,0,46.43176611114411
5,2,1,0,1,0,46.50787821947743
3,2,1,0,1,0,45.8303755100163
6,3,0,1,1,0,43.1227490141329
4,3,1,0,1,1,52.50473455434791
3,3,0,1,1,0,45.065886664986266
5,2,1,1,0,0,45.15109091961367
1,2,0,1,0,0,46.15385957787938
0,2,1,0,0,0,48.681023871240846
0,2,0,0,0,1,53.294766339422615
3,2,0,1,1,0,44.552332982428325
1,2,0,1,0,1,55.52202180657905
2,3,0,0,0,1,54.87989225318098
7,4,1,0,1,0,44.694300238957695
1,3,0,0,1,1,55.62020663899491
2,2,1,1,1,1,52.76195659539833
0,3,1,1,1,1,54.02825676167566
4,3,0,0,1,1,56.16892927315918
0,2,0,0,1,0,48.40851207071081
5,3,0,1,1,0,43.75391556816081
5,3,1,1,0,0,42.769230031835534
3,2,0,1,0,0,46.94847024344863
5,3,0,0,0,1,54.04828607826632
0,4,1,1,1,1,55.25342182631503
3,3,1,0,0,1,54.9748741081208
0,3,0,1,0,0,46.36958363543933
7,3,1,0,0,0,44.99052014524074
1,2,0,1,1,1,56.17656894123108
1,2,0,0,1,1,58.07784545054374
6,1,0,0,1,0,45.11261623810744
-1,1,0,1,0,0,46.57042969595814
2,3,0,0,0,0,45.89317089655801
4,3,0,0,1,0,47.087969931907246
-3,2,1,0,1,1,55.98279667174578
0,2,1,1,0,0,44.63253279450228
3,3,0,0,1,1,55.13422251284602
5,2,1,0,1,0,45.49181265212098
0,1,0,1,0,0,47.05246250482061
5,2,0,1,1,0,43.43437969494478
1,3,0,0,1,1,54.87102538388109
2,3,1,0,1,0,46.48051754798796
2,1,0,1,1,0,45.12845506686884
4,3,1,0,1,1,55.20311920958742
5,3,0,0,1,0,45.60107899400021
6,3,0,0,0,0,44.95382310115285
7,2,0,0,0,0,43.90157318774136
1,2,1,0,1,1,55.83313409028736
4,2,0,1,0,1,53.173856881746
2,3,0,1,1,0,46.83666982777285
4,3,0,1,1,0,45.15005432227526
4,2,0,1,1,0,45.11954931503836
6,2,0,0,0,0,44.21383621236295
3,3,0,1,1,1,54.965747503719264
6,3,0,1,1,1,52.22535999147264
5,2,1,0,1,1,54.4008628814388
5,3,1,0,1,1,52.48227260425668
6,2,0,0,1,0,45.77381422695055
2,3,0,0,1,1,55.38402820380034
7,2,0,0,1,0,43.50329201243917
3,3,0,0,1,1,56.19856116836758
4,3,0,1,1,1,56.5834414198424
3,2,0,1,1,0,46.17909992297271
6,3,0,0,1,0,46.29409276451562
8,3,0,1,1,0,42.36509322052794
5,3,1,0,1,0,43.011888649907725
0,3,0,0,1,1,56.35996396586356
2,3,0,0,1,0,47.075312270796985
1,3,0,0,1,1,56.883431323433626
4,2,0,0,1,0,46.841479879381005
2,2,1,1,0,1,54.64585277142509
5,3,0,0,1,1,55.580491401657085
4,2,0,1,1,0,44.18599431327015
1,2,0,0,1,0,48.72247030573197
4,2,0,1,1,0,44.98787862966006
3,4,0,1,1,1,54.349410899147664
5,3,1,1,0,1,53.12510723083948
9,3,0,0,1,0,45.68369456059629
2,3,1,0,0,1,54.13376662272957
4,3,1,0,1,1,54.59047367509265
5,2,0,1,1,0,45.523215150069255
3,2,0,1,1,0,48.09439355473892
5,3,1,0,1,0,44.90516230898802
1,3,1,1,1,0,45.34318152579743
1,2,1,0,0,0,48.436013688715775
2,2,0,1,1,0,45.97910793987737
4,2,1,1,1,0,44.70207642959935
2,2,0,0,0,1,55.69129344934487
5,2,1,1,0,0,42.37920732897138
4,2,0,1,1,1,54.4403232014106
3,2,0,0,1,0,46.97974406866147
4,2,0,0,1,0,46.09500752594239
4,3,0,0,1,1,55.16374009086298
7,1,1,0,0,0,44.412436665482566
6,2,0,0,0,0,46.64021884079284
5,1,1,1,0,0,44.43773596726563
3,2,0,0,0,0,46.63218339068022
2,2,1,0,1,0,47.20995196231929
1,2,0,0,1,1,56.00705145352357
2,2,0,1,1,0,45.05911459514759
1,3,1,0,0,1,54.88957016937322
4,2,0,1,0,0,42.88047820467247
0,2,0,0,0,0,46.42773246948162
2,3,0,0,1,1,54.85809586970589
0,3,0,1,0,1,55.123891217783545
3,2,0,0,1,0,47.21958181944599
3,3,1,1,0,0,43.55922090130473
4,4,0,1,1,1,53.78423453906
4,2,1,0,0,0,46.50764042905689
0,2,0,0,0,1,55.33615132270182
5,3,0,0,1,1,55.074279042075766
5,2,0,0,0,0,45.15237714360573
2,2,1,0,1,1,54.4612463975984
4,2,1,1,0,1,52.524751582347584
3,3,1,0,0,0,46.51082814405312
4,2,1,1,1,0,44.24243346536922
8,3,0,0,1,0,44.39539741192907
3,3,1,0,1,1,55.86240227674803
2,3,0,1,1,0,44.60352346223333
0,3,0,1,0,1,55.377863832171705
3,2,1,0,1,0,45.57933716880556
4,2,0,0,1,0,45.87849645218239
2,2,0,1,1,1,53.291914888032295
4,3,1,1,0,0,45.13974763035548
4,3,0,0,1,0,45.93013211626707
3,3,0,0,1,1,54.43159431928512
3,3,0,0,0,1,54.91155396083328
5,2,0,0,1,1,53.778088033965695
4,3,0,1,1,0,46.52792233073991
4,2,1,0,1,1,56.11225817201688
1,3,1,0,0,0,44.89658024169402
2,3,1,1,0,0,46.48270659980624
9,2,0,0,0,0,46.27145123385842
3,3,0,1,1,1,54.932934153577946
1,3,1,0,1,1,54.60090333733149
6,2,1,1,1,0,43.274952416239934
0,3,0,1,0,1,55.90201336809515
3,3,1,0,1,1,52.69697769079956
4,2,1,1,0,1,53.34515024817171
3,3,1,1,1,0,44.39001354318433
1,2,0,0,1,1,54.067541620158565
1,2,0,0,1,1,56.17445485481479
0,3,1,1,0,1,53.51904883803922
3,3,0,1,1,1,52.96848131495997
1,2,0,0,1,1,55.28287514202439
0,2,0,0,0,1,55.4272616586623
3,2,0,1,1,0,46.7241752096406
3,3,0,0,0,1,55.68217607641992
4,2,1,1,0,0,45.62557711194809
2,3,0,1,1,1,53.95890642666656
6,2,0,1,1,0,44.11015420842124
6,2,0,0,1,0,45.39762759226591
6,1,1,0,1,0,45.46360075933215
4,3,1,0,1,0,45.66580819966877
4,3,1,0,0,1,52.28079246327202
6,4,0,0,1,0,46.21932797644703
5,3,1,0,1,0,44.666226679795145
5,3,1,0,1,1,53.2350752149305
4,2,0,0,0,0,46.06041767519248
5,3,0,0,0,0,45.674552462305805
4,3,1,1,1,1,52.63791309102801
3,3,0,0,0,1,55.35647667690571
0,3,0,1,1,1,56.2793560437139
4,4,1,0,1,1,54.3710726042172
2,1,0,0,1,0,47.35019457846823
5,3,0,1,1,0,43.64011566981929
3,3,0,0,1,0,45.05121215482576
2,2,0,0,1,0,45.96455179372383
-2,2,1,1,1,0,45.5830407426532
4,4,0,0,0,1,54.8536667966532
4,3,1,0,1,1,54.75633173385133
2,3,0,0,0,1,53.70430095305194
4,3,0,0,1,0,46.35132840712597
4,3,0,0,1,1,53.83064770261991
7,2,1,0,1,0,45.76380832709793
0,3,0,0,0,1,55.89641004535402
5,3,0,1,0,0,42.872837102513344
4,3,0,0,1,1,54.24986504311631
4,3,1,1,0,0,44.86998395099228
1,2,1,0,0,1,54.8446591579531
8,3,1,0,1,0,43.025961134890096
7,3,0,0,1,1,51.91572208617917
3,3,0,0,1,1,55.21992632378598
7,2,0,0,0,0,43.415088071612765
8,3,0,1,0,0,42.94201709670751
3,2,0,0,0,0,47.41319204988709
4,3,1,0,1,0,46.30500793768012
6,2,0,0,1,1,54.77196233114044
6,3,0,1,0,0,43.59497598143924
5,3,1,1,1,0,41.85583275408797
5,2,0,0,1,1,53.51511292038753
2,3,1,0,1,0,47.85169941960759
2,1,0,0,1,1,54.92065408849382
1,2,0,0,0,1,56.4134900169055
5,3,0,1,1,0,44.54221176915331
3,2,1,1,1,1,52.95665557498943
6,3,0,0,1,0,44.97139587263637
9,3,0,1,0,0,43.29746858687951
2,3,0,0,1,0,46.7036347477143
4,3,0,0,1,1,54.88389418593628
7,2,1,1,0,0,43.54125404318263
4,3,1,1,0,1,54.67035086515474
4,3,0,0,1,0,45.491336570425744
5,3,0,1,1,0,46.02721841553135
5,4,1,0,0,1,53.28934368354774
5,3,0,0,1,1,54.84468038981653
8,3,0,0,1,0,44.5243436111226
2,3,1,0,1,1,54.47258250656071
6,2,1,0,1,0,42.59378093121602
7,2,1,1,1,0,43.32068206409209
4,3,1,0,0,1,53.552776583543
3,3,0,1,1,0,44.676545695544434
4,2,0,0,0,0,45.381189575453824
4,2,0,0,1,1,54.681823892408765
4,2,1,0,1,1,52.48471630300927
0,2,1,0,1,1,56.05999372613751
2,2,1,1,1,1,54.415950452105655
6,3,0,0,1,1,55.06224264632952
4,1,1,0,1,0,46.12106418781816
5,3,0,0,1,1,53.89130338498069
6,3,1,0,1,0,44.16519775899509
-1,3,0,1,1,1,54.15967114928903
1,3,0,0,1,1,54.885147161937134
-1,3,0,0,0,1,55.75355389671503
8,2,0,0,0,0,43.3664225037448
5,2,1,0,1,0,45.09506713871339
4,3,1,0,1,0,46.41436313155124
5,3,0,0,0,0,47.56979387786756
4,3,1,0,1,1,53.69527728704681
5,1,1,0,1,0,45.30127013167314
6,3,1,0,1,1,53.47946653809363
3,2,0,1,1,0,42.94719821750912
0,3,1,0,1,0,47.8306782658933
2,3,1,0,1,1,52.70367214113003
2,2,1,1,1,1,52.31657945878055
1,2,0,0,1,0,47.07480575559861
1,3,0,0,1,1,55.2109341722963
3,2,0,1,1,1,53.7987240890502
5,3,0,0,0,1,53.3670610685995
2,1,0,0,1,0,47.62517995111125
8,3,0,0,1,0,44.53393592397837
2,3,0,1,1,1,54.06153332456127
8,3,0,0,0,0,44.11257001353832
2,3,0,0,0,1,54.36457122944253
4,2,0,0,0,1,56.068211590760335
5,3,0,0,1,0,42.98928172774421
3,3,0,1,1,1,52.73041509710865
4,2,0,1,1,0,44.67630345507794
5,2,0,0,0,0,45.55406598820015
4,1,1,0,1,0,44.683595662513824
3,2,0,1,1,1,52.63722524372817
6,4,0,0,1,1,52.907794078596496
2,1,1,1,0,0,47.32615681884664
4,2,0,0,1,1,52.97097895355405
2,2,0,1,0,0,46.97927587281677
7,3,1,0,0,0,44.631982741299765
3,3,0,0,1,0,47.93895390793145
5,2,0,0,1,1,53.37658445643459
3,2,1,0,1,1,54.81536267088386
4,2,1,0,1,0,45.26024406052227
3,3,0,1,1,0,45.32472868602164
6,2,0,1,1,1,53.95699288921267
3,2,0,0,1,1,53.60551643570513
5,3,1,1,0,0,45.65450856244233
7,3,0,0,0,0,43.88431555295304
7,3,1,0,0,0,44.88902573197584
4,3,0,0,0,0,46.45831498823054
1,3,0,1,1,1,52.5250641684471
6,3,1,0,1,1,52.21017306757851
4,2,0,1,1,0,44.83791294210545
2,2,1,0,1,0,46.2233413625301
0,2,0,1,1,1,54.12562885200729
0,2,0,1,1,1,53.971774050803546
4,2,0,1,0,0,45.936711882770375
4,1,0,1,0,0,45.24564826206246
4,3,1,1,1,1,52.40780296656667
3,3,1,1,1,0,45.19018737341951
2,2,0,0,0,0,45.568372402236605
4,2,0,1,1,0,42.56325906457016
7,2,0,0,0,0,45.4577267320604
2,3,0,0,1,0,47.19720212689225
5,3,0,0,1,1,54.4758790938544
2,2,0,0,0,1,56.43424636632959
3,2,1,0,0,0,46.74477707762895
8,3,0,1,1,1,53.2407324382874
1,2,0,1,0,0,45.14138783221853
5,3,1,0,1,0,44.78054982954148
4,2,1,1,1,0,44.57432863595752
9,2,0,0,0,0,41.43015898629129
4,2,0,0,1,0,47.5207930530281
6,3,1,0,1,1,51.41493841501686
6,4,0,0,0,1,52.51385114087307
5,2,0,1,1,0,43.90470867608102
0,2,0,0,0,1,56.52197996030469
5,2,1,0,1,0,45.45729163108828
4,3,0,1,0,1,52.55331623452722
2,3,1,0,1,1,53.55881321203019
2,2,0,1,1,0,46.88396225815649
0,2,0,1,0,1,52.89664475878082
2,4,0,0,0,1,54.860529154109535
2,3,1,1,1,0,45.49869513640903
3,2,0,0,1,1,55.59197453174004
6,2,0,0,1,0,44.10333371916055
2,2,0,0,1,1,55.118959416643854
4,2,1,0,1,0,44.40185940585665
6,2,0,1,0,0,42.14016901730792
0,3,1,1,1,1,55.765298985946494
4,3,0,1,0,1,53.8038379245161
4,2,1,1,1,1,51.7121330240056
4,3,1,0,1,1,54.7491860384992
2,2,0,0,1,1,56.10998877993038
2,3,0,0,0,0,45.14041420655166
3,2,1,0,1,1,54.80757135181364
6,3,1,1,0,0,41.03121089183944
4,3,0,0,1,1,53.04347365416192
3,3,1,0,1,1,53.37303427021797
4,2,1,0,1,0,46.63079394814942
6,2,1,0,0,0,43.68376816761104
6,3,1,0,1,0,44.81770721046463
2,2,1,0,1,1,55.91536712345098
3,3,1,0,1,1,55.12931976174279
6,3,1,0,1,0,46.15332466136055
8,2,1,1,0,0,43.11271895055546
1,4,0,1,1,1,54.94490738201286
1,2,1,1,1,0,46.50912820681722
3,2,0,1,1,0,46.543465914744345
2,2,1,0,1,1,54.39015354628748
4,3,0,0,1,0,42.750992813501554
3,3,1,0,1,1,55.408366334797705
2,3,0,0,1,0,45.17449231472492
6,3,0,0,0,1,53.76683760891429
4,2,0,0,1,0,47.77935160148281
8,2,0,0,1,0,42.74699195228054
1,3,1,0,1,1,54.29611274266418
6,2,0,0,0,1,54.47183625091304
3,3,0,0,0,0,47.253662538727895
2,3,0,1,1,1,52.38170731659736
2,2,0,1,1,1,55.94576202067866
6,3,0,0,0,0,43.13132286988124
1,3,1,1,0,0,45.83693145611079
