teacher_age,average_study_hours,low_income_status,rural_school,online_learning,end_of_year_grades
30,25,1,1,1,38.26581769770984
32,19,1,0,0,37.4352030399484
43,17,1,1,1,44.16696306629105
25,23,1,0,1,42.402110013310406
25,13,1,1,1,44.966347227142165
14,26,1,0,1,35.881863876705744
37,18,1,0,1,44.22556914243316
32,18,1,0,0,39.500480994109815
33,23,1,0,0,35.573806196882906
23,17,1,1,1,43.04181630704609
31,20,0,0,0,40.11875029929296
28,28,1,1,0,32.01102229582078
31,18,1,1,1,44.31029967344369
25,4,0,1,0,47.09142379576056
25,23,1,1,1,41.13549834009444
21,9,0,1,0,43.34648171512512
38,20,1,1,0,39.32369668033032
23,34,1,1,0,29.452347557450217
24,17,0,0,0,38.27194446688444
19,25,1,1,1,38.218471763869545
26,10,1,1,0,44.211851661237255
46,26,1,1,1,38.77430238623396
27,24,1,0,1,38.22868415894061
37,21,1,1,1,43.56655303955046
21,17,0,1,0,38.03110768689906
25,16,1,1,1,43.365690209824
53,26,1,1,1,40.40025478968593
33,20,0,1,0,36.35243896207378
35,26,1,1,0,34.668596146646976
32,16,1,0,1,44.357294725601
13,4,1,0,1,49.14713055061713
44,19,0,1,0,40.392465459751456
25,29,1,1,1,37.12599539743992
36,24,1,1,1,40.20533002472773
28,15,0,1,0,42.33523836331665
20,19,0,0,0,36.69832241321074
42,30,1,1,1,39.26657608827979
23,27,0,0,1,36.76397409674351
20,19,1,0,0,37.99489037106102
35,26,1,0,0,34.75688952090119
34,27,1,1,0,34.96913639890256
17,26,1,1,1,37.28872375092111
33,9,1,1,0,44.11144540493105
39,18,1,1,0,37.72473796131607
37,19,1,1,1,42.43365032992492
35,22,1,1,0,37.39776547326454
26,26,1,1,0,35.62850187697977
26,26,0,1,0,33.97100744666526
30,18,0,1,1,43.31985200591844
14,20,0,0,1,40.88787540233027
22,20,0,1,0,38.17510876983612
41,27,1,1,1,37.13659946547936
31,20,1,1,1,42.0923100396702
32,16,0,1,0,40.14127201197806
24,31,1,1,1,34.775042677240094
20,7,1,1,1,49.02075813770684
36,20,1,1,0,37.46893063855055
14,20,1,1,1,41.12057732203391
17,24,0,1,0,34.62497513457107
27,26,0,0,0,34.69825893528531
38,13,1,0,1,45.33289282933193
27,14,1,0,1,44.35268546541141
31,21,1,1,0,38.1667339056628
27,10,1,0,0,44.91286152566913
36,17,0,0,1,46.546860487648296
34,21,1,0,0,38.09841615325664
22,9,1,0,0,44.1283147255993
25,23,0,0,1,38.64496466220774
45,15,0,0,0,41.69457167790741
30,26,1,1,1,39.14145304612243
47,19,1,1,1,43.918397605895535
35,15,1,1,0,41.194767627699534
24,20,1,0,1,39.18845732247881
35,15,0,0,0,41.81677181620926
42,16,1,0,0,40.42240337600061
39,21,1,0,0,37.46620931765488
11,15,0,0,1,42.68637386131447
31,19,1,0,0,38.62948210170937
19,21,1,0,1,41.6757926864293
12,16,1,1,0,38.53403673844903
31,24,1,1,1,38.50862168503018
24,18,1,0,1,44.17128912479445
35,19,0,0,1,42.71164444566367
32,15,1,1,1,45.65849790674486
33,17,0,0,1,43.26721894499271
29,23,1,1,1,41.07455398716829
36,14,0,1,0,42.18024328515792
36,20,1,0,0,39.56419329979244
20,8,1,1,0,44.20907356102178
29,22,0,0,1,40.24436470517995
22,23,0,0,0,34.94111805154073
12,27,0,1,1,37.515690914037535
33,13,1,1,1,48.14046096124779
25,13,0,0,0,42.05207097160469
38,20,1,0,0,38.62271053843637
36,23,0,0,1,40.264360275545535
24,18,1,0,1,43.14857767380608
34,19,0,1,0,38.13544065320524
33,20,0,1,0,39.30968871485169
29,23,1,1,1,39.27358215959907
40,29,1,1,0,33.71891560246478
20,29,1,0,0,31.057133765049304
19,5,1,0,1,47.99360997885574
13,20,1,1,1,42.38057824262999
21,33,1,1,1,33.678342377058
38,33,0,0,0,31.966819982273964
29,28,1,0,0,33.13144447734438
20,15,0,1,0,38.09839848041787
27,12,1,0,0,40.97662418757071
24,19,1,1,0,36.95454451888912
28,27,1,1,0,33.172426339638164
39,26,1,0,1,38.72225705513996
28,18,0,1,0,38.62545689442444
28,22,1,1,0,36.60626677080336
32,25,1,0,1,39.3702889072639
22,28,1,0,0,33.01830724526791
23,25,1,1,0,33.80087542849651
23,11,0,1,0,40.10587086390149
41,24,1,0,1,40.446694291027136
34,14,1,1,1,43.89456654758503
9,17,1,1,1,42.28573972114728
39,16,1,1,1,45.04511255198985
24,16,0,1,1,43.40422593318406
31,9,1,0,0,43.719004430074285
24,17,0,0,1,43.44795637918417
41,17,1,0,0,40.491462368285866
29,14,1,1,0,40.965399655706776
23,10,1,1,1,46.72966268419313
35,20,0,1,0,37.36623220684253
21,13,1,0,0,41.1443601224587
23,10,1,1,0,43.51857529041786
25,13,0,0,0,42.6426423885972
36,10,1,1,0,44.64521004234428
27,14,1,1,0,41.31814904585643
19,14,0,1,0,41.71646496941881
22,20,0,1,1,42.79307813704043
33,18,0,0,0,38.36009870553564
27,18,1,1,1,42.65733225282906
45,16,0,1,1,44.699177521990975
31,7,1,1,0,44.4065474234907
19,27,0,1,1,35.13329962601402
35,24,1,1,1,41.18256950465574
28,24,1,1,1,38.62861114719311
26,19,1,1,0,39.38682934128343
29,11,0,1,0,43.27719805297217
29,18,1,1,1,43.2128148049178
25,28,1,0,1,36.26919422044973
30,23,0,0,1,41.09062715430673
28,22,0,1,0,35.587193706484165
21,22,0,1,0,35.90123616339136
33,24,1,1,1,41.55931717385592
27,18,1,1,1,43.042930358719886
36,10,0,1,0,43.867823880644
41,20,0,1,0,40.12165555287438
22,13,0,1,1,44.78499742255722
24,13,1,0,0,40.578144723334496
22,17,1,0,0,39.15151997446083
24,16,1,1,1,42.6625779314596
32,15,0,1,0,40.74679293738382
36,10,1,0,0,46.762749521102734
14,19,0,1,1,41.76424291192836
13,25,0,1,1,38.17226581035841
22,16,0,0,0,39.36213860642429
36,21,0,1,1,42.84511153785813
23,11,0,1,0,41.25187729376022
34,22,1,1,1,41.18629723760972
44,19,0,1,0,40.0872710507482
38,22,1,1,0,34.895030715521216
39,12,0,1,1,46.178142522088514
37,20,1,0,1,42.01283754726061
37,19,1,1,0,39.99014264080045
41,25,0,1,1,41.14630887936804
31,16,1,0,0,40.548037743789465
34,14,0,0,1,46.00162425418989
34,15,1,1,1,43.51347227797592
39,13,0,1,0,42.51472266048302
34,15,1,1,0,39.8533758789618
31,21,0,1,0,37.90991375609813
15,20,0,0,1,41.490775547458384
32,25,1,1,0,34.94827888041506
25,16,1,1,1,43.537277039557154
46,16,1,1,1,45.633575311824806
22,29,0,1,0,31.481287409262915
41,27,0,1,0,33.968896729383935
24,14,0,0,0,40.804770890231445
11,26,1,1,1,36.45039381394282
21,14,1,1,0,39.983723865599465
26,13,0,1,1,47.17259876128272
30,30,0,1,1,36.1252586952493
37,27,0,1,0,34.39009830010857
32,23,1,0,0,36.85663561247545
29,15,0,1,1,44.422454067457885
28,14,0,0,0,43.1838851900662
23,17,1,1,0,38.01563654029788
45,18,1,0,1,44.41163541432237
33,19,1,0,0,39.36408323420952
19,15,1,1,1,42.2763813601344
33,22,0,1,1,42.27507362232439
59,18,1,0,0,41.3381703295817
41,26,1,1,1,40.17523411538031
29,15,1,0,1,45.60487994066751
39,22,1,0,1,40.67705690755456
34,20,1,0,0,36.953906219367816
31,24,1,1,1,38.27946020219006
35,10,0,1,0,46.06567945357043
11,26,1,1,1,36.01935387466837
41,15,1,1,0,42.96762828110494
25,14,0,0,0,41.57324548180318
17,17,1,1,1,41.79593470658344
30,15,1,1,0,40.11477323880096
36,18,1,1,1,43.0646014754007
22,18,1,0,0,36.40206468431761
29,16,1,0,1,44.77147952221189
25,5,1,1,1,48.66842074049741
40,14,1,1,1,47.630315305034806
33,9,1,1,0,43.31893706222159
32,27,1,0,0,33.26270253279408
32,14,1,1,1,45.09045576480209
25,19,1,0,0,38.718350513711655
38,14,1,1,0,42.2519534491823
24,22,0,0,1,40.80997321136631
13,18,1,1,1,41.03992575069989
21,16,0,1,1,43.434582561722
29,15,1,1,0,40.20748428118299
28,16,1,1,1,45.97879594462525
37,28,0,1,0,33.94112190568196
36,17,1,1,0,42.04555272601058
24,7,1,0,1,47.34847724199737
38,21,0,1,1,40.97379068441534
27,33,1,1,1,34.86610883100445
28,21,1,1,0,37.3036001922846
26,14,0,0,0,40.919299953446696
27,30,1,1,0,32.46433051240417
22,23,1,0,1,39.22415825777401
31,18,0,1,1,42.14074234006966
28,11,1,1,0,41.441726565329446
8,18,1,0,1,37.97702105723978
35,24,1,0,1,39.64799944580104
21,28,1,1,1,36.922096927434325
43,29,1,0,1,37.26289551557311
27,24,0,0,0,37.01783321671401
56,17,1,1,0,41.608920459783846
23,16,1,0,1,43.976044834014544
45,21,1,0,1,41.93569243679655
25,20,1,1,1,41.91665763362587
52,19,1,1,0,39.17478581070832
38,19,1,1,0,37.00342548470373
37,18,0,0,1,45.39521472591222
44,30,1,1,0,32.32934827035175
33,11,1,1,0,43.36445201500433
20,21,1,1,1,40.521115872664566
28,21,1,0,0,36.05985240778305
45,26,0,0,1,40.64071589128954
39,19,1,0,0,38.05343702714241
36,15,0,1,1,44.13721028043711
21,19,0,1,1,42.951538431016665
50,18,1,1,1,43.82848529957669
28,12,0,1,0,42.96790364024879
33,20,0,1,1,44.13055177537849
28,19,1,1,0,38.96336887078724
31,17,0,1,0,40.18710230434534
23,13,1,1,1,47.95165639235863
45,21,0,1,1,41.82217412192528
35,19,0,1,0,37.67084162798031
42,27,1,0,0,34.694608665565305
32,17,1,0,1,45.09313626863541
25,26,1,0,1,39.36394975598345
29,23,1,1,1,39.26487851225304
30,14,0,0,1,46.40903090553344
21,22,0,1,1,41.122112559304405
19,29,0,1,1,38.38528322808377
30,28,1,0,0,32.6266644450764
37,22,1,1,0,37.41624696529629
18,20,0,0,1,41.6374951513905
35,26,1,1,1,38.0509320504576
26,16,1,0,1,43.23181150351494
24,17,0,1,0,39.11829709428158
33,28,1,1,1,37.475639439363086
30,23,1,0,0,37.02040562996892
26,28,1,1,1,37.80896835175298
23,21,1,1,1,39.85793558074685
34,15,1,1,0,41.05527837131685
17,28,0,1,1,35.483480770757204
35,28,0,0,1,38.1653401427432
32,20,1,1,1,43.17425301319823
28,23,1,1,0,35.78331067016084
36,9,0,1,0,44.55409857394438
39,17,0,1,0,40.70627036443232
42,22,1,1,0,36.23600410581007
27,17,1,0,1,43.61005500013098
9,25,0,1,1,38.22988170491361
32,13,0,0,1,47.4257862322912
28,21,1,1,0,36.783512464168
13,23,0,0,0,36.09497142620041
36,24,0,1,0,36.06619357265632
34,19,1,1,0,38.97132559289183
26,20,1,1,1,43.1311448211023
21,11,0,0,1,46.859677634778926
41,20,1,0,1,42.80360357080035
26,24,1,0,1,40.17824721570733
28,24,1,1,1,38.72465100891785
41,32,0,1,1,36.78590305898849
39,27,1,0,0,33.3325550313496
23,18,0,1,0,39.32639170588079
27,16,1,1,1,43.96454753513987
32,21,0,1,1,42.79026592433832
22,27,1,1,1,36.6920804319308
32,12,1,1,1,47.27388004868712
14,18,0,0,1,41.02857377693826
31,17,1,0,1,45.89064434152908
28,21,0,1,1,40.84028722606848
27,19,1,1,0,37.50232176266252
23,18,0,1,1,41.0218961086102
26,22,1,0,1,39.62370871529073
31,10,0,1,0,44.13676186967536
38,28,0,1,1,38.591578339761526
28,18,1,0,0,39.97151942155325
22,10,0,1,1,47.7295563595852
34,15,0,1,1,44.11074261711669
28,6,0,0,1,48.14516850937081
29,13,1,1,0,40.27149412062373
27,8,1,0,0,45.01391023401346
32,27,0,0,0,33.78110607187106
28,11,1,0,0,43.33915661527908
25,18,1,1,0,39.02227227534684
23,29,1,1,1,37.3020962533387
32,22,1,0,0,37.07265128855105
24,14,0,1,0,40.274691195769
20,21,1,1,0,35.88380087683819
28,16,1,1,1,44.67197603547332
36,27,1,0,1,38.74465701856158
22,23,0,1,0,34.869759420879944
29,22,1,0,1,39.72291040976389
50,25,0,1,1,42.55912165454163
30,20,0,1,0,37.276415434641386
26,24,0,1,0,33.81137386637317
30,12,1,1,0,41.31815308245087
32,7,0,1,0,44.30679297319228
44,13,1,0,0,43.85088728943044
41,10,0,1,1,47.696550856659286
22,28,1,1,1,35.77194901361465
26,22,1,1,1,41.36154488790054
24,20,1,1,0,36.74729555306491
18,31,1,1,1,34.24931981906725
45,30,1,0,1,39.28021788762077
33,14,1,1,0,41.6370285501455
20,10,1,1,0,42.54027865727974
20,25,0,1,1,38.74142069683775
28,15,0,0,0,41.189009027416056
23,24,1,0,1,39.8029998437041
28,19,0,1,1,41.90289127018189
36,18,1,0,0,38.495665541996026
30,24,0,1,0,35.32656314788173
37,24,1,1,1,41.52388106005508
38,20,1,1,0,38.93240170340602
39,26,1,1,0,35.75734808231345
34,18,0,0,1,44.37183565103763
26,12,1,1,1,44.80494976530876
26,13,0,1,1,45.1215516628899
30,20,0,0,0,37.734092261359166
26,11,0,1,0,40.98414098921454
27,30,1,1,0,31.60502661050972
38,19,1,1,0,37.99295817334173
27,13,0,1,0,40.16447439434152
38,28,0,1,1,37.52157548914364
36,10,1,1,0,44.76144511785878
34,19,0,1,1,43.25367210312265
29,13,1,0,0,43.42371158217538
20,23,0,1,1,40.282519366183216
15,22,0,0,1,40.66134551076534
32,21,0,1,0,36.48639436825136
34,28,1,1,0,32.94081201447841
33,20,0,0,1,42.03609839850013
37,15,1,0,0,41.68639980957328
16,23,1,1,1,40.61041341563133
41,21,1,0,0,37.905326808039256
29,6,1,0,0,47.99197408460216
31,20,1,1,1,41.19152112012587
46,31,0,0,0,33.94659376819104
30,20,1,0,1,41.93817849320362
30,24,1,0,0,33.82387107646253
26,25,1,0,0,35.608252973196855
37,18,1,0,0,39.32328631925471
19,15,1,0,1,44.41886399754284
46,12,1,0,0,45.01695793433345
27,18,1,0,0,37.37838555627361
21,27,1,1,1,37.16469075292149
37,12,1,0,1,48.5703829635019
23,16,1,1,1,44.70471198556338
36,8,0,0,0,45.83638541186756
34,15,1,0,0,39.71336247972302
25,23,1,0,0,35.63690035254696
29,23,1,1,1,39.49087514402176
29,26,0,1,0,33.886238477615194
20,20,0,1,0,35.55254022933232
48,15,1,1,1,44.564712129900265
20,23,1,0,0,34.68465901120341
23,18,1,1,1,43.77887577931665
24,27,1,0,1,36.81405772233227
21,17,1,0,1,42.50328881207483
36,22,0,1,0,37.11608815008972
28,15,1,1,1,44.39927798038792
34,22,1,0,1,41.99592221839293
21,21,1,1,1,40.018892740675085
36,19,0,1,1,42.10677615693167
30,26,0,0,1,38.54561061289765
25,22,0,0,0,37.07669453474733
25,16,1,1,1,42.225969132773336
31,18,0,1,1,43.43334556707304
33,15,0,0,0,41.39203680386529
22,9,0,1,0,41.6198024487472
35,20,1,1,1,42.92595649441195
26,9,1,0,0,44.36469455559321
31,22,1,1,0,35.70105554141905
38,4,1,0,0,47.955954406940585
32,12,0,1,0,43.39804159093851
13,19,0,1,1,41.03258443062244
28,16,0,1,1,43.85120967057591
26,23,0,1,0,34.9524714353782
43,28,1,1,1,37.74407479895796
28,17,1,1,0,40.62325576782966
45,17,1,1,1,44.248119585476346
37,15,0,1,0,42.12010436331378
27,17,1,1,1,42.39963756105808
27,19,1,1,1,44.0407391842695
37,20,0,0,1,44.36298020024898
19,12,0,1,0,41.37552072800916
32,22,0,0,1,41.74414877095191
15,26,0,1,1,38.09038072355486
27,12,1,1,0,42.41269878182431
36,22,1,1,0,38.30291668897464
27,12,1,0,0,43.782578167634206
39,16,1,1,0,41.80658015707803
38,20,1,0,1,43.83896613139833
36,4,1,0,0,47.301405747460784
34,18,1,0,0,39.74519809900946
25,11,1,0,0,41.671086046492746
28,28,1,0,1,36.12759922440719
22,31,1,1,0,30.545672545458626
26,20,0,0,1,40.79776708126141
20,21,1,0,0,35.9163667522643
37,15,0,1,0,41.34622118706228
35,16,0,1,1,44.49563638884939
26,16,0,0,0,40.46972301005838
34,25,1,1,0,34.077109467424926
25,25,0,1,1,38.67288073903006
35,19,1,1,0,38.85083628136408
21,27,0,1,0,33.63102732367021
39,27,1,1,1,37.18059084979851
35,30,1,1,1,36.384653397023335
32,10,1,1,0,44.81057523122149
31,22,1,1,1,40.518916740148335
30,21,1,1,1,41.01479243733693
23,18,1,1,0,38.11526312142497
31,22,0,0,1,40.01451971649709
14,17,1,1,0,36.760667319167794
32,27,1,0,0,33.63427198268708
34,18,1,0,0,41.06328414902336
31,20,1,1,1,43.125838607538086
26,17,0,1,0,38.51129117949018
27,21,0,1,0,36.60968470142583
29,13,1,1,1,47.707505451711874
11,16,0,0,0,38.58937494146768
14,37,1,1,1,32.59474700567425
21,22,0,1,1,41.104654662344416
34,28,0,0,1,36.687371650727854
25,10,0,1,0,43.87079721004864
31,10,1,1,1,48.89882986795052
33,25,1,0,1,39.172945503507215
35,16,0,1,0,39.87347309043961
36,17,0,1,1,44.66271101293621
30,20,0,1,1,42.656599707247054
35,20,1,1,1,42.8979005948819
31,12,1,0,1,46.80636553891943
24,26,1,1,1,37.250623936852286
26,21,0,0,0,37.15366284797423
31,14,0,1,0,41.883881991196446
38,16,1,0,0,40.03610741934003
31,8,1,0,1,47.786110115236575
19,24,0,1,1,40.43743743298816
33,29,1,0,1,35.63964855836817
19,30,1,0,1,34.19757394012047
22,23,0,1,1,41.240928934435374
28,10,1,1,0,42.27824439428547
29,18,1,1,1,43.656836472100565
22,8,1,1,0,44.620736970754
42,18,1,1,0,39.08304314473052
36,20,0,1,0,37.85911025856413
13,16,1,1,0,39.47756689785125
41,19,0,1,0,37.86805038070679
45,10,0,0,0,44.69814626841294
35,8,0,1,0,45.86772853220639
28,12,1,1,0,42.42902415432353
30,15,1,1,0,41.3556674863625
34,11,0,1,1,46.86813611501932
27,22,1,1,0,37.47678762558216
39,14,0,1,0,41.25064282269332
25,23,0,0,1,39.81147824167205
11,20,1,1,1,41.71356990249675
31,15,1,0,0,41.21582020863523
41,19,1,1,1,43.44622960866421
33,14,1,0,0,41.694907522435145
16,32,1,0,1,35.609229205205395
28,28,0,1,1,36.67874222365104
29,28,0,0,1,37.06719704278155
34,15,0,1,1,44.09247388138307
30,32,1,0,1,35.9187620638299
37,10,1,0,0,42.36648693666442
34,15,0,1,0,41.070779855949766
30,27,1,0,0,32.48005629773127
30,21,0,1,1,40.9611297232896
14,13,0,1,0,39.76977241092632
26,24,1,0,1,39.87337578628862
23,14,0,1,0,41.27484915041535
16,25,1,0,0,34.243897283865785
34,19,0,1,1,44.586343159642624
38,18,1,0,1,43.762418066045385
27,29,0,0,0,33.441518726346736
29,13,1,0,0,40.81215964393867
22,26,0,1,1,37.80152023734701
32,27,1,0,0,33.070063283991814
39,19,1,1,1,43.07260364641149
21,26,1,0,1,37.130564219686384
41,17,1,1,1,44.80177146725267
24,13,0,0,0,41.00985323997656
28,19,0,1,1,42.36586403005267
19,34,1,0,0,28.54146915095824
27,19,1,0,1,40.08512540786808
37,21,1,0,0,37.89629573052209
36,15,0,1,0,41.15927287813852
32,18,1,0,0,39.863183296206856
36,17,0,1,1,43.27199406705342
24,17,0,1,1,43.75417151305569
35,8,0,1,0,46.15531452446258
29,28,1,1,0,33.880970410566874
28,26,0,1,1,38.57649966339422
16,12,1,1,1,45.41417030063807
24,21,0,1,1,39.70306820700301
44,15,1,1,0,42.029447079651554
34,21,1,1,0,38.928019690369766
36,16,1,1,1,45.16886307191575
33,18,0,1,0,39.624563642852
13,17,0,0,1,42.903453422270246
25,33,1,1,1,34.884428248955714
19,13,0,0,0,41.05918060846131
24,14,1,1,1,44.62356401132884
17,23,0,1,1,39.08465225346586
21,18,0,1,1,44.07532382149665
15,23,0,1,1,39.431220652874366
24,20,0,0,1,41.3490787026349
14,9,1,0,0,43.55132455838529
34,18,1,1,0,40.03468762046471
47,17,0,1,0,41.72192401846084
17,32,1,1,1,33.138312606309896
32,25,0,1,1,38.40193077479082
16,15,1,1,1,43.04879098745919
21,26,1,0,1,38.49906970554567
36,21,0,1,1,41.03031039496934
29,17,0,1,1,43.50352349970117
40,23,0,1,0,36.39707546397901
24,19,1,0,1,42.72517391181171
22,18,1,0,1,42.98356168331302
28,18,1,1,1,43.92450557470955
15,22,0,0,0,34.982362223861784
23,13,0,0,0,41.76227925366722
37,17,1,0,1,45.17059231175568
25,27,1,0,1,39.2293874957469
35,14,1,0,0,42.38718444997675
19,18,0,0,0,39.67403980429422
20,21,1,0,1,40.89053622609642
17,5,1,1,1,49.97759844509832
44,9,1,1,0,43.36777718288651
26,22,0,1,0,35.89256317472468
34,8,1,1,0,43.99384302067828
32,18,0,1,0,38.192123797162886
30,24,1,1,1,39.57714255536632
25,14,0,0,0,40.266878173206
26,9,1,1,0,44.10808978892135
35,17,1,0,1,44.55280045988146
31,25,1,1,0,33.658539225539606
17,27,1,0,0,31.976555044808418
32,17,1,1,1,44.67558380368968
36,19,1,1,0,38.98079049613569
19,26,0,1,1,39.08896514269958
38,19,0,1,0,39.831605060954985
28,20,0,1,0,37.11497084449736
29,18,1,1,1,44.67081179126288
14,12,0,1,0,40.07274402021152
19,16,0,0,0,38.84923130290221
27,21,1,0,0,36.61885395222339
28,27,0,1,0,34.0773373103466
41,21,1,0,0,37.98677237033103
24,14,1,1,1,45.436399423479045
32,20,1,0,0,37.83328781974828
30,38,1,0,1,32.95510566332639
29,22,1,1,1,41.25714446684157
46,16,0,1,1,46.910814738493045
36,19,1,0,0,39.14940319460703
32,29,0,0,1,37.45267061862525
33,20,0,0,0,38.67118584064317
29,19,1,1,1,43.416648645545024
28,29,1,1,1,36.43516718713804
30,17,1,1,0,38.67385925048274
25,17,1,0,1,43.35408784379701
32,18,1,1,0,37.94525665939594
31,16,0,1,0,41.96928981183521
21,21,0,0,0,36.74998353500276
11,17,1,1,1,42.24732722434681
33,16,1,0,1,44.2803269693165
35,21,1,1,1,42.85063320341271
33,14,1,0,1,45.1525954759257
28,17,1,0,1,43.19758487716063
46,15,0,1,1,45.007681610146165
32,24,1,0,0,35.31750449859167
28,18,0,0,1,43.94050254906522
28,15,1,1,0,39.267670932500906
22,7,1,1,1,51.21425813893717
30,17,1,0,0,39.63487019970332
20,29,0,1,1,35.7687736424045
26,17,0,0,0,39.12665662930765
20,26,0,0,0,32.87600178399935
31,26,1,1,0,34.97825180101895
30,22,1,0,1,40.5440822872708
25,20,1,1,0,37.81874606522804
21,27,0,0,1,37.746787182686326
28,33,0,0,0,30.54623561609212
32,22,1,1,0,37.71433138581224
13,15,1,1,1,43.425337070183375
38,16,1,1,1,45.27549374666691
30,30,1,1,1,36.04102807063033
36,17,1,1,0,39.88046782641399
30,15,0,1,1,44.42900186947438
40,23,1,1,0,37.888427283873625
24,22,1,0,1,40.28039130988084
32,21,0,1,0,37.21621040563041
48,31,0,0,0,33.23504893554512
33,21,0,1,0,37.90004024372983
29,13,1,1,0,41.13246542452796
21,27,1,0,1,37.68946572048567
28,27,1,0,0,33.58382329370418
21,10,1,1,1,46.72883476088296
29,18,1,1,0,36.73507493644027
41,22,0,0,1,41.31924683148367
34,21,1,1,0,38.04225579263725
26,21,1,1,1,41.77787918843767
22,26,0,0,1,39.18924682649392
28,14,1,1,0,40.79453254079157
30,24,0,0,0,34.99398897429007
24,24,1,1,0,33.551274393036124
44,18,1,1,1,43.7903937499659
25,9,1,1,1,47.64860924284418
34,23,1,0,0,37.11365933282727
31,16,1,0,0,37.883187912916846
15,10,1,1,1,46.167284222636376
31,17,1,1,0,41.05074080496737
13,30,0,1,1,34.05910081711996
32,15,1,1,1,45.1983238918429
31,26,1,1,1,38.463304590891646
19,14,0,1,0,40.35094078904872
23,18,1,1,1,42.94112521398571
30,22,0,1,0,36.54229324525292
40,21,1,0,0,38.36282607474136
32,14,1,0,1,46.17883715502472
33,20,1,1,1,43.11653884159445
35,30,0,1,1,38.41949148584641
34,23,0,0,0,37.17386006640175
29,22,1,0,0,37.62891071398794
20,14,0,1,1,44.942457192445566
27,18,0,1,1,43.411661820127456
35,14,1,1,1,45.69395894856262
41,16,1,0,0,41.48961324143572
23,14,1,1,1,45.721992853704194
18,33,0,0,0,30.147341676309324
42,22,0,0,0,40.71512715002332
23,27,0,1,1,37.15765676993117
