defendant_age,trial_length,prior_convictions,legal_representation,violent_crime,alternative_sentencing,recidivism
31,30,0,1,0,0,55.43425845264031
27,16,0,0,1,1,60.57494464032871
25,20,0,0,1,0,52.80703932573942
35,23,0,1,0,0,53.90246246799252
14,18,1,1,1,0,51.04362264914233
33,27,0,1,1,1,61.40725060559589
33,15,1,1,0,1,59.63090799631603
37,16,0,0,0,1,59.12236706404085
39,20,0,0,0,0,52.52666836031049
26,20,1,0,0,0,53.35495680428926
24,24,1,0,1,0,53.54909534754445
32,13,0,1,0,1,61.406840790198544
36,19,1,0,1,0,51.063900459919694
28,26,0,0,0,1,61.67784646491072
38,19,0,1,1,1,61.04716669153861
23,23,0,0,0,1,63.37707143869963
29,13,1,0,0,0,51.477434209366
38,21,1,0,0,0,50.19620454732472
35,17,0,0,0,1,58.33769483218153
20,20,1,0,1,0,51.71225247828217
31,15,0,1,1,1,59.63827681301928
31,22,1,1,0,0,51.94090638094616
27,15,1,0,0,0,51.3065848227696
42,11,1,1,1,0,49.40426840952582
36,18,1,0,1,0,49.56342494084157
43,24,1,1,0,1,62.23162720516914
42,19,1,0,1,0,50.4710678954297
32,20,1,1,0,1,61.65339598441565
33,13,0,0,1,0,51.02920971459103
29,21,0,1,0,1,61.33601404911668
22,20,1,1,0,1,60.446780673935095
25,22,0,1,0,1,62.34674109490352
30,27,1,1,0,1,62.66152532549687
36,18,1,0,1,0,49.8430495972527
28,23,0,1,1,0,52.53979451957085
21,14,0,0,0,0,50.23104532161964
32,26,1,0,1,0,52.33634123823595
14,16,1,1,0,0,53.106448255580375
30,19,1,0,1,0,51.69087070358087
15,18,1,1,1,0,51.03372510467015
18,23,1,1,1,1,61.989942341171954
29,19,1,0,0,0,51.05252255076336
25,23,0,0,0,1,62.6888606607254
39,10,1,0,0,0,50.54196971430531
27,23,1,0,0,1,60.663353158334616
34,18,1,1,1,0,51.92125167165612
32,15,1,0,1,1,58.661614583744
37,18,0,0,0,1,61.2751848269024
13,8,1,0,1,1,58.35654692242308
37,16,0,1,1,1,58.29291863024587
27,24,0,0,0,0,52.95670453495225
25,34,1,0,0,1,65.27813390597706
24,15,0,0,0,0,50.04673490543552
17,18,1,1,1,0,52.9039643660156
26,17,1,1,0,0,49.86162432918082
22,16,0,0,0,0,51.93852466566439
19,26,0,0,0,1,63.0674887049879
30,25,1,0,1,1,63.12918793687169
34,21,0,0,1,1,62.7290579686952
34,23,0,0,0,1,63.42257331057417
34,22,1,1,0,1,60.12057917883469
36,15,1,1,0,0,51.84599221151877
43,23,1,0,0,1,61.91773827507941
29,12,0,0,0,1,60.61618168552396
35,13,0,0,1,0,50.81972279047375
30,17,1,1,1,0,52.58737722795233
38,23,1,0,1,0,53.00838781830122
37,17,0,0,0,1,61.89425830092972
31,12,0,1,0,1,58.47117231039442
24,21,1,0,0,0,51.51489599286946
25,23,0,1,0,0,54.278000152190906
25,14,1,0,0,0,50.440761973303786
23,23,0,0,1,1,62.48729985393662
20,8,1,0,1,0,48.14135792430748
38,19,1,1,1,0,51.9043891718225
37,12,1,0,1,1,58.70543656678504
34,19,1,0,0,0,51.2730169820836
22,33,1,0,1,0,55.64115064886496
27,22,1,1,0,0,52.64223517735211
19,26,0,1,0,1,63.91018601386023
22,15,0,1,1,0,52.19423323565146
31,18,1,0,1,0,50.27456265629713
27,21,1,0,0,0,50.68134727962735
22,9,0,1,1,0,48.10913646656121
24,16,1,1,1,0,50.12380764355069
27,14,0,0,0,1,59.54886050730239
39,24,1,1,1,1,62.06687845700938
38,38,1,1,1,1,63.02512773941432
40,22,0,1,1,0,52.21393306129383
37,23,1,0,1,0,53.6244704082121
32,18,1,0,1,0,50.88975663076872
28,31,0,0,1,1,62.877924315195095
17,14,0,1,1,1,58.55453110731848
44,17,1,1,1,0,50.4271319994972
29,21,1,0,1,0,50.61992021811903
18,17,1,0,0,1,61.26414210666644
27,31,1,1,1,0,55.68163007969471
21,17,1,1,1,0,49.986027466563804
15,14,0,0,0,0,53.1782967431962
38,20,0,0,0,0,51.228864905511934
27,17,1,1,0,1,59.26333808299223
24,22,0,1,1,1,62.537137826974806
34,25,0,1,0,1,63.44370990163451
21,18,1,1,0,1,59.14605825801706
24,24,0,0,1,0,55.86203813630789
36,11,1,0,1,0,48.47810720127364
47,13,1,1,1,1,57.89867766264586
11,20,0,1,0,1,61.75767985271908
32,17,1,1,0,1,61.07814074544576
17,26,1,1,1,0,54.42181463091752
25,12,0,1,0,1,59.2451503283296
27,17,1,0,0,0,51.040215438019615
28,15,0,1,1,1,59.12163835055719
38,24,1,1,0,1,63.61562606255447
24,10,0,1,1,1,59.530938718761405
40,22,0,1,0,1,59.98425470366449
36,27,0,1,1,1,61.99044555069046
35,20,1,0,1,0,51.2339765227956
41,16,0,1,0,1,60.13143384191444
37,18,0,1,0,0,50.97594568183112
28,17,0,0,0,0,52.030531732089536
35,21,0,0,0,1,60.57663991681301
16,23,1,0,1,0,53.99056113341439
24,24,1,0,1,0,51.56817447166352
24,25,0,0,1,1,62.4576205463683
25,24,0,1,0,0,52.28078126239144
28,19,1,1,1,1,61.7814667347033
32,18,0,1,1,0,50.98055454781797
37,8,0,1,1,0,47.32229986059114
48,27,0,0,0,1,63.65574224053038
18,18,1,1,1,0,49.65526134376036
36,21,0,1,0,1,60.77235896306874
31,25,1,1,1,0,54.0381274363143
35,12,0,0,1,0,51.18801077922242
35,20,0,1,0,0,51.01739635768459
24,14,1,0,0,1,60.70951523043396
39,21,1,0,1,0,51.31078859566802
31,16,1,1,0,0,49.90257232316418
30,23,1,0,0,1,63.21864919695722
44,21,1,1,1,0,53.189972246335344
31,29,0,0,1,0,54.65378414060933
45,16,0,0,1,0,50.68114397951829
37,17,0,0,0,1,61.66689144961743
36,28,1,1,0,0,54.435875633871774
38,12,0,1,0,1,59.71831217818557
36,19,1,1,1,1,59.28584726329504
30,11,1,0,0,0,49.00799023999583
32,14,1,1,1,0,51.1094432392977
21,14,0,0,0,1,60.01639000442066
16,20,1,0,1,0,52.95560992552654
40,24,1,0,1,0,54.41601320701603
25,14,1,1,1,0,49.66574390092913
20,21,1,1,0,1,60.48642705820904
32,17,1,0,0,0,52.50364697213187
17,22,1,0,1,1,61.7200425012548
24,14,1,1,0,1,58.87597819803924
23,27,1,1,1,1,64.32512809198076
46,16,0,1,1,0,50.83981231449162
21,25,1,1,1,0,52.72891120097238
26,21,1,1,1,0,51.61909705064862
27,18,1,0,1,0,50.7465894083154
25,22,0,0,1,1,58.53017446671625
25,11,0,0,0,0,50.28453731002121
22,26,1,1,0,0,51.13431702646759
31,15,0,1,0,0,49.5737624090991
25,24,0,1,0,1,62.71356115899221
29,24,0,0,0,1,62.18456966821154
13,16,0,1,1,1,59.73233727359111
23,14,0,1,1,0,49.793112255820255
20,24,1,0,0,1,61.786805117304986
30,31,0,0,0,1,65.30428506307601
18,27,0,0,0,1,62.17589404053406
43,11,1,0,0,1,58.0499831723978
32,20,1,0,1,1,61.261989561692346
16,15,1,0,1,0,51.067838757354686
32,26,1,0,1,1,62.98777783088824
45,19,1,0,1,0,50.46686308940326
19,24,0,0,1,0,52.89676480449868
26,26,0,1,1,1,61.73776046029689
28,20,0,1,0,0,52.01159590908845
19,21,1,1,1,0,55.44503073270661
23,17,1,1,1,0,51.91257493505874
23,11,0,0,0,0,48.80953001558512
34,22,0,0,0,1,61.57957213487883
22,15,1,0,0,0,52.202830978287146
29,13,0,0,0,1,58.422131038400735
39,9,0,0,1,1,57.66147961304065
47,34,0,0,1,0,55.71479806965648
34,13,1,1,1,0,51.103824549207374
21,39,0,0,1,1,67.47975733014407
36,22,0,1,0,1,60.170079758435854
30,17,1,0,1,0,51.28758673020439
15,23,1,1,1,1,60.82120246335214
33,6,0,0,1,1,56.711335958114354
32,20,0,1,1,1,61.98538933879456
20,13,0,1,0,1,60.13217852412078
36,17,0,1,0,1,60.07610617320451
21,26,0,0,0,0,54.73890372444283
28,22,1,0,0,1,62.3044412364135
11,15,0,1,1,1,60.69362978942627
28,22,1,0,0,1,60.38193539390656
27,19,1,1,1,1,60.22716531392821
13,26,1,0,0,0,53.213728103896
42,27,1,0,0,0,52.98711162170938
47,18,0,0,0,1,61.53566934185268
34,21,1,0,1,0,52.33344184293788
30,26,0,0,1,0,52.00541441620657
27,16,0,1,0,1,60.40088591609971
31,23,1,0,1,0,51.44096298554938
32,16,1,1,1,0,49.80056392787064
28,18,0,0,0,1,60.88167422094831
35,17,0,1,0,1,60.95075184165297
18,14,1,0,1,0,49.957946450625776
30,13,0,1,1,0,50.24961294780562
36,23,0,1,1,0,52.75007485573119
29,12,0,0,0,0,50.906740812569886
36,11,1,1,0,0,48.875196218838674
34,16,1,0,0,0,48.95844830166365
26,25,0,1,0,1,63.289924676115696
20,27,1,0,1,0,53.38009289352711
22,26,1,1,0,0,54.8212735544171
18,14,0,0,0,0,50.12236699186168
36,11,0,1,0,1,56.438525700872205
26,21,1,0,0,0,52.74951383616399
38,24,0,1,0,1,60.83268345297675
26,33,0,1,1,1,64.26326559623787
41,23,0,0,0,0,52.03725750285994
31,17,1,0,0,0,52.39771780274418
30,29,0,1,1,1,63.60810776518997
25,22,1,1,0,1,61.6004021589724
25,24,0,1,1,1,61.78149173246439
19,10,1,0,1,0,49.82630106279351
22,8,0,0,1,0,50.12195037315968
17,21,1,0,0,1,61.941230322581625
29,17,0,1,0,1,59.17768526710423
41,23,0,0,1,0,55.14537275427482
29,8,0,0,1,1,57.256043493397925
33,19,0,1,0,1,62.65736889273244
11,20,1,1,1,0,51.62022930214256
22,17,1,1,0,1,60.0080567424834
27,22,1,1,1,1,60.24333227891994
23,23,0,1,0,1,61.13306853269189
29,8,1,1,0,1,56.98886806635688
28,18,0,0,0,0,50.95942747941592
37,22,0,1,1,1,61.65261593810622
49,21,1,1,1,0,51.731546361963225
18,16,1,0,0,0,51.44645954641284
35,14,1,1,1,0,47.91646313102383
26,29,0,0,1,1,62.52398952610324
29,31,1,0,1,0,54.5678270701383
29,17,1,1,1,0,51.75352999579407
24,19,0,1,1,1,60.23298679786945
22,25,0,1,0,1,63.03101069353592
39,29,0,0,1,0,53.98575670008257
27,23,0,1,0,1,61.74622170381234
31,14,0,1,0,0,49.46540025437076
31,13,1,0,1,0,50.36865744862408
19,13,0,0,0,1,59.71379458365737
32,15,0,0,1,1,58.2315210034382
29,24,1,0,0,1,60.99389199874021
40,25,1,0,1,0,52.97259636106598
22,19,0,1,1,0,51.273524216913565
21,25,0,0,0,1,61.73152415784011
16,14,0,0,0,1,59.8994290985074
36,17,0,0,1,1,58.78574855991312
39,16,0,0,0,1,60.568495733004994
23,25,1,0,1,0,55.855542418158585
43,26,1,0,0,0,52.73555669029745
33,18,0,1,1,0,53.15197083001824
39,26,0,0,0,1,62.547097208314185
25,20,1,0,0,0,51.67346095423876
21,20,1,1,0,1,60.13052065202864
40,25,0,0,0,1,61.326923969810935
42,21,0,0,1,0,51.67063090876511
32,17,0,1,0,1,60.53552673810137
35,11,0,0,1,0,49.145736451491445
25,22,0,0,1,0,52.60914077417051
34,14,0,0,0,1,59.19501505434874
21,17,0,1,1,1,59.016589461659045
18,23,1,0,0,0,51.71677746348497
22,22,1,1,1,0,53.70892137892353
43,13,1,1,1,0,51.26267852532999
25,20,0,0,1,1,60.74791993347643
42,9,1,1,1,0,50.006540148388666
33,16,0,1,1,0,51.29526029146695
18,28,1,1,0,0,52.68094842074928
34,23,1,1,0,0,51.70499556601374
39,15,1,1,1,0,50.08000739194529
32,21,0,0,1,1,60.66675484768083
26,25,1,0,1,0,52.774567064678
18,28,0,1,1,1,61.72961906917748
22,10,0,1,1,0,47.85547937926353
38,21,1,1,0,1,61.75142886596629
31,19,0,0,1,1,60.21175317298856
36,25,0,1,1,1,62.55178450146269
42,20,1,0,0,0,52.23950465264447
18,22,0,0,0,0,53.33605566340396
26,18,0,1,0,1,61.64682344752384
25,33,0,0,1,0,54.372046790691925
30,19,0,1,0,1,61.59675723771398
21,20,0,1,0,0,51.41236853415993
33,25,0,1,1,1,63.5005631693458
22,18,0,1,1,1,61.65538955082258
25,8,1,1,0,0,50.52666353363959
17,23,0,1,0,0,52.8593730785325
22,19,0,1,0,1,61.65055273240077
27,18,1,1,0,0,52.725541017768265
24,25,1,1,0,1,61.99429885938356
26,24,1,0,1,1,63.37643922611876
33,27,0,1,1,0,54.131982988278935
26,7,1,1,1,0,48.061096031830175
22,24,1,1,1,0,51.869474789084286
38,12,0,1,1,0,50.45804857994651
50,32,0,0,0,0,55.34497839771
34,22,1,1,1,0,52.40904937717111
20,21,1,0,1,0,53.66517032437285
17,24,1,1,1,1,61.68452438618807
22,19,0,0,0,1,61.05843313730788
25,14,1,0,0,1,58.6850366900712
30,24,1,0,0,0,53.90054882036684
24,24,0,0,1,1,62.23464125238432
41,9,1,1,0,0,48.7601466945096
35,22,1,0,1,0,53.89728490957698
31,9,1,1,0,1,57.09502092015391
34,19,0,0,0,0,50.84468833640766
28,18,0,1,1,1,59.71261051336759
30,20,0,0,1,0,53.222279775295135
32,25,0,1,1,1,63.04325448062088
45,15,1,0,1,0,49.53559622353331
30,25,1,1,0,0,53.51552791055352
21,23,1,1,0,1,61.33760933945068
42,16,0,1,0,1,61.1677268210509
31,18,1,0,0,0,53.37273403364992
26,25,0,0,0,1,61.66695449670788
35,18,1,0,1,0,51.42053175725864
28,24,1,1,1,0,52.26630618615244
42,20,1,0,1,0,50.84490515397509
37,22,1,0,0,0,52.53216975512264
40,23,0,0,1,0,51.992752616244296
27,23,1,1,0,0,52.95053218772192
42,15,0,1,1,0,51.205082925331205
31,14,0,1,1,1,60.08398306329884
30,16,0,1,0,1,59.86345867962497
28,18,1,0,1,0,50.6714220470817
29,20,1,1,1,0,53.16659851191453
27,17,1,1,0,0,51.94906684944266
32,26,1,1,0,1,63.8503335455116
28,18,0,1,0,1,58.66442344516362
32,7,1,0,0,0,49.74164457420335
39,15,0,0,0,1,58.21673182546783
22,18,0,0,1,0,52.24611616790072
35,12,1,1,1,0,48.91496523283347
30,20,0,0,1,1,60.11106168665849
31,27,1,1,0,1,62.229909122609016
31,24,0,1,1,1,62.531318525843886
15,19,1,0,0,0,52.251953891928245
27,14,0,1,0,0,51.57069460683581
35,27,1,1,0,0,53.244649406501566
32,16,1,0,1,0,52.509972391809605
23,11,0,0,0,0,51.00527564902748
38,28,1,1,0,1,62.75270882862347
17,26,1,0,1,1,63.5787783112991
24,22,0,0,0,1,61.70073369377296
33,17,1,0,1,1,59.493330497696576
34,27,1,0,1,0,55.46218922224866
37,25,0,1,1,0,54.33400936826382
26,9,1,1,1,0,49.10796017876867
25,19,0,0,0,0,51.25404032670054
25,28,1,1,1,0,53.88484105525338
31,17,1,1,0,1,58.97231544487374
35,22,0,1,0,1,60.86216820695763
34,27,1,0,0,1,61.87373777936708
18,21,0,0,0,0,52.05465931579637
17,18,1,0,1,1,61.698879260963416
20,13,0,1,0,0,50.44321466240217
30,22,1,1,1,0,50.72150832012847
14,17,0,1,0,1,60.20988397497406
36,31,0,0,0,1,63.3179742874739
33,20,1,0,1,1,61.295878861028925
33,29,0,0,1,1,62.30105727156014
35,17,1,0,1,0,52.934498804465406
38,20,0,0,1,0,52.50345647532361
39,23,0,1,1,1,62.00918303232034
28,23,1,0,1,0,51.459665962594855
38,15,0,0,1,0,50.46376078614247
27,13,1,1,1,0,51.20552577323254
39,15,1,0,0,1,57.78943030555283
29,8,0,0,0,0,49.23544148884179
30,22,0,0,1,1,61.04015244475217
39,22,1,1,0,1,61.98622499300951
13,19,0,1,0,1,61.81003756275775
19,20,1,1,1,1,61.65601601113367
17,27,1,1,0,1,63.45731213161102
29,29,1,1,1,0,55.564776023505736
34,21,1,1,1,0,50.52782176193111
32,16,1,1,0,0,52.72066456477111
27,16,1,0,0,0,51.30412147468619
10,12,0,0,0,0,50.02381484099017
20,20,1,1,1,0,51.88286072305353
25,9,1,1,0,1,58.01530758137121
21,24,0,1,1,1,61.63262232845161
34,27,1,0,0,1,62.96894782842853
32,22,1,1,1,1,61.86881117690308
19,30,1,1,1,1,62.307726639961714
32,20,0,1,0,1,60.223728725045525
25,17,1,1,0,1,60.62638069845677
42,21,0,0,1,0,52.06721373266611
27,19,1,0,0,1,60.949722349509294
22,8,0,0,1,1,59.40255308704421
35,15,0,0,1,0,50.360496197004586
34,29,0,1,1,0,52.24019034410834
34,19,1,1,1,0,52.8094846695564
44,22,0,1,0,1,62.4799760295582
34,20,1,0,0,0,51.35430167295266
8,26,1,0,1,1,61.47937644654608
21,26,0,0,1,0,53.28232135901957
32,24,0,1,0,1,61.3260088213704
36,21,0,1,1,1,61.49625950588247
35,17,1,0,0,0,49.505081208410125
46,15,1,0,1,0,50.29445791752856
23,22,1,1,1,1,61.013976745821736
28,29,1,1,0,1,63.19170967160197
46,19,0,0,0,1,60.15997856713255
15,21,1,0,0,0,53.4174172956898
31,15,0,1,0,0,51.787011856612935
31,10,0,0,1,0,49.59164447057972
44,19,1,1,1,1,59.15941885357928
24,21,0,1,1,1,62.04844819604314
36,15,0,0,0,0,51.51969143515335
29,18,0,0,0,1,59.75869626522546
27,28,0,0,0,1,63.66071764651842
33,21,0,1,0,1,61.74943723971287
30,20,0,0,0,1,62.42723012916466
30,7,1,0,0,0,46.99513187122665
27,17,0,0,1,0,50.182347647529205
31,17,0,1,1,0,50.7359369201977
37,29,1,0,1,0,54.70400900160709
30,28,0,0,1,0,54.302560741129895
37,21,0,1,1,1,60.77445805219378
34,11,0,1,0,0,51.0018427589551
29,13,0,0,1,1,58.71036191078799
41,12,1,0,0,0,49.79776360637107
25,20,1,1,1,0,52.43974301969123
45,22,0,0,0,1,61.06222395044367
12,15,0,0,0,1,57.9264219958176
30,18,1,0,0,0,48.90647752205695
29,22,0,1,0,1,59.99298365792399
29,20,0,0,0,1,59.42031464394848
34,20,0,0,0,0,51.73970283066262
35,5,1,1,0,0,48.5623627134833
20,9,1,0,1,0,48.49799849963159
19,21,0,0,1,0,51.18479703687998
30,22,1,0,0,1,61.05849611411898
35,19,0,0,0,1,60.49014114564826
39,26,0,0,1,1,63.56279113101572
30,19,1,0,1,0,54.05852608388351
19,27,0,0,1,1,64.99106001525928
23,19,1,1,0,0,53.29686726652588
49,15,1,0,0,1,59.03434792073865
39,19,0,1,0,1,60.18933562634504
35,23,0,0,0,1,61.76308433081447
32,21,0,1,0,1,61.66503003703197
33,13,1,0,0,0,48.68961215813501
42,10,0,0,1,1,58.46103818153029
25,22,0,1,1,0,53.016356045314055
32,25,1,1,0,0,54.73614527296253
30,25,1,0,0,0,51.70849681440266
43,23,1,0,1,0,53.93564681778809
37,17,1,0,1,0,50.044186647691774
32,16,0,1,0,1,58.48187429839563
21,18,0,0,0,1,60.41505525541498
29,16,0,0,0,1,59.1177598583787
19,20,1,0,0,0,53.91441815474481
26,15,1,1,0,1,60.5805556332587
13,18,1,1,1,1,59.10667565369124
31,26,1,1,0,0,53.99431246719686
41,18,0,1,0,1,59.1716288422397
34,22,1,1,1,1,60.22121797670677
33,16,0,1,1,1,58.702203829593486
28,23,1,1,0,1,63.322558611588434
24,21,1,0,0,1,61.2755654292029
25,17,0,0,0,1,58.7784681989175
36,17,1,1,0,0,51.57564599439555
31,14,0,0,1,0,50.99036073455523
27,17,1,1,1,0,49.99138230462841
31,18,1,1,0,1,60.29416463755247
29,23,0,1,1,1,61.3568683043502
37,21,1,1,1,0,52.07974905236486
32,15,1,0,0,1,61.14412402850213
33,20,1,1,1,0,51.86683198171547
19,22,1,1,0,1,63.41419095930098
35,28,1,1,1,1,63.56129230259443
41,5,1,0,0,0,46.70366141285145
26,17,1,1,1,0,50.72164783734034
27,21,1,1,1,1,59.752954124321015
34,21,0,0,1,0,51.86618342934726
30,29,0,1,0,1,63.43977230079378
39,26,0,1,1,1,63.55585757197999
36,18,1,1,0,0,52.39641573297897
19,21,0,0,1,0,52.22522955291657
25,14,1,0,0,0,49.824274941433806
15,18,1,1,0,0,52.82314726872968
31,10,1,1,0,1,57.183031488265165
17,20,1,1,0,1,62.68353200502664
17,24,0,1,1,1,62.36518965650301
30,21,0,0,0,1,60.818197588883386
32,33,1,0,0,0,55.957036744858335
28,27,1,0,0,0,53.92580890273261
20,24,0,1,0,1,63.4873194005569
43,24,1,1,0,1,62.99440979317889
35,11,1,1,1,0,49.22381922666132
18,11,1,0,0,0,50.61654447342193
25,7,1,0,0,0,47.5068526420877
25,20,0,1,0,0,51.56861746633974
20,25,1,1,0,1,62.13554944900076
30,24,0,0,0,1,62.88711153930587
31,16,0,0,1,0,51.8431711925469
38,15,0,1,1,1,58.22727138312485
33,21,1,0,0,1,59.96768239470186
34,19,1,0,1,0,51.79909229271444
34,24,0,0,0,1,61.48323126834507
33,12,1,0,1,0,48.3569843467997
22,34,1,1,0,1,65.84593560487347
23,21,0,1,0,1,61.035853931520336
29,25,0,0,0,1,61.64836351771714
39,25,0,1,0,1,62.083102151017975
39,28,1,0,1,1,63.95658430242136
48,28,1,1,1,0,54.91448730092843
51,10,0,0,1,0,49.87102007148893
35,24,0,1,0,1,62.46084161639924
37,21,1,0,1,1,60.80146083471689
32,27,1,1,1,0,53.635999703633225
17,19,1,0,0,0,50.87173620081377
42,23,1,0,1,0,52.31681088655437
27,18,1,1,1,0,51.933365469888855
35,26,1,0,0,1,61.18205915857834
45,26,0,0,0,1,60.90060663504736
22,6,0,0,1,0,47.84844687832184
27,23,0,0,0,1,63.50544223062997
31,11,1,1,0,0,48.06631633734658
33,14,0,0,0,0,51.6508195530148
19,21,1,0,1,0,52.55255442452878
30,18,1,1,1,0,50.75669292713123
25,26,0,0,1,0,52.99882615272652
29,12,0,1,0,1,58.566227213720346
25,29,0,0,0,1,63.46343368716978
41,29,0,0,1,0,54.24855004832581
25,22,0,1,1,1,61.88473906914858
22,21,0,1,0,0,52.6861754429386
29,20,1,0,1,0,53.42216709179228
20,20,1,0,1,0,52.18223225558395
21,24,1,0,0,1,63.768388455034895
30,21,1,0,1,0,50.83691834734811
24,10,0,1,1,0,48.24362952731842
39,28,1,1,1,1,62.40610363436913
35,29,1,0,0,0,54.79000399130015
17,19,1,1,0,0,51.32542638986584
31,12,0,0,1,0,50.22726329993056
21,31,1,0,0,0,54.74663804662313
23,28,1,0,0,0,54.17111395895499
23,15,0,1,0,0,52.238077066109
38,22,1,0,1,0,53.32052184172397
26,32,0,0,0,1,66.13420958129224
20,24,0,0,0,1,61.36327841689556
28,12,0,0,1,1,59.20326157070334
24,28,1,1,1,1,63.584782071287485
40,16,0,0,1,0,50.89951986158773
28,18,1,1,0,0,52.76698400028344
28,27,0,0,0,0,54.13864434349859
16,21,1,1,1,1,59.30089676497975
14,15,0,0,1,1,59.33542755856237
34,19,1,1,1,0,52.24148780329452
45,27,0,1,0,1,62.13861352627379
40,28,1,0,1,0,53.757482814719246
27,19,0,0,0,0,51.09954355733243
28,13,1,0,1,0,51.45609581873421
27,13,1,1,1,1,60.28152663999286
24,22,1,1,1,1,61.19175923170067
18,14,0,0,1,0,49.11683318018913
42,12,1,1,1,0,47.841391734458085
29,20,1,1,0,1,60.35296659723821
23,21,0,0,0,1,60.5717206640552
37,15,1,0,1,0,50.36768084955085
26,18,0,0,0,1,59.44238596173136
31,17,0,1,1,1,58.78796877515985
37,23,0,0,0,1,61.380809180494346
31,13,1,0,1,0,49.017734693953
25,23,1,1,0,0,54.9476526915433
34,17,0,0,0,1,58.75990944510633
27,9,1,1,0,1,57.49202289148824
39,23,1,1,1,1,60.88201796734699
24,16,1,0,1,0,51.02000929772271
30,17,1,0,1,0,51.3823487232101
32,17,1,0,1,0,50.71991665919536
23,21,0,1,1,1,60.87312564892721
26,24,1,1,0,1,62.706713760148894
34,23,0,0,0,1,61.133907654888574
39,15,1,1,1,1,59.027072543401886
34,7,0,0,0,0,48.778041543047294
17,17,0,0,1,1,60.529863922181775
27,15,0,1,1,1,60.41302786166912
38,9,0,0,1,0,48.92325312594532
44,20,0,1,1,1,58.497938872446525
27,35,0,1,1,1,63.74250548349587
27,23,1,0,1,0,52.59365328339939
43,24,1,0,0,0,53.12641335750088
41,24,1,1,1,1,60.66988440916839
27,26,0,0,1,0,54.474365030268
32,17,0,1,0,0,51.86390494778892
38,13,0,0,1,0,50.19507721535411
33,29,1,0,1,1,61.74263930874097
43,23,0,1,1,0,52.157332426580815
26,21,1,1,0,1,60.72828967647978
41,23,0,1,1,1,62.28601640540357
22,29,0,0,0,1,61.85733100336098
40,26,0,1,0,1,62.11901505258451
19,27,0,0,0,1,62.21595299920358
25,14,1,0,0,0,50.34798387161602
43,14,0,1,1,1,59.62018047555139
23,18,1,0,0,0,53.822790231670304
23,14,1,1,0,1,59.31714234472879
40,29,0,1,0,1,62.6722544605058
29,20,0,1,0,1,62.03511329508244
