student_age,parent_education_years,school_quality_index,household_income,gender,minority_status,special_education_status,teacher_experience_years,tutoring_hours,academic_performance_score
7,31,9,14,1,0,1,10,30,259.1682595139982
11,27,4,14,0,0,1,7,26,232.95772237450024
9,27,11,15,1,1,1,10,31,260.2960853899987
12,31,8,11,1,0,1,15,32,272.2913050848063
10,28,11,11,0,1,1,17,35,284.34249395422825
12,31,7,7,0,0,1,10,28,248.50220560330828
5,30,18,10,0,1,1,11,37,291.7678022340209
9,31,10,10,1,1,1,11,31,262.555715028277
6,29,9,11,1,1,0,12,32,268.21856628401724
6,26,8,15,1,1,1,13,32,268.11032603513576
7,28,2,10,1,1,0,11,27,237.1442341391805
11,28,5,11,0,1,1,12,28,244.78568030811329
10,30,5,12,0,0,1,12,29,252.17007222528065
8,30,11,12,1,0,0,13,32,270.66987679479485
7,32,9,17,0,1,1,13,28,248.49375711262604
8,30,3,16,0,0,0,9,28,250.72338436063492
10,30,8,13,1,0,0,14,32,268.3439897488461
12,29,4,15,1,1,0,12,27,239.63346955286423
14,25,6,17,1,1,0,9,29,251.56126232599829
12,30,8,14,1,0,1,14,30,256.674889943932
9,29,7,13,1,1,1,11,31,266.33702038887435
6,30,4,13,1,0,1,13,28,247.56464152785787
7,30,8,12,1,1,0,10,29,250.4896707373438
10,29,6,10,0,1,1,14,29,247.1563250647318
11,28,6,18,1,1,0,16,29,250.411026875703
10,30,10,13,0,1,1,11,31,264.9288119563407
4,31,5,14,1,1,1,17,29,250.1882183875365
9,30,3,11,1,1,1,10,24,224.12939423278365
10,25,8,12,0,1,1,11,33,272.1422918109551
10,28,8,15,0,1,1,8,28,245.5766777928289
6,30,6,14,1,0,1,10,27,237.6853320222973
11,28,10,13,0,1,1,11,34,281.71660112529025
6,30,12,13,1,1,1,14,35,289.19818875223206
9,29,8,13,1,1,1,6,27,240.61914458941467
12,28,4,15,1,1,1,11,27,239.498579630792
11,28,10,11,1,1,0,10,29,247.80895287145944
15,30,1,13,0,1,1,8,23,222.01834358516265
9,28,13,13,0,1,1,11,33,271.44581904640347
13,29,10,16,1,1,1,11,32,272.5655355709485
10,27,9,16,1,1,1,14,34,280.8947569927382
10,24,8,11,0,1,1,12,32,266.1419484919888
11,29,12,13,1,1,0,9,32,268.5948433801283
14,29,4,15,0,1,1,11,28,250.3325027083301
9,27,5,12,0,1,1,9,29,250.76869349756532
6,32,7,8,1,1,1,11,29,255.1049104464776
14,31,8,16,1,1,0,13,28,245.92149514756125
7,29,7,11,0,1,1,11,28,244.5838850064181
11,28,7,10,1,1,1,10,29,251.82464533921456
13,31,4,12,0,1,1,10,27,244.94812345313224
10,29,3,16,1,0,0,13,30,262.3046224392468
12,28,4,19,1,1,1,12,26,237.7253941773152
11,28,8,13,1,1,1,10,30,258.66597817208066
9,30,8,14,0,1,1,15,31,260.46478115102
12,26,6,10,0,1,0,11,30,255.1898995400545
9,29,8,15,0,1,0,10,33,276.43162092965935
5,28,4,14,0,1,1,14,28,243.0490228535746
9,30,13,11,1,1,1,12,31,260.38906673469273
3,28,9,19,0,0,1,9,28,241.5756223882612
10,30,8,14,0,1,1,14,31,263.7828164613356
14,29,3,12,1,1,1,14,27,240.81816643925865
8,32,2,15,1,1,1,14,26,238.1262781981177
10,34,5,17,0,1,1,8,24,225.34886415652093
7,32,11,14,1,1,1,12,30,253.0644755014354
10,32,7,18,0,1,1,12,29,257.96593691279577
10,32,5,13,1,1,1,10,27,245.5642845597154
13,33,14,18,1,0,1,12,33,278.2719543623626
9,32,8,12,1,1,1,14,31,267.1972023863618
15,27,5,12,1,1,0,15,30,257.1976926390755
12,29,7,15,1,1,1,11,28,245.77607308121028
4,28,9,15,0,1,0,10,31,261.1932066849958
3,27,8,13,1,1,1,17,34,278.5141255354109
7,23,4,14,1,1,1,11,28,242.80195962998144
10,29,10,10,1,0,0,17,36,290.61857697063414
12,31,8,18,1,1,1,13,29,253.70421189025703
10,32,11,15,1,1,1,11,31,262.9101584380877
11,35,7,13,1,0,0,12,26,237.36812554780795
4,30,10,15,1,1,1,12,32,269.6529646613957
5,31,10,16,0,0,0,13,33,277.7804029009016
10,31,11,14,0,0,1,9,31,264.3840696816332
12,31,18,15,1,1,0,13,39,311.63810845222383
10,28,11,18,0,1,1,10,31,262.61415553539723
11,32,2,16,1,0,1,8,23,222.59296880059637
7,27,7,17,0,0,1,12,29,253.4123555460872
19,26,3,18,1,0,1,13,26,237.06145329924215
8,26,8,11,1,1,1,12,32,266.79280217248976
7,29,6,11,1,1,1,15,30,256.88712288070525
12,30,7,13,1,0,1,13,30,260.66130076789227
8,29,10,15,0,1,1,14,35,287.99237600424624
9,27,5,17,1,1,1,7,26,233.8519337729845
11,26,6,11,0,0,1,11,29,248.60095971192604
11,29,7,12,0,1,0,12,35,289.88254484881776
12,33,3,17,1,1,1,13,26,243.68243845732
11,30,8,22,0,1,0,10,27,239.84899261264545
9,28,7,12,0,1,1,9,29,249.70898441036536
5,30,5,9,1,1,1,8,25,225.4796021039469
10,26,10,13,1,1,1,9,32,269.26928814957955
15,30,6,17,0,0,0,12,27,244.5085989988713
10,31,10,11,1,0,1,10,28,245.2053428035439
8,29,6,15,1,1,0,13,30,258.7054685919628
10,27,9,12,1,0,1,10,30,254.29082344639048
11,29,9,14,1,1,1,12,30,255.50036450959888
8,28,12,15,1,1,1,12,34,279.0478859532498
8,23,11,15,1,1,0,13,33,266.8917303722767
8,33,7,13,1,1,0,13,31,267.28123622486106
5,28,10,9,0,1,0,15,35,284.34371522483355
7,31,7,13,0,1,1,11,29,252.28626966089072
6,31,5,10,1,0,1,10,28,250.08475644333177
11,28,8,16,1,1,1,11,28,243.34072039184892
8,26,6,14,1,1,1,10,27,239.2588488821669
10,31,8,15,1,1,0,12,32,270.70081544477824
10,28,13,14,1,1,0,8,34,280.1393240978339
13,27,8,13,1,1,1,7,27,238.77773780274163
11,27,5,14,1,1,0,13,33,276.2593422419667
9,29,3,17,0,1,1,12,28,246.22410663108963
11,29,4,12,0,0,1,13,28,245.45072853239395
3,27,6,12,0,1,1,13,31,262.840913588604
12,28,10,10,0,1,1,12,32,266.4701752430694
11,27,6,11,1,1,0,10,32,272.4546165445984
4,27,13,14,1,1,1,16,34,274.2906236819595
14,27,8,10,1,1,1,14,33,272.98368526862663
7,27,6,13,1,0,1,11,26,232.31521702494567
12,35,11,13,0,1,1,8,29,256.0585981450982
10,29,12,21,0,0,1,13,34,283.505264463042
8,31,6,16,0,0,1,9,27,242.8441791495692
11,31,7,12,0,1,1,12,29,250.8510359911808
10,29,8,13,0,1,1,11,29,249.4400401340201
7,29,8,12,1,1,0,10,33,276.46331894209294
7,31,3,17,1,1,0,12,27,243.358457209956
7,30,13,14,0,1,1,16,38,305.44427353593227
12,25,5,19,1,1,0,13,26,230.7242911121428
8,29,10,16,0,0,1,12,31,260.3207197991209
8,32,5,15,0,1,0,13,27,241.4877583755994
11,27,6,13,1,1,1,10,30,256.06676048844616
8,29,9,13,1,1,0,12,31,264.57172112154063
10,31,9,17,1,0,0,12,28,246.40070459528377
14,28,5,14,1,1,1,11,28,248.1958832772615
9,30,4,13,1,0,1,11,26,237.68207582069115
13,26,3,15,0,1,1,14,28,245.1577518415508
12,30,8,18,1,0,1,11,29,254.05867413542964
7,32,14,11,1,1,1,11,34,277.9001644131804
7,26,11,11,1,1,1,10,31,257.3349098104192
11,27,2,12,1,1,1,11,28,248.81107418793084
13,30,5,13,1,1,0,12,29,251.4851379580976
12,31,14,13,1,1,1,10,32,265.72054485237123
12,27,8,14,0,1,0,10,29,248.5732208709348
10,26,13,13,0,1,1,12,36,287.8524058565097
11,26,12,13,0,1,1,14,36,289.49838754316704
4,28,9,18,0,1,1,11,32,265.4891150807365
8,28,11,15,0,1,1,13,32,264.2557468462218
14,30,11,9,1,1,1,11,33,278.2732749299609
10,32,5,13,1,1,0,11,28,251.3001048124709
13,25,6,11,1,1,0,14,33,274.2110125679138
5,35,6,11,0,1,1,12,29,254.03069557393067
9,27,12,14,0,0,0,12,34,276.3596372737258
10,28,4,10,1,1,1,17,33,277.1014627269521
9,26,2,13,1,0,1,11,25,227.69704715835604
12,28,6,13,1,1,1,12,29,251.3287430256952
11,29,11,12,1,1,1,9,32,268.1746953995919
12,32,9,10,1,1,1,12,30,254.6158110585223
14,29,9,16,1,0,0,12,32,271.07601257704374
6,28,10,12,1,1,1,10,32,266.37753987405944
13,28,9,14,1,0,1,8,28,245.617770489661
8,29,11,17,1,0,1,13,35,285.8919721542985
13,29,12,8,1,0,0,13,36,294.6249568018696
12,31,9,14,1,1,1,8,26,231.2111271462076
6,27,10,16,1,1,0,9,32,268.49068834476594
9,28,8,17,1,1,1,12,30,256.059969646531
3,28,2,9,1,1,1,8,26,232.97345213469544
8,30,10,9,1,1,1,8,31,264.5106924005641
11,32,6,19,0,0,1,13,29,258.1615529526434
9,30,9,13,1,1,0,10,29,251.42534381821952
6,26,11,14,1,0,1,12,31,260.0924324036236
11,30,3,16,1,1,0,11,23,215.93866248514072
9,30,8,15,1,1,0,12,31,264.95311540110725
10,30,5,15,1,1,0,12,29,253.92373684868448
13,29,8,17,1,0,0,12,31,265.67440254252296
7,33,6,16,0,1,1,10,27,243.9128964441471
8,30,7,15,0,1,1,11,28,246.56968110480523
14,31,5,17,1,1,1,7,24,227.92524958422143
9,31,8,13,0,0,1,11,29,254.8921832259891
11,27,4,13,0,1,0,10,28,243.3860345081941
4,27,5,12,1,1,0,8,29,251.1328120527595
14,31,10,15,1,1,1,12,31,264.66459294738354
12,34,11,16,0,0,0,11,32,272.1771861717565
8,31,7,12,0,1,0,8,27,241.0318986666779
11,26,12,14,0,0,1,7,29,247.91798614708227
9,29,8,13,0,1,1,8,27,238.36385113487069
10,33,4,13,1,1,1,10,25,232.44772980822552
11,25,4,13,1,1,0,11,28,243.30522219130376
14,30,11,13,1,0,0,14,34,284.51835430806415
7,29,9,14,1,1,1,10,29,250.4584430708584
9,27,9,16,0,0,1,16,32,266.7010015990846
7,30,5,13,1,1,0,12,30,259.4839658216852
8,29,13,10,1,0,1,16,38,303.3698344876917
10,26,5,15,1,1,0,12,29,249.95322852061972
14,31,11,11,0,0,1,11,32,269.7994176948789
12,29,10,16,0,1,1,12,33,275.33270399401187
13,27,6,17,1,1,1,8,25,228.19469307483195
13,29,9,15,0,1,1,11,29,249.85803585021225
9,29,10,11,1,1,1,11,33,276.0191802810302
9,28,4,11,1,1,0,11,29,252.1941270848902
6,30,5,16,0,1,1,11,27,241.48947055039747
11,34,3,14,1,0,1,13,26,239.6253307115195
12,31,3,11,1,1,1,10,26,237.10570945492844
11,32,16,8,1,1,1,13,38,307.06832560500163
10,30,7,17,1,1,1,11,29,253.40753479168757
18,31,4,13,1,0,1,14,26,239.6050019635827
9,32,8,14,0,0,1,8,30,260.5279485643749
8,27,10,8,1,0,0,9,31,258.6191486635042
10,33,8,13,1,0,1,13,29,256.14881213465145
9,30,5,15,0,0,1,11,28,248.23863219525225
15,28,3,13,0,0,1,14,30,264.18928249566244
10,26,-2,14,0,1,1,12,23,214.2724753257716
6,27,9,13,1,1,1,13,31,256.4616816196443
11,27,11,10,0,0,1,14,35,283.5836135409137
10,30,11,18,1,0,1,7,33,280.6464938472571
12,30,12,15,1,0,0,8,31,263.5300921213268
7,28,10,16,1,0,0,10,31,258.8280980872529
8,30,2,15,1,1,1,9,25,231.60248175834764
11,30,8,14,1,1,1,11,28,245.22748376114356
11,30,6,19,1,1,1,10,26,234.2608265604007
8,33,10,12,1,0,1,10,33,281.16738479622967
9,30,8,10,1,1,1,11,27,237.36773938526744
10,29,4,14,1,1,0,10,29,255.40695593182795
9,27,11,15,1,1,0,14,34,278.3533911814541
12,31,7,16,1,1,1,10,26,235.2461971796228
14,33,6,18,0,1,1,12,25,231.96165724999716
9,30,8,14,1,0,1,14,32,272.4542801212119
15,24,9,12,1,1,0,13,33,272.6069561528282
7,30,10,14,1,1,1,10,31,262.6644667710799
4,28,5,13,0,0,0,13,33,275.0979747731253
9,29,6,14,1,1,1,15,31,263.5269057937375
7,30,5,14,0,1,1,11,27,240.16101864233107
10,24,12,16,0,0,0,12,33,269.9753627040092
13,28,4,16,1,0,1,11,29,255.33875817492785
10,31,6,15,1,0,1,13,29,256.2827245328522
13,30,8,14,1,0,1,11,28,246.29691248620804
13,30,10,13,1,1,1,12,31,265.20573330638354
5,32,9,13,1,0,1,12,31,264.9327947688554
5,27,8,4,1,1,1,10,28,237.9442836335812
12,29,11,17,1,0,0,15,35,289.5163132712156
13,29,2,7,0,1,0,10,27,237.4259816819093
9,29,10,15,1,0,1,13,33,275.9574247922675
8,30,0,14,0,0,1,11,24,225.673377323606
13,29,8,15,1,1,1,10,29,254.30113172611263
12,29,2,18,1,1,1,11,24,224.83864679646695
6,33,8,16,1,1,0,11,30,260.4380783983128
9,25,11,13,1,0,1,10,32,267.1094546660173
15,29,7,13,1,0,1,9,26,235.5988188017744
8,27,8,12,1,1,0,12,30,254.86821327097857
11,30,11,12,1,1,1,13,33,277.3929196947414
8,32,6,13,1,1,1,14,28,250.0995527967337
8,32,7,16,1,1,1,10,27,242.08601606127263
9,31,6,11,1,1,1,12,29,253.73780385318597
13,30,8,15,1,1,1,12,27,239.5479428275343
15,25,6,12,0,1,1,11,28,244.81466361802012
11,30,5,14,1,1,0,10,29,252.8983909162261
8,27,10,16,0,1,1,12,32,267.530166554248
8,30,5,15,1,1,0,13,29,255.10778945429945
1,25,7,11,0,0,1,12,29,246.05635979188256
14,30,6,13,1,1,1,13,29,254.79945017029328
10,31,5,14,1,0,1,9,28,250.83505676454385
5,31,8,12,1,1,0,10,29,251.8820849536616
9,29,2,17,0,0,1,11,26,237.8271952272729
16,31,11,17,1,1,0,10,31,269.18628689995404
10,30,9,12,0,1,0,12,31,262.0327169365222
10,30,6,13,1,1,1,10,28,248.65885867542588
16,27,9,16,1,1,0,13,34,282.7770480473281
10,32,3,14,1,0,0,11,27,243.66403062000876
15,32,7,13,1,0,0,11,29,256.6832617882882
11,32,6,11,0,1,0,11,31,267.2586497257041
8,25,7,12,1,1,1,15,32,266.21623914453704
4,30,10,12,0,1,1,11,31,261.75684085818017
6,31,10,12,1,1,0,13,30,254.1264528489988
7,27,8,12,1,1,0,9,31,259.7674450367069
4,27,2,8,1,1,1,13,27,236.73927269184483
12,32,7,14,1,1,1,12,28,249.09874948548827
14,31,8,17,1,1,1,8,28,251.1327472806068
16,29,7,12,1,1,1,12,28,247.54938973634304
10,27,6,19,1,0,1,13,27,241.44125468165893
6,31,6,12,1,0,1,12,30,261.24813815998414
12,30,10,17,1,1,0,10,31,266.74007142162253
9,33,5,15,1,1,1,12,27,242.11201320474788
9,26,1,12,1,0,1,7,25,231.1982421706093
8,30,6,14,0,1,1,10,31,268.1017073493563
10,27,7,15,1,0,1,13,30,256.4610684581393
10,24,10,13,0,1,0,10,35,282.1644652118296
7,29,4,7,1,0,0,11,27,236.6922290745366
9,32,12,14,1,0,0,10,31,264.5668919719337
9,32,4,12,1,1,1,12,27,243.10249548535583
8,30,10,11,1,1,1,12,30,253.28051861068656
5,32,10,13,0,1,1,12,32,270.7275444528848
8,25,4,10,1,0,1,11,27,236.8413837029446
11,31,6,16,0,1,0,12,30,260.64394937565345
7,29,10,7,1,1,0,11,33,270.5197488024562
6,30,11,13,1,1,1,13,32,268.3469316034439
11,25,14,15,1,1,1,12,36,289.558543993172
9,30,6,11,1,1,0,13,27,240.23345471570173
10,29,11,14,0,1,1,10,31,263.146884035684
14,28,8,13,0,1,1,12,33,277.5543887669338
5,25,5,16,1,1,1,10,28,244.84911383311987
11,31,4,17,0,1,1,11,28,252.68681995450265
11,28,5,11,0,1,1,13,26,229.6207170750918
12,33,11,17,1,1,0,11,32,275.7464992597812
11,35,9,8,0,1,1,8,30,261.40748024031933
10,27,6,13,0,1,1,12,31,266.0237518453636
7,26,4,14,0,0,1,9,29,252.96009088522072
9,26,3,12,1,1,1,14,30,258.4692471755633
15,32,8,11,1,1,1,10,29,254.78707846910405
5,30,8,13,1,1,1,13,31,266.2766893298134
3,34,10,12,0,1,0,11,32,272.8310798084827
7,30,6,12,0,1,0,10,29,248.53093116951948
11,29,11,13,1,0,1,13,34,282.62539749029844
6,32,10,17,0,1,1,10,31,265.556706705094
9,27,10,15,1,1,1,14,34,279.7443596456675
9,29,5,13,1,0,1,14,30,259.6978038414238
7,28,6,12,0,1,1,10,30,259.7629742004261
9,29,8,16,1,1,0,12,31,262.7778058268818
14,29,7,20,0,1,1,9,24,220.74520686670985
6,34,6,14,1,0,1,12,28,249.1589972091537
9,32,9,14,1,1,0,11,30,259.0663972903634
9,25,14,13,1,0,1,14,32,259.6569361348025
10,33,3,14,0,1,1,11,27,244.5226313920568
8,28,11,17,1,1,0,13,36,293.5141309136743
10,29,8,17,1,0,1,12,30,258.33327298449274
13,28,3,14,1,1,0,10,30,261.3023149604599
13,27,13,14,0,1,0,13,38,304.61037996833744
14,25,2,15,1,0,1,15,29,255.98264325594445
9,29,8,13,0,1,1,12,32,267.91235247705936
12,29,5,17,1,1,0,14,31,265.83231020121866
4,29,4,15,0,1,1,13,27,239.11709194214964
7,30,6,14,1,1,0,11,30,259.33764380113183
9,36,11,14,1,1,1,11,29,256.4891298477471
15,29,15,12,1,1,0,11,39,311.362194150439
6,32,10,16,1,1,1,13,32,272.4664531721096
11,30,7,16,1,1,1,14,29,253.48746087306264
7,26,8,17,1,1,1,17,34,282.3931874437244
9,32,9,18,1,0,1,10,29,258.0441431856546
13,25,12,13,1,1,1,12,33,269.9694394560989
11,27,10,11,1,1,0,12,37,297.5688858107447
10,26,5,18,1,1,0,8,26,234.63881116821844
8,30,5,10,1,1,1,9,28,246.6889444760953
9,32,5,21,1,1,0,10,26,236.6052658401281
5,28,4,17,1,1,1,10,26,233.62973995828807
10,29,4,12,1,1,1,12,28,247.4595699518808
10,28,13,16,1,0,1,12,35,287.5549347135483
12,32,9,9,1,1,0,15,34,282.67652269716723
16,33,9,11,1,1,1,12,27,244.2655463983615
14,31,2,13,1,1,1,8,28,254.97269275701825
6,31,5,15,0,1,1,12,28,247.3514044163165
12,36,10,13,0,1,1,12,33,282.130342578526
9,29,4,18,0,1,1,10,28,249.0529694572589
10,29,7,11,1,1,0,12,30,255.47269083705268
9,32,1,14,1,1,0,12,25,233.03023916292287
7,33,3,10,1,1,1,11,25,230.04055320550745
11,31,8,15,1,1,1,15,31,267.17974229495246
9,29,11,13,0,1,1,10,33,275.693322924487
9,27,5,13,1,1,1,13,27,239.230169474035
7,31,5,12,1,1,1,11,28,246.72468404427215
10,31,4,17,1,1,1,13,29,257.61717411232064
7,29,6,15,1,1,0,14,29,249.7080664178962
10,33,13,14,1,0,1,12,32,270.91427225259525
12,26,8,11,1,1,1,9,31,262.81403401559083
8,26,3,16,0,0,1,12,26,234.31792970863287
8,31,4,15,1,0,1,11,26,236.27957149461344
9,28,12,13,1,1,0,10,32,265.62478511209497
10,30,8,19,1,0,1,13,30,261.8474606993544
11,31,4,18,1,1,1,10,23,218.4228103945788
10,30,5,11,0,1,1,11,29,254.83696895474807
11,31,5,17,1,0,1,11,27,246.47467973259504
7,28,11,17,0,1,1,10,33,275.02049094867056
12,30,11,13,1,1,0,11,34,283.7723355927519
8,28,6,14,1,1,1,8,24,218.9917955479144
14,26,11,14,1,0,1,8,32,268.6426655811092
9,29,11,13,1,1,1,11,31,264.6999971105489
9,30,10,9,0,1,1,11,32,268.6461382014457
8,30,5,16,1,0,1,12,26,238.3939002491248
7,29,5,16,1,1,0,11,30,261.12660341038736
12,30,8,10,1,1,0,12,33,277.6907165904164
7,27,11,10,0,0,1,10,33,269.0571590826937
7,31,3,14,0,1,1,12,27,243.35364083467607
7,31,12,19,1,1,1,10,30,256.1380411384121
15,26,7,15,1,1,1,10,26,233.2592165591345
5,31,7,16,1,1,1,12,26,232.6670620655484
11,33,10,17,1,0,0,12,31,270.33304231003444
10,30,9,12,1,1,0,12,33,278.8701412218292
8,31,3,13,1,0,0,11,26,237.34529129138707
8,28,5,12,1,0,1,13,27,239.9642706464089
10,31,10,12,0,1,1,14,33,278.83495641109937
5,26,6,17,1,1,1,11,29,253.38733200104016
14,31,4,11,0,1,0,12,30,264.1905411872678
5,27,3,15,1,0,0,11,28,247.2564898014953
13,28,9,14,1,1,0,11,31,262.9068684651695
9,28,10,12,1,0,1,9,31,258.3006924030426
6,32,9,10,0,1,1,10,30,255.88817272115745
10,31,3,14,0,0,1,12,28,248.4483713009263
15,28,8,11,1,1,1,11,31,268.3001332895098
9,25,11,13,1,1,0,13,36,288.99444339724107
6,28,4,13,1,0,1,11,25,227.58048383637475
12,30,5,14,1,0,1,11,26,235.3681169848895
11,29,7,14,0,1,1,8,29,254.3289867545724
14,27,8,12,1,1,1,11,33,275.4241544165956
7,29,1,13,0,1,1,12,25,229.878948063437
13,28,10,11,1,1,0,11,32,268.08997246498467
9,31,6,16,1,1,1,13,26,235.10871189801597
7,32,8,14,1,1,1,12,29,254.68087943314308
8,32,4,11,0,1,1,10,26,236.6852769916117
7,34,10,17,1,1,0,13,30,259.07752648962673
16,29,5,17,0,1,1,10,29,257.7658815620712
9,30,12,12,0,0,1,8,33,275.4118867114901
9,26,6,18,0,0,1,14,29,251.13884823685416
9,28,6,13,1,1,1,10,28,243.4163140038752
9,30,6,11,1,1,0,7,26,234.8777400352572
12,26,3,14,0,0,0,9,25,227.64962382396763
11,28,11,14,1,0,1,9,30,256.37468994175765
13,31,0,16,1,0,1,8,25,235.9873831237568
14,32,7,8,1,1,1,14,29,253.65471109832544
10,26,6,12,0,1,1,11,31,262.9348354430974
8,27,8,13,1,1,1,11,30,256.866298685139
10,30,8,15,1,1,1,13,33,278.44481925191815
7,26,8,11,1,1,0,11,31,258.070698441839
12,30,9,14,0,0,1,8,29,254.3074880207172
7,28,2,14,1,1,1,12,25,229.05682280471777
10,30,9,12,0,0,1,12,32,270.983288738833
13,31,6,11,1,0,0,11,29,257.14321981169513
7,31,11,13,1,1,1,8,31,265.8691940446383
14,25,8,15,0,1,1,13,32,268.9049446004652
13,31,8,12,1,1,1,12,32,273.48991417152746
14,23,6,16,1,1,1,14,31,261.3760270452792
11,33,8,9,0,1,1,12,30,260.6792704009624
5,28,1,7,0,0,1,11,25,227.005561167771
12,30,9,11,0,1,0,11,34,282.8624674404265
6,33,5,15,1,1,1,13,29,254.35783275388405
14,28,8,16,1,0,1,10,32,273.03403344206265
10,28,7,15,0,1,0,7,28,243.7025264213456
8,30,6,11,1,1,1,11,29,252.06934327008224
7,29,12,15,1,1,1,10,30,255.86108395216087
6,30,8,13,0,1,1,9,28,243.53611484921635
8,27,7,13,0,1,0,10,30,255.1002785253442
6,25,10,13,1,1,0,16,35,283.6597418058042
10,33,7,13,1,0,1,13,30,262.09832287911286
11,25,6,16,1,1,0,8,29,251.262911838798
12,27,12,13,1,0,1,13,35,286.2875318803429
11,31,9,15,1,1,1,8,28,246.8081026040899
13,30,5,13,0,1,1,14,27,237.41599685971028
12,29,7,11,1,1,0,14,34,282.3637645646284
13,33,12,12,1,0,1,11,32,271.9543006716892
8,30,0,13,1,1,1,10,25,232.87126851795145
16,31,0,12,1,1,1,15,27,246.2992398727452
7,27,13,11,1,0,0,10,35,283.4371074723207
12,26,8,21,1,0,0,9,28,244.11468296628388
9,27,5,18,1,0,1,11,27,239.41339945612373
12,32,4,9,1,1,1,10,27,243.9181321517813
9,30,7,11,1,1,1,10,30,258.9094510381148
22,28,9,10,1,0,0,8,30,258.29555244150544
17,30,9,12,1,0,0,12,31,261.8837244323394
11,32,2,12,1,0,1,13,28,250.78808607539293
14,31,10,19,1,1,1,10,28,250.22375449858592
9,31,8,15,1,1,1,11,29,255.9875622166365
11,31,7,12,0,0,1,13,31,267.0525932088238
6,27,13,12,1,1,1,13,35,280.5986413527754
13,31,10,11,1,0,1,12,31,264.0709940115175
11,31,13,15,1,1,0,11,34,284.0982497771543
11,27,8,17,1,0,0,10,32,272.5785515265161
14,29,9,13,0,0,1,9,28,242.082686416446
11,29,5,13,1,1,0,12,29,253.3747793572504
14,29,5,11,1,1,0,13,29,252.25526975677008
9,31,6,14,0,0,0,11,28,245.50452090473792
