age_head_of_household,household_income,urban_residence,previous_beneficiary_status,cash_transfer_program,food_security,household_consumption
21,12,1,1,1,38.44721475891488,155.3176445967393
30,22,0,0,1,58.83323672365271,211.6785896272586
25,9,0,0,1,37.92791297982373,154.46247022306966
17,17,1,1,1,40.875433658220096,162.11668977117668
23,11,1,1,1,38.07468907435174,156.2986822305324
44,12,0,0,1,58.7071145094943,213.270295786227
30,18,1,1,1,54.13236114066967,201.71352645502128
35,26,1,1,1,68.73357505131108,241.88472509894544
40,25,1,1,1,74.69589105092993,255.42718260730732
27,24,1,0,1,60.3298608677985,216.78340989492517
29,20,0,1,1,54.48919538347726,202.22508420720573
33,20,1,0,1,60.51249193560926,216.12172730246837
27,28,0,0,1,62.35112296751573,221.46641761036685
25,19,1,1,1,52.27500828684353,192.4687505463796
24,14,1,0,1,44.95245787411183,173.1942504804364
24,16,1,1,1,46.44254928770238,178.79586084027662
27,32,0,1,1,69.93235490892134,241.30658380563733
39,15,0,1,1,58.6036389916812,213.4159657480532
39,16,0,1,1,60.22547444129175,217.43342124200163
27,18,0,1,1,50.682178737758434,189.76045730171288
14,16,1,0,1,37.18674177379877,153.19143262786125
34,26,1,1,1,70.44473453725251,244.99465155324117
47,14,1,1,1,66.73791436445791,232.3887236971702
30,12,0,1,1,45.14552938219108,175.03954717052483
21,19,1,1,1,48.46745893159374,184.68522298610876
18,18,0,1,1,42.09747728171109,167.0411263713318
34,19,1,1,1,59.63329005941202,217.44658609523475
31,12,1,1,1,49.17857631857115,184.99538899987624
28,22,0,1,1,57.38840470204499,207.3492981505333
38,22,0,1,1,68.77298213810826,239.51950761328496
41,14,0,1,1,60.18252542038734,215.91212771667648
37,22,1,0,1,67.72866858747871,234.66308111732835
29,11,1,0,1,44.94254840477024,171.30981727303453
21,15,0,0,1,40.41467678718661,159.44049570652848
35,20,0,1,1,61.519766222771246,223.32504981928085
29,16,1,1,1,52.45465223145679,196.0038092711939
28,15,0,1,1,47.49220197880415,180.410869924824
45,20,1,0,1,71.69500977945056,246.220098888141
34,18,1,1,1,58.64076462030605,211.36444221470103
14,18,0,1,1,39.18521450001872,158.2725777872005
28,30,1,0,1,66.09007287302224,231.78991402237227
32,25,1,1,1,65.24847248161377,232.1114476436265
26,23,1,1,1,57.02642381947297,208.9441339949267
30,18,1,0,1,54.206677669298095,196.64594378235097
38,16,0,0,1,58.05396844336804,210.13567004034604
26,27,0,1,1,61.58630623462011,221.1354430716597
41,26,1,1,1,75.66200117977695,258.14023488867394
29,33,1,1,1,73.64380036457489,255.40637186073036
36,17,0,1,1,58.173345541663736,210.38936514436935
26,22,0,0,1,53.51479375824042,195.25980361210412
41,23,0,0,1,70.50860979500052,245.20435050479117
19,19,1,0,1,43.431239788055485,168.2698177433112
29,16,1,0,1,50.69155379163698,190.12274243095592
27,23,1,0,1,56.50287002202592,206.78549354805625
33,17,0,1,1,56.976959888991104,208.74701804515692
29,10,1,1,1,43.34759047208494,170.10318925877178
25,27,1,0,1,62.76171526646628,221.6560050523272
12,12,1,0,1,29.151894664139444,130.86191961432698
30,20,1,1,1,57.32552196446545,210.73883564671496
26,24,1,0,1,57.23427791344399,208.49286847121724
40,29,1,0,1,77.37815976819496,265.1755914098898
26,24,0,1,1,58.26802027257712,210.02657567180648
30,28,0,0,1,65.13022368888258,230.125117817361
25,24,0,1,1,57.06505573104765,209.7184044955345
20,24,1,1,1,53.94227992691905,197.6385028043669
26,16,1,0,1,48.888312348789206,188.02663147058573
25,28,0,0,1,61.09268583964488,220.03829907741056
40,20,0,1,1,66.56886119119372,231.81862492392176
42,12,1,1,1,59.96225255970738,214.17845363397564
18,22,0,0,1,46.019142559788335,178.71077153189427
24,18,1,1,1,49.15129913384856,184.62571184431695
35,22,0,0,1,63.72673819439593,222.60863450258609
33,18,0,1,1,56.76984082570811,206.18230755552293
37,19,0,1,1,62.45047221787796,221.733351988952
35,27,0,1,1,69.18533508515576,242.21957995410745
25,18,0,1,1,50.19859007776529,186.5124952674106
42,14,0,1,1,59.49900194692261,215.03416034003865
21,15,0,1,1,41.34820981458708,164.00340610664142
28,26,0,1,1,62.02573659749746,221.38369494445203
20,5,0,1,1,26.66006723215212,126.84977313945808
18,22,0,1,1,44.73776230568271,175.45404385459037
42,12,1,0,1,58.51162432620996,209.86031595219796
28,24,0,1,1,58.01894119447947,211.90709121671105
40,17,1,1,1,64.22209783597555,228.1809689672452
38,23,1,0,1,68.534652943496,238.09113094737847
30,16,1,0,1,52.05379097399571,194.13536005518935
47,14,0,1,1,62.64949209497049,224.7560376357566
11,15,1,1,1,32.791671813471105,143.72582510156255
23,15,1,1,1,44.97851887151034,172.39612992017277
25,17,1,1,1,49.435261781877394,185.88887722868137
32,23,1,1,1,61.5423225664793,222.6841886064189
28,10,1,1,1,43.63523403897323,171.47741890793287
38,30,1,0,1,78.51562837426579,264.71298420380947
18,15,1,0,1,39.79629148225574,158.6558289754224
34,14,0,0,1,51.1510457187533,192.1888080426172
28,26,1,1,1,64.34923387138825,225.2098472046367
23,21,0,1,1,51.60705283927523,193.99304533009067
19,11,1,0,1,35.568417572617214,147.40734421515978
42,18,1,0,1,65.0943820343163,228.9676970462056
18,12,0,1,1,34.3545043967312,143.90354697608683
28,18,0,1,1,50.59571992325056,189.72158383690063
32,21,0,1,1,61.43534112000711,218.28685072635932
24,22,0,0,1,51.396464005215726,192.6612969974981
23,24,0,1,1,53.97289005189753,200.0226411093331
19,19,0,0,1,43.4635230825317,166.62507920671268
29,20,0,0,1,53.606438198182246,196.56458886018376
26,11,0,1,1,39.915461025533375,161.79222269182378
41,21,1,0,1,67.9941738010308,239.38728830359184
24,24,0,1,1,54.382883828359695,202.2270453195764
20,19,1,1,1,48.139776607368354,182.52529292944925
30,33,1,1,1,72.7302365750595,254.53838270292556
27,21,1,1,1,56.29661030647846,205.54194533867295
30,19,1,0,1,56.305946600477625,204.41869774370844
30,19,1,1,1,56.6036205487207,205.8395117481355
25,16,1,0,1,49.079466445971,185.16293793949464
17,5,1,1,1,26.51943028752201,121.44753973710988
33,17,1,1,1,57.62224976501337,205.9905631987534
22,27,1,1,1,59.20499964359637,215.2258629449614
20,21,1,1,1,48.0453765613159,185.79437570990996
29,16,1,1,1,52.13855680804382,193.02287085477707
37,19,1,1,1,62.76800845862428,224.93214022699095
28,15,0,0,1,47.25061615400565,177.7133310520469
38,30,1,1,1,79.01785778621964,269.3699357189463
31,23,1,1,1,62.56397929888913,222.2111127550357
25,18,0,1,1,47.99673210121707,183.10890341005552
30,20,1,1,1,56.48717501275065,206.2734855775089
31,24,0,1,1,62.04321635273593,220.9857088828801
33,22,0,0,1,59.52428911793275,217.3262858955654
35,8,0,1,1,44.0817654631239,172.89300456645566
19,18,1,1,1,44.980709860939776,175.21717508830653
16,26,1,0,1,52.10877181810806,192.5827836782284
29,12,0,1,1,46.51066674961566,177.03148395930054
20,27,1,0,1,57.19206634211469,209.84185460044432
39,19,1,1,1,66.15867911065584,232.45956499860569
23,22,0,0,1,49.482841053964805,187.33460072072745
33,24,1,0,1,66.31413871838664,233.3940505406075
35,26,1,1,1,71.31899752511845,243.755894160315
43,27,1,1,1,78.89544365192329,269.3534494695617
34,27,1,1,1,71.04644451642542,245.57056585475283
37,29,0,1,1,74.89742620496872,257.9512601945098
32,21,1,1,1,61.15494676545365,219.6958217275938
19,32,1,0,1,61.03757973832537,217.37271010110712
21,13,1,0,1,38.83818414340579,157.87207426375747
25,14,1,1,1,45.79933528025316,175.81018291018265
29,20,0,1,1,54.14954231793931,202.21073110688525
23,14,1,0,1,43.95863271810224,169.90584391105557
22,10,0,1,1,34.570472894413335,143.77459841736842
28,22,1,1,1,57.47812559178652,209.71056722871256
30,26,1,1,1,64.59564022386682,228.1990041467147
23,15,1,1,1,43.887062814273456,170.09331652099888
31,14,0,0,1,47.5700198025153,180.34132587001568
27,19,1,0,1,49.71809716725438,188.37186464015443
36,24,1,1,1,66.8556730091366,238.3004392758094
31,14,1,1,1,51.6898072815754,192.03391759187477
37,15,0,0,1,55.8806900392642,203.21856960489484
35,25,0,1,1,68.23800628558806,237.41505054954803
24,25,1,1,1,58.8302998722066,212.4894692677474
34,19,1,1,1,60.83791524275127,219.40700662312625
26,13,0,1,1,41.70173766821139,168.1287637332991
33,6,1,0,1,41.02191640661763,161.5737391522248
28,20,0,1,1,54.17773596742109,202.6809473929289
14,25,0,0,1,46.49632217281832,180.6391565804012
38,17,0,0,1,57.97720497385385,210.8236555615997
26,12,1,0,1,42.47805102779078,169.84681806658898
36,23,1,1,1,68.56510657906918,240.98423540283883
12,16,1,1,1,33.74691609562004,143.4275710622791
40,21,1,1,1,68.59902965609531,239.34938035746868
24,24,1,1,1,58.01017818418264,211.51319156494768
14,25,0,0,1,45.370448091755314,173.67723074834868
35,14,0,1,1,53.09141869131746,197.3508709730156
31,18,1,0,1,56.56633754978532,205.79300145939573
23,20,1,1,1,51.47246564641255,192.2708643817944
36,19,1,1,1,62.11050745177714,220.90467051546088
18,20,0,0,1,42.819287677553255,166.58621572136067
17,9,0,0,1,28.598813492768908,129.96830759173864
18,11,0,1,1,32.27278584118138,140.95081755754524
28,14,1,1,1,48.14196253667945,183.4681385257541
33,24,1,0,1,65.66796701182457,229.46892406951815
29,24,0,0,1,60.036595498078285,216.4654244038849
24,26,1,1,1,60.53797568035783,214.25741509260016
26,16,0,1,1,46.60394181727043,179.6985594917705
25,16,1,0,1,45.44461662856671,175.05557224144886
33,11,1,0,1,49.291126434901095,184.84266356196957
35,27,1,1,1,71.16174589335996,247.1485293440802
28,20,0,0,1,54.36170858150721,199.50657066797368
25,22,0,1,1,54.22119653344279,199.2170195606056
26,23,1,0,1,57.79387525622645,208.4951510865324
24,14,0,1,1,42.29546698403568,169.5860383701847
31,20,1,1,1,59.11839257937687,211.81009517549128
25,16,1,1,1,49.68326780062107,184.62558130430887
27,18,1,1,1,52.40016011904978,195.1356863043274
9,22,1,1,1,39.37120193058515,159.57964670945353
21,24,1,0,1,52.40519494691166,195.73777892257672
30,22,1,1,1,61.56298467134649,221.51145769548407
25,7,0,1,1,36.24532121936077,145.97692223711823
30,17,1,0,1,54.35671173272136,197.6939698167369
29,24,0,0,1,61.285192928153535,220.02837945351055
21,14,1,0,1,40.94011658563368,162.3171055462844
31,17,1,1,1,54.568346928689984,202.4053692874349
38,14,0,1,1,55.07122353678936,201.7390660317624
37,19,0,1,1,60.9886091685153,220.3332325949698
37,26,0,1,1,69.02781400673436,240.83018096521351
27,22,1,1,1,57.3825461630428,206.9660789619109
32,28,1,0,1,70.14928346423557,242.2243339984028
32,20,0,1,1,61.80760475877217,220.3951769900141
14,27,1,0,1,48.91516721781958,184.5474262048405
44,21,0,1,1,70.85967201178974,244.63894499576676
29,12,0,1,1,45.99746281343954,175.02143036488275
22,21,1,1,1,51.67415597345923,192.87551558763235
34,13,0,1,1,49.95561715808381,190.11431060084783
32,13,0,0,1,47.825108841556286,181.53389386604863
24,21,1,0,1,51.611334763479206,191.39518569290576
33,16,1,1,1,55.58306278034644,203.35672434429443
38,32,0,1,1,78.26124897947437,268.9180488060365
29,21,1,1,1,56.77564411572415,207.8445318296613
30,20,1,0,1,54.04252355086272,204.2970756377676
26,15,0,1,1,46.43785890531306,180.7499086456912
38,24,1,1,1,69.5793047359725,242.48425836578585
42,21,0,0,1,68.69263230060056,238.3029234831699
38,23,1,1,1,69.33981900357419,242.07523029154447
36,16,1,1,1,59.17702011417172,211.35615030526543
26,16,0,0,1,46.56986165282355,177.2923472859331
29,31,1,1,1,68.58989754032018,239.38780951636448
36,13,0,1,1,52.97778495392877,193.29893505006257
25,27,1,0,1,62.10852506350243,221.0528493662692
22,33,0,1,1,65.54388240688738,230.80462763069653
38,23,1,0,1,68.97483156494485,240.08935861232703
36,23,1,0,1,66.74122328455701,234.35434788226348
15,26,1,1,1,51.39638047813946,191.9352856957521
41,15,0,1,1,60.21331367131064,217.35915588776
44,16,0,1,1,64.74948458596641,230.32234896217096
29,17,1,0,1,51.93975790758486,193.84809338054583
24,21,0,1,1,51.19728673108352,191.37618141867625
17,25,0,1,1,51.11677871140763,193.90324301356603
18,20,1,1,1,47.50877456960036,180.57114875468585
35,25,0,1,1,67.0329773114451,234.72855931634092
28,10,1,0,1,42.0287650350782,166.406535367676
45,36,0,0,1,90.28020034726109,301.2970628979109
26,18,0,1,1,49.20361555747574,190.0140558449057
30,20,1,1,1,60.243883225548274,216.58293524113608
40,16,1,0,1,60.543910962956765,217.3179246695224
47,16,0,1,1,66.73702655515125,233.6450182950708
35,18,1,1,1,60.44088500795302,215.7424699546571
35,27,1,0,1,71.09849629722943,246.47014475292923
42,20,1,1,1,68.04978885719238,243.34125883947095
31,24,1,1,1,64.37903174464361,226.07079679990045
50,11,0,1,1,63.46333036110542,224.9496632818698
29,13,1,0,1,46.562663649295146,179.17994572604573
34,12,1,0,1,50.70361779211298,190.65133982030423
30,24,1,1,1,59.6016671580632,218.7308321342253
37,8,1,1,1,47.82762868730946,184.82350942751088
38,22,1,1,1,69.04625463324452,238.9919366099088
22,19,1,0,1,49.44494208758122,182.61121771144056
22,13,0,0,1,38.75078081113349,153.24240256547694
32,22,0,0,1,61.91889132589037,218.93879903578585
21,7,1,0,1,34.01013312051318,140.99768044121862
31,8,1,1,1,43.27128490122006,168.02458848995502
23,21,1,0,1,49.21282800853666,187.44604516770093
28,12,1,0,1,44.05793611018855,171.22377452959802
27,25,0,1,1,60.84778866770064,219.84108969320675
27,8,1,1,1,39.12683206510931,157.2862775636429
43,9,1,1,1,56.906860000195046,204.76363664104136
46,20,0,1,1,70.4770361263107,247.2464814669928
33,25,0,1,1,64.9759105879464,229.33247044876643
27,36,1,0,1,74.28194042864295,254.95658685316764
33,8,1,1,1,43.95756102330299,170.30240250493443
29,26,1,1,1,64.55276662005679,227.507377232842
30,23,0,1,1,60.35501514934897,216.53336277767315
34,20,1,1,1,60.84796079871101,217.04438091422003
26,20,1,1,1,54.764637045446406,200.0053854708613
26,18,0,0,1,48.686808119693225,185.09539312078152
18,26,1,1,1,53.64477439356131,197.2964994649368
26,17,0,1,1,49.01524785654284,183.99110165728237
28,26,0,1,1,63.07548736003324,224.37850700233892
32,16,1,1,1,56.80480578348171,204.0292486244814
22,24,0,1,1,52.826747168888005,196.02149884197564
9,18,1,1,1,33.96802544642527,144.03664490711438
27,12,1,1,1,45.50815536450798,175.03267115402278
39,12,1,1,1,56.79471349475019,206.9517113392729
35,10,1,0,1,47.68406342450399,183.27935721135287
35,18,1,1,1,59.18600892829158,214.6696359097246
19,16,1,1,1,42.37086965755162,165.25211377640852
27,17,0,0,1,49.6753397055425,185.3350823940056
21,19,1,1,1,48.77883535762658,185.9062200017137
15,20,0,0,1,41.456383726477966,162.63831537613837
29,30,1,1,1,68.8455414157644,240.6248145805493
25,19,1,1,1,51.19147884146106,190.7227975744807
25,16,1,1,1,48.19864912580318,181.0855944210645
16,11,0,1,1,32.69354347954979,137.37515146198237
25,15,0,0,1,45.09635511376262,172.296964279164
30,36,0,1,1,77.49410285586671,264.3412853846133
32,14,1,1,1,53.590461999222434,196.6617733303121
30,16,0,1,1,49.430046442011246,190.1549717402941
37,20,1,1,1,62.46841781636022,225.79175085026475
31,19,1,0,1,55.234321556613146,202.0397492775161
