participant_age,education_years,annual_income,gender,rural_residence,social_network_size,access_to_broadband,political_participation
40,22,4,1,1,0,0,95.42515698833554
6,26,3,0,0,0,0,78.5283164755947
10,22,7,0,0,0,0,79.94475603298373
26,25,6,1,0,0,0,93.126860832019
39,26,7,1,0,0,1,110.09001113392776
29,27,6,1,1,0,1,103.3697716407438
21,25,7,0,0,1,0,88.55694634878456
28,28,0,1,0,1,1,97.17285221482813
6,23,6,0,0,0,1,86.95458710506065
7,21,10,0,1,0,0,80.28424948434083
27,25,6,1,0,0,0,92.80196345039516
25,27,3,0,0,0,0,88.72164674153325
15,26,5,0,0,0,0,85.1436593831663
32,21,6,0,0,0,0,90.68262765036118
28,25,5,0,0,0,0,92.12887086467124
38,23,6,0,0,0,0,96.414790464046
25,25,7,1,0,0,0,93.31014157869888
27,23,5,1,0,0,1,98.18549028278282
6,31,9,0,0,0,1,95.71490892658868
16,28,7,1,0,1,1,100.25195334630514
34,18,5,1,1,1,1,100.57669564675814
38,26,6,0,0,0,0,97.29844037321745
27,22,6,1,0,0,0,91.0085781488082
26,26,7,0,1,1,1,101.4659139541409
26,23,6,0,1,0,0,90.83543796807191
35,25,8,0,0,0,0,98.90042484007706
32,34,6,1,0,1,1,110.49958545449022
9,26,6,0,0,1,0,82.21821857556205
17,26,9,0,1,0,0,89.92785853009528
27,27,3,1,0,0,0,91.54460330362376
24,21,1,0,0,0,1,91.13270267592138
7,19,5,0,1,0,1,83.25660239225114
17,16,2,1,0,0,1,86.084769821201
25,24,3,0,1,0,1,97.5692333172798
24,29,6,1,0,0,0,94.1327670805528
31,23,7,1,0,0,0,96.21938746163676
26,12,3,0,0,0,1,86.72323455281361
14,24,7,1,0,0,0,86.26728931548554
28,26,4,0,0,1,0,91.5031844031856
17,24,5,0,0,0,1,92.02830393157564
27,27,7,0,0,0,1,102.88753605893332
28,25,5,1,0,1,0,92.04233647315418
19,29,8,0,0,0,1,100.1175749226238
28,28,0,0,1,0,0,88.28976415952827
13,24,4,0,0,0,0,79.5233762604132
29,20,4,0,0,0,0,86.63328708747721
17,33,4,0,1,1,1,100.3153252051736
26,20,7,1,0,1,1,98.71847232827204
7,20,8,1,1,1,1,87.60357797872659
10,25,4,0,0,0,1,87.01547521052775
25,23,5,0,0,0,1,95.86973256820583
24,27,6,1,1,0,1,100.44920001658744
26,25,9,1,1,0,1,102.42142900029356
20,23,3,0,1,1,1,94.03132610717934
40,23,6,0,0,0,1,107.03058076126337
27,30,10,0,1,0,0,99.72171105591592
40,17,2,1,0,0,1,98.24554503956182
15,14,6,1,1,0,1,87.79488514949239
21,24,5,0,1,1,0,86.13094325702943
28,23,8,1,0,0,0,92.76294582769172
25,25,0,0,1,0,0,85.06228026823307
7,19,1,0,0,1,0,72.2380987865798
31,26,1,1,1,1,0,89.64239460310029
31,28,8,1,0,1,0,98.19307676566606
22,24,8,0,1,1,0,90.45022693833518
32,24,0,0,0,0,1,95.31696730204716
26,23,9,1,1,0,1,101.02928021922362
36,25,4,1,1,0,0,93.682074279632
20,33,2,0,0,0,0,89.32794144823566
20,11,6,0,1,0,0,76.26442313190958
21,16,3,0,0,0,0,78.78303508200504
37,26,4,0,0,0,0,95.77714480892928
14,27,5,0,1,0,1,93.20271683686975
31,28,9,0,0,0,0,99.56754458936382
42,20,8,0,1,0,0,98.95821702873695
34,29,9,1,0,0,1,110.355065768611
28,18,7,0,1,1,0,86.70417304162652
22,20,4,0,1,0,1,90.86931272711745
29,22,6,0,0,0,1,99.13614191313168
28,24,9,0,1,0,1,102.95842749112064
23,21,8,1,0,0,1,97.3474071699175
31,24,7,0,0,0,1,101.83666476160232
25,25,9,0,1,0,1,101.79192299841158
33,22,4,1,1,1,1,99.56612266496792
35,25,6,0,1,1,0,96.52746329105705
17,18,1,0,0,0,1,83.58858276745767
11,23,6,0,0,0,0,83.77439491503492
16,23,4,1,0,1,0,83.79458637971842
9,23,7,0,1,0,0,79.9533671512966
29,22,11,0,1,1,1,104.78146595001589
45,25,5,0,0,0,0,101.46439114104916
38,12,5,0,0,1,1,96.28274138817648
20,18,10,1,1,0,0,88.25584890055525
32,26,5,0,0,0,0,94.60705344785664
21,19,10,1,0,0,0,87.12742043074923
38,27,5,1,0,0,1,107.05958668037744
24,23,8,0,0,0,0,88.8154613371094
10,25,4,0,0,0,0,80.99318256274178
20,29,9,0,1,0,1,101.95258830290602
31,24,8,1,0,0,1,104.2678836498587
24,25,9,0,1,0,0,92.27422082433974
27,28,6,0,0,0,1,102.23455588133564
28,24,3,0,0,0,1,99.03167545889154
12,18,4,1,1,0,0,77.04499503148737
30,26,3,0,0,0,0,89.67804649655788
19,27,8,0,0,1,0,89.81297696317355
34,23,8,1,0,0,1,106.12260634382412
10,21,6,1,0,0,1,88.99835679968348
30,25,4,0,0,0,0,91.13111722046726
17,13,11,1,0,0,0,80.78737092800775
37,28,8,1,0,1,1,112.92183660395612
11,28,5,1,1,0,0,85.35660407219275
37,22,9,1,0,0,1,105.10671130368878
37,25,2,1,1,1,0,94.5166209376946
19,21,5,0,0,0,1,91.87483031476144
25,20,5,0,0,0,1,94.66243435311344
32,31,2,1,0,1,0,95.64804869762214
11,25,6,1,1,0,1,91.76242079401212
32,24,4,1,0,1,1,101.77404810877768
22,20,2,0,0,0,0,79.42348419337246
26,30,3,0,1,1,0,93.49806738071592
25,20,4,1,1,0,0,84.8155667984573
10,26,8,0,0,1,0,85.57723328691485
17,24,1,0,1,1,0,81.48290062577492
32,20,7,1,1,0,1,101.10890809955204
15,30,5,1,0,1,1,95.18660080691768
27,22,3,1,0,0,0,87.8132861537349
17,26,4,0,1,0,0,85.33312309814772
32,32,5,0,0,0,1,105.737271768994
34,19,5,0,1,0,0,90.72343616610534
35,25,7,1,0,0,1,105.0532164365937
9,25,4,1,1,1,0,80.73471529861517
2,24,10,1,0,0,1,89.38999316835489
19,25,3,1,1,0,1,93.94284657050332
51,24,7,0,0,1,0,104.92144960071734
30,21,5,0,0,0,1,97.4095478655411
28,24,8,1,0,0,0,94.25467548941197
27,20,5,0,1,0,0,86.35113842157068
7,27,3,0,0,0,1,86.74448124851152
32,20,3,0,0,0,1,96.64063385153013
41,22,7,0,1,1,0,96.67274581421864
32,25,5,0,1,0,1,101.22744450193206
30,22,3,1,0,0,0,88.2890244166949
29,24,4,0,0,0,0,88.90687675230731
41,21,4,1,1,0,1,103.23517729888378
24,20,6,1,0,0,0,86.31594931237537
30,13,4,0,0,0,1,90.7224868990043
41,19,2,0,0,0,1,100.02013940571872
27,19,6,0,0,0,0,86.55891853528878
15,28,4,0,0,1,0,87.49844295551425
22,26,3,0,0,0,0,86.62542728155894
22,21,6,0,0,0,1,93.2229847206264
18,27,3,0,0,1,1,95.1059040492038
38,22,3,0,0,0,1,100.31821829083664
24,26,8,0,1,1,1,101.30977812275532
11,29,6,0,0,1,0,86.21616331794054
17,29,4,1,0,1,0,88.094110326152
26,18,4,0,0,1,1,90.91374583498494
34,28,3,0,0,0,1,102.76191742948065
23,25,2,0,0,0,1,95.3543820405195
33,27,5,0,0,1,0,95.94317692427892
15,27,2,0,0,0,1,89.13318427597638
29,18,4,0,0,0,1,91.89808686040072
53,19,3,0,0,0,0,97.96902454089737
16,18,6,0,1,1,1,90.96507284218931
43,20,6,1,0,0,1,105.8526295259624
3,24,7,0,0,0,1,86.53163424247211
37,25,6,0,1,0,1,105.31711847517292
30,22,3,0,0,0,1,97.33375759563722
23,29,3,0,1,0,0,89.02584276401845
20,31,3,0,0,0,1,97.87065647774423
30,22,3,0,1,1,1,97.44791312627328
9,20,6,0,0,0,0,78.21381337712805
23,30,3,1,0,1,0,91.38489214440304
57,24,5,0,1,0,0,107.7349769865468
18,21,4,1,0,0,0,83.72256432208188
22,19,7,1,1,1,1,96.27489974513546
11,20,5,0,0,0,0,76.78271190504029
37,26,7,1,0,0,1,108.444138762045
45,22,7,0,0,1,0,99.21674273634336
21,24,4,0,1,0,0,85.33542560096895
39,28,4,0,0,1,0,100.64958791779924
32,26,9,0,0,0,1,107.1544652363388
21,25,5,0,0,0,1,97.32525514642802
11,20,7,0,0,0,0,80.13477171501155
28,19,6,1,0,0,0,88.59245746004048
14,19,10,0,0,1,0,85.00762756707127
17,21,4,1,1,0,0,81.63605125752277
27,21,5,1,0,1,0,88.27735351772567
47,26,6,1,1,0,1,112.18649376926255
14,23,8,0,1,1,1,95.09878822466604
23,21,0,0,1,0,0,79.81262405011017
26,26,6,0,0,1,1,101.51165019927213
17,21,8,0,0,0,1,92.57242658118804
34,33,3,1,0,0,0,101.19932782774818
26,22,5,0,1,0,1,93.67998050441332
22,26,4,0,0,1,0,88.49893552238245
40,28,7,1,0,0,1,110.14470474324445
39,17,4,1,1,0,0,92.07583349390173
13,18,4,1,0,0,0,77.33712060797205
6,11,3,0,0,0,1,76.22609518084188
18,21,9,1,0,1,0,87.55852609657258
27,25,10,1,0,0,1,105.83567531915004
20,19,8,0,1,1,1,93.65405059465915
20,31,9,1,1,0,1,106.9134213613825
9,21,5,0,0,0,0,77.38933103309625
33,27,7,1,0,0,1,106.32246272238744
18,21,5,0,1,0,0,83.59186201755293
17,22,1,1,0,1,0,81.36107588244221
36,22,6,0,1,0,0,94.40177799430242
36,27,7,0,0,1,0,100.05629879574494
13,21,5,0,0,1,0,80.9653818141256
37,23,3,0,0,1,0,92.77852271040184
27,24,4,0,0,0,0,89.34052633337063
25,25,7,1,0,0,1,101.31647312760568
26,14,6,1,0,0,0,84.99548825985046
7,25,5,0,0,0,1,87.20452858427998
32,22,7,0,0,0,1,99.99397456104114
25,25,5,0,1,1,0,88.93311839035452
39,25,8,0,0,0,0,100.61553298073832
32,23,8,1,0,1,1,104.18456611747284
29,16,5,0,1,1,0,87.00880581010328
17,24,4,0,0,0,1,92.51519705128058
24,25,4,0,0,0,1,96.93574568623208
36,24,5,1,0,1,0,95.11550156995791
23,27,4,0,1,0,0,88.69907366228564
37,24,8,0,1,1,0,99.14146923113084
7,27,6,0,1,1,1,91.0081211807538
17,20,7,1,0,1,0,85.69656879668025
4,17,7,0,0,1,1,80.00840525325769
32,19,2,1,0,0,0,87.934967321493
25,26,5,1,0,0,0,91.97396943196208
28,19,4,0,0,0,0,85.4518720820428
33,23,6,1,0,1,0,93.31810579496911
8,21,5,0,0,0,1,85.78912934981867
29,25,7,0,0,0,0,93.31401604161964
23,23,2,1,0,1,1,92.17627651441607
6,19,6,0,0,0,1,83.68561128208577
14,20,3,0,1,1,0,79.63221861780146
22,14,6,0,0,1,0,78.8526417412954
27,22,6,0,0,1,0,88.97071957921656
43,24,5,1,1,0,1,108.73166209565198
11,32,6,0,0,1,0,90.2772890973696
21,28,5,1,0,1,1,99.82899540349696
25,24,7,0,0,0,0,89.71078661982237
19,27,4,0,0,0,1,96.2834581909102
38,28,7,0,0,0,0,100.19549279376577
32,26,7,1,0,1,1,106.15449786090066
39,24,11,1,0,1,1,113.34291868382564
40,22,8,0,1,1,0,98.82521731985788
33,14,4,0,1,1,1,93.38555773748472
32,27,3,1,0,0,1,102.76838961274612
49,19,1,0,0,0,0,95.18207124685412
29,22,7,0,1,1,0,91.44784564116316
49,21,5,1,0,1,1,111.94185120201132
20,22,8,0,0,0,1,95.26998651744798
10,25,6,0,0,0,1,89.87410083450807
23,23,10,0,0,0,1,98.46565966707126
31,23,8,1,0,0,1,101.96601094139828
6,29,6,0,0,0,0,84.01632884691078
22,27,5,1,1,0,0,92.01669747448038
21,24,8,0,1,0,0,89.58902644280377
43,22,4,1,0,1,1,105.3743674877139
9,22,3,0,0,0,1,84.2047602416095
33,23,10,1,0,0,1,106.79041804382209
15,27,5,1,0,0,0,86.04006864096026
23,29,6,1,1,0,1,102.70836056288064
27,24,0,1,0,0,1,93.40858509775435
18,22,6,0,0,0,0,84.66448120283515
37,26,6,0,1,0,0,98.4935629005872
22,21,5,0,0,0,1,93.45697821031077
20,25,6,0,1,0,0,87.48676309432672
31,18,6,0,1,0,0,90.248206688712
34,30,2,0,0,0,0,93.43016225652316
39,26,6,0,0,1,0,98.49507908139564
25,26,6,0,1,0,0,90.92028668546833
30,15,4,0,1,0,0,84.54086606460845
15,25,9,0,0,0,0,87.12661257073351
27,24,4,0,1,0,1,96.98340375589632
35,33,6,0,0,1,0,102.088966749097
20,28,8,0,0,0,0,90.54203530165634
18,22,12,0,0,0,1,98.4312298327523
24,21,9,0,1,1,1,98.210565818504
28,27,8,0,0,1,0,93.61829761337928
15,26,3,0,1,0,1,90.51722066168792
15,25,6,1,0,0,0,86.6276522455711
32,29,7,1,0,0,1,106.25079619862947
23,13,2,1,0,0,1,86.62803656688065
23,21,3,0,0,0,0,83.59048672894825
7,31,3,1,0,0,1,90.59686168386168
42,23,7,1,1,0,0,100.14185750797049
24,28,4,1,0,0,0,92.2459558895718
24,27,5,0,1,0,0,90.54240713483304
18,25,6,1,0,0,1,94.62317940220666
3,26,5,0,1,1,1,88.50812497177199
16,21,8,0,0,0,1,93.0998280553757
14,20,1,0,0,0,1,85.56045484829272
21,16,4,1,0,0,1,88.4052182550674
30,22,9,0,1,0,0,95.43595602960738
20,22,7,0,0,0,0,85.63798937138434
16,31,4,0,0,0,1,96.61036467113242
21,19,9,0,0,0,1,95.09510612094694
35,26,5,0,0,1,1,104.81345954637516
14,18,4,0,0,1,0,75.54769330089175
25,28,6,0,0,0,1,100.50324143047652
30,27,8,0,0,0,0,96.6936857039942
26,24,4,0,1,0,1,96.89182453974512
5,24,2,0,0,0,0,73.67221499287017
32,29,4,0,1,0,1,105.27085533190424
31,27,6,1,0,1,0,94.8429644717453
8,28,5,1,1,0,0,83.09186028609703
42,26,2,1,0,0,1,106.02385715675314
17,24,9,1,0,0,0,90.73370809827978
25,25,5,0,0,0,0,89.97325246324188
22,29,6,1,0,1,0,91.75456177795512
11,27,5,1,0,0,1,91.25851784919868
22,23,5,1,0,0,1,95.9055165053456
17,29,3,0,1,1,0,87.57845433614516
8,23,5,1,0,1,1,87.82370766178033
25,27,3,0,1,0,1,97.73090081854193
36,17,0,0,1,1,0,85.06007136588867
14,16,6,0,0,1,1,87.06162827190643
16,20,5,0,1,1,1,89.92226576019142
31,27,5,0,0,0,0,95.09496659004348
16,19,4,0,0,0,1,88.29815409841893
27,24,3,0,0,1,0,88.78480885124303
35,21,5,0,1,1,0,92.33913778555696
12,17,10,0,0,0,1,89.92719080513001
25,27,9,1,0,0,0,96.9288420933123
28,27,5,1,1,0,1,102.89011481373232
14,24,4,0,0,0,1,89.55511270183773
13,22,6,0,0,0,1,88.06813064740525
9,26,5,0,0,0,0,79.93134385435414
13,24,3,0,0,1,1,88.98141420537559
13,19,1,0,0,0,1,82.67627479779166
48,29,5,0,1,1,0,105.70109251315571
21,20,2,0,1,0,1,91.06857482304824
33,18,5,1,0,1,0,88.90519361551841
22,18,8,1,1,1,0,85.24902247587174
22,18,6,1,0,0,1,91.5819311056359
12,19,6,0,0,0,0,78.70322446818159
36,24,5,1,1,0,1,104.53224990159808
18,20,2,0,0,0,1,87.84102460570662
24,28,4,1,0,1,1,99.81934507520614
47,22,5,0,1,0,1,108.44430125643346
19,24,5,0,0,0,1,93.73220957291107
13,20,8,0,0,0,1,89.03127211475027
10,20,2,1,1,0,0,76.4923399031038
20,25,3,0,1,1,0,86.02943337596473
41,22,6,0,1,0,1,104.47457628404932
22,19,9,0,1,0,1,94.98132394781209
42,20,6,0,1,0,1,106.1821289849982
19,23,6,0,1,0,0,85.41833521732084
24,25,5,0,0,0,1,97.08567289723209
31,24,5,0,0,0,1,99.37012388140866
24,23,8,0,0,1,1,99.4195780631116
16,21,3,1,0,1,0,80.52109927531323
17,30,5,0,0,0,1,97.336909280778
9,15,5,1,1,0,0,73.70905650964659
27,24,9,0,1,1,0,94.01237789905112
24,23,5,1,0,0,0,87.3002464934842
42,21,4,0,1,1,0,95.2524510519364
17,15,6,0,1,1,0,79.89693239689842
9,21,3,0,1,0,0,75.78079207353568
23,22,8,0,0,0,0,87.4244091266147
47,25,3,0,0,0,1,108.29123720250942
24,19,9,1,0,0,0,88.41396160321531
23,30,8,0,0,0,1,102.87943892962504
19,24,4,0,0,0,1,92.73470609269415
36,23,7,0,1,0,0,95.57578300985418
4,17,2,0,0,0,0,69.28142309038343
31,26,7,0,0,0,0,96.11712416204088
28,24,7,0,0,0,1,101.4682438889387
13,17,3,0,0,0,1,85.16294976828732
9,26,8,0,1,1,0,85.29335362997902
35,20,3,0,0,0,1,97.42014358874872
26,26,6,0,1,0,1,99.96050386370992
26,20,9,0,0,0,0,90.4928480533444
24,25,7,0,0,0,1,101.75945504700552
35,21,7,0,0,0,0,94.30666859292688
19,23,6,0,1,1,0,86.77444696343265
7,26,8,1,0,0,0,83.69461138079527
21,30,8,0,1,1,1,103.31780075388524
20,22,6,0,0,0,0,85.40229026921756
30,25,3,1,1,0,0,93.41715720165077
36,23,6,1,0,0,1,104.28457905771224
28,24,1,1,1,0,0,86.66405550585026
21,24,4,0,0,0,0,84.91655295084688
31,21,9,0,0,0,1,103.55633055893072
28,28,12,1,1,0,0,98.66511086470469
25,24,4,0,0,1,0,87.84512409847973
40,18,4,0,1,1,0,90.26762168101077
15,24,5,0,0,0,1,90.56516406894876
29,16,5,0,1,0,1,93.8323166791448
42,26,4,1,0,0,1,109.59240009626022
23,33,8,0,1,0,1,106.01759418328014
18,27,4,1,1,0,0,86.22556320206698
33,30,4,0,0,0,0,96.12550323398315
16,28,8,1,0,0,0,90.03148945744286
28,21,6,0,1,0,1,97.29213291166045
34,25,1,0,1,0,1,98.8180354196736
34,21,6,0,0,0,0,93.14458084451424
30,22,2,0,0,1,1,95.24013301228588
11,26,4,0,0,1,0,82.17138546167659
48,27,6,1,1,0,0,106.33647954974286
13,32,3,1,0,0,1,94.87815138402205
28,22,7,0,0,0,0,92.6773867970239
17,28,6,0,0,0,1,98.81992481488172
24,21,5,0,0,1,1,93.85960070917262
35,18,4,1,0,1,0,92.51218099541254
17,25,4,0,0,1,1,93.6286454460842
40,19,4,1,0,0,0,93.6990865194778
33,23,5,0,1,1,0,92.76745571832524
22,29,10,1,0,1,0,97.45526908080588
13,29,3,1,1,0,0,84.36559949860118
21,21,3,0,0,0,0,81.35655259846855
32,22,4,0,0,1,1,99.6353206052077
45,24,4,1,1,0,0,100.19514003534846
15,23,5,0,0,0,0,82.48879134912764
40,30,7,1,0,0,1,113.55058708667272
24,19,3,0,0,1,1,91.72599233811826
28,22,5,0,0,0,0,89.01334476781514
37,28,5,0,1,0,0,100.22859887437312
27,25,3,0,0,0,0,90.34398480520548
56,23,7,0,0,0,0,106.18823397561832
23,24,6,0,0,0,1,97.67084902860036
33,25,6,0,0,1,1,103.74041394206908
36,23,7,0,0,0,1,104.47683406927298
18,20,7,0,1,0,1,92.06935015522356
30,20,5,0,0,0,0,88.78109794353881
34,19,3,0,0,1,1,96.5075298913459
24,17,8,0,0,1,0,84.43982075182161
17,27,3,0,1,1,0,85.39323913953817
18,21,4,0,0,0,0,81.077274638604
25,27,4,1,0,1,1,101.01068954249884
37,25,6,0,0,0,1,107.20270575912144
25,29,5,0,0,0,1,102.11451130214756
29,21,4,0,0,0,0,87.19180885919778
21,23,11,0,0,0,1,98.5651905445134
26,25,8,0,1,0,0,92.17074201123752
34,18,8,1,0,0,0,92.70174505847856
29,25,6,0,0,0,1,99.46257023178032
12,24,4,0,0,0,0,80.15426918075973
21,12,4,0,1,0,0,77.23824590308865
19,21,6,0,0,1,1,91.29969669831422
28,23,6,0,0,1,1,100.1801388125002
15,25,5,0,0,0,0,82.92963763155804
0,18,7,1,0,0,0,73.09067048513111
19,19,3,0,0,0,0,79.4521615931999
29,28,4,0,0,0,1,100.26054306343693
29,27,7,0,1,0,0,96.17118697510932
28,23,3,1,0,1,1,99.15319311934527
33,28,4,0,0,0,0,94.47698150499797
47,24,6,0,0,1,1,109.2692786326716
34,18,5,1,1,1,1,99.2312140539557
16,24,3,0,0,1,0,82.08260346969122
30,25,8,0,0,1,1,103.8108651542404
10,25,1,1,0,0,1,89.12087676651909
13,33,3,0,1,1,0,88.34039650310014
29,22,7,0,0,0,0,90.71452246146646
31,24,3,1,0,0,0,89.2558182523394
31,26,4,0,1,0,1,100.8840879131943
24,22,2,0,0,0,0,83.72069267136234
33,24,7,0,0,0,1,103.78278017050418
44,29,7,0,1,0,1,111.98879659443652
6,19,4,0,0,0,1,83.19305697202806
22,24,4,0,0,1,0,87.02450417103893
27,26,5,0,1,0,0,89.55263353596159
28,31,7,0,1,1,1,107.36027009425224
19,28,6,0,0,0,0,89.02792910918302
19,20,3,1,1,0,0,81.95701289313628
29,27,6,1,0,0,1,105.27519118537026
26,32,8,0,0,0,1,104.85673475075272
24,29,6,0,1,1,0,94.82831275654874
17,21,8,1,0,0,0,86.44986440378241
13,25,8,1,0,1,0,86.69571478397927
39,22,8,1,1,0,1,108.05132775862496
25,23,7,0,0,0,1,97.09971881462744
33,18,7,1,0,0,0,90.07298220816378
20,22,4,0,0,1,1,91.9699636383544
41,21,7,0,0,0,0,97.89823917555844
13,24,5,1,1,0,0,83.25921206354775
11,23,9,1,0,0,1,92.965722852616
26,23,4,0,1,0,1,95.65581520450016
26,22,4,0,0,0,1,92.8409166319677
22,23,6,0,0,1,1,98.23881388131656
30,30,2,0,1,0,0,95.25627847509074
21,22,7,1,0,0,1,96.4400454238821
1,21,6,1,0,0,1,85.20487197805546
30,35,4,0,0,0,1,107.12693060350249
24,22,8,0,0,1,0,88.63084447307543
20,20,6,0,0,0,0,84.23817405500299
16,26,5,1,0,0,0,85.29202429243765
42,23,3,0,0,1,1,104.12005172122804
17,22,6,0,1,0,0,82.9031319796939
39,22,10,0,1,0,1,107.71002421220813
16,33,5,0,0,1,0,91.57118052940385
26,17,4,0,0,1,0,83.39091015017893
33,23,3,0,0,1,0,90.05058854029984
7,29,7,0,0,1,1,92.88826204697472
-4,22,6,1,0,1,0,73.72313590346712
20,26,7,1,0,1,0,89.57147151100298
13,24,7,1,1,0,0,86.15778140427784
17,17,7,0,0,0,0,79.3810793691259
20,27,7,0,0,0,1,96.75742144653825
12,23,10,0,0,1,0,86.03887948955793
23,26,8,1,0,0,0,93.18302010343764
26,28,6,0,0,0,1,102.10648516094196
38,21,10,0,0,1,1,107.83066960418547
33,26,7,0,1,0,1,103.13696989963935
31,20,5,0,0,0,0,89.64253239088026
28,18,5,0,0,0,0,85.27596307181669
27,21,12,0,0,1,0,93.70255510894334
23,32,4,0,0,0,0,93.81503888501284
33,25,4,0,0,1,1,101.70176138045828
31,21,2,1,0,1,0,87.53293185079353
31,28,4,0,0,0,1,103.36623657621372
32,22,4,0,0,0,0,90.73995557723605
21,23,5,0,0,1,1,94.29485873477968
27,20,10,1,1,0,1,101.06323765205386
32,25,6,0,0,0,0,93.79440634785986
22,23,6,0,1,0,0,87.93736239085425
21,22,5,1,0,0,0,87.03367186058478
32,29,4,0,0,0,0,94.97496848175255
33,28,6,0,0,0,0,97.77461905715498
35,29,3,0,1,0,0,97.54183980617424
10,27,6,1,0,1,0,85.68038517820007
29,27,3,0,1,1,1,101.6871525715765
15,26,4,0,1,0,1,94.33662763192048
21,24,3,1,0,0,0,84.66089379662019
22,17,3,1,0,0,1,87.69885471106377
6,25,7,0,0,0,0,81.1192274564971
14,16,4,0,1,1,1,84.96211560886185
9,18,4,1,0,0,1,82.88061788908804
27,22,6,0,1,1,1,99.66503794478476
15,22,10,1,0,0,1,95.9136968107314
15,18,9,0,1,0,1,90.07372662583415
40,21,4,0,0,0,0,93.7101071414234
8,28,3,0,1,0,1,88.20611537031911
14,23,8,0,0,1,0,86.12124134417144
30,20,10,0,0,0,1,99.186881112528
27,27,7,1,0,0,0,93.80122956692402
26,22,2,0,1,0,1,91.8155637960049
-1,22,7,0,1,0,0,75.3742468014342
