years_of_experience,education_level,female,minority_status,job_satisfaction_score,job_training_participation,monthly_income
4,5,1,0,18.256940479228128,0,9.699670562272749
8,4,0,0,18.406710411005523,0,10.159458369791455
9,3,0,0,20.94897788383033,1,18.171237871582854
6,6,0,1,18.439169701179647,0,9.12313823775688
5,4,0,1,20.633097695771973,1,16.827666738455143
4,5,0,0,18.214346098088185,0,9.177402598704631
11,7,1,1,22.273708203093825,1,20.16622641495711
8,6,0,1,21.53912636034418,1,19.56812155386256
0,6,1,0,18.04342251941251,0,8.492685634498851
15,9,0,1,18.65211209223586,0,10.72439759475254
6,8,1,1,19.34294392845106,1,17.338676592695013
6,6,1,0,17.84233644376466,0,8.046375170655688
12,4,0,1,17.85672718187638,0,9.697030360958475
7,5,1,0,16.415194358776706,0,7.318006168972298
7,6,0,0,22.48483087705,1,19.12147833332232
2,3,1,0,18.157025958997693,0,8.357346794625775
8,6,1,1,17.285673098980034,0,7.852345975751291
6,5,0,1,18.29798423999705,0,9.973092465742532
6,9,1,1,20.027174093789743,1,17.740858961515713
4,7,1,1,16.138080688110488,0,4.261435764913193
6,4,1,0,17.785591883637927,0,9.227724572088146
3,6,1,1,19.998795576938843,1,16.515499945650674
9,5,0,1,15.380206511873505,0,5.6453307652577545
12,4,1,0,16.473222228225964,0,7.134415730197119
1,5,1,1,20.181648223078767,1,17.15438510861926
3,6,0,0,18.94156647100225,0,10.58126540863422
1,6,1,0,21.57765168652056,1,17.634812183573192
11,5,0,1,19.80569383580506,1,17.314006041713313
14,6,0,1,19.62687772646078,1,18.221208473941047
5,4,0,0,15.880203887284884,0,5.181392205464348
4,5,0,1,19.66033047275312,1,17.3647664146935
6,3,0,1,15.928484272686504,0,6.36844305796766
10,3,1,0,20.472540748268017,1,16.951371282644942
2,5,0,0,17.65452058672104,0,8.551951519672505
1,5,1,1,18.521952597028825,0,9.72815468422753
2,7,0,1,18.055422816159115,0,8.416311321651976
8,7,1,0,19.597437280120243,1,17.37543555895057
12,7,0,0,21.33695783403504,1,17.65743167469094
4,5,0,1,17.773210444926484,0,8.298895256401787
9,6,0,0,16.271974922195948,0,7.139934504425167
7,6,0,0,17.811903526125217,0,8.044986526675016
14,4,1,1,19.73353485966565,1,18.521635642625803
15,5,0,0,21.871835742993547,1,18.27621252324471
8,6,0,1,18.542410396952057,0,9.931830063193203
10,5,0,0,20.75426156111588,1,17.738801819674023
6,6,0,0,16.332776835428653,0,6.759718010069648
9,5,1,0,21.68911054031997,1,18.754015660745253
9,4,1,0,20.66958541424933,1,17.55143818787121
13,6,0,1,22.592971793305114,1,19.67117025034868
8,6,0,1,20.47519573635165,1,18.5290903802124
6,7,0,0,16.34865396196684,0,5.852716240214357
6,6,1,1,18.41785070671525,0,9.407870241617044
9,5,0,0,17.185157477247838,0,6.932115310603773
9,8,0,0,18.93700363146625,0,10.839343726576926
3,4,1,1,17.88830790031163,0,8.841185778860641
8,6,1,1,14.364593165143605,0,4.322040100050723
9,6,0,0,18.18725872764183,0,9.382491141615173
7,7,0,0,18.954286797851434,0,10.328091951129023
4,6,1,1,19.073495709468578,1,16.076091540289312
9,9,0,0,19.81164645103353,1,17.053021136927292
16,7,1,1,20.51994017324633,1,18.36744654557205
4,6,0,0,16.80683319046855,0,7.518677082709438
11,3,0,0,20.35925891545795,1,18.712678630847176
6,3,0,1,22.5951514264487,1,19.538354554718897
11,7,1,1,21.346668156231097,1,18.25104604176596
13,8,1,0,14.42139140737864,0,3.940826556931778
7,5,1,0,19.220916405239684,1,16.637853884422523
12,6,0,0,18.372561415293216,0,10.482322182462628
10,4,0,1,18.406241083418507,0,10.073895551270486
7,7,0,0,21.56899578441141,1,17.337355212414096
4,6,1,1,20.491654470315154,1,17.53074229786525
5,4,0,1,20.29475571533065,1,17.07529579054894
8,4,0,1,19.01717304373972,1,16.114516878515005
12,7,0,0,14.33747167471106,0,4.298547239253288
0,5,0,0,21.85879787689753,1,19.164394014018463
9,6,1,0,18.955823085415503,0,10.034429101341232
6,7,0,0,19.29127964793537,1,15.912017997286132
4,7,0,0,14.880765877349326,0,4.515194073559019
10,7,0,1,17.764697266747294,0,9.072039502588533
9,9,0,0,18.012990221472855,0,8.646127675598978
3,3,1,0,17.87190652499799,0,9.187602434201004
3,6,1,0,18.318673944299057,0,9.285260251131003
2,7,1,0,19.56902040863635,1,15.94205278678096
11,7,1,0,17.43565549141821,0,7.932134339176047
12,4,0,1,18.014022535525676,0,10.10326426361449
7,6,1,0,22.221314262863896,1,18.7666745467996
10,6,0,1,17.181294828096277,0,7.499748752913268
10,6,0,0,19.081387838353205,1,16.68559809557493
5,6,1,0,18.40212478158428,0,8.52967936755445
5,4,0,0,16.719441872295956,0,7.512900431370624
11,4,1,0,17.676877309778405,0,8.966964353171011
8,6,1,0,18.281977937897583,0,9.943095341243689
10,5,0,0,20.7946490297882,1,18.23002688069225
11,6,0,0,23.062080737001843,1,19.54318176775436
13,6,1,0,19.30599332936465,1,17.730088148315147
4,6,1,1,16.359260644227437,0,6.551905568283956
2,5,0,0,19.74396642527271,1,15.02835330969607
7,6,0,0,18.255843026530854,0,8.919917126371322
11,5,0,0,21.99377090745973,1,19.19815833101236
5,5,1,1,20.237831003837712,1,16.203521764815836
2,5,0,0,22.83706292091299,1,18.28861016754336
5,9,1,1,18.12431480814028,0,9.288950227732292
3,5,0,0,20.35027079118713,1,15.935322441222125
3,6,0,0,21.049154682545343,1,17.575683009703276
5,7,0,0,19.3868997020248,1,15.46584909658631
11,5,0,1,17.098789420283353,0,7.69495236423205
6,3,1,0,18.66359327904656,0,9.860920219169287
12,8,1,1,18.89257639703024,0,10.46249482521164
4,7,0,1,19.695394210035104,1,16.076064043388122
5,6,0,0,19.51410187489189,1,16.54569820210742
1,4,0,1,15.148875260944378,0,4.037594742914893
9,5,0,0,20.28011338299625,1,17.640630846025147
10,5,0,1,20.243242688238787,1,17.905256058129407
8,5,1,1,17.8277732323381,0,9.342928881028149
8,4,1,0,18.190857394202503,0,9.22581245047977
0,6,1,0,20.265341685720124,1,15.56156423206774
0,4,1,1,16.473947116649033,0,6.205043705385717
8,5,0,1,17.01244228302258,0,7.147085461053961
5,5,0,0,20.473751718684927,1,16.4442577383185
7,7,0,0,15.83960659887387,0,5.964838499184525
8,4,1,1,23.888714496439917,1,20.750437614233004
10,4,0,0,17.91708858105227,0,10.433299121972611
9,5,1,0,16.619157608604603,0,8.329836690673911
8,3,0,1,19.05361851047198,1,16.54467034386601
10,4,1,0,17.404531843329995,0,8.394595461104094
6,8,0,0,16.962636097817825,0,7.281532706362764
11,6,0,0,19.45263827306216,1,16.10853868983926
10,7,0,1,20.740354252571887,1,17.156377598473803
3,5,1,0,21.166499090616217,1,17.82073159136938
12,4,1,1,19.4761347441983,1,17.270473890464714
7,6,1,0,22.20857150143013,1,18.20723729192149
14,6,1,1,21.693550208803025,1,19.444398239826125
2,4,0,1,19.835168193491224,1,16.22895337880047
6,6,1,1,17.890592398481306,0,8.136034491254609
6,4,0,1,19.03497360778838,1,16.0348601490696
7,6,1,0,18.16328850500061,0,9.811209067455714
4,7,1,1,19.091534561732857,1,16.4578319805871
7,5,1,1,20.701562051832045,1,17.518814730588755
11,4,1,1,17.378216652473448,0,8.486639363818027
11,7,0,1,20.950366643698334,1,18.60763557382052
6,7,0,0,24.013013785663063,1,21.524345041791083
8,7,0,0,16.02961983761073,0,6.448567744703513
7,4,0,1,17.686639443512508,0,7.901536877551233
11,7,1,1,16.050240571963258,0,6.014709868304892
8,2,0,0,20.276003734360355,1,17.840988928783037
12,5,1,1,19.8478471398272,1,17.495440397914635
7,5,1,1,19.48810995140657,1,17.360352220190663
5,6,0,1,17.095863593107687,0,7.893786840760617
8,5,1,0,14.541378534114346,0,3.961247911768306
6,6,0,1,19.60434093057652,1,16.29538657876297
7,4,1,0,22.47104674465776,1,19.37578298518812
5,7,1,1,20.4901638480862,1,16.813292567259793
7,7,0,0,15.279404195658053,0,5.150196234500667
9,6,0,0,17.751943444164816,0,9.026809155349476
7,7,1,0,18.7996224681554,0,10.383838930124506
3,4,1,0,16.140841852259992,0,5.831190997054091
8,4,1,0,19.82200452082637,1,18.013401915341277
3,9,0,1,19.65159838248119,1,16.139256280991294
11,6,0,0,18.994760119790413,0,11.294981068379814
6,5,1,0,17.310603904249486,0,7.191190382924461
4,6,0,0,21.871881366961,1,18.004233836949954
10,9,0,0,20.909352946260316,1,18.64329481590768
6,6,1,1,22.957640239512877,1,19.90316839095884
12,5,0,0,18.51931158493587,0,10.87078777027934
11,6,1,0,21.073303868705416,1,18.417391782649144
10,4,1,0,20.33154324037417,1,18.78207181215536
12,5,1,0,19.32878065346763,1,17.335168538065943
6,4,0,0,21.64070145735137,1,18.39898652590422
3,7,1,0,21.938004826064567,1,18.624065634424063
8,8,1,1,18.78239391552995,0,10.016315160574942
13,5,0,0,15.482924795466088,0,6.505741694730961
3,6,0,1,18.667627996023384,0,10.233911951022986
11,5,0,0,18.607916491967075,0,9.84771071816564
11,5,0,1,18.282951690297544,0,9.58213571607259
8,6,1,1,19.9591011013392,1,17.47462584995728
12,8,1,0,17.642181024082007,0,9.273766424540334
7,5,1,0,16.68600641572155,0,7.564003213880494
12,4,1,1,18.42145084981049,0,10.014021764493911
2,5,1,1,19.877789866113904,1,15.794198015947774
10,4,0,1,22.13278057041616,1,19.232403201264077
4,6,0,0,17.36485414197058,0,6.672167282534834
10,5,0,0,14.030099239347916,0,2.8023781800632084
9,7,0,0,15.53898202298273,0,5.516288614157
10,6,0,1,20.98409772427907,1,19.71382245648197
8,6,1,1,16.62826996028405,0,7.184820269741295
9,6,0,1,22.354165389339208,1,19.484565129983828
10,4,1,1,24.085406070238903,1,20.752945971297997
7,8,0,0,19.670186281527908,1,16.320411529608798
4,8,1,0,16.6739467765135,0,6.268465148953217
8,3,0,1,20.59836717884719,1,17.69932507723941
9,4,0,0,20.106869229522932,1,17.000872991103186
10,5,1,0,20.587873667367585,1,17.697048655378737
15,4,0,1,20.299085501410627,1,18.5040867860767
5,4,0,0,18.017902352427896,0,9.727257031412236
6,5,1,1,19.3845459010387,1,17.434362453402226
12,7,0,0,18.126560115752504,0,10.899238673170077
9,5,1,0,20.198414722407364,1,17.04912311519101
6,6,0,0,17.040902120894565,0,7.743686377897371
9,6,0,0,19.28332458937153,1,16.651119937240864
8,5,0,0,17.890993676687604,0,9.117228826615165
5,5,0,0,17.89256333525235,0,8.888683406598094
11,5,1,1,16.88857949160767,0,6.677582222834312
9,6,1,1,20.6369108594957,1,18.09583752997947
11,5,0,1,17.95931787360221,0,8.783757101546373
9,8,0,1,20.36430095288876,1,17.026842554092763
12,4,1,1,15.996548844447084,0,6.957037757971132
5,7,1,1,16.536202661562964,0,7.585289059429475
11,4,1,0,18.13746942953825,0,8.564949763967176
10,5,0,1,15.379280321672676,0,5.430198162626197
5,6,1,0,20.208390433740878,1,16.103367850864814
8,6,1,0,20.913248616454123,1,17.859317936112863
4,5,1,0,17.853146587935175,0,9.059208863693751
6,7,1,0,18.15717109341872,0,9.426410564858974
0,6,1,1,16.185063131557023,0,5.854997198557044
9,5,1,1,20.4805633564052,1,17.577275980516866
9,8,0,0,24.418630367898505,1,20.084945915014902
10,6,1,1,19.28963811137682,1,17.4903837029566
11,5,0,1,17.624430031699422,0,8.549884163618078
10,3,1,0,24.723548295543505,1,21.515907226602195
7,6,1,0,20.72444822880856,1,18.35046520125984
8,4,0,0,19.455855645511125,1,16.36825678611031
4,6,1,1,18.335592436812057,0,8.402881687062953
8,7,0,0,18.33454152508924,0,9.54213583276882
1,8,1,0,19.03627969594803,1,15.64970714199412
4,3,0,1,18.30961945155386,0,9.551751913984878
9,5,0,0,20.44492030719129,1,17.012919418469767
5,6,0,0,21.0258545178823,1,17.111318949826916
7,4,1,0,18.307169360157943,0,9.33878682894715
7,7,0,0,16.935212647090825,0,7.207528883574168
10,3,1,0,18.8489309609965,0,10.75949921786689
10,5,1,1,18.86357461221476,0,10.933798303028857
9,6,1,0,22.32920404216445,1,18.274114148447183
7,7,0,0,21.124823288284137,1,17.866026751874806
1,5,1,0,17.053473725765834,0,7.473069814201163
12,2,0,1,18.536396084559115,0,10.55114104776381
7,5,0,1,16.664319604366387,0,6.448332857656304
9,5,0,0,18.25645038097837,0,8.577514026052887
4,6,0,0,18.08355109284677,0,8.404128972237345
8,6,0,0,17.391384344275505,0,8.650229304900488
2,3,0,1,20.189609917377155,1,17.281170871218144
7,6,0,0,19.31625657164939,1,16.060819701635506
7,3,1,1,21.914699311907807,1,19.252748011256244
11,5,0,0,17.44975704728752,0,8.892339219577515
3,6,0,1,17.502749366184553,0,7.650330449113812
13,7,0,0,20.35509736249093,1,16.814312239819373
13,3,1,0,21.030215315386663,1,17.6069058040842
8,3,1,1,19.368104087482603,1,16.885369426479624
7,6,0,1,19.32564864333606,1,16.843569432409407
12,5,0,0,20.835841238354615,1,17.893111686527845
3,2,0,0,19.42931516642301,1,16.14977307012958
10,4,0,0,16.71704145543736,0,7.55099935820059
10,6,0,1,15.900758539126066,0,6.750111803798454
4,6,1,0,22.269453917672845,1,19.161717540548302
5,7,0,0,16.590415135262905,0,6.0979521713189335
10,8,1,0,18.70736956388575,0,9.36013649278533
8,8,1,0,17.482895556006923,0,8.275798783105172
4,6,1,1,16.725654259397842,0,6.464954091483893
8,5,1,0,21.05017757843437,1,18.22696412732205
12,5,1,1,17.602536375573184,0,8.800970087123181
8,7,1,0,19.651947356403355,1,16.469604408787134
14,6,1,0,18.367911436118515,0,10.19740719322738
4,6,0,0,18.990089724601503,0,10.466297425430351
11,3,0,1,19.741136555664063,1,16.616572542514714
16,6,1,0,16.422727525100832,0,7.215029211123107
11,8,1,0,21.177368478123174,1,18.377252896889456
7,7,0,0,18.524470980414648,0,8.737216194662595
2,9,0,1,17.785747034023913,0,8.381326929666882
4,7,0,0,19.36028995206476,1,16.47424026587526
8,5,0,1,17.344024061301585,0,7.775769469018122
11,3,0,0,18.33747047964895,0,10.42470892198619
7,7,1,0,20.611059957172845,1,18.45740728694992
12,6,0,0,16.52848663894614,0,7.6321359086450675
4,5,0,1,16.398073543481736,0,7.292281906329205
9,6,1,1,18.812235663072546,0,10.33232972690728
8,5,1,0,16.009793128105603,0,4.960818697710798
8,8,0,1,20.9569368163097,1,17.61587539524916
11,4,1,0,17.952016833386423,0,9.62907896804083
3,5,0,1,17.007345412429284,0,7.034954189161076
4,6,0,0,16.042249962580186,0,5.862363684093545
9,4,0,1,20.4830987670391,1,17.79348490035657
4,7,1,0,19.461499634923687,1,16.545965448763866
5,5,0,1,16.166835551398506,0,6.570190439786244
13,7,1,1,19.8149922898865,1,17.48536165568009
7,6,1,0,21.3737420801906,1,17.338453563234708
5,6,0,0,16.95520611552185,0,7.40554664106837
8,5,1,1,17.89842438459332,0,8.908046154338399
10,6,0,1,20.347611144992545,1,17.808884489106205
9,6,0,0,20.36859097523288,1,17.43997748115035
10,4,1,0,19.421983089908508,1,17.83448975466131
4,8,1,0,19.74010168856077,1,16.456450348334684
11,7,1,1,19.72799343743727,1,17.09875310901143
8,6,1,0,17.10146747083532,0,7.160729762260552
6,2,0,0,21.50819266543999,1,18.46851163198958
7,5,0,1,21.339316317540945,1,17.437701232831998
7,4,0,0,22.629430261758905,1,19.312322062805546
3,4,0,1,22.79321352002439,1,19.463018184142864
5,6,1,0,18.722921084897774,0,9.283282452835724
7,5,0,0,20.33728923219653,1,16.58989394490577
12,5,0,0,18.71096617299038,0,10.683883569794457
2,5,0,0,15.718213851607349,0,4.179925956195877
3,6,1,1,18.937861036081756,0,9.734999655048169
5,7,1,0,17.30432998311637,0,7.656273739150715
7,5,0,0,18.57108603622137,0,9.235509876377686
5,6,0,0,16.997138084287965,0,7.638737316487155
13,5,0,0,18.28701000014753,0,10.50412871747944
5,4,0,0,19.38302907098864,1,16.40027720860232
5,4,0,1,17.912278875346104,0,7.765466136727001
10,5,0,1,20.453781115694603,1,17.448382166440727
7,5,1,0,17.5865190488507,0,8.302131286080494
6,8,0,0,16.2691213407203,0,6.123053556614928
9,5,0,1,18.775831625769342,0,10.840227071534594
8,4,0,1,20.18892109126723,1,17.79627264666912
8,6,0,1,18.05392299477408,0,10.143956032594078
10,6,0,0,16.81008912867251,0,7.032092510840989
10,8,0,1,18.229048750673957,0,10.10406042913196
10,7,0,1,23.14855273571013,1,19.97284549899358
4,5,0,1,22.930970946340423,1,18.701202632599333
9,5,0,0,18.198552034098498,0,8.832345739511858
12,7,0,0,20.63603727881804,1,18.16869974837197
15,5,1,0,16.91635105063648,0,8.145248674348618
10,6,1,1,18.88173438716279,0,10.883549764785904
7,3,1,0,22.41423101176876,1,19.594439681827374
6,7,0,1,19.02603403788813,1,16.513121554370862
13,5,0,0,19.55710515769953,1,17.369021055091796
8,8,1,1,18.882182915547048,0,9.936550089955784
10,5,0,1,15.271711942162248,0,5.8721644211256425
7,4,0,1,19.828738770646574,1,17.985997524484485
11,5,0,1,23.684869285243707,1,20.311766932369828
10,4,0,0,18.06321262716772,0,9.981523035300649
8,2,0,0,21.503057787803662,1,18.5195095534631
8,6,0,1,16.055330129424664,0,7.312661641722496
8,5,0,1,18.15047710805419,0,9.753014439887902
6,6,0,1,20.23550988231704,1,16.99543223120129
2,6,0,0,18.44027932739892,0,9.32771232725683
9,3,1,0,17.22361374754339,0,7.61096313777744
7,5,1,0,19.25592383075621,1,16.723173432158696
10,6,1,0,20.220465235614505,1,18.39888253418838
3,7,1,1,20.854935788200308,1,16.685450804686244
8,7,0,0,17.44630371074014,0,8.416285701571505
15,6,0,1,19.46516264021,1,17.619935848843767
4,5,0,1,20.112317745241576,1,16.82663659932792
7,4,1,0,22.03296790114707,1,18.25890521823582
4,6,1,0,17.837083051207287,0,8.206833131855113
9,4,0,0,17.33020205826404,0,8.525908568742867
0,6,0,1,18.33037411069425,0,9.876342062921172
6,4,1,0,15.35613260697064,0,4.906761518987008
3,7,0,0,19.95937244376442,1,17.048060284762503
10,7,1,0,18.80783870370181,0,10.24993577181855
9,4,1,1,16.64027219463504,0,6.776602950586858
1,7,1,0,21.99801022348084,1,17.753125617951216
3,6,0,0,20.06424751573277,1,16.28879443690326
5,6,0,1,18.76743632555693,0,10.19028464241093
8,7,1,0,15.910764175678077,0,6.188797400399678
6,7,0,1,20.1306635252829,1,16.42979962252101
4,6,1,0,18.667825151528387,0,10.106148692193823
9,9,0,1,18.183816223364268,0,9.503189405884244
