age,income,education_level,employment_status,gender,race,marital_status,region,universal_basic_income,financial_stability_score
7,29,8,17,1,1,1,12,28,93.02745251268266
8,30,6,12,0,1,0,11,27,90.6203216843876
3,24,13,17,1,1,0,11,26,83.03463782999742
10,30,4,10,0,0,0,11,28,92.67078409758732
8,34,2,15,1,0,0,10,27,93.94587919220236
12,27,14,9,0,1,0,10,29,93.40900884437136
9,31,4,18,1,0,0,9,27,96.6327252462169
11,34,11,16,1,0,1,8,24,84.78666817005664
9,29,7,13,0,0,0,10,29,97.70612415938167
9,33,4,16,1,0,0,6,26,93.07278603750471
9,31,5,15,0,0,1,10,22,82.97111422478625
12,27,7,17,0,1,0,8,24,88.96945977955791
11,32,2,13,1,0,0,12,28,96.74619711239016
8,30,3,13,0,1,0,7,25,90.98499904297276
6,30,4,16,0,0,0,12,29,97.35109142441442
6,28,9,8,0,1,0,8,31,97.11715088410394
6,28,8,13,1,0,0,6,26,83.25932208163145
9,32,8,14,0,1,0,10,27,94.86682071330829
9,28,11,11,0,0,1,6,25,84.12719894018218
10,29,3,15,0,0,1,10,24,92.59261949439993
4,30,3,12,0,0,0,7,27,92.61440057455508
10,30,6,17,1,1,1,9,23,85.9722614867221
8,26,6,14,1,0,0,12,27,88.0941623714711
12,25,7,14,0,0,0,9,25,87.82451842988216
6,29,1,18,0,0,0,6,21,86.01881478753754
5,31,10,13,0,1,0,15,33,99.1966597540824
5,30,9,11,1,0,1,9,31,96.50635940198347
11,31,10,13,1,1,0,9,27,91.8310324378906
11,27,10,13,0,1,0,4,25,87.56958305727825
12,30,7,15,1,0,1,4,22,85.45148825794196
11,32,15,12,0,1,0,9,28,92.48403567662844
5,29,8,11,0,0,0,11,28,88.82050997695093
13,33,6,7,1,0,0,7,32,102.5276515694392
8,27,5,18,0,0,1,7,21,82.02197593185731
11,29,9,11,0,0,1,9,28,92.7961355764449
12,30,7,13,1,0,0,11,28,90.88455251781934
6,29,5,11,0,1,1,7,27,93.19877572622188
8,33,5,15,0,1,0,7,26,93.43848670019504
10,29,7,12,1,0,1,10,29,94.92582638125884
4,30,7,11,0,1,0,12,32,97.74353905838888
10,29,11,14,0,0,0,9,26,88.60320446903997
9,32,2,12,0,0,0,9,26,96.01799028379268
11,27,8,16,0,0,0,10,23,84.98388989610226
8,32,2,12,0,0,1,7,24,89.93814535782612
7,31,2,18,1,0,1,9,23,86.9822779247359
7,33,8,16,0,0,0,9,25,88.6450198046338
13,31,7,17,0,0,0,10,23,88.48312685795692
7,33,7,14,1,0,0,11,31,99.66841453984284
11,32,4,13,1,0,0,7,26,95.1220976986613
3,32,3,13,1,1,1,9,30,97.14624723857956
10,25,5,12,1,0,1,6,25,91.88652043420896
5,30,5,12,0,1,0,8,30,96.79961164079263
11,34,3,10,0,1,0,5,31,106.07721500661236
8,29,11,11,0,0,1,8,29,90.76972470841542
8,30,9,9,1,0,0,9,31,93.89481258801318
9,27,11,13,0,1,0,10,26,88.8089179083249
7,30,7,12,0,0,1,8,25,87.42098943845623
7,31,6,11,1,0,0,8,28,94.38325557947718
12,32,9,8,1,0,1,7,30,100.31791950227868
3,27,6,14,0,0,0,9,27,89.27802247489146
9,33,10,13,0,0,1,4,26,91.18517807239373
8,27,6,14,0,0,1,9,26,89.73152288288664
11,29,7,13,0,1,1,8,28,95.7604096421112
11,30,11,14,0,0,1,4,23,84.07136107857673
11,28,14,14,1,1,1,8,25,81.73655826482417
14,27,5,12,1,0,0,9,25,91.14983558386392
9,25,4,15,1,0,0,8,25,87.1048597043515
10,30,7,12,0,0,1,9,26,89.14087169440248
8,30,5,13,0,1,1,5,26,92.90840510998837
12,30,13,11,0,1,1,8,26,87.84762014928798
6,27,3,11,0,1,0,3,28,93.41437810260943
5,31,3,14,0,1,0,9,29,97.67684069807372
7,29,6,12,1,0,0,8,30,97.63076232962808
14,34,5,17,0,0,1,12,26,96.38157999242952
5,29,6,16,0,0,0,7,26,87.74202584047889
10,29,8,16,0,0,0,6,22,84.76603876687584
8,28,8,17,0,1,0,9,23,81.9372428025836
10,34,5,16,0,0,0,11,26,90.02268832176838
10,34,12,14,0,0,1,10,28,93.76834094565989
12,29,6,8,0,1,1,6,28,99.031613439293
11,27,11,12,1,0,0,10,30,96.98539805558872
9,30,7,13,0,0,1,10,26,92.3437023806938
8,29,8,13,0,1,0,9,28,90.1279023300774
10,31,5,11,0,1,0,4,27,97.98364227285364
4,29,7,12,0,0,0,10,30,95.74171123403524
11,27,11,12,1,0,0,10,29,89.47003974155476
14,31,4,12,0,0,0,7,26,96.73440385099651
4,30,8,13,1,0,1,8,28,88.69166488467346
11,29,3,12,0,0,0,10,28,98.69253789825896
6,31,6,17,0,0,0,7,23,83.60545927369844
10,29,8,15,0,0,1,6,23,86.33239678962487
10,28,7,16,0,1,1,4,19,77.42665261740272
9,29,6,13,0,0,1,9,25,86.18911749429924
8,26,4,17,0,1,0,8,24,89.94223538673916
10,29,11,15,0,0,0,6,25,86.48930299038378
9,29,9,12,1,1,0,11,32,99.59180996625643
5,31,8,15,0,0,0,9,25,86.28939123503216
7,28,9,15,0,1,0,6,24,80.3775333689054
12,33,11,18,0,1,0,7,25,89.32236256698349
7,32,8,16,0,1,0,7,25,87.9364927812098
8,26,11,18,1,1,0,8,24,82.73324857701004
10,30,4,12,0,1,0,10,29,100.38986437485264
13,28,4,18,0,1,0,6,21,87.17006060794087
13,27,1,16,0,0,0,10,23,87.93884600057635
10,28,5,14,0,0,0,13,30,98.63443840303108
8,31,11,16,0,0,0,9,24,81.82250322381469
8,32,5,15,1,1,0,8,28,94.3876470548302
8,28,11,12,0,1,1,6,26,86.67956054499199
12,29,6,13,0,0,0,11,28,95.34265075205084
9,32,5,12,1,0,0,7,28,96.09145396626384
6,30,8,13,0,1,1,7,27,92.3940270788726
7,32,8,17,0,0,1,13,26,89.3214020771234
6,29,7,10,0,0,0,8,31,99.65503853338264
11,26,7,9,1,1,1,10,32,102.73139539610251
12,34,12,14,0,0,0,6,26,93.61700425420122
13,26,8,15,1,1,0,8,25,86.5360762211782
9,27,7,15,0,1,0,8,27,89.25630115829735
13,31,10,9,0,1,0,10,31,99.665982567271
9,30,7,13,0,0,1,9,25,87.62535146582115
10,31,11,11,1,0,1,8,30,94.98789404197244
9,29,12,13,1,0,1,9,26,87.5489037968227
9,28,8,12,1,0,0,9,29,94.33112997364508
12,28,6,14,0,1,1,5,23,85.7116355117457
8,33,14,13,0,0,1,7,26,85.71543944046954
10,28,7,11,0,0,1,9,27,94.506899736881
10,27,10,20,0,1,0,8,21,79.28954159489211
14,27,2,11,0,0,0,9,25,97.30729430883844
16,31,5,10,0,0,0,10,28,100.74462500783606
8,30,9,13,0,1,0,8,27,94.34598399994296
9,31,8,15,0,0,1,9,26,88.14740513921923
7,30,7,18,1,0,0,10,25,88.22328722350828
5,32,7,12,1,1,0,12,34,101.52629270628456
13,33,15,10,0,0,0,9,29,94.11547990483116
6,30,4,19,1,0,0,11,23,81.89415669372836
11,28,5,18,0,0,0,8,23,89.15766846865958
9,32,10,10,0,0,0,6,25,84.47736819658206
11,32,5,18,0,1,0,9,23,87.8739610710758
10,35,9,12,0,1,0,11,32,103.40730050933664
7,29,5,13,0,1,0,14,31,97.30023043038145
14,32,7,17,0,1,1,7,23,88.10002672150979
11,31,4,13,0,1,0,5,24,90.46235782119992
5,27,12,12,1,0,0,12,30,87.91663865319886
12,32,17,15,0,1,0,9,26,87.25094792269356
11,32,7,11,0,0,1,8,28,96.07547931743574
11,25,8,12,1,1,0,12,30,95.30555414368702
11,32,11,15,0,0,0,9,27,92.83526081308187
10,29,7,14,0,0,0,6,23,84.63979925901032
11,34,10,10,0,1,1,8,30,99.27353491479366
8,29,8,14,1,1,0,7,30,97.28665032731114
11,32,8,8,0,0,1,10,31,103.20288299724324
6,33,9,14,0,0,1,10,28,94.55214470792968
14,27,6,13,0,1,0,5,25,92.6091183710152
8,31,8,16,1,0,1,8,23,85.63549941235614
17,26,3,13,0,0,0,10,27,100.99737285145903
8,23,5,12,1,0,1,9,27,88.95101451545777
12,30,8,12,1,1,0,7,28,93.00343185197552
9,29,4,12,0,0,0,9,27,94.65930028538894
9,29,5,16,1,1,0,9,25,87.60080637918318
3,31,7,14,1,1,0,7,27,87.11188586990582
11,28,9,14,0,0,0,11,25,88.3199202038808
6,32,12,14,0,1,1,9,29,91.16679227518333
6,30,8,9,0,0,0,8,31,95.78692961342286
7,27,3,14,0,0,0,6,25,91.12710069088187
11,30,8,11,0,0,1,8,28,95.79950276336812
10,34,5,13,0,1,0,6,25,92.29953444185244
7,28,11,12,1,0,0,9,30,93.48690309537513
10,26,4,11,0,0,0,9,27,95.56389975606363
14,30,9,14,0,1,1,12,25,89.00923338475906
8,27,10,9,1,0,1,8,30,94.59721477728333
15,31,7,11,0,0,0,9,28,97.21080683159842
11,30,12,10,1,0,1,9,27,89.42016089871716
10,29,6,13,0,1,0,10,27,91.26883252536363
5,31,7,13,0,0,0,12,31,99.3004984468103
5,29,6,12,0,0,0,10,29,92.38730282836836
9,34,7,14,1,0,1,10,27,93.275838752052
12,32,9,17,1,0,0,11,24,85.80898312786653
12,27,13,10,0,1,0,6,28,92.4218847773076
4,30,7,14,0,0,1,9,25,86.40449430496109
14,28,12,16,0,0,1,7,22,83.62946070541891
12,25,7,18,0,0,1,7,18,75.39680791296006
11,29,5,9,0,0,1,10,29,96.82011983927092
12,30,6,13,0,1,0,13,28,93.81115363490636
12,32,6,16,0,0,1,7,21,87.31059882490709
10,31,2,12,0,1,0,7,27,94.45556180685196
12,32,5,12,1,1,1,9,30,102.21763247045048
12,27,9,13,0,1,0,7,27,92.69936114974122
5,28,12,14,0,0,1,7,27,85.44130821013938
12,28,4,15,0,0,0,7,23,89.8664246117251
5,29,10,12,0,0,0,10,29,90.17420472513984
11,27,7,11,1,0,0,7,27,89.8761663479666
10,34,9,17,1,0,0,6,21,80.92944139033654
8,30,4,7,0,1,1,6,29,97.33553927315523
14,29,3,12,0,0,1,9,25,91.9643005870278
10,30,10,14,0,1,1,7,24,85.81378112659995
13,29,10,15,1,0,0,9,27,90.3537531695402
12,24,8,12,1,0,0,7,28,93.01617716794996
15,25,14,16,0,1,0,12,24,81.27760567538336
10,31,12,16,1,1,0,10,28,91.9347461062216
9,31,7,9,1,0,0,10,34,106.22429642970896
11,33,8,12,1,1,0,7,29,98.01704433375252
11,26,6,12,0,0,0,5,24,90.43810990799398
10,28,3,13,0,0,0,9,25,92.8648705282686
11,31,10,18,0,0,0,7,25,90.72360313092116
9,28,9,14,1,0,0,9,32,98.1222267482678
8,27,11,15,0,0,0,9,25,81.55012651237314
7,33,6,12,0,0,0,8,26,89.33841146388933
6,27,13,14,0,1,0,9,28,88.57385974234525
10,30,2,13,0,1,1,10,26,96.06819334490862
11,34,8,12,1,1,0,9,32,102.35750736738456
9,36,5,16,0,1,1,11,25,91.6719498822191
13,28,12,11,0,1,0,10,28,92.7629403692154
10,28,10,12,0,1,1,3,25,87.48140414064059
12,30,5,13,0,0,0,11,30,100.7086872809886
14,27,8,13,1,0,0,7,26,93.52847296412556
10,31,9,16,0,0,1,8,22,82.56178980826076
12,28,10,15,1,1,0,9,25,86.85620956684753
10,26,8,8,1,0,1,7,29,96.13665240070198
13,25,13,13,0,0,1,7,25,91.0662252631481
16,30,8,19,0,0,0,4,19,82.59532375390027
8,31,9,11,0,0,0,9,28,91.17903203592132
7,30,7,17,0,0,1,7,21,80.1839186307169
9,32,13,11,0,1,0,11,31,93.50820654689632
10,31,9,17,1,0,1,10,24,87.24394380384719
12,29,8,19,0,1,0,9,20,81.22309551464983
11,27,4,16,0,1,0,11,24,89.13021113405199
11,30,6,15,0,1,1,10,26,92.11030005115929
10,30,9,14,0,0,0,6,24,84.96053977377206
11,31,8,14,0,0,0,13,29,93.94411920999198
11,30,7,18,0,0,1,8,19,79.40517824522294
11,27,8,17,0,0,0,7,23,86.40530055280462
9,28,7,12,1,0,0,10,29,97.38054374898984
10,29,3,18,0,0,1,10,24,93.29293128119404
8,28,3,23,0,1,1,10,20,84.20446621720377
2,32,11,14,0,0,0,7,30,94.01038735784498
9,34,7,10,0,0,0,8,34,110.02849401452464
10,33,9,13,0,0,0,8,25,86.78088794636759
12,29,2,18,0,1,1,7,22,86.90032586311669
12,30,9,17,0,1,1,6,23,86.55053224531154
9,29,7,13,1,0,0,11,29,94.68595043586843
8,30,1,9,0,1,1,11,32,104.95580555714407
12,30,10,16,1,0,0,8,26,88.48045619233365
9,31,7,14,0,0,1,8,29,97.738205836726
14,31,10,9,0,0,1,12,31,100.61117574823692
17,34,11,16,0,0,1,10,22,86.40008407025083
12,28,6,9,1,0,0,8,30,98.82190870689745
10,30,6,16,1,0,0,10,25,87.88467011918677
6,27,10,15,1,1,1,9,27,87.58118177634887
8,32,7,18,1,1,0,8,26,90.42252837216488
11,26,1,14,0,0,1,7,22,86.94869055952982
8,31,12,12,1,0,0,11,30,93.9661356753921
14,34,12,17,0,0,0,8,22,83.53849995952619
12,27,7,14,1,0,1,6,24,88.78410595769418
12,34,14,11,1,0,1,12,32,98.36397023776136
8,32,3,19,0,1,0,11,24,88.85815287442321
12,30,10,16,1,0,1,8,22,80.21384002927383
9,30,8,14,0,1,0,11,29,94.20937352685836
7,28,10,16,1,0,0,9,24,82.17414488884154
16,30,10,13,1,1,1,8,27,91.80147137570228
12,34,9,11,0,1,0,11,30,98.61701762778532
8,28,3,13,0,1,0,9,29,98.9457779416014
14,31,7,17,1,0,0,12,27,94.57182453173372
