defendant_age,trial_length_days,prior_convictions,legal_representation,alternative_sentencing,recidivism
33,24,1,1,0,70.83626018854237
34,11,1,0,0,71.0383082046459
14,9,0,1,1,62.74760962269304
21,12,0,0,0,64.82296566519763
14,21,0,0,1,65.30174744843198
21,15,0,1,1,67.45947594161163
19,31,1,1,0,66.74973017180335
28,12,0,0,0,67.40944425629772
35,19,0,1,0,72.01077864410713
39,15,1,1,0,75.82979719166858
36,24,1,0,0,73.74648509886535
23,22,1,0,0,66.38436557788758
33,21,1,0,0,70.03238640883094
43,15,1,1,1,80.69995630054939
16,25,0,1,0,63.25959502349667
29,7,1,1,1,69.62872550003257
44,23,0,1,1,79.0442468525737
47,15,1,1,0,80.26749014683836
25,16,1,0,1,66.1191985055468
42,10,1,1,1,77.2230784635448
34,13,1,1,0,73.18923049965761
27,13,1,1,1,70.74757603604749
29,25,0,1,0,70.94280828228494
31,19,0,0,1,70.04364232665857
23,12,1,1,0,65.26247070771862
42,18,1,1,1,78.23386081303703
28,19,1,1,0,69.49459953150821
23,21,0,1,1,69.62001600100565
37,8,1,1,1,75.6097949724099
20,24,0,1,1,67.41109840188136
40,28,1,0,0,76.43860388957052
37,27,1,0,0,75.870765011644
21,22,1,1,0,65.87298314553401
33,27,1,1,1,74.76454068512592
40,24,1,1,1,77.54457899295294
21,25,0,1,1,68.1968734801502
27,9,0,0,0,68.11320658107924
25,21,1,0,0,68.81541891788584
26,14,1,1,0,68.29303267492313
16,14,1,0,0,61.35249675168855
28,9,1,1,1,70.55659887379092
25,23,1,1,1,69.26855563070683
34,32,1,0,0,72.23606059458541
32,11,0,1,0,72.90669925361887
29,21,1,0,0,68.36281272263837
26,18,1,1,0,67.38239910682032
23,20,1,1,1,69.08052178716284
25,22,1,0,0,68.06016477200315
16,29,1,1,0,65.60493739870563
20,24,0,0,1,66.47831257571578
33,19,1,0,0,70.42255729560681
33,21,1,1,0,72.28355067357239
17,22,0,1,1,64.71249695564347
34,13,1,1,0,72.0783734316685
29,12,1,0,0,69.22496735590651
39,25,1,1,0,76.3112273467544
27,20,1,0,0,68.21256965361064
31,16,1,0,0,71.603488791406
16,22,1,0,0,61.92206280045882
39,13,0,1,1,76.15548781811755
34,10,1,0,0,72.30875381303049
24,29,1,1,0,69.5217180465298
28,21,1,0,1,70.82412924335202
17,11,1,0,0,62.76996978897974
24,3,1,0,0,64.5590017647041
23,17,0,1,1,69.47216463849486
23,29,0,1,1,70.66231842430007
41,20,1,1,0,76.66420902347642
38,13,1,1,0,75.51344830793514
30,18,1,0,0,70.0870855592258
42,12,1,0,0,75.39498574855213
25,18,1,1,1,70.55073811490088
36,6,0,1,1,74.2991834968058
36,18,0,1,1,75.06723206058209
33,17,0,1,1,74.22321796432166
48,24,0,1,1,81.31487942054906
27,20,1,1,1,69.9514201008099
9,20,1,1,1,61.17480306734586
40,23,1,1,1,77.43294714708163
39,26,1,1,0,74.08732118824445
36,18,0,1,1,73.67667336536867
36,25,0,1,0,72.19218231381811
36,22,0,0,1,74.50409502865564
25,31,1,1,1,71.09141390522572
34,16,1,1,0,72.17216432302737
14,23,0,1,1,63.25808611399703
20,10,0,1,1,68.17370538835829
19,17,1,0,0,64.49112656389939
24,15,1,0,0,67.68846932437116
26,20,1,1,0,67.94476087299563
27,21,0,0,0,69.90518835540193
39,3,0,1,1,74.37453737369057
32,29,1,1,1,73.99566103115654
38,11,1,1,0,73.44404660433482
43,18,0,1,1,76.85190736660262
26,36,1,1,1,70.7133010364144
40,15,0,1,1,76.072742590782
38,13,0,1,1,75.69151611943364
29,34,1,1,0,70.02440444332674
35,22,1,1,0,73.71091089327167
46,22,1,1,1,82.31824207935999
27,18,1,0,0,67.29798912806709
28,31,1,1,1,72.67655165412594
34,23,1,1,0,73.24978622557647
42,18,0,1,1,76.77360765585543
29,17,1,1,0,69.47179657966211
24,31,1,1,0,68.65449150204115
22,26,1,1,0,66.45027144546631
29,22,1,1,1,73.11452997723102
24,21,0,1,1,69.53468095929193
28,20,0,1,1,70.31989658680138
20,17,0,1,1,68.27637459060581
48,22,1,1,0,79.32192988752018
32,21,0,0,1,73.61218458802765
23,17,1,1,0,66.01505412638517
37,21,0,0,1,76.64835587507862
26,22,1,1,1,70.92502977057715
33,22,1,0,0,72.65550039802564
29,21,1,1,0,70.16705289900997
18,17,1,1,1,65.63022715842344
28,18,1,1,0,70.28857379181463
23,20,1,1,0,67.80031023397555
33,23,1,1,0,72.96716997076952
50,11,1,1,0,80.0249797773307
34,26,1,1,0,71.80376707122745
23,25,1,1,0,69.56303636659695
33,20,1,0,0,71.77242928379464
39,19,1,0,0,73.92486209581348
37,12,0,1,1,75.20151996339199
27,21,1,1,1,69.93381386767062
38,25,1,1,1,75.25958637644896
22,21,0,0,1,68.6036858803575
44,23,1,1,1,79.19821939314589
27,22,1,1,1,71.310913416464
36,4,0,0,0,72.23708435970707
16,18,1,1,1,65.15910236295805
30,21,1,1,1,72.8144561305239
25,13,1,0,0,67.30359024092985
17,23,0,1,1,64.81956485478652
16,19,1,1,0,63.75154657635601
29,14,0,0,0,66.43717018944642
23,24,1,1,0,67.67668163947653
13,10,1,1,1,63.34903223575806
39,26,0,1,1,77.75279913280403
23,22,0,0,1,70.58347893759235
25,18,0,1,1,69.14652443071348
27,32,1,1,1,72.68132314835337
40,17,1,0,1,75.88762095280752
36,21,1,0,0,74.28621167291371
38,19,0,1,1,74.54611723418813
22,11,1,0,0,65.86858012981101
32,15,1,0,0,70.1759330372087
41,19,1,0,0,76.96269091350939
13,27,0,1,1,63.7676930813196
20,34,1,1,1,68.68973819258194
42,25,0,1,1,80.25679565732975
29,13,1,1,0,69.44933971183669
23,23,1,1,1,68.65736828748982
22,19,1,0,1,67.62445838209004
24,22,0,0,0,67.26466151382827
32,33,0,1,1,74.76929184116004
27,15,1,1,0,68.704408204577
42,11,1,1,0,75.84092826655645
28,20,0,1,1,71.16972276935863
7,25,1,0,0,58.26951405213589
31,18,1,1,1,73.2699867882689
40,24,0,1,1,77.33972609042031
26,17,1,1,0,66.12259532681036
24,21,1,1,0,66.0185633621774
31,24,1,0,1,71.8713116247088
34,10,1,1,0,71.50197571328172
33,28,1,1,1,73.54328960012137
29,15,1,0,1,70.51365371023346
25,16,1,1,1,71.18041772451026
31,24,0,1,1,75.13076424113503
40,22,1,1,1,77.67550880090586
34,15,1,1,1,74.02590547098082
42,10,0,1,1,79.12282790980068
37,16,0,0,0,73.42183167658838
42,25,0,0,1,79.11067623012813
24,19,0,1,1,68.42869198450579
34,24,1,1,1,73.27242124632106
30,21,1,0,1,72.32312995895323
15,24,1,1,1,65.38697205337711
49,11,1,0,0,79.36236616118319
15,25,1,0,0,63.64454741333503
23,8,1,1,0,64.07028921284392
30,14,1,1,0,69.51643446152303
19,23,1,1,1,67.71116993517029
25,12,1,0,1,68.97135077254127
27,30,1,1,0,69.66030672519791
32,19,1,1,1,73.70480492833396
21,17,1,1,1,67.61481379776474
24,23,1,1,0,68.14729919943957
18,20,0,0,1,67.2834527520953
21,28,1,1,0,67.26029903688067
41,15,1,0,0,76.09782548819058
36,15,0,1,1,76.08040504973968
33,24,1,1,0,71.50610411896099
33,14,0,0,1,74.67440182601696
20,23,0,1,0,65.40789481514217
38,20,1,1,1,77.79214229665115
34,22,0,1,1,76.29342697326533
28,19,1,1,0,67.21561072644336
12,16,0,1,1,61.86049234238045
43,11,1,1,0,77.65864493728866
42,14,1,0,0,76.74058091398895
22,24,0,0,1,68.18043948532024
26,19,0,0,1,69.52283094201263
52,15,1,0,0,79.3749562070244
21,12,1,0,0,63.97128067320232
44,20,0,0,1,79.30122489421996
34,11,0,0,1,74.35269803660427
34,22,0,0,1,72.98542433133053
33,23,0,1,1,73.53440451547175
33,16,1,0,0,71.61393126126295
35,16,0,1,1,73.26398958458341
35,21,1,1,0,70.95481685753408
26,16,1,1,1,69.48229671370845
28,28,1,1,0,71.21464823972815
27,14,0,1,1,71.0672979663101
26,16,1,0,1,70.78256919343663
35,16,1,0,0,72.07024634650843
45,23,1,1,1,80.16353402892422
42,23,1,1,1,78.86146984960112
34,16,0,1,1,75.1869423092672
23,33,1,1,1,71.14766482534377
12,18,0,1,1,60.225373000043945
42,13,1,1,0,73.94559172473112
24,20,0,0,0,66.12093430555498
30,27,1,0,0,69.00509960231584
26,23,1,1,1,71.80023260830808
33,20,0,1,1,74.68188965505048
3,13,1,1,0,54.72490286842609
16,26,1,1,1,65.38744586787502
25,14,1,0,0,66.55667073365464
28,17,1,1,0,66.26622153805393
20,23,0,0,1,66.09475940220877
31,24,1,0,0,70.28554272705377
26,25,1,1,1,70.11328765026141
28,25,1,1,0,69.95148488857765
31,9,1,1,0,69.13530984477731
37,12,1,1,0,74.57473204322031
32,21,1,0,0,71.80095816412289
26,20,1,0,0,69.10830388366328
29,17,0,1,1,70.82406161901602
29,11,1,1,0,68.6758361624255
25,22,1,1,0,68.1165238297568
30,15,1,1,1,72.67244123621836
34,11,1,1,0,71.71565439523921
32,18,1,1,1,72.90362257611464
46,19,1,0,0,76.50113496128239
30,24,0,0,1,73.43379333817013
35,15,1,1,0,72.28095553659388
23,17,1,1,1,69.15428519037268
35,18,1,0,0,72.00439222902985
21,28,1,0,0,67.25173558673298
36,15,0,0,0,71.49400775921897
49,20,1,1,0,79.47961172927624
25,19,1,1,1,68.9713991802616
31,11,1,1,0,70.05740413542419
45,13,0,1,1,79.42854128980225
22,26,0,1,1,68.9718689452527
30,36,1,1,0,72.59507745235629
12,27,0,1,1,63.4323872708516
19,20,1,1,0,65.69413767836542
31,14,1,0,0,70.60498115455887
29,19,1,1,0,70.22338203862901
34,20,1,1,0,72.45506698912816
23,14,1,1,0,67.92468450954998
25,22,1,1,0,69.54265321891872
36,27,1,0,0,75.14921369282658
17,15,1,0,1,65.1422047811549
34,19,1,1,1,74.15375114079025
27,18,0,1,1,71.79479338369498
33,13,1,0,1,72.98077383060641
19,5,1,1,0,62.8205760136124
35,22,1,0,0,70.50214497293705
23,26,1,0,1,69.35985128296474
35,18,1,1,1,75.6781293902579
15,19,1,0,0,62.96671136413438
34,26,1,1,0,72.5785103477519
34,25,0,1,1,75.61451694218599
23,26,1,1,1,68.8317974619911
27,25,0,1,0,70.25867157732878
34,20,1,0,0,72.55388033530329
22,17,0,0,0,64.55854283942227
22,17,0,1,1,68.1951010422182
29,25,1,1,0,71.98668353947579
20,27,0,0,1,65.97244123870614
30,22,0,1,1,74.28162068692905
38,8,1,1,1,74.53507173939387
30,16,1,1,0,70.48785635056888
40,15,1,0,1,76.83443063363462
31,27,1,1,1,75.71962871637507
42,7,1,1,0,74.8790268358795
41,24,1,0,0,75.33431450531586
21,17,0,1,0,66.67973692769401
50,23,1,0,0,80.37812500987457
33,11,0,1,1,73.05132235346747
25,19,1,1,0,67.05161707877413
22,14,1,1,1,66.90209183811677
37,27,1,1,1,76.74860418863942
36,7,1,1,1,73.6393109160551
38,17,1,1,0,74.00534190693133
32,19,0,1,0,70.70701256141187
37,14,0,1,1,75.96487721052074
23,31,1,1,0,68.68848136584941
34,24,1,1,1,74.79050827450821
26,19,1,0,0,67.50286764436505
38,21,1,0,0,73.68869733300909
27,15,1,1,0,69.37549160257868
34,17,0,1,1,74.83120484672914
34,30,1,1,0,74.75333090602528
23,23,1,1,1,68.12391007051113
23,20,0,1,1,69.5857022315759
34,25,1,0,0,72.43969903252729
33,23,0,1,1,74.96734970019685
15,29,1,1,0,63.48314136740332
26,23,1,1,1,72.00689219443777
36,18,0,0,0,71.91664707491688
39,24,0,1,1,76.11660225546937
18,24,1,1,1,68.10890399635952
37,20,0,1,1,75.36824465975548
32,28,1,1,1,74.67693268468234
45,22,1,0,0,77.71651750208297
27,11,0,1,0,67.21918954853896
20,23,1,1,1,68.28859684727621
37,14,1,1,1,74.69588125760887
29,28,1,0,0,72.0460628710258
35,21,0,1,1,74.80375618303239
43,23,1,0,1,79.06304925266186
28,24,1,1,1,73.65067716852938
17,29,0,0,1,65.71791366146881
39,20,1,0,0,73.65657250479447
29,22,0,1,1,71.91466986730478
28,16,1,0,0,67.46436739875428
32,15,0,1,1,73.57852450988354
25,24,1,1,0,69.49200988351943
26,15,1,1,0,68.30583151497657
38,26,1,1,1,76.39494722269764
25,30,1,0,0,68.69799800137197
16,22,1,1,0,64.17064872616834
38,32,1,1,1,78.04085900468563
39,16,0,1,0,73.42801961582384
35,12,0,0,1,73.94236019734379
17,12,0,1,1,66.33979246909793
27,21,1,0,0,68.61299836432738
18,7,1,1,0,64.6332346485294
35,20,1,1,0,72.17244564244191
18,14,0,1,1,64.9574099089057
24,41,0,1,1,72.35007847716334
25,14,1,1,0,67.7095575516086
38,14,1,1,1,74.90668016334277
31,22,1,1,1,72.12443011800971
31,15,1,1,1,72.7037895775295
48,10,0,1,1,81.57992675551512
21,32,1,1,0,66.84974268047537
42,15,1,1,0,74.89680149673731
32,17,1,1,0,71.76039722896125
16,22,0,1,1,62.990923184440334
32,25,1,1,0,71.99026446607
29,14,1,1,0,69.6006689069731
27,16,1,1,1,70.12803856932355
22,19,0,1,0,66.39806957964106
23,17,1,0,0,67.83829687967096
32,26,1,1,0,72.97087154955123
18,24,0,1,1,65.38715710711857
23,22,1,1,0,67.87141525910987
45,18,1,0,1,79.17251541217045
24,11,1,1,1,68.22315444513514
32,14,1,0,1,71.6554914143322
31,16,0,1,1,73.37059926032674
35,23,0,1,1,74.6337819148069
36,13,0,0,1,76.17101609498033
27,15,1,1,0,68.34220170437787
24,10,0,0,1,66.08825026375249
29,22,1,1,1,71.79032065061904
21,18,1,0,0,66.14175360626099
18,11,1,1,1,64.93080124958855
22,20,1,0,0,68.04473148587353
28,7,0,1,1,69.36861708357453
46,20,0,0,1,81.6548993514977
40,12,1,1,0,75.27620597291887
27,9,1,1,1,69.39578956302194
23,19,0,1,1,67.56646361094951
20,25,1,1,1,68.07900637585558
30,12,1,1,1,71.94224748163224
28,28,1,0,0,68.94457651750207
28,14,1,1,0,68.30383872335872
32,24,0,1,1,74.96183748617415
28,26,1,0,0,69.16757446470913
30,18,0,1,1,71.31086022872981
29,20,1,1,0,69.4856364730011
39,32,1,1,1,80.69713547220469
33,21,0,1,1,73.28835946478507
32,28,1,1,0,73.26961623343347
31,23,0,1,1,71.78382868148508
36,24,1,1,1,76.8418135157427
28,19,1,1,0,68.7975380263187
28,26,1,0,0,68.81820408353765
22,14,0,1,1,67.38751462625221
31,12,1,0,0,69.93782346881349
30,17,1,0,0,70.27619687850789
22,30,0,0,1,68.46190040494601
39,18,1,1,1,78.09217844161039
29,14,1,0,0,68.49515026590133
17,21,1,1,0,61.96086656514085
42,31,1,1,0,79.0862832191578
27,12,0,1,1,69.34091554694442
34,21,1,1,0,71.38415789194826
32,29,1,0,0,73.52612788313677
28,16,0,0,1,70.14867351464557
18,21,0,0,1,65.95604381436239
30,19,1,1,1,73.65873187851449
11,13,0,1,1,62.49993508163972
22,13,1,0,0,64.18173739656446
30,23,1,0,0,71.1451600626488
39,19,1,0,0,74.12522240508258
27,22,0,1,1,71.29885354258101
35,28,1,0,0,71.64221576455222
21,16,1,1,0,66.29853134671778
34,19,1,0,0,72.39430081500144
34,17,1,1,0,72.8322270802217
31,19,0,1,1,72.0571945831965
13,25,1,0,0,62.798655549802525
30,13,0,1,1,70.89443733986278
20,28,1,1,0,68.13977348262323
35,31,1,1,1,76.26671201455139
26,25,1,0,0,68.81239821138158
28,18,1,1,1,70.70711142149088
22,12,1,1,0,65.63824541562524
35,26,0,0,0,72.86981140787107
33,17,1,1,0,72.13656446555973
25,5,0,1,1,69.77974236114525
31,26,0,1,1,74.44528082305665
32,17,0,0,0,70.11484298739705
15,15,1,0,0,62.40498438241274
37,17,1,1,0,72.04766373777166
44,8,1,1,0,76.10071717538487
25,23,1,0,0,66.69586137928695
20,14,0,0,1,66.44741064130679
31,29,0,1,1,73.65497107952895
38,20,1,0,0,74.4663760110117
24,11,1,1,0,66.59368622107758
17,28,1,1,1,65.89208151164223
29,21,1,0,0,70.14226604788453
22,19,1,0,0,64.34583954667771
28,22,0,1,1,71.76664841495315
40,22,0,1,1,78.79280367524076
40,12,1,0,0,75.66267141007224
17,26,1,1,0,64.8960736063196
30,31,1,1,1,74.40102525573134
28,13,0,0,0,67.37522220387996
14,16,0,1,1,64.24679307752774
39,24,0,1,1,76.29677795293583
34,15,0,0,0,72.6115528319879
27,16,0,1,1,70.46804251566535
31,21,0,1,1,72.29551820001916
25,17,1,1,1,69.41123911221975
24,24,1,1,0,66.64393584807718
35,21,1,0,1,74.77151018171536
45,21,1,0,0,77.56693837768252
19,17,0,0,1,65.16802336385749
35,25,0,0,1,74.80429662674382
41,20,1,0,0,74.8290009411249
32,21,1,0,1,73.14738926540187
31,25,1,0,0,71.2906877489196
25,14,1,1,1,70.43404591427158
21,26,1,0,0,64.7745391631797
32,16,1,1,0,70.91002794104917
23,11,0,0,1,67.31208589738452
27,26,0,0,1,70.2968969000542
23,19,1,1,0,66.72462351866878
13,27,1,0,1,64.34268269489483
29,24,0,1,1,72.81143566822897
23,13,1,0,0,67.95052550892683
26,31,1,1,0,68.7276353924775
24,22,0,0,0,66.5011128476346
26,28,1,0,0,67.95369218986023
29,17,1,0,0,69.72709820328954
29,14,0,1,0,66.85917677686078
39,19,1,1,1,77.56903989550389
30,13,1,0,0,68.5219168851451
26,15,0,0,1,69.21065807146864
32,25,0,1,1,73.8468785062549
43,25,1,1,1,78.93160093828617
27,29,0,0,0,69.76729894238385
40,15,1,0,1,75.95043952756231
41,30,1,1,1,80.92307625793762
33,26,1,0,0,72.01871603360152
30,19,1,1,0,71.44754720468013
29,9,1,1,1,70.2095105471009
29,12,1,1,1,71.03823583022725
17,23,1,1,0,63.24887400164585
24,3,1,1,0,65.1665319017187
30,15,1,0,0,69.8529197972928
30,20,0,1,1,72.23034742048985
29,12,1,0,1,68.6041091698191
53,17,0,1,1,86.34272516293318
37,5,0,1,1,73.30678507727278
35,19,1,1,1,74.22555323705298
23,16,0,1,1,68.50700316988039
48,17,0,1,1,82.72738978277722
30,32,0,1,1,73.63608162891346
30,16,1,1,0,72.19367410665755
29,35,0,1,1,72.62342796448891
31,16,1,1,1,70.01720625978797
34,31,0,1,1,75.71936384377383
32,16,0,1,1,72.29722831541193
27,25,0,1,1,70.11795496799088
47,20,0,1,0,78.90421189655135
22,29,0,0,0,66.2930110650005
38,19,1,1,0,74.81775425788064
32,20,0,1,1,72.91054856529806
36,11,1,1,0,73.77802385200302
27,17,0,0,1,69.19230781663238
29,18,1,0,0,72.4166104119964
32,21,1,1,0,71.21042295956293
29,21,0,1,0,68.4703405341442
16,20,1,0,0,64.39568301534639
30,13,1,0,0,69.68957632478093
28,16,0,0,0,69.17706648443489
42,36,1,1,0,77.1380850398849
42,16,1,1,1,78.42279619214122
30,24,0,0,0,69.77010659240004
42,17,1,1,1,76.58119745176548
30,24,0,1,1,73.35294860083971
24,31,1,1,0,68.35875131527685
28,16,1,0,0,68.5904160457598
34,18,1,0,0,70.50122153970861
29,23,1,1,1,71.9214015989494
26,15,1,0,0,67.90762863906636
31,17,1,1,0,71.16627564671731
25,12,1,0,0,66.37727014674702
39,7,1,0,0,72.42519708101139
20,22,1,1,0,65.80263246346968
24,13,1,0,0,66.97332351968342
40,11,1,1,0,75.47425660811854
30,21,0,1,1,71.45583904557314
24,17,1,1,0,69.09642715248906
30,24,0,0,0,69.59642639640111
32,17,1,1,1,72.5310577292966
32,20,0,1,0,71.74586936809901
38,19,1,1,1,78.40935447649929
23,23,1,0,0,66.43848526254175
28,21,1,0,1,71.50245803002946
31,23,0,0,1,73.63379002756481
39,28,0,0,1,77.15937357058668
38,23,1,1,0,75.1956438934133
35,25,1,0,0,74.05905270109899
20,19,1,1,0,65.47851566622954
43,13,1,1,1,77.47349598535362
16,15,1,1,0,63.18643781182757
26,16,1,0,0,65.80490925556144
23,12,1,1,0,64.3548997966054
30,22,1,1,1,73.96104914870476
36,23,1,1,1,75.24628974356953
39,15,1,0,1,76.85687714857099
25,20,1,1,1,71.28246254500608
33,19,1,0,0,71.55656351799588
4,26,0,1,1,58.9353155767993
36,19,1,0,0,71.95027023638389
25,24,1,1,0,69.28900819469216
35,16,0,1,1,73.20937651029384
38,9,0,0,1,73.43887064337304
40,23,1,1,1,76.54878973219941
28,23,1,1,1,72.2587806158741
40,24,0,1,0,76.00896752665918
18,22,1,1,0,65.05359208836823
34,20,1,1,1,73.95930033259562
27,28,1,1,1,70.42546645124656
21,12,1,1,1,67.17955673642011
33,19,1,0,0,72.5662975326957
33,16,1,1,1,74.404867762478
37,17,1,0,0,74.04570968249645
35,36,1,1,1,76.88829371474071
45,21,0,1,1,80.37288341484434
33,18,1,1,1,70.06307372427939
36,26,1,1,1,77.84533069646865
24,8,1,1,1,68.3703241939973
24,20,1,0,1,70.29969674222978
42,23,0,0,1,76.86880826529278
45,20,1,1,0,79.39495565896415
31,23,1,0,1,72.58571700617063
26,17,0,0,1,68.39934836127343
38,21,0,1,1,76.79417472673371
20,20,1,1,1,67.55794168221672
41,10,1,0,0,74.98342623655878
38,25,0,1,1,76.36745915427535
20,16,1,0,0,65.4403544064518
28,32,1,0,0,71.55874428216514
42,20,1,0,0,75.85351819096772
41,18,1,0,0,76.46980402112365
22,22,0,1,1,66.24646418979835
18,20,1,0,0,65.00125527292876
12,17,0,0,1,62.51941721394656
28,14,0,1,1,70.12248171030315
32,20,1,1,0,71.3068607424404
22,25,0,0,1,66.78759695059901
35,9,1,1,0,71.68729204574169
31,10,1,1,1,72.33615633881182
39,17,0,1,0,75.60037466370507
44,25,0,1,1,79.9928327865978
34,19,1,1,0,72.62120936355282
34,17,1,0,0,73.02769911766764
33,19,0,0,0,70.87913519177762
33,15,1,1,0,71.68110796393321
21,22,1,0,0,67.09030637117819
22,24,1,1,1,68.66478066382079
26,22,1,1,1,70.15315516706305
19,15,1,0,1,66.23383981199399
44,14,1,1,1,77.8335544488565
24,13,1,1,0,66.23034341579668
23,29,1,1,1,70.80881616314619
21,31,1,0,0,67.26989888927574
33,22,0,0,0,71.4094676566554
34,9,1,0,0,68.60908384669585
25,21,1,0,0,68.80454682161384
7,24,0,0,0,58.734295176870965
28,15,1,0,0,67.75499280978731
25,24,1,1,0,67.3807248358324
28,19,1,1,1,71.6030186387613
30,15,1,1,0,70.45948440753737
28,19,1,0,0,68.82488174292075
23,18,1,1,0,66.54839462683186
34,21,0,1,1,73.9349114391067
23,28,1,1,1,68.47902494234592
27,19,1,0,0,66.44887654996225
42,19,1,1,1,78.5718113310632
28,10,1,1,0,69.66716088321076
39,12,1,1,0,74.3903997911102
17,21,0,1,1,66.827970012706
13,13,1,1,1,63.63650401239305
32,20,1,1,0,71.04505542247641
37,16,0,1,1,75.89690263329942
28,13,1,1,0,68.0462470079843
24,21,0,0,1,68.03852679221397
34,25,1,0,0,72.72721674011166
32,25,1,0,0,71.13031445619765
41,15,0,1,1,76.66488575264299
26,25,1,1,1,70.55162916207077
25,30,1,1,1,71.38345130629314
27,24,1,1,0,70.4734163419151
25,12,1,0,0,67.79895362504628
25,26,1,1,1,69.2316640254214
34,17,1,1,0,72.16139601073357
29,28,1,1,1,72.7056246866338
30,14,1,0,0,70.10857259064441
38,25,1,1,1,78.49676369923817
24,13,0,1,1,69.06963617499541
36,16,1,0,0,73.92690649324625
34,26,1,0,0,73.65254750442476
31,16,1,1,0,69.9939512753125
27,32,0,1,0,69.06162842440307
22,20,1,0,0,65.4323867335359
27,13,1,0,0,68.20857863852311
27,20,1,1,0,69.21196572844264
28,31,1,1,0,71.13480865652897
