age,education_years,hours_worked_weekly,pre_program_annual_income,gender,union_membership,minority_status,local_unemployment_rate,job_training_intensity,post_program_annual_income
9,27,3,10,0,1,0,7,15,97.20485783476391
14,29,6,16,1,0,0,11,3,57.35755003908407
7,30,15,17,1,1,1,8,6,64.35403261138453
8,30,16,12,1,1,0,10,12,84.99018796478755
4,28,6,14,0,1,1,11,10,80.45657966414633
9,30,9,8,0,0,1,8,16,102.57474619958576
7,29,10,15,1,0,1,9,6,66.25874815915152
10,25,10,11,1,1,1,8,15,100.751148490748
12,31,7,17,0,0,1,10,4,59.343974111099165
11,28,11,12,1,1,1,8,10,80.2035287056764
9,30,2,14,0,0,0,9,8,74.03338909350774
16,29,3,13,1,0,1,9,6,68.81114961758009
13,29,5,12,0,0,1,10,13,91.8052265757674
9,28,2,11,1,0,1,10,11,83.00532988883272
10,31,7,15,0,1,1,11,11,85.58283536123655
13,29,7,13,1,1,1,9,9,78.1674776626789
4,31,5,14,1,1,1,7,6,65.88468181965811
12,32,6,15,1,0,0,9,6,69.32692613483228
12,32,7,13,1,1,0,9,10,83.00368738237678
10,31,11,14,1,1,1,9,10,79.2568832874768
3,31,8,14,1,1,1,10,9,73.46939909925896
9,27,8,17,0,0,1,7,4,60.9482245822818
5,28,13,17,0,1,0,8,9,74.52625287957478
6,31,9,12,1,1,0,12,14,92.3259232260497
8,29,4,16,0,1,0,8,7,68.59309788468985
12,30,9,8,1,0,1,6,15,99.78620652623012
13,30,16,11,0,0,0,10,13,91.38680621178928
13,32,12,14,0,0,1,13,14,95.01438529883794
11,31,7,11,1,0,0,5,13,92.57594871103606
12,29,8,15,1,1,1,11,8,74.83235639624033
6,23,10,14,1,0,1,2,7,68.38423591097931
5,30,7,12,1,0,0,8,10,79.2191643553268
10,32,4,16,1,0,0,12,5,63.814292780779695
10,30,11,11,1,0,1,7,12,90.28904900326316
11,30,9,12,0,1,1,10,11,81.21549606717234
9,28,9,11,0,0,0,11,14,94.781316017856
9,29,8,16,0,1,0,10,7,71.3260808164757
8,26,8,14,0,1,1,8,13,90.61244904119282
7,28,2,15,1,1,1,7,3,54.51583327234995
10,28,8,11,0,0,0,13,15,97.47664084924703
9,26,8,16,1,1,0,8,4,58.689416826660974
10,30,3,14,0,0,1,8,6,65.35341472962055
14,33,9,15,0,1,1,15,11,86.7809656139284
9,29,6,13,1,0,1,9,8,74.3594923597373
13,28,9,14,1,1,1,6,5,63.296778521104
3,31,10,18,0,0,1,6,4,61.95477058775566
12,28,10,17,0,0,0,10,9,77.21301168169131
7,32,9,13,1,0,1,14,11,84.9360359741861
12,29,-1,12,0,0,0,11,10,81.16830019918191
8,26,7,15,0,0,1,7,7,69.59500821990211
10,31,8,11,1,1,0,6,12,91.65883257780656
12,34,15,14,0,1,0,7,10,82.38234673423939
12,29,4,15,0,0,1,10,8,75.34788355847127
9,32,4,11,1,0,0,12,14,97.4313610764215
11,29,3,16,1,1,1,8,3,58.30101531208258
14,29,14,13,1,0,1,7,8,75.73081968334992
9,27,8,7,0,0,0,11,19,110.55816578369983
13,27,9,13,0,0,1,9,12,91.33863449963243
6,31,11,14,1,0,0,12,11,83.77715009578442
6,31,12,13,1,0,1,10,10,79.10894690732594
9,29,9,13,0,0,1,5,9,76.5696036537633
5,27,7,11,1,1,1,9,13,91.9370152993142
9,28,10,11,1,1,0,7,15,97.96226739031758
7,29,5,9,1,0,0,10,14,97.1009149346684
11,30,5,18,0,0,0,6,3,58.55253813654021
6,32,8,16,1,0,0,8,6,69.89787564294045
11,30,11,14,1,1,1,6,7,71.26559455177394
5,29,6,14,0,0,1,7,8,74.43951010911836
10,34,5,14,1,0,1,8,6,70.37053736120254
8,30,14,11,1,1,1,8,14,94.5096883607464
7,27,11,21,1,0,0,8,2,50.44558662325401
13,29,10,11,1,1,1,11,13,91.43949294624706
12,35,6,15,1,0,1,7,5,69.27853953591634
6,32,11,14,0,0,0,10,13,91.49588561232376
6,30,11,17,1,1,1,5,5,59.02263600866054
14,32,13,12,0,0,1,9,12,89.8803184082488
8,28,7,18,1,0,0,9,4,59.74920817654159
10,35,1,14,1,0,1,6,2,55.80148978061398
11,27,6,11,1,1,1,8,13,94.41545634423998
9,29,10,13,0,1,0,9,13,90.1859612773126
4,33,12,11,1,1,0,6,14,94.74900427700273
12,28,13,14,1,0,0,5,9,80.04427346687928
7,30,10,13,1,0,0,9,9,77.54713173681255
9,31,6,11,0,1,0,8,12,85.85164603940333
9,28,9,10,1,1,1,9,12,85.3341427976376
4,34,12,14,0,0,1,7,6,65.23744874972257
9,29,3,12,0,1,1,7,12,87.64846005387564
6,30,7,13,1,1,1,8,12,87.71325626025562
8,33,6,18,0,0,0,6,4,59.38323191027486
8,31,10,17,1,1,1,6,5,64.50476530466418
13,28,14,12,1,0,1,6,9,80.0250750435245
8,29,10,14,1,1,1,7,6,65.14945889047475
8,28,11,16,0,1,1,11,7,69.00448289223633
12,30,7,15,0,1,0,6,6,69.62246727947324
9,25,6,12,1,1,1,12,12,86.64687693611293
7,31,6,24,0,0,1,6,-4,33.41145698241041
11,28,4,17,1,0,1,9,2,52.72636069034836
15,27,9,12,1,0,0,10,12,88.5756586246454
10,29,14,17,1,1,1,9,5,57.93193922821576
10,32,11,17,0,1,0,9,7,71.46344924124065
12,27,8,18,1,0,1,9,1,47.57768330416413
11,31,2,17,1,1,0,13,4,57.28692994893255
5,30,5,13,0,1,1,6,9,76.67919004796252
5,29,9,14,0,1,1,7,7,67.27419439264477
11,33,6,12,0,0,1,9,10,83.19325721512683
14,33,3,15,0,0,0,9,2,54.88656229039098
7,28,7,12,1,1,0,11,11,82.0510171260258
11,28,8,15,1,1,1,10,7,68.98826639452685
11,30,13,10,0,1,1,6,14,96.86056309257737
8,29,4,15,0,0,1,9,8,73.48134553581568
8,26,5,10,1,1,1,9,14,94.62318883243118
6,28,8,10,0,0,0,10,16,101.3434475364004
9,35,11,15,0,0,0,9,5,60.23347341712905
9,29,9,15,0,0,1,10,9,78.80784670326146
12,29,4,13,0,1,1,5,5,64.07812635242982
12,25,7,11,0,1,0,4,13,93.10278360787876
16,25,14,10,0,0,0,8,14,97.35111004281949
8,32,12,20,0,0,1,7,1,51.306673903099416
8,29,10,13,1,0,0,7,8,72.51866746336373
11,34,2,10,1,1,0,5,5,62.86062791516743
11,32,7,9,0,1,1,7,11,85.60201824937114
10,32,8,16,0,1,1,11,9,78.61843167840759
6,27,9,17,1,1,0,8,3,55.23307845587233
7,31,9,14,1,0,0,8,6,67.89886128100038
12,30,3,20,0,0,0,6,-1,42.57551561384393
9,31,6,14,1,0,1,13,9,76.67794191827727
9,35,7,10,0,0,0,9,13,90.44898480507158
7,30,12,17,0,0,1,11,8,73.3169940664423
10,30,10,12,1,0,1,5,8,75.39858478476995
11,29,6,11,1,1,1,7,11,84.91561440932716
12,28,3,13,0,0,1,8,8,75.08135361543292
9,26,5,12,1,0,1,11,13,90.2406888309333
13,33,6,16,0,0,0,4,3,56.17922990779496
12,29,5,11,0,1,1,8,11,86.26177716459802
9,26,12,12,1,1,0,11,16,101.3132543904438
2,26,7,15,0,1,0,11,12,82.43362628574334
10,25,8,13,1,0,1,3,7,74.91328929370344
8,27,10,11,0,0,0,9,16,101.96271614326696
11,31,5,10,1,0,0,12,13,89.15302815172511
8,28,9,12,1,1,1,9,12,88.33475023876889
10,30,5,14,0,1,1,10,6,65.1540111013308
14,29,13,16,0,0,1,8,8,75.04865139313233
8,30,2,14,1,1,0,10,7,69.80427047894928
8,31,8,10,1,0,0,8,14,97.44434667177876
14,24,0,16,0,0,0,5,4,63.85750969625151
8,28,6,15,0,0,0,8,8,72.03299103371064
9,33,9,17,0,0,0,9,6,67.19616486771845
6,32,10,11,1,1,1,9,11,84.42723860049162
10,30,7,12,0,1,0,7,9,76.12395352326318
17,30,2,15,1,0,0,9,6,69.79097579274773
13,30,9,13,0,1,0,8,8,73.8387339386371
4,29,15,14,0,0,0,10,13,91.23868013581335
8,28,9,13,1,1,0,8,10,79.98020837712556
8,33,15,19,0,0,1,8,2,55.46387271230371
8,31,12,15,1,1,0,11,9,77.81063030920402
10,29,10,13,1,0,0,8,12,87.50473906659998
11,27,11,14,1,0,1,11,12,87.789775285666
12,27,4,14,0,1,1,11,7,68.80957395448324
7,29,8,8,0,1,0,9,18,107.14219950143776
7,34,6,15,0,1,0,5,6,66.29872156138454
11,30,9,13,0,0,0,8,8,72.86468954871958
4,27,6,14,0,0,1,10,10,80.02195454778972
8,35,5,9,1,0,1,8,11,84.41478445014656
11,29,7,15,1,0,0,8,7,74.02823601644053
9,28,4,14,1,1,0,9,8,71.97252900626961
11,27,9,12,0,1,1,7,13,92.59520615806645
6,32,6,15,1,0,1,7,4,62.20487953972466
3,30,5,10,1,1,0,10,14,93.9469343193161
12,26,8,10,1,0,1,9,11,83.49623655381183
11,28,9,17,1,1,0,10,6,66.25443644106507
10,34,4,15,0,1,1,8,3,56.33265592627882
10,31,2,15,0,0,1,6,4,60.32863389198703
8,26,10,11,0,0,0,6,13,87.7988412302064
7,28,11,12,1,0,0,10,13,89.8601130107939
11,26,8,16,1,1,0,11,7,68.27249046092665
10,31,9,13,0,0,1,10,11,85.81370079908548
6,28,11,11,1,0,1,13,15,97.2753285765899
9,26,11,15,0,0,0,11,11,82.90108187168669
12,30,10,15,0,1,0,8,8,73.3482199788158
10,27,4,16,1,1,1,8,6,67.40754942554791
9,30,12,19,1,0,1,9,4,61.19438144313236
10,30,10,11,1,1,1,9,12,88.68219335058426
6,32,10,17,0,1,1,9,5,62.94071964249662
10,30,11,11,1,1,0,8,14,94.54369109586553
15,28,6,16,0,0,0,11,7,73.09502329111837
8,31,1,17,1,1,1,5,0,46.342200043096845
11,28,4,13,1,1,0,10,9,75.59495633900922
6,27,3,11,1,0,0,9,13,92.13349517002833
10,28,7,11,0,0,0,8,13,91.5417177261318
9,30,1,10,1,0,0,9,14,100.13307829930356
16,25,13,14,1,0,1,11,11,83.71788714093701
12,30,9,9,1,0,0,3,10,83.55325534564402
8,28,8,12,0,0,1,9,12,89.366031234903
7,30,8,13,0,1,1,5,9,77.01425802449953
11,29,11,12,0,1,1,6,11,86.08216863614645
13,27,12,17,0,1,1,10,9,79.64110526767918
9,29,12,16,0,0,1,8,7,71.59820364837373
10,34,5,15,1,1,0,10,9,80.72353649467635
9,27,5,16,1,1,0,8,5,62.08759226364098
9,27,5,15,1,0,0,7,4,58.51544271771916
7,26,5,13,1,0,1,7,8,74.97330342950157
7,28,0,11,1,1,0,7,8,70.79304695641329
11,27,4,11,0,1,0,9,15,98.48514085451622
11,32,8,15,0,0,1,9,7,74.12881093081016
12,29,4,14,0,0,0,5,8,75.73426130292357
9,29,10,13,1,0,0,11,12,85.87029337253324
7,28,10,13,1,1,0,9,9,73.46726430176392
10,30,4,17,1,1,1,10,2,51.624063096456375
12,27,3,9,1,0,0,5,13,93.11103947441042
8,30,11,16,0,0,0,7,10,83.82510830733351
8,29,9,16,1,1,0,12,7,67.54027728038778
3,29,11,15,0,1,1,9,10,79.83797228230014
13,27,0,15,1,0,1,6,4,60.135055996059066
6,32,7,13,0,1,1,7,8,73.30335518637952
10,29,9,12,1,0,1,8,14,99.35920390523653
6,32,10,15,0,1,1,8,7,69.11444600089834
10,25,12,15,1,0,1,5,8,73.57557868092658
4,31,10,13,1,1,1,8,10,81.49046458837287
8,27,12,10,1,0,1,11,15,98.52377910644005
10,31,9,14,1,1,0,8,8,73.22706378584672
8,32,7,8,0,1,1,9,17,106.31311617501784
8,29,5,12,1,0,1,8,7,70.08836819793194
13,26,6,14,0,1,1,8,7,69.65334720272088
11,29,13,10,1,0,0,8,13,90.91644521448008
11,26,10,10,1,0,1,11,13,92.3399337275174
4,32,5,14,0,1,0,8,9,74.06331383764211
9,29,8,13,0,1,1,8,8,73.53201547496225
13,29,8,15,1,1,1,7,5,62.90662501311847
11,26,7,13,1,1,0,8,8,73.0427982893303
5,31,4,14,0,0,1,7,6,68.10948082172646
11,26,6,14,0,0,1,10,9,76.07640226458221
10,29,7,12,0,0,1,7,9,78.0545156566003
9,30,11,11,1,1,1,7,11,85.77796790589288
7,28,7,12,0,1,0,6,11,83.05516011202928
8,27,9,13,0,1,1,10,14,95.02905325232516
9,28,2,9,1,1,0,8,13,93.82255970518108
8,26,4,16,1,0,1,9,9,76.9638024191352
8,30,13,11,1,0,1,7,11,86.13356080830621
13,30,3,16,0,1,0,11,5,64.10092130112933
14,29,10,13,0,1,1,9,9,75.25105795811146
8,27,7,10,0,1,1,9,13,89.4584853654438
8,29,10,11,0,1,0,8,13,88.00014466178594
14,30,4,12,0,1,0,9,11,84.61280954350157
10,33,10,18,0,1,1,8,3,56.13980969414362
14,26,4,16,1,0,0,5,3,57.22511726919912
9,29,8,13,0,1,1,10,13,92.12591041733472
10,32,2,15,0,0,0,8,8,78.48653047123554
10,32,11,17,0,1,1,8,6,69.15451670899232
7,28,0,14,0,0,1,9,7,70.53128140501734
10,31,10,15,1,0,1,8,6,67.25122162858194
14,32,10,13,0,1,0,8,9,77.4602881881218
14,31,9,10,1,0,1,3,8,78.21391106685849
13,30,9,12,1,1,0,10,12,87.38223691645146
10,34,5,12,1,0,1,6,7,73.11088510268313
13,26,7,13,0,0,1,8,9,78.24463030494064
15,29,7,15,1,0,0,10,5,65.80356475455679
10,30,3,18,1,1,1,10,3,56.36661350876168
9,29,4,13,1,1,1,8,7,67.31763383025924
10,27,5,12,1,1,1,9,12,90.77315130836706
8,26,8,10,0,1,1,12,16,100.29664690557296
12,28,8,18,0,0,0,9,4,59.27686111976275
10,32,6,10,1,0,1,8,9,77.62894475633611
12,30,12,11,0,1,0,7,12,87.4238563783157
8,30,7,12,1,0,1,7,9,78.46652424040407
13,30,6,16,1,1,1,11,5,63.704862566818655
3,32,9,11,1,0,0,6,11,85.73298918848596
14,32,12,15,1,0,0,6,8,74.85708986109536
12,27,9,11,0,0,1,10,14,95.33606128856285
8,31,8,14,1,1,1,7,7,71.15825757566765
4,30,5,13,1,1,0,7,9,77.68864608521096
6,26,4,12,0,0,1,6,12,86.52263684280754
8,23,4,14,1,1,1,4,7,70.60272854283134
6,25,5,13,0,0,1,8,11,86.90128898954866
8,28,10,10,1,0,1,8,12,90.3049760249664
10,30,5,10,1,1,1,10,13,92.13934632962092
12,29,4,12,1,1,0,5,6,68.16431103574412
8,32,9,13,0,0,1,9,12,87.69162191365186
6,30,10,11,0,0,0,9,14,94.04905319878168
6,31,9,11,0,1,1,6,14,93.31652477512031
6,29,5,17,1,1,1,8,7,71.83546684064702
9,26,11,14,1,0,1,8,8,75.21252333280549
12,28,9,18,1,0,0,11,7,71.10381021509544
8,24,6,8,0,0,0,8,21,121.11089714964872
5,29,2,17,0,1,1,10,7,71.13259223571887
9,32,7,12,0,0,1,9,9,78.86111179641833
10,33,7,19,0,1,1,10,2,51.29549421654684
11,28,9,15,0,1,0,6,7,66.5165842986017
8,29,8,12,0,1,1,5,8,71.40465141172803
5,25,11,12,0,1,0,7,13,92.23892650086653
12,30,2,12,0,1,1,7,12,90.44896440444042
13,26,12,13,1,1,0,6,11,82.41216022584229
16,27,6,13,1,0,1,10,9,79.81001040977753
5,32,8,13,0,0,1,9,14,97.01264732050046
6,25,5,17,1,1,1,7,3,53.82703078276784
7,31,10,10,1,1,0,11,16,101.2522604077789
12,35,3,16,0,0,0,8,6,71.08606647716209
9,32,7,11,0,0,0,8,14,95.51417054922231
12,24,14,15,0,0,0,8,8,71.0173962680223
7,29,6,13,0,1,0,12,12,84.3574687330329
6,30,4,18,0,1,0,11,4,56.72777481340528
6,32,13,14,1,1,1,8,7,69.89582930583566
9,29,9,15,0,0,1,7,8,73.4704864170188
2,27,11,14,1,1,1,6,8,72.29404009473511
10,29,3,10,1,0,0,5,12,89.70029086137707
13,31,7,15,1,1,1,10,3,56.66013144106589
18,29,2,12,0,0,1,10,7,72.20780720137432
4,29,8,11,1,0,1,9,11,83.52536022380706
7,32,9,12,0,1,0,5,9,76.71901107602041
9,34,2,14,0,0,1,5,4,62.1180640205836
11,30,13,10,1,1,1,10,15,97.89014726951798
13,27,8,16,0,1,1,11,8,72.54947964680427
8,25,8,14,1,0,0,7,9,75.74564178381048
10,26,10,13,1,1,0,12,12,85.09953909248372
9,33,6,12,1,0,1,13,9,76.51487670767573
9,34,8,12,1,0,0,10,11,82.59028557521005
8,29,5,15,1,0,1,9,6,66.3477809530908
9,26,4,12,1,0,1,8,11,80.07244889533119
10,29,13,13,1,0,0,12,11,84.25532594196747
13,32,6,8,0,1,1,9,14,94.77693853122844
9,33,6,17,1,0,1,10,2,53.713097822565096
7,29,18,14,0,1,0,8,12,86.78226606714283
11,33,4,9,1,0,1,6,9,78.69871433511669
9,30,7,14,0,1,1,6,8,73.50097842568843
11,30,4,14,1,0,0,9,7,71.38951215095126
11,30,10,12,0,1,0,9,13,92.81277144409712
8,26,13,15,1,1,0,8,5,58.52486262780156
10,27,8,11,0,1,1,6,12,87.3788510263599
12,29,5,10,0,1,1,9,13,93.88153229689868
10,30,9,10,1,1,1,7,13,94.8782108499209
19,29,9,15,1,0,0,11,8,74.43460727911449
7,31,9,16,1,1,0,8,4,57.857766008791415
10,29,7,11,0,0,1,5,14,101.1219081121742
11,31,10,17,1,1,0,9,7,71.56901713636641
12,36,9,14,0,1,1,9,7,70.3010417006895
6,29,8,16,1,0,0,8,5,61.824213119679165
6,32,6,16,1,0,1,9,6,64.99573652862995
7,33,7,17,0,0,0,13,7,70.40468062816755
4,31,5,19,0,0,1,11,5,63.51996545388994
11,29,12,11,0,1,1,7,13,92.12408632561576
10,30,8,13,0,1,1,9,8,70.65926844426271
11,31,2,13,1,0,0,11,9,79.00617343830334
9,30,6,13,0,1,1,12,9,76.29929832611411
10,31,4,14,1,1,1,7,4,60.4348852529406
11,31,7,11,1,0,0,10,12,87.5732770677503
13,32,11,15,0,1,1,11,6,65.17779136013425
11,28,6,15,1,0,1,7,4,59.404072922020966
6,29,14,14,1,1,0,8,12,86.46561124777344
12,26,9,11,1,1,1,8,13,89.36842774674925
12,31,4,10,1,1,0,7,11,85.63956936169356
11,30,10,10,0,0,0,5,13,93.88162906275946
13,31,3,14,1,1,1,13,9,74.90106018933855
11,30,8,11,0,0,0,10,16,103.68206937037044
12,33,13,9,1,0,1,3,12,91.33600295057389
8,28,6,15,0,1,0,10,9,75.92782754557932
11,31,5,16,0,1,0,11,6,66.3247654894617
12,34,5,12,1,0,1,11,8,75.22823036648916
8,33,1,17,1,1,1,5,0,46.76704117764021
7,28,9,15,1,1,0,11,10,80.15093927850437
9,26,3,16,1,1,1,10,7,69.02894304370814
13,28,9,17,0,1,1,10,6,65.48600627121414
7,28,5,15,1,1,1,7,6,64.43633499844408
14,29,7,15,0,1,1,13,10,81.63135828347971
13,30,1,13,1,1,1,8,5,63.7049417981031
7,28,5,11,0,0,1,8,13,93.21588277486214
4,31,7,16,0,0,0,6,7,67.14465563819748
12,29,3,11,0,1,1,9,11,86.32542311699625
9,31,5,21,0,1,0,12,2,52.36870090697123
11,32,12,11,1,1,0,10,13,91.45025624221908
7,33,11,10,1,1,1,9,14,95.5203187287164
6,31,11,16,0,1,1,12,9,72.72243213044933
11,30,6,18,1,0,1,7,2,54.96399232177949
10,27,13,15,0,1,1,7,10,79.00348348358017
12,30,6,11,1,1,1,8,13,93.0505622586731
7,29,8,14,0,1,1,11,9,75.30057244738774
8,29,7,10,1,1,1,8,11,82.56713132833987
9,29,4,12,1,1,1,9,9,76.92822894057271
10,30,8,14,1,0,0,7,5,63.8376944695327
9,30,10,10,0,1,0,7,15,98.70733440034694
7,29,3,15,1,1,1,6,6,67.82428239845322
10,34,5,14,0,0,1,9,7,71.29874436604406
11,28,6,10,0,1,0,7,13,91.45429647939572
11,30,6,14,1,0,1,8,9,81.02174950529617
11,32,9,17,1,0,1,8,2,54.15448881297624
10,31,2,14,1,1,0,10,5,63.28826128680519
5,33,4,18,1,0,0,4,0,46.29356192462836
9,26,2,15,0,0,0,9,8,75.21314297855487
9,31,14,14,1,1,1,10,7,68.09431453878247
10,28,5,15,1,1,0,7,8,74.44902033318735
9,29,5,9,1,1,1,13,15,97.10059557460036
6,32,3,19,1,1,0,11,1,46.36629094842326
9,28,4,13,0,0,0,6,11,85.00909150554617
6,29,5,16,1,1,0,8,7,69.58024717887733
13,30,10,16,1,1,0,10,6,64.79634298906437
6,30,8,19,0,1,0,9,5,59.44418559780202
6,30,10,13,0,0,0,8,12,88.45606693503959
8,30,7,14,1,1,0,4,6,67.80050636685286
13,29,9,6,1,1,1,10,19,114.10150936975752
8,30,6,14,0,1,0,10,10,80.62177747665548
12,33,11,14,1,0,1,11,10,81.7983834711084
7,30,2,10,0,1,1,12,14,95.19678149919612
8,27,9,13,0,1,1,7,9,77.34193016513909
11,33,7,16,0,1,0,11,5,60.05869689779566
8,29,8,14,0,0,1,7,7,76.59831689294744
13,31,10,8,1,0,0,7,13,91.2921898815435
7,31,11,11,0,0,1,8,14,94.67608847129743
10,27,9,16,1,1,1,9,7,70.73920327379328
8,26,9,16,0,0,1,6,7,70.4630341341778
9,27,6,16,1,1,1,10,6,66.71876634263809
7,29,12,9,1,0,1,10,18,109.44025820946727
8,31,10,12,1,0,1,5,10,81.81949783463838
5,23,12,12,0,1,0,11,17,101.3580045596585
3,28,7,14,1,0,0,8,10,79.30367807973421
18,30,8,12,1,0,1,6,6,70.38791773048561
10,29,12,16,1,0,1,7,5,65.48230558660448
6,30,3,11,1,0,0,9,12,89.450169871519
12,30,7,11,1,1,1,8,9,78.43976898024611
5,34,4,16,1,1,1,12,6,65.6628121440618
6,30,6,11,0,0,0,8,12,89.85863206582972
14,33,6,12,1,0,0,8,9,79.13889007303045
12,33,3,15,1,0,1,9,4,62.16246168195782
9,27,5,12,1,1,0,9,10,79.5666495175545
7,29,8,21,1,1,1,7,-3,30.233138135500937
8,30,9,13,0,1,0,8,7,66.92498179918849
14,30,6,14,0,1,0,5,6,66.32071004948818
7,28,13,13,1,1,0,5,10,78.45379386380259
11,31,6,9,1,0,0,8,12,91.39978461019702
13,26,7,11,0,0,1,8,13,94.70353293950672
14,29,6,13,0,0,1,5,6,67.4309752050164
7,32,10,14,1,1,1,6,6,63.68748514268394
7,30,4,15,0,0,0,10,8,73.71955093389103
12,31,9,12,0,0,1,6,8,75.30468883904842
10,26,7,17,0,0,1,5,3,57.445387759348925
15,34,10,18,1,1,1,11,0,44.622989645559706
12,25,6,13,0,1,1,10,9,72.21340974447395
6,31,7,16,0,1,1,7,5,63.56836735448768
7,27,11,12,0,1,1,10,16,103.6363238583872
6,31,13,12,1,0,0,11,14,92.39819787552838
7,32,6,14,0,0,0,9,10,79.24400889370048
13,32,11,15,0,0,1,10,10,84.7031684675933
6,27,6,16,1,1,0,9,5,58.848164874873
5,31,12,10,0,1,0,10,17,103.31130891793003
9,30,6,13,0,0,1,8,12,90.5980989239128
11,32,6,12,0,1,1,6,10,83.00123668952277
7,28,7,13,1,1,0,8,9,76.44093157984975
8,30,3,10,1,1,0,8,12,88.33666750282946
6,25,6,11,1,1,1,9,12,84.06151217218704
10,31,6,10,1,1,0,8,13,91.32300708236616
6,30,9,14,1,0,0,12,10,79.04320994373839
7,34,12,16,1,0,0,5,3,55.41311051163063
9,30,9,15,0,0,1,7,9,79.72022115117068
13,30,1,13,0,1,1,8,8,75.95129812239695
6,32,7,12,1,0,0,10,11,83.54481888100887
8,30,10,20,1,1,0,6,1,47.802804262829966
9,29,11,10,0,0,1,8,12,89.14769053788338
6,26,13,16,0,0,1,10,9,75.83627961872448
11,30,4,16,0,1,0,9,8,73.83771272716807
8,28,10,7,0,0,0,13,21,119.16374819258206
9,27,8,15,0,0,1,11,9,78.60500993630454
8,31,12,13,0,0,1,8,13,95.25231120448753
9,28,3,14,1,1,0,6,7,70.29743685845796
6,28,4,11,0,0,1,12,13,92.51319096122025
10,31,11,15,1,0,0,9,6,67.00378968504323
7,29,7,17,1,0,0,6,2,53.28610364016984
11,30,12,10,1,1,1,10,15,100.31762854632632
0,31,6,16,0,1,0,9,7,65.59015816510299
8,29,4,13,0,0,0,8,9,74.85450875006775
7,28,5,13,1,0,0,12,13,92.73044279880118
12,30,3,16,1,1,1,6,5,66.84698637970028
12,28,8,17,1,1,0,6,5,64.3808673210731
8,29,1,17,0,0,0,10,6,69.41277946534855
8,30,9,13,1,1,1,9,10,80.36212293701534
14,29,12,14,0,1,0,14,12,86.65297017042897
8,29,4,12,0,0,0,10,12,86.42256757919812
7,34,8,15,1,1,0,9,5,61.47561122281499
6,32,10,16,1,1,0,9,6,66.29177707152965
12,30,12,10,0,1,0,6,14,97.13902518806236
6,33,7,14,1,1,1,4,8,76.46580658418439
9,26,4,12,1,0,1,8,9,77.9928766966707
12,32,10,13,1,0,1,5,6,67.21665325469225
10,30,11,18,0,1,1,12,7,70.87936637206522
9,30,5,15,0,1,1,11,7,70.2703514121267
11,26,7,12,0,0,1,8,10,81.45085403373874
12,31,6,18,0,1,1,9,1,49.66260098327734
13,28,8,14,1,0,1,7,6,67.2776791177713
12,32,2,14,0,0,1,9,6,65.54904292272374
13,32,10,12,0,1,1,5,10,84.70086418337371
10,30,5,14,1,1,0,9,5,61.65235130679609
11,30,10,11,1,0,1,6,8,76.47679927283141
9,31,9,10,1,1,0,6,12,90.0503643575717
12,29,7,13,0,0,0,8,11,86.85188783313102
5,31,6,9,0,1,0,10,19,111.061080398755
12,32,12,12,1,0,1,9,10,83.99041198492718
14,29,9,11,1,1,0,6,10,84.60334598715173
