defendant_age,trial_length,legal_representation,prior_convictions,violent_crime,alternative_sentencing,recidivism_rate
36,20,0,0,1,1,53.04366243015104
26,19,1,1,0,0,46.61908484034527
20,18,1,1,0,0,48.63994733806831
30,22,0,1,0,1,53.63346531843746
45,6,1,0,1,0,32.009366920378085
37,28,0,0,0,1,55.12295284131845
20,13,0,1,1,0,46.13298860096548
21,26,1,1,1,0,50.50032218344114
35,23,0,1,1,0,45.05617254490621
23,18,0,1,1,1,55.745948364134335
37,19,0,0,1,1,51.56466500010183
31,21,1,0,1,1,54.75947891787055
43,12,0,1,1,1,45.35532189204207
18,21,1,0,1,1,58.53146967862302
24,16,1,0,1,1,53.01578793168965
29,17,0,0,0,1,53.43793714185634
17,14,1,1,0,0,46.62376541690948
18,19,0,1,1,0,49.81272941574588
16,23,0,1,1,1,60.97136635477568
32,29,0,0,1,1,58.53721174263893
31,22,1,1,1,0,46.55835278440613
21,25,1,0,1,1,59.04916486452627
28,20,1,0,1,0,46.43064556512019
33,16,1,0,1,1,53.220248407100605
36,21,0,1,1,0,44.15372256731765
15,25,0,1,0,1,61.940443763959244
31,17,0,1,1,1,52.9023476012582
31,15,0,0,1,0,44.82286069043359
22,21,0,1,1,0,48.5965708658471
22,27,1,0,0,1,61.02007721780352
33,26,0,1,0,0,48.14574880400392
35,25,0,1,1,1,53.04267688324639
30,21,1,1,1,0,46.754250564954205
43,22,0,1,0,1,51.20739830153733
22,14,1,1,0,0,46.1915142082245
37,19,0,0,0,1,51.96185628155326
33,16,0,1,0,1,51.79606588983192
34,15,1,0,1,1,50.0207901542242
22,28,1,1,0,1,59.12778262409645
27,15,1,1,1,0,43.32838139147703
30,16,1,1,1,0,42.32587998500173
38,17,1,1,1,0,40.625713465380976
38,17,0,0,1,1,48.66205529108845
23,20,0,1,0,1,54.10371904183835
18,8,0,0,0,0,44.09783428581171
57,22,1,1,1,0,34.82148304635215
20,15,1,0,1,1,55.64641014665962
21,10,0,0,1,1,53.96232431477036
9,17,1,1,1,0,51.35078486784396
34,16,1,0,1,0,41.438459299764936
27,7,1,0,0,0,41.78768296502496
24,21,0,0,0,1,56.25017223677912
24,17,1,0,0,1,54.10671956155772
21,11,0,0,0,1,51.23050878581474
25,17,1,1,1,0,47.21990332165675
27,14,0,1,1,1,52.63066745969271
17,23,0,1,1,0,49.21618302337719
34,19,1,0,1,0,43.34793336682747
30,20,1,1,0,0,46.497948442638
27,16,1,1,1,0,43.51769150450461
19,8,1,0,1,0,43.68336202862051
29,22,1,1,1,0,47.64960426372744
25,31,0,1,0,1,60.26261394386268
29,36,1,1,0,1,63.81468876216199
27,17,0,0,0,1,53.48439823279826
36,17,1,1,1,1,48.78482491086454
37,7,0,1,1,0,36.65979614888629
31,17,1,1,1,1,54.20097155554205
32,19,0,0,1,1,54.47794869034357
37,19,1,0,1,0,42.86137829537633
35,26,0,1,1,1,56.42540223499228
12,20,0,0,1,0,50.92201943394824
41,33,1,1,1,1,54.86143480294836
22,19,1,1,0,1,54.58556379252927
34,18,1,0,0,1,52.26658440234396
35,22,1,1,1,0,43.86194554247133
21,22,0,0,1,0,50.07720814965644
24,13,0,0,0,1,50.34381915355282
30,22,1,0,0,1,56.98475524925339
17,8,0,0,0,1,53.2708589228924
34,14,1,1,0,1,49.12574940545667
38,21,1,0,1,0,43.48960996284824
27,17,0,1,0,0,44.36380452039714
31,34,1,1,0,1,60.501656206387615
33,23,0,0,0,1,54.91569208965374
28,11,1,0,1,0,42.16947710558103
18,24,1,1,1,0,51.46444297927005
22,31,0,0,0,1,63.3161287301558
21,24,0,0,1,0,50.52586006032501
23,11,1,1,0,0,43.33798640713536
31,13,0,1,0,1,49.616744019978746
32,24,1,0,0,0,46.23874138481268
39,33,0,0,1,1,56.31947878861316
23,21,1,0,0,0,48.3600212838211
25,21,1,1,1,0,48.00064458388995
45,12,1,0,1,1,43.60588528926563
30,17,1,1,1,0,44.81208013109851
23,23,1,1,0,0,48.75319590075114
38,18,1,0,1,1,51.39521759028845
32,16,1,0,1,1,48.95293165016075
24,9,1,1,1,0,41.39610986227679
35,22,0,1,0,0,44.10009124214462
34,12,1,1,1,0,39.11263456200341
20,19,1,1,0,0,47.4066430791552
5,22,0,0,1,1,64.14592268908599
33,22,0,0,0,1,54.22254461679659
22,17,0,1,0,0,46.752857881281045
28,13,1,1,0,0,42.1250366503926
27,24,1,0,1,0,48.00317101850451
33,35,1,1,1,0,51.5640234279859
30,8,1,1,1,0,39.40115818296793
29,18,1,0,0,0,45.35542523011798
24,7,0,1,1,0,40.29170480876518
32,20,0,1,0,1,53.43391849936736
46,20,1,1,0,0,39.19940333381291
35,9,0,1,1,0,37.94436457299266
51,18,0,0,1,1,45.21757726792217
30,20,1,0,0,0,46.065678196350206
31,17,0,1,1,0,42.98394537788986
41,23,0,1,1,1,51.2626782485244
29,23,0,0,1,1,56.03898230311884
22,16,1,1,1,0,45.14473148134239
32,21,1,0,1,1,53.041183260309445
37,19,0,1,1,1,50.740480099815215
27,29,1,0,1,1,59.87469230635064
27,18,1,1,1,0,43.91702750932045
26,22,0,1,1,0,46.346643711905216
36,35,0,0,0,1,57.971214387141465
31,24,1,0,1,0,47.55221865562343
33,16,0,0,1,0,43.873931582892816
53,14,0,1,0,1,43.18472837103469
24,15,0,1,1,0,46.46754610779363
24,15,1,1,0,0,46.280711940241474
29,7,1,0,0,0,38.75990046931177
44,25,1,1,1,1,51.19428426448994
40,6,0,1,1,1,43.49937737711611
32,24,0,1,1,1,55.73032416882797
35,19,0,0,1,0,44.361644297016696
25,17,0,1,0,1,54.22070783117854
32,22,0,1,0,1,55.23512609112459
33,16,0,0,1,1,50.632232443364416
40,17,0,0,0,1,50.448670884483775
28,24,1,1,1,1,56.78198713622633
43,18,0,1,0,1,48.589149825974026
16,8,1,0,0,0,45.827920486313225
43,18,0,1,0,1,47.15741536903053
29,18,0,1,1,0,43.61296545361656
36,10,1,0,1,1,46.016546950727104
43,24,0,1,1,1,52.92641046744125
6,27,0,1,0,1,66.64960942060961
29,17,0,1,0,0,44.48478605805625
38,16,0,1,1,1,48.98958284254199
55,12,0,0,1,1,41.69565537555116
28,19,1,0,0,1,55.32938931364216
32,12,1,1,1,0,41.3684003970663
34,24,1,0,0,1,54.457438084962135
40,26,0,1,1,1,53.82928954211213
29,15,0,1,1,1,50.82941586657575
21,22,1,1,1,0,48.68594470206808
42,14,1,1,0,0,38.60980227822646
28,15,1,1,0,0,42.072386849854176
26,18,1,1,1,1,53.420439526954766
34,18,0,0,0,1,52.27587716764683
33,9,0,0,1,0,38.74940893651472
46,17,1,1,1,0,37.20133997992768
30,19,0,1,0,0,44.840674805078464
22,25,1,1,0,0,52.29843043332185
39,13,1,0,1,1,47.4331942789352
21,13,0,0,1,0,45.26346209320813
20,28,0,0,0,1,61.82473797089771
41,23,1,0,1,0,43.3265942582056
23,18,0,1,0,0,48.47648962980571
26,9,1,0,0,0,41.27439510597191
31,15,0,0,1,1,50.36453482667881
43,21,0,0,0,1,48.42838393656445
34,30,0,1,0,1,57.401178392598055
24,14,0,1,0,1,51.2098659871455
35,23,0,1,1,0,43.94537187384103
45,15,0,0,1,1,46.27594938557562
47,23,0,1,0,1,48.37522871407337
37,34,1,1,0,1,57.71846921191752
25,23,1,1,0,1,55.0977892991321
28,30,0,0,0,1,60.28149875451103
28,16,0,0,0,1,53.18010875576536
26,33,1,0,1,1,61.740967652023535
38,22,1,1,0,0,43.88503967166472
32,19,0,1,0,0,45.42885648022386
37,31,1,1,1,0,48.58443944452021
19,23,1,1,0,0,50.1405001122503
35,22,1,1,0,0,43.50179777750439
30,22,1,0,1,0,46.15427634611814
23,14,0,1,1,0,45.69054303519572
22,19,1,1,0,0,47.76750300065352
35,20,1,0,1,0,43.02492733321969
23,16,0,1,0,1,53.77459614786648
36,15,0,1,1,0,40.96572118940069
28,17,1,1,1,0,44.450898726525246
37,35,1,1,0,0,51.61170626451101
37,20,1,0,1,1,51.74267594939029
36,19,1,1,1,0,42.31078896041076
21,18,0,1,0,1,56.48899736326722
41,11,1,1,0,0,37.88282331094872
30,10,1,1,1,0,40.17613361570491
35,30,1,1,0,0,46.275759958642176
31,8,1,0,1,0,39.6009738627061
37,27,1,1,1,0,48.24205677190736
20,27,1,0,1,0,52.59837252686872
28,17,1,1,0,0,42.41503332759535
36,28,0,0,0,1,55.79646787696359
30,21,1,1,0,0,45.972519022016336
21,28,1,1,0,1,62.53495823735311
27,12,1,1,1,0,42.14212483264648
19,26,1,0,1,0,54.23687473616741
37,19,1,1,1,0,43.42777483137836
35,11,0,0,1,1,48.494556686603765
27,14,0,0,1,0,41.59809013545654
32,29,1,1,0,0,49.09558835052387
35,17,1,0,0,0,43.25987912917773
42,14,1,0,1,1,47.07491791727325
35,9,1,0,1,0,38.330647725573925
38,18,1,1,0,0,41.86017326651758
35,22,1,0,1,0,44.908273190643904
28,16,1,1,1,0,44.12790204284381
31,15,1,1,0,1,51.47995425684925
37,33,0,0,1,1,57.256197470306645
32,17,1,1,0,0,42.41574085382681
21,33,1,1,1,1,64.03496625737569
25,15,1,0,0,0,45.12969659079193
34,18,0,1,1,0,44.370969051390816
30,11,0,0,1,1,49.00490340629029
25,14,1,0,0,0,44.4447384880322
42,22,0,1,0,1,51.07193636567981
39,14,1,1,1,0,38.539908006187886
17,10,0,1,0,0,45.00666622364901
33,19,1,1,0,0,40.7714459625042
31,13,1,0,1,0,40.39536816784312
26,21,1,0,0,0,47.54511588085116
16,26,1,0,1,0,53.50213854666923
32,20,0,0,0,1,51.38993866759965
38,28,1,0,0,0,47.04782922376979
28,29,1,1,1,0,50.50657212628708
43,22,1,0,0,1,50.98808909341239
39,20,1,1,0,1,49.66847054083884
31,20,1,0,0,0,45.44228875174531
21,15,1,0,1,0,47.86857830202017
33,17,0,1,0,1,51.1836564427434
42,17,0,1,1,1,47.01026829065614
40,20,0,0,0,1,50.07350280481181
42,22,1,0,0,0,41.43724515101413
26,19,0,0,0,1,56.26984126684663
34,14,0,0,0,1,49.19835301342479
35,23,0,1,1,0,43.01985230093522
39,22,1,0,0,1,51.83058247040871
38,18,1,1,1,0,41.80150136392516
13,27,0,0,1,0,55.28645478052034
41,13,1,1,1,0,39.029001714180055
34,32,0,1,0,1,55.08957057066487
30,11,0,0,1,1,50.48523679133034
33,32,0,0,0,1,56.985784064782926
16,23,1,1,1,0,51.617968464356665
33,17,1,0,0,0,44.81312706060586
31,10,0,0,1,0,40.10573420887965
39,9,1,1,1,0,36.77201578729133
23,27,1,0,0,1,62.925596821659255
31,20,1,1,1,0,45.66696521898759
42,11,0,0,1,1,45.81123167319108
23,14,0,0,1,0,44.07942437341046
39,24,1,1,1,0,44.95981389887979
31,16,0,1,1,1,51.56244195462082
36,22,0,0,1,1,52.57188352198492
40,18,0,1,1,0,41.07649557103288
29,13,0,1,1,1,51.32091939079167
46,17,0,1,1,0,37.67343573325782
51,29,0,0,0,1,51.64309672001825
30,20,1,1,1,1,54.22953660018576
29,28,1,1,0,0,49.41942807207431
25,23,1,1,0,0,49.21257590899915
26,13,1,1,1,0,44.10468605934969
25,25,0,1,0,1,59.15146796252675
31,17,0,0,0,1,51.789160985805125
31,30,0,0,1,1,58.70319784735136
19,12,0,1,0,1,53.10304629077275
35,14,0,0,0,1,49.99947135536857
42,18,0,0,0,1,48.86455507949337
29,20,0,1,0,0,46.374903722813706
27,24,1,0,1,0,49.511184893596
9,29,0,1,1,1,66.43623099508534
22,30,1,0,1,0,51.712786815138976
27,17,0,0,0,1,54.597868017927766
29,11,0,1,0,0,43.3048352837536
23,19,0,0,1,1,57.78038511012908
32,18,1,1,1,1,52.980195355254295
27,25,1,0,1,1,57.647545884201016
38,15,1,0,1,0,39.31471246844671
21,24,1,0,1,0,49.99617880595277
26,18,0,1,1,0,46.33410023657666
24,14,1,0,0,1,53.23335888326387
30,17,0,0,1,1,52.90218133668694
26,25,0,1,1,1,56.365249360075886
31,26,0,0,0,1,56.53465734646586
22,22,0,1,0,0,50.738937431110735
30,18,1,0,0,0,45.70196362350366
15,18,1,1,1,0,50.06177720833391
30,20,0,1,1,0,45.16245582715746
23,12,1,0,1,0,42.36274473823164
34,27,1,1,1,1,55.46442038343497
24,20,1,1,1,0,45.80396355922752
26,21,0,1,0,1,55.07497910380202
35,16,0,0,0,1,49.82925295462013
26,15,1,1,0,1,51.97464083414709
12,34,1,0,0,1,67.61268196648153
27,17,0,1,0,1,51.790284902506535
35,20,0,1,1,1,51.71131218050676
21,20,1,1,1,0,48.81968071510248
39,8,0,1,1,0,37.02884994332426
25,21,0,1,0,0,48.03750777962805
43,15,0,0,1,1,45.45314011228357
38,29,1,0,1,0,46.17552725250745
34,13,1,0,0,1,50.31529432272857
23,11,0,1,1,1,51.79488042237538
23,11,0,1,1,0,44.22061811652921
39,26,0,1,1,1,52.53920398107767
17,2,1,0,0,0,43.157043829163584
45,26,0,1,0,0,43.45344902050019
36,29,0,0,1,1,55.12369448403674
37,20,0,1,1,1,52.083623754996815
21,1,1,0,0,0,39.24704175794143
25,16,0,1,1,1,53.153268686475336
24,17,0,1,1,0,44.55196162815485
44,17,1,1,1,0,40.53118390864982
18,22,0,1,1,0,50.61820615298556
31,27,0,1,0,1,57.87189436346903
32,17,1,1,0,0,43.40647075480449
56,21,1,0,0,0,35.852953678576455
41,22,0,0,0,1,50.20691057234928
22,28,1,0,1,1,59.18400066793996
37,19,0,1,1,0,41.217221648751504
21,15,1,1,1,0,45.86557548219237
30,20,0,1,1,0,44.39423819812507
29,32,1,1,1,1,60.54205128901545
35,21,1,1,1,0,42.83477602703367
56,26,0,0,0,1,47.602574794071
35,29,1,0,0,0,49.20968523193679
39,13,1,1,0,0,38.52110637804638
28,24,0,1,0,1,55.44994287720556
27,27,1,1,1,0,49.22155708251432
9,19,0,1,1,0,51.10588943372674
19,23,1,0,1,0,51.64193657943137
32,22,1,0,1,1,54.92808650522668
53,23,1,0,1,0,40.415427733614415
16,15,1,1,1,0,48.37488344928949
39,27,1,0,1,1,53.87425146688367
15,16,1,0,1,1,59.42091112223165
31,21,1,0,1,1,53.71243877390516
35,5,1,1,1,0,35.87911097546494
24,27,0,1,0,1,59.64788362050407
31,14,0,0,1,1,51.75116967936325
39,33,1,0,1,1,58.1228739424469
35,26,1,0,0,1,54.14301734708475
36,15,0,1,1,0,38.22450798748829
34,10,1,0,1,0,38.01807615514479
34,22,1,0,1,1,55.18162539351188
22,15,1,0,1,0,45.678199045516806
43,18,1,1,0,0,40.06272981919894
43,23,0,0,1,1,50.24501759131699
26,20,0,0,1,0,47.94004566878808
44,24,1,1,1,0,42.75646274339503
24,23,0,1,1,0,48.469020364147326
34,24,0,1,1,1,53.882150478246665
29,20,1,0,1,1,52.038238300379376
39,31,1,1,1,1,55.18672360450652
20,16,0,0,0,1,55.13231254114744
30,24,0,1,0,0,47.415288302949904
28,24,1,1,1,0,49.00979150233003
46,14,0,0,1,1,45.25259671972091
34,21,1,0,1,0,45.11094887876799
45,23,0,0,1,1,49.73111011285583
26,22,0,1,0,1,57.61264683308798
31,20,1,0,1,0,44.40111432172326
37,23,1,1,1,0,43.68332003768059
29,29,0,1,1,0,49.12524396374423
30,14,0,0,0,0,42.05133227827002
38,24,1,0,0,0,46.39672648201901
26,20,1,0,1,0,46.41664053892094
37,12,0,1,1,0,37.49262266969347
36,14,1,1,0,0,38.25109951393998
30,26,0,0,0,1,57.33985499987324
19,17,0,0,1,1,56.29443864853463
25,21,1,0,0,0,46.772905329433655
39,15,0,1,0,0,39.612059287701584
33,8,0,1,1,0,40.63436283968044
42,12,0,1,0,1,44.32323140927052
25,23,1,0,1,1,56.829459735019896
46,28,1,0,0,1,53.07765650537032
29,17,1,1,1,0,44.869928372505065
30,8,0,1,1,1,45.12288442136193
31,13,1,0,1,0,44.59578145005877
23,26,0,1,0,1,59.210113299982574
37,12,1,0,1,0,39.34550860596639
39,14,1,1,1,0,40.15101504900176
45,26,1,1,0,1,51.24164095270253
29,17,1,1,0,0,44.28569284176229
36,27,0,1,1,0,45.198809907476566
28,14,1,1,0,0,43.04685004743624
36,18,0,1,1,0,42.31663219897344
27,16,0,1,0,0,43.0991894308153
21,24,0,1,1,0,48.20892843752637
25,13,0,0,0,1,53.48410986329676
24,13,1,0,0,1,53.52241280129557
19,9,1,0,1,0,44.83059604463849
36,14,1,0,0,1,49.168090647514056
26,30,0,0,1,1,60.18672729955741
21,29,0,1,1,1,60.60108016350821
30,30,1,1,1,0,49.262025162087866
33,26,0,1,1,0,47.5299454079819
55,12,1,0,0,0,32.25415010081651
44,27,1,0,0,0,44.4529081917207
45,20,0,1,1,0,39.21333118742723
31,18,1,1,0,1,52.894088496460974
33,19,0,0,0,0,44.72053612754736
32,8,1,0,1,0,39.48610122219059
28,19,0,1,1,0,46.44599307470991
41,15,1,1,1,0,37.70303834856621
32,20,0,0,1,1,52.91711492737553
28,25,0,1,1,0,49.15576496834507
25,21,1,1,0,0,47.79843315940017
35,22,1,0,1,0,44.16663110191984
21,17,1,1,1,0,46.20620570821461
46,25,1,0,1,0,43.86343701712919
40,21,0,1,0,0,42.46694759852717
23,7,0,1,0,0,43.30816676045239
25,9,0,0,0,1,50.72247774609046
19,14,1,0,0,0,43.83266573729091
33,22,1,0,1,0,44.16344582371958
34,22,0,1,0,0,44.697341187328064
41,23,1,0,0,1,50.74562001209372
12,29,1,0,0,1,65.66364355464096
32,22,1,1,0,0,47.01441187845761
36,22,0,1,1,1,51.39078807204282
10,30,1,0,0,0,56.26456658860853
20,17,1,0,0,1,57.501674510055786
35,16,1,1,0,0,43.04354062875242
34,9,1,0,1,0,38.496983254032834
31,19,1,0,0,1,52.83818791894331
34,17,0,1,1,1,50.676935531146746
24,28,0,1,0,1,59.79168624693003
34,20,1,1,0,0,44.1156972276241
28,8,0,0,0,1,48.76267521618368
28,20,0,0,1,1,55.14676921823749
32,23,0,0,1,1,55.15116518158951
35,26,0,0,1,1,53.96637663549958
24,18,0,1,0,1,54.97597619480151
18,25,0,0,1,1,60.4229511610358
35,12,1,0,0,0,40.74407249668338
22,19,0,1,1,0,46.785860782465925
28,24,0,1,1,1,55.20000105755182
39,24,1,1,0,0,43.842074272684
46,9,0,1,1,1,41.978699117187695
22,19,1,1,0,1,53.47472046736147
23,14,1,0,0,0,42.765812887376434
23,10,0,0,0,1,52.832073543614165
35,24,1,1,0,0,46.252104625195855
34,21,0,1,1,1,53.43641745729997
26,19,1,0,0,1,54.98266997005798
35,12,1,1,0,0,39.99356081621734
31,19,1,1,1,1,53.032104705805466
32,20,0,1,0,1,51.36563856707569
26,15,1,0,0,1,53.35567339900412
42,24,1,0,0,1,51.39506788054675
28,21,1,1,0,0,47.20374231008978
29,24,1,0,1,1,56.09387381794563
24,29,0,0,0,1,57.5912253507678
21,24,1,1,1,1,57.15214281454862
31,19,1,0,0,1,52.39464241640471
38,27,1,0,1,0,43.97360686314049
38,15,0,0,1,1,48.3093455038928
24,18,0,1,1,0,47.09179348625955
32,16,1,1,0,0,42.68984477463487
27,36,1,1,1,0,53.03714624836979
23,14,0,1,0,1,53.21340562548127
28,35,1,1,1,0,52.593863307668485
25,23,1,0,1,0,48.431152134373214
20,13,1,1,0,0,45.26930289705311
18,21,1,1,1,1,58.98447730210312
38,13,1,1,1,1,46.59208827413976
38,13,0,0,0,1,47.703319291784965
22,29,0,1,0,1,59.8945482953804
33,14,1,1,1,0,39.33456126769038
43,11,0,1,0,1,43.74397965100687
29,25,1,1,0,0,48.22179253215968
42,17,1,0,0,1,47.92654801141298
29,24,1,0,1,1,56.44096856921924
50,16,1,1,1,0,34.95523109449566
31,21,0,1,0,1,53.74455700718149
24,31,1,0,0,1,60.880074754217
27,28,1,1,1,0,51.5047318561785
16,5,0,0,0,0,43.1463428947411
22,21,0,1,0,0,46.66397731261276
30,24,1,1,1,1,54.61219557741225
12,16,1,0,0,0,50.78632071669113
41,17,0,0,1,1,49.197230936789765
37,11,0,1,0,0,38.01873973584775
33,13,1,0,1,0,41.168883594937945
36,19,0,1,0,1,51.58319222573342
30,8,1,1,0,0,36.9888073815471
27,17,1,1,1,0,44.08332472239013
34,15,0,0,1,1,51.51464583918093
22,11,1,1,0,0,42.48907671675173
35,25,1,0,1,1,53.74189456346635
42,8,0,0,0,0,32.681803055547775
36,20,0,0,1,1,51.7028415388633
35,18,1,1,1,0,41.55200920087702
30,29,1,0,1,1,57.39521541057111
37,24,1,1,1,1,51.33964289680421
41,17,1,1,0,1,46.96928145116334
31,20,0,1,0,1,51.540994500485226
35,16,1,0,0,0,41.940330381679686
16,20,0,1,1,0,48.95602558267909
38,17,0,0,1,0,41.43246686733218
42,19,1,0,1,0,41.00723154012717
43,16,1,0,0,0,39.76480589097596
15,14,0,0,1,1,56.62853721247339
14,15,0,0,1,1,56.50501019334572
22,25,0,0,1,1,59.3248263747774
32,19,0,1,0,1,53.7866815709085
36,19,1,0,0,1,51.62542544089989
23,23,1,1,0,0,49.039356203653824
37,15,0,0,0,0,40.854624399531815
29,19,1,1,0,0,45.39355441376373
31,12,0,0,0,0,41.96353442749847
26,21,0,1,0,1,54.843474368186826
30,13,1,1,1,0,42.030130844373936
45,25,1,1,0,0,43.05431922612184
37,8,1,0,1,0,39.73197584847217
39,18,0,0,0,1,49.54531302503664
36,13,1,1,1,0,41.3540284831338
37,27,0,0,0,1,55.67433709262516
27,14,1,1,1,0,42.68270301557905
28,15,1,1,0,0,42.28171844400015
