age_years,income_level,gender,minority_status,credit_score,loan_grant,loan_repayment_rate
7,5,0,1,7.374925787820153,1,17.747461843993044
10,6,0,0,7.98159460049342,1,17.553526622288047
9,6,1,1,6.160521246295704,1,17.204065296901952
14,4,0,1,7.381173712017287,1,17.783489126544815
3,3,0,0,5.000222793243319,0,7.98319233455081
6,7,0,0,8.360846447630376,1,18.43530608153573
4,5,0,1,4.944245622323551,0,8.669719498780895
17,7,1,1,6.951004491080804,1,17.425747530553807
6,3,0,0,2.984695989601642,0,5.556355367542489
3,9,0,0,6.56569262566276,1,17.643275679232527
9,6,1,1,6.723512097816008,1,17.37525679232165
5,5,0,0,8.024001081244155,1,17.306362153768156
8,6,0,0,2.168383270974831,0,5.150538900956109
11,6,0,1,4.5969619604342,0,9.034613532495266
7,4,0,0,8.754258690608163,1,18.38285970425824
6,5,0,0,5.624173365928569,0,10.17942371460398
6,4,0,1,3.3023348232912704,0,6.664915506621011
4,7,0,0,6.027785042940479,1,16.396539054583062
4,4,1,0,4.574360416691812,0,8.265911211522942
8,5,1,0,7.925321709475703,1,18.89057319859762
6,5,1,1,10.003123273840291,1,19.23570831502641
7,3,1,0,5.249715926907732,0,9.58532688627592
13,5,0,1,1.560510693323999,0,4.062308949186638
9,5,0,1,4.6056131513781455,0,8.270400515235476
10,6,1,0,5.360968043839315,0,8.989477134583156
6,5,1,1,5.318684489009351,0,8.741533807148569
5,6,1,1,6.435957693246838,1,17.28438134866271
9,5,0,1,5.072878685622518,0,9.275476739857416
11,6,1,1,5.4744638895271045,0,10.61525304767476
13,5,1,0,4.967457203012981,0,8.871059046228313
1,4,0,1,5.295598885275035,0,8.931138128511614
11,7,1,1,7.898216442889273,1,19.40546902927795
9,5,1,1,6.470489998846976,1,16.446953784964833
8,6,1,1,6.131108336655012,1,17.412552129437405
8,7,1,0,6.567836046855526,1,17.34201674487353
8,5,0,1,9.696164437894662,1,20.31826507056176
9,6,0,1,8.529129346868526,1,19.10088173393754
0,4,0,1,4.111571855947915,0,7.714745148578832
7,6,1,0,2.8808375699814777,0,5.675984938603528
5,4,1,1,9.119602823745764,1,19.140422208694783
10,4,1,0,5.525393802632722,0,9.997451976609886
10,4,1,1,8.488846543245698,1,17.841513534965458
2,6,0,0,3.493838226047689,0,6.689565264800498
6,6,0,0,3.564990836500142,0,7.370803484031445
9,7,0,1,5.004604388313926,0,9.64648260339475
8,7,1,1,9.280589899535943,1,19.59508002355451
10,6,0,0,3.775659412603437,0,7.664999620944391
12,5,0,1,7.737200592450977,1,18.75988089176886
11,5,0,1,3.5683589471707755,0,6.205035727824537
8,8,1,1,5.773817941071543,0,9.363307415992578
5,7,1,0,4.793096287988435,0,8.383572458916005
7,1,0,1,6.600968772491402,1,16.715347639143786
10,8,0,1,5.812669743067006,0,9.932943350058544
11,7,1,0,4.745645242709299,0,8.878627103091137
6,6,0,1,5.007389497745351,0,9.415856459852112
10,4,1,1,7.839323917971687,1,17.815264497665744
10,6,1,0,4.359391157840241,0,7.755855750495842
9,6,1,1,7.487793551785359,1,18.01905529822689
9,5,1,0,5.598216173670422,0,9.329148618819328
7,6,0,1,3.047811869145882,0,5.320352169518047
3,7,1,1,4.969226547490246,0,8.409686778706561
6,5,1,1,4.475948845552969,0,8.48815683411023
10,5,1,1,8.485022239902868,1,19.130573195071754
11,8,1,1,7.514190335498717,1,17.33954629613665
4,3,1,1,1.599544932848028,0,3.4365575499815555
7,7,1,0,9.129855672276095,1,19.41390114386236
7,7,1,1,5.632000304452667,0,9.464654788415425
9,5,0,1,7.312794871180884,1,17.604368397975907
7,6,1,1,4.5946539835933216,0,8.00342272918043
11,3,1,0,6.66456081995026,1,16.749984291978432
9,7,1,0,9.18693148277095,1,20.008944409919444
12,8,1,1,3.7371100956358143,0,6.6473989837215575
6,3,1,1,5.09434783604934,0,8.812680963129301
10,6,1,0,6.759568370433243,1,18.3451380391041
7,6,0,0,4.505522245678247,0,8.695754367165637
10,5,0,0,4.820571211075267,0,8.607080095804907
5,5,1,1,8.349471757985086,1,17.778932023273974
6,5,0,0,5.656981033710262,0,9.183135347804788
6,5,0,1,5.525656557829786,0,10.33982978820079
5,4,1,0,7.736532714723338,1,17.344931818811144
5,8,1,1,7.569954808222192,1,18.618271223904333
11,4,1,0,5.358221106958828,0,9.3744524561348
10,4,1,1,3.3548856393638133,0,6.5132830152538
5,7,1,0,8.611561769380055,1,18.47525092395872
3,3,0,1,5.593282115429174,0,10.42117026559909
7,8,1,1,4.964133969612036,0,8.64876332907778
7,5,0,1,7.998404972266526,1,19.033212902798528
10,6,1,0,7.314059376085305,1,17.876616742837303
10,5,0,0,9.091215014379276,1,19.235344413786517
7,2,0,0,5.8581047090421645,0,9.944485545483568
16,9,1,0,8.11829574675397,1,18.395112681197
7,7,1,1,5.08436093242214,0,7.915543976621008
4,6,1,1,7.974074944254248,1,18.33720990295676
9,7,0,1,6.139986546280967,1,16.91460500929055
8,4,1,0,2.1528744679652267,0,4.927729631466184
3,5,1,1,5.414808247177895,0,8.7429684575515
8,5,1,0,6.999049875239619,1,17.86317600999918
9,2,0,1,7.107413407526278,1,17.634925593937908
8,4,1,1,4.666879149419964,0,7.901754240741133
9,6,0,0,8.121598440410432,1,18.790409278658164
9,5,1,1,3.146983228928598,0,6.075278458384412
7,5,1,1,4.651101048852263,0,8.28295428168876
12,5,1,0,4.016958337623821,0,7.795991175769166
13,6,1,1,4.919336078306782,0,8.529732839884993
6,7,1,1,9.891070281327288,1,18.285789408721847
7,7,0,1,7.966095005937946,1,18.037331387077984
7,6,1,1,7.581200235797077,1,17.907709307749197
6,6,1,0,7.991202012631206,1,18.569498266271967
4,7,1,0,6.185887930016138,1,15.793182329682727
3,7,1,1,4.672748424189956,0,7.711721191258684
3,5,1,0,4.832807219818526,0,7.853326577411702
11,5,1,1,4.0800863544516055,0,7.026933368898365
11,5,1,1,7.396800037014743,1,18.135072978015085
7,5,0,1,4.523642716582334,0,7.529656038161068
5,6,1,0,3.413284234171712,0,6.840605175494053
8,6,1,1,5.48473460205206,0,9.104206417454732
8,4,1,0,8.653564089005666,1,19.33418216902657
8,7,0,1,6.091869837577145,1,16.16431814626871
10,6,1,1,7.509252679751381,1,17.75691156276299
9,3,1,0,7.526560764643403,1,18.157113297601363
8,5,0,0,3.2650196465944608,0,6.462355018339307
9,8,0,1,5.00817747211187,0,8.634834592678354
8,6,0,0,5.980660788656945,0,11.300376476124145
1,3,1,1,7.9385189499104225,1,17.839469403234812
0,5,0,1,3.914051432495752,0,7.614077725425322
4,6,0,0,10.15373632728242,1,19.9358448107422
9,6,0,1,6.774852899986239,1,17.65920342944728
4,5,1,1,4.070478843570167,0,7.731438820932885
8,7,1,1,9.97274896973708,1,19.41356140481288
2,5,1,1,5.6942793320540055,0,9.39823856652468
1,7,0,1,3.6433100718038,0,6.564166777369064
9,7,0,1,7.189916719564922,1,16.485374288769307
6,5,1,0,8.013225784541959,1,18.846345797992612
5,3,1,1,6.2803514799181865,1,16.003640031759225
6,7,0,1,6.523536355695111,1,17.032449250437978
12,7,0,1,8.09376092533895,1,18.253753689611997
15,5,0,1,9.187862990012643,1,19.034778870907463
10,9,0,1,6.2162687253470965,1,17.269783459879523
5,6,1,1,7.577819482076057,1,18.9426942601318
4,2,1,1,3.969687632018872,0,7.995050959675805
8,6,1,1,8.00039472502294,1,18.92383850322718
3,4,1,0,7.582840529225739,1,17.757726535544617
7,4,0,1,8.231121180613739,1,17.961363993972903
9,4,0,1,6.1161253187290585,1,16.597218342097374
7,4,1,1,6.637016052976002,1,17.6282311711088
10,5,0,1,5.9717600781438405,0,10.94425073542039
9,6,0,1,8.160646309345493,1,19.00980312977103
6,4,1,0,3.1166563809237737,0,6.17626639281939
11,7,0,1,3.068838081283465,0,5.714397091631336
11,5,1,0,3.538209188510609,0,6.558554953585173
8,6,1,1,4.704236711421096,0,8.136238864502713
8,5,1,1,7.064344932596436,1,17.521995968859144
10,4,1,0,5.600825859995815,0,10.609375690866084
7,5,0,0,3.9067544246629176,0,7.682663087932853
10,5,0,1,3.860185314705355,0,7.645077405459177
12,5,1,0,5.895893663170764,0,10.07186092820539
8,7,1,1,7.708777072018238,1,18.037161920304143
7,5,1,0,5.051985280760494,0,8.75954477106872
2,6,0,1,1.6237472194881368,0,3.551518640171519
5,8,0,1,3.656224243622801,0,8.037961062035928
7,5,0,0,7.227714656353467,1,17.376560046019225
11,4,1,1,5.055540014523851,0,9.099074496188074
10,4,1,1,6.492256940105785,1,16.807059526729837
3,6,1,1,6.272765248842168,1,16.97893666356333
7,4,1,0,6.960409953413534,1,17.130899802713987
7,1,0,1,4.510820509003681,0,7.911688939276689
3,6,1,0,4.931072685728818,0,9.15022329809474
7,3,0,0,7.325504291190414,1,18.37324291435407
8,5,0,1,2.3870111424367417,0,5.119777986078402
13,5,1,1,6.354613972961073,1,16.451981358706337
5,6,1,1,6.761329036236972,1,17.71531143948264
2,6,1,1,8.580654314295545,1,19.69119218915423
5,6,1,0,6.562422618385386,1,17.270259312171977
9,4,1,1,3.206774934141813,0,6.634277755306916
7,6,0,0,6.156393433677345,1,16.678036090808824
7,4,0,0,8.23956610967753,1,19.38486399996004
5,7,1,0,4.627631569878908,0,8.535035018754849
6,2,1,1,7.810903031279482,1,17.658023790734557
12,7,0,0,9.573397576058245,1,19.34483947737276
5,6,0,1,4.422615594140116,0,9.32085239622197
4,5,1,1,5.355084874978282,0,9.720368751689165
6,7,1,1,7.69494608064667,1,19.07195067767624
9,7,1,0,5.735253679071517,0,10.24037127216538
5,4,1,1,1.5266358849942625,0,2.8703957125037807
6,5,1,0,5.034307808997111,0,8.776957312202963
7,4,1,0,3.385396080762956,0,6.7258322666208485
3,5,0,1,3.099651235216551,0,6.6300345363831
7,5,1,1,7.005009100611026,1,17.248238988516803
8,5,1,0,4.449088704228854,0,7.582901656995954
10,5,1,1,8.352873690517185,1,18.63305656455476
7,7,0,0,6.440366005493426,1,16.343588390563205
10,8,0,1,5.068926500855064,0,9.389497292021248
7,5,1,1,3.721989450598105,0,7.941429349376116
-1,6,1,1,6.823342755509114,1,17.959867147908575
10,5,1,1,8.684575989743626,1,19.75702681155924
9,6,0,0,5.301119200995679,0,9.915257727158735
9,5,1,0,8.015131642973117,1,18.35285157492743
4,6,1,1,9.61614963498201,1,20.06778157241159
9,8,1,1,4.047439991098164,0,8.03654559573838
3,9,1,1,10.565416543212404,1,19.954851744264783
8,4,1,0,8.04937910883395,1,18.092271589765247
10,4,1,1,5.816720072494328,0,10.166038160948588
5,6,0,1,8.784258160141539,1,19.68372210244086
11,4,0,1,7.344525303804447,1,18.575335250983485
7,2,1,1,4.385196196395465,0,8.83254199556549
10,3,0,1,7.638532496864346,1,17.753806171431354
13,8,0,1,7.126931516969986,1,19.558960548235277
3,5,0,0,4.794137490778128,0,8.140039959301586
5,7,1,0,4.14905756693545,0,7.546949458591357
10,6,1,0,8.166215500636927,1,18.55375726380304
8,7,1,1,4.411789432990609,0,7.573123729709704
9,6,1,0,3.6983817753405033,0,7.689541668549406
12,5,1,0,2.1866753482587704,0,4.058156670845122
9,6,1,0,3.693562488774381,0,7.607166957158079
5,7,0,0,4.710787309251302,0,7.933364219063139
4,5,1,0,3.6053897087289006,0,7.398541651037654
9,6,1,1,5.9137864666321445,0,11.053690869876934
8,3,1,1,5.752177214908685,0,9.64545613312078
9,6,1,1,5.255541847440254,0,9.549239799192655
3,2,0,1,6.527443872499637,1,16.931844911920297
9,6,0,0,9.22129554319686,1,19.32250669929709
5,5,1,0,5.618651036830379,0,9.43986166607303
8,5,1,0,4.450139881251508,0,8.895711518581262
6,4,0,1,5.969896463278821,0,9.847875366335698
8,8,1,0,5.756525260475459,0,9.879830304847257
6,6,1,1,4.150660718873367,0,8.571028637204329
8,4,0,0,9.62742328762744,1,19.303991837942664
14,5,1,0,6.343063437646818,1,16.86528690370054
6,6,0,1,6.1992446891443445,1,17.074657087208006
8,5,0,0,4.702896434108751,0,8.374360243633365
5,9,1,0,8.831790296557097,1,18.238572457513943
5,8,1,0,2.860116021204789,0,6.784314372684551
0,8,1,0,7.795706579242394,1,18.00550086033812
8,5,1,1,7.657251118187537,1,18.62350284607051
2,4,1,1,3.797749884445881,0,7.167831843077667
5,7,1,0,6.700006129770141,1,16.40944695404778
3,7,0,0,6.388158298625647,1,16.998898244188265
8,5,0,1,2.925869848944745,0,6.40861149873371
6,6,1,1,7.864022753374728,1,18.49013782009562
10,7,0,0,5.208042319585027,0,9.06311124708312
11,5,1,0,8.685608616271745,1,18.83499767211793
10,3,1,1,5.578975305264135,0,10.044643277318698
8,7,0,1,6.121924512658467,1,17.322779174978617
7,8,1,1,4.515315018799761,0,7.225054804733714
7,5,0,1,10.3442761308413,1,20.34582009467841
4,6,1,0,1.4796442592812546,0,3.320480135060424
2,6,1,1,5.849101752974283,0,10.503199647542496
9,4,1,1,8.138455786446883,1,18.50754538165034
7,7,1,1,7.160577135016083,1,17.872986729011256
9,5,1,1,5.031346229712861,0,8.724076410828935
11,6,0,0,6.158601245074836,1,16.615709001034325
4,4,1,0,7.765826021079393,1,17.257181264743533
6,4,1,0,5.278988140504528,0,8.975053038917029
7,4,1,1,7.6653267834791965,1,17.66178296328398
8,7,1,0,5.00955082398413,0,9.21884742698722
7,4,0,0,2.6688755410038665,0,5.183085857890467
5,6,1,1,5.5326243999975295,0,9.963478165404984
12,6,1,0,7.503638276116866,1,18.430894419622888
2,6,0,1,6.959690772962954,1,18.48935395312928
9,5,0,1,6.174321212349429,1,16.857923573130595
5,5,0,1,5.836644808549954,0,9.887996705401964
6,6,0,0,5.771348500225045,0,10.366770057642851
9,5,0,0,6.011961430956163,1,17.28141729057267
8,6,1,0,5.453703904396925,0,8.745618366896075
8,3,0,1,7.443682869606025,1,18.23696100530431
10,4,0,1,3.132846986956717,0,6.183251006884253
14,6,0,1,4.629437866271241,0,8.686644762330165
5,3,1,1,5.397170484043014,0,8.898047551654152
11,6,1,1,6.499672671383378,1,16.970851631592218
5,4,0,0,9.189379221642591,1,19.64141353340787
3,6,1,1,4.666053098712002,0,8.30006348636637
11,3,1,0,7.978874761216372,1,18.61039029003724
9,5,0,0,6.963089295658464,1,17.385237305679627
12,2,1,0,6.14603843018556,1,16.412260325786928
8,5,1,1,5.020969499209155,0,9.408120945799435
6,5,1,0,7.711099830696829,1,17.270405599302766
8,6,0,0,7.584332173640052,1,17.904383651485148
5,4,0,1,8.2200738119654,1,18.49758201591832
8,3,1,0,5.568643269369416,0,10.221662191253047
5,3,1,0,2.593232125689895,0,4.089277659119274
2,6,1,0,5.886212134728021,0,9.204034000643826
13,6,1,1,4.442195898581462,0,7.944105347694966
2,6,1,0,3.2591960056246347,0,5.928915404996463
9,4,1,1,5.3624917321656085,0,9.325072602911549
4,7,0,0,6.901824115287454,1,17.32845748147021
9,4,0,0,8.527659980156416,1,18.82612774185324
10,4,1,1,2.2600275661754488,0,3.924263690147739
11,4,0,0,3.6246565290564776,0,7.213529616848823
9,8,1,0,6.23793882203704,1,17.5637982713324
0,5,1,0,6.215826621657402,1,16.92951698268846
12,5,0,1,4.550209412518827,0,7.102571762216526
6,5,0,1,6.135848629698802,1,16.782236670704727
10,7,1,1,6.574593723248364,1,17.240652767153165
8,4,1,1,9.670258042835815,1,19.181899496855845
8,6,1,1,6.491685895805507,1,17.734782638620995
8,6,1,1,7.420242267541088,1,18.366190374007417
9,4,1,1,5.888068981605134,0,9.951736553137872
7,6,1,0,6.923223634348252,1,18.612036499176742
2,4,1,1,3.5331940822503274,0,6.284219156820018
9,5,0,1,7.132186481869049,1,17.363090855127613
7,5,1,1,4.113381285673907,0,8.015488302147471
4,5,0,0,4.450102982704504,0,8.370542310779005
6,2,1,1,8.506681699572098,1,18.487192020624587
3,7,1,1,4.802807995671196,0,9.209992906855865
6,8,0,1,7.790746915363877,1,18.43486230140353
4,7,1,1,3.7070711645186174,0,7.7516079068289425
4,6,1,0,2.741362570740384,0,5.82375437995174
8,6,1,0,7.281069698144666,1,18.843224021501747
6,5,1,1,3.2920027927738587,0,6.027831047339475
13,4,1,0,7.551427712458979,1,17.589189780416252
16,5,0,0,3.914991414509632,0,7.233469066441324
10,4,1,0,4.817590066265049,0,7.857247780509526
2,4,1,0,6.707576053339507,1,16.882467844653366
4,6,1,1,6.721299533288443,1,17.101464025090387
14,5,1,1,1.747968009578397,0,3.35629641444638
10,6,0,0,6.980455191899094,1,17.36721517080004
5,4,1,1,6.251574451552444,1,16.841192074118858
11,5,1,1,5.042788629816928,0,8.892885022956426
12,6,0,1,9.566612023261737,1,19.02953445767061
6,7,0,0,3.035215263418711,0,5.782608654053446
2,5,0,0,4.183178305136064,0,7.283655068862968
10,5,0,0,6.321026549642686,1,17.10424207857365
12,8,1,0,7.061660234397093,1,17.986643438983023
8,7,1,1,8.45644198061144,1,19.12571612428551
8,4,1,0,8.929017950133725,1,19.087727193281676
6,8,0,0,6.952710885096304,1,18.35924700878768
11,6,1,1,5.96516620990672,0,9.587759528550542
5,4,0,1,6.103400465053777,1,16.897261342222176
5,6,1,1,7.931531054544308,1,17.940942062285803
3,7,1,0,4.518583606885066,0,8.330752005463234
6,4,1,1,6.085609035699834,1,16.280417594310574
13,7,1,0,6.707366682387487,1,17.480423443238404
7,5,0,0,6.467841304399936,1,17.24735414079099
17,10,0,0,11.435572816487356,1,21.186705941534967
11,5,1,1,7.820519319133836,1,18.211466161491742
