education_years,age,previous_income,gender,union_membership,minority_status,local_unemployment_rate,job_training_hours,annual_income
13,27,8,0,0,1,8,21,145.19354274734215
10,30,6,0,0,0,10,21,143.17325354215555
10,27,7,0,1,0,6,18,129.20661332555989
6,32,13,0,1,0,7,14,113.73053072493391
12,28,9,0,0,0,6,14,113.24712789459866
17,32,4,1,1,0,8,18,129.52207804333676
9,30,6,0,0,0,9,20,141.2125820971924
13,32,6,1,1,0,9,20,140.37169683156688
12,31,6,0,0,1,10,19,135.0538155884089
7,30,5,1,0,0,8,22,142.16320636638892
12,32,10,0,0,0,9,18,131.32449771211384
7,28,14,1,0,0,10,14,114.14530743797904
9,28,6,0,0,1,9,22,149.713923009457
10,30,6,0,0,1,11,22,146.8132253957166
9,30,7,0,0,0,6,17,120.34643724084036
9,30,4,0,0,1,9,24,155.00716042426512
9,29,0,0,1,0,10,26,161.52232632122136
9,30,10,0,0,1,12,21,144.6447515189684
5,28,7,0,0,1,9,21,138.55464228733794
8,27,9,0,1,0,8,17,125.7450533510769
5,27,11,0,0,0,9,20,138.5776880109834
11,27,15,0,1,0,9,13,113.89378719126256
11,28,5,1,0,0,11,24,156.06106025362735
10,26,9,1,1,0,9,21,145.52890307715236
13,30,10,1,1,0,8,17,130.63559256242866
8,23,6,0,0,1,8,22,144.7043537187713
3,26,8,1,0,1,10,22,146.87244797885404
9,28,3,0,0,0,9,22,142.49790819102384
7,29,8,1,0,0,7,18,125.79072823356898
12,32,8,1,0,1,12,20,142.6567602915725
8,29,3,0,0,1,9,26,164.2451126443761
4,28,9,0,0,1,10,23,148.31031272789443
10,32,6,0,0,1,10,21,142.03005907937057
11,30,11,1,1,0,7,15,118.42950861249204
8,29,7,1,0,0,9,23,151.8829898392848
12,30,9,0,0,0,9,19,135.71755948436953
16,29,14,1,1,1,12,11,106.92524883643402
12,30,6,0,0,1,8,19,134.70216874403698
9,30,1,0,1,0,9,24,153.36244735127715
13,28,12,0,0,1,9,16,127.22759029795398
9,33,8,0,0,1,5,19,134.67515880087615
9,32,8,0,0,1,5,18,129.6996823958962
10,29,6,0,1,0,11,21,142.93537551235298
7,26,1,0,0,1,9,26,161.7529895057802
11,28,9,1,1,0,10,16,123.18421155555062
4,27,8,0,1,0,10,23,149.34332903101708
10,26,3,0,1,0,8,22,145.01762381634504
9,28,6,0,0,1,10,22,147.56934739342367
9,32,4,0,0,0,10,25,159.86587348943058
10,35,11,0,0,0,9,16,122.48318380342796
11,25,5,1,1,0,11,22,146.19913577685432
15,30,10,0,1,1,6,13,111.96662571230492
10,31,9,0,0,0,10,17,124.62150468058051
13,31,11,1,0,0,9,15,117.98743432306298
9,31,10,0,0,0,11,20,142.30160693037678
12,33,10,0,0,1,10,16,122.57271709461996
14,26,9,1,0,1,8,20,144.1049393735827
16,29,8,0,1,0,4,14,115.72944166001813
9,29,0,0,1,1,11,28,173.61044037735527
11,28,6,0,0,0,9,20,137.66179246312086
10,32,7,1,0,0,7,19,133.04305595100018
10,31,11,1,0,1,9,19,138.6830896216817
9,27,9,0,0,0,11,20,137.99935262225958
8,29,4,1,0,0,11,24,155.218836612653
8,27,1,0,1,1,8,27,168.28502690097167
14,26,5,1,0,1,8,21,147.34317602334406
9,31,7,1,0,0,10,18,126.04886985193434
11,27,14,0,1,0,9,11,100.72195548563218
10,29,11,0,1,1,6,15,117.99815390874214
10,25,10,1,0,0,7,14,109.55477079291434
12,32,8,0,1,0,12,20,141.54774900022602
12,27,9,0,0,0,6,15,114.82927472690952
8,31,4,0,1,0,11,21,138.7822435383505
5,28,8,0,1,1,8,20,138.928515203684
9,25,13,1,1,0,9,16,128.2278516239823
9,30,6,0,0,0,9,20,135.4457415118615
9,28,11,0,0,0,10,17,129.73719081922434
10,25,12,0,0,0,9,17,128.9293524786527
12,32,11,0,0,0,7,14,112.23968249150136
10,26,12,1,1,0,9,14,114.4080308594352
3,31,10,0,1,0,7,17,122.83844989302018
8,32,11,1,0,0,8,15,116.293425281021
7,30,6,0,1,1,9,25,164.98711752415429
18,24,3,1,1,1,7,20,143.95776676929373
12,31,12,0,1,0,10,14,115.59562197797372
9,33,6,0,0,1,10,24,156.62694428177224
15,31,11,1,0,0,9,12,103.45086439360624
9,30,6,0,0,0,7,19,131.31915629925734
9,32,6,0,0,0,12,21,142.64755098038498
8,30,8,0,1,0,9,20,139.4165560323665
11,26,4,0,1,1,6,20,136.16284716069484
13,30,10,0,0,0,9,14,113.81355415931084
7,26,6,0,0,1,8,24,160.2922994630965
8,27,7,0,1,0,14,27,171.68513582687478
9,30,3,1,0,0,8,24,153.46156964662575
12,28,5,1,1,1,7,19,136.8485339796651
10,32,3,1,0,1,10,26,164.43220596784042
7,29,13,0,1,0,11,16,123.03650926809227
8,30,9,1,1,0,9,17,122.77620340990848
11,30,9,0,1,0,8,17,124.25910115237744
12,27,5,0,1,0,14,22,149.05416503207837
6,29,2,0,0,1,4,24,154.61045940153497
6,25,6,1,1,1,9,21,143.9607688382003
11,29,5,0,1,0,5,16,120.1481879643244
10,30,5,1,1,0,8,18,126.15672546261146
8,23,10,1,1,0,10,17,127.70913044276732
8,32,1,1,0,1,10,25,157.5138307455786
12,31,13,0,0,0,11,12,103.17220823666064
7,30,4,1,1,0,6,23,149.55084543393505
9,28,8,0,0,0,9,22,150.62369324490115
7,31,3,1,0,0,10,25,156.62413699073915
11,30,7,1,0,1,6,18,130.9037907053152
10,30,5,0,1,0,10,21,141.7105862491994
11,28,10,1,0,1,6,16,122.79413944061334
7,30,11,1,1,1,7,17,128.04356200811335
8,26,8,1,1,0,6,17,126.86550065739524
12,31,10,0,1,0,10,15,117.2468115073212
11,29,9,0,0,1,7,19,134.91275783397367
8,31,9,0,0,1,9,19,133.28337227844122
16,29,9,0,0,0,9,17,129.63655373263677
11,30,6,1,0,0,10,21,143.91497304290002
6,28,11,1,1,0,9,15,114.31508451198182
10,32,9,1,0,0,9,19,137.12674449743102
6,29,5,0,0,1,10,24,159.9357044528021
11,30,2,0,1,1,8,22,146.75691192888817
13,29,10,1,1,0,8,15,117.68057077179178
12,30,4,1,0,0,8,22,143.21846734987324
10,33,3,0,0,1,9,22,146.09646182113983
14,26,8,0,0,0,5,17,128.12684122048546
16,27,8,0,1,1,10,19,140.20519231969928
9,33,7,0,1,1,10,21,142.91688485676508
12,29,6,1,0,0,8,22,149.99240806644482
8,35,14,0,1,0,7,13,109.1405739653104
7,29,11,1,0,0,9,13,107.13080046944444
10,30,6,1,0,1,10,21,141.94212306807546
9,28,3,1,0,0,8,23,152.21167065997946
10,29,12,1,0,1,10,16,123.58969943452782
9,28,11,1,0,1,6,17,127.78979637275268
6,28,7,0,0,1,10,20,134.7603368800581
7,31,7,0,0,0,8,21,142.76298135283068
9,27,7,1,1,0,6,18,132.20447107183435
11,28,9,0,0,0,5,17,126.45575687206912
11,28,2,0,1,1,4,26,168.79841294121482
7,30,10,0,1,0,10,17,125.0743748072046
9,31,9,0,1,1,11,18,130.06515776503443
8,30,7,0,1,0,9,20,138.46453892611842
10,33,15,0,0,1,11,13,109.421159135226
12,25,9,0,0,1,8,15,117.18916307686436
11,32,7,1,1,0,12,21,145.06565836516788
7,27,5,1,0,1,9,22,148.74309237614273
6,31,5,1,0,0,8,24,154.96605707662172
8,36,6,0,1,0,7,21,144.51745680972633
11,28,7,0,0,0,5,17,125.67900627774038
10,33,9,0,0,0,8,15,113.59742186822028
11,29,6,0,0,1,9,21,143.49775578329871
9,30,9,0,0,0,10,18,127.62428556124544
9,28,4,0,0,0,11,23,149.27271727905662
10,30,10,1,1,0,6,13,105.7660804926805
9,29,9,0,1,0,8,19,138.8242919796392
11,31,5,0,1,0,6,19,133.19252166698473
4,28,3,0,0,0,7,26,160.8401819860313
11,29,7,0,1,0,9,20,139.49425953103807
5,27,10,0,1,0,9,19,133.6172421496891
9,33,10,1,1,1,10,17,123.5857855004741
11,30,11,0,0,0,12,18,129.99537040974172
12,27,9,1,1,0,8,17,129.21333361863188
8,30,8,0,0,1,9,24,158.93869079976946
11,32,6,1,1,0,8,18,127.31704277617996
6,30,4,0,1,0,6,24,154.2746589698037
6,30,5,0,0,0,9,26,160.90122274664336
9,27,7,0,0,1,10,21,139.89080384624128
7,34,11,0,1,0,9,17,127.66717438179502
14,31,3,0,0,0,8,19,132.94449020104844
13,27,8,0,1,0,11,20,143.83298184616925
10,35,3,1,0,0,13,23,145.1622726070038
12,31,8,0,0,1,7,17,126.8959190085449
14,30,8,1,1,0,11,17,127.68634575531618
12,29,3,1,1,1,14,26,165.8353063431598
8,34,5,0,0,0,9,21,140.31349509349516
7,31,7,1,1,0,6,15,112.5443351779226
5,29,10,0,0,1,11,22,147.302036221394
7,31,9,1,0,0,8,20,140.06390773676782
9,28,4,0,0,0,11,24,152.3904474059649
12,28,5,1,0,0,11,23,152.7954456243361
5,31,8,0,0,0,8,20,137.68739031555435
9,30,9,0,0,1,6,15,114.61392773957758
11,31,2,1,0,1,7,22,146.4504197975728
5,30,8,0,1,0,10,19,134.2075505121066
9,27,11,1,0,0,8,14,112.53925776753512
10,29,11,1,0,0,9,17,128.8084748180241
7,29,5,0,0,0,6,21,141.1475004591683
13,29,8,1,1,1,7,15,117.84427020182927
15,28,10,0,1,0,11,17,127.17464071673808
8,31,6,0,1,1,9,21,142.92310086355116
12,27,10,0,1,1,7,12,104.16691721923296
10,34,4,0,1,0,8,19,131.53500658320672
8,31,7,0,1,1,11,22,145.80156390773692
6,31,9,0,0,1,8,18,130.5268111214825
7,30,-1,0,0,0,8,27,162.8716302822178
13,31,7,0,0,1,9,18,128.9581799449088
9,26,7,1,0,0,11,23,157.98853671708991
10,33,2,0,1,0,10,22,147.07213300359362
5,33,9,0,0,0,7,17,123.1881104019787
11,30,13,0,1,0,8,12,105.65443141930962
9,31,12,1,0,1,11,15,116.9104939918896
10,30,10,0,0,0,9,15,112.4338631042
8,26,12,0,0,1,9,16,122.39666996278264
9,29,3,0,0,0,5,21,141.36236156520792
8,26,7,1,1,0,9,21,143.09634114060307
5,30,7,0,0,0,6,19,130.60879378613032
11,28,5,0,1,1,5,23,155.12459328150177
9,33,7,0,0,0,11,22,145.83954133768
12,26,8,0,0,0,9,19,137.34648117880212
7,27,4,1,0,0,7,21,141.83383965142514
7,27,9,1,0,1,12,23,153.57954445913862
7,28,9,1,0,1,5,17,124.39291153981868
10,32,5,0,1,0,6,20,137.87067082662077
8,29,6,0,0,0,8,21,139.811047811644
11,31,9,0,1,1,9,18,130.7973899815472
14,29,4,1,1,1,7,19,133.5061326836258
11,28,4,0,0,0,11,22,148.0733684925896
6,32,7,0,1,1,10,22,146.76630508969393
10,34,9,0,0,0,7,18,129.49180114421426
9,27,7,1,1,0,9,15,112.72976722319132
9,31,9,0,1,1,11,19,133.5902636785042
7,31,8,1,0,1,9,18,127.77746879918098
7,25,7,0,0,1,7,20,140.44596393026566
13,30,7,1,1,0,5,17,129.5627305656938
9,31,1,0,0,0,7,23,146.8783695041122
11,30,10,0,0,1,7,18,132.6051754396874
11,29,8,1,0,1,12,21,145.746300416767
9,32,6,1,0,0,11,18,125.6096689187484
14,31,5,1,1,1,7,18,133.18341203498235
10,29,6,0,1,0,9,20,139.43983350228717
13,32,5,1,1,1,9,22,149.35203326799564
9,30,6,0,0,0,6,22,148.99235189289735
7,30,8,0,0,1,8,21,145.68791074287984
7,31,10,0,0,1,11,20,142.52958627647814
9,28,8,1,1,1,10,21,143.82315663931828
8,26,6,0,0,1,7,20,138.37630901657622
10,25,8,1,0,0,9,21,144.02118326403124
7,31,7,0,0,0,10,20,136.15382602759624
10,32,8,0,0,0,10,19,132.44141403192123
10,27,8,1,0,0,8,16,120.96186154038011
11,29,12,1,0,1,9,15,120.72538079310866
7,28,10,0,0,0,11,19,133.84118960267003
9,30,12,0,1,0,9,15,119.64012652050616
14,30,0,0,0,0,10,24,156.5566349216155
11,28,10,0,0,0,10,18,130.86598393408815
7,31,8,1,1,1,9,18,130.46930369122725
9,30,5,1,0,0,10,19,131.91485363689
10,31,7,1,0,0,9,22,146.75213215050238
15,27,6,0,0,0,13,18,130.52105206594487
14,30,9,1,1,0,5,15,121.08527875409322
12,30,8,1,0,1,7,17,129.35066063446956
10,29,8,0,1,0,9,18,130.09757361764358
9,33,10,0,0,0,10,18,128.36971094259476
9,27,7,1,1,0,12,22,149.70789572977608
9,31,6,0,0,0,9,21,139.4956037610469
5,30,8,0,1,0,8,20,136.0861298869448
7,29,1,0,0,1,7,25,155.72475340567954
9,29,8,1,0,1,9,18,130.45046678557895
12,29,7,0,0,0,10,22,146.772287546334
13,28,8,0,0,0,7,17,129.59681010065503
9,30,7,0,1,1,9,21,143.89533360497597
11,29,8,0,0,1,12,22,149.17951405445234
8,31,11,1,0,0,5,15,116.615925046868
9,27,13,1,1,0,9,11,100.54533134189224
12,32,5,0,0,1,9,21,144.230331092657
15,28,9,0,1,0,10,16,124.66574665678648
13,27,4,0,1,0,6,19,136.73071388512545
5,27,12,0,1,0,8,16,122.89145762548564
13,30,5,0,0,0,11,23,151.61754535666697
14,32,5,0,0,0,10,21,143.76167908045946
9,27,5,0,0,0,8,22,145.06833631827266
13,30,9,0,0,0,9,19,135.34985459301865
10,31,8,0,0,0,9,16,117.60542383935136
8,30,9,1,0,1,12,17,121.3551691479248
12,31,7,0,1,0,6,18,129.48926627843255
5,28,4,0,0,0,11,22,140.2132201750339
8,27,11,1,0,0,6,15,115.91643924775876
14,33,6,0,0,1,8,21,142.81279273385204
11,29,8,0,1,0,5,19,135.88361766992648
9,32,6,0,1,0,6,19,132.58359906726764
7,27,0,0,0,0,7,26,160.81893325377874
9,31,14,1,0,0,8,13,109.72113746836028
4,29,4,1,0,0,8,24,153.65445046456784
11,31,7,0,1,0,7,19,134.44857674292098
12,29,11,1,0,0,9,14,113.02205151282448
7,31,1,0,0,0,6,24,154.38282986807033
13,31,11,0,0,0,9,16,121.45532493239192
10,29,9,1,0,0,15,21,145.88184207185603
9,27,12,1,1,1,7,13,110.30147668072868
8,30,10,1,0,0,7,16,120.3445069726252
7,33,10,1,0,0,5,16,121.54152171087932
13,26,2,0,1,1,7,22,149.15364318664453
9,28,9,0,0,1,8,18,133.09528671795476
6,31,9,0,0,0,4,15,113.42493602134805
4,27,4,0,0,0,12,28,171.6516847030867
11,26,3,0,1,0,5,21,144.8784205974233
11,28,1,1,1,0,13,27,168.65659549131513
7,29,10,1,0,0,6,15,115.52400574200234
5,27,6,1,0,0,9,20,137.1810091986001
8,27,10,1,0,0,10,21,144.6385217683552
6,32,7,0,0,0,11,21,140.26407785393863
12,31,9,0,0,1,10,18,131.9468372559202
7,32,11,0,0,0,10,16,119.6089187979683
8,33,6,1,0,0,8,22,149.65851726930302
11,28,8,1,1,0,11,20,141.77925509333355
8,25,8,0,0,0,11,20,137.16436070745974
4,34,4,0,0,0,8,24,150.1051760744169
11,28,5,1,0,0,9,22,147.25370659710083
9,25,10,1,1,0,8,15,115.02680857455016
9,34,13,0,0,0,9,13,108.65941114828226
12,30,8,0,0,1,8,20,142.15188455761856
14,29,4,0,0,1,13,25,163.1589887993257
11,34,7,0,0,1,12,21,142.32263230772134
11,29,9,0,0,0,10,18,131.89111546769564
7,30,7,0,0,1,7,20,136.0866133610517
11,28,9,0,0,1,10,21,148.25268858205916
1,27,4,1,1,0,4,22,142.63764161904913
7,32,7,0,1,1,8,19,132.79364555686954
7,24,6,1,0,0,10,24,157.61578155662298
6,30,8,1,1,0,11,21,143.38485996338576
9,31,5,0,1,0,11,23,154.11464622029433
7,31,5,0,0,1,5,22,146.11225819723097
12,27,5,0,1,0,8,21,142.09800153511597
5,30,3,1,1,1,10,25,159.5310571261301
10,28,6,0,1,1,9,23,156.29688109810303
8,30,11,1,1,0,9,15,116.48462409964988
9,27,5,0,1,0,7,19,132.0233114229573
11,30,1,0,1,1,9,24,154.12555384166384
15,31,13,1,0,0,9,11,101.84320158171934
7,30,8,0,1,0,7,18,128.57761796754698
8,29,9,0,1,0,12,23,154.97674690354555
12,31,7,0,0,0,8,18,128.5352700590989
7,30,9,1,0,1,8,17,125.90354858010328
6,32,13,0,0,1,8,13,107.73965929952236
8,33,6,1,0,0,11,22,145.32670157435146
4,28,5,0,0,0,9,24,153.58349447152463
5,28,11,1,0,0,9,17,122.33023950639344
12,32,13,0,0,0,9,12,105.31644495964144
9,31,8,1,0,1,11,21,141.79306962021278
8,32,12,0,1,0,8,15,118.37228033123064
8,30,12,0,1,0,9,15,120.8174212221376
11,31,10,0,0,0,7,18,131.99090414005988
9,29,8,0,0,0,9,23,155.65830442307453
8,29,9,1,1,0,7,19,135.4268860125294
13,31,11,0,1,0,7,14,116.178273294644
7,26,6,1,0,0,7,22,147.67819943693686
9,29,6,1,0,1,5,18,126.6762928314272
15,32,-4,0,1,1,7,26,166.7006151081401
10,30,11,0,1,0,7,15,120.71252746692107
14,30,4,0,0,1,11,21,141.42170293822335
12,30,3,0,1,1,9,22,147.00166394382364
10,30,11,0,0,0,9,16,123.77235033213356
8,27,8,0,1,0,10,20,137.94630060607253
9,29,10,0,1,0,7,18,134.3837029646214
12,28,10,0,0,1,12,21,144.48074912924778
13,27,5,1,1,0,5,19,135.0710329541766
6,29,10,0,0,1,10,17,123.8189922662024
8,26,14,0,0,0,9,16,124.70546059200582
15,29,9,0,0,1,8,17,128.98109736019265
3,30,7,1,0,0,8,23,147.76914636889046
9,28,6,1,0,0,8,18,127.21841618444876
10,27,6,0,0,1,12,23,151.9951023273603
13,30,9,0,0,0,6,16,124.7940073112337
7,34,11,1,0,0,6,14,110.5050827757828
14,32,5,0,0,0,6,19,135.4265135389168
10,29,12,1,1,1,9,13,110.77613148394056
7,30,8,0,1,0,9,17,124.24636231925042
5,26,12,0,1,1,10,17,126.65835124958782
7,28,7,0,1,1,8,19,134.41061443797528
5,30,10,1,0,0,5,17,126.67907914213214
13,32,7,0,1,1,8,19,135.0509202540644
8,28,6,1,0,1,7,22,147.47517906981395
7,30,5,0,0,0,10,23,149.45216256761194
11,28,6,0,0,0,8,21,141.44051685918186
8,28,10,0,0,0,7,13,104.71696954000085
6,27,9,1,1,1,9,18,131.95301130617156
6,29,8,1,0,0,10,21,144.32301620234702
6,24,4,0,0,1,8,24,154.50548298611795
4,27,14,0,0,0,11,18,130.239651155266
10,25,6,1,0,0,9,24,156.33362326542306
6,29,9,0,0,0,9,18,126.89102785196532
9,29,12,0,0,0,13,17,128.2011859599953
13,30,12,1,0,0,6,13,111.50980371177587
10,28,10,0,0,1,10,19,137.86788346500654
2,31,2,0,1,0,10,28,168.93511969841882
10,31,2,0,0,0,6,23,147.7783230891958
5,32,9,0,0,0,9,20,135.74633230102424
12,32,2,0,0,0,9,22,147.63563807208132
12,27,4,1,0,1,6,23,151.90143893677225
19,25,9,0,1,0,5,11,106.1880609188472
14,32,7,1,1,1,10,19,137.82989948252853
15,28,4,0,0,0,7,21,145.90375030391246
7,30,6,1,0,1,11,22,146.1546005193374
8,32,6,0,0,0,7,21,138.00039223508642
6,29,11,1,0,0,10,19,133.71372195104215
8,25,10,0,1,0,8,19,138.57836056948767
13,30,2,0,0,1,13,26,165.7668540853598
3,28,7,1,0,0,8,21,137.73730743921092
10,30,6,1,0,0,10,20,139.5472927052848
14,29,7,1,0,0,6,19,139.3613627456674
14,30,7,1,0,0,10,16,120.2311471298606
12,30,9,0,1,1,7,18,136.38515868308912
13,30,2,1,0,0,6,22,145.1286616206826
15,30,5,1,0,0,11,23,153.596989611489
10,29,11,0,1,1,11,16,125.2358662880456
8,28,8,1,0,0,13,22,146.8756873497713
11,26,3,1,0,1,7,21,142.27608394989016
8,29,10,0,0,0,5,17,125.85236262388514
15,30,11,1,1,0,10,15,122.59636033237612
9,27,4,0,0,1,9,25,162.66470096173472
15,30,11,0,0,0,9,15,121.62785084242827
8,26,9,1,0,0,9,20,138.36475229277693
10,28,7,0,0,0,9,19,133.18562786073718
11,29,9,0,0,0,5,16,120.86499412941002
10,28,4,0,1,0,8,22,146.7778021687968
10,28,8,1,0,0,8,21,145.56335898724902
4,32,7,0,1,0,11,23,145.87921129414008
8,33,12,1,1,0,7,15,116.2999657843945
7,28,4,1,0,1,7,23,150.92826065492326
14,29,7,0,0,1,7,19,137.83587333004468
8,30,8,0,0,1,7,20,136.39463237731937
9,28,7,1,0,0,8,19,132.94932561614274
12,31,8,0,0,0,5,16,121.0922835673672
12,29,7,0,1,1,9,21,145.8092111380997
5,29,4,0,0,1,11,25,158.41291949244842
6,25,5,0,1,0,8,21,141.71909978678735
6,30,3,0,0,1,10,25,157.49190948212006
11,32,6,0,1,1,10,19,132.99659510847
10,30,5,0,1,0,9,20,135.78993554089587
12,31,8,0,0,1,9,19,136.1854212956975
10,31,12,0,0,0,11,16,121.93055095246982
8,29,7,0,0,0,11,23,150.42096612915228
11,29,10,1,1,1,10,17,127.85723344224064
10,28,7,1,1,0,4,16,120.71513960849978
10,30,8,1,0,1,8,19,133.51812394265085
11,25,7,1,1,1,11,23,155.52966260579495
12,29,6,0,0,0,6,18,128.74239189241155
12,29,4,0,1,0,6,19,135.7449047028034
12,29,13,1,0,0,11,14,115.37776566056075
10,29,9,0,0,0,12,20,140.0211571294692
5,28,13,0,0,1,10,15,116.35406200801908
11,33,9,1,1,0,9,17,124.93945029147513
9,33,5,0,0,0,10,22,145.44186147034637
8,31,4,1,0,0,6,22,145.21656557693072
6,30,7,0,1,1,10,19,133.32255137752873
6,30,11,1,0,0,6,15,116.4209771027918
12,32,6,0,1,1,9,18,128.66044600047923
8,29,4,0,1,0,10,24,156.52839176664605
15,32,11,0,0,0,7,11,100.09232472747212
11,29,9,1,1,0,8,16,123.08914817856366
12,29,6,0,1,0,10,17,124.75012462071535
16,32,7,1,0,1,12,22,150.39999450498965
11,27,11,1,1,0,7,14,116.7450484971377
10,29,10,1,0,1,10,15,118.34973328617554
13,30,6,0,1,0,10,19,136.01536514453218
10,31,11,0,1,0,9,14,113.30529671070865
6,29,5,0,0,0,7,22,146.108219159668
9,27,6,0,0,1,8,21,142.45706352704798
10,31,4,0,1,0,10,23,151.63183784653108
11,30,9,0,0,1,7,16,122.72166773868184
10,25,8,0,0,1,7,19,135.7642036847505
13,30,4,0,0,0,7,22,147.88975192495306
6,30,7,0,0,1,10,21,142.2921219983442
11,31,9,0,1,0,9,18,130.19153906454852
7,25,5,0,0,0,9,25,158.60460972397306
6,30,8,0,1,1,11,19,128.8910027957248
14,35,9,0,0,0,11,17,126.0907562166169
9,33,6,0,0,1,11,22,144.12905144837907
8,29,11,1,0,1,10,17,125.33240586319882
8,27,4,1,1,1,4,21,143.71471624722255
8,26,10,0,0,1,8,16,122.08120219865492
10,26,9,1,0,0,8,20,142.2116592752179
11,29,10,0,1,0,8,18,133.3282938241277
9,31,7,1,1,0,9,20,138.0556938362617
12,29,4,0,0,0,10,22,147.73357032089828
11,33,12,1,0,1,12,17,127.51528088757824
6,30,11,0,0,0,6,19,136.00100754254032
7,31,8,1,0,1,9,17,123.98382358819592
8,32,8,1,0,0,8,22,148.4218000324106
10,33,9,1,1,1,10,19,137.8818214363862
8,30,12,1,0,0,9,16,119.9452950226454
11,28,9,0,0,0,4,15,119.20261434282769
5,34,9,0,0,0,10,17,123.3415501911903
11,32,4,0,0,1,8,21,142.53350189247465
4,29,3,1,0,1,9,24,151.7658499435865
6,28,10,1,0,0,8,20,143.26731714696692
7,30,6,0,1,0,9,21,139.38352002175387
9,27,5,1,0,0,6,21,142.80512116087664
9,30,4,1,1,0,5,18,126.96447003610191
5,31,7,0,1,1,13,23,153.23671800681495
4,27,7,0,1,0,8,21,143.46181410695186
10,34,10,0,0,0,6,13,105.42319492991784
6,30,10,0,1,0,9,18,129.28280719208465
11,31,9,0,1,0,11,18,129.3862468529888
10,30,8,1,0,0,7,18,130.2771083542706
10,28,9,1,1,0,6,15,118.92349021553916
11,26,7,1,0,0,9,20,140.95700671459855
7,34,9,1,1,0,9,17,123.44085934221714
8,29,8,1,0,0,7,21,144.81816273463386
10,29,8,0,1,1,11,18,128.58616887304123
2,29,3,0,0,1,9,27,165.59642903992116
6,29,6,0,0,1,11,22,147.4922867999359
8,28,5,0,0,0,8,21,137.63948819430223
11,31,11,1,0,1,7,17,129.38566249948212
10,34,9,1,0,0,8,16,120.19306225889412
12,29,11,1,1,0,8,15,120.662668788039
11,26,5,1,1,0,7,20,142.1561469361425
12,33,11,0,1,0,7,14,113.0196851494584
13,28,7,1,1,1,12,19,136.9502840776499
11,29,10,0,1,1,10,16,122.37172307504284
8,34,12,0,0,0,10,16,119.818785649273
8,27,8,0,1,0,8,18,131.57366134845924
7,33,10,1,0,0,8,17,127.59585647152473
9,30,7,1,1,1,10,20,138.25596827396134
13,27,9,1,0,0,6,13,107.15274468545036
11,28,10,1,0,0,7,18,133.30231426939278
10,35,7,0,0,0,9,22,145.73214904606127
4,28,7,0,0,1,7,21,140.4593804016534
7,30,3,1,0,0,12,26,161.18470223745842
10,33,7,0,0,0,7,19,133.9654146205637
13,32,10,1,1,0,9,15,119.19617144518116
11,30,5,0,0,0,10,20,134.49736145953284
7,29,12,0,0,0,10,19,136.72008719933788
12,31,7,1,1,0,8,18,128.6781340131193
7,30,12,1,0,1,8,16,124.38674873400956
8,24,10,1,1,0,10,18,130.4944879036969
8,32,4,1,0,0,9,20,135.46322192224295
9,31,10,0,1,0,8,16,121.75415362248847
9,30,7,1,0,1,8,21,143.0478032042385
11,29,6,0,0,0,8,17,120.2054285218575
9,29,4,0,0,0,8,23,152.3126137241717
13,29,6,1,0,0,10,22,151.07858141509496
10,31,13,1,0,1,9,15,122.9180216798938
9,32,7,1,1,0,9,17,124.3663315775074
12,33,7,1,1,0,8,18,131.08384163412205
