defendant_age,years_of_experience,severity_of_crime,previous_convictions,legal_aid,plea_bargain,community_service,restorative_justice,recidivism_rate
20,24,1,17,0,0,1,0,78.83265723179247
16,21,5,19,1,1,0,0,81.73596011740202
11,28,4,18,0,0,1,1,87.26781402362192
11,27,7,21,0,0,0,0,81.55359335442519
22,25,5,8,1,0,1,0,80.89822994923998
18,26,4,18,1,1,0,1,91.3054153908712
8,28,4,14,0,1,0,1,84.25968373645506
32,16,2,13,1,0,1,1,89.23188184539923
24,28,4,14,1,0,0,1,91.86510551849072
27,27,5,24,0,1,0,1,99.59649837262866
34,22,7,12,1,0,1,0,88.81078298704178
36,28,3,18,1,0,1,1,100.14792638912677
41,25,5,9,0,1,0,0,92.51007340262484
28,19,6,25,1,0,1,0,91.68152121342558
28,25,8,15,0,0,0,1,97.47099448009686
24,24,6,15,0,1,1,0,87.66964636220706
2,25,6,10,0,1,0,0,71.25138650711918
26,20,6,17,0,1,1,1,95.74480065560924
21,28,7,18,0,1,0,0,87.54243004229654
11,22,5,24,0,1,0,0,81.6208737605022
28,21,7,20,0,1,0,0,89.96382203372471
19,17,5,19,0,0,0,0,81.23433042205374
30,23,7,12,0,1,1,1,95.86401546649392
13,20,3,21,1,0,1,0,78.18056219914449
15,23,5,21,0,0,0,0,81.25808958394623
22,20,13,12,1,1,1,0,88.4419326015161
26,27,8,14,0,1,0,1,96.75184426438854
25,24,4,14,1,0,1,0,85.26898331811111
21,26,13,19,1,1,1,0,92.77813137178494
21,23,7,14,0,0,0,0,82.22865603944564
32,24,4,16,0,0,0,0,89.66019827940134
33,18,5,12,1,0,0,1,94.05542660963914
15,17,5,10,0,0,0,0,73.51160953206978
32,29,6,17,0,0,0,1,101.93158421804074
23,29,6,16,1,0,1,0,86.03910718101866
29,22,3,16,0,0,1,1,93.7146420416947
33,25,7,16,1,1,0,0,93.07580399215516
49,18,4,15,0,0,1,0,97.66201087107572
20,25,7,14,1,1,0,1,93.67616760715372
35,26,7,7,0,0,0,0,88.94817380968664
26,26,6,15,0,1,0,1,95.80138103216645
34,26,6,20,1,1,0,1,103.44385715194984
17,36,6,11,0,0,1,1,90.4294047877723
33,21,7,9,0,0,1,0,88.95555531027725
29,23,5,12,1,1,0,0,87.55387655285196
32,25,4,22,1,1,0,0,94.52228164020832
40,20,7,16,0,0,0,0,95.7675902394779
33,23,7,22,1,1,1,0,95.9722172868102
33,25,2,18,1,0,0,0,88.90284538852036
30,24,8,17,1,0,0,1,98.42965738195792
23,21,6,12,0,1,0,1,91.02104514310582
13,25,6,16,0,0,0,1,88.34912937368401
28,18,11,11,1,0,0,0,88.49677273357119
32,25,5,12,0,0,1,0,89.24524538128803
44,16,10,16,1,0,1,0,100.1616274696428
25,20,5,12,1,0,1,1,90.28012595363326
24,20,3,15,0,0,0,0,81.78566807912853
23,30,2,16,0,1,0,1,92.42209655422974
32,23,8,17,0,0,1,1,99.8388151732507
20,25,8,5,1,1,0,0,81.42121554514802
18,26,2,7,0,1,1,0,77.06260810503585
35,26,4,20,0,0,1,1,100.99753358226516
36,23,3,14,0,1,0,0,89.36144077183673
19,18,5,24,1,1,0,0,86.04149035376501
12,27,3,19,0,0,0,1,87.12867845694551
22,22,5,10,0,1,1,1,87.96784039286707
33,29,8,21,1,1,0,0,97.18394359596792
21,26,3,17,0,1,0,0,83.26986835235533
30,19,4,15,1,0,0,1,92.6268658005782
40,20,6,11,1,0,1,0,91.27406171697464
24,22,9,19,0,0,0,0,89.53891874657124
27,20,0,22,0,0,0,1,91.29965497614069
27,21,3,20,1,0,0,1,93.74283833370696
31,25,7,17,0,0,0,1,98.53363961931244
41,32,6,13,1,1,0,0,98.5090637851434
36,26,0,15,0,1,0,0,89.69771882945321
20,17,6,15,0,1,1,1,91.09165625625174
26,22,6,12,0,1,0,1,92.32113690962744
32,29,0,15,1,1,0,1,95.91553403209366
35,22,7,18,0,0,0,0,91.41920533156204
17,21,6,13,1,0,0,1,89.01731772908907
30,19,7,14,1,1,1,0,89.16897907912201
24,23,9,10,1,1,1,0,85.95576194698978
32,26,4,15,0,0,0,1,97.31349366309452
11,29,5,15,0,0,0,0,78.7464834888783
20,26,4,7,0,0,1,1,85.83810771622089
1,23,5,19,1,1,1,0,75.138823573676
23,21,1,11,1,1,1,1,88.06326922498286
33,22,3,4,0,0,0,1,90.23665939252264
46,16,6,10,1,0,1,0,94.7221120313852
11,29,3,17,0,1,0,0,78.25690081744116
38,18,6,26,0,1,1,1,104.92632761521604
11,18,0,19,0,1,0,0,73.51325705394969
24,29,5,17,1,0,0,1,95.18318928947797
18,19,2,12,1,0,1,0,75.54265081332564
25,18,9,15,0,0,0,1,92.1331137161234
20,22,6,19,1,0,1,0,86.31367752941028
19,22,4,14,1,0,1,0,80.11263413682353
22,23,6,21,1,0,0,0,87.89910687461804
30,28,1,16,0,0,1,1,94.39488318257509
16,23,3,19,0,1,1,1,90.48177031709167
0,23,7,23,1,1,0,0,78.01867790796946
14,32,5,20,0,0,0,0,82.66365267417511
28,30,2,13,1,0,1,0,85.50376459215765
36,20,7,16,1,0,0,1,100.70811977573672
24,15,4,11,0,0,1,0,77.07885746390158
13,24,5,17,0,0,0,0,77.62475495172161
46,22,6,6,0,0,1,1,100.63716793294267
38,32,6,18,1,1,1,0,99.13838838197309
21,29,7,16,0,0,0,1,93.70877093122408
19,24,6,21,0,1,0,0,88.11803880246366
3,23,4,19,0,1,1,0,73.6861728606345
19,18,5,8,0,0,1,0,75.95467646001279
13,29,5,16,0,1,0,1,88.34608494472185
36,21,3,14,0,0,0,0,87.21619548746206
30,16,4,24,1,0,1,1,98.9530254068944
21,25,6,15,1,1,1,0,85.20307207814578
30,20,4,21,1,0,1,1,98.24831434376124
15,20,12,16,0,0,0,0,82.412891189812
4,24,2,12,0,1,0,1,78.52654240646847
25,18,7,17,0,0,1,0,86.20269723880057
30,28,7,12,1,0,1,0,89.69962656279739
26,28,7,18,1,1,0,1,97.66470044018324
22,25,8,16,0,0,0,0,86.47276286059696
29,20,5,22,1,1,0,1,98.94405820455296
35,19,6,17,0,0,1,0,91.60496328784272
23,26,7,19,1,0,1,1,97.39148124514696
43,19,3,16,1,0,0,0,93.25009166480518
23,21,6,22,0,1,1,1,96.51090192828978
30,19,2,10,0,1,0,1,91.18019763400136
9,18,7,15,0,0,1,0,73.75520381612914
25,22,9,19,0,0,0,0,89.49752963302195
21,23,4,12,0,0,0,1,88.11582428519185
10,23,2,16,0,1,1,1,82.58069984920634
39,22,3,21,0,0,0,1,100.30077383688864
11,20,0,18,0,0,0,0,74.88114372812055
19,20,9,25,0,0,1,1,96.77424450271587
36,17,6,15,1,1,1,0,90.6603768510978
21,18,8,12,0,1,1,0,82.57438486417809
35,23,7,23,1,1,0,1,105.32540408837966
25,16,8,19,1,0,0,0,87.66020877366314
45,18,7,16,0,1,1,1,103.99610992403908
8,26,6,18,1,0,0,1,84.45179982997514
24,17,4,5,0,0,1,0,77.48339425409607
14,20,8,19,1,1,0,0,82.65644755347853
10,30,3,18,0,1,0,0,77.8658808693779
23,24,4,17,0,1,1,1,91.07181084820692
15,21,7,16,0,0,0,0,78.81474178821763
16,23,4,15,1,1,0,1,87.64881648705094
10,19,2,19,0,0,0,0,72.98186613938763
27,25,6,15,0,0,0,0,86.87984788137156
29,24,5,19,1,0,0,1,94.81786947142892
21,23,8,12,1,0,0,0,82.93465143301765
24,24,7,18,0,1,0,1,96.55349920715572
22,20,4,15,1,1,0,1,89.01833157366148
3,18,7,23,1,0,0,1,85.72122178113104
33,22,7,11,0,0,0,0,87.1932313481222
19,34,7,16,0,0,0,0,86.7218452976796
7,32,4,17,0,0,1,1,86.11286227589349
19,27,4,12,0,0,0,0,80.76344068862609
18,30,6,12,1,0,0,0,81.77413701225498
21,21,6,17,0,0,0,1,92.12786604255407
13,25,7,16,0,0,0,0,80.23737906520165
19,26,5,20,0,0,1,1,92.47408407316578
15,22,9,17,0,0,1,1,89.78776714428685
5,22,4,11,0,0,0,1,78.70152842221165
30,22,7,9,1,1,0,0,86.80730108082595
35,33,6,14,0,0,0,0,94.13222867476964
35,20,6,15,0,0,0,0,89.44786277757001
37,19,7,12,0,0,0,1,98.76369909647865
43,21,5,12,0,1,0,1,102.03319406624136
24,20,5,11,1,0,1,1,89.57630804004543
14,22,4,17,0,1,0,1,86.46671326851462
25,17,5,16,0,0,1,0,81.56145971671307
27,32,3,15,0,0,0,1,94.60372593681328
33,22,8,25,1,1,1,1,104.745188583982
41,19,9,14,1,0,0,0,97.22507905594205
21,20,5,19,0,0,1,0,83.31988158009426
34,26,6,11,1,1,0,1,99.97394635956438
20,24,9,11,0,1,0,0,82.97811176582876
17,28,8,12,0,0,0,0,80.42151321818413
13,22,8,17,0,0,0,1,87.58376453404131
20,27,4,12,0,0,1,1,88.88858617420175
12,24,6,11,0,1,1,0,78.3661900858508
14,21,9,12,0,1,1,1,88.63108477582193
39,25,8,17,1,0,1,1,105.1849862438762
25,18,3,19,0,1,0,0,84.79166991128042
30,22,4,16,0,0,0,1,94.16396063868687
25,18,7,23,0,1,0,0,88.98211688764763
18,20,5,17,0,1,0,1,90.7300816036204
35,20,1,16,1,0,0,1,96.67056272138018
39,27,2,8,1,0,1,1,95.75641895035524
12,27,9,21,0,0,0,0,82.72098653467901
21,32,6,11,0,0,1,1,91.0809106974466
14,21,2,9,0,0,1,0,72.5207758510097
28,21,7,18,1,0,0,1,97.18662709635456
7,32,8,19,1,1,1,1,90.63418968123273
25,21,6,29,0,0,0,1,99.86155127013332
2,26,5,10,1,1,0,1,79.07663943928873
25,22,4,17,0,0,0,1,93.1317253792992
22,22,8,18,1,0,1,0,87.01394127661
31,26,8,23,1,0,1,1,103.91373105833708
24,19,6,16,0,0,0,0,83.21172080938497
48,23,1,21,0,0,0,0,97.64985229082448
24,18,3,9,0,0,1,1,85.81760589174141
36,29,2,17,1,0,1,1,100.42118246061403
25,21,7,14,0,0,1,0,83.10935448133891
11,24,5,9,0,0,1,1,80.39292066502301
30,28,3,22,1,1,0,0,92.15970341924934
23,28,7,16,0,0,0,0,86.02692807215608
32,28,2,14,0,1,1,0,86.83284678428807
18,20,6,6,0,0,0,1,83.72916900874351
10,20,6,18,1,0,1,0,78.1745255580465
14,20,4,16,1,1,1,1,88.32485982665834
15,21,4,11,0,0,0,1,83.79704101251241
36,25,5,11,1,1,0,1,100.51579585388085
35,23,3,10,1,1,0,0,88.91427826890265
17,24,6,24,0,0,0,1,93.08641968538195
21,17,8,17,0,1,0,1,90.68917178564595
5,20,5,22,1,1,0,1,84.33911327036562
33,21,5,17,0,1,0,1,98.031861303511
28,34,4,13,0,1,1,1,98.18857266857782
28,28,5,18,1,0,1,0,89.48549471184361
17,27,9,21,0,0,0,0,85.71255952044544
21,28,0,12,1,0,0,0,80.38613778257626
32,19,8,5,1,0,1,0,84.23277835772502
22,25,3,15,0,0,1,1,91.78099427318595
20,23,6,23,0,1,0,1,95.40244340531471
21,20,8,8,1,0,0,1,87.75685821558271
21,26,7,20,1,1,1,1,97.30763354408988
28,20,6,24,0,0,0,0,90.38040217278493
43,28,5,21,0,1,0,1,107.79723771637283
24,14,5,21,0,0,1,0,83.82529695660365
23,25,4,20,1,0,0,1,92.83268398472528
14,19,7,19,0,1,1,0,82.11322358180104
25,21,8,15,0,0,0,0,84.78960339446493
15,18,0,21,0,1,1,0,78.20364170276355
12,28,6,10,0,1,1,0,79.09436571520577
20,25,10,9,0,1,1,1,92.46104294443036
20,27,6,12,1,0,0,1,90.44132823640528
25,25,5,16,0,1,0,1,94.72808452195888
34,26,9,21,0,1,1,0,99.87560241522476
32,21,4,24,1,0,0,1,101.19660742868956
20,25,5,26,0,1,1,0,87.91211493210452
32,18,3,14,0,1,1,1,92.41591672540976
25,26,7,22,0,0,0,0,89.94212028907013
37,11,7,24,0,0,0,0,93.1423703299599
21,25,4,9,1,0,0,1,89.72721038200469
32,26,7,14,0,0,1,0,92.15776103993645
16,24,6,15,1,1,0,0,81.65089412636638
23,25,5,13,0,0,1,0,82.2425082332776
25,23,5,18,1,1,0,0,86.45929687285917
21,27,10,19,0,0,1,0,88.90827741038076
20,15,9,15,1,1,0,1,91.73652813766826
27,31,0,12,0,0,1,1,90.43955044145446
8,19,4,12,1,0,0,1,78.66113174477064
41,26,5,15,1,0,0,1,102.6302151031862
22,24,8,22,1,1,1,1,98.17764085525369
6,28,9,9,0,0,1,1,83.20709261108962
29,21,5,17,0,1,0,1,95.86693086793352
2,24,4,13,1,0,1,1,77.61557514766905
20,28,7,20,1,1,1,1,98.57619107322964
48,24,4,15,0,0,0,0,98.11654502661258
19,23,12,16,0,0,0,0,88.36492751587609
24,23,6,18,1,0,0,1,95.74919083427366
3,24,2,13,1,0,1,0,70.70777247458119
26,21,3,16,1,1,0,0,85.60888278845911
21,29,3,24,0,0,0,1,93.6333935182211
23,24,5,14,1,1,1,1,92.63834579174888
30,28,6,19,0,1,1,1,99.20102060960372
16,21,5,20,0,0,1,0,78.71966265512995
29,24,6,23,0,1,1,0,93.64490888211176
24,22,6,17,0,1,0,0,84.72239034728418
21,25,5,10,0,0,1,1,89.17822306033605
30,23,7,13,0,0,1,0,89.4981046299401
41,30,4,14,1,0,1,0,95.27277050659951
11,28,5,19,0,1,1,1,88.61445031628945
35,27,6,14,0,0,1,1,99.46407976178207
19,21,2,15,0,0,0,1,85.50782870319686
15,28,5,15,0,0,0,1,85.86361177078612
25,21,2,7,0,0,1,1,85.98645409030406
26,25,9,21,0,0,0,0,91.37997883746723
28,26,3,16,1,0,0,1,94.44730169508009
5,22,6,12,1,0,0,1,79.32789935578715
33,29,3,11,1,0,0,1,94.4551016854437
15,24,7,19,0,0,0,0,82.50116369226205
26,19,6,17,1,1,0,0,88.18468961748913
24,14,4,17,1,0,0,0,81.53606788379561
18,30,3,23,1,0,1,1,94.2664176986836
-2,24,7,9,1,1,1,0,67.65044055194053
35,24,5,16,0,0,1,0,91.1352097290562
12,23,4,15,1,1,1,0,76.1137390585349
20,27,5,11,0,1,0,0,81.1097119602347
13,27,3,15,0,0,1,1,84.73392474669947
23,21,2,13,0,0,0,0,79.48588086177051
34,24,6,20,0,0,1,0,91.81457215009898
13,23,4,7,1,0,0,1,81.04238059485894
42,24,0,18,0,0,1,0,93.18659980629155
31,27,8,4,1,1,1,0,87.80205437544714
16,26,7,14,0,1,1,0,80.77920315110951
31,30,2,14,0,1,0,0,88.83095499487474
9,26,5,25,1,0,0,0,81.9628656672132
7,23,3,16,1,1,0,0,73.23358580058208
14,22,3,23,0,0,0,1,89.25793159446175
24,30,5,20,1,1,1,1,97.77274275220984
20,20,6,22,0,1,0,0,84.54622223738323
28,28,6,14,1,1,0,1,98.34792328000536
24,19,5,11,0,0,0,0,79.18910439676138
15,24,1,19,1,1,0,0,80.47279520366202
26,29,6,20,0,1,1,1,98.85716524259443
24,23,7,9,1,1,1,0,84.90322775580594
26,18,6,17,1,1,1,1,93.60032331546336
31,32,12,17,0,0,1,1,105.4381396862635
30,20,5,27,1,0,1,1,99.84479649027
20,25,7,15,1,0,0,0,84.98852554011258
21,20,9,13,1,1,0,1,92.10640812678184
27,21,8,22,0,1,0,0,91.44854764544314
32,25,4,11,0,0,0,1,93.14717196661972
32,19,7,8,0,0,1,1,93.30447867743992
18,18,7,16,1,1,1,1,91.24205183446604
35,19,3,22,1,1,0,0,92.86155199776474
22,21,6,10,0,0,0,0,80.62476369405796
16,23,6,17,1,1,0,1,91.6002054011202
34,24,9,19,0,1,0,0,95.24915284553934
35,21,4,8,0,0,0,1,93.97146660644547
21,25,5,17,1,1,0,1,93.6360086163102
29,24,8,17,1,0,0,1,98.93415287661291
18,22,5,20,1,1,0,1,91.919086542146
30,20,8,13,0,1,1,0,87.07366187337993
25,23,7,12,1,0,0,0,85.68986896836053
18,23,2,17,0,1,0,1,88.49074139230173
35,21,8,15,0,0,0,1,98.9608414016025
16,27,2,23,1,1,0,0,84.52837144294769
25,31,6,28,1,0,0,1,104.79533301562772
28,18,6,14,1,0,1,0,85.19144326672362
31,25,4,15,0,1,1,0,88.85908730395643
13,31,4,12,1,1,0,0,79.58434847148834
46,21,3,16,1,1,0,1,103.2999725735375
21,24,5,15,0,1,1,1,91.86225304675796
36,26,2,21,1,1,0,0,94.93847151789804
26,21,6,16,0,1,0,1,94.39124276407765
11,15,7,19,0,0,0,0,75.35844901171578
23,20,9,19,0,0,1,1,94.41905454746582
30,23,7,17,0,0,0,1,97.25072302982434
32,23,7,14,0,1,1,0,90.3928170520401
15,23,10,16,0,0,1,0,83.03210034221075
32,21,7,13,0,0,0,1,94.8617078105516
22,26,3,12,0,1,1,0,83.66532941576185
47,22,4,10,1,1,0,1,103.4927543581062
14,17,9,14,1,0,1,0,78.82973731950368
8,26,5,16,0,0,0,1,84.76104611732869
10,17,8,18,1,0,1,1,85.65345021137274
18,21,5,14,0,0,0,1,87.74615411754704
21,21,6,17,1,0,1,0,83.88887728274013
14,26,4,13,1,0,1,0,76.98969742408838
23,26,2,17,0,0,0,1,92.17989955232495
27,22,8,16,1,1,0,0,87.98300131507561
27,24,6,22,1,0,0,0,91.08641810977156
26,21,8,19,0,1,1,1,97.66870236398005
23,25,1,15,0,0,0,0,78.11294725116575
51,23,1,14,0,1,1,1,104.07824058288108
15,25,8,9,0,0,0,0,79.34240311896653
14,28,5,9,1,0,1,0,77.00027834374866
30,25,8,19,0,0,0,1,98.19059301088942
30,27,5,12,1,0,0,1,95.30636432269796
22,26,5,17,0,1,0,1,93.56457834449014
18,24,5,25,0,1,1,1,95.58021717560388
21,23,4,11,0,1,1,1,88.85499443585897
27,23,5,18,0,0,0,0,88.41935615057326
20,22,2,18,0,0,0,1,86.0918404328407
19,27,4,15,0,1,1,1,90.643200842787
18,24,6,20,1,1,1,1,95.00712553996722
15,22,3,16,1,0,0,1,84.48460506710725
24,18,5,19,0,1,0,1,94.17602292722891
41,27,4,10,1,1,1,0,93.95681214278704
30,18,6,18,0,0,1,0,88.37512114799092
19,22,6,18,1,0,1,1,92.88851520114856
12,27,6,17,0,1,0,1,87.23470874411393
21,23,12,10,0,0,1,0,85.5624436915748
16,25,7,14,0,1,0,0,81.57321111124253
38,28,3,23,1,0,1,0,96.6594727090792
42,25,9,15,0,1,1,0,98.26884027920488
13,21,6,18,0,1,0,0,80.18933228665557
21,18,5,10,0,1,0,1,87.51726999503121
28,27,4,18,0,1,1,0,88.86135065978081
23,26,8,18,0,1,1,1,98.02240042850276
27,29,7,16,0,1,0,1,99.81642672653471
29,25,7,12,0,1,0,0,87.47501949843775
32,27,9,17,1,0,1,1,104.50845370318352
26,24,7,15,0,1,0,1,95.75326420140668
25,22,8,13,0,1,0,1,96.05117795598817
6,20,5,11,1,0,1,0,73.03940731169095
35,24,9,13,0,1,0,0,94.43147173137226
14,21,4,18,0,0,0,0,77.42557387709832
26,22,4,18,1,0,0,0,86.63211930825047
13,19,6,10,1,0,1,1,82.05748531297584
22,26,2,12,0,0,0,1,87.46886983613922
27,26,8,11,1,0,0,0,87.59535184154545
41,17,0,18,0,1,0,0,89.53883041572585
16,22,3,9,0,0,0,0,74.46691876270428
21,25,5,17,1,0,0,0,84.42157787498255
35,26,6,13,0,0,0,1,98.78113502708246
41,26,4,14,0,0,0,0,94.06634025581631
39,19,4,11,1,0,1,1,95.17249594117143
36,23,7,23,1,0,1,0,96.87098885666036
23,23,7,13,1,0,0,0,86.21215199947272
27,28,6,20,0,1,0,0,90.1198805360446
16,20,8,13,0,0,0,1,87.8484060814503
24,20,6,21,0,1,0,0,87.38953549799368
20,25,9,14,1,1,0,1,93.61163092366846
40,19,6,14,0,1,0,1,101.20928067891673
36,25,5,17,1,0,0,1,101.9109530453304
23,25,7,13,0,0,0,1,92.67033218832212
4,25,6,17,1,0,0,0,74.3151791861606
24,25,3,24,1,0,0,1,94.30237171301154
26,22,5,10,0,1,0,0,83.93480632689382
19,29,2,10,0,0,0,1,85.95223721420832
28,22,3,9,1,1,0,1,90.48199510371374
33,28,6,22,0,0,1,0,94.71246998345268
33,22,7,16,1,1,0,1,101.57308947760389
12,28,7,18,0,0,1,0,81.80712658666533
18,26,6,7,1,0,1,1,87.03986265805842
16,26,4,24,1,1,0,1,93.72729990498657
28,19,4,12,1,1,1,1,91.58504908788844
33,25,6,12,0,1,1,1,97.67392680845884
30,26,9,17,0,1,0,1,100.26388974455196
24,31,7,22,1,1,0,1,100.3184457714578
34,27,4,17,0,0,0,1,98.88731876210892
30,24,6,18,1,1,1,1,99.58202272628137
8,20,4,19,1,0,0,1,82.83174229852074
28,24,6,8,0,0,1,1,91.40007171660604
16,19,5,16,0,1,1,0,80.00592855512458
28,22,3,18,1,1,0,1,96.14631244751678
43,18,8,14,0,0,1,0,96.04828324456156
27,24,5,19,0,1,0,1,96.5896445047118
23,27,8,12,0,1,1,1,94.23828587172746
27,23,7,18,1,1,1,0,91.56156461804248
32,23,10,15,1,0,0,0,91.71043982638034
31,28,5,13,0,0,0,1,95.28933967982996
25,23,5,10,0,1,0,0,84.06349435318513
25,24,8,10,0,0,0,0,85.47132967103029
18,31,6,12,0,1,0,1,90.27612321264058
24,21,5,17,0,1,1,1,92.97247976276364
29,19,2,18,0,1,0,0,86.77227674379269
13,20,10,15,0,1,1,0,79.97457157171945
27,25,9,21,0,0,0,0,91.55762908800794
28,31,4,21,0,0,0,0,90.63021333052926
33,25,7,15,0,0,0,1,99.20567528347776
6,28,6,17,0,0,0,1,84.98731559759636
24,19,10,7,0,0,1,0,82.2587373847548
21,17,4,11,0,1,0,1,88.6580540535621
18,21,4,11,0,1,0,1,85.64334677579049
21,32,3,10,0,1,1,0,82.46249840848772
18,19,8,14,1,1,0,1,91.3034788458882
22,22,8,6,1,0,1,0,81.90950802276512
10,24,4,14,0,0,1,0,74.73720667030234
20,20,7,15,1,0,1,0,84.22418243507653
8,18,4,17,0,0,0,1,82.14661423410303
15,16,5,20,0,1,0,0,80.79061946818885
29,29,8,8,0,0,0,0,87.11696011229034
24,23,5,13,0,1,0,0,85.6042687138425
12,26,5,18,0,0,1,0,79.03092503700002
19,25,9,18,0,1,0,0,87.16677616989317
23,33,2,20,0,1,0,1,95.20120840603737
31,24,4,18,0,1,1,1,99.05039015683782
12,18,1,17,0,0,0,1,82.18914365901472
20,20,3,21,0,0,0,1,89.57927002741584
4,26,7,12,1,0,0,0,72.7698149851472
41,25,7,17,0,0,0,1,103.43004594871364
21,20,9,13,1,0,0,0,82.76540598592835
39,29,9,25,0,0,1,0,104.45136701805431
31,25,3,11,0,0,1,1,93.36218790653136
18,27,10,21,0,0,1,0,87.59374686462283
18,22,4,10,1,0,0,0,76.73867809381437
24,26,7,14,1,0,1,1,94.22963449141568
30,29,7,19,1,1,1,0,95.30006187660396
35,29,7,23,1,0,0,1,105.46954478971529
43,15,5,12,1,1,1,1,101.19176778946658
25,26,6,14,1,0,1,1,93.40810959023712
34,17,5,13,0,0,1,1,95.38444195689752
24,23,6,12,1,0,0,1,91.2703246823852
23,28,4,19,0,0,0,0,86.11394889838542
22,27,3,14,0,1,0,0,83.92988370690014
18,34,8,23,1,0,1,0,90.02104896732811
14,24,8,23,1,1,1,1,96.31723738585588
20,20,5,16,1,0,0,1,88.89349780674087
33,24,6,13,0,1,1,0,90.77938785073962
28,20,2,12,0,0,0,1,88.41245065970541
15,24,5,7,1,0,0,0,77.89479855381403
14,24,6,14,1,1,1,0,78.96663894382823
40,20,1,14,1,1,0,1,97.10422699472416
19,23,6,10,1,0,0,1,87.70627982721675
34,20,7,15,1,0,0,1,98.0253413522649
27,28,3,20,0,1,1,0,90.44062276168071
11,17,5,21,1,0,0,1,85.02636770885124
21,27,6,16,1,0,1,1,94.23701094874352
29,25,6,9,1,0,0,1,93.92322214591596
40,24,2,20,1,0,1,0,93.7092502023756
12,28,1,22,1,0,0,0,79.15103133736858
16,21,1,18,0,1,0,1,86.82413967310922
