student_age,parent_education,school_quality,household_income,gender,minority_status,local_tutoring_budget,tutoring_intensity,student_performance
16,36,4,12,1,1,13,45,481.9307484473812
7,34,6,15,0,1,12,43,460.8147704737727
13,30,11,14,1,1,12,45,482.2274072244194
12,31,5,14,1,0,9,42,454.80715185511366
12,27,6,18,1,0,8,38,412.7758068763516
10,28,2,15,1,0,11,40,436.3764073914741
5,32,9,16,1,1,9,43,461.3971390696226
10,33,12,14,1,1,12,44,470.0024179105873
11,29,13,16,0,0,12,43,462.62684913245175
10,25,4,13,1,0,11,39,425.4334435964005
8,30,9,16,1,1,12,43,462.8031661288615
13,32,7,10,1,1,14,46,491.3039269322435
8,31,7,17,1,0,13,45,483.39031769481977
11,32,9,12,1,1,12,46,493.9633800867513
8,30,7,16,1,1,12,42,451.72563027287856
6,30,8,14,1,1,10,45,485.36199118895536
12,27,7,14,1,0,9,42,453.7830391919471
14,27,7,17,1,0,13,41,439.6850395270463
8,31,5,8,1,0,14,42,454.4676594347696
13,28,7,19,1,1,10,43,464.7678912408568
15,34,11,11,0,1,7,45,482.4693214627134
11,30,9,11,1,1,9,43,463.4528487204413
10,29,6,12,1,0,13,42,451.1974588127312
8,27,10,15,1,1,11,43,461.89784044510907
9,29,9,15,0,1,15,45,480.11495971777725
11,29,5,12,1,1,9,42,453.83892633133286
9,32,5,13,0,0,15,43,464.3770862074924
11,33,9,13,0,0,8,40,430.5786983631861
8,30,5,17,0,0,10,41,443.35473477711065
11,28,11,14,1,0,11,46,493.6061084389227
9,28,9,11,1,0,11,42,450.3751077433702
9,27,6,13,1,1,13,44,472.5091214920774
12,27,5,18,1,0,11,42,452.5645928178587
10,30,3,11,1,0,13,43,462.5540456028392
13,32,7,14,1,1,12,44,472.6898707845571
10,29,5,14,1,1,12,40,430.8793094652097
5,27,9,12,1,0,7,40,436.4036677165605
12,32,7,16,1,0,10,44,474.21064724123966
6,32,4,16,0,0,11,40,432.32946310614375
4,31,4,12,0,1,13,40,430.9437023935995
10,28,4,12,1,1,16,45,486.5355461954608
7,31,5,10,1,0,13,41,442.2070759910334
14,27,8,15,1,1,11,44,470.93198651709565
11,32,6,12,1,1,9,41,441.9647888385641
10,29,3,13,1,1,10,41,444.04632530755015
14,28,7,15,0,1,15,45,481.22879855210886
10,33,9,15,1,1,11,43,462.2857728755079
14,25,6,13,0,1,11,43,461.0822268977776
6,34,9,11,1,1,9,44,472.2434775081648
9,27,8,17,1,1,13,42,451.0666417854138
12,29,15,16,0,0,12,47,496.2617854077507
10,27,4,16,1,1,14,43,463.2844881753414
8,28,8,17,1,0,14,44,473.4052218013224
7,29,4,13,1,0,9,40,434.67928980156125
11,28,7,15,1,1,13,42,451.2043473727619
13,29,10,11,1,0,14,46,494.2807398953692
9,27,6,15,0,1,7,38,411.49157458756656
11,28,6,13,0,1,7,40,431.5596676495815
5,30,11,15,0,1,13,43,458.5691950212697
11,33,8,20,1,0,12,41,440.6224129235184
12,31,1,15,0,1,15,46,493.706452406621
8,31,4,11,0,1,11,40,430.85300033224365
9,34,8,13,0,0,10,42,450.58673354804944
13,30,5,14,0,1,12,44,470.6827317479333
9,28,8,13,0,0,11,42,452.1502016081173
6,28,10,14,1,1,10,41,441.9340324509272
7,33,5,16,1,1,17,44,471.8895357256251
5,35,3,13,0,1,11,44,475.647967667968
8,31,6,14,1,1,13,46,495.7011356274862
8,31,10,14,1,1,12,46,494.5554970471654
6,30,5,10,1,0,11,41,442.8832151230348
12,29,10,10,1,1,10,45,483.2565303851886
10,25,8,16,0,1,13,45,481.98011104202885
13,28,8,13,0,0,12,43,463.2150596063596
9,31,7,18,1,1,8,43,462.86643994134937
14,28,8,10,0,1,9,45,484.5155119120142
12,25,14,12,1,1,10,44,471.701022946158
11,28,9,14,1,1,10,42,450.9431222851124
9,31,6,14,1,1,12,43,464.62401846939287
12,28,7,17,1,1,8,39,418.9687414716897
11,29,2,14,0,1,11,39,423.8901670832481
11,31,5,12,0,1,12,43,463.7830545665453
9,29,1,14,1,1,9,40,434.7475055502733
14,28,9,15,1,0,13,45,483.6255956513105
7,30,6,19,1,1,12,45,481.6372918895659
5,24,5,12,1,1,14,44,474.12781383597417
8,31,9,11,1,1,8,41,441.7087595807934
8,32,8,16,0,0,15,43,459.87609496057394
9,31,11,11,0,1,12,44,475.24875438408367
13,27,9,15,0,1,8,41,441.277178082681
14,29,10,11,1,1,13,45,480.6030772185964
5,28,7,14,0,1,9,42,453.8084369094356
7,29,9,14,0,1,10,41,441.1439995567406
10,29,7,18,1,0,10,41,443.87761742971554
5,31,10,13,0,1,12,42,452.93432630189255
12,33,9,17,1,1,10,43,460.4559239534213
11,33,2,10,1,0,11,41,442.8540203371036
6,21,8,15,0,0,14,41,443.9636437926848
7,28,2,14,1,1,14,44,476.45112445670304
10,27,3,16,1,1,11,40,431.892074358854
4,29,10,13,1,0,12,45,484.9296632749843
7,29,9,15,1,1,12,44,470.4481689687165
14,31,9,15,0,1,12,45,483.1530553531434
11,29,2,13,1,0,13,41,445.3824997445537
13,27,4,17,0,0,13,39,421.2530958246087
2,30,12,15,1,1,15,44,471.5943276661095
9,29,6,11,1,1,12,43,462.71464505671946
11,29,7,8,0,1,12,43,464.3635836430126
10,30,7,13,0,0,11,41,444.5394802269437
8,29,11,11,1,1,11,44,473.6671820171884
14,32,8,11,1,0,12,42,454.0844411060528
8,31,13,16,1,0,13,46,493.14063392626014
8,34,7,14,1,0,10,42,452.68518340418206
12,23,9,12,0,1,14,42,451.43433028425454
8,30,10,17,0,1,11,42,449.909061519325
4,31,6,17,1,1,11,42,454.55928379778834
13,32,10,14,1,0,11,43,462.0738972566053
6,29,14,15,0,1,12,45,479.5669939783485
8,27,4,12,1,1,10,39,421.9980226656099
11,28,8,16,0,1,11,43,461.56602617383726
5,31,10,15,1,1,9,41,439.9822262078517
10,31,8,11,0,1,10,43,460.8546820835374
8,32,5,10,1,0,12,42,455.25867598617566
6,26,8,13,1,0,12,42,453.964772191607
8,29,3,14,0,0,13,43,460.6894446587636
11,25,10,12,1,0,11,44,475.0114009249295
11,28,10,15,1,1,16,46,492.7833591294229
5,27,11,15,1,1,10,43,462.8949183616403
9,29,15,13,1,0,16,47,500.8649008843144
14,27,11,15,1,1,16,48,510.63922357622914
6,30,12,11,0,1,11,45,481.5067479984664
13,30,9,14,0,0,11,42,451.0021986682225
7,30,4,14,1,1,16,43,463.3928950161262
10,34,7,19,1,1,12,42,450.7780532429453
11,32,6,12,1,1,10,44,471.1979463582801
10,26,9,13,1,1,13,42,453.9986841987384
8,30,12,13,0,1,14,46,492.55983886924247
8,31,8,16,1,1,10,44,472.9869116694318
7,29,7,16,0,1,12,42,454.8269160530589
10,31,7,13,1,0,11,44,471.36580053291976
11,29,8,19,1,0,9,43,465.5056996760863
10,29,5,13,1,1,15,44,471.66704163928864
10,28,7,12,1,1,8,39,420.3303876105416
7,30,6,17,0,0,14,43,463.1690388150407
5,34,6,15,0,0,11,41,441.1818645301581
11,30,15,15,0,1,14,48,511.4479432232608
9,31,8,15,1,0,11,43,462.54015705031446
13,32,12,12,1,0,13,44,468.1472933740733
7,33,11,13,1,0,11,44,472.749867932933
8,30,6,15,0,0,10,42,454.0529556902072
11,31,7,16,1,0,10,41,443.42446118563
10,29,5,17,1,1,6,37,403.1072125318119
13,32,5,18,0,0,14,43,460.7149986667391
10,30,6,17,1,1,10,42,451.3599942355413
15,26,5,14,1,1,12,42,450.8059287022999
9,30,11,14,1,1,11,44,469.6661665946996
9,31,12,14,1,0,12,46,492.1775616858477
13,32,6,14,0,0,13,42,451.1286013322853
13,28,8,18,0,1,13,45,481.4176838910069
5,26,4,9,0,0,13,43,466.18097211486304
8,28,10,17,1,1,11,43,461.0387958808456
12,35,13,13,1,1,13,46,491.03622286567656
7,30,8,16,0,1,13,43,462.27549034896623
13,33,10,17,1,1,12,45,482.43637997648057
8,26,8,14,0,1,11,41,439.6009676422192
10,32,6,14,0,1,17,46,490.9535394348067
11,25,7,10,1,1,6,42,454.6164417584849
8,30,4,15,1,0,8,39,427.2079661528133
7,31,6,16,1,0,12,43,464.65452554691393
10,29,6,13,1,1,12,43,462.80206255110033
7,29,10,16,1,1,9,42,449.4820846504246
10,33,12,15,0,1,15,46,488.85467415288326
6,30,9,8,0,0,14,46,495.9924092850352
10,29,6,13,1,1,12,43,464.5372438326238
9,35,4,14,1,1,12,43,464.0605225483338
9,29,8,11,1,1,11,41,441.7273544299725
4,28,12,9,0,0,11,43,462.9045937061585
10,30,2,11,0,1,12,41,443.6558931998644
9,26,3,14,0,1,11,37,401.391180854309
10,29,3,12,0,1,9,40,436.0460613534868
9,30,12,13,0,1,12,45,480.2978772520902
8,29,10,15,1,1,12,46,492.33935841673247
10,29,12,13,1,0,12,42,452.6967347616604
14,28,4,11,1,0,12,42,456.1868400784858
13,31,10,12,1,1,15,46,490.2794994851399
13,32,9,9,0,1,13,46,492.905989641556
11,26,9,14,1,0,13,42,452.062012803207
8,32,8,9,1,1,11,42,453.4688304693965
9,29,5,13,1,0,11,42,457.2755338506253
11,28,7,11,0,0,12,41,443.3065195184111
6,27,5,13,1,1,10,38,410.66155453800735
9,31,10,13,1,1,11,44,471.4819065787505
7,31,-2,19,1,0,10,38,413.6860381881421
8,30,9,13,1,1,12,44,470.9199858437354
6,26,11,15,0,1,12,45,483.3963419105049
5,26,11,14,1,0,9,41,444.208983348036
10,25,12,16,1,0,14,44,470.2941147412756
9,27,7,13,1,0,12,41,447.6149832871239
13,32,10,13,1,0,15,47,500.25677847329456
14,35,6,15,0,1,11,44,469.1064074005872
12,33,3,15,1,1,12,43,465.0143803609387
13,28,3,17,1,1,11,39,420.19986633268326
11,31,11,7,0,0,9,40,429.5862415575996
11,35,8,13,0,0,16,48,514.2715187475893
9,28,5,18,0,0,11,41,444.7133018925937
11,28,10,15,1,0,7,42,452.5207643904788
12,29,9,15,0,1,16,46,491.9423120944421
9,28,6,13,1,1,8,41,443.7110211625546
14,30,4,10,1,1,10,41,443.22407930257566
5,31,11,12,1,1,9,45,483.3971557541627
2,34,12,13,1,0,12,45,485.6566349662903
12,30,5,16,0,1,11,41,442.546668252141
8,29,9,13,1,1,12,44,473.53510494171934
11,32,7,14,1,0,11,41,441.2754503157005
6,29,10,13,1,1,14,45,488.5602279303798
12,27,5,8,1,1,12,41,441.89749486167113
14,28,8,17,1,1,11,43,460.05109171042994
9,31,5,16,1,1,13,42,450.6586524799555
8,32,1,14,0,1,10,40,434.36769006878575
9,26,7,17,1,0,11,43,463.5151371713421
10,34,9,10,1,1,10,43,465.4788418118727
11,27,6,17,1,0,13,41,440.68066091297936
10,28,9,13,1,0,8,41,443.92539100105273
8,24,8,12,0,0,13,43,463.7098244609363
11,29,9,12,0,1,8,41,442.7087161989912
10,27,3,16,1,0,13,40,432.9815209170405
2,27,3,14,1,1,9,42,454.7713207328269
8,31,13,14,1,1,12,47,502.60965326064417
11,30,7,14,1,1,8,41,441.4112070055061
8,32,5,13,1,1,9,42,454.30543671515096
8,30,6,10,1,0,13,40,430.71442001841154
10,29,10,12,1,1,13,44,472.5111315165741
11,28,6,9,0,0,13,43,464.15133259706255
8,28,11,10,0,0,9,43,464.0808190748283
13,28,11,12,1,1,12,44,469.0336285789035
13,30,8,15,1,1,10,42,451.96860456979255
12,31,8,14,1,0,12,45,483.8490429095564
11,31,7,15,0,1,11,42,450.6797941514683
11,27,5,9,0,1,11,40,433.8756484817224
11,37,6,12,0,1,12,45,482.6464090907698
7,28,11,12,1,1,10,43,462.769031877043
11,32,5,10,1,1,13,41,438.747268949474
12,28,6,11,1,1,10,42,454.53362959823687
11,33,3,16,0,1,10,41,444.4191066411626
9,33,9,14,0,0,12,45,480.5037591976652
12,28,10,9,1,0,12,42,450.3251734718973
11,32,12,13,0,0,11,44,471.1315562706465
11,32,7,10,0,1,12,44,471.34977823441295
9,30,3,18,1,1,13,43,462.1552291254149
6,29,2,13,0,1,12,43,465.7782810092691
14,26,6,17,0,1,13,41,437.1288087767778
6,31,10,14,1,1,12,43,465.1408157386198
7,29,6,14,1,0,11,44,474.1328751583391
8,32,8,10,0,1,12,42,452.35717235872335
12,29,9,15,0,1,5,40,434.3172036612304
14,31,10,17,0,0,12,43,461.4881634848296
12,27,8,12,1,1,9,41,442.1543149509383
10,31,6,15,0,1,10,45,480.2045871137544
15,29,9,17,0,0,9,44,471.7730897209552
7,29,7,12,1,1,8,41,444.5883379275302
7,28,-2,13,0,1,8,38,413.8426020612957
8,30,11,7,0,1,11,43,462.2675448444342
11,32,4,14,1,1,10,39,423.3054304858632
11,33,7,15,1,0,13,44,471.51032738593074
12,28,11,13,0,1,15,44,470.9307189158129
10,33,6,9,1,1,13,42,454.10939231843895
14,29,4,11,1,1,10,40,433.2781766991054
12,30,13,13,1,0,13,44,471.508280230866
9,29,8,13,0,1,9,42,450.97440092039074
8,29,8,14,0,0,9,40,432.3105586816925
7,27,8,15,1,1,10,43,461.8535191321415
11,28,6,15,0,0,14,43,463.23583608287146
5,29,7,13,1,1,10,41,443.4216661391757
6,29,10,13,1,0,15,42,449.4208430900356
10,27,7,11,1,1,10,42,452.8781713887968
12,30,9,13,0,0,12,43,462.71157522177583
4,30,9,17,0,1,11,43,461.6702769525304
10,29,3,15,1,1,11,41,444.02348560462127
8,26,7,14,1,0,14,41,440.74786144032095
6,30,9,12,1,1,13,46,494.0639039797622
12,31,6,12,0,1,11,41,441.2731596178799
7,26,8,10,0,1,8,41,443.2731106607402
11,28,0,15,1,1,8,40,438.2369681597699
11,33,3,12,1,1,12,41,442.3016508997446
7,30,2,9,0,0,16,43,463.8628806736335
11,30,3,11,1,0,11,43,464.87332927466906
7,31,10,16,1,1,9,43,463.4823425009
8,29,11,12,1,1,11,42,451.9181930737803
8,32,9,14,1,1,13,41,438.9748475456403
6,29,7,14,0,0,11,40,431.866378485794
16,32,9,16,1,1,15,46,492.5368346508705
6,28,7,16,0,0,14,44,473.8320946428372
10,27,5,12,1,0,11,40,431.7066960283721
12,27,5,12,0,1,12,41,442.1860835856559
13,31,6,14,0,1,12,43,464.3786915485704
8,30,15,15,0,1,10,45,479.0529444932808
13,29,3,12,1,1,10,39,424.0464227852362
8,29,10,15,0,1,9,40,431.48247047396507
15,27,8,15,1,0,9,40,430.538076044446
11,29,8,11,1,1,11,42,451.01094476385873
8,31,12,12,1,1,9,46,492.5237703112842
10,28,7,17,1,0,10,41,442.50829072911847
9,30,9,10,1,0,15,44,472.27058098809147
5,27,12,16,1,1,11,43,460.6941548179927
11,31,10,11,1,1,12,45,481.750711681144
8,32,10,15,1,1,11,44,470.6617351667137
8,29,9,12,1,1,10,44,471.73584452413405
12,32,6,16,1,0,9,42,452.7144180877881
8,28,9,16,1,1,12,44,472.6818368437437
11,32,10,14,1,0,11,45,483.5034083128088
12,29,5,16,1,0,13,42,450.8156994926489
7,31,8,16,1,1,14,46,491.5326669998988
9,32,9,11,0,1,10,42,452.4232717629791
12,30,11,16,1,0,16,46,492.6340983881879
10,30,8,12,0,1,13,43,460.0349554071442
8,31,2,10,1,0,10,42,452.7888848260087
7,30,6,14,1,0,11,41,445.07259486393946
14,29,8,10,0,1,11,44,471.0584201339177
10,31,5,14,0,0,11,44,471.9306124479183
10,27,2,13,0,1,10,41,443.97740595751
11,29,6,14,1,1,12,42,453.5546992953776
14,31,9,11,0,1,12,45,482.53016718267054
9,27,8,15,1,0,11,44,473.43342762239735
11,31,6,15,0,1,14,44,469.0246205824599
5,35,9,17,0,1,10,44,471.9253510688732
14,35,4,18,0,1,10,42,448.74481402262734
7,32,7,15,0,0,11,42,453.88627295768816
6,29,6,10,1,1,14,44,475.657771110868
13,30,6,13,1,0,13,44,473.37470793671
9,30,6,13,0,1,9,41,440.89778982511206
14,31,3,10,0,1,11,43,462.4581295508848
12,30,6,16,1,1,16,43,459.8469413461
15,29,8,16,0,1,12,44,468.9777383605728
7,29,8,10,1,0,14,42,453.9927907978327
14,32,8,15,0,1,9,42,452.9723098166241
7,27,10,11,1,1,7,40,430.86853351105486
11,31,6,15,0,1,13,43,461.8000873295895
7,31,10,11,1,1,11,43,463.3155358159845
11,32,8,13,0,0,11,41,441.0999062524164
6,28,9,14,1,1,13,45,483.1472562058116
11,29,7,14,1,0,12,43,461.34465791463697
7,29,5,17,0,1,9,40,432.8565701786656
13,32,4,18,0,1,11,44,471.40124119931687
10,27,13,17,0,0,10,43,460.9472966650402
6,27,8,15,0,0,10,41,441.1998127289049
9,30,15,17,1,1,12,45,481.424458505582
11,29,9,10,0,0,9,41,440.7800054823053
8,30,5,12,0,1,12,44,475.7034874671214
6,30,7,14,1,0,11,43,465.2060208821679
12,30,13,10,0,1,13,46,491.7104804163562
9,25,11,15,1,0,9,44,475.6075421583018
7,28,10,12,1,0,13,42,451.4286978930619
7,29,9,14,1,1,11,44,475.349629444758
10,30,13,15,0,1,13,48,510.6740269861624
8,27,3,9,1,1,7,39,423.9825749891496
7,29,8,13,1,0,10,41,443.4175656536722
13,32,9,12,1,1,10,45,483.5442886709171
12,28,6,13,1,1,12,44,474.0900118194368
11,29,12,16,1,1,12,47,501.6607400194976
9,28,12,13,0,1,10,41,439.4063757652924
10,30,7,11,0,1,13,41,440.9145026286237
9,31,6,15,0,0,10,41,446.3458279228293
11,27,11,8,0,0,13,44,474.7244972810107
11,27,4,8,0,0,12,41,442.3060503387513
9,33,6,12,0,1,13,46,493.34786620729705
9,29,4,9,0,0,13,39,423.8101691068886
11,31,5,14,1,1,9,41,442.1396599765337
12,30,9,14,1,1,10,44,472.2808579713392
8,30,10,10,1,0,15,46,491.7784040508435
7,28,3,13,1,1,12,40,432.4743475675944
13,26,3,9,1,1,12,41,443.65302558965215
11,29,2,16,1,0,10,40,432.8003397558123
9,30,8,7,0,0,6,40,434.0583255513652
11,29,3,9,1,1,11,41,443.95530302860016
11,30,8,16,1,1,12,45,482.4213832404905
10,29,9,15,1,0,14,44,472.0078163627367
13,32,7,17,0,1,11,43,459.0863416478996
11,31,12,15,0,1,10,44,469.5098296240132
13,30,1,16,1,0,14,40,433.5981931859091
8,26,7,11,1,1,11,39,419.6582628946063
6,29,7,12,1,0,11,39,426.1228317114742
15,32,6,16,1,1,13,44,470.32562790054754
13,29,13,13,1,1,10,44,470.9628682574949
4,31,5,15,1,1,11,43,462.9873650374339
8,31,5,11,0,1,15,44,470.40557322943897
10,30,9,12,1,0,8,40,431.8592703013491
10,29,4,15,1,0,14,43,467.185436517477
9,34,3,12,0,1,11,42,452.6703870369869
11,32,9,8,1,1,11,42,454.6722201906034
9,31,11,12,1,1,10,42,453.26164833329454
13,30,6,15,1,0,9,41,443.3686749096171
8,31,11,15,1,0,10,45,483.96353315385386
9,31,7,16,0,1,12,43,462.8912532954084
6,27,7,12,1,1,12,45,485.0135909175824
2,28,12,11,1,1,11,43,462.71153536123546
5,28,11,17,0,0,8,43,464.6424560578139
11,30,6,13,1,1,12,42,452.434763944714
4,28,3,10,0,1,16,45,483.5150657698071
8,32,8,17,1,1,10,41,441.19705974642505
7,31,8,9,0,1,9,41,442.9272064748534
7,26,6,7,1,1,12,42,455.3275737486539
7,29,1,13,1,1,13,41,446.344201718849
13,29,8,17,0,1,12,44,472.1452297284369
8,27,4,11,0,0,13,43,463.8759030141462
14,31,9,13,1,0,12,43,460.5705578855582
9,30,9,19,1,1,10,41,436.7557821242686
9,33,13,13,1,1,11,43,461.2638857222034
14,28,7,10,0,0,8,41,443.05867662898754
9,28,14,13,1,1,13,44,471.03834646835935
9,35,4,14,1,0,15,49,522.2130664257131
14,33,9,17,1,1,11,44,470.7584915578796
2,32,9,17,0,0,11,46,496.9364704929856
10,31,6,10,1,1,13,45,483.4404395390932
10,31,5,13,1,1,13,44,474.5641486976608
11,31,11,12,0,1,13,45,482.2549742833549
