defendant_age,lawyer_experience_years,previous_convictions,legal_aid_received,plea_bargain_accepted,community_service_completed,restorative_justice_program_participation,recidivism_within_2_years
33,22,8,1,0,0,1,84.54712434460605
17,18,8,1,1,0,0,74.94906369810964
23,22,4,1,1,0,0,77.65209388181047
18,26,6,1,1,1,0,81.72789959023345
18,17,8,1,0,0,0,73.79202645391013
26,19,0,1,1,1,1,83.49522958595028
47,26,7,1,1,1,0,84.9796418291084
23,18,4,0,0,1,0,75.84231327715037
37,22,7,1,1,1,1,86.13961617874912
12,22,5,1,0,1,1,83.88563921827934
7,24,6,0,1,0,0,79.38459419417835
18,28,5,1,1,1,0,84.431463395529
30,27,5,1,1,1,1,89.71472000594412
29,24,5,1,1,1,1,85.68484714023215
37,24,3,1,1,1,1,86.245299975705
26,30,5,0,0,1,1,89.4674168380466
24,26,8,0,1,1,0,83.05319920864348
19,20,7,1,1,0,1,85.38188495917689
17,29,4,1,1,0,1,89.82024568527859
33,27,7,0,1,0,1,86.6291599253725
21,22,5,1,1,1,1,83.2019473808569
39,23,0,1,1,1,0,79.84131143447627
27,23,7,1,1,0,1,86.04906247967887
33,26,3,1,1,1,1,87.05876504168737
33,27,4,1,1,1,1,88.59541049205006
23,23,7,1,0,1,1,86.4206828206687
28,27,5,1,1,0,0,81.11023906281119
10,26,7,0,1,1,0,79.4378542094625
31,21,4,1,1,1,0,78.11161715610547
22,22,7,1,1,1,0,79.16492916187626
16,25,3,1,0,1,0,79.70586427818452
37,22,7,0,0,1,1,85.581048229993
45,19,4,0,1,1,1,84.77036936697245
23,19,7,0,1,0,0,76.03700437779003
2,25,5,1,0,0,1,85.43779125071565
18,22,5,0,0,1,1,82.32014867825704
26,19,3,1,1,0,0,76.1119641064033
28,22,6,1,0,1,0,77.99718005209175
46,22,4,0,0,0,1,83.3101795147966
6,28,7,1,1,0,1,86.42822659473201
37,23,6,1,1,1,1,87.2233545600756
31,32,6,0,1,0,1,93.77696211013075
27,27,9,1,1,1,1,89.16098143094064
23,24,8,1,1,0,1,84.49312053982788
39,26,6,1,1,1,0,82.27040267923637
22,26,5,0,1,1,0,80.6281530009228
22,28,7,1,1,1,1,88.03157425127641
11,28,6,0,1,1,0,82.08680599268777
15,21,7,1,1,0,1,84.88833648384897
26,24,8,0,1,1,1,86.60934672766147
40,25,9,1,1,0,1,88.97877574910548
32,27,8,0,1,1,0,84.61445981043583
37,16,3,0,0,1,1,80.85622926238446
29,25,8,0,1,1,0,81.58889325208706
34,23,3,1,1,0,1,84.96955016525801
28,23,7,1,1,0,0,79.5090553296477
25,27,4,0,1,1,0,82.3203767451638
31,22,3,1,1,1,0,78.04915978054368
35,28,4,0,0,0,1,88.46383540230778
35,28,3,1,0,1,1,88.56884552415109
27,23,6,1,1,1,1,85.9483950666228
24,26,8,1,1,1,1,90.35623427482976
20,22,6,1,1,1,0,78.02021391414308
37,33,3,1,1,0,1,94.01710501443908
29,26,5,1,1,1,1,88.26190271887343
15,26,4,1,1,0,1,87.20676724313138
20,23,4,1,0,1,0,78.94954617048695
18,28,0,1,0,1,1,87.78222051047773
33,21,3,1,1,1,0,76.95424698516362
36,22,7,0,1,1,1,88.30771967120116
35,16,10,1,1,0,1,82.20253037502772
38,28,5,0,1,0,0,82.94664426213721
42,12,4,1,0,0,1,76.96928517459816
38,22,8,1,0,1,1,84.05476446386541
14,19,6,1,0,0,0,72.6600028042024
20,34,5,1,0,0,0,85.13317107224772
30,26,7,0,0,1,1,85.65708358209308
13,23,5,1,1,1,1,85.60523214812588
16,19,7,1,1,1,1,82.58335183473154
28,23,6,1,0,0,1,83.13504419733071
22,23,5,1,1,1,0,80.4461606618001
24,23,7,0,1,1,1,86.83981472084805
12,26,8,0,1,0,0,79.25638069174182
12,21,5,1,0,0,1,81.42815559970197
22,25,3,1,1,1,0,79.90612458187455
36,22,3,0,1,1,0,78.78335020793213
27,28,6,1,1,0,0,83.75568505444768
10,22,6,1,1,1,0,76.59240931123907
42,29,6,0,1,1,1,93.24676310335428
15,22,3,0,1,1,1,83.48727086208422
26,16,9,0,1,1,0,75.3183979124318
51,25,3,1,1,1,1,89.01119765481438
19,29,8,1,1,1,1,88.57648043082247
42,21,8,1,1,1,0,79.0668281073851
15,18,5,1,1,0,0,72.57920530433238
37,25,8,1,0,1,1,87.72345473850433
38,25,5,1,1,0,0,80.92634808256452
38,25,9,0,1,0,1,87.81074227987443
19,24,4,1,1,1,1,85.18149230695532
23,23,5,1,0,1,1,84.28585271294578
20,22,7,0,1,1,1,86.31307871443714
19,26,4,1,1,1,0,82.902413884313
24,24,10,0,1,1,1,85.926563446953
16,25,8,0,1,1,1,86.69847572928536
25,19,7,0,1,1,0,75.23713979798002
35,25,7,0,1,0,0,78.59219626015464
25,13,6,0,1,0,0,72.14373477034856
16,16,8,1,0,1,1,80.93292542923723
32,26,4,0,1,1,1,86.67798797883982
39,20,3,1,1,1,0,79.47935564310163
40,22,3,1,0,1,0,79.84817130864673
12,21,6,1,1,0,1,82.07408142663341
24,22,4,1,0,0,1,82.38663204516098
18,31,5,1,1,0,1,90.6470256857494
15,22,5,1,1,0,1,84.38733414505137
24,17,8,1,1,1,0,77.47884456768608
30,25,6,0,1,1,0,82.01112345745915
29,23,9,1,0,1,0,79.80306735068274
20,23,6,1,1,1,0,78.84873735603622
16,28,4,1,1,0,1,88.30094294119219
29,20,7,1,1,1,1,82.66211158152005
20,21,10,0,1,1,0,77.69500267733093
25,28,9,0,0,1,0,82.54289888881642
28,27,5,0,1,0,1,88.35665280391545
16,25,6,1,1,1,0,80.77578335597545
25,29,7,0,1,1,1,89.13999835253169
30,22,6,1,1,0,0,79.93427278996413
20,20,2,0,1,1,0,75.57021440872941
25,17,6,1,1,1,0,77.28975600986658
8,24,4,0,0,1,1,83.16970286103646
20,22,9,0,0,0,1,82.55157965293388
9,23,6,1,1,0,0,79.09628391669285
49,25,10,0,0,1,0,82.2850421918771
22,26,8,1,0,0,0,81.99100980557574
25,26,6,1,1,0,1,87.05258890715842
34,21,7,0,0,1,0,80.36367713079017
35,20,7,1,0,1,0,78.91468238402685
30,17,4,0,0,0,0,74.49496246622724
26,21,7,1,1,0,0,79.4360615518137
11,21,3,1,1,0,1,80.62421300084291
23,22,8,1,0,0,1,84.31806315853993
27,23,5,1,1,1,1,87.86899107495817
11,23,7,1,1,0,1,83.91116950150955
40,21,2,1,0,0,1,85.34633913011152
13,27,4,1,1,1,0,81.14916287322498
23,30,6,0,1,1,0,84.65532356425167
11,22,7,1,1,1,1,84.51981154946128
29,24,7,0,0,1,0,78.20461918361659
24,25,8,1,1,0,1,87.64316828351363
31,27,4,0,1,1,0,82.61385078695207
9,22,8,0,0,1,1,84.06371947315091
40,22,3,1,0,1,0,80.79651692386561
33,24,0,1,1,0,0,79.55840198480033
35,22,6,1,1,1,0,80.28000838605577
23,21,6,0,0,0,0,77.2407170447109
23,19,6,0,1,0,0,77.01694068753125
30,27,4,1,1,0,1,89.31054397463458
21,21,3,0,1,1,0,77.15086489559924
24,26,2,1,0,1,1,86.62546743784017
3,24,7,1,1,1,0,77.97990977553197
11,29,3,1,1,1,0,84.5021558298943
32,25,4,1,0,1,0,81.2162787907709
35,30,5,1,1,1,0,85.21898344276491
27,26,6,1,0,0,1,86.68459367365926
35,23,4,1,1,0,0,77.5133154883324
30,20,10,1,1,1,1,84.42647682980271
15,29,6,0,1,1,0,81.80263721556312
15,28,3,0,0,0,1,85.07588644491416
21,29,10,0,1,0,0,83.92177797447718
31,25,6,1,1,1,0,81.99717510034206
14,27,7,0,1,1,1,87.80415649736618
24,25,5,1,1,1,1,85.85703319228607
25,23,6,1,0,0,0,79.42085669038846
34,23,7,1,1,1,0,79.6304683428581
16,26,9,1,1,0,1,86.12117537299311
26,20,3,0,0,0,0,75.11471567776408
29,24,6,0,0,1,1,88.02523499902594
26,24,6,1,1,1,1,87.74111226919017
38,22,9,0,1,0,1,85.53171661918894
29,21,5,1,1,1,1,83.27528610295005
11,16,4,1,0,1,0,72.61620121973078
26,30,8,1,1,1,1,92.211101171978
15,26,7,0,0,1,1,87.08588240540739
32,30,7,1,1,1,1,93.99124930543807
23,26,7,0,0,1,0,80.1633426345492
9,29,7,1,1,1,0,80.96228653274649
26,26,6,1,0,1,1,88.553671042696
38,20,2,1,1,1,1,85.60796232542826
30,24,8,1,1,1,0,82.44614488637131
31,22,6,0,0,1,0,79.76366576081797
23,21,8,1,1,0,1,83.31326780324063
27,28,8,1,1,1,0,82.78156652408607
43,28,6,0,0,1,1,90.771615372692
22,16,3,1,0,1,1,81.40911262477921
35,18,3,0,1,1,0,76.66937222768047
43,26,8,1,1,1,0,82.24900006137219
25,26,3,1,1,1,0,81.59774732701914
28,31,5,1,1,1,0,85.27149805975111
25,20,4,0,0,1,1,82.41138958598005
10,22,6,0,1,1,0,75.94011876825594
23,26,6,1,1,1,1,88.31290909506698
12,28,3,1,1,1,0,81.53478355260057
8,31,6,1,1,1,0,83.41640550445635
11,20,4,1,1,1,1,82.8773760639884
22,20,4,0,0,1,1,82.55046946375055
23,19,6,1,1,0,0,74.98615551983504
4,25,5,0,1,0,1,84.55139996878992
26,28,7,1,0,1,0,82.1432600850851
29,32,7,1,0,1,1,92.58723068960614
31,23,4,1,1,0,1,87.02824600763127
39,25,3,0,1,1,0,81.17506905747578
20,20,6,1,1,1,0,77.69365726866958
31,27,9,1,0,1,1,88.986558863251
28,27,7,1,1,1,1,88.74945185658665
32,20,5,0,1,1,1,85.76130377154234
23,20,8,0,0,0,1,83.00792546816511
44,24,8,0,1,1,1,88.39070090623288
29,22,9,1,1,0,0,79.0424508571947
7,26,9,1,1,0,1,84.97751613264613
25,27,2,1,1,1,0,82.19465628467948
21,22,6,1,1,1,0,77.24780822954874
38,17,4,1,1,0,0,76.78755492512647
25,29,7,0,1,1,0,84.08531118816246
15,20,2,1,1,1,1,82.38776614141742
37,23,4,1,0,1,1,87.39773151952426
38,25,3,1,1,1,1,88.83533194202471
45,21,7,1,1,0,1,85.63221579399259
9,24,5,1,1,1,1,84.46662589254412
11,20,7,0,1,1,0,76.84959403880733
30,28,5,1,0,1,1,89.08429818472182
28,31,4,1,0,0,0,82.98015060963243
21,25,11,0,1,1,0,82.0896287206247
35,24,6,0,0,1,0,78.6699363767405
14,18,7,1,1,1,0,73.3122902783197
34,27,7,0,1,1,0,83.13093713012192
19,28,2,1,0,1,0,81.80778735706895
12,21,6,0,1,1,1,83.06938433334172
13,29,6,1,1,1,0,82.7726507155969
22,23,6,0,1,1,1,84.85434243213011
17,25,6,1,1,1,0,79.55979298439661
13,24,4,1,1,1,1,85.44447067036454
11,34,7,1,1,0,0,84.34141047318602
29,24,4,0,1,1,0,79.91904853796575
22,16,6,1,1,0,0,74.05369688711565
-4,31,4,1,1,1,1,89.31114667838406
25,27,7,1,0,1,1,88.9242091689053
27,27,9,0,1,1,0,83.06464825410951
27,26,6,1,1,0,1,88.44912566064399
45,27,9,1,1,0,0,84.8302591086049
26,20,5,1,0,1,0,76.47795294851821
15,21,6,1,1,1,1,82.8213894752412
50,17,6,1,0,0,1,82.11850026033503
26,21,7,1,1,0,1,82.38566129791863
49,29,10,1,1,1,0,89.0078267879832
28,28,10,1,0,1,1,89.7570270718811
35,20,5,1,1,1,0,77.94938602184709
30,15,3,0,0,1,1,80.25364192511164
38,18,5,1,1,1,1,82.98404437314962
19,24,5,1,0,1,1,84.40896378176116
7,22,4,1,0,1,0,77.7481828960452
19,21,1,1,1,0,0,77.79270752233072
24,21,4,0,0,0,1,82.17736279625008
22,17,7,0,1,0,1,79.51481884037554
25,21,4,0,1,1,0,77.1211672867937
42,19,7,1,1,1,1,86.24761207158045
36,29,4,1,0,1,0,85.29608974656153
28,28,4,1,1,1,1,88.51909786395507
25,27,8,1,1,1,0,83.44366886793348
28,26,5,1,1,0,1,89.65803144715265
4,16,2,0,1,1,0,71.44950967358933
