age_of_candidate,candidate_education_years,previous_campaigns,political_party_affiliation,gender,incumbent,minority_status,population_wealth,campaign_funding,election_result
8,33,8,15,1,1,1,12,23,214.6485977415544
8,33,8,12,0,1,0,9,24,218.0138838355325
16,26,8,11,1,0,0,13,30,265.1980055882428
9,29,5,13,0,1,0,10,30,269.12614526148195
8,33,9,11,1,1,0,9,23,209.33396787562785
12,32,12,13,0,1,1,8,18,166.2021513780287
15,34,9,15,0,1,0,8,23,207.83781961604544
9,31,17,11,1,1,1,11,16,153.89864815844305
9,29,6,16,1,0,0,14,28,258.0370505959967
10,30,5,16,0,0,0,16,30,269.9667994265896
16,30,3,15,1,0,1,16,36,314.9032133865543
10,27,6,15,1,0,0,10,26,239.43308175471176
8,27,5,12,1,0,0,11,30,270.2828635729566
9,28,9,15,0,0,1,11,21,200.5479024796397
9,27,7,16,1,1,1,9,22,209.05570306830683
8,29,5,12,0,1,1,10,27,245.2080814942064
8,29,12,14,1,1,1,12,18,173.75278551146909
5,29,8,12,1,0,1,10,21,196.95399472019625
10,32,7,12,1,1,1,11,30,267.3496391840192
12,29,9,13,1,0,1,12,26,235.873107006023
9,23,13,9,0,0,1,12,23,210.312634136572
8,32,4,12,1,1,1,12,31,273.9535136407687
8,29,11,10,1,1,1,10,21,190.72714141721897
7,27,11,17,0,1,1,10,14,145.23137654222322
8,30,8,15,1,1,0,13,24,219.59526246697797
11,30,10,7,1,1,1,8,31,276.38484940260696
5,31,7,13,1,1,0,11,23,211.22952271807924
13,28,10,10,1,0,1,7,25,226.38342024883733
6,31,8,15,1,0,0,11,21,196.4202897392005
7,28,8,19,1,1,1,14,19,184.60167068984535
13,32,6,15,1,1,0,14,29,258.61320673668496
15,27,1,13,1,1,1,13,38,331.36673162587124
10,31,5,16,0,1,1,15,26,233.6141009125831
7,31,8,16,1,0,0,10,22,208.4548598718102
5,34,4,12,0,0,0,10,27,241.13235130305284
13,29,10,11,1,1,0,10,26,233.55503045096984
11,32,2,15,0,0,1,11,29,257.92601370996465
5,29,2,10,0,0,1,9,31,278.2623525589114
10,30,13,11,0,1,1,15,24,215.87287317811524
11,30,6,16,1,0,1,12,26,237.6089559435577
8,32,5,16,0,0,1,13,27,248.5945648765896
11,30,6,7,1,0,1,9,33,289.22956354943955
14,33,5,21,1,1,0,9,26,239.70126170500004
7,29,6,13,0,1,1,11,25,229.33964639956295
12,30,10,12,0,1,0,9,26,232.75086508492285
15,29,6,15,0,1,1,12,30,265.46531744585576
15,30,7,14,0,0,0,12,28,249.25982317654447
8,29,2,9,1,0,1,10,32,286.1687189036392
12,30,12,12,0,1,0,11,22,200.89606196376695
3,29,7,11,1,1,0,8,21,198.62626577896435
8,30,9,13,1,0,0,14,25,228.86870222210624
5,32,6,14,1,0,1,10,21,200.93720206222844
9,28,7,5,1,1,0,10,34,298.4556800993234
10,34,7,15,1,0,0,13,24,218.66870560380028
12,32,12,15,1,0,1,9,20,190.3843221948391
6,32,7,15,1,1,0,12,25,230.31587174720724
9,26,7,14,1,1,1,9,23,215.925816020292
10,29,12,14,0,1,0,11,20,188.86988127994985
10,28,5,12,0,0,1,13,31,276.5758218271239
12,30,11,13,0,1,1,13,23,211.4878230190542
7,30,6,16,1,1,1,12,24,223.7060646787988
11,30,8,14,0,1,0,10,24,218.44509001238825
7,31,6,13,0,1,1,9,23,214.08553654471595
7,31,1,11,1,1,0,14,37,326.6888946762815
7,33,13,10,1,0,1,14,23,211.68014791656063
10,32,4,16,0,0,1,11,28,252.5085907352774
9,30,9,16,0,1,1,10,19,177.14712741446937
13,30,2,18,1,1,0,12,30,275.76679472432136
9,26,10,14,1,0,1,13,22,207.1953422665308
11,30,8,14,0,0,1,10,24,220.6446080959444
8,24,4,15,1,0,0,14,27,250.8419493403336
10,32,15,14,0,0,0,10,18,171.40655271580212
14,27,6,13,0,1,1,9,29,262.36526811039306
8,30,5,13,1,0,1,12,26,236.6023034093625
9,29,13,11,0,0,0,11,23,211.91419647945773
12,33,12,17,0,1,0,8,16,154.90439875475712
6,29,8,16,1,1,1,9,16,161.77093542555346
7,32,11,16,1,1,0,12,19,182.33072925113524
10,31,11,14,0,1,1,12,22,200.11846061292147
12,28,1,12,1,0,1,11,33,292.4261542237461
3,32,11,7,1,1,0,11,25,224.69856171358836
11,31,6,16,1,0,1,11,25,230.5749411927328
8,29,16,16,0,1,0,14,14,142.51881217520437
5,33,11,14,1,1,0,14,19,182.62943232277772
9,28,4,13,1,0,1,11,31,278.1361696201776
7,31,5,13,1,0,1,11,24,216.43935796070693
10,30,12,15,1,0,1,12,18,172.58799177834717
7,32,9,19,1,0,0,13,21,199.5093346665228
14,30,9,13,1,1,1,15,28,250.114455798401
10,28,4,12,1,1,1,9,31,277.3016995995389
10,27,11,18,0,1,0,10,16,157.94532963250597
12,28,5,15,1,1,0,9,27,245.36238371619956
10,28,7,14,0,1,1,14,26,234.3662807585985
11,30,5,17,1,1,1,8,23,213.86487849519045
10,31,6,13,1,0,1,10,27,247.54003046782583
8,33,8,11,0,1,0,17,28,247.83205226363089
8,32,4,18,1,0,1,12,27,250.69600021265683
8,32,10,11,1,1,1,12,25,225.9970132592657
11,30,13,12,1,0,1,12,23,211.53424289372103
10,27,9,14,1,1,0,13,23,212.5034169493426
8,30,10,15,1,0,1,11,21,198.8023095414116
9,27,7,16,1,0,1,12,22,209.29900690099575
13,33,5,16,0,0,0,10,26,233.92011101531327
9,27,4,14,1,1,1,13,25,228.5700751115986
10,30,9,15,1,1,0,10,24,219.54938236454564
9,28,7,11,0,1,1,11,26,236.0318097602133
12,30,3,16,0,0,0,13,31,275.2012782376162
7,29,1,16,0,1,0,14,29,264.6883062562598
13,33,6,12,0,1,1,7,29,258.3442642000018
8,30,7,9,1,1,1,8,27,242.988270370694
7,31,11,10,0,1,0,13,22,202.95733574645703
11,35,18,15,1,1,1,10,13,129.7929732280193
13,25,6,13,0,1,1,13,30,267.56480239642764
8,30,12,15,1,1,1,12,17,166.03802744915873
11,29,7,15,0,1,0,8,23,209.3905160395862
10,32,7,11,1,0,1,12,30,267.1755521588626
10,32,7,10,1,0,0,8,29,259.6453247005159
13,28,14,11,0,0,1,13,22,199.8599074666241
8,30,7,10,1,0,1,9,26,235.3127763031375
11,34,5,9,1,1,1,14,34,293.3826497302531
8,29,7,16,1,1,0,13,25,232.8588302874592
11,33,3,17,0,1,0,13,27,243.34080045949656
13,30,4,14,0,0,1,13,31,274.8233986831218
9,31,4,12,1,1,1,11,30,269.747706165141
5,30,6,15,0,1,0,13,26,241.60960004908088
8,27,13,9,0,0,0,7,21,194.92704142864395
11,29,5,9,1,0,0,10,31,272.54637305551114
7,31,6,14,1,1,1,14,25,230.9559108540272
9,26,8,16,0,0,1,12,23,218.04017047718784
7,29,7,14,1,0,0,10,25,231.345205279528
15,28,7,7,1,0,0,10,34,295.9344549295164
12,31,7,18,1,0,1,11,23,213.7932674865708
11,28,5,12,1,1,1,9,26,238.05117848755677
10,32,10,13,1,1,1,12,24,219.52551624783425
3,29,3,17,0,1,1,5,18,176.82043800426476
10,26,6,16,0,1,1,8,23,213.21520977842133
12,27,10,14,1,0,0,13,25,230.40661429926135
8,28,8,13,1,1,1,11,23,213.19185619295837
14,29,7,15,1,1,1,11,27,243.10755883837905
9,26,4,10,0,1,0,9,33,290.59941540879123
6,26,8,12,1,0,1,9,22,205.65684478478684
6,30,8,14,1,0,0,11,22,207.7476473867304
13,30,11,12,0,0,0,9,23,209.36021892256116
11,26,9,12,1,0,1,15,27,244.1220391237508
15,30,8,12,1,1,1,12,28,248.84193215889425
6,31,12,15,1,0,1,11,19,184.96231649785037
9,28,7,11,1,1,0,8,25,228.2482514229313
8,27,5,14,1,1,1,13,28,257.06719452690726
9,29,8,18,1,0,1,14,20,189.4760008968355
11,34,13,14,1,1,1,11,22,204.06423629974427
7,28,6,12,1,1,0,14,30,269.76354436183465
8,30,8,17,0,0,1,10,19,181.27937942111072
5,28,13,14,1,1,0,8,14,143.82352724786008
9,29,12,13,0,0,1,12,20,189.30357954217
11,28,16,16,1,0,0,12,16,157.7275164820993
9,28,9,11,1,0,1,13,27,243.47275404995256
13,31,6,18,0,1,0,8,25,229.95224347742092
15,27,11,13,1,0,1,11,25,230.37785236368464
10,34,6,13,1,0,0,10,27,240.36098589665744
10,32,12,18,0,0,1,14,17,163.72470801748418
8,32,6,15,0,1,1,13,24,221.19238988607856
6,30,6,11,0,0,0,16,30,268.5912819980678
9,32,6,10,0,0,1,16,30,263.73953963566794
11,27,13,14,1,0,1,8,20,191.81150304093825
9,32,14,11,1,0,1,13,21,192.2575853863716
12,30,9,13,1,0,1,9,24,222.42064429786305
12,29,7,11,1,1,0,12,30,268.2193606674461
9,25,5,13,1,1,1,11,30,273.04897683892534
11,28,7,11,0,0,0,12,30,266.6162333195175
9,30,6,13,1,0,1,9,26,238.74056554258647
11,31,8,16,1,1,1,13,25,232.88874317340307
13,30,7,8,0,1,1,11,30,259.7301664279574
10,31,6,13,0,1,1,13,29,259.1249167892175
13,27,2,10,0,1,1,10,35,307.3824293785386
9,32,11,16,0,0,1,12,18,170.90416098565896
12,33,4,14,1,0,1,8,30,265.5430882248496
13,33,3,12,0,0,1,12,36,311.763917631374
9,30,9,12,1,0,1,12,22,202.13328100470716
15,28,12,15,0,1,0,13,25,224.92544217634077
8,28,0,20,0,0,0,9,30,277.49187865284426
8,29,9,13,1,1,1,14,23,215.2239286915404
12,33,2,16,1,1,1,13,31,278.10504600426964
13,28,8,16,1,0,1,13,24,221.0309507232377
12,31,7,13,1,0,1,11,25,226.99829518270943
14,28,7,14,0,1,0,11,28,251.75360298186308
11,29,14,15,0,0,1,14,17,162.0229956772774
9,29,1,17,0,1,1,11,28,255.70312305838863
11,30,10,15,0,1,1,14,22,200.2926781669639
14,29,9,15,1,0,0,12,26,236.0382755151141
7,29,5,15,1,1,1,11,25,233.9667408763704
3,32,6,9,1,0,1,6,23,210.9423841918414
12,29,2,11,1,0,0,10,35,309.67399735491387
13,33,8,13,1,0,0,13,29,257.0791598875169
11,28,10,11,1,1,0,12,27,243.35577941286223
10,30,3,18,0,1,0,9,25,231.97271452132824
5,29,9,16,1,1,1,12,14,143.6945607502347
7,32,4,9,1,1,1,12,32,281.10732137765683
10,31,11,12,1,0,1,13,22,200.8757445853042
11,31,5,9,1,0,0,11,32,280.183986585358
7,29,10,14,0,0,1,16,21,194.27207010086943
8,28,8,14,1,1,1,8,21,197.4305996088252
9,30,11,13,0,0,1,15,23,210.005061821712
10,33,7,14,1,1,1,10,27,245.10702574433057
12,31,7,12,0,1,1,11,25,224.0808091135752
11,26,10,14,1,0,0,13,22,203.7712971284866
6,32,7,14,1,1,1,12,24,221.31123976198177
9,29,6,10,1,1,1,10,29,260.17702684602835
11,27,7,16,1,0,0,12,25,230.263656426998
10,31,3,13,0,0,1,13,32,283.3209672785813
6,29,3,12,1,0,1,12,30,270.1165932619376
10,34,6,15,0,0,0,10,27,242.8129174911253
12,27,8,14,1,1,0,12,24,220.3095751636345
12,30,9,19,0,1,0,9,18,171.58558451822788
7,26,17,12,0,0,1,10,12,122.55657439992588
11,28,12,7,1,1,1,13,29,256.033158334357
9,26,5,13,0,1,0,10,26,238.82526353702409
9,27,5,10,0,1,0,12,31,274.3529800843341
7,29,6,15,0,1,0,14,24,220.70228778766867
6,30,2,16,1,1,0,11,29,267.808373131854
7,30,11,14,0,1,0,11,15,145.59032670760786
6,27,7,15,1,1,1,14,26,243.27518914220985
7,29,11,10,0,1,0,8,20,182.86409941457956
14,30,12,15,1,1,0,9,21,194.3930403106007
11,25,6,13,1,0,1,11,27,247.05769630111357
9,30,7,16,0,1,0,8,23,216.74344284844736
12,21,9,10,1,0,1,14,28,254.17071635297668
14,29,6,17,1,0,0,10,27,246.1628728103065
10,28,9,16,0,0,1,15,24,221.85374544757624
12,32,11,15,0,1,0,11,20,183.8233477638734
8,31,8,9,0,1,1,7,25,224.69223559819625
6,30,12,16,1,0,1,8,13,135.72732624159875
9,32,7,20,0,1,0,10,17,166.07421376616455
8,29,3,15,1,1,0,11,27,247.7594210799197
8,28,11,10,0,1,1,10,21,193.516647664816
14,29,10,8,1,1,0,12,33,290.5527824630094
10,29,7,12,0,1,1,15,26,233.5640025557274
10,31,-1,12,0,1,0,12,37,320.02496001902284
11,30,9,18,0,0,1,8,18,173.42418239815865
13,35,5,10,0,0,0,10,35,300.6663228261776
10,32,9,16,0,1,0,10,19,180.04926534998492
11,32,11,13,0,1,0,10,21,191.5046544746915
15,27,9,12,1,0,1,15,28,249.84009646516768
13,27,6,18,1,1,0,7,24,222.8597080844446
11,28,5,19,1,0,1,12,25,232.99841402454
8,26,13,14,1,0,1,8,14,141.4802981300191
8,31,4,14,1,0,0,8,27,248.4496516573261
5,27,0,16,1,1,0,11,30,278.57696226472126
10,31,2,13,1,1,0,12,34,297.0221106945211
11,29,11,11,0,1,1,10,24,215.00096258591148
7,34,6,10,0,1,1,11,29,258.8974211439545
10,27,11,12,0,0,0,12,22,202.19967890078968
6,33,4,15,1,1,1,13,26,238.723478024316
8,30,12,13,1,0,1,12,20,189.38820159497817
11,29,15,13,1,0,1,8,13,130.35961648682945
7,32,1,9,1,1,1,13,36,316.1466652882073
9,29,6,15,1,1,0,15,26,237.3233018622212
8,30,14,12,1,1,0,13,16,153.78568714050698
7,28,6,9,0,1,0,10,28,252.2492329030699
6,31,5,14,0,0,1,9,24,221.40269686754272
14,32,11,11,0,1,0,11,26,228.1017680451873
9,34,13,16,0,0,1,12,15,146.61296552617029
12,32,10,16,1,1,1,15,22,204.81192743016308
10,32,9,14,0,0,0,11,23,211.710470305762
4,31,10,11,0,0,1,12,22,203.9340860022531
8,29,1,17,1,1,0,11,30,273.6830291216861
9,29,13,15,1,1,0,11,20,190.76401534174556
10,31,8,15,1,0,1,13,25,229.55661387316303
6,29,2,16,1,0,1,11,27,250.76655066799165
7,29,9,12,1,0,1,12,23,213.71449426222784
8,28,5,20,0,1,0,14,21,201.4960879027444
12,27,7,8,0,0,1,11,32,281.71699163346386
10,26,9,16,1,1,0,12,23,217.2170512673019
3,33,8,12,1,1,1,12,19,182.1776131489757
9,25,4,14,1,1,1,10,28,258.6776983266173
18,25,9,14,1,1,1,14,29,260.5005014262167
10,32,13,15,0,1,1,13,20,187.2910329067079
9,26,6,11,1,1,0,16,30,269.63326719847714
13,28,4,9,0,0,1,11,33,284.82285955863284
