years_in_community,household_size,social_network_score,single_parent,unemployed,received_invitation,participated_in_neighborhood_project,community_satisfaction_score
5,2,1,0,1,1,1,52.49924042084688
5,3,1,0,0,1,1,50.78521980769788
5,2,0,1,1,1,0,44.75639717387019
1,3,0,0,0,1,1,51.94819421120425
4,2,0,0,0,0,1,53.00748541525921
5,2,0,0,0,0,1,54.05069685954319
6,3,0,0,0,1,1,52.251733653107244
1,2,0,1,0,1,0,46.00014357812638
5,3,0,0,1,0,1,51.06876105486897
5,1,0,0,0,1,0,47.28200353762271
-1,2,0,0,1,0,0,45.40786244125631
3,2,1,0,1,1,1,50.18137622662309
4,2,0,1,0,0,1,51.10164279033633
6,3,0,1,0,1,0,46.75910035002573
6,2,0,0,0,1,1,51.76398339911459
6,3,0,1,0,0,0,48.28745976240822
5,2,0,0,1,1,0,45.33191028762492
4,2,1,0,0,1,1,52.02380300966578
3,3,0,1,1,0,0,45.01195461552917
2,2,0,0,1,1,0,44.274038150596574
0,3,0,0,1,1,0,46.77225128316094
8,2,1,0,0,0,1,51.53103993082618
7,3,0,0,0,1,0,46.05748998562344
4,3,0,1,0,0,0,46.336057247677374
3,2,0,0,0,1,0,46.23555295525331
8,2,0,0,1,1,0,45.76962066251532
0,3,0,0,0,1,1,52.840630408202415
2,3,0,1,0,1,1,54.09833560144044
5,2,-1,0,0,0,0,46.84694093118687
4,2,0,0,1,1,1,54.00034296458994
3,3,0,0,0,1,1,52.83977957897659
6,4,0,0,0,1,1,52.5390556708822
2,2,0,0,0,1,0,44.310640163290586
4,2,0,0,0,1,1,50.90566545993796
2,3,0,0,1,1,1,51.298905147541326
5,2,1,1,0,1,0,47.18351170077712
7,2,0,0,0,1,0,45.16513560125028
0,2,0,1,1,1,0,44.869292999234105
0,2,1,0,0,0,1,51.82647984264702
3,2,0,1,0,1,0,47.187284128302345
7,2,0,1,0,0,0,46.58489974762618
4,2,0,0,0,1,1,52.18445316688917
4,3,0,0,1,1,1,52.17406460275194
3,3,0,1,1,0,0,45.94202668956504
3,2,0,0,0,0,0,46.637559126260754
8,2,1,0,0,1,1,50.343364072481066
2,3,0,0,1,1,1,50.593913249844405
2,3,0,0,0,1,1,50.497437760445806
4,2,0,1,0,0,0,44.80911809403639
5,3,0,0,1,1,0,45.87238413969422
3,2,0,0,0,0,0,45.27750521232621
2,4,0,1,0,0,1,51.40337508661832
4,2,0,0,1,0,0,45.454746762741024
7,2,1,0,1,1,1,50.68936569445262
5,3,0,1,1,1,0,44.41724952775689
4,2,1,0,0,0,0,43.31646290479708
5,2,0,0,1,0,0,46.78508861506132
2,3,0,0,1,0,0,46.60739820422816
4,2,0,0,1,1,0,43.45331459735329
4,3,0,1,0,1,1,51.80325561904268
2,3,0,0,1,1,1,51.61583273310826
2,3,0,0,0,1,1,52.22209244788702
8,2,0,0,0,0,1,53.48344220114758
0,3,0,0,1,0,0,43.99321007192452
5,3,0,1,0,1,1,50.65952807724277
2,2,0,0,0,0,1,51.43440217973615
4,2,0,0,0,0,1,54.7193640755053
1,2,0,0,0,1,0,46.877428555987954
5,3,0,0,1,1,1,49.98775393239046
4,3,-1,0,1,1,1,51.75027798983727
4,2,0,0,0,0,0,47.45759507765564
7,2,0,0,0,1,0,45.53334271735791
2,3,0,0,0,0,1,51.28226008937144
1,3,0,1,0,1,0,46.87948375191576
3,2,0,0,0,0,0,47.50844769878688
5,3,0,0,0,1,1,52.31527118542492
5,3,0,1,0,0,0,46.86571898237879
2,4,0,1,0,1,1,53.03194504666416
3,2,0,0,0,1,1,53.16668371163193
3,3,0,1,0,0,0,46.085140809715554
4,1,0,1,0,1,0,47.15879215015902
4,2,0,0,1,0,0,44.42054878140568
4,3,0,1,0,1,1,52.44004414976048
2,3,1,0,1,1,0,43.88702256131528
4,1,0,1,1,1,0,44.77614870805034
1,2,1,0,0,1,0,42.890533933190085
4,3,0,0,0,0,1,52.34148436768625
8,3,0,0,0,1,1,52.958912232674486
5,2,0,1,1,0,0,44.08404389252825
2,3,0,0,0,1,1,52.76573969993977
4,4,0,1,1,1,0,45.53457393586274
5,2,0,0,0,1,1,52.15495088967974
-1,2,0,0,1,1,0,46.43487236442927
1,3,0,0,0,0,0,44.769732466403056
2,5,0,1,0,0,1,52.53218846071191
4,2,0,1,0,1,0,46.91296155497324
6,3,0,0,1,1,1,50.47719022404754
0,3,0,0,1,1,1,51.21491484636032
2,2,0,1,0,1,1,52.12928068712342
1,3,0,1,1,1,0,44.89427944712215
5,2,0,0,0,1,1,51.616981022163216
7,3,1,0,0,0,1,50.699730839627215
2,3,0,0,0,1,0,45.07142019151878
2,3,0,1,0,1,0,46.43824924676586
6,3,0,1,0,1,1,51.92125193803364
1,2,0,1,0,1,0,46.38765169048452
7,4,0,1,1,1,1,51.96199321448497
4,3,0,1,1,0,1,50.57376074904484
8,2,0,0,0,1,0,47.34074790520975
5,3,0,1,0,0,1,51.678701682832944
6,2,-1,0,1,0,0,45.45170463116555
2,3,0,0,1,1,0,46.03419941678228
5,2,0,0,1,0,0,46.03269940831072
4,3,0,1,1,1,1,52.86456692247543
5,3,0,1,0,0,1,51.27373059283877
2,3,0,0,1,1,1,52.09570083870454
2,2,0,1,0,0,0,45.74974216597322
3,4,1,0,1,1,1,50.57444617676526
6,3,1,1,0,0,1,49.236631643661376
3,2,0,0,0,1,1,52.83971314809136
5,2,0,0,1,1,0,43.52205043372972
6,2,0,0,0,0,0,46.243636258525946
5,2,0,1,1,1,0,43.74318895182888
6,2,0,0,1,1,0,45.17154002643005
2,3,0,1,0,1,0,48.8846523630023
4,2,0,1,0,0,0,45.158022915377565
1,3,0,1,1,1,1,51.69146678430845
3,2,0,0,0,0,1,51.7733897022259
5,3,0,0,0,1,1,52.7675227582556
7,2,0,1,0,1,0,45.282031801653694
2,2,0,0,0,1,1,51.31811717234484
6,3,0,0,1,0,1,51.75550823076643
5,2,1,0,0,0,1,50.6008584502033
4,2,0,0,1,1,1,50.57463490176824
0,2,0,0,1,0,0,43.995235666936175
4,2,0,0,0,1,1,51.048183883075296
7,3,0,0,0,1,1,51.52688489117045
4,3,0,0,0,0,1,51.182083992217
6,3,0,1,0,0,0,47.3929076103416
2,2,0,0,0,1,1,52.82388711114093
2,3,0,1,0,1,1,53.50305971869404
7,3,1,0,0,0,0,47.41934067420081
0,3,0,1,0,0,0,47.502885407866735
0,3,0,1,0,1,0,47.65204106088515
3,2,0,0,0,1,0,46.11809075864384
2,3,0,0,0,0,1,51.68821488413489
3,2,0,0,0,0,0,45.9351383464014
4,2,0,1,0,0,0,46.59948719600455
5,3,0,0,0,1,1,51.7530923772478
1,2,0,0,0,1,1,52.09296554229482
2,3,0,0,0,1,1,49.807358364786985
4,2,0,0,0,1,0,46.98472710038112
8,2,0,0,1,0,0,47.00928149296547
3,2,1,1,0,0,0,45.53844696476091
2,2,0,0,0,1,0,47.37749107585032
2,2,0,0,0,1,0,46.3843803505897
7,3,1,1,0,1,1,50.44805258202513
4,3,1,0,0,1,1,52.1929212492578
1,3,1,0,1,1,1,51.44818105810447
7,2,0,1,0,0,0,46.55092329688855
3,2,1,1,0,1,1,49.75670449880043
2,2,1,1,0,1,0,46.00108359522552
3,3,0,1,1,0,1,51.01525743311228
3,2,0,0,1,1,1,51.28789903107714
7,2,0,1,1,0,0,43.809354425551135
4,2,0,0,0,1,1,54.884527961659
1,3,0,0,1,1,0,45.00792439213885
4,2,0,1,0,1,0,48.12269966547679
4,3,0,0,0,1,1,51.99718840598376
4,2,0,1,1,1,0,44.91588358534142
5,3,1,1,1,1,1,51.10300332079826
3,3,0,1,1,0,0,44.60770602334643
2,2,0,1,0,0,1,52.28644071903103
1,3,0,1,0,1,0,46.90639856523661
4,2,0,0,0,1,1,52.44229569550887
3,2,0,0,0,0,1,51.72387183059771
3,2,0,0,1,1,1,51.09718983423448
5,3,0,1,0,1,1,50.23983562098427
6,2,0,1,1,0,0,46.461056746490215
6,1,0,0,1,1,0,45.48658559767713
0,2,0,0,0,1,0,45.86488141545149
4,4,-1,1,1,1,0,47.06577247726602
6,2,1,0,0,0,1,52.55537963063515
1,1,0,0,0,0,0,46.03070976085922
3,3,0,0,0,1,0,45.28197761200346
4,3,0,0,1,0,1,51.00678800463229
7,2,0,0,1,1,0,46.64144201197424
4,2,0,1,0,0,1,51.96509143019411
0,3,0,0,1,1,0,45.785117445142944
2,4,1,0,0,0,1,51.97033305240673
6,3,0,0,0,1,0,47.43684221050303
2,3,1,1,0,1,0,45.38966690692711
4,2,1,1,0,0,1,51.91991556863805
7,2,0,1,1,1,0,44.87715066891662
6,3,0,0,0,1,0,45.73603744391494
2,3,0,0,0,0,1,53.329562887740174
2,2,0,0,1,0,1,52.69680273375333
3,3,0,0,1,0,0,46.191545754118266
2,3,0,1,1,1,0,44.15816178557792
3,4,0,0,0,0,1,52.046723951751765
1,3,0,0,1,1,0,44.91597345130626
5,3,0,1,0,0,0,45.703553094646175
0,3,0,1,1,1,1,51.18066808116898
2,2,0,1,1,0,0,44.77498072588736
7,2,0,1,0,0,1,50.78725265034738
4,2,0,1,1,1,0,45.78487116158632
3,2,0,0,0,1,1,51.39640971120773
4,3,0,0,1,1,0,45.93290357353393
4,3,0,0,1,0,1,50.78264525430499
2,2,0,0,0,1,0,45.91529856852302
3,3,0,0,0,0,1,52.47220169004308
4,3,0,1,1,1,1,49.02421559537499
3,2,-1,1,0,1,0,47.62422297785214
1,2,0,0,1,1,0,44.39454409206663
3,4,0,0,0,1,1,51.77182750462058
5,3,0,1,1,1,0,44.862264568747385
5,3,0,0,1,1,1,52.612244064707255
5,3,0,0,0,1,1,54.2034247254792
0,2,0,0,0,1,0,45.76345991636762
3,2,0,0,1,0,1,52.088219447987925
0,2,0,0,1,1,1,51.274122972844
7,3,0,0,0,1,1,53.6751518204461
2,3,0,0,1,1,1,50.53636642062924
5,3,0,0,1,1,1,51.44677670566324
2,3,0,0,0,0,1,53.03544236299798
3,2,0,0,0,1,0,47.00660726569208
2,2,0,1,1,1,0,47.44160955301059
2,3,0,0,0,1,0,45.832293237161686
1,1,0,1,1,1,0,42.60620768686203
0,3,0,0,1,0,1,53.1450735476532
4,2,0,0,0,1,0,45.68244495269541
3,3,1,1,1,0,0,43.40130741187073
4,2,0,1,1,0,0,45.33269700595595
3,2,1,0,0,0,1,50.80057085218784
0,2,0,1,0,0,0,45.14420992927834
0,3,0,0,0,1,1,51.05017325060688
6,2,0,1,0,1,1,52.60111269564708
3,2,0,0,0,1,1,52.53228478486993
1,2,0,0,0,0,1,52.037983500346535
3,3,0,0,1,1,1,51.45360362737755
2,3,0,1,0,1,1,51.656990765063206
0,2,0,0,1,0,0,46.32772113777869
4,1,0,0,1,0,0,45.07787952458604
3,2,0,1,0,1,0,46.0701443726696
4,2,0,0,0,0,0,47.19575002573064
1,3,0,0,0,0,1,51.313097486016666
0,2,0,0,1,1,1,51.25824092035906
4,3,0,0,0,0,0,47.60949618126367
6,3,0,0,0,1,1,51.33036976727874
4,2,0,0,1,1,1,51.51616915704396
5,2,0,1,0,1,0,44.62067377531899
3,2,0,0,0,1,0,44.75035187538465
6,2,0,1,0,0,1,51.59932389978116
5,2,0,0,1,1,1,50.64101173189209
0,2,0,0,0,1,0,47.79285815230139
4,2,0,0,1,1,0,46.84231615446079
2,2,0,0,0,1,1,52.14281704599914
0,3,0,0,1,1,1,51.07461217306776
2,1,0,0,0,1,0,47.20495062396941
4,1,0,0,0,1,1,52.96087062487902
0,2,0,1,0,0,0,46.59387366445029
4,2,1,0,0,1,0,44.518626896323255
0,3,0,1,0,0,1,52.684123353214815
0,1,0,0,1,1,0,44.9341022503812
4,3,0,0,1,0,1,52.47954312698886
3,3,0,1,1,0,0,46.677685799762806
2,3,0,0,0,0,0,45.21246936384321
7,3,0,0,0,1,1,53.52552507505744
7,2,0,1,0,0,0,45.77643763166972
10,3,0,1,1,1,0,46.19644533877489
0,2,0,0,0,1,0,48.19180148201691
4,3,0,0,1,1,0,45.68647907269005
6,3,0,0,0,0,1,52.226013034392274
1,3,0,0,0,1,1,52.451960190444616
4,2,1,0,0,1,1,50.31163575360318
2,4,0,1,0,1,1,51.58434669999448
0,3,0,1,1,1,1,50.99334150857503
6,2,0,1,0,0,0,45.74682416436496
4,2,1,0,0,1,1,50.64341009170319
6,3,0,1,0,1,1,52.26752033733748
1,2,0,0,0,1,0,45.567884000669295
3,2,0,1,0,1,0,45.78534293103888
6,2,0,0,0,1,1,52.6804835524046
3,2,0,0,0,1,0,45.969808145515344
4,1,0,1,0,1,1,52.22432906683085
3,2,0,0,0,1,1,52.47317970101118
0,2,0,0,0,0,1,52.53182650341965
-1,2,0,1,1,1,0,46.340684263086224
0,3,0,0,0,1,1,53.66715284509828
1,3,0,1,0,1,0,46.275754263743146
6,3,0,1,0,0,1,51.84403438958497
3,2,0,0,1,0,0,44.24086926196378
0,2,0,1,0,1,0,45.00859970279
2,3,0,1,0,1,1,52.49837875528283
4,3,0,0,0,1,1,51.30045567000557
4,2,0,1,1,1,0,43.57708067717564
4,3,0,1,0,1,1,50.97464163502515
2,2,0,0,0,0,0,45.04122211863556
1,3,0,1,0,1,0,46.50441652341788
2,2,0,1,1,1,0,45.42832802581217
0,2,0,0,1,0,0,44.66850320506013
1,2,0,1,0,1,1,53.82386675564377
4,2,0,0,1,0,1,50.67230950085504
6,2,1,0,0,1,1,51.07821963383623
4,3,0,0,1,1,1,50.37996575546908
4,2,0,0,0,1,0,44.98441658179218
4,2,0,0,1,0,1,51.81777606700413
9,2,0,1,1,1,0,45.54254084223977
1,3,0,1,0,1,1,53.76140002849035
5,3,0,0,0,0,1,52.2209942843737
11,2,0,0,0,1,1,52.93057841593537
3,3,0,0,0,0,1,51.58670394056281
3,3,1,0,0,1,1,53.03112993315175
4,4,0,1,1,0,1,52.52726468688009
3,2,0,0,0,1,1,54.50636256422416
5,3,0,1,0,0,1,51.75182759386346
7,2,0,1,0,1,0,46.32785323551424
4,3,0,0,1,0,1,50.9674662477532
4,2,0,0,1,1,0,46.05187198849249
6,2,0,0,1,0,0,46.46460984947024
6,2,1,1,0,1,1,51.172818081930565
0,3,0,0,0,1,0,46.088961121108746
3,3,0,0,0,1,1,53.92162081573856
3,3,0,0,1,1,1,52.057336449906536
4,3,0,0,1,0,1,51.31430255467897
5,2,0,0,1,1,0,43.3170119870055
2,3,1,0,1,1,1,50.0684694518823
3,2,0,0,0,1,1,52.11430653999343
2,3,0,0,0,1,1,52.91093146425175
6,2,0,0,0,1,0,46.90482736109066
-1,2,0,0,1,1,0,45.082485600252745
4,3,0,0,1,0,1,51.29201796330334
1,3,0,0,0,1,0,45.862819509321845
6,2,0,1,1,0,0,44.73566147105795
3,3,0,1,0,0,0,45.61694495233747
6,3,0,1,1,1,1,52.35395121924967
4,2,0,0,0,0,0,44.49126089127205
0,3,0,1,0,1,1,51.70039472853283
4,2,0,0,0,1,1,52.317659168049154
3,3,0,0,0,1,1,52.71113755757612
4,2,0,1,0,1,0,45.433942449158295
3,1,0,1,0,1,0,45.03071256530679
7,2,0,1,1,1,1,50.07298692239238
1,2,0,0,0,1,0,46.655791114090654
4,3,0,0,1,1,1,52.55646092335769
8,2,0,0,1,1,1,51.8959915328161
5,3,0,1,1,0,0,44.64657526729493
3,3,0,0,0,1,1,52.36765705589087
2,2,0,1,0,1,0,46.22071422990843
7,2,-1,1,0,0,0,47.186807050629405
0,2,0,1,0,0,0,45.8414513548037
6,3,0,0,1,1,1,51.267567688808754
5,2,0,1,1,1,0,45.11941196562893
5,2,0,0,0,1,1,53.06071237306805
7,3,0,0,0,1,1,52.2304290736054
4,3,0,0,0,1,0,46.5705920824236
2,3,1,0,0,1,1,51.40419899587574
4,3,0,1,0,0,0,44.30280865118067
4,2,0,0,1,1,0,45.38854222475536
3,3,1,0,1,1,1,48.247532202276936
5,4,0,1,1,1,1,50.913541163414266
6,2,0,1,0,0,0,45.59579716462431
4,2,0,0,0,0,0,47.006476740644295
0,2,0,0,0,1,0,46.688088326290746
2,3,0,1,0,1,0,46.87926970332593
4,2,1,1,1,0,1,51.26150825241524
3,3,0,0,1,0,1,50.27200010141884
4,4,0,0,1,1,1,50.84484437462136
2,3,0,0,0,0,0,45.45562526958344
0,3,1,0,0,0,0,46.08555525481711
8,1,0,0,0,0,0,46.68382784109895
6,2,0,0,1,1,0,45.26872512149584
5,3,0,0,0,1,1,54.145343393901086
