worker_id,post_policy,minimum_wage_policy,current_monthly_income,previous_monthly_income,work_experience_years,gender,union_membership
209,0,1,50.783971452828816,2,6,0,0
210,0,1,51.37667918147538,2,7,0,0
211,0,0,51.0604983059701,3,7,1,1
212,0,0,51.42349438949647,2,7,0,1
213,0,1,52.11765834129936,2,7,1,1
214,0,1,49.40815482956017,3,9,1,1
215,0,1,51.01636151734337,2,6,0,0
216,0,1,49.914786994951605,4,9,1,0
217,0,0,51.65987857836093,3,7,1,1
218,0,1,51.312611947796704,3,5,0,0
219,0,0,49.98064986715256,2,8,1,1
220,0,1,50.54968005690261,3,7,1,0
221,0,0,51.4508387834415,2,6,0,1
222,0,0,49.87066575194941,3,5,0,1
223,0,0,49.56779076021809,3,7,1,0
224,0,1,49.634143313045485,3,7,0,1
225,0,1,51.09397008853625,3,8,1,0
226,0,0,51.51253849548296,0,7,0,1
227,0,1,49.53516838002989,4,6,1,1
228,0,1,50.80011083210013,3,6,0,0
229,0,0,49.66226686322844,2,5,0,1
230,0,1,51.88030535178843,3,7,0,0
231,0,1,51.72870616262375,2,5,0,0
232,0,1,52.265230351833296,2,9,0,0
233,0,0,49.31892476237103,2,5,1,0
234,0,1,49.471773136151086,3,8,1,0
235,0,0,49.64367277881407,3,9,0,0
236,0,0,51.49537929496444,2,2,1,1
237,0,0,49.96986437981843,2,5,0,1
238,0,1,51.83373514078041,2,6,1,1
239,0,1,51.65038547485712,1,8,0,0
240,0,1,50.84732438173888,2,3,1,1
241,0,1,52.23409667104135,3,5,0,0
242,0,1,50.06709843731922,3,6,0,0
243,0,1,50.40803835619695,2,8,1,0
244,0,1,50.88467963327893,3,10,1,0
245,0,0,49.98539738058566,5,5,0,1
246,0,0,51.77517826201032,3,5,0,0
247,0,1,51.8006813662776,3,6,1,1
248,0,0,50.37194713781647,3,6,1,0
249,0,1,52.17451487526587,1,5,0,0
250,0,1,50.366754458147554,2,8,0,0
251,0,0,51.34689444470588,2,7,1,0
252,0,0,50.855005741288295,1,6,0,0
253,0,1,49.50679851873125,1,6,1,1
254,0,1,49.38784966848356,3,6,1,1
255,0,0,51.23577235577654,0,6,0,1
256,0,0,51.43430592685037,0,4,1,1
257,0,1,49.53421069530423,4,6,1,1
258,0,1,48.65861991405636,3,7,1,1
259,0,1,52.29506963032916,2,6,1,0
260,0,1,50.019379940151104,4,9,0,0
261,0,1,51.77612272082462,2,7,0,1
262,0,1,51.97892387944651,3,6,0,1
263,0,1,49.68798784036203,3,9,1,1
264,0,1,50.710209530680864,3,7,0,0
265,0,0,51.51792602586339,3,4,0,0
266,0,1,51.069825919168586,2,5,0,0
267,0,0,52.11398994397048,3,3,0,1
268,0,1,50.442799138655054,3,7,1,0
269,0,0,49.84320367955321,2,9,1,1
270,0,1,51.22671651749791,2,7,1,0
271,0,1,50.31441664484653,2,5,1,1
272,0,1,52.31627850212663,2,7,0,1
273,0,1,51.26923323252803,3,7,0,0
274,0,0,49.54906777987869,3,8,0,0
275,0,1,51.01040738542251,3,9,0,1
276,0,0,50.09858856591935,3,6,0,0
277,0,0,49.57042377748613,2,8,1,1
278,0,1,51.55544871558413,5,5,1,0
279,0,1,50.97008053936635,2,7,0,1
280,0,1,50.30600936526879,5,3,1,1
281,0,1,49.50263224051092,3,5,0,1
282,0,1,50.43424041249455,2,5,1,1
283,0,0,50.400798139765335,2,8,1,1
284,0,1,50.83401900334738,3,7,1,1
285,0,0,49.6959170002644,1,7,0,0
286,0,0,49.87718052302352,2,7,0,1
287,0,1,50.23356458581844,5,7,1,1
288,0,0,49.61292488387484,1,8,0,0
289,0,1,52.00577041918461,2,7,1,1
290,0,1,51.80060301462182,1,5,1,0
291,0,1,52.37174748134436,1,8,0,0
292,0,1,51.14032014937713,3,8,1,1
293,0,1,51.3161331520876,1,7,1,0
294,0,0,51.1897518534517,2,7,0,0
295,0,1,52.22427287461767,2,9,0,1
296,0,1,50.3231238034352,1,7,0,0
297,0,1,50.37719807223083,3,5,0,1
298,0,1,51.22439925414222,2,5,0,0
299,0,1,52.09413846380745,3,6,1,1
300,0,0,47.80982383999121,1,6,1,0
301,0,1,52.03342316066522,1,6,1,0
302,0,0,51.72028410396917,1,7,1,1
303,0,0,49.62920122814031,1,8,0,1
304,0,0,49.29870778390029,2,7,0,0
305,0,1,49.696753905923146,3,6,1,1
306,0,1,50.659016372104496,2,7,1,0
307,0,1,51.101085643284776,4,7,0,1
308,0,1,48.48381084211215,3,4,0,0
309,0,0,52.04785988689935,2,3,0,1
310,0,1,50.15398625432468,1,8,1,1
311,0,1,51.1828610582717,1,6,0,1
312,0,0,49.343250401936906,2,7,0,1
313,0,1,51.03414389276416,3,6,1,1
314,0,1,51.889257703799885,2,7,0,1
315,0,1,51.03910522120477,3,5,1,0
316,0,0,52.2782396823604,3,8,0,0
317,0,0,50.96181257084496,2,4,1,1
318,0,1,52.43072619003034,2,2,1,1
319,0,1,51.51992121204049,3,10,1,0
320,0,0,51.89720487957737,2,9,1,0
321,0,0,50.70272820430864,3,9,0,0
322,0,1,52.20046009162997,1,7,1,1
323,0,0,51.1566893883695,2,8,0,0
324,0,1,52.06214545195908,1,5,0,0
325,0,1,51.83899842306358,1,5,1,1
326,0,0,48.779083928264825,3,10,1,1
327,0,0,51.500184002934034,1,5,0,0
328,0,0,51.74799406984534,4,6,0,0
329,0,0,50.636283991778846,2,6,1,0
330,0,0,50.34581135409022,2,9,1,0
331,0,0,49.76014687393528,4,3,1,1
332,0,1,50.14473884801773,0,6,0,1
333,0,1,51.27057431995528,2,8,1,1
334,0,1,49.772436348557385,2,5,1,1
335,0,0,51.56038108942106,2,8,1,0
336,0,1,49.33314898900701,2,6,1,1
337,0,1,50.91934579508067,3,7,0,0
338,0,0,49.13101338281604,2,7,0,0
339,0,1,50.31800246474575,2,6,0,1
340,0,0,51.25886320615359,1,7,1,0
341,0,1,48.77947123769638,2,9,1,1
342,0,1,50.15790568929631,1,9,1,1
343,0,1,52.03078690009128,2,6,0,0
344,0,1,52.10592629286337,3,7,0,1
345,0,1,50.3947298932224,1,9,1,0
346,0,1,51.24673325981591,2,7,0,1
347,0,1,48.585548878225424,4,7,0,1
348,0,0,49.80738806883781,2,6,0,1
349,0,1,51.32728456438984,3,8,0,0
350,0,1,51.53795547901251,3,9,1,0
351,0,1,51.33494872263247,1,8,0,1
352,0,1,51.71512723032671,3,7,1,1
353,0,0,50.24429883323829,3,7,0,1
354,0,0,51.20662197594537,2,9,1,1
355,0,0,51.36996662918503,1,5,0,0
356,0,0,50.11028320930787,3,9,0,1
357,0,0,49.19243914975971,4,4,0,1
358,0,0,51.61014169404034,2,7,1,1
359,0,1,51.61765813134824,1,5,1,1
360,0,1,51.64712849909416,3,3,1,1
361,0,1,53.27578196563713,3,6,1,0
362,0,1,49.59797831013934,3,10,0,0
363,0,0,50.18122628654285,1,8,1,1
364,0,1,49.62444559893865,0,9,0,1
365,0,0,50.15956890193544,2,6,0,0
366,0,0,50.81572958690827,2,7,1,1
367,0,0,48.856498070931785,4,3,0,0
368,0,1,50.42213183906216,3,6,1,0
369,0,1,49.37734675816321,2,8,1,1
370,0,1,50.67682805509405,3,3,0,0
371,0,1,50.19188197205401,3,6,1,0
372,0,1,50.54482188397565,1,6,0,1
373,0,0,49.31635365704486,4,11,1,0
374,0,1,49.422802098649335,3,7,1,1
375,0,1,50.34599696537693,3,5,0,0
376,0,1,53.4835677313045,1,4,0,0
377,0,0,49.41142792249666,3,6,1,0
378,0,0,50.84244033578592,4,6,1,1
379,0,0,51.33442698008324,2,5,1,1
380,0,1,50.20532381393802,1,9,1,0
381,0,1,51.386631404489535,1,4,1,0
382,0,0,51.15893287250871,2,9,0,0
383,0,1,50.20935643546463,2,6,0,0
384,0,1,50.73568926968781,4,8,1,1
385,0,1,49.900200388235874,2,2,0,1
386,0,1,49.32162705877472,4,6,1,1
387,0,0,50.50371065455518,0,6,0,1
388,0,1,50.6640914396533,2,7,0,0
389,0,1,50.018369997116665,3,7,1,1
390,0,0,50.564640178961945,2,8,0,1
391,0,1,52.18426220052399,3,8,1,1
392,0,1,52.03354181522618,1,6,1,0
393,0,1,49.563141187603854,4,6,0,1
394,0,1,51.84275117895729,5,5,0,1
395,0,1,51.74462781896568,3,5,1,1
396,0,0,52.39231191124851,3,7,1,1
397,0,1,50.63662935915944,4,8,1,0
398,0,0,50.11824780362354,2,8,0,0
399,0,1,52.25253361229711,2,7,1,1
400,0,0,50.505818698540885,3,9,0,1
401,0,1,51.301083222952144,2,4,1,0
402,0,1,52.41698295613851,1,6,1,1
403,0,1,52.48492394390179,3,6,0,0
404,0,1,53.214769642629925,4,4,0,0
405,0,1,49.98808081462623,4,4,0,1
406,0,1,51.62955473766147,2,6,1,1
407,0,1,49.81861518862938,3,7,0,1
408,0,0,50.43029573404898,4,8,1,1
409,0,1,52.0313525714197,4,7,0,0
410,0,1,49.901458566688746,1,10,1,1
411,0,1,49.28845287614044,3,8,1,0
412,0,1,52.19607555956953,2,7,0,1
413,0,1,50.88125960251095,2,9,0,1
414,0,0,49.479668703133584,4,7,0,1
415,0,1,51.27602508600974,2,6,1,0
416,0,0,50.52104778668139,4,9,0,0
417,0,0,51.11242583429444,2,8,0,1
418,0,1,50.51601808342135,2,7,0,1
419,0,1,53.3514971018309,4,5,1,0
420,0,0,49.833971826214494,2,7,1,1
421,0,1,52.0656599373791,4,10,1,1
422,0,1,50.43907012123184,2,8,0,0
423,0,1,50.71796823740711,3,7,1,0
424,0,1,48.65188997167161,2,9,1,0
425,0,0,50.951977698214186,4,9,1,1
426,0,0,50.86341443807154,5,8,0,0
427,0,1,50.31607543946324,3,8,1,1
428,0,1,52.47703994718714,2,10,1,0
429,0,0,51.75067659793663,3,7,1,1
430,0,1,49.09622795406535,2,8,1,1
431,0,1,51.28972157305641,2,7,0,0
432,0,1,52.18040869532118,1,7,0,0
433,0,1,50.14096905894229,5,8,0,1
434,0,1,51.85531244239336,2,9,1,0
435,0,1,49.673185281579904,2,10,0,0
436,0,1,50.10451388167513,3,8,1,0
437,0,0,51.09294593109956,3,9,1,0
438,0,1,53.175844979386845,0,6,1,0
439,0,1,50.95174307796778,4,6,1,1
440,0,1,53.72939153229875,2,4,0,0
441,0,1,50.8383982644487,3,6,1,0
442,0,1,50.4666561834396,2,7,0,0
443,0,0,50.5798765790115,1,5,0,0
444,0,1,51.07394961146614,2,9,0,1
445,0,1,50.65294705574888,2,7,0,0
446,0,1,50.28399366227699,1,9,1,0
447,0,1,50.85514284225725,3,9,0,1
448,0,1,49.47733307268181,5,7,0,1
449,0,0,49.731215940085626,2,11,0,0
450,0,0,49.73072607014307,2,5,0,1
451,0,0,50.2831974515708,3,6,0,0
452,0,0,51.60645401207511,3,6,1,1
453,0,0,49.61267559262206,1,5,0,0
454,0,0,48.068132322796565,3,10,0,0
455,0,1,51.12167960876062,3,6,0,1
456,0,1,49.65147165814487,2,6,1,1
457,0,1,50.52893664157564,4,4,1,1
458,0,1,48.37438344023103,3,5,0,1
459,0,1,51.9346977888759,2,5,1,1
460,0,1,50.3690386729433,3,4,0,1
461,0,1,50.24732499975835,4,8,0,1
462,0,1,49.8475569237692,2,8,0,1
463,0,1,51.99809427263403,0,4,0,0
464,0,1,51.10126084726174,2,7,0,0
465,0,0,49.72122537214752,3,7,0,1
466,0,0,49.50247873525021,3,6,0,1
467,0,0,50.34837421974069,4,5,1,1
468,0,0,51.19265178100226,2,10,1,0
469,0,1,51.15694722749628,2,6,1,0
470,0,1,50.42168497550131,2,9,1,0
471,0,1,50.590328238528336,3,7,0,0
472,0,0,50.748678160012446,3,3,1,0
473,0,0,49.13525141049717,2,5,0,1
474,0,1,49.92230964786253,3,6,0,0
475,0,0,50.82408235613057,1,8,0,0
476,0,1,50.47058781893904,4,6,1,0
477,0,0,50.99752087696031,4,6,0,1
478,0,0,49.54410368532824,1,6,0,1
479,0,1,52.818653854051774,1,5,1,1
480,0,1,48.58920141709836,3,10,0,0
481,0,1,52.25873772751572,1,6,0,0
482,0,1,50.68780045468426,2,8,1,0
483,0,1,50.14249269404246,2,5,0,0
484,0,0,49.66975623106863,4,7,0,0
485,0,1,52.15547845299268,1,9,0,1
486,0,1,50.89505761241392,4,8,1,0
487,0,1,50.83710686936652,2,6,0,0
488,0,0,49.84936576636696,2,9,1,0
489,0,0,51.15623356347344,4,7,1,0
490,0,1,50.41472820357093,4,6,1,0
491,0,0,50.79606880996468,2,4,1,0
492,0,1,50.27368557424261,1,9,0,1
493,0,1,50.33619337859388,4,7,0,1
494,0,1,49.95382684415458,4,7,0,0
495,0,1,51.31568905471668,1,7,0,0
496,0,1,50.88629935887873,2,6,1,1
497,0,0,51.21158537082144,5,4,0,0
498,0,1,51.34460760993651,2,7,1,1
499,0,1,50.436908184763965,4,10,1,0
500,0,0,49.08389964605428,2,5,1,0
501,0,0,51.25440200245699,5,8,1,0
502,0,0,51.8409543345402,3,1,1,0
503,0,0,51.22090005879147,4,6,0,0
504,0,1,51.72427989050067,3,8,0,0
505,0,1,51.62695474432382,3,6,0,1
506,0,1,49.80204119526371,2,7,1,1
507,0,1,52.27412947806085,2,9,0,0
508,0,1,50.31925290605488,1,5,1,1
509,0,1,52.369569155983946,3,7,1,0
510,0,1,53.62900530896378,2,7,1,1
511,0,1,52.322298169497856,3,7,0,0
512,0,1,52.25788793871564,1,4,0,0
513,0,1,48.49271486652976,4,5,0,1
514,0,1,48.98115129964614,2,3,0,0
515,0,0,49.18115631287435,2,8,1,0
516,0,0,49.7998379756722,4,1,0,0
517,0,0,50.20483852985387,4,7,1,1
518,0,0,50.601732509358655,2,7,1,0
519,0,0,50.41319806170912,1,7,1,1
520,0,0,49.09079653219021,2,8,1,0
521,0,1,50.04480824927112,5,8,1,0
522,0,0,49.174452855551735,2,6,1,1
523,0,0,50.80991281580842,2,9,1,1
524,0,0,51.48880833420683,3,8,0,1
525,0,0,50.5812711899688,4,6,0,1
526,0,1,50.3028673364773,2,8,1,1
527,0,1,52.857723697906486,3,7,0,0
528,0,1,52.386004884906136,4,8,1,1
529,0,0,50.78493776058824,4,7,0,1
530,0,1,51.02437770442549,3,4,1,0
531,0,0,50.28525858343056,3,8,0,1
532,0,0,50.54497583837259,3,10,1,1
533,0,1,51.72561793143632,3,6,0,0
534,0,1,51.77377297467522,4,5,0,0
535,0,1,51.245039183174136,3,7,1,0
536,0,1,51.05890144006931,2,7,0,1
537,0,1,50.72565284484518,2,4,0,1
538,0,1,50.04216758638674,3,7,1,0
539,0,1,50.49825564830416,2,6,1,0
540,0,1,51.00765554306047,2,5,0,1
541,0,1,49.81764509145831,1,6,0,1
542,0,1,49.62227207113859,1,6,0,0
543,0,0,51.8712344340386,3,7,1,1
544,0,1,51.21486977528073,2,7,0,0
545,0,0,50.903757317680295,2,7,1,0
546,0,1,51.73726238438157,1,9,1,0
547,0,0,51.92895715878588,1,4,1,1
548,0,0,50.502975880764566,2,9,1,0
549,0,1,50.51409609151432,1,6,1,1
550,0,1,50.30555109964823,3,6,1,1
551,0,0,51.39309010438735,2,8,0,0
552,0,0,49.96744701954399,5,8,1,1
553,0,0,48.74583219029558,2,6,0,0
554,0,1,51.47412015692593,2,7,1,0
555,0,0,52.181868896732354,3,8,0,0
556,0,1,50.25874759218076,3,8,0,0
557,0,1,49.32604413278309,2,8,0,1
558,0,0,50.12094705169584,2,7,0,0
559,0,1,51.38568883848594,1,3,1,0
560,0,1,51.77142170042029,2,9,1,1
561,0,0,50.04264860809322,4,7,0,0
562,0,1,51.13132377927348,1,5,1,0
563,0,0,50.474519874040375,2,6,1,1
564,0,1,50.09011473075145,2,7,0,1
565,0,1,51.05151175984294,2,9,0,0
566,0,0,49.56247555730829,2,8,0,0
567,0,0,50.71248392787332,3,6,1,1
568,0,1,50.97224663139816,3,6,0,0
569,0,0,51.0034557814593,2,6,1,0
570,0,1,51.54031520489268,4,5,0,1
571,0,0,51.65777829725711,3,9,1,1
572,0,0,51.16646687127648,4,4,1,1
573,0,1,50.63814329160792,3,8,1,0
574,0,0,50.61376923458306,4,7,0,0
575,0,1,51.6035121799166,2,9,0,1
576,0,1,49.64723269798935,1,5,0,0
577,0,1,52.24701857612731,2,7,1,1
578,0,1,54.630097260573706,3,6,1,0
579,0,0,50.365245251781495,2,4,0,0
580,0,1,50.95272499917222,5,8,0,1
581,0,0,50.15691786151793,3,10,1,1
582,0,0,51.78690158345408,3,7,0,0
583,0,1,50.41290864119825,2,3,1,0
584,0,1,51.084600850441305,0,5,1,1
585,0,1,52.03541484631838,2,6,0,0
586,0,1,50.89195438899947,2,6,1,0
587,0,1,49.74370441026968,4,7,1,1
588,0,1,51.4616392615975,1,5,1,1
589,0,0,49.56504395011516,2,5,0,1
590,0,1,51.56631981457488,1,5,0,1
591,0,0,51.99245429485453,2,5,1,0
592,0,1,49.12023868229174,2,9,1,1
593,0,1,49.30567241857421,2,8,1,0
594,0,1,52.57027622975037,3,6,0,1
595,0,1,52.07387406685864,3,6,1,1
596,0,1,51.857946318519225,2,6,1,0
597,0,1,52.4613441626453,3,5,0,1
598,0,1,49.44409523166046,3,11,1,1
599,0,1,51.72829254566868,4,7,1,0
600,0,1,50.795997841911856,2,5,0,1
601,0,1,51.363126554641816,3,5,0,1
602,0,1,51.377193584553474,3,6,0,0
603,0,0,52.88474894364074,2,9,0,1
604,0,1,49.53973976332464,0,5,1,1
605,0,1,50.12987210391879,3,7,1,1
606,0,0,51.55275090891792,2,6,0,1
607,0,0,49.8203210816105,0,10,1,0
608,0,0,51.56417065129851,3,7,0,0
609,0,1,51.70574271429236,2,5,0,1
610,0,1,50.95620415330093,2,7,0,1
611,0,1,51.24283904949236,3,5,1,0
612,0,1,51.39979894023863,2,8,1,0
613,0,1,49.18394564689876,0,6,1,0
614,0,0,51.66444509488879,2,6,0,1
615,0,1,50.19097424402542,3,9,0,0
616,0,1,51.8974010189904,4,7,1,0
617,0,1,51.69622889214069,2,8,0,1
618,0,0,50.47381284996842,3,6,1,1
619,0,1,49.189339331869945,2,7,0,0
620,0,1,50.100566198100026,1,4,1,1
621,0,1,51.12414817791986,3,7,1,0
622,0,1,49.70686234597361,3,5,0,1
623,0,0,51.0757159309778,2,8,1,0
624,0,1,53.03113530765253,1,6,1,1
625,0,1,50.05542735842703,5,6,0,0
626,0,1,50.74126739132185,3,5,1,1
627,0,0,51.14461049834628,3,7,1,1
628,0,1,51.15031128469252,3,8,1,1
629,0,0,51.93576719601891,3,6,0,0
630,0,1,50.36700102133019,3,8,1,1
