individual_income,age,gender,minority_status,community_resource_availability,social_program_participation,social_mobility_score
12,28,1,1,4,5,62.34759514720733
17,31,0,1,8,6,68.23970289315962
10,31,1,0,10,13,99.64981371496545
8,30,1,1,9,11,88.54532621853977
6,31,1,1,11,13,96.86564625356216
13,32,1,0,7,5,62.45014174442981
11,31,0,0,9,10,87.57908984563475
11,29,1,1,2,6,68.63604276418756
7,31,1,0,9,12,93.1739019987822
10,30,1,1,5,8,76.65051048268553
7,29,0,0,5,10,85.71736084320699
11,31,0,0,7,6,66.3704101406003
10,28,1,1,8,11,91.58843602215812
9,29,0,1,9,12,94.30651825047342
13,27,0,0,7,9,80.87617067989582
9,32,1,1,10,8,75.43657382843237
15,30,1,0,9,7,73.14053725939088
8,30,1,0,11,10,83.6255250030104
7,30,0,0,8,13,96.46887060745648
5,25,1,1,11,15,107.00963035709314
12,26,0,1,8,11,90.6890818768434
10,30,0,0,7,10,86.51504627551421
11,31,1,0,7,8,73.45160863888623
10,30,1,1,10,12,94.40152639270076
9,30,1,1,9,9,80.06134493679302
7,30,0,0,6,10,86.01816474160316
10,28,0,1,8,10,86.5433299196135
9,32,1,0,4,10,84.47532767339818
11,27,1,0,9,8,74.48832380709108
10,28,0,1,5,8,75.92409901130765
15,28,1,1,5,5,61.728739914011015
12,24,1,0,6,14,105.9048996289362
6,30,0,1,8,10,87.46579925439991
11,21,1,0,7,14,103.9274941261662
9,29,1,1,11,8,71.58602986755257
9,32,1,1,7,9,84.39695677228612
12,29,0,1,7,5,62.89488208794698
9,31,0,0,8,10,86.4350647201844
11,28,1,0,7,9,79.61651605512264
8,26,1,1,8,12,96.28005448893732
5,31,1,1,8,9,80.77761897161982
5,28,1,1,9,14,101.17985489901416
8,31,0,0,4,8,76.6040656234003
8,31,1,1,5,7,70.50646701266575
12,28,0,1,11,10,89.33474157325178
10,29,1,1,9,12,94.15612411751518
11,27,0,1,5,8,79.14100699752049
8,33,1,1,9,9,81.13312778782667
9,27,1,1,5,9,80.87024960038944
6,26,1,1,7,14,103.40629380317591
7,28,1,1,7,12,92.33685917786136
10,30,1,0,10,12,92.5272725778275
8,29,0,1,8,10,87.29979648307113
12,32,0,1,5,4,58.13068153679037
13,30,1,1,6,7,73.30499223772743
8,27,1,1,9,12,95.18433702827326
9,30,0,1,7,9,81.56423681317686
12,29,0,1,6,7,72.454646538664
10,30,0,1,8,11,93.27153909137226
13,28,1,0,6,8,76.48644726210924
10,34,1,1,6,6,66.08257654312455
6,30,1,0,10,14,102.45770796453206
7,29,1,0,7,9,79.54909840293709
13,30,0,1,9,6,67.88811591145132
7,27,1,1,11,14,102.73749297620294
7,25,1,1,7,13,96.72295085412507
13,32,0,1,8,7,72.99867147295974
11,30,0,0,8,9,84.5031367223521
7,27,0,0,9,14,103.80207097325152
7,30,1,0,10,11,86.59351685443794
7,32,0,0,8,10,83.46599409175835
11,33,0,0,9,7,73.83328036841824
10,29,0,0,9,11,89.2944756991616
5,31,1,1,8,10,84.58484000960549
11,31,1,0,5,6,66.54898447866663
3,31,1,1,6,12,93.10074889037476
10,30,0,0,7,8,77.3985823956068
8,28,1,0,8,11,87.97530135641607
11,31,0,1,7,5,61.36971816310092
13,32,0,1,5,3,54.302443842030485
8,30,0,1,10,10,85.75310034029431
9,28,1,0,8,11,90.78624294952142
12,28,0,1,8,9,83.70220542527407
11,29,1,1,15,12,92.58500339261109
9,30,0,1,8,11,88.68796934052911
12,30,0,0,6,10,90.73215846799675
4,26,0,0,8,16,112.01819490233204
15,29,1,0,13,10,83.33663412257606
14,28,1,1,7,8,78.37422184838063
11,28,1,1,8,9,77.22871721957577
12,32,0,0,7,6,69.57900226127107
12,34,1,1,8,4,57.32170868271394
8,27,0,1,5,10,85.01733029872129
6,30,0,1,9,11,89.41837693287265
10,30,1,0,8,9,81.08606943290062
8,33,0,1,11,9,83.34275773479423
11,28,1,1,7,8,75.6871894583979
12,32,1,1,5,6,68.60737379367308
10,31,1,0,12,13,99.00945144383996
11,33,1,0,11,10,85.86553174638799
10,28,0,1,6,10,86.67156791811286
15,28,0,0,6,8,77.21905116176075
9,26,0,0,6,11,92.11560777864032
17,28,1,1,8,8,81.02331306651263
10,31,0,0,7,9,85.16412488351128
6,30,1,0,7,12,94.07733309315716
9,30,0,0,8,10,86.61883794090164
9,31,1,1,3,6,68.86823943856703
8,27,1,1,7,13,98.55298610206768
9,32,0,1,6,5,58.42412802852141
6,28,0,0,7,13,100.1175515277602
10,27,1,0,9,13,100.87286255854052
8,26,0,0,9,13,99.10843385241296
18,30,1,0,7,6,71.66781276019137
10,29,1,0,8,11,91.83649812949912
11,28,0,1,5,9,81.61344744256768
8,30,0,1,11,11,91.26680844239574
2,24,1,0,10,20,131.077804989582
11,27,1,1,6,10,82.08076729629134
5,35,1,0,7,10,84.58783678221937
11,28,1,1,9,13,101.32450046974
8,31,0,1,8,8,76.4183778355156
8,33,1,0,8,10,86.93135805164921
8,28,0,1,7,10,81.89938056720696
10,33,0,1,8,6,67.40865148060631
10,31,0,1,10,9,82.3891234482639
13,30,0,0,5,8,79.04101529227563
8,32,1,0,5,8,76.83841399026252
7,29,1,0,7,12,95.77843773733603
10,30,0,1,9,11,93.1363258242169
5,26,1,0,6,14,103.64745440812214
8,28,0,1,8,10,83.18675498422479
5,33,1,0,9,10,84.198774178642
7,28,0,0,7,9,81.40549899612881
7,29,0,0,3,10,87.36163673836414
9,30,0,0,9,10,82.17391656326343
14,32,0,1,6,6,72.85970852916313
9,29,1,0,8,14,106.00784057800796
5,30,1,1,9,13,96.70457185588204
12,30,0,1,5,6,70.14869952159944
11,33,0,1,9,9,82.93070224951613
10,33,1,0,8,7,75.51336520036752
10,31,0,0,8,11,94.29442978011062
10,30,0,1,4,8,77.22514994206088
10,27,0,1,8,12,92.69765716060122
15,30,1,1,7,5,64.54150078747432
6,28,0,0,8,13,98.2651020068164
5,30,1,0,6,9,78.01577941983143
10,33,1,0,7,8,75.28239980758698
12,31,0,0,7,7,75.61901764713046
8,28,1,1,8,10,82.65530723297783
12,37,1,1,9,4,59.78994042396135
3,31,0,1,5,8,77.48415070453824
9,30,1,0,6,10,84.82617798521488
2,32,1,0,8,13,96.1398821370204
10,25,1,1,10,13,98.36814184345408
6,27,0,1,9,12,91.89471213171106
10,28,1,1,7,7,70.74205722244672
12,31,1,1,12,11,89.69289349076575
9,32,1,0,8,8,75.6513059600822
1,29,1,1,7,13,93.88363936434271
8,29,1,1,9,10,84.9951618366167
13,30,1,0,7,7,71.16936264992844
6,32,1,1,5,6,67.1672622364245
11,29,1,0,7,11,91.60615086185676
9,30,0,1,9,11,88.45361286743888
12,29,0,1,10,10,87.49094006852994
13,31,0,1,12,8,78.14839610215107
10,26,1,1,10,13,101.43148663936071
7,27,1,1,10,14,101.19421581518787
8,32,0,1,9,11,91.9423920799645
9,28,0,0,6,9,80.17691095167409
4,30,1,1,6,11,89.03516074610543
10,28,0,0,10,11,89.57347386731617
10,27,1,1,7,10,87.43586796305084
9,28,1,0,8,13,99.56004049519656
6,33,0,0,10,10,86.51616031432131
8,28,0,1,11,13,99.15656580536368
10,30,0,0,8,9,83.86912048099934
10,31,0,1,7,6,67.40904276660861
5,33,0,1,8,11,91.80688510870786
6,26,0,1,5,12,94.00500293320218
16,32,1,0,4,4,61.25256342620875
8,31,1,1,9,9,78.21205070907237
9,30,1,0,8,10,85.77599771990681
13,28,0,0,8,8,77.66962786779834
9,30,1,0,8,9,79.6738543993331
14,26,1,1,6,8,77.04428471078621
8,26,0,1,9,11,87.44452343466885
9,32,1,0,10,11,90.16563605332088
12,30,1,0,9,7,70.06277287895625
9,29,0,0,8,11,89.5537142778445
11,31,1,1,6,6,67.72585409941563
12,32,1,0,5,8,77.94205037018955
6,34,0,0,7,8,75.93626633385763
6,32,0,1,6,12,95.8919284730728
8,29,1,1,13,11,89.41766678022447
11,32,0,0,10,8,77.50098923019762
6,31,0,0,4,8,76.097353569342
9,30,1,1,11,11,89.54798358749244
12,31,1,0,7,8,75.60410614165936
9,31,0,1,9,8,77.37628766499469
11,27,0,0,4,11,93.57088805086364
10,30,0,1,8,8,76.58617737736195
9,32,1,1,9,7,69.65794012346694
5,30,1,1,7,13,97.34159128141266
11,32,0,0,8,7,71.58067699141172
10,29,1,0,9,14,103.57116641097596
12,27,1,1,8,12,96.90962784250242
9,30,0,0,8,13,100.98538653513768
7,27,0,0,7,14,103.62319770806263
11,27,1,1,9,10,84.29870678024473
8,32,1,1,7,9,81.96560023402905
11,29,0,1,7,9,81.03205982509505
8,25,1,1,9,14,100.82888731628118
14,31,1,1,8,6,67.6522546073622
9,29,0,1,3,6,66.75840779745316
12,31,0,0,9,13,104.38801317285473
10,33,0,0,3,8,78.29613227363923
6,28,0,1,8,11,88.67378993270154
8,30,0,0,9,10,83.92059429666233
8,31,0,1,12,13,98.13924398563856
12,28,1,1,5,11,93.89435540676656
12,29,1,1,11,10,84.39620007953584
9,29,1,1,6,11,89.47030490612258
10,27,0,1,5,6,68.339256049064
3,30,1,0,6,12,94.84166003292476
11,30,0,0,8,10,87.46289642879023
13,32,0,1,9,8,77.77402873994556
8,29,0,1,12,13,96.62029050125604
7,28,1,0,7,10,85.09801784700328
5,25,1,0,6,14,99.4237862153412
10,27,0,0,6,11,89.83310310047082
11,31,0,1,6,4,59.91699797326687
11,30,0,1,10,8,75.7828570509927
8,31,1,1,6,7,70.86050461978355
7,26,0,0,7,11,90.13410100780878
5,31,0,1,8,13,100.99476803503896
9,28,1,1,7,10,85.13600407545002
8,28,0,1,8,13,101.35239280518316
6,28,0,1,4,9,82.23765897956005
12,27,0,0,8,9,82.80044129779685
12,26,1,1,9,12,96.93332139305087
9,32,0,0,6,6,67.69906473980332
11,29,0,0,7,10,88.96342853074286
10,31,1,0,6,9,80.78855333387446
9,32,1,0,9,10,86.40790030955542
1,27,0,0,4,12,92.04139719247549
9,31,1,1,9,9,79.82968716589498
13,28,1,0,7,13,103.1713685586936
8,31,0,0,4,7,72.88613443251363
6,33,1,1,9,8,71.16388442312942
12,31,1,0,11,12,96.90810626134312
10,32,1,1,8,6,66.47485136030672
7,31,1,0,9,10,81.92343644870584
8,29,1,1,9,12,93.71558008558227
8,31,0,1,5,8,75.2807379030581
10,30,1,1,12,11,91.11233356292948
9,28,1,0,8,12,96.055224987322
14,27,1,0,9,12,96.70496385319134
2,28,1,1,9,13,94.49281801260896
4,26,0,1,7,15,109.0998019431024
6,30,1,0,7,13,95.846146186548
12,26,0,0,7,9,82.21304818170165
11,31,0,0,13,13,102.90023205571003
6,28,1,0,8,11,87.75693503131711
8,29,1,1,9,9,79.073124111236
10,27,0,0,7,11,93.82688570460252
7,34,1,0,4,7,72.35847947146101
11,28,1,1,8,9,79.98384867587164
6,27,0,1,9,13,99.58786377940748
7,29,0,0,9,13,97.84735434221548
12,29,0,1,5,6,67.43007745954968
14,31,0,0,10,10,91.13518424153231
8,26,1,0,8,13,97.81191836551729
12,29,0,1,6,7,72.33909370797305
15,33,0,1,9,6,71.3080305457289
9,28,0,1,9,10,85.25246700474413
5,29,0,1,9,12,93.63871257998495
7,32,1,1,9,10,84.36720051511969
13,30,0,0,12,9,83.08060636125369
7,29,1,1,6,10,83.99385987859647
9,28,1,0,11,11,88.18952225049927
12,26,0,0,6,13,101.1352692480526
13,29,1,0,11,13,102.06339625565224
15,29,0,0,11,9,82.1337299607219
5,36,0,1,9,9,80.14906229643834
13,26,0,0,8,13,99.56706004337094
9,29,1,1,9,11,89.48757939871302
9,32,0,0,7,10,87.88851247427151
13,29,1,0,6,9,83.01498201486044
17,29,1,0,8,7,71.39936776441546
9,28,0,1,9,11,89.03863423021885
11,27,0,0,10,11,92.966023967384
12,29,1,0,8,10,87.62825475589428
8,33,1,1,4,7,70.06227426619151
7,33,1,0,3,7,70.84895169228699
11,29,1,1,7,10,87.31042447538901
9,31,1,0,10,9,78.09239970569342
11,28,0,1,8,10,86.05234036135565
10,32,0,0,7,10,90.85028215843184
7,26,0,0,10,12,93.87301300027195
11,30,1,1,6,6,68.21470805929448
16,26,0,0,4,7,74.57244311702391
4,31,1,0,7,14,100.44684978369231
14,27,1,1,7,9,85.45935457709498
10,30,1,0,7,10,87.83120418356305
10,30,0,1,6,8,78.17055445184974
7,27,1,1,7,11,86.84884236006968
7,27,0,0,6,13,100.0378938362932
11,31,1,0,6,8,78.76378754572778
12,34,1,0,5,6,64.81892913927152
9,31,1,1,7,10,86.48943754654992
7,29,1,1,6,12,94.6764250174938
6,28,1,0,7,12,93.80258492136346
11,29,0,0,5,9,82.56829995191602
7,28,0,1,9,15,108.2280150924898
16,33,0,1,8,2,51.57258847108356
10,29,1,1,10,8,76.8828222025254
7,27,1,1,9,11,88.18381930203134
12,29,0,1,8,8,79.02854488544385
6,28,1,0,11,15,108.0455396147737
12,32,0,0,8,8,81.85859921237201
10,30,1,1,6,8,77.18576948373375
8,27,1,1,3,9,78.40223314521415
19,30,1,0,7,4,63.42060949544956
7,29,1,0,6,10,84.59592526326558
11,26,1,1,7,10,85.97847220710887
9,29,1,0,4,9,83.13531714253914
11,29,1,0,8,13,99.71177662931956
6,31,0,1,7,7,70.87931209386748
11,29,0,1,5,4,56.109456907784974
11,28,1,1,8,11,93.7537762561638
11,29,0,0,10,9,81.78939731921209
10,28,0,1,10,14,104.95255361572558
8,25,1,1,6,15,109.29303313197065
10,28,0,0,6,9,80.1003763063613
7,30,1,1,12,13,98.2679559526063
15,27,0,0,6,8,78.8044135168281
7,30,0,0,5,10,83.8326846800299
11,30,0,1,6,7,72.03384697829824
11,29,1,0,9,9,84.04757138668373
12,29,0,0,10,9,81.23850410491531
11,26,0,0,5,10,86.13797880280711
11,32,0,0,9,9,83.77288660861751
10,31,0,0,7,7,72.05178237976196
9,30,1,0,9,11,89.62257237448516
11,26,0,0,6,12,96.41115611575974
7,26,0,0,7,14,104.66299322299382
7,30,0,1,6,11,89.65448954525228
11,29,0,1,6,6,68.74157140232593
10,30,1,1,7,8,74.35529780981078
13,31,1,0,11,8,75.40559208685472
10,34,1,0,7,9,82.51275395621064
10,30,0,0,7,7,70.38622061928608
10,32,1,1,10,10,88.07371485863833
6,31,1,1,9,10,81.7514281628262
15,29,0,0,7,7,76.61970001091142
12,27,1,0,4,5,61.79621329582968
7,29,1,0,7,10,86.91492571409775
9,33,0,0,8,8,76.683233648065
9,25,1,1,7,14,101.58271359659878
14,26,0,0,7,12,98.61732093928003
13,34,0,0,8,4,57.27732904848843
15,30,0,0,9,8,80.51437343774647
8,27,0,0,5,12,95.98471746128128
8,26,1,0,6,13,96.52685187142906
13,30,1,0,8,8,74.53230568554802
5,31,0,0,6,11,91.13278503338262
6,29,0,1,9,13,98.8122308109334
10,29,0,1,6,8,76.8580621717278
9,27,1,0,3,10,83.78266267657949
9,30,0,0,5,10,90.2900621544889
9,25,0,1,7,12,95.43670595354968
10,26,0,0,3,9,82.41361306968575
7,28,0,0,5,11,90.01337801267603
8,32,1,0,5,8,75.23923088157076
11,28,1,0,9,12,91.8105761945816
13,28,0,1,5,4,60.39992545943685
12,28,0,1,10,9,82.75082716994662
13,25,0,0,8,10,87.03079460594603
16,29,0,1,8,7,76.48327550016316
14,32,1,1,8,6,69.24655335969298
14,30,1,0,7,8,78.00027080230672
6,28,0,1,7,8,73.67790556387527
10,30,1,0,6,9,80.83062784577909
7,29,1,0,9,12,94.03240978274404
8,32,1,1,10,6,65.85541173822243
9,32,0,0,7,9,80.40947074217185
11,29,0,0,7,7,71.84170929673084
8,29,1,1,8,10,82.87676666358787
9,31,1,1,8,8,75.6329639710689
9,29,0,0,10,13,100.78529380683976
5,33,1,0,7,8,74.22718059768995
7,32,0,0,9,9,80.35277729235078
9,28,1,1,9,12,92.665516019593
8,28,0,1,4,10,85.21688641949379
12,32,1,1,8,4,58.34490606389439
14,30,1,0,10,8,76.77645581922526
13,29,1,0,9,10,88.31471319880104
14,34,1,1,9,6,68.90902459649585
9,28,0,0,4,8,76.03582360436444
10,28,0,0,8,12,94.55644654989298
10,29,0,1,6,7,70.2367223402243
13,34,0,0,6,9,83.99081475508666
15,30,1,1,5,6,70.62865969965488
6,29,0,1,9,10,82.42521707614021
5,29,0,1,5,10,83.56918807257574
11,31,1,1,4,8,79.81904600385619
8,30,0,1,7,7,70.79639913762426
10,30,1,0,9,10,86.26952075125986
11,30,0,1,8,10,85.77416028751686
14,29,1,1,8,7,69.52836643277882
11,31,1,0,2,4,56.84910403524678
8,29,0,0,5,10,85.24251692886178
11,29,1,0,6,10,85.64890488631251
9,31,1,1,10,8,74.05497047886772
8,32,1,1,8,7,67.75048760862103
6,28,1,0,3,10,85.03788801961562
10,30,1,1,7,10,89.57282098714616
11,32,0,1,8,7,72.05770876120575
10,29,0,1,10,11,92.10128982132674
7,29,1,1,4,8,74.53300593112279
14,29,1,1,7,8,76.67376366653252
13,32,0,0,8,8,78.04969236199287
11,29,1,1,3,8,77.46162516369112
10,28,0,1,8,11,89.98115173950318
6,26,1,0,9,17,115.60194522009706
7,32,1,0,8,11,92.58173472127076
8,31,1,0,6,7,71.2598101814643
11,30,0,0,8,9,79.67404961236677
12,28,1,0,8,11,93.19215342458504
5,34,1,1,12,11,88.20178474003727
12,29,0,0,8,11,93.50901168705646
11,30,0,0,7,9,83.22750633336516
12,26,1,0,6,10,87.81298223415433
15,30,1,1,8,9,82.03943541964193
11,29,0,0,6,10,88.66809722054903
4,34,0,1,6,8,75.34651446897219
12,30,1,1,10,10,86.43916810133777
14,34,0,0,9,4,57.34657161119525
9,28,1,1,9,9,78.74773854508528
13,30,0,0,7,8,77.60737946639127
6,29,1,0,4,9,80.77486148546568
13,31,1,1,10,6,68.12006546495888
13,29,0,1,7,6,68.96254118635618
8,28,0,0,6,11,92.65677014025836
5,29,1,0,7,12,92.59582659051456
8,28,1,1,7,14,103.44082285371266
10,32,1,1,7,7,70.57793052980517
6,33,0,0,7,10,85.32219472751473
11,31,0,0,7,9,83.20098583717922
10,29,1,1,8,9,77.25103300280044
10,27,0,0,4,11,92.32486948964568
9,25,0,1,9,13,99.10524138293952
7,33,1,0,10,12,93.362746592481
7,30,1,0,7,9,80.54463280796243
9,32,0,0,7,11,91.9324943291323
8,28,1,0,10,14,101.88163657998412
9,29,1,0,6,9,80.32827095626214
6,29,1,0,6,12,94.64162513981302
9,30,0,1,9,12,98.7108522657813
12,29,1,0,7,10,86.92648449621059
8,32,0,1,8,8,75.69767804704392
7,27,1,1,10,14,101.55365016235235
10,30,1,1,5,9,83.62456395466151
7,28,1,0,6,12,95.15613336490696
14,29,1,0,8,9,82.42630303822837
11,32,1,0,9,9,80.23222377343725
9,28,0,1,6,8,74.41458131814284
8,27,0,0,7,14,104.42174898142892
12,28,1,0,6,11,91.2487366542066
7,31,1,1,11,11,88.81837845501951
3,32,0,0,10,14,99.89751323912516
14,29,0,0,11,10,88.30410433995155
10,28,0,0,9,12,94.80205311040548
7,30,0,1,1,7,71.58518495287726
8,33,1,1,7,9,82.08362045093754
10,26,0,1,6,10,85.0212555587975
4,34,1,0,4,8,74.01566825535005
7,33,0,0,9,9,79.20328545995554
11,33,1,0,7,6,66.30803392618009
7,28,1,0,10,13,96.82839013986764
11,30,0,0,11,10,85.5324385762245
8,28,1,1,10,12,95.81373762602344
9,28,1,1,5,9,79.38169251637683
9,29,1,1,10,13,100.2770669790846
4,31,1,0,9,11,86.81948355918453
10,31,1,1,4,4,58.08633127439796
7,30,0,1,8,10,87.94381952172849
5,31,1,1,6,11,88.64773917687181
10,30,0,0,12,12,94.74908202512846
5,29,1,1,9,10,81.5411553383361
16,28,1,1,9,7,75.21157564558848
14,27,0,1,7,7,73.45600923042691
9,27,1,0,6,11,84.71116548985589
9,33,1,0,7,8,77.1216393687684
8,26,1,1,6,12,93.7659225343374
9,31,1,0,9,12,95.74334115409798
13,32,1,0,11,7,69.56321653533705
12,30,0,0,7,8,80.42520295982334
11,31,0,0,10,8,76.56261870972027
12,28,0,1,9,8,77.22954004328307
8,27,0,0,7,11,89.57415933556142
8,27,0,1,8,10,85.10974206970818
6,27,0,0,7,13,99.54315722251184
10,28,0,0,8,9,79.06320900847987
10,31,1,0,6,8,72.88138658421248
9,29,0,1,7,8,73.51873675631185
12,27,1,1,10,11,92.28257386248724
13,36,1,1,10,8,78.29502551344844
3,26,0,1,6,13,96.76619156724524
10,28,0,0,7,11,91.5643096667626
14,30,0,0,7,8,78.75290750968233
8,31,1,0,10,11,88.21732427122598
9,30,0,0,9,11,92.49220998240952
6,33,0,0,7,9,81.65761411082262
2,30,1,1,7,13,96.18228759349792
11,32,0,1,9,10,86.59342821976968
8,30,1,1,8,10,83.56668269870397
13,31,1,1,7,6,65.45891561035185
10,29,0,1,7,9,79.25277776136011
14,30,0,1,11,10,87.09005184173111
12,28,0,0,9,11,94.12364818084194
11,30,1,0,6,9,80.06969166287641
11,30,1,1,10,9,78.61233063579066
12,28,1,0,9,11,90.45341292787636
8,30,0,0,4,10,88.45189957234281
10,31,0,1,8,9,80.9747652733139
12,26,1,1,6,9,82.50917674664787
8,31,1,1,8,11,90.34357345577033
13,32,0,1,9,4,58.96961212954842
9,27,0,1,8,11,90.23121089691176
11,30,0,0,6,9,80.56879165601526
11,27,0,1,4,9,84.30489997438912
8,27,1,1,8,8,75.39075082204202
8,31,1,0,8,12,94.51022495576493
8,29,1,0,6,13,98.59209461513534
11,27,1,0,6,11,93.8271096552052
8,30,1,1,9,12,93.78986142091404
11,30,1,0,10,11,87.13725953873617
12,27,0,0,10,11,91.43778751245868
14,30,1,1,10,8,75.79743105839742
8,31,1,0,10,9,80.07669058860795
8,28,1,1,7,10,82.70287990343326
9,32,1,1,9,9,81.54920267976462
12,30,1,1,8,7,71.30030045054482
11,32,1,1,6,5,65.6866005533457
12,30,0,0,7,9,82.46427096199989
6,29,0,0,6,12,95.89161812401984
12,28,0,0,10,9,80.86425515754297
11,33,1,0,7,8,77.3978760642923
15,31,1,1,9,5,60.41819236763504
11,28,0,0,9,9,81.37998967139488
13,28,1,0,8,10,86.1402156890868
11,28,1,1,10,10,87.24651417642289
5,28,1,0,8,12,91.3931888616656
5,28,1,0,3,11,90.01593322268519
10,26,1,1,9,10,82.51260183170278
9,28,1,0,5,10,83.27808363531737
11,30,0,1,7,10,86.84943790723007
6,28,0,0,7,12,95.46441192993495
12,29,0,1,11,10,87.52330621328036
7,34,0,1,3,6,72.01897289654721
9,30,0,0,6,9,84.54042687628586
14,30,1,1,9,6,68.89927769124357
10,26,0,1,9,11,88.40502491590338
7,28,1,0,6,10,83.32815631386471
9,32,1,0,7,8,75.1115800060957
8,27,1,1,9,12,92.45052738620667
6,32,0,0,3,11,92.27436848035175
8,30,1,1,5,7,68.81048196856203
12,31,1,1,8,10,88.36184567652224
7,27,1,0,10,15,108.10762437549124
10,31,0,1,7,7,71.74097201769459
7,30,1,0,6,13,100.05187615252107
10,27,1,0,9,12,92.06303949947944
13,31,0,1,10,7,72.12942134245773
8,34,1,1,9,8,76.59954738307205
15,25,1,0,7,9,83.26863250784511
12,28,0,0,7,7,76.15769165005791
6,30,0,1,2,6,65.97095077781489
8,34,1,0,6,9,80.53151926565779
6,31,0,1,8,9,79.34462737597187
6,27,1,1,5,12,95.27419299331156
10,32,1,0,8,11,91.21255829570558
7,33,1,1,9,10,81.983342408682
10,31,1,1,7,8,78.19753493887762
12,31,1,0,8,8,77.26175424992897
11,34,1,0,7,9,82.76713292453407
7,31,1,0,7,11,84.27724830389369
13,30,0,0,9,7,75.12600580994078
12,29,0,0,10,12,95.6501884191859
19,32,1,0,7,3,56.1876052755764
7,32,1,1,3,7,73.11729585192947
9,32,0,1,9,9,81.09296781058582
7,31,1,0,11,13,96.8294329063068
6,31,0,1,9,11,90.11347160250608
6,32,1,0,10,13,100.1209193341612
10,33,1,1,6,7,71.03571637889468
11,31,0,0,10,9,82.38172575606626
8,31,0,0,5,9,81.34088176412158
11,33,0,1,7,8,78.50512835363868
10,29,1,1,11,9,75.28027942617283
11,29,0,0,10,12,98.21135852491864
6,32,1,1,8,8,72.16340295178095
5,30,0,0,6,10,85.93417424031914
12,25,1,1,8,10,82.5855811084607
13,30,0,1,9,7,71.80695948042978
5,26,1,0,12,16,112.01342900244173
8,31,1,1,8,9,79.18381270417282
9,32,1,1,6,7,71.55005187075456
9,30,1,1,6,11,91.01247238713788
8,30,1,1,10,10,83.25113478237704
8,29,1,0,4,7,71.29912581640728
11,30,0,0,7,8,78.64965470397621
6,28,0,0,8,14,103.5824451444975
14,31,1,0,8,4,59.01164347090694
9,35,0,1,11,7,70.88858815012509
10,31,0,0,6,5,61.12880199627576
11,31,1,1,8,7,69.45372511330729
5,30,0,0,5,13,99.89896436013724
15,31,1,1,7,4,60.40011327958693
11,32,0,0,6,7,73.11706592658378
11,31,1,0,9,11,91.46369413975674
6,27,0,0,7,13,98.98753289456678
11,34,1,0,6,5,65.59173998063767
4,31,1,0,6,11,86.04436443644795
7,30,1,1,6,9,77.95302746903347
13,32,0,0,6,7,73.97127083723848
13,29,1,1,8,8,78.18266846341415
10,29,1,1,4,9,84.02427367460162
9,31,1,1,6,9,80.0358576604767
12,28,0,1,7,9,82.95597153601346
3,30,1,0,5,13,95.0160014356843
9,31,0,0,9,10,87.03245592891102
11,30,0,0,8,12,96.64159319683162
10,31,0,0,7,9,82.71677067677976
6,31,0,0,12,13,97.69944305153426
8,34,0,1,6,6,68.75465674872753
7,29,0,1,8,13,98.54273111902206
7,30,1,0,8,13,98.27003119477747
