age_years,education_level,gender,minority_status,local_unemployment_rate,workforce_training_hours,annual_income_dollars
11,29,0,1,11,62,229.68076353629124
5,32,0,0,6,58,214.511824619905
8,28,1,0,9,55,206.26200284802445
9,34,0,1,7,60,223.07504091345743
10,30,0,0,4,57,216.1997168292696
16,24,1,0,8,56,213.47998387846377
10,34,0,0,9,61,223.97416207015516
11,27,0,0,7,55,209.41261586880097
11,32,1,0,8,59,217.05248535993348
12,32,1,0,8,61,228.9732911035867
11,29,0,0,9,59,218.86566097909432
11,31,0,0,9,59,220.90994024814376
6,27,0,0,7,56,209.9731375846252
12,28,0,0,8,58,219.2346334097164
15,32,0,0,9,65,239.47461284042865
6,29,0,0,5,54,204.62099639641932
11,30,0,1,8,61,228.25493865001167
7,29,1,1,7,58,215.7926332079396
13,28,0,0,10,60,225.2551736597318
16,28,1,0,7,58,221.10983805293068
11,26,0,1,8,59,221.9898413035427
5,29,0,0,10,56,210.60686237212255
11,25,1,0,6,56,211.50406622812864
11,29,0,0,9,58,216.73202236728068
8,30,0,1,5,56,210.5506068563312
10,32,0,0,8,58,219.30065543770277
8,29,0,0,7,59,222.8527605119534
4,31,1,0,10,58,213.3907970921687
10,32,0,1,4,57,214.64323694897368
8,32,0,1,11,63,231.373136254566
11,30,0,0,6,58,219.184603444425
8,29,0,0,9,58,213.4811576608811
9,25,0,0,7,56,210.89237932616751
11,28,0,0,9,61,229.17934541373896
9,30,0,1,5,57,214.94459760473103
11,27,1,1,8,59,219.31762771645356
6,29,0,1,8,56,208.8239276347116
15,29,0,1,6,62,232.8380791641237
7,30,0,0,8,57,215.33471602562744
10,29,1,1,9,56,208.9112815225926
9,30,1,0,8,59,220.0663520065817
13,29,0,0,6,57,215.0406886440015
12,34,0,0,8,62,230.6780912983712
10,27,1,0,5,57,217.66195795820263
9,31,0,0,7,57,213.45534923263557
10,32,1,1,6,60,223.46432853858255
8,29,0,0,8,60,225.4610483722236
8,36,1,0,5,62,228.7273156230401
6,29,1,1,9,55,203.68458006672017
12,32,0,1,9,60,220.68235309710204
11,31,0,0,8,60,223.89390083639557
5,31,1,0,6,57,212.27817700265177
8,29,1,0,10,60,224.0870023343917
3,31,1,0,11,60,219.8531690581402
13,27,0,1,6,61,228.63436974039465
10,30,0,0,6,58,216.49263108858065
10,32,0,0,8,58,217.8402680218291
12,27,0,0,8,59,224.1474612387813
13,26,0,0,9,59,222.69269526868425
4,32,0,1,8,56,204.2474401118657
9,26,1,0,7,55,207.13108083945028
8,33,0,0,9,62,229.44909177949955
7,31,0,0,9,57,212.6481253461887
11,29,0,0,8,58,216.90003859165847
5,24,1,1,9,54,203.22020238347835
7,31,0,0,9,59,219.279367008631
11,29,0,0,9,56,209.54931697619048
9,28,1,0,7,58,216.46673187951495
9,27,0,0,9,56,209.72600061576628
8,32,0,0,8,59,218.66585486284524
13,29,0,1,3,57,218.5132503780954
10,33,0,0,11,62,228.0118127905042
6,30,0,0,8,56,209.2675554743092
13,27,0,1,7,58,217.71620663299328
5,31,1,0,8,55,205.83997916584573
5,24,0,0,9,54,206.1768604293024
7,28,0,1,7,55,205.13964604169925
14,25,0,0,10,60,224.4795822276389
13,30,0,0,10,62,229.9141599390618
6,27,0,1,8,56,209.07403404590195
8,31,0,0,7,58,214.083352847299
2,31,1,0,6,55,204.1084762210021
8,30,0,1,9,58,218.82036252203247
6,26,1,0,7,54,202.55394718713129
6,32,0,0,8,59,220.21356533644632
9,30,0,0,6,57,217.2628105284798
8,29,0,0,7,57,212.91548246127735
6,32,0,0,8,57,211.9920499660298
9,30,0,0,11,60,224.0475722772243
6,30,0,0,11,59,218.59910672167672
7,27,0,0,12,59,221.44132938297344
9,27,0,0,8,57,214.64157312618548
13,27,0,0,6,57,218.29514254447955
11,29,0,0,9,61,230.5958936420831
9,31,0,0,9,59,220.4383781134105
12,31,0,1,7,61,228.0705647751173
12,28,0,1,6,60,223.62715965230532
12,27,0,0,4,58,219.1476360729226
8,28,0,0,7,59,221.1164248360633
7,27,1,1,6,58,214.63178362416917
7,30,1,0,9,60,220.77714684693453
11,27,1,0,7,56,211.0433596208177
8,30,1,0,8,57,211.3272859235565
9,31,0,0,8,59,221.0245470776965
8,26,1,1,7,56,208.85651687113895
13,25,0,1,6,57,214.91300505044157
14,32,0,0,8,62,232.0067718950839
7,29,0,1,8,56,210.19882613030623
13,33,0,0,4,60,223.97153159367303
5,31,1,1,7,56,211.8082067921008
11,27,1,0,11,60,228.18665663605307
8,30,0,0,9,56,212.64700125790645
11,27,1,0,5,58,216.10735953354643
10,33,0,0,7,60,222.3540208607492
13,28,0,1,5,56,211.160733802387
6,31,0,0,6,58,218.8563070716613
9,30,0,0,7,59,219.49598579350615
9,30,1,0,8,58,218.2880227608048
10,26,0,1,8,59,223.5851485898777
9,32,0,0,9,60,222.22979406542396
16,31,1,0,7,60,227.72110571395905
12,33,0,0,5,58,218.63419182320487
8,33,0,1,7,59,218.85503501338624
7,32,0,1,8,60,219.2008483305738
11,29,0,1,9,59,220.85584357203845
9,31,0,0,4,59,221.15924539973304
9,32,0,0,3,57,215.00929685779613
9,30,0,0,7,57,213.8853774676565
13,31,0,0,2,58,219.06685729188877
8,30,1,1,8,58,216.54345634872448
9,30,0,0,5,58,219.30416495331272
7,30,0,1,10,60,222.96241670616556
12,25,1,0,6,56,209.7364769584784
10,32,1,0,8,58,217.69301385083952
8,31,0,1,7,59,218.61765055490443
12,24,0,0,5,52,201.53398609196245
9,27,0,0,9,55,207.25410571696145
9,30,1,1,7,55,204.66273245559756
10,32,0,0,7,59,220.27792439595845
10,30,0,0,12,62,227.42512889809728
8,30,0,1,7,61,227.47005032567805
9,30,0,0,11,57,213.6389907555522
10,29,0,1,8,60,222.6689387222301
5,30,0,1,9,55,205.71167082273143
10,32,0,1,4,60,226.32679384515137
9,32,0,1,7,63,232.6761472210556
14,30,0,0,11,60,225.71094115640295
8,27,0,0,11,57,211.9104863196848
12,31,0,1,5,61,230.44940518853605
11,30,1,0,7,59,221.03624116848812
11,28,0,0,5,57,216.34657250976653
15,26,0,1,6,57,216.14076186235187
7,31,1,0,7,58,218.03228020613508
9,26,0,0,8,56,210.9020806721224
11,31,0,0,5,59,223.96402732872488
5,29,1,0,7,53,197.25884788592555
7,28,0,1,10,59,218.1848276093901
12,30,1,1,4,57,215.95405780517527
9,32,0,1,6,60,224.0549301067531
17,30,0,1,7,60,224.23352093291504
9,33,0,1,6,61,228.43511190475857
14,30,0,0,5,60,225.83748289350703
9,30,0,1,5,59,219.84441873572413
4,31,0,0,3,53,199.2965762181697
6,24,0,0,8,53,198.97219754982973
8,29,0,1,5,56,209.47136988926152
11,31,0,1,6,57,215.38757659317608
5,29,0,1,6,56,209.8391429786519
7,28,1,0,5,54,203.32770060048009
8,29,0,0,10,59,219.68203983220323
13,33,1,0,8,59,219.82073702029095
14,33,0,1,9,62,229.8018649210015
8,32,1,1,6,58,213.87317910383416
10,31,1,0,6,58,219.8960576364574
9,29,0,0,9,61,225.94790971613304
11,27,1,0,10,59,221.50869775701463
7,33,1,0,7,58,216.3706517099235
11,27,0,0,9,58,219.04297090407695
6,29,0,1,8,57,215.3021902741532
5,26,0,0,8,55,205.44303696635495
6,30,0,0,8,57,210.31444113527007
14,32,0,0,8,64,240.1618624971569
9,28,0,1,8,58,220.75202702551732
11,30,0,1,7,58,216.00266203103035
6,31,1,0,14,63,229.8436712847364
9,26,0,1,7,58,214.17721544246967
6,31,1,0,6,57,211.72797286855047
11,29,0,0,3,57,215.6080077884828
10,29,1,0,7,57,216.39923772492983
8,31,1,0,8,58,214.85805985226764
11,32,0,0,6,59,220.45833978729988
9,30,1,0,5,57,214.7984007176808
4,28,0,0,7,54,201.0821286350489
13,29,1,0,7,59,223.52036627204805
9,30,1,0,7,59,220.863206849372
11,27,0,0,12,62,231.9915531540928
7,29,0,0,5,56,209.3482490946884
11,27,1,0,6,54,208.47425654496635
10,29,1,0,6,56,211.29501175154223
5,26,0,0,6,53,198.3662484179285
11,33,0,0,8,62,232.07781051096453
11,28,1,0,8,58,216.71674942260623
6,30,0,0,8,57,210.53097401619385
11,25,0,0,9,55,209.4350956459569
9,28,0,0,6,56,209.5691756980933
9,27,0,0,6,58,219.03096184741727
13,25,1,1,6,57,215.4606235095084
7,30,0,0,5,56,210.7142018623738
11,30,0,0,7,60,224.4939666062844
10,29,0,1,7,58,216.31203399618715
8,31,0,0,9,59,220.285165053837
15,27,0,1,5,58,218.4934233340648
11,32,0,1,13,64,234.6145747827614
11,29,1,0,6,56,210.6607199973638
9,30,1,1,8,59,219.12961590975905
8,32,0,0,5,55,207.11479539691996
13,30,0,1,4,58,219.19258116381815
10,32,0,0,8,60,220.93024713495672
8,33,1,0,5,59,219.8686958558264
11,34,1,0,6,58,218.98099297489384
13,28,1,1,9,59,220.65483813806625
13,33,0,0,6,63,234.5417103274376
11,32,1,0,11,63,232.48784498107327
12,31,0,0,9,62,230.3934942413095
5,32,1,0,7,56,209.72630074199927
12,27,0,1,8,59,221.23866571699065
12,29,0,0,8,63,237.0878435969097
13,28,0,0,9,59,221.8675824240163
12,30,1,0,7,56,215.87380514665463
14,29,0,0,7,58,222.3403746639877
5,26,0,1,10,55,204.09666594359456
9,27,0,1,8,57,212.96207121449504
17,32,0,1,5,62,231.87405306256267
10,30,1,0,10,59,217.8357812391493
15,25,0,0,7,59,226.11790664008592
6,28,0,1,8,56,208.5629990697334
7,32,0,0,12,62,227.4268350207056
9,31,0,0,11,60,223.89265150351773
9,29,0,1,9,59,217.16690378559952
9,31,1,0,5,60,225.4796801535288
7,32,0,1,7,60,221.1152923027849
9,29,0,1,6,57,211.89285679532307
8,29,0,0,5,53,198.85116178676392
14,29,0,0,6,60,228.63113772541547
11,29,0,0,8,58,216.8028319359392
9,31,1,1,7,58,216.6612808094905
15,29,0,0,9,60,226.5328246125729
7,30,1,1,9,61,224.15725472317536
14,31,0,1,8,61,228.08198923516025
8,30,1,1,7,57,213.54453691404905
14,28,1,1,6,58,219.853655749621
9,24,1,0,9,55,208.2631054159976
13,30,0,1,7,60,224.7279472371121
6,33,0,0,8,60,222.0812753574489
4,29,0,1,7,56,205.03051326408203
12,27,0,0,5,56,213.40517917201348
14,26,0,0,9,59,223.95691467244916
8,27,0,0,9,57,214.613844405142
6,30,0,0,3,55,205.5880971974824
7,27,0,0,6,56,210.4402970833111
12,27,1,0,6,57,217.4193983823826
10,30,1,1,7,57,212.9162144906923
11,31,0,0,8,60,226.658945328627
1,32,0,0,10,57,211.04928147157509
10,33,0,0,7,58,216.0036400756107
13,30,0,0,6,57,212.2195656840692
7,30,0,1,9,59,219.59564949972463
7,30,0,1,6,56,208.8813728744289
7,28,0,1,8,57,213.98513620437737
14,30,0,0,8,62,230.55685566472795
5,32,0,0,7,59,218.0594943374985
12,30,0,0,6,60,223.56408452826565
6,34,0,0,8,59,218.09302679737524
12,34,1,1,12,65,240.3669957902656
14,32,1,0,8,60,225.6636698408053
15,31,1,0,8,60,224.59477007450388
10,31,0,0,8,61,226.78267475212365
8,26,0,0,7,55,206.95523791428852
6,27,1,0,10,55,204.4536309577333
6,32,0,0,9,60,221.4916603279225
15,26,0,0,8,58,220.4885259530116
13,33,1,0,7,61,228.56669795731207
12,30,0,0,7,59,219.7737965051196
8,27,0,0,7,56,211.6555821712014
13,28,1,0,9,57,215.54346370048904
10,32,0,1,6,61,226.11266075804204
6,31,0,1,5,56,210.19311220215852
11,32,1,1,11,63,231.4484800837574
12,31,1,0,5,57,216.2874544995183
6,28,0,0,11,59,220.11058133409745
5,29,1,0,9,57,211.0807924319249
9,30,0,0,8,58,217.68292578150516
5,27,0,0,4,52,196.9959406587824
6,30,0,0,4,55,207.73335394162223
7,28,0,0,5,54,203.2366064503996
8,29,1,0,8,56,213.18952841205933
9,29,0,0,5,58,218.49489167483245
8,30,0,0,10,57,212.95526713075316
13,28,1,0,8,57,215.14790751722987
9,34,0,0,5,58,213.04244567330497
12,27,1,1,8,61,229.02411388426947
11,33,0,1,7,58,215.93973407890573
12,34,0,0,9,61,226.59538421629875
10,34,1,0,11,64,235.5284494403663
8,25,0,0,5,55,208.5651458270511
10,27,0,0,9,57,214.5385289651772
8,25,0,1,7,57,215.40134567093483
12,31,0,0,8,60,225.30701623666752
10,30,0,1,8,58,216.5313425665303
5,30,0,0,7,54,202.7463640867053
8,31,0,0,8,58,215.63715887323872
3,30,0,0,5,53,199.6463051044012
9,28,0,0,9,56,209.96791315978453
7,31,0,0,9,57,211.3300670603045
13,30,0,1,7,62,231.86276404579647
9,33,1,0,4,55,209.34062920672483
11,32,0,0,9,60,224.09753505959625
9,31,1,1,8,59,218.0712392713354
8,27,0,0,6,53,202.1464284841078
8,32,0,0,8,61,223.65285786998052
9,31,0,0,9,60,223.52938266798876
9,30,0,0,8,59,219.8481834286315
10,29,0,1,7,57,210.85381086488587
5,32,1,0,7,59,217.91588766562052
8,27,0,0,6,57,213.91136366965853
6,29,1,1,7,55,204.5037300710879
13,31,1,0,9,61,228.4603631737301
9,27,1,1,9,57,210.5562358807143
11,30,1,0,11,61,226.6437129022784
10,29,0,0,10,60,222.14979410001132
7,29,0,0,7,56,210.4685311989994
10,28,0,1,9,59,219.2274978906471
6,32,1,1,6,56,208.3874082861882
5,30,1,0,6,56,210.5384778462632
11,29,0,0,6,59,222.7665207880423
5,30,0,1,5,55,203.4073429707832
7,30,1,0,9,58,217.5357973955572
15,26,0,0,5,57,217.7089303657702
10,30,0,1,11,63,234.6688216394328
10,32,0,1,10,62,229.11796537468447
7,29,0,0,9,56,210.56959992176823
7,31,0,1,8,58,215.41556637270324
8,31,0,1,10,60,219.82027291961188
4,31,0,0,10,57,210.94099959321585
10,29,0,0,9,57,213.6831271963739
11,29,1,1,7,57,215.1872795258535
8,29,1,0,4,52,196.51169643460628
10,34,0,0,11,63,233.481543848538
10,34,0,0,10,63,234.70914581482523
8,25,0,1,10,58,216.89551877883108
14,28,0,0,7,59,219.9168683833676
10,30,1,0,6,57,214.4825238994057
12,30,0,1,7,61,228.86452054424453
12,31,1,0,7,60,223.5151953664638
10,26,1,0,7,53,200.5166962107588
9,31,1,0,7,57,213.82723399027824
10,28,0,0,8,58,216.9598710555133
7,29,0,0,4,55,206.2702177164022
10,25,0,1,5,55,207.22784267276103
16,29,1,0,8,60,227.28720984508925
14,25,1,1,6,58,218.4969638435833
9,28,0,0,7,56,211.0363895193609
9,30,0,0,9,57,213.85279866459456
12,30,0,0,8,60,225.57018106356148
10,34,0,0,6,61,227.15166145442424
10,32,1,0,5,57,214.5197300989898
6,28,1,0,10,57,213.10578206704275
7,33,0,0,10,59,218.9238071822814
9,31,0,1,12,61,219.58060325492775
12,32,0,0,9,63,232.1712069866434
11,33,1,0,6,58,217.90457655237324
9,30,0,0,9,59,220.3399435996687
8,28,0,0,9,58,214.54313369826951
6,26,1,0,5,55,207.87322232078475
11,30,0,0,7,57,213.23031839728077
8,28,0,0,6,54,202.8227462662088
11,29,0,1,10,60,225.47220992623696
6,31,1,0,4,54,204.2579997682461
15,31,0,0,9,63,233.3524123180928
15,31,0,0,8,60,226.37060003605572
10,28,0,0,8,56,212.42100752125117
10,26,0,1,9,57,215.0941266012355
13,26,0,0,10,57,214.54400552970327
10,28,0,0,9,60,224.60152097446664
10,33,1,1,6,59,219.1209932137737
10,31,0,0,10,61,227.9600849198874
6,28,0,1,7,57,210.28449193241303
7,27,1,0,3,53,202.84918808813364
3,32,0,0,8,56,208.23339838299825
13,29,0,0,4,59,224.8495651396165
9,30,0,0,8,59,220.5412578150883
1,28,0,0,9,55,203.112090853212
9,31,0,1,6,58,214.5036453315381
11,30,0,1,11,59,217.4964343316957
12,31,1,0,8,61,227.3296768445324
10,28,0,0,8,57,211.94504682891983
10,30,0,1,7,57,215.44499579692408
11,25,1,1,10,58,216.21597105650935
12,29,1,1,6,58,216.22359361330885
9,29,0,0,9,60,223.1679861804605
10,32,0,1,6,59,221.09690501709272
11,27,0,0,13,61,228.83792405022768
6,31,1,1,6,59,220.80945095968065
5,32,0,0,8,57,211.22265630694065
9,30,0,0,10,59,216.96867549119384
8,32,1,0,4,57,213.4444686044189
11,31,0,1,9,59,219.93558744408992
14,31,0,0,6,60,224.2488028823655
12,27,0,1,9,60,223.33056550851063
6,30,0,0,7,55,210.32878201211037
6,30,1,0,8,55,203.46754140812297
12,29,0,0,9,60,223.3712111926245
8,29,1,1,6,55,207.40264954844235
8,27,0,1,5,56,213.83089964249055
5,31,0,1,9,56,207.14808811705237
10,32,1,1,7,61,228.62116070892307
12,30,0,0,2,55,209.1823938195047
4,30,1,0,5,54,202.9839673037115
11,32,0,0,10,61,229.9691402866529
8,33,0,0,8,59,220.1416124938652
7,28,0,1,8,58,215.20843133715616
3,31,0,1,6,56,204.653302269419
7,29,0,0,4,54,204.9273151092333
10,34,0,0,7,61,227.9401150882695
15,35,1,0,7,63,233.689968944588
8,31,0,0,6,58,216.6167838811192
15,30,1,0,10,63,236.30347177709035
2,29,1,1,6,55,203.4220253107929
12,33,0,1,10,63,231.4790313203135
14,30,1,0,10,62,233.57863486987256
16,32,0,0,7,61,229.39451384019787
13,29,1,1,5,60,225.69936771678252
11,32,0,1,7,60,223.21144666895583
8,30,0,0,4,56,210.6955554456548
11,28,0,0,8,61,228.8969093309545
9,30,0,1,4,58,218.78681208353183
7,36,1,0,5,58,214.64626999670875
16,30,1,0,7,61,231.2178394897755
9,30,1,0,4,57,213.59903079858512
10,30,1,1,7,58,216.7417888233578
15,33,0,0,7,63,234.1119767943004
8,28,1,0,10,55,205.22107028071724
7,31,0,0,9,57,210.4749626254736
12,29,1,1,6,59,220.24828165798945
12,32,1,0,8,60,223.82048482406003
11,26,0,1,6,58,220.0027138463862
10,27,1,0,10,58,217.4450175274449
10,31,0,0,9,59,218.49782006876416
11,28,1,0,4,54,206.05697475405535
8,27,0,0,7,56,213.52078734006363
13,35,1,0,13,66,241.79274039174533
15,27,0,0,5,56,214.93029987099027
11,31,0,0,7,58,217.0591724153764
12,28,0,0,9,59,222.850892829871
5,24,0,0,5,51,193.5708589027924
10,29,0,0,11,61,227.19696541679343
3,31,1,1,8,55,203.18754628892296
12,26,1,0,7,57,215.23228816769415
7,31,0,0,7,58,214.247924324972
8,30,1,0,7,61,228.28672148092025
7,30,0,1,4,58,215.62491778033555
3,30,1,0,8,56,208.6354020573401
11,30,1,0,8,58,218.443409629604
6,31,1,0,6,56,211.60224508269357
6,27,0,1,7,55,206.3652040919119
10,31,0,0,10,60,224.9122497622248
9,31,1,1,9,62,228.86509590038128
11,29,0,0,4,58,217.32591376191087
10,31,0,1,7,61,226.77428700180488
10,33,0,1,9,62,229.69867328896245
10,30,1,0,7,58,218.1325470792025
10,28,1,0,6,55,208.4561379165519
15,26,0,0,8,56,211.8898286454998
9,32,0,0,5,58,215.99143642424872
13,28,0,0,8,59,220.0889021201994
7,29,0,0,5,56,207.8218919944751
8,31,0,0,11,63,229.6593989830029
15,30,0,0,5,60,226.3988551248505
13,27,0,1,5,55,209.60816258550625
9,28,0,0,8,56,210.66693632917995
11,25,1,0,10,56,209.53247391897457
12,29,1,0,6,58,217.4898742080264
8,28,0,0,9,58,217.69433325299607
7,26,1,0,6,56,209.4641409048048
10,27,1,0,8,58,219.5622569473348
12,29,1,0,7,58,219.6899401626124
5,31,1,1,9,58,215.542542606647
15,30,1,1,8,63,229.9740684013925
7,31,1,0,10,60,220.4922728898346
10,27,1,0,12,59,221.53176291631388
6,30,0,0,10,60,221.90187858576505
12,30,0,0,8,60,226.19019378011063
9,27,0,0,4,53,202.40433833099425
10,32,0,1,5,59,220.86268152001645
13,31,0,0,8,58,218.1062482758052
11,33,0,0,6,59,218.48149892581205
8,29,1,0,6,57,211.36574630077016
5,27,0,1,4,54,202.69377793819024
7,27,1,0,10,56,210.7908783581377
3,28,1,0,10,55,203.31912428605665
9,29,0,0,4,57,216.03016013897144
9,30,0,0,6,56,212.5423379353824
10,28,0,1,6,54,202.82274783268383
6,32,1,0,7,58,214.0568672036761
9,31,1,0,8,59,221.0509499786148
12,30,0,0,4,59,219.03759539745803
6,30,1,1,11,60,220.7346633955366
9,29,0,1,10,60,224.18911470162712
12,28,0,1,9,58,217.53980749270733
11,27,0,0,7,57,219.3572998204085
12,30,0,1,6,58,216.62421269641564
13,26,0,0,5,56,212.96050873327215
5,26,0,1,6,54,202.83751771165367
10,31,0,1,6,61,225.621659918032
12,28,0,0,7,56,211.46719913621348
16,27,0,0,8,60,229.3211683059276
10,28,0,1,6,59,219.77634353190112
9,32,0,0,8,57,211.441369079102
13,29,0,0,8,61,229.8828002298701
11,25,0,0,10,57,216.7883394845866
9,30,0,0,8,57,215.4955119574616
11,31,0,0,4,57,216.44403412767315
4,31,0,0,4,54,203.90448918619896
9,32,0,0,8,62,228.84339864308905
11,33,0,1,10,66,240.1532548943452
9,31,1,0,7,58,214.626402308353
10,28,1,0,6,54,206.27154866389577
13,31,0,1,8,64,236.01145370112147
9,32,0,1,10,59,219.67956391013104
7,29,1,0,6,55,206.12295299518607
10,26,1,0,10,58,214.76849376973095
10,28,1,1,6,59,222.18754710826295
4,25,0,1,6,53,196.3186132145109
7,28,0,0,7,55,206.5439648052248
2,32,0,0,8,57,210.68587193226173
10,27,1,1,8,59,221.378973320882
11,27,0,0,8,58,215.37934008893257
7,29,1,0,6,54,206.15638254547608
6,31,0,0,9,57,212.66208066468224
8,30,1,0,7,56,210.2090594006123
6,27,0,0,9,57,215.48186255413523
7,33,0,0,6,56,208.1913021282846
18,33,0,1,6,65,244.21945259209585
12,30,0,0,8,62,233.9723935767431
5,29,1,0,7,55,204.2804536446583
6,30,0,1,11,59,217.2444041089255
13,28,0,0,5,57,218.34219310503116
14,33,1,0,7,63,235.9575106226975
13,24,0,1,9,60,225.37897868711252
9,28,0,0,6,58,219.2285126284914
10,26,0,1,7,58,218.15486318265164
8,32,1,0,5,57,216.0843452358396
10,28,1,0,7,58,218.10570761883008
8,29,1,1,10,58,215.92155026562847
8,33,1,1,11,58,214.6587917355845
7,33,0,0,7,57,211.467166315886
9,27,0,0,13,57,214.54150441645123
6,28,0,1,5,58,217.34229949703123
10,28,0,0,6,59,222.69800647628605
9,30,0,0,10,59,219.40670802009677
10,30,0,0,7,59,221.22943865876985
12,25,0,1,10,59,220.5358992103935
11,29,0,0,8,59,220.61677843130127
9,30,0,0,9,57,214.1180524794976
7,30,0,0,5,56,210.9222934286848
10,28,1,0,6,59,223.38219287125148
13,31,0,0,10,59,220.13971245619183
10,32,0,0,6,57,213.0925970440865
14,33,0,0,8,60,223.94845361607776
12,28,1,0,8,60,228.59052743502508
7,31,1,1,12,62,227.98375043152583
13,29,0,1,9,61,226.7893433426557
12,34,0,0,7,61,225.3686487310688
9,27,0,1,10,60,221.6233533135429
9,27,0,1,9,58,217.7360619554148
10,31,1,1,7,59,220.3489320626645
6,29,0,1,7,56,209.82366354520343
14,29,0,1,9,62,233.2943639449922
7,31,1,1,7,59,217.7376901339075
11,27,0,0,6,54,206.39622638384617
6,33,0,1,9,58,212.69341980613035
14,28,0,0,8,60,224.22862251820135
8,27,0,0,9,58,216.60221842992388
12,28,0,0,9,57,214.5307905675934
12,32,0,0,3,58,220.29077115604755
7,31,1,0,3,54,204.30035426323968
9,30,1,0,9,58,218.33757037248373
13,26,0,0,5,56,213.1074234172073
12,31,1,0,10,60,223.44302687078184
12,31,0,0,6,62,232.4684483180039
9,28,0,0,8,56,214.4657633140475
9,29,0,1,8,56,207.05236286247123
6,24,0,0,9,54,203.45285627838703
5,26,0,0,5,53,197.0510199863484
12,30,0,0,10,62,229.9352569389008
9,26,0,1,3,54,205.17643813039405
8,28,0,0,7,53,201.6583633795958
15,30,0,0,7,62,231.3697309512848
9,30,0,0,5,57,213.2259073028323
16,31,0,0,9,63,233.7311555315977
12,26,1,0,2,52,199.5934435803219
9,27,0,0,7,57,215.18450698450545
13,27,1,0,9,60,222.16945371092092
15,29,0,1,8,61,229.22389679419183
10,30,0,0,7,58,217.46491238328883
12,31,0,1,2,57,217.5492160272198
9,28,1,0,8,56,213.00920234258692
9,30,1,0,7,59,221.091668262202
7,30,0,0,6,55,204.72615693714675
12,28,0,0,10,58,215.71749890389577
9,28,1,1,12,61,225.27158988841373
9,31,0,1,9,61,224.99790087918623
13,33,0,0,6,61,229.21619201411107
14,29,0,0,4,57,217.20575638524164
12,29,1,0,5,59,221.3559794471556
7,30,1,1,7,57,212.53700186721645
6,27,0,0,8,57,212.2170236794119
10,31,0,0,8,61,227.88386669162668
8,29,0,0,5,57,215.75732827927976
12,28,0,1,3,54,204.4963939601776
11,27,0,1,5,56,212.4767084347783
5,29,0,0,8,57,212.4142085677917
10,31,0,0,5,58,219.6597492995712
9,33,0,0,8,59,216.9371472524848
10,32,0,0,8,60,221.9829036407156
13,28,0,1,10,62,232.7095860336356
13,27,0,1,4,56,213.6848784481375
13,26,0,0,9,57,213.9994334429551
15,28,1,0,8,59,221.72977448018435
13,32,0,0,7,60,224.15714961882023
7,30,0,1,7,55,206.8435697170985
11,31,0,0,7,60,223.37607132302085
11,30,0,0,3,58,217.9279118068608
14,26,0,1,11,63,234.27479740389435
12,28,0,0,9,61,228.7605461613041
16,30,1,0,7,59,223.2368302012217
8,33,0,1,6,62,228.3398926705651
11,26,0,1,6,54,207.1558999844095
11,29,0,0,5,56,214.51340923446887
5,31,0,1,4,56,210.6606260789436
9,30,1,0,3,53,200.6271805976955
11,29,1,0,6,57,215.9624300062556
6,29,0,0,8,57,213.0443430680735
7,29,0,0,7,54,203.30825304930536
8,31,1,0,8,59,221.077077764596
8,29,0,0,8,57,214.6600255436654
7,28,1,0,7,57,213.0179341567191
11,27,1,0,5,58,219.42134011032
11,25,1,0,6,56,214.1846073893699
