education_years,political_interest,urban_resident,party_member,voter_outreach_invitation,community_meeting_attendance,political_knowledge_score
2,3,0,1,0,1,56.6601788698766
6,3,0,1,1,0,45.93111515009646
3,3,0,1,1,0,46.76631569034451
2,3,0,1,0,1,55.22054408115025
6,3,0,1,1,0,46.82500751340695
2,2,0,0,1,0,47.50764199659347
5,2,1,1,0,0,46.96102446906468
8,1,0,0,1,0,43.28868904144503
5,2,1,1,1,0,46.32979477559517
3,3,0,0,1,0,48.07118950819457
4,3,0,0,1,0,45.25889140339629
2,3,1,0,1,0,47.44124783530955
5,2,0,0,1,0,44.10058237409759
4,2,0,0,0,0,44.919999358336405
8,2,1,0,1,0,45.26853691894477
4,3,0,0,0,0,46.66745172144533
7,2,0,1,1,0,44.045207097314254
1,3,1,1,1,1,56.71514641649329
5,3,1,0,1,0,45.93919471745372
3,3,0,0,0,0,47.626490318035614
2,3,0,0,1,1,54.95875981883974
4,3,0,0,1,0,47.26238152119792
8,2,0,0,0,0,44.1066024865827
2,2,0,0,0,1,55.7477777817666
7,2,1,1,1,1,51.19687678579264
4,3,0,1,1,0,48.68447955043053
0,2,1,1,1,1,57.27418511309324
1,2,0,0,1,1,56.43014050620192
2,2,1,1,1,1,55.19259342532276
1,3,1,1,0,1,56.48548747601964
2,3,1,0,1,1,53.75975564955104
7,3,0,0,0,0,45.75890688814074
1,2,1,1,1,1,57.50901990678021
1,2,0,0,0,1,56.10820782047031
4,3,1,1,0,0,48.251757878861056
5,2,1,0,0,0,43.84346157133443
0,3,1,1,1,1,54.60499653263804
2,2,0,1,0,1,54.93337159031325
4,3,0,0,1,0,46.65378468035306
3,2,1,0,1,1,54.15974239182368
1,3,0,0,1,1,55.7128655444777
4,3,1,1,0,1,54.23452203020599
6,2,0,0,1,0,45.373188507046464
3,2,0,0,1,1,53.42398239055369
2,3,0,0,1,1,54.24912049987678
3,3,0,0,0,0,46.050468285401614
7,2,0,0,1,0,44.126506559410046
3,3,0,0,1,0,45.763566551033264
1,3,0,1,1,1,56.73153645478416
4,2,0,1,0,1,54.88411108299987
0,2,0,0,1,1,56.18138629480519
-1,3,0,0,0,1,57.185602115108914
6,3,1,1,1,0,45.066494502195866
2,3,0,1,1,0,47.19119400489447
3,3,0,1,1,0,47.85570016947224
5,2,1,1,1,1,53.01462906330888
3,2,1,0,1,1,52.86009409368653
4,3,1,0,1,0,46.92013639565041
6,2,1,0,1,0,44.53072257721875
2,2,0,0,1,1,55.82476750791727
0,3,0,0,1,1,56.52413213252873
4,2,1,0,0,0,46.13858224065869
2,3,1,1,1,1,54.05943984044861
7,3,0,0,0,0,45.12433944585297
4,1,0,0,0,0,45.427584120538455
4,3,0,1,1,0,46.22640009742111
5,2,1,0,1,0,45.97117257145487
4,2,1,0,0,1,54.040993133473016
3,2,1,0,0,1,54.89463946721866
4,2,0,0,1,1,54.57984859785195
2,2,0,0,1,1,55.02149423973028
9,2,0,1,1,0,45.24403287002808
2,2,0,0,1,1,54.878077876055066
2,3,0,1,1,1,55.41116000032493
4,3,0,1,0,0,46.64057579590544
2,2,1,0,0,1,54.24392621345952
1,3,0,1,0,1,55.079156077969984
3,3,0,1,1,0,46.868516135599776
0,2,1,0,1,1,53.957578173163625
4,1,1,0,1,0,46.93579495048961
1,2,1,1,1,1,55.50019452356635
0,2,0,0,1,1,56.331221520043655
3,3,0,1,0,0,48.05038471284886
-1,2,1,1,1,1,56.45074760684993
4,3,1,0,0,0,45.67890889913657
0,3,0,0,0,1,56.09546644665522
4,3,0,1,1,0,46.31557676786796
1,3,0,0,1,1,55.46033833353607
3,2,0,1,1,0,47.07486810589832
3,3,0,1,1,1,53.38714092255689
8,3,0,1,0,0,43.14731374472749
4,3,1,1,1,1,52.404844028291485
6,2,0,1,0,0,44.135108268453486
5,4,1,1,1,0,44.74941249524243
0,3,0,0,0,1,55.65262810391721
3,2,1,0,1,1,52.5234085849704
1,1,1,0,1,1,55.00487522815458
5,3,1,0,0,0,46.559752120425685
1,3,0,0,1,1,55.65257368639354
5,3,1,1,1,0,45.94733441114848
2,1,1,1,0,1,55.0637036908391
3,4,1,0,0,0,47.19717627462721
1,3,1,0,1,1,54.049411192116345
4,3,1,0,0,0,47.00434516419194
0,3,1,0,0,1,56.56714504851013
6,3,1,0,1,0,46.06931552791009
11,2,1,1,1,0,41.910923392281546
1,2,1,1,1,1,55.661811704636
2,3,0,1,1,1,55.27889219528953
1,3,0,1,1,1,55.59348646884667
6,3,1,1,1,0,46.18604369414469
1,3,1,0,1,1,55.766069172638886
5,2,0,1,0,1,50.43930694884212
1,3,0,0,1,1,56.507181646347945
2,2,1,0,1,1,56.12982760574974
4,3,0,0,0,0,46.89542588732385
1,3,0,0,1,1,55.46640844587517
6,2,0,1,0,0,43.46344434420862
1,3,0,0,1,0,50.16800840179697
5,3,0,0,1,0,46.92088088647365
2,2,0,1,1,1,55.660305753311846
5,3,0,0,1,0,45.889144686871504
2,4,0,0,1,1,54.95447869524047
2,2,0,1,0,1,53.74283041447582
9,3,1,0,0,0,41.93043901036939
1,4,0,0,0,0,47.542849398928695
5,3,0,0,1,0,46.63375074680501
4,2,1,1,1,1,53.26934120665331
2,2,0,0,1,0,48.31679911252154
5,2,0,1,0,0,48.1199118795825
0,3,0,0,1,1,55.24203067435431
4,2,0,1,1,1,52.78418083556285
4,3,1,0,1,0,45.4721087860991
4,2,0,1,0,0,46.36601857948861
1,3,0,0,0,0,48.81262547772174
8,3,1,1,1,0,42.96513149344855
5,3,0,1,1,0,45.03778113625209
3,2,0,0,1,0,46.28548076253603
3,3,0,0,1,0,45.413211058965686
5,3,0,1,0,0,44.02774498804819
6,3,0,1,0,0,45.04896621997418
6,3,0,1,1,0,44.82478950010603
10,3,0,0,1,0,44.38318158808022
5,2,0,0,1,0,45.65863410616214
5,3,1,1,1,0,47.4101115715593
3,2,1,0,1,1,53.32161613444383
1,2,1,0,1,1,57.01948452828812
-1,1,0,0,1,1,57.13793775225742
0,2,0,0,1,1,55.35622843499924
3,3,1,0,1,0,47.285936271760896
3,2,1,1,1,1,53.94133981657928
1,2,0,1,1,1,57.47077550350589
1,2,0,1,0,1,55.42801376738053
4,2,1,1,1,0,48.020001147570575
3,2,1,1,1,1,55.12183913953883
3,3,0,0,0,0,48.55505944685406
4,2,0,1,1,0,47.47534869698947
3,2,1,1,0,1,53.9452972719815
4,2,0,0,0,1,53.86949492480103
5,3,1,1,0,0,45.56563976045455
3,2,0,0,1,0,47.74322077190481
2,3,0,1,1,1,57.4344063848834
0,2,0,0,1,1,55.79026459704779
5,2,0,1,0,0,48.34097744466756
0,2,0,1,0,1,56.32840784879532
4,3,0,0,1,0,46.311386889343815
3,3,1,0,1,0,45.44980659418162
3,3,1,1,0,1,52.70648218261016
5,2,1,0,0,0,44.78018853649454
4,3,0,0,1,0,45.57957197766541
1,3,0,1,1,1,56.56583920183467
3,2,0,1,1,0,47.67429593549521
2,3,0,1,1,1,54.2444137839271
6,3,1,0,1,0,43.37900339213167
6,1,0,0,1,1,53.70870147502706
5,3,0,0,1,0,46.223740685911245
5,3,0,0,1,0,46.43512216069367
2,3,1,0,0,1,55.73370036947429
3,3,1,0,1,1,52.58338984983189
3,3,1,0,1,1,53.8994362852688
6,3,0,1,1,0,44.2908951636748
5,2,0,0,1,0,45.082842627296
5,2,1,0,1,0,45.08008996061551
2,3,0,1,1,1,55.49745625802923
7,2,1,1,1,0,43.84823325755914
0,3,0,0,1,1,57.76391850533784
1,2,0,0,1,1,55.39106557753086
5,2,0,0,1,0,45.21400295764184
6,4,0,0,0,0,44.41340725688926
6,4,1,0,1,0,44.1164280633313
0,2,0,0,0,1,55.97494650369998
4,2,1,0,0,1,51.72322117659028
0,3,1,0,1,1,56.2485462497642
6,3,1,1,1,0,46.862840496496105
4,3,1,0,1,1,53.02204563958805
7,3,1,0,0,0,45.294137109990224
5,3,0,0,0,0,47.30677506218927
3,3,1,1,1,1,53.781467190810304
4,2,0,0,1,0,45.60518646623023
4,2,0,0,1,1,51.9304688558115
3,2,0,0,0,1,56.1053930362313
3,2,1,0,1,1,52.27399845882184
3,2,1,0,1,1,54.39134609906819
4,2,0,0,0,0,45.635565095584745
3,3,1,1,1,0,47.69878328503776
0,3,1,0,1,1,56.33588995993594
1,3,0,1,0,1,54.73291511730362
6,2,1,1,1,1,54.04862830062895
5,2,1,1,1,1,52.199668695280856
1,3,1,0,1,1,56.22610132581727
1,2,1,1,1,1,55.82042333528062
1,2,0,1,0,1,55.80265995375421
4,2,0,1,1,1,52.90129590463768
8,2,0,0,0,0,42.63055530534725
6,3,1,1,0,0,46.13139224196062
1,2,0,0,1,1,54.13000632555744
6,3,0,1,0,0,45.63086229826402
1,3,1,0,1,1,55.73590686119248
3,3,1,1,0,0,46.516504879091
3,2,0,1,1,0,47.861662629665474
6,3,0,0,0,0,45.65469479808196
4,4,1,0,1,1,52.18042200918149
3,3,0,0,1,0,45.11799812718678
2,3,0,0,1,1,54.775320885883566
2,2,0,0,1,1,53.85540229540881
2,3,1,0,1,1,54.50871222612052
3,2,1,0,1,0,46.03760877540461
1,3,0,0,1,1,55.697552349380906
5,3,1,1,1,0,45.87719752553199
1,3,1,1,1,0,49.97543460441658
1,3,0,0,1,0,49.69628768720446
3,2,0,0,1,1,52.962113885139054
4,2,1,1,0,1,54.84960896557862
5,3,1,1,0,0,45.74355617441847
5,3,0,1,1,0,46.27427524793005
5,2,0,0,1,0,46.587552218571815
6,2,0,1,0,0,45.05838284608544
3,2,1,1,1,1,54.565633145980165
9,2,1,1,1,0,43.58713140784943
2,3,1,0,1,0,48.23908357279859
4,3,0,0,1,0,46.69901154009376
3,3,0,0,1,1,53.395305036755175
2,2,1,0,1,0,46.91015638280011
4,3,1,1,1,0,45.1354275465418
3,2,1,0,0,0,46.59917548700393
0,2,1,0,1,1,56.74581279940659
0,3,1,0,0,1,55.98715693491925
0,2,1,1,0,1,53.97432974024108
3,3,1,1,0,0,49.10687426436528
6,4,1,0,0,0,45.97158092357578
1,3,1,1,0,1,55.270055424900185
2,3,0,0,1,1,54.93015150028273
5,3,1,1,0,0,46.52043601477763
4,3,0,0,0,0,44.34427753539802
4,3,0,1,0,0,46.43671303251759
2,3,1,1,1,1,54.86857423801724
2,2,0,1,1,1,55.72336229109512
5,3,1,0,1,0,47.05221942223917
4,3,0,0,1,0,47.36496888639044
2,2,0,0,0,0,48.868934820132765
6,2,0,0,0,0,46.14036590069192
3,1,0,0,1,1,54.80609315276549
3,4,0,0,1,1,54.77637372751243
0,2,1,0,1,1,55.05700265271746
7,2,1,0,0,0,44.52223375691112
7,2,0,0,1,0,43.81229191915769
4,4,0,1,1,0,47.36183431927775
3,1,1,1,1,0,44.91213259428508
3,3,1,0,0,1,55.0178339081106
4,3,1,1,0,0,48.77815877532144
4,2,0,0,1,0,46.226884812308846
-1,3,1,0,1,1,55.84469707984699
4,2,1,0,1,1,53.60876546399164
2,3,0,0,0,0,47.84000823274082
6,3,0,1,1,0,44.91027947971547
3,2,0,0,1,1,54.85963365295751
2,2,1,1,1,1,55.55003893062575
4,3,0,1,1,0,47.91555810401599
0,2,1,0,1,1,56.22990303722335
3,2,1,0,1,1,54.425490984093216
6,1,0,1,1,1,52.11564128698672
0,2,1,0,0,1,56.46386122791857
0,2,0,0,1,1,57.78961746609721
1,3,0,0,1,1,55.97221141035948
3,3,1,0,1,0,46.901221565096925
5,3,1,1,1,0,45.38898525565682
7,2,0,1,0,0,44.72485716537953
2,1,0,1,0,0,48.37656396551496
1,2,1,0,1,1,53.90997375106049
4,2,0,0,1,0,44.868852128019
4,2,0,0,0,0,46.114953382636216
6,3,0,0,1,0,45.77497120798853
4,2,1,0,0,0,45.96471909800324
0,3,0,1,1,1,54.6711577520588
1,2,1,0,0,1,54.4935751832329
3,2,0,0,0,1,52.907279681595256
2,3,0,1,1,1,55.945829588662974
6,3,0,0,1,1,51.56376001986177
2,2,0,0,0,1,53.07673059741647
3,3,0,1,1,1,53.40742378987402
6,3,0,0,0,0,42.83797453898995
4,3,1,1,1,0,45.46502858926616
5,3,1,1,0,1,51.45668459436739
3,3,0,0,1,0,47.3070301947007
6,3,0,1,1,0,45.79504388808756
6,2,0,0,1,0,45.79801296967861
5,3,0,1,0,0,45.67235274073027
3,3,0,1,0,0,46.30070062438501
3,2,1,0,1,1,54.878603990996965
1,2,1,0,1,1,55.75582941277671
4,2,0,1,0,1,53.34633795616455
6,3,1,1,1,0,46.04831131096694
4,3,1,1,0,0,44.692483162054536
0,3,1,1,1,1,56.21625704447971
7,2,1,0,1,0,45.22414443800118
0,2,1,0,1,1,55.784077720899866
2,2,1,0,1,1,54.12066990107981
4,1,1,1,0,0,47.78517760240314
2,3,1,0,0,0,48.12724603052884
3,3,0,1,0,0,47.49693333376659
2,3,0,1,1,1,55.56690026412967
4,2,0,1,1,1,54.88989752227991
2,2,0,0,0,0,48.66569287889426
2,2,1,0,1,1,56.26275333169104
6,2,0,0,1,0,45.06722323515331
5,2,0,0,1,0,43.49289536471459
5,2,0,1,1,0,47.28801611934367
9,4,0,0,1,0,41.63424314396631
6,2,0,1,1,0,46.86312780265022
3,4,1,0,1,0,47.05980773859352
4,2,1,0,0,1,54.1114480748181
4,3,0,1,1,0,44.84633378823538
4,2,1,0,0,1,54.647680254579925
0,2,1,0,0,1,56.46835226253498
1,2,1,0,1,1,56.10460489919484
4,3,0,0,1,1,54.11282527178171
1,3,1,0,1,1,54.27528981310659
4,3,0,1,1,0,48.23519045604335
2,2,0,0,1,0,48.555961024712055
2,1,1,1,0,1,55.581243252222144
3,2,0,0,1,1,53.99545764140397
0,3,1,1,1,1,58.18396096347631
6,2,0,0,1,0,45.545350138138254
0,3,0,0,1,1,55.208205470004735
2,2,0,0,1,1,54.2901399509424
2,2,1,0,0,1,54.71415685953885
7,2,0,0,1,0,44.28129588465461
5,2,1,1,1,1,54.089833728795966
2,3,1,0,1,1,56.45546200967942
6,3,1,0,1,0,45.2530144485963
3,2,1,1,1,1,55.06644835275103
2,2,0,0,0,1,55.464437940298026
6,1,0,1,1,0,44.76182598439822
5,3,1,1,0,0,45.759450463608616
4,3,1,1,1,0,44.38733450995158
1,3,1,0,1,1,54.79154952141735
6,2,0,1,1,0,46.2624750176168
4,3,1,1,1,1,55.27290772172496
6,3,1,0,1,1,52.030376289854914
2,3,0,0,1,0,47.76571578700378
7,3,0,1,1,0,44.332550191377614
3,2,1,1,1,1,55.68393253614293
3,3,1,0,1,0,45.26112477397588
4,2,1,1,1,1,54.845618198514
2,3,0,0,1,1,55.87396761444528
6,2,0,1,1,0,46.99094704988773
6,1,1,0,1,0,44.35041049459901
3,2,1,1,1,0,47.64423346842915
6,4,0,1,1,0,46.04008411400535
3,3,1,1,1,1,53.89618907330238
5,2,1,1,1,0,46.642606554486576
1,2,0,1,1,1,55.26974150701202
3,2,0,1,1,0,46.59360698538355
7,3,1,0,0,0,45.107631786728525
2,3,0,0,1,0,47.90108069421159
0,3,1,1,0,1,57.48550813658497
5,2,0,0,0,0,46.311256649395474
2,4,1,1,1,0,47.73049212504802
5,3,1,0,0,0,46.92928137324373
5,3,0,1,1,1,53.00001054416289
4,2,1,1,1,0,47.98690701227161
8,2,0,0,1,0,43.3935419629547
3,3,1,1,0,1,54.28818720580411
3,3,0,0,1,0,48.35542512697296
0,3,0,0,1,1,56.71866953884484
5,3,0,0,1,0,45.07469007016422
0,2,0,0,0,1,54.82554208794297
0,3,0,1,1,1,53.5782879987497
3,3,0,0,1,0,45.87271243869106
3,3,1,1,1,0,48.11675340631143
1,3,1,0,1,1,55.73890444505798
3,2,1,0,0,1,53.93642692239388
6,2,0,0,0,0,45.68406888139734
1,3,0,0,1,0,49.32230935045008
1,2,1,0,1,1,55.08930425629494
7,3,0,1,1,0,44.80939963353693
4,2,0,0,1,1,51.80520469929225
3,3,0,1,1,0,49.08009798158865
4,3,0,1,1,0,47.68013596184633
2,2,1,1,1,1,54.72315133026928
0,2,1,0,1,1,56.02056562340742
5,2,0,1,0,0,45.41810419576538
7,3,1,1,1,0,44.76949054042949
0,3,0,1,1,1,57.62493226794549
1,2,0,1,0,1,54.15105618090873
2,2,1,0,0,1,53.99814913176002
4,2,1,0,1,0,46.21296404592896
0,3,0,1,1,1,56.817079580373935
3,3,0,0,1,1,53.8596754379897
2,2,0,0,1,0,47.65715517346587
5,3,0,0,1,0,45.45375975350031
2,2,1,1,1,1,53.613805989775386
-1,3,1,0,1,1,54.54255688042825
7,3,1,1,0,0,44.10296761611839
4,3,0,0,1,0,46.457689916968505
4,1,1,0,1,1,53.55079123258255
3,2,0,0,1,0,46.295569331350606
3,3,0,1,1,0,46.06846743108677
2,3,0,0,1,1,54.92553845209133
6,2,1,0,0,1,52.08561595435141
3,2,1,0,1,1,53.56590071623032
5,3,1,0,1,1,52.34392243685593
2,1,1,0,1,1,52.4319462526775
5,3,1,1,0,0,45.55586209730891
3,2,1,1,1,1,56.05291066513708
4,3,1,0,1,1,53.792130760133226
5,1,1,0,0,0,43.87905638156884
7,3,0,1,1,0,45.75759259138251
6,2,0,1,0,0,43.92504772552349
8,2,1,1,0,0,45.38768751954062
4,3,0,1,0,0,47.16830316117546
7,2,1,0,1,0,45.66305843460868
3,3,1,0,1,0,47.283886108645774
2,2,0,1,1,1,54.67584641640931
5,2,0,0,1,0,47.01306967629908
1,3,1,0,0,1,55.86041331046999
8,3,1,1,1,0,46.19111491128346
4,4,0,0,1,0,45.94978165199996
1,2,0,1,1,1,54.7844155570497
5,2,0,0,0,0,45.63377996833358
3,2,1,0,1,1,54.028502361210144
3,2,1,0,1,1,54.34101895968313
1,2,1,1,1,1,56.35596979636448
3,2,1,0,0,1,53.722342035843866
4,3,0,0,1,0,47.12033898303218
0,3,0,1,1,1,55.59052802322838
4,2,0,1,1,0,46.68879978683417
1,4,0,1,1,0,49.34280721273305
4,3,1,0,0,0,45.869232254773735
4,3,1,1,1,1,52.50671352187406
2,2,0,0,1,0,47.17172580362944
0,3,1,1,1,1,55.15235357154244
2,3,0,1,0,0,47.87321781889375
1,3,1,0,1,1,56.66962634364998
6,3,1,1,0,0,45.96319246418589
3,2,0,1,0,1,54.461175254764775
6,4,0,0,1,0,45.03201613340858
1,3,0,0,1,1,56.3242608898194
0,3,0,1,0,1,56.48408105066373
0,3,1,0,1,1,55.60659461970441
1,2,0,1,1,1,55.83611024184128
3,3,1,1,1,1,54.69577338593989
6,3,1,0,1,0,43.813839430500366
2,3,0,1,1,1,54.22473407923421
3,2,0,1,0,1,55.38387063340116
2,2,0,0,1,1,55.6291452814596
1,3,0,1,0,0,48.25731837741871
3,3,0,0,1,0,46.18419536596458
5,3,0,1,1,1,53.770930661510526
1,2,1,0,1,1,54.39896006715617
1,3,1,1,0,1,54.27230223953061
0,3,1,1,1,1,55.9858545479282
2,3,1,0,1,1,55.29619703251127
1,4,1,0,0,0,47.82240084186307
6,3,0,1,0,0,44.007593357319934
4,2,1,1,1,1,54.248643041493146
5,2,1,1,1,1,53.96061206101149
6,3,0,0,0,0,44.69464723912864
4,3,0,1,1,1,53.922676110390405
6,3,0,0,0,0,43.83913590527485
6,2,1,1,1,0,44.422317090277446
1,3,0,0,1,0,49.30056746231912
3,2,0,0,1,1,53.68812888987323
2,2,1,1,1,1,53.5312801387579
2,3,0,1,1,0,48.06208990249877
5,3,1,0,1,0,46.13087162347476
5,3,1,0,1,0,44.00108170136271
4,2,1,0,1,1,51.90179572602558
3,2,0,1,1,1,54.6684464203289
4,3,0,0,1,1,53.6942702593861
3,2,1,0,0,0,48.63527501553094
3,2,1,0,1,0,46.19675083108976
3,3,0,0,1,0,46.66008079485763
1,2,1,0,0,1,55.61937571759357
2,2,0,1,1,1,55.01697760462053
5,2,1,0,1,1,52.7609466783866
2,2,0,1,0,1,54.322483644942295
4,3,0,1,1,0,46.77794054776975
8,2,1,1,0,0,44.04289783993048
4,3,0,0,1,0,45.93900425362604
4,2,1,1,1,0,47.328641720999975
6,3,0,0,0,0,46.0303993941764
6,3,0,1,1,0,44.974763206547166
7,3,1,1,0,0,45.41916429573907
2,2,0,1,0,0,46.24011474916747
4,3,1,0,1,1,54.38327910171627
5,3,1,0,1,0,45.42299864012895
3,2,1,1,1,1,54.83802644637484
3,3,1,1,1,0,46.22401246594334
4,3,0,0,1,1,53.07684273230441
7,2,0,1,0,0,45.62572700132595
4,2,1,0,1,1,52.42397728100762
5,3,1,0,1,0,45.620901824867445
5,2,0,1,1,1,53.07998879110211
3,2,1,0,0,1,54.37020705394729
4,2,0,1,0,0,45.71629040349277
4,2,1,1,1,1,55.66921304672695
6,2,1,1,1,0,45.94177635583585
3,2,0,0,1,0,45.849256979066695
8,2,1,1,1,1,51.959163467652935
1,2,1,0,0,1,54.64437140853241
4,3,1,1,0,0,46.04818916287685
4,3,0,0,1,1,51.96134804938647
-1,3,1,1,1,1,58.20244004815738
3,3,0,1,1,1,53.705056102089
3,3,0,1,1,1,53.72903357834325
1,3,1,1,1,1,54.60764772140577
5,3,0,0,1,0,45.68036131052516
2,3,1,0,1,0,47.74012899263553
3,3,0,1,1,0,47.74302945644524
7,3,1,1,1,0,44.43506174292005
0,4,1,1,1,1,57.9339484744558
2,2,1,1,0,1,56.93818962169211
5,3,1,0,1,0,45.90536524417593
3,2,0,0,1,0,44.53744965753544
3,3,1,0,1,0,47.86374939991288
1,2,0,1,1,1,55.54401088020804
0,2,1,0,1,1,55.579711326200034
2,3,1,1,1,1,55.64971555281352
5,4,0,0,1,0,46.263631706339865
2,2,0,0,0,0,47.06521483737381
8,2,0,1,0,0,44.43736723134724
3,2,1,0,1,1,53.22972756102202
2,3,0,0,0,0,47.03201524198837
2,3,1,0,0,0,48.6491035022524
1,2,0,1,0,0,48.21802110894955
7,2,0,1,1,0,45.37093477222347
0,2,0,1,0,1,57.34409270183794
3,2,1,1,1,0,48.09228652010693
4,3,1,0,1,1,54.2511297258437
5,2,1,1,1,0,45.6547087500278
0,3,1,1,1,1,56.77065862292203
2,3,0,0,1,1,56.31470913374722
2,2,0,1,1,1,56.76415720022903
0,3,1,1,1,1,54.59319330818088
1,2,0,0,1,1,53.73245687901819
5,2,0,1,1,0,46.19674329736231
9,3,0,1,1,0,43.83349916609819
3,2,0,0,1,1,53.41754585576479
2,3,0,0,1,0,46.889132172556224
1,3,0,0,1,1,55.15536984499688
1,3,0,0,1,1,56.200735031157336
3,3,1,1,1,1,53.99830143610516
3,2,1,1,1,0,45.952557994653766
1,2,1,1,1,1,56.9495201001444
4,3,0,0,1,0,45.97446736155759
3,2,0,1,1,0,47.039505387700736
7,2,0,0,1,1,51.57612014016403
4,3,0,1,0,0,43.85835295744726
7,3,1,1,1,0,44.60478400830378
6,2,0,0,1,0,45.67301640544325
3,3,0,1,1,1,52.97520041132897
2,2,1,1,1,1,55.72004055070626
4,2,1,0,0,1,54.54561835394793
3,3,0,1,1,0,46.74918546759815
6,3,0,0,0,0,44.907295723435176
0,3,0,1,1,1,54.119567244984594
3,3,0,0,1,1,54.86495486502341
3,1,0,0,0,1,52.4353471278403
2,2,1,1,1,1,57.15060667330299
0,3,1,0,1,1,54.67565620365067
6,2,0,0,1,0,46.60835424468163
6,2,1,1,1,0,45.48048120334185
4,3,1,0,1,0,45.92369194315823
7,3,0,0,1,0,43.804642908496014
6,2,1,1,1,0,45.22071442774202
