defendant_id,post_policy,new_sentencing_policy,sentence_length,defendant_age,previous_convictions,legal_representation,income_level
72,0,0,51.46620141558016,4,8,0,1
73,0,0,51.2727776515238,2,7,1,0
74,0,1,52.32891750076764,4,8,1,1
75,0,1,52.30264385548386,3,7,0,1
76,0,0,51.145604907445644,2,5,0,0
77,0,1,51.81367160907252,2,6,1,0
78,0,0,48.947823534525824,2,7,0,1
79,0,0,51.46734823156429,1,7,1,0
80,0,0,51.65212704584655,3,5,1,0
81,0,0,49.46827069755583,3,10,0,1
82,0,0,52.49032841474813,4,6,1,0
83,0,0,52.60010093746724,3,6,1,1
84,0,1,50.50176420320712,3,6,1,1
85,0,1,49.668402038360064,2,5,0,0
86,0,0,51.71850314017651,2,7,1,1
87,0,1,50.40622849153215,2,6,1,0
88,0,1,50.746285719636255,2,9,1,1
89,0,0,51.25500383872744,3,7,1,1
90,0,1,49.37098431525327,2,5,0,1
91,0,0,50.961314617966266,2,8,1,1
92,0,1,50.06205258630106,4,6,1,1
93,0,0,50.57476243429699,0,8,1,1
94,0,0,52.24207540291128,2,6,1,0
95,0,1,51.22970612224036,2,7,0,0
96,0,0,49.65127945133666,2,6,0,1
97,0,1,51.24599939409973,3,7,0,0
98,0,1,51.2131055066149,4,9,1,0
99,0,1,50.53883902736449,2,8,1,1
100,0,0,50.52231750487505,3,7,0,0
101,0,1,52.24366524819944,4,3,1,1
102,0,1,50.8104011164096,2,3,0,0
103,0,1,52.79384876976804,3,5,0,1
104,0,0,52.389753107954064,1,3,1,0
105,0,0,51.74262636244593,1,6,0,0
106,0,1,52.064404101680246,3,6,1,0
107,0,1,50.6293427346232,2,8,0,0
108,0,1,52.44969492163116,3,8,0,1
109,0,1,50.84509397850757,3,8,0,1
110,0,0,51.71814978990624,1,8,1,1
111,0,0,53.08148115569041,1,7,0,1
112,0,0,52.07263982960522,4,10,1,0
113,0,0,50.68092008507825,3,3,1,0
114,0,0,51.74178836941682,1,6,0,0
115,0,0,52.399693119959394,2,8,1,0
116,0,0,50.45224666358131,2,9,1,1
117,0,0,52.359876412131975,1,4,0,1
118,0,1,53.75725902777528,1,3,1,0
119,0,0,50.95139533947319,3,6,1,0
120,0,0,50.439977056802256,3,7,1,1
121,0,1,49.23899744165123,2,4,0,1
122,0,1,49.63131024830989,3,5,0,1
123,0,1,52.0272241676448,3,5,1,0
124,0,1,51.41838743322432,3,6,0,0
125,0,0,49.57593885302824,2,6,0,1
126,0,0,50.50373312665283,2,7,1,0
127,0,0,51.49695183551945,1,5,1,0
128,0,0,49.96023210563485,1,7,0,1
129,0,0,52.09981823673392,3,8,1,1
130,0,0,51.95727174543716,1,6,0,0
131,0,0,51.22727933439001,3,5,0,0
132,0,1,51.037925582606334,3,4,0,0
133,0,0,50.42206722236425,3,7,1,0
134,0,0,50.22997687355498,6,4,0,0
135,0,1,52.80128528941934,4,6,1,0
136,0,1,50.93147879219188,1,6,0,1
137,0,0,48.30565532626978,4,9,0,0
138,0,1,51.59267158037866,2,7,0,0
139,0,1,50.99618495021994,3,4,1,0
140,0,0,51.01338759662882,3,6,1,0
141,0,0,52.54064507259528,2,7,1,0
142,0,1,50.9261041207592,3,5,1,1
143,0,0,51.40370203064996,3,5,0,1
144,0,0,52.02026580560612,2,6,0,1
145,0,0,49.22327799275784,3,5,0,1
146,0,1,49.87110195283229,2,7,1,1
147,0,1,50.41659084135828,5,7,0,1
148,0,0,52.25668257684602,2,5,1,0
149,0,1,50.47028333504358,3,7,0,0
150,0,1,53.17779391497768,3,6,0,0
151,0,1,53.15353425133299,3,4,0,1
152,0,0,49.89213331583704,2,9,0,1
153,0,0,50.42406253630133,1,8,0,0
154,0,0,50.33845420982917,2,6,0,0
155,0,0,51.486234162615645,3,9,0,0
156,0,0,50.7237769509356,1,4,0,1
157,0,0,49.54579845589426,2,9,1,0
158,0,1,50.91804918124621,2,6,0,1
159,0,0,50.56013400026632,2,9,0,1
160,0,1,52.4741674483594,2,4,0,1
161,0,0,50.44738197604681,3,6,0,0
162,0,0,51.51534279420223,4,4,0,0
163,0,0,50.39677938856036,3,12,0,1
164,0,0,50.93823468142171,2,6,0,1
165,0,1,50.18644515072868,3,9,1,0
166,0,0,49.791633413881705,0,10,0,1
167,0,0,50.18298671314198,2,8,1,1
168,0,0,49.141877676331376,5,6,0,0
169,0,1,48.97567892537907,2,6,0,0
170,0,1,51.3963874958815,3,6,1,1
171,0,0,50.76208792014185,2,6,0,1
172,0,0,49.37428223158997,3,6,0,1
173,0,0,52.55479098838904,1,4,0,1
174,0,1,52.36731777503946,1,3,1,1
175,0,1,52.05955925283508,0,7,1,0
176,0,1,50.62809946110275,2,10,0,0
177,0,0,52.98048712473921,1,7,0,0
178,0,0,52.68751204202037,2,7,1,1
179,0,0,52.52065962753121,3,8,1,1
180,0,1,51.53487535893816,0,4,0,1
181,0,1,51.64077867997752,3,5,0,0
182,0,1,49.47772236354652,3,10,1,0
183,0,0,50.93588762084365,3,7,1,1
184,0,0,52.32262376056677,3,6,1,0
185,0,1,50.57901800637208,2,6,1,1
186,0,0,50.82528393798298,3,3,0,0
187,0,0,51.18989047204194,3,6,1,1
188,0,0,53.014527668849,1,7,0,0
189,0,0,51.5345498156622,3,8,0,0
190,0,0,52.61962313600152,2,8,0,0
191,0,1,50.77229364705204,3,6,1,1
192,0,0,50.56915369819669,2,9,1,0
193,0,1,50.803277290757705,3,7,0,0
194,0,0,50.50466039652019,3,5,0,1
195,0,0,52.33079819181802,3,4,0,0
196,0,0,51.420998445555504,3,6,1,1
197,0,1,51.26856203945329,3,5,1,0
198,0,0,52.83632497191145,2,8,0,0
199,0,1,50.57470716207014,3,9,0,0
200,0,1,51.6718330951275,4,7,0,0
201,0,0,49.37683427342959,4,5,1,0
202,0,0,52.27920420703895,2,8,1,0
203,0,1,49.21339164188549,2,11,0,1
204,0,0,51.06032641573062,1,6,0,1
205,0,0,52.84692626710577,3,8,1,0
206,0,0,52.22785055451937,2,7,1,1
207,0,0,50.99664037697682,2,6,1,1
208,0,1,51.55189708129664,3,9,1,0
209,0,0,51.715671113535045,2,7,0,1
210,0,0,51.77112997108458,4,4,1,1
211,0,1,51.30932719084641,3,8,1,0
212,0,1,52.60563111148012,1,6,1,0
213,0,0,49.41723220196945,3,7,1,1
214,0,0,52.02627249240418,3,6,1,1
215,0,1,49.22442239618259,3,10,0,1
216,0,0,50.22272187052056,3,7,0,0
217,0,0,53.45954363425196,3,8,0,1
218,0,1,51.16859817458272,1,7,0,1
219,0,0,52.23933043432071,2,3,0,0
220,0,0,51.37848469083125,1,9,1,1
221,0,1,51.219935799502025,2,7,1,1
222,0,1,49.18432661357362,0,4,0,0
223,0,0,53.448364928954646,2,7,0,1
224,0,0,51.96224006660375,2,5,1,1
225,0,0,53.70063185931919,3,6,1,0
226,0,0,50.93616240665974,5,10,0,0
227,0,0,50.679893425096246,4,2,0,1
228,0,1,51.658547920721645,2,9,0,0
229,0,1,50.74398830904726,2,8,1,0
230,0,0,51.37243221634223,2,8,1,1
231,0,0,51.19936698608033,1,2,0,0
232,0,0,50.20131117902408,2,4,1,0
233,0,0,51.287413736335786,2,4,0,0
234,0,0,51.34881204293434,3,8,0,0
235,0,1,51.3359969714125,4,6,1,0
236,0,0,51.461053265137295,2,9,1,1
237,0,1,49.58086106096911,3,5,0,0
238,0,1,49.15477950286595,2,5,1,1
239,0,1,49.35486628835953,3,10,1,0
240,0,0,49.3260347215006,2,8,0,0
241,0,0,52.22903553314263,3,7,1,0
242,0,0,49.946454621443074,2,4,0,1
243,0,0,50.67443913893377,3,6,1,1
244,0,1,50.00656132612824,3,7,0,1
245,0,0,51.46275212592816,2,4,1,1
246,0,1,51.75158542934771,2,6,0,1
247,0,0,50.71605198469089,4,10,0,0
248,0,0,51.324078281095005,3,6,0,0
249,0,1,50.60320147203157,2,8,1,1
250,0,0,50.39970910906074,3,6,0,0
251,0,0,51.28802032566796,1,4,1,0
252,0,0,51.12961100985861,3,8,0,1
253,0,1,50.74819939717384,3,6,0,0
254,0,0,53.5289070535051,2,9,0,1
255,0,0,50.75097081333583,3,5,1,0
256,0,0,50.375961936693486,3,7,1,1
257,0,1,52.40943596990508,0,7,1,0
258,0,1,51.28764588714527,2,6,0,1
259,0,0,50.97418241649148,1,5,1,0
260,0,0,52.91921894812961,4,8,1,0
261,0,1,48.10471379549415,2,6,1,1
262,0,0,51.79699458056355,2,6,1,1
263,0,1,49.894477861968106,2,8,1,0
264,0,0,49.548705814135154,3,8,1,0
265,0,1,51.219982638104966,2,6,1,1
266,0,1,52.23169191859381,2,8,1,1
267,0,1,51.52366254451967,3,5,1,0
268,0,1,51.15566950863354,2,9,0,0
269,0,0,51.00934673402151,3,7,0,0
270,0,1,51.06600402187071,3,5,0,1
271,0,1,50.88276395462824,2,3,1,0
272,0,0,49.97518595128448,3,7,0,0
273,0,0,50.695828689996205,4,5,1,1
274,0,0,51.2695404021004,2,8,0,1
275,0,1,50.81339248274616,3,4,0,1
276,0,0,49.51432972713481,2,4,0,1
277,0,1,48.66823538835709,2,5,0,1
278,0,0,49.76279912531825,2,4,1,0
279,0,1,49.83782568619189,1,7,0,1
280,0,0,51.24275973514133,2,2,0,0
281,0,0,49.79702215142952,4,7,1,0
282,0,1,49.19309798188655,2,4,1,0
283,0,1,50.71451122716602,4,6,1,1
284,0,1,50.14281556288126,2,7,0,1
285,0,0,52.37351721702312,0,5,0,0
286,0,1,51.09807575634692,2,8,0,1
287,0,0,49.62252213060483,1,6,1,0
288,0,0,50.79286907337491,3,6,1,0
289,0,0,50.45813624914514,2,6,1,1
290,0,0,52.49744972363021,0,7,0,1
291,0,0,50.92920603810418,3,10,0,0
292,0,1,49.795418598874285,2,8,1,1
293,0,1,51.50477595142692,2,8,0,0
294,0,1,50.914982375113546,1,4,0,0
295,0,0,50.18501608110861,4,5,0,0
296,0,1,51.1380188087822,1,11,0,1
297,0,1,50.76074098373926,2,5,0,0
298,0,1,52.41747928973752,1,2,1,1
299,0,1,50.04041934599689,5,6,0,1
300,0,0,51.42277008251229,3,8,1,0
301,0,0,51.40235231166694,3,4,1,0
302,0,0,50.45646827619652,2,5,1,0
303,0,1,51.02797599854564,1,6,1,0
304,0,0,50.68377986988422,3,6,1,1
305,0,0,52.06936304122057,0,6,0,0
306,0,0,50.17485076591478,3,10,0,1
307,0,1,51.61131877296124,3,6,0,1
308,0,1,50.4710452179897,3,3,0,0
309,0,0,49.84321965841701,4,6,0,1
310,0,0,50.5884963928722,2,4,0,0
311,0,1,50.458267645418445,4,7,1,1
312,0,0,53.191216009186014,3,7,1,0
313,0,1,50.27830210292583,2,6,1,0
314,0,0,49.31163592032944,2,7,1,1
315,0,0,53.25491388780253,2,7,0,1
316,0,0,51.13520011910955,4,8,1,0
317,0,0,49.81989270615389,5,5,1,0
318,0,1,51.922236189328565,2,5,0,1
319,0,1,51.85346081817923,2,6,1,1
320,0,0,51.81553586862743,2,5,1,0
321,0,1,51.55023160131438,2,9,0,1
322,0,1,51.32791569741221,2,5,1,1
323,0,1,51.4917847509118,3,5,0,0
324,0,1,49.030203789052514,0,8,0,1
325,0,1,50.76853151237454,3,4,0,0
326,0,0,51.063957915470766,1,6,1,0
327,0,1,52.34536582082083,2,3,0,0
328,0,0,52.32669470595173,2,11,1,1
329,0,0,50.97550615512699,2,4,1,0
330,0,1,51.62318505576968,3,7,1,1
331,0,0,50.25117281175683,4,8,1,1
332,0,1,51.29083522121965,4,8,0,1
333,0,1,53.05556832771542,2,4,0,1
334,0,0,51.65910477515344,3,9,1,1
335,0,0,50.40689680699728,1,5,0,0
336,0,1,51.17568352314663,4,6,0,0
337,0,1,50.79733371673324,2,6,1,0
338,0,0,53.024944773870125,2,6,0,0
339,0,1,49.36849744293927,4,6,1,0
340,0,1,50.66699419080209,3,6,0,0
341,0,0,50.21339531889661,1,9,1,1
342,0,1,52.09908485674265,3,6,1,1
343,0,1,50.9509578338269,1,5,0,1
344,0,1,50.155049941836666,2,10,1,0
345,0,1,50.86697363257485,3,7,0,0
346,0,0,49.79183144782931,1,8,0,0
347,0,1,50.74079252263237,3,7,1,0
348,0,1,51.04260104592146,3,9,1,0
349,0,0,50.61413133516892,2,7,1,1
350,0,0,51.23001646030981,2,6,0,1
351,0,0,51.86360516422208,3,9,0,0
352,0,0,51.85844135095255,2,5,1,1
353,0,1,50.542369020244806,1,8,0,1
354,0,0,51.80669257612077,3,6,1,0
355,0,0,52.05716669612674,0,6,0,0
356,0,1,49.81087326950559,2,4,0,1
357,0,1,50.49664396493619,2,9,1,0
358,0,0,50.97078633373116,1,8,1,1
359,0,1,51.55053015631064,1,8,1,1
360,0,0,51.58431682618631,1,8,1,1
361,0,0,51.3173976838662,0,4,1,0
362,0,0,51.215646482241645,3,5,1,1
363,0,0,53.53201149421058,4,7,0,0
364,0,0,51.47806543453261,3,9,0,1
365,0,0,52.19652023059592,1,5,0,0
366,0,0,52.44943310596015,3,6,0,1
367,0,0,51.99166699848323,4,8,1,0
368,0,1,48.89705038380983,1,10,1,0
369,0,0,51.75772687370016,3,4,1,0
370,0,1,50.63340171223759,2,7,0,1
371,0,1,49.62265794595531,5,8,1,1
372,0,1,50.619969549524015,1,4,0,1
373,0,1,50.7906567976132,4,9,0,0
374,0,0,51.02791844230112,3,2,0,1
375,0,1,51.54639335424768,1,4,1,1
376,0,1,52.14144910717954,4,6,0,0
377,0,0,50.68281118943552,2,7,0,0
378,0,1,50.49460903438887,2,8,0,1
379,0,1,52.33021271381939,2,9,0,1
380,0,0,51.22713372612122,2,6,1,1
381,0,1,51.561763765653644,2,7,1,1
382,0,0,51.92358316984581,2,10,0,0
383,0,0,50.67804823749112,3,10,0,1
384,0,0,51.60325611235305,2,7,1,1
385,0,0,51.16119800803939,2,6,1,1
386,0,1,52.04649144354326,2,3,0,1
387,0,1,50.914577837074674,4,6,1,1
388,0,0,50.14688444745091,0,7,1,0
389,0,1,50.32408309399273,3,10,0,0
390,0,1,50.74698880635754,3,8,1,1
391,0,0,51.86004625030778,1,5,0,0
392,0,0,50.94276182418786,2,6,0,0
393,0,0,50.60548552326708,3,8,0,1
394,0,1,51.605258876399375,3,7,1,1
395,0,0,50.84560472354197,5,5,0,0
396,0,0,50.790457658368574,2,7,1,0
397,0,1,50.32193024913442,3,8,1,1
398,0,0,51.63430627106617,4,7,0,1
399,0,0,50.1773401074945,3,8,0,1
400,0,0,51.12966282551986,3,6,0,1
401,0,0,49.939322281492935,2,7,0,0
402,0,1,50.986724624411885,4,9,0,0
403,0,1,51.50863340294976,4,9,1,0
404,0,1,51.36748033218591,2,8,0,0
405,0,0,53.17139785162708,3,6,0,0
406,0,0,52.34833322870234,2,7,1,1
407,0,0,49.96941026341641,2,6,1,0
408,0,0,49.16865883475879,2,7,0,1
409,0,0,50.60685784657267,3,8,0,1
410,0,0,48.43872837027898,3,9,1,1
411,0,0,50.57451479385082,2,10,0,0
412,0,0,51.771584438567785,3,8,1,1
413,0,0,51.24853772579408,2,5,1,0
414,0,0,51.27648294046988,2,4,0,1
415,0,1,49.48656694664504,3,7,1,1
416,0,0,51.23152899054914,3,9,1,1
417,0,1,51.92203948075385,3,5,1,0
418,0,0,51.43465143327115,4,4,0,1
419,0,1,49.47361700808205,3,5,1,0
420,0,1,50.40838020995417,1,10,0,1
421,0,1,50.212216367525386,3,6,0,1
422,0,0,52.19456829322653,2,6,1,0
423,0,0,50.6057499435839,4,3,0,0
424,0,0,51.27826881348364,3,8,0,0
425,0,0,51.80796158574171,4,6,1,0
426,0,0,52.5674614926555,2,2,1,0
427,0,1,51.21097705558873,1,5,1,0
428,0,1,51.068008589726304,1,7,0,0
429,0,0,51.58107111295211,1,6,0,0
430,0,1,50.976024517481854,3,6,0,0
431,0,1,50.330052560835945,3,4,0,1
432,0,1,50.57801730517563,3,4,0,1
433,0,0,51.37532733088302,2,7,0,0
434,0,0,52.208952586100445,4,6,0,0
435,0,1,52.32234861992238,1,7,1,1
436,0,1,53.79124442990616,4,3,1,0
437,0,0,51.80421844986338,3,3,0,1
438,0,0,49.75996468524428,2,11,0,1
439,0,0,51.15559187375016,1,7,0,1
440,0,1,49.83128490535714,3,8,1,1
441,0,0,53.05223981375944,2,6,0,0
442,0,0,50.90849887101949,1,6,0,0
443,0,0,50.8028350356779,3,5,1,1
444,0,1,51.35444221457296,2,7,1,0
445,0,0,53.07861796395666,2,6,1,0
446,0,0,51.86592117284141,3,4,1,0
447,0,1,50.38049798372148,3,6,1,1
448,0,1,50.86211141430969,1,7,1,0
449,0,0,51.150318044054536,0,6,1,1
450,0,1,51.46316388900755,3,7,1,0
451,0,1,51.29679161496786,3,6,1,1
452,0,1,49.649348471797694,3,5,0,1
453,0,1,51.828929876743054,3,8,0,1
454,0,1,51.65590891472484,2,4,0,0
455,0,1,49.02839508098782,3,5,0,1
456,0,1,52.30557317362117,3,4,1,0
457,0,1,50.28059960486185,4,4,0,1
458,0,0,51.178131069509725,2,7,1,0
459,0,0,51.05291798504167,3,7,0,0
460,0,1,51.94127948742426,3,3,0,1
461,0,0,50.07227554334479,1,8,0,0
462,0,0,51.36215365908482,3,6,0,0
463,0,1,49.82720248192157,1,9,1,0
464,0,1,49.56783060478676,3,7,1,0
465,0,1,52.94656896572665,3,5,1,0
466,0,0,51.10590901819688,3,6,0,1
467,0,0,50.01667706171619,2,7,1,1
468,0,0,50.93335677026702,4,6,0,0
469,0,1,52.57343762015407,2,6,0,0
470,0,1,51.82457007082287,2,6,0,0
471,0,1,49.75296400320746,2,8,0,1
472,0,1,50.89124329196121,3,8,1,0
473,0,1,49.598324617812246,4,6,0,1
474,0,1,50.565241603019,2,6,1,1
475,0,1,50.23275674180359,3,7,0,1
476,0,0,52.39160800605974,1,7,1,0
477,0,0,52.76124608579688,3,5,0,1
478,0,0,51.40495409862503,2,10,1,0
479,0,0,51.7567371715926,3,7,0,0
480,0,1,50.187765564737234,4,11,0,0
481,0,0,51.60630174233329,3,7,0,1
482,0,1,50.44168827417494,2,6,0,0
483,0,1,52.285344776465074,4,8,1,1
484,0,0,50.90794262541388,4,8,0,1
485,0,0,51.49341696932812,0,4,0,0
486,0,1,49.99523586263179,2,6,0,1
487,0,0,51.032141688004,2,11,0,1
488,0,1,50.911113426045866,2,9,0,1
489,0,1,52.3310327092134,2,9,0,0
490,0,1,50.38440477798551,3,7,0,0
491,0,0,52.54105450361444,2,5,0,0
492,0,0,50.51191029973201,3,6,1,1
493,0,0,51.2316545324444,2,7,1,1
494,0,1,50.14816325851607,4,7,1,1
495,0,1,52.13611920359997,3,8,1,0
496,0,1,51.67822450133281,2,7,0,1
497,0,1,50.39050701780047,2,5,1,1
498,0,1,51.41349180775398,2,3,1,0
499,0,0,53.61850612888588,3,8,0,0
500,0,1,51.56455513532067,5,8,1,0
501,0,1,52.25035112157445,2,8,0,0
502,0,1,51.30982561923656,3,7,1,0
503,0,0,49.76676772040534,1,4,0,1
504,0,0,50.53833654715847,3,6,1,1
505,0,1,50.41551454723618,2,10,0,0
506,0,0,50.25840533722503,4,5,1,0
507,0,1,49.62611798820629,3,5,0,1
508,0,1,51.0151289959779,2,5,0,1
509,0,0,52.68825718088292,0,6,1,1
510,0,0,49.8658711632873,2,7,1,1
511,0,0,50.56377919914202,2,7,1,0
512,0,1,50.73423922160351,0,5,0,0
513,0,1,50.43672828433329,5,7,0,0
514,0,0,51.163406858413765,3,5,1,1
515,0,0,51.435773059682205,1,6,1,0
516,0,1,50.67708408945915,2,6,1,1
517,0,0,51.972107061006696,2,6,0,0
518,0,0,50.33259313611774,2,9,0,1
519,0,0,50.13037596565752,2,7,0,0
520,0,1,49.070235693057,1,4,0,0
521,0,1,52.032706580652174,1,4,1,1
522,0,1,49.26489601190655,2,7,0,1
523,0,1,50.76491583495984,2,8,0,0
524,0,1,50.25239321239549,4,8,0,1
525,0,1,50.59815112744768,4,10,1,1
526,0,1,50.63148156844483,2,7,1,1
527,0,0,53.12509562788557,2,5,1,0
528,0,0,51.07266523816861,3,5,1,0
529,0,1,49.12302746829696,1,8,1,1
530,0,1,49.86686363986179,2,7,1,0
531,0,1,51.508958351524186,2,7,1,0
532,0,0,50.641336644147465,2,5,0,0
533,0,0,50.67097788482044,3,7,0,1
534,0,1,50.25346955814698,4,8,0,1
535,0,1,51.17845576467406,0,5,0,0
536,0,0,51.42137169706362,3,4,0,0
537,0,1,51.75007068514626,4,6,1,0
538,0,1,48.93938172839269,2,6,0,1
539,0,1,52.35827579792359,2,8,1,1
540,0,1,51.5681297723138,3,6,0,0
541,0,1,49.426614105585166,1,7,0,1
542,0,1,50.81089876470688,3,8,0,1
543,0,0,52.169744672957336,2,4,1,1
544,0,0,50.85383147371,4,6,0,0
545,0,0,50.14386512409348,3,7,0,0
546,0,1,50.665530890234486,3,8,0,0
547,0,1,51.176749984361685,3,7,0,0
548,0,1,50.54258508801903,3,9,1,1
549,0,1,51.95398543298538,3,6,0,0
550,0,1,49.73640585853994,3,6,0,1
551,0,0,51.02921754035215,3,6,0,0
552,0,1,51.35681475895113,3,8,0,1
553,0,0,49.34313715881683,2,9,1,1
554,0,1,50.388396931903856,2,8,1,0
555,0,1,50.80924453077646,1,8,1,1
556,0,0,50.2255559396262,3,10,1,0
557,0,1,51.43206122126467,2,6,1,1
558,0,0,50.87047622788913,2,7,0,0
559,0,0,52.179054895697455,2,8,0,0
560,0,1,51.41312493798883,3,6,1,1
561,0,1,52.18091183978844,4,5,1,0
562,0,0,52.70815245850343,2,2,1,1
563,0,1,48.90046002973021,4,9,0,1
564,0,0,52.753211224286666,3,6,0,0
565,0,1,50.85195633522669,2,6,0,0
566,0,1,51.46003314140072,2,9,1,0
567,0,1,52.10489285575302,3,4,1,1
568,0,0,52.19198603083893,2,7,0,1
569,0,0,50.700252963715485,2,7,0,1
570,0,0,51.276381729709016,2,6,1,1
571,0,1,51.50752122156485,2,8,0,0
572,0,0,50.95276000042129,3,4,1,1
573,0,0,50.70378203773246,3,6,0,0
574,0,1,51.04235412253743,2,8,1,1
575,0,0,50.024088949009325,2,7,1,1
576,0,0,50.91551913178037,2,5,1,1
577,0,0,50.67017235396728,3,5,0,1
578,0,0,50.99077546675698,2,8,1,0
579,0,1,50.630359270018914,2,7,1,1
580,0,0,50.51973052745944,1,3,0,1
581,0,1,51.22158509055473,3,6,1,1
582,0,1,49.22153312899098,3,7,1,0
583,0,0,50.69236820866053,2,10,1,0
584,0,1,49.62110301290882,4,11,1,0
585,0,1,52.26018451078766,3,7,1,0
586,0,0,51.908263092434325,3,5,1,0
587,0,0,50.89167052999365,3,5,1,0
588,0,1,51.56834010667493,2,6,0,1
589,0,0,51.31327757930604,5,8,1,0
590,0,1,50.55207885950399,3,10,0,0
591,0,0,51.49006591217369,3,6,1,1
592,0,1,50.09985961550158,3,6,1,1
593,0,0,52.65090843184314,2,4,1,1
594,0,0,50.93501059414568,2,8,0,0
595,0,0,50.08836089797085,2,4,1,0
596,0,1,52.626767515885376,4,5,1,1
597,0,0,52.08256638057839,2,5,0,0
598,0,0,50.52716704961232,1,5,0,0
599,0,0,51.55225331848351,4,5,0,1
600,0,1,50.1240094100961,2,7,0,1
601,0,0,52.38861337415311,1,9,1,0
602,0,1,50.1394072084864,2,7,0,1
603,0,0,52.37769783991999,3,6,1,0
604,0,0,50.822174283987735,2,8,0,1
605,0,0,52.57819766179817,2,2,0,0
606,0,0,52.69016616991267,1,8,1,0
607,0,1,51.831035776615664,4,5,0,0
608,0,0,50.39650275958019,4,6,0,1
609,0,0,52.35313482387247,3,8,1,1
610,0,0,53.41460414725038,2,5,0,0
611,0,0,50.10353375253635,3,7,1,1
612,0,1,49.75837528654252,2,6,0,1
613,0,0,52.84326139210102,1,6,0,1
614,0,1,50.198907332619775,3,8,0,1
615,0,1,53.25444884878349,4,8,1,0
616,0,1,52.89156340585165,1,6,0,0
617,0,1,51.444170987551495,3,7,0,1
618,0,0,49.7890497431373,3,9,1,0
619,0,0,49.71721300565762,4,6,0,0
620,0,0,51.78347110322541,3,6,0,0
621,0,0,51.784106018663785,2,7,0,0
622,0,1,50.62736508186229,0,6,0,1
623,0,0,51.52388782218532,2,4,1,1
624,0,0,51.96220633763912,4,8,0,1
625,0,1,49.013334017139,3,7,1,1
626,0,0,50.48987891833308,2,7,1,0
627,0,1,51.462748414657455,3,4,0,0
628,0,0,49.10809006037498,2,7,0,0
629,0,0,51.447362818967925,3,8,1,0
630,0,0,50.601789077616665,3,4,0,0
631,0,1,52.4526282735921,3,3,0,1
