participant_age,education_years,prior_income,work_hours,union_membership,job_security,job_training,minimum_wage_increase,job_satisfaction
22,26,5,13,1,0,1,0,59.09656950642933
19,23,8,12,1,1,0,1,67.60668725237105
26,25,5,13,1,1,1,0,63.533031710077495
30,20,6,10,0,1,1,0,60.25145903711167
26,26,5,12,0,1,1,0,61.580346647974224
45,20,9,19,0,0,0,0,70.05259280071738
39,22,9,12,1,0,0,0,65.52564369959292
26,17,3,20,1,1,1,0,63.5969806442071
32,25,2,16,0,1,1,0,63.17352237285597
15,22,9,19,1,0,1,1,72.94558519747596
33,26,7,18,0,1,1,1,69.33285600076775
4,19,4,17,1,1,1,0,61.99998098427481
11,25,9,11,1,0,1,1,66.15507971018185
17,23,4,17,1,1,1,0,63.55350411482318
28,20,8,20,0,0,0,0,67.24483852090961
25,21,8,13,0,0,0,0,61.66681783505869
29,20,5,13,0,1,0,1,64.09222412316156
23,24,5,17,0,0,0,1,66.18686725858021
18,22,6,10,1,0,1,0,60.87297834822806
39,25,6,22,1,1,1,1,72.45310260353912
30,31,4,14,1,1,0,0,62.80308621655847
20,23,6,10,1,0,0,0,60.542936310735065
33,28,4,19,1,1,1,1,69.61960131270209
23,21,10,14,1,0,1,0,65.38597978409564
15,26,4,11,1,0,0,0,59.464708043565885
41,22,7,17,1,0,1,1,69.58911498785875
40,20,5,16,1,0,1,0,65.75943251274637
25,24,8,22,1,0,1,0,70.366538697326
19,22,8,13,0,1,0,0,60.96052920571985
30,32,4,17,1,1,1,0,63.890917692083605
30,25,7,11,1,1,0,1,65.48918842483681
30,28,8,10,0,1,0,0,61.65625195332792
44,19,6,16,0,1,0,1,69.65980744237444
32,24,3,19,0,1,0,1,65.08471813626808
28,21,10,15,1,0,1,1,69.22374038322681
38,25,7,13,1,0,1,1,68.39266419491928
17,35,9,19,1,1,0,0,67.95820889994462
15,21,7,23,1,1,1,0,68.72137270596907
7,24,3,14,1,1,1,1,64.01387681264953
28,31,7,16,1,0,1,0,65.17834672016454
8,27,8,19,1,1,1,1,69.43735529663262
27,24,5,16,0,1,1,0,62.76797540554396
16,24,7,6,0,1,1,0,57.91707170420958
22,26,8,12,0,1,1,0,63.5660713879094
43,23,8,15,0,1,0,0,64.68786560474771
35,15,2,16,1,0,1,1,64.70983977435343
19,13,6,18,0,0,1,0,63.14857839135809
18,19,5,15,1,1,1,0,61.53871348719241
11,20,3,17,0,1,0,1,63.71521794557299
30,26,1,11,1,0,1,0,57.58309383228134
32,28,2,23,1,1,0,1,69.52345772193992
24,21,5,15,0,1,1,1,66.05293516446592
26,22,3,21,0,0,0,1,67.67642304349691
-1,31,8,14,0,1,0,1,66.08013081302846
21,26,3,12,1,0,0,1,62.09601895730465
40,22,5,21,1,1,1,0,66.34902351046102
15,29,3,14,0,1,1,1,61.72065281640851
26,24,7,19,0,0,0,1,70.74197195107682
24,23,6,14,1,1,1,0,61.12597166132778
24,23,4,24,1,0,0,0,68.24024962459521
16,27,4,20,0,1,1,0,67.48019863106617
15,27,4,25,1,0,1,0,68.07641740596154
11,26,9,15,1,0,0,0,65.01546786744645
5,22,6,8,0,0,0,0,56.39717150748197
27,25,1,23,1,1,1,0,64.61273124105792
29,24,5,11,1,1,1,1,64.40438544306896
7,23,11,21,1,1,0,1,72.38090688648747
16,21,5,11,1,0,1,0,59.24330324265847
29,20,2,19,1,1,0,0,63.32593101212858
40,16,4,14,1,1,1,1,65.73303369211696
30,29,4,15,0,1,1,1,66.80388622327699
26,20,8,20,0,1,1,1,71.36360338520724
15,20,5,17,1,0,1,1,67.40312941489456
14,27,7,16,1,0,0,0,63.1898489671901
32,29,9,19,0,0,1,1,71.1235198132108
23,25,4,13,1,1,1,0,59.65639932502487
28,23,7,11,0,0,0,1,64.73507137435027
23,22,7,10,1,1,0,1,63.902957500494985
20,26,4,18,0,0,1,1,67.4549498271637
43,29,5,18,1,1,1,1,70.58735881644554
28,23,4,16,0,1,1,1,66.06541621444126
18,29,9,20,1,1,1,1,72.88606755145045
26,26,8,18,0,1,0,0,66.15866955427134
38,25,7,23,1,0,0,1,73.7335421771654
20,26,8,18,0,1,1,0,65.21153239169266
30,22,6,13,1,1,0,1,65.14125907189944
32,23,8,15,1,0,1,0,65.26569848101398
14,28,5,7,0,1,1,1,60.35008624477574
30,23,5,14,1,0,1,0,62.57155734732065
19,21,4,12,1,1,1,0,60.14710634476276
31,29,4,17,0,1,1,0,65.40161973963303
43,23,3,16,0,1,0,1,66.56687508906862
49,30,4,17,0,1,1,0,63.82927671668985
34,24,8,9,1,1,1,1,65.96820279733306
19,21,3,18,0,1,1,1,67.79443177741987
15,24,4,17,0,0,0,0,60.59497123691354
10,23,4,15,1,1,0,1,63.90253174969703
16,33,6,20,1,0,0,0,62.91050043383529
19,19,4,19,0,1,1,1,67.52357695613475
44,21,8,13,0,1,1,1,68.18506416375794
21,21,6,17,1,1,1,1,67.30288597439043
20,22,6,26,1,1,1,1,75.03477563798167
11,30,7,15,0,1,1,0,62.277207574972245
23,27,4,14,1,1,0,0,60.79775777615136
24,25,7,19,1,1,0,0,67.20470190948018
28,24,7,16,1,1,1,0,64.48990662575004
39,22,9,19,1,0,1,1,74.65620840271193
25,20,7,15,1,0,1,0,65.57201174615386
22,23,3,16,0,1,1,0,60.21671914581815
18,20,5,22,1,1,0,1,69.20753892034162
13,25,6,12,1,1,1,1,65.88131068729028
20,24,3,11,1,1,1,1,62.69307643551396
40,31,6,15,1,1,1,0,64.50802729470199
11,24,7,11,0,1,1,0,60.53942807288211
26,30,6,11,0,1,1,1,63.45864376026946
7,31,4,21,0,1,0,1,68.56464182226583
2,26,5,12,1,0,0,0,57.45632558962097
27,22,3,16,1,0,1,0,62.749468508085336
22,20,5,11,1,1,0,1,63.3005031432739
42,17,6,21,1,0,1,1,72.9036806186004
14,20,2,13,1,1,1,0,59.39677104712566
9,22,7,17,0,1,0,0,62.703718636750345
40,25,9,12,1,0,0,0,63.39399954122359
20,21,7,27,1,0,1,0,69.79244877435536
41,21,3,15,1,0,1,0,62.80766133887566
11,19,7,15,1,1,0,1,66.10061081866323
18,23,8,20,1,0,0,1,71.99848139844214
30,27,4,17,1,1,0,1,67.3843964096458
21,21,5,12,1,1,1,0,61.02211004019808
22,21,8,17,1,1,0,0,64.98166778349409
20,30,2,14,1,1,1,1,65.1908485842539
18,26,5,20,0,0,1,1,67.53954293873329
27,29,7,19,1,1,0,1,70.10944445095059
48,26,3,15,1,1,1,1,68.68467451909117
20,22,4,14,1,1,1,0,61.53699952869125
27,21,3,24,0,0,1,1,71.92581238897755
18,27,2,19,1,0,0,1,65.80365117702684
34,33,7,22,1,0,1,0,69.56511569114092
27,30,2,10,0,1,1,0,59.06018279503532
9,15,9,14,0,1,1,0,61.817920021929694
15,32,5,10,1,1,1,1,61.842199700808266
6,24,2,18,1,1,1,1,63.24233544953105
23,25,3,16,0,1,1,1,65.0857911260667
27,20,7,16,1,1,0,0,65.81910177988867
20,23,4,17,1,1,0,1,65.73056490380691
28,23,7,10,1,1,0,1,64.80248929826598
44,19,7,20,1,1,1,1,72.92383719821649
38,22,6,19,0,0,1,0,69.17873173875161
51,22,4,11,1,0,1,1,66.4056635288691
21,15,6,22,1,1,0,1,68.65388288850977
47,26,5,20,1,1,0,0,67.92270611377721
34,17,5,20,0,1,1,1,72.29681329956003
34,24,8,11,1,0,0,0,63.58706656527186
35,23,4,10,0,1,1,0,59.504330139008765
28,18,8,7,1,1,1,0,60.62094348067832
19,28,7,16,1,1,1,1,67.77699189734635
20,29,7,18,1,0,1,0,65.97715350910158
38,16,8,14,1,1,1,0,64.05568964553865
14,30,1,18,1,1,0,0,60.28857853515018
22,24,7,14,1,0,0,0,63.65933794076497
12,27,5,18,1,1,0,1,67.32893145970078
27,18,0,22,0,1,0,0,63.27100764373155
34,30,3,18,1,1,0,1,66.77179959071812
24,20,4,13,0,1,1,1,63.98624876498484
28,32,6,14,0,1,1,1,66.10173275110454
26,26,4,11,1,1,0,0,57.84563883322585
16,19,4,18,1,1,1,1,66.42434217736829
29,19,7,9,1,1,0,1,62.562301455150674
43,19,9,15,0,0,0,1,69.05544946615052
25,26,7,20,1,0,1,1,69.46894091516381
34,27,6,22,1,1,1,1,72.19355806970353
28,29,6,16,0,1,1,1,67.3884895650401
29,31,5,13,0,1,1,1,66.91693287947382
24,25,6,15,1,1,1,1,67.20030397987593
41,25,4,19,0,1,0,1,70.35348788339712
33,24,7,20,0,1,1,0,66.71776467057863
14,20,4,18,1,1,0,0,62.16378432668127
43,20,10,15,0,1,1,0,69.22759101342598
38,20,4,19,0,0,0,1,67.96670769499882
22,27,3,16,1,1,0,0,63.83977707959508
16,23,3,17,1,1,0,1,65.34319773145486
17,30,4,12,1,1,1,0,61.28185043955021
25,30,8,17,1,1,0,0,66.13623762583497
13,25,6,16,1,1,0,1,68.22011058841815
19,30,7,19,1,0,1,1,69.95723760032756
16,32,3,25,1,1,0,0,67.45152838913323
24,18,6,11,0,1,1,1,63.47720992786214
18,23,4,10,1,0,1,1,61.41217812145607
13,24,4,14,1,1,1,1,64.07441397177183
38,22,5,10,1,1,0,0,62.63323205888543
17,28,8,15,1,1,1,0,64.01157861067787
29,18,8,16,0,1,0,1,69.20073277077891
27,27,7,9,1,1,0,0,60.928429608307965
34,27,6,24,1,0,1,1,76.15474668923298
37,25,3,17,1,0,1,1,68.17386550162026
25,26,7,18,0,1,1,0,64.95419502693863
15,24,5,20,0,1,1,0,63.81165540978385
33,31,6,5,1,1,0,0,57.88687239423106
23,26,8,24,1,1,1,0,71.7831739549085
16,25,7,13,1,1,0,1,67.4089081811906
39,27,7,8,0,0,0,1,64.58299374857391
22,22,8,18,0,1,1,1,69.17289426816792
22,24,5,13,1,0,1,1,66.02891498341855
19,21,5,16,1,0,1,0,62.05471501201487
23,26,5,18,0,1,1,0,64.35954373046584
34,27,8,18,0,1,0,1,71.80424144057176
22,27,7,21,1,0,1,0,67.19989392714467
39,18,6,15,1,0,0,1,68.64130216402185
42,15,5,25,0,1,0,0,70.24087737578992
23,29,5,17,0,1,1,0,62.75431391063244
27,30,6,19,1,1,1,0,67.49404456464241
19,25,7,21,1,1,1,0,67.6775233941586
31,24,10,14,1,0,1,1,69.57789238891769
26,25,3,7,0,0,1,0,56.65413870397648
32,30,1,5,1,1,1,0,54.1632979638515
30,21,9,16,0,1,0,0,66.2807114097038
19,20,7,16,0,1,1,1,67.61430679069177
28,26,7,9,1,0,1,1,64.15931705273152
34,17,5,12,1,0,1,0,60.72520062653792
7,24,7,14,0,1,0,0,62.06348760064268
48,31,5,14,0,1,1,0,65.27469329274582
8,30,3,31,1,1,1,1,74.81156852946432
24,20,9,21,1,1,1,0,67.80474287069335
40,30,7,12,1,0,1,0,63.03699125303868
15,33,1,11,0,1,1,0,55.21803084704207
31,27,3,19,1,0,0,0,63.43651518709146
26,14,5,11,0,1,1,1,65.52679076597792
34,26,7,13,1,0,1,0,64.93998234337305
43,25,10,14,1,1,1,1,70.3074502117673
21,20,8,17,1,0,1,0,64.92029074134047
9,28,5,27,1,1,1,0,67.18129970945127
40,23,3,17,1,1,0,0,62.51363766176454
18,24,3,14,1,0,1,1,63.18347808565292
10,23,3,16,0,1,0,0,58.59174647319283
10,30,4,17,1,1,1,0,63.43746620783924
28,31,6,17,1,1,1,0,66.03222216268477
7,19,3,21,1,0,0,0,62.27353239508808
11,30,7,10,1,0,0,1,61.60206642379862
31,21,5,15,0,0,1,0,62.77402165654758
16,28,6,9,1,1,1,0,61.07246041037686
14,27,0,12,1,1,1,1,60.97258113755967
4,23,9,18,1,0,0,1,68.2612004473293
10,21,8,16,1,0,1,0,63.12886895079968
27,22,9,11,1,1,0,1,65.77530242546804
25,26,3,17,1,1,1,1,67.17017038977724
20,21,4,12,1,0,1,0,59.92833806098703
25,23,2,14,0,1,1,0,60.00005916198323
43,24,6,19,1,1,0,0,67.48416475216608
23,18,4,11,1,1,1,1,61.97646924341418
16,21,4,18,0,1,1,1,66.90937121096074
-4,22,5,14,0,1,0,0,57.158110626421
23,23,7,21,1,0,1,0,68.00358802943042
40,23,2,23,0,1,0,1,70.81668908739712
26,29,4,18,1,1,1,0,64.34835917845407
27,29,7,7,0,0,1,0,58.6358228570732
25,21,5,20,1,1,1,0,65.86911260010729
39,20,5,19,0,0,1,1,71.76128369284868
43,26,8,15,1,0,0,1,69.88777565799829
45,24,4,10,1,0,0,1,64.81146692893488
27,25,6,14,0,1,0,1,66.2158573958013
17,25,7,11,1,0,1,0,62.0346470873495
28,21,2,17,0,0,1,0,61.54451840548652
20,21,3,9,1,1,1,1,61.829247617712376
22,25,5,27,0,1,1,0,70.28284422814737
21,20,5,20,1,0,1,1,69.39442610794939
34,21,10,6,1,0,0,0,60.71075795692926
22,19,8,16,0,1,1,0,64.7276980344899
31,27,6,19,1,1,1,1,70.7156277799308
33,17,5,13,1,0,1,1,65.31877661799612
34,27,10,22,1,1,1,0,71.88578772528642
25,24,6,16,1,0,1,0,63.520988922623786
21,23,6,15,0,0,1,0,63.401140266557626
47,19,5,12,1,0,1,1,66.5941838310505
21,22,2,17,0,1,0,1,64.5156171381112
20,30,7,17,1,1,0,0,63.83352652258292
9,26,7,14,1,1,0,1,63.75528965833269
10,27,10,18,0,1,1,1,71.04949611017314
17,25,2,14,0,1,0,1,61.85194154635288
14,19,4,13,0,1,0,1,62.77030113082565
16,26,5,20,1,1,1,1,71.5178358955502
35,19,7,19,1,1,0,1,71.12557968733284
39,25,0,18,1,1,1,0,62.69184422201297
23,24,5,13,1,1,1,0,59.69436889179303
31,21,7,22,1,0,1,1,70.64485153182828
20,25,5,11,1,0,1,0,59.55676798090532
32,30,9,12,1,0,0,1,67.29910387646675
19,16,8,15,0,1,0,0,62.6453355665226
38,24,11,19,0,1,1,0,72.11685401393781
19,25,10,17,0,0,1,0,66.82364124897018
24,12,4,20,0,0,1,1,69.0503949140186
13,28,5,12,1,1,0,1,64.09352963114131
15,26,4,28,1,0,0,0,68.25671322051475
33,19,2,14,1,1,0,0,61.15212620665051
32,27,2,16,1,0,0,0,61.465868630586506
26,33,9,15,0,1,1,0,66.19344767460018
23,23,6,14,1,0,1,0,62.58173745738152
1,24,6,18,1,1,1,0,62.95224741249729
30,26,5,15,1,0,1,1,69.33836969308676
32,21,2,11,1,1,1,0,58.81137778238756
37,19,5,15,0,1,0,1,68.10720836488174
37,24,6,17,1,0,1,0,65.27033459812067
12,25,3,8,1,0,1,0,55.332011421510856
38,20,3,15,0,0,1,0,61.13990553962834
30,21,4,14,1,1,1,0,60.340882003643934
18,27,6,13,0,1,0,0,60.9208177530459
8,23,7,15,1,0,1,0,62.22413064184644
10,28,7,10,1,0,1,1,63.4159282592957
26,27,6,24,0,0,1,1,72.29318887250474
9,22,6,20,1,0,1,0,64.70174546710425
18,22,4,14,1,0,1,0,60.46449088960912
31,28,9,14,1,0,0,1,68.23711245784415
34,28,5,19,0,1,1,0,66.12903667924807
11,24,7,19,1,1,1,1,70.2080038487667
25,24,7,17,1,0,0,0,63.91153423086915
21,21,10,26,0,0,1,0,72.2298899278156
