age,income,rural_residence,gender,minority_status,political_campaign_exposure,voting_behavior
22,10,1,1,1,1,47.05060098543924
33,12,1,1,1,0,34.80101345356404
34,27,0,1,0,0,35.15662595944273
47,23,1,1,0,0,30.15812979256918
34,12,0,1,0,1,43.13340985293159
31,22,0,1,1,1,41.75711811061888
26,19,1,0,1,1,42.77268524358033
39,27,0,1,1,1,37.21462768389716
22,26,1,1,1,1,44.69235817834108
20,18,1,1,0,0,39.7940978072572
31,24,0,1,0,0,38.27229973205815
23,25,1,0,1,1,45.131802335980375
33,25,1,1,0,1,40.2077604526397
32,9,0,0,0,1,43.93758779494042
38,9,1,0,1,0,36.021815751652134
29,20,1,0,0,0,37.550549064785145
26,16,1,0,0,0,39.766604390569015
36,22,1,1,0,0,34.64329006606083
26,19,1,0,0,0,40.20060061723414
30,14,0,0,0,0,39.04372254869293
40,19,1,0,0,1,40.083117532043154
31,7,0,0,0,1,43.73300356289596
37,17,0,1,0,1,41.40912813337789
18,24,1,0,1,0,40.68957354018536
22,14,1,0,0,0,42.16285534400251
28,25,0,0,0,1,43.80545404031385
23,26,1,0,1,1,45.57363437154214
40,19,0,0,1,1,39.008432245986064
18,23,1,0,0,1,46.30481121893968
36,17,1,1,0,1,39.61512442706347
53,23,1,0,1,1,32.45113759783791
26,22,0,0,0,1,46.098032232825226
37,17,0,0,1,1,40.42906320332136
25,9,0,0,0,1,45.37607727906267
19,6,1,0,0,0,43.77576470218558
38,26,1,1,0,0,34.226677869761275
37,10,0,1,0,0,37.0868227243609
32,14,1,1,1,0,37.90835018343093
30,18,1,1,0,1,40.91964606913984
36,16,0,1,1,0,35.37763446766704
39,16,1,1,0,0,34.71870673761305
36,28,0,1,0,0,36.44408997576716
43,24,1,1,0,1,39.25804507244283
42,15,1,1,1,1,39.15686461462639
20,24,1,1,0,0,40.66738367606269
31,10,1,0,1,0,39.31077795767099
24,20,1,1,1,0,38.36127033280482
32,15,0,1,0,1,43.850771166043074
27,22,1,1,1,0,36.80230561909158
34,12,1,1,1,0,37.83299055009665
41,14,1,1,1,0,33.795340056958594
31,19,0,1,1,0,37.00873664023252
28,14,0,0,1,1,43.41657952427183
39,16,0,1,0,1,41.131682947290194
24,20,1,1,1,1,43.52294666143303
39,27,1,1,0,0,33.639260733313186
25,23,0,1,1,1,45.86741011775408
16,23,0,1,0,1,47.20828589726706
26,11,0,0,1,1,44.76351506882044
15,11,1,0,1,1,47.41288203861937
26,21,0,1,0,0,41.10597296406465
22,27,0,1,1,0,40.28404356216923
45,28,0,1,1,0,31.721950342148865
37,19,1,1,0,0,35.14514030463056
24,22,0,0,0,1,46.4239497476437
18,11,0,1,1,1,47.37571796346717
25,22,1,1,1,0,39.00651553162024
21,15,1,0,1,0,40.18073754901585
35,28,0,1,0,0,36.779910434099605
38,32,1,0,1,1,37.301478665964936
40,18,1,0,1,0,35.52427801354142
28,20,1,1,1,0,35.68111992119341
19,17,0,0,0,1,47.73905418020839
26,13,1,1,0,0,39.03661781903739
32,26,0,0,0,1,42.508747833315056
35,19,1,0,1,1,39.61833390851312
22,25,1,1,1,1,44.719978428151606
39,16,1,1,0,0,35.54693944624464
15,19,0,1,1,0,41.236181079974585
24,16,1,0,1,0,39.59149552875466
36,23,1,0,1,1,41.77897009299025
26,23,0,0,1,1,45.79310811436608
29,19,1,1,0,0,38.40216226905222
32,15,1,1,1,0,36.12766344355718
30,14,1,1,1,0,38.00621324762088
34,17,0,1,0,0,38.027269028419546
25,14,1,0,1,0,38.94689156230058
31,30,0,0,0,1,42.65190708880199
25,17,0,0,1,0,39.85819208792526
39,11,0,1,1,0,34.42308768308055
44,23,1,0,1,0,31.53953933079507
26,27,1,0,1,1,43.55714898294445
26,14,1,0,0,1,44.24625183130924
26,25,0,0,0,1,44.6900710507068
22,3,1,1,1,0,40.63504042239252
42,30,1,1,1,1,37.40852659689028
9,25,1,1,1,1,49.27177702327516
27,17,1,1,1,0,36.99773231803822
36,21,0,1,0,1,39.65856862647308
26,21,1,0,0,1,43.67769900726869
32,21,0,0,1,1,41.11515891211071
40,21,1,1,1,0,31.50794068137091
34,7,0,0,0,1,41.904089070555415
27,14,1,1,0,0,36.80819508852846
34,23,1,0,0,1,41.46816149225175
19,21,1,0,1,1,46.55740203365529
37,19,0,1,0,0,36.80118077591476
31,14,1,0,0,0,38.031810741202506
44,21,1,1,0,0,30.44789020037207
34,21,1,1,1,0,34.54710386319005
29,16,0,1,0,0,39.56171077380513
19,28,0,1,1,1,45.26953854961315
35,23,1,1,0,0,35.32820827959809
28,20,0,0,1,1,45.53726109038544
30,32,0,1,0,1,42.45817861612523
23,19,0,0,0,0,40.372382631937846
21,15,1,1,0,1,47.6712896032523
22,23,1,0,0,1,46.648002712452765
19,21,1,0,0,0,40.68722372583324
32,24,0,0,1,1,43.08640183721658
37,24,0,1,0,0,36.944721901490894
40,7,0,1,0,0,36.68986206930356
44,27,0,0,0,1,38.86928288967036
26,19,1,0,1,1,45.408888152120326
38,28,0,0,1,1,39.28997277315619
28,14,0,0,1,1,43.6384647929895
22,25,0,0,1,1,45.05476379745591
35,13,1,1,1,0,36.86058414701436
36,26,0,0,1,1,37.6385570177169
35,10,0,0,0,1,41.2210103549137
28,14,1,1,0,1,42.89939563820133
17,20,1,1,0,0,41.42585598366919
6,24,1,0,0,1,50.32545471103376
26,18,0,1,1,1,44.38941647992651
46,13,1,0,1,1,37.97286030846732
33,18,1,0,1,1,40.86577509940717
33,27,1,1,0,0,37.304325504130254
30,11,1,0,1,1,43.62097977933095
34,20,1,1,0,0,37.28507098532493
31,18,0,1,1,1,43.849426081921976
22,22,0,1,0,0,42.392226730874576
43,27,0,0,0,1,37.99865371708233
33,19,1,0,1,0,36.37758523756681
23,24,1,1,0,1,46.142451251201656
24,17,1,1,0,0,41.94144882763975
22,16,0,1,1,1,45.50431193159832
23,19,0,0,0,1,45.27172178842165
24,26,0,1,0,0,40.34248487714663
36,9,1,0,1,0,37.14034428360319
40,32,0,0,0,1,37.55807421470127
28,29,1,0,1,0,36.75928664056172
19,16,0,1,0,1,47.776379979210816
21,14,1,1,0,1,48.88014725394639
30,17,0,0,1,1,43.29201157965146
43,16,0,0,1,1,38.86478945341292
27,20,1,0,1,0,36.77688020105451
34,15,1,1,0,1,42.01549384949733
30,31,1,1,0,1,42.311798712261705
24,23,0,0,1,1,45.86928497316441
29,17,0,0,0,1,45.199772008979
30,16,1,1,0,0,38.37715416743428
25,23,1,0,1,1,43.3604056548112
26,14,1,1,1,0,40.29597646617143
16,29,1,1,1,1,45.421765648570045
31,12,1,1,1,1,42.80357521524333
31,21,0,1,1,0,36.06993635785524
32,15,1,0,0,0,36.19674982172068
30,15,0,1,0,0,38.91142498452527
36,25,1,0,1,0,36.53163615990567
27,20,0,0,1,1,44.94142323242918
27,15,0,0,1,1,42.818473165556696
38,22,1,1,0,0,33.97157756799159
20,16,0,0,1,1,47.37746462671274
30,18,1,0,1,1,42.822773686455584
31,24,0,1,1,1,41.33410360800001
27,24,0,1,0,1,41.6042790892395
18,35,1,0,0,1,46.070379204524734
17,20,0,0,0,1,47.16359484864032
25,22,0,0,0,1,44.61503587153275
39,27,1,1,1,0,33.23489309253563
32,26,1,1,1,0,35.806500697782475
29,29,1,1,0,1,44.56858928077154
37,15,1,0,1,1,38.4873004739268
38,20,0,1,0,1,41.00015049003639
35,18,1,0,1,1,40.41955906290122
46,28,0,1,0,1,38.06732206541659
23,33,1,1,1,1,43.146318837525925
20,22,0,1,0,0,43.21154198989522
33,16,1,1,0,0,36.23862484881189
28,21,0,1,0,0,39.56231051325797
24,19,1,1,1,0,39.40853929313031
28,17,1,1,1,0,37.69052593761407
42,14,1,1,0,1,37.79276891961757
27,17,0,1,0,1,43.625752589149215
22,19,1,0,0,1,44.72647645476075
28,15,0,1,1,0,38.97071278544108
25,12,1,1,0,0,39.78899714356648
33,22,0,1,1,1,42.358963746969366
32,22,1,0,1,1,42.30669119280199
33,23,0,1,1,0,34.06360972530379
26,14,1,1,0,0,38.25985688242106
28,4,0,1,1,1,46.74141101425003
16,19,1,1,1,1,48.3788237874642
43,8,1,1,0,0,33.633474428085485
36,12,0,0,1,1,40.47635024533245
29,24,0,0,1,1,42.97658399112458
36,20,1,1,1,0,36.46602591181007
23,23,0,1,1,1,44.40925579424087
30,35,0,0,1,1,41.18775780681744
28,21,1,1,1,0,37.59003402578181
34,22,1,1,1,0,36.0356922123151
21,22,1,0,0,0,39.8715746675496
34,19,0,1,1,0,36.76290986867929
31,25,1,1,1,1,41.57452641361217
15,17,0,1,0,0,42.11837275562024
26,23,0,0,0,1,45.34616996076027
21,29,0,0,1,1,46.276793560795326
35,10,1,1,0,0,35.596185980910654
17,26,0,1,1,1,45.93923466007057
37,23,0,1,1,1,40.18335638973324
42,18,0,0,0,0,34.772219377721854
28,19,1,0,1,1,43.64151222823983
35,22,1,1,0,1,41.94324983296457
31,20,1,0,1,0,37.61297155075941
29,25,1,0,0,1,42.23456198857362
20,23,1,0,1,1,45.30065113537925
47,18,1,1,1,0,30.0277342961803
29,20,1,0,0,1,44.0060961036526
29,26,1,0,1,1,40.95825066775519
18,27,0,1,1,1,46.20536756455279
37,15,0,0,1,0,34.50823104969497
38,22,1,1,1,0,30.902953302581302
27,15,0,0,0,1,47.0303911908668
20,16,0,1,0,0,42.48382460886779
21,27,0,1,1,1,46.22363207703751
27,16,1,0,0,1,45.59198705134965
25,16,0,1,0,1,47.39546129765471
32,30,1,0,0,0,37.12567450225929
35,31,0,0,0,1,39.53831628128594
34,28,1,1,0,0,34.32080983680534
32,10,1,1,1,0,35.44641366478811
37,31,1,1,1,0,32.95240340003181
37,17,1,1,1,0,35.69684542581933
32,34,1,0,1,0,35.00108951690362
36,23,1,1,1,1,40.85128360059559
31,18,0,1,1,0,37.47151678545684
48,14,1,0,0,1,36.83166443799132
26,33,0,1,0,1,43.49445341590789
43,21,1,1,1,0,33.50489740447027
31,23,1,1,0,0,38.59550517473416
22,26,0,0,0,1,45.62195453199614
25,19,1,1,1,1,44.98315111522984
38,23,0,0,0,1,39.85121491180408
27,24,0,0,0,1,44.30950132799072
35,21,1,1,1,0,34.62354754408337
24,14,1,1,1,0,38.64831581269214
33,15,1,1,0,0,37.010195724821145
31,20,1,1,0,0,36.42432820783844
37,23,1,1,1,0,35.2022002408002
31,16,1,1,1,0,37.71603577812902
25,26,0,0,0,1,43.65908463589012
43,18,0,0,1,1,37.99464871212628
23,31,1,0,0,1,43.8163578236392
43,24,0,1,1,1,37.83086612184621
33,23,0,1,0,0,36.64140765947247
31,17,0,0,0,0,37.174100603809606
35,19,0,1,1,0,34.172102033385464
26,24,1,0,0,1,42.86250525270659
14,24,1,1,1,0,40.772950006086326
26,22,1,1,1,0,38.32398370105282
34,27,0,0,1,0,34.45280169866838
47,12,1,1,1,0,34.0084706322109
31,20,1,1,1,1,41.14586155593742
18,27,0,1,0,1,46.2766787226924
18,24,0,0,1,1,46.21612144168641
20,16,0,1,0,0,41.697729323358764
21,20,0,1,0,0,41.25586896337416
27,23,0,0,1,1,42.89953994411117
20,17,1,1,1,0,40.2984855959316
19,18,0,1,1,1,47.990089123831865
42,15,0,0,1,0,34.4926574231904
33,7,0,0,0,1,44.149217483239774
26,36,1,1,1,0,38.68409684706073
34,22,0,0,0,1,41.22738328922742
36,27,0,1,0,0,35.72154734491068
29,17,1,1,0,0,38.2505417328799
45,14,0,1,1,0,33.03702250973614
32,14,0,1,1,0,36.2257237650684
26,27,1,0,0,0,38.18721000257054
31,25,1,0,0,0,34.80884815643253
35,21,0,0,0,1,40.629272667432325
35,16,1,1,0,0,35.88477681751242
40,29,1,1,0,1,38.71165096167036
27,20,1,1,1,1,43.03330738487913
23,19,1,1,1,0,38.45838207005613
34,17,1,1,1,0,34.151390887421655
27,6,0,0,0,1,44.72168209773636
28,27,1,0,1,0,36.51861997806533
23,10,1,1,0,0,40.59750814151225
27,19,1,0,1,1,44.992014801755445
33,26,0,1,0,0,37.07192151780375
37,14,0,1,1,1,40.9134874860628
28,25,1,0,0,1,43.32310384932759
26,20,1,0,0,1,43.51066644244686
31,17,1,0,0,0,37.84774149456603
28,30,1,1,0,0,37.95356967732216
23,21,0,1,0,1,48.015835839539626
23,21,1,1,0,1,46.80058689587932
22,17,0,0,1,1,44.68706984271973
27,26,0,0,0,1,46.33819862671345
27,12,1,1,0,0,39.18932392919052
9,11,1,0,0,0,46.07927005659736
24,18,0,0,1,1,44.561796974793566
37,29,1,0,0,1,39.99581061464639
35,11,1,0,1,0,35.27520018082209
15,27,0,1,0,1,48.61829200196981
27,21,0,1,0,1,44.30308067175854
36,22,0,0,1,1,40.32887437210511
19,34,1,1,1,0,39.88349743137442
33,17,1,1,0,0,35.90598940102568
32,15,0,1,0,0,36.569489547294765
22,9,0,1,1,1,46.38965048067404
16,10,1,0,0,0,43.563453331698135
36,21,1,0,0,0,34.76280261010979
40,14,0,0,0,1,38.67216510373518
28,17,0,1,1,0,37.31629946185005
32,26,1,1,1,1,39.77329348972429
31,22,0,1,1,0,36.77912959333389
27,25,1,1,1,1,42.71940969832203
28,17,0,1,1,1,43.31410270023813
20,21,1,0,1,1,45.34221469675174
22,17,1,1,0,0,41.03352399803459
35,18,1,0,0,0,36.285028172064045
34,27,0,1,1,0,34.89515954082009
32,19,1,0,1,0,36.17367209035285
32,24,1,0,1,0,37.28934495633073
13,25,0,0,1,1,49.97140336280477
27,19,0,0,1,1,43.70669454468927
26,28,1,0,0,0,40.51351614430534
20,24,1,1,0,0,40.69068507780167
39,23,1,0,0,1,38.455691987913696
28,17,1,0,0,0,38.8721712789065
40,15,1,1,0,0,34.82366139156593
30,16,0,1,1,1,41.99202834014026
40,22,1,0,1,1,38.465809998660575
25,14,1,0,0,0,40.80016494613859
26,28,0,1,1,0,38.50997032349007
23,7,0,0,0,0,41.839253095031566
21,30,0,0,0,1,45.3131538168456
20,26,0,1,0,1,45.35346330234027
30,21,0,0,1,1,42.69636862258528
27,20,0,1,0,0,37.42605160168543
15,22,0,0,1,1,45.52227319762924
28,11,1,1,1,0,38.77026498238446
21,27,1,1,1,1,45.56757413808654
45,13,1,0,0,1,38.2187542173556
21,12,0,1,1,1,49.10690716755421
26,14,1,0,0,0,38.017733739153066
25,20,1,0,0,0,38.26187284724639
26,14,0,1,1,0,38.008187630753696
19,17,0,0,1,1,48.060393659634215
29,17,1,0,1,0,37.13853554659009
39,27,1,0,1,1,38.47786704960163
32,23,0,1,1,0,36.346984881172965
37,20,0,1,1,0,34.115873202067085
22,23,1,0,0,1,45.95075372264305
21,15,1,0,1,1,44.56714389144047
40,18,0,1,0,0,36.30365590347563
30,25,0,0,1,1,41.98999571598092
20,14,0,0,0,1,47.45075458074266
32,31,1,0,0,1,40.57218716551829
22,20,0,0,0,1,45.73555679591698
17,15,0,1,0,0,43.34192692801879
24,18,0,0,0,1,45.3544618847676
34,22,1,0,0,1,41.9682970911719
32,18,1,1,1,0,36.21509840540266
31,24,0,1,1,1,41.67083763949425
35,28,0,1,1,1,40.53945969482899
25,25,1,1,1,1,43.20577140875955
26,19,1,1,0,0,39.84535209115519
24,27,1,0,1,0,38.28427257577135
21,23,0,1,1,1,45.94367159941287
31,13,0,1,0,1,42.73445380475769
25,29,0,1,0,0,38.96385478640101
34,12,1,0,1,1,40.82589817429283
20,23,0,1,1,1,44.788288611418096
23,23,0,1,1,1,43.39959485059927
39,20,1,1,1,0,34.31975200477545
45,20,1,0,1,1,36.53793269334491
18,27,1,1,0,0,41.65044227944141
32,25,1,0,0,1,44.03082599808082
42,19,0,0,1,1,38.57788749121352
32,23,1,1,1,1,40.96488795576539
13,15,1,0,1,1,49.618138224857375
36,10,0,0,1,1,43.59561199026341
29,26,1,0,1,1,41.71474346737495
31,23,1,1,1,1,43.93431608505213
14,11,0,1,1,0,43.566644708298725
37,27,0,1,0,1,40.93526166352344
35,18,0,0,1,0,35.51822424499754
20,16,1,0,1,1,46.12851173101368
34,25,1,0,1,1,41.65251909568518
30,27,1,1,0,0,37.28668221016757
28,22,1,1,1,0,37.90189022588336
43,25,1,1,1,1,36.19769320091959
34,12,1,1,0,0,37.42675479274767
29,5,1,1,1,0,38.955034291431765
29,24,0,0,1,1,44.000377403753255
28,13,1,0,0,0,38.52478504994298
41,22,1,0,1,0,32.57396096141862
37,19,1,1,0,1,39.99953967504951
43,28,0,0,0,0,33.583437917309176
16,21,0,0,1,1,49.446504162070525
17,12,1,0,1,0,41.45300508963377
32,15,1,0,1,0,37.69565891981945
18,20,1,0,0,0,41.86700782049922
10,16,1,1,1,0,44.19292170418954
27,20,1,1,1,0,37.43333098432216
25,16,1,1,1,0,39.57061437269065
24,32,0,0,0,1,46.812080792503096
20,19,0,0,1,1,46.334473985880905
27,28,1,1,1,1,43.321809529706414
39,11,0,0,0,1,39.86833002930759
33,20,0,1,1,0,37.73581643573044
49,28,0,0,1,1,36.31633294164144
21,14,1,1,1,1,46.44476918267146
48,26,1,1,1,0,28.618828433116096
35,27,1,1,0,0,33.77588312109027
16,17,0,0,1,1,47.53255871840714
22,18,1,0,1,1,44.55153890223998
18,22,0,0,0,1,46.60526701663181
40,30,0,0,1,0,30.48091858008553
26,22,0,0,1,1,44.69468023438557
38,14,1,1,0,0,34.89240922900459
26,23,0,1,1,0,38.93409878506278
20,18,0,0,0,1,45.66309876798108
30,24,1,1,0,0,36.34753220170216
26,29,1,0,0,0,38.26296208015864
22,24,0,0,1,1,43.59181101712296
24,24,0,1,1,1,43.35159521898548
-2,19,1,1,0,0,48.85666296732648
29,21,1,0,1,0,38.221907221658526
27,21,0,0,0,1,42.30004042258735
22,26,0,1,0,0,41.322779411245946
35,20,1,1,1,0,35.30519156070498
34,18,1,1,1,0,35.242271478249336
24,20,0,1,1,0,39.04740784217614
20,19,0,1,1,1,45.14116376093089
14,13,1,1,0,1,49.08750581358724
27,17,1,0,0,1,44.80588637434217
27,25,1,1,1,0,37.853380988376806
35,17,1,0,0,0,38.62123493824878
37,28,1,1,1,0,33.74324849963623
14,22,1,0,1,1,46.59147077186686
28,21,0,1,1,1,42.77479613556217
25,20,1,1,0,1,43.38670886538165
23,17,0,1,1,0,40.66347196282908
38,17,1,0,0,0,36.00038229299682
35,11,0,1,0,0,39.772595335329264
28,22,1,0,0,1,42.60301638544016
23,19,1,0,1,0,39.71488782210768
30,18,0,0,1,1,44.92943520830764
35,14,0,1,0,0,37.64282649186722
21,27,1,1,0,0,40.90230352609698
22,17,1,1,1,0,40.859399328555625
27,27,0,0,1,1,42.27087732122102
25,21,1,1,1,1,42.98942468469454
31,32,1,0,0,1,41.46876440347288
37,29,1,0,1,1,38.74437956511917
37,22,1,1,1,1,39.05438978782136
22,18,1,1,1,1,44.8784993583019
36,11,0,1,1,0,36.96837057550533
27,26,1,1,1,0,36.27187891262973
31,15,1,0,0,1,42.052311853416704
27,32,0,0,1,0,37.72505644798133
21,22,0,1,1,0,40.24094263432431
40,25,1,1,0,0,33.27197238172401
23,27,1,1,1,1,44.815455186776425
19,14,0,1,1,1,46.776500426893286
24,23,1,0,1,1,44.61285296502066
18,24,0,1,1,0,41.37477802345053
35,25,1,0,1,1,38.38887829308506
23,17,0,1,0,0,40.81207037706454
33,18,1,1,1,0,35.11202215958952
35,11,0,1,1,0,37.20684971865116
21,34,1,0,1,1,43.29444942679805
38,18,1,0,0,1,40.92289123969836
24,13,0,1,0,0,40.70960269889726
36,14,0,0,0,1,41.67049755555246
31,24,0,1,0,1,42.99860914316789
32,19,0,1,1,0,37.27947889921119
23,13,0,0,1,1,46.50664194611379
27,14,0,0,1,0,40.75558128826401
33,26,1,1,0,0,34.61847310119188
23,16,1,0,1,0,39.278813790018425
35,12,1,0,0,0,36.65207054511881
35,19,0,0,1,1,42.341529988076125
31,20,1,0,0,0,38.21962690720869
34,16,1,1,1,0,36.97266170728056
35,18,1,1,1,0,33.893709259411565
34,11,0,0,1,1,43.9833940987709
40,14,1,1,0,1,40.084937208846696
20,7,1,0,0,1,49.54424841223988
28,36,1,0,1,1,41.53921848246137
27,29,0,1,1,1,40.97248343783686
28,20,0,0,0,1,42.12995022769415
30,16,1,1,0,1,41.78368826491798
7,24,0,1,0,1,51.279400895871895
35,23,0,1,1,1,41.64768036773046
30,18,1,1,1,1,43.49564776737657
32,23,0,0,0,1,41.22572230079476
29,20,0,1,0,1,41.38504477760801
39,21,1,0,1,0,33.797730232806856
22,13,1,1,1,0,41.01208250984083
38,16,0,1,0,1,40.661190863621314
27,15,0,0,0,1,44.96778552379091
12,30,0,1,1,0,43.16424016244486
27,23,1,1,1,1,43.86089259267994
31,15,0,0,1,0,37.01473986824967
39,22,1,0,1,0,33.74908851507224
37,22,1,1,1,1,40.32797486954075
21,10,1,1,0,0,41.7470749404476
33,20,0,0,1,1,40.95755950847951
27,25,1,0,0,1,44.54879438297907
