age_years,household_income,unemployment_rate,gender,minority_status,local_employment_growth,job_training_hours,individual_income
14,29,8,1,0,9,27,144.3642477629394
11,29,5,1,1,13,29,149.135953644069
6,32,7,0,0,8,33,163.1559150009875
8,30,7,1,1,13,32,156.65892399691373
9,29,5,1,1,11,33,160.56568480850933
15,30,0,1,0,10,28,149.3753083684028
11,29,6,0,1,9,28,146.80558469070476
12,28,3,0,1,12,30,154.5392716828243
17,31,11,1,0,12,29,152.775843207417
8,28,7,0,0,10,32,157.59727610664004
12,29,9,1,1,7,27,141.93106842702582
10,29,6,0,1,10,31,155.2603488304809
13,30,7,1,0,13,30,151.61114134747825
10,25,6,0,0,11,31,152.83626365261267
11,26,8,1,0,9,31,154.1149451000617
14,30,5,0,1,11,28,149.12625458861743
7,30,5,0,1,13,32,156.5427188114274
6,28,13,1,0,10,35,163.5278572843374
13,29,9,1,0,8,29,150.5416736336173
10,30,7,0,0,10,31,154.1728863236935
10,29,6,1,1,9,31,158.9310289397453
8,30,0,1,0,11,31,155.73201013765572
10,32,11,0,0,13,34,164.4101582476955
10,29,9,0,0,9,30,150.68343886366486
7,35,11,0,0,10,34,163.66127588996258
6,28,5,1,0,10,34,163.82668413568422
13,30,3,0,1,11,30,158.59722523516407
1,30,13,1,1,10,36,166.20411047342162
8,33,1,0,0,16,34,170.71467795702983
12,34,4,0,1,13,33,170.3520868475861
13,28,8,0,0,6,25,135.21035350988646
11,29,11,0,0,11,31,157.3035115049145
14,32,5,1,1,13,33,167.0639716609128
6,32,3,1,0,7,33,164.97884732760843
11,30,4,0,1,12,31,159.08820240497286
9,32,3,0,1,10,31,156.5156189283859
5,31,8,0,1,7,31,152.38024833257214
5,29,14,0,0,13,37,169.32392850261087
12,28,11,1,0,11,27,138.64780583350603
10,30,6,1,1,11,31,155.84511111701377
10,30,7,0,1,8,30,152.41146497414795
12,29,6,1,0,10,27,144.0292228068865
8,28,9,1,0,16,34,159.65936873684296
12,32,3,1,0,13,32,161.57209677867883
9,29,10,1,0,12,31,150.1522294743862
6,29,11,0,0,10,32,154.55052966895497
10,30,4,1,1,12,29,149.7225269507162
7,29,9,1,0,11,32,154.2649064500376
15,29,4,0,0,11,26,144.5477772474462
8,30,7,0,0,8,31,153.17687826092222
5,32,7,1,0,11,35,165.76511741085588
8,27,8,0,0,7,28,141.60118030790147
10,23,9,1,1,11,27,135.97561389931653
7,30,11,0,1,10,33,157.44121034811653
10,28,6,0,0,11,35,169.7786740283295
3,29,8,0,0,10,39,177.81730587894913
10,29,10,1,1,11,30,148.9070475039587
11,30,7,1,0,12,31,155.72044136711895
12,34,9,1,0,12,29,150.31617409550893
10,31,9,1,1,9,34,165.55199580268533
9,32,10,1,1,9,30,149.39734553336453
13,30,5,1,1,8,29,150.30099463842967
13,33,7,1,0,10,31,157.19681483035563
14,32,-4,0,0,12,29,157.35545041305932
11,29,5,1,1,12,32,160.07109566152482
8,29,3,0,0,11,31,155.5748489410392
11,34,13,1,0,9,28,145.5141842495252
9,29,7,0,1,11,31,156.23300501092876
9,29,5,1,1,11,31,155.93666028326948
13,27,9,1,0,13,34,164.75529753502212
8,31,10,1,1,7,29,146.32210219977196
10,31,0,0,0,12,32,165.69551344121948
9,30,8,0,1,6,30,152.489262430429
13,29,2,0,0,10,28,146.96291223803755
12,30,7,0,1,8,29,151.0127433368248
6,29,6,0,0,13,33,156.87493993908157
12,29,4,0,1,8,29,150.5662683610769
12,30,4,0,1,7,28,148.64298970382546
12,28,7,0,1,12,28,144.7223918588839
7,31,2,0,1,7,31,158.16056304923876
10,32,8,1,0,12,33,162.3526933391281
10,29,8,1,0,15,32,157.2072798224894
8,28,11,0,0,11,30,148.99080997298807
10,30,4,1,0,8,29,148.60956341272183
8,30,3,1,1,10,31,156.2232066866313
8,27,11,1,0,12,30,148.5847389757956
10,26,8,1,0,14,32,157.06001980210655
10,29,7,0,1,12,29,148.1323087483178
11,29,5,0,1,9,32,161.51361242003725
4,30,11,0,0,11,34,161.2118483096201
10,33,6,1,0,9,29,148.44945070800907
3,31,11,0,1,10,34,160.58326032624248
8,28,4,0,1,11,30,152.01324715504524
10,28,6,0,1,9,29,150.76210264497067
9,28,8,0,0,10,30,151.05935769324267
12,29,10,1,1,8,28,144.33565337819186
8,33,8,1,0,11,31,152.85564925273442
14,33,14,0,0,13,31,154.42345705517278
10,30,4,0,1,9,30,156.68923339829763
9,28,11,0,0,9,30,149.31184583953916
13,29,7,0,0,10,31,158.25904128009935
7,32,9,0,1,9,31,154.72547325619232
10,29,3,1,1,10,30,158.45970508600723
9,32,10,0,1,11,31,153.80111611490213
9,29,7,1,0,11,32,155.68124061066408
8,31,7,0,0,10,32,156.9881936565291
9,28,11,1,0,11,29,143.07635232962954
5,31,6,1,0,10,35,168.3244805656104
9,30,12,1,1,13,31,150.49278556763926
8,32,8,0,0,7,31,155.60565475252218
9,28,9,1,0,6,28,144.20817736117166
8,34,10,1,1,7,29,149.53140355822276
9,31,9,1,0,11,33,160.57581044910782
11,27,10,0,1,6,27,140.54879462448207
9,29,12,1,0,10,32,154.23659587455654
14,28,10,0,1,12,27,144.05940056911265
13,26,7,0,0,7,28,144.76423883437403
4,29,15,0,1,10,32,150.20895115218303
7,28,4,0,1,6,28,144.24486136666735
8,28,13,0,1,9,33,158.11349439553882
14,28,4,1,0,13,30,150.65960463769048
10,31,8,1,1,11,28,145.1884609234274
8,30,6,1,1,9,32,161.93721345839
12,31,9,0,1,11,28,144.6158857562329
14,29,7,1,1,12,28,145.41784023042436
11,30,8,0,0,14,33,161.21025633531687
7,28,0,1,0,10,33,164.29970766379083
6,33,8,1,1,13,37,175.70951719883328
14,29,8,1,0,12,28,143.11713578974636
10,30,3,1,1,11,30,156.29862004830426
7,29,6,1,1,12,33,159.1662258755029
10,28,8,1,0,10,29,145.64327967049903
12,28,6,1,1,8,26,138.64895192703088
9,33,7,1,1,8,30,155.14553982846306
13,30,7,0,0,14,32,161.87884136331988
12,28,8,0,1,9,29,148.73504487713075
17,27,7,1,1,11,26,143.61937425504087
6,30,11,0,0,9,35,165.7526852135862
10,29,6,0,0,11,32,157.46110777220173
6,29,9,1,0,13,36,165.34211007091253
11,31,6,0,0,7,28,146.44340349435888
6,25,11,0,0,10,32,149.26403036236115
13,28,2,0,1,12,30,155.05105070655867
8,31,0,1,1,13,33,164.01699446823827
11,33,15,1,1,10,31,151.3903599664983
11,29,5,0,0,9,32,158.7256030106011
8,28,6,1,1,11,32,157.2693130265728
5,30,1,0,1,8,33,169.52583577754058
7,29,11,0,1,10,31,154.25234112610642
7,31,2,0,0,11,33,163.5815041993376
8,33,5,1,1,11,35,169.35697256555218
11,28,11,0,1,12,30,149.56023224864168
7,31,11,1,0,7,30,149.7943958435286
11,31,7,1,0,12,32,158.48279489410814
9,29,7,1,0,10,30,149.21744174932857
14,31,0,0,0,14,32,166.42196970167996
12,32,1,0,1,10,28,151.84201732695675
11,26,7,0,0,8,28,144.358316434685
10,30,7,1,1,10,32,161.24584686501305
9,30,13,0,0,13,34,162.93088472187938
16,26,7,1,0,11,28,145.99947974838392
9,35,14,1,1,10,33,162.83828875095202
10,30,1,0,0,13,32,160.84229943846628
11,28,10,0,0,9,29,145.3600194800619
16,28,12,0,1,10,27,142.68721628160995
9,27,10,0,0,7,32,156.08193688587662
12,31,9,1,1,15,33,162.67563975038124
9,30,8,0,0,9,30,154.7901487273817
8,32,6,0,0,10,35,170.12192765880053
5,33,5,0,1,10,33,163.0564281164125
11,25,7,1,1,12,27,138.75423972297105
9,27,11,0,1,8,31,150.92366073201777
7,28,6,1,1,7,31,155.24092088816755
8,31,9,1,1,9,30,154.8113459354989
10,30,5,0,1,7,30,152.96541364587048
6,33,9,1,0,8,32,157.95201702977243
11,27,1,1,1,8,30,152.77312175621444
9,30,5,1,1,11,29,150.35456139864922
11,31,3,0,1,14,35,175.43693994017983
11,31,9,0,1,12,28,147.01012776860597
10,30,0,1,0,10,32,161.66715464100696
9,29,7,0,0,8,33,163.91927909647885
10,30,8,1,0,9,31,155.0494451874271
8,30,15,1,1,11,29,141.67363277821207
8,37,11,0,0,9,34,166.50421487055422
11,27,8,1,0,11,29,148.6530086701376
9,28,7,1,0,11,34,164.8845498640289
14,31,13,1,0,12,27,140.39469415875445
8,29,5,1,1,9,33,163.58927174569436
11,32,6,0,1,10,29,151.6487206857075
7,29,5,0,1,9,33,163.54025270821694
8,28,13,1,1,10,30,145.60554234081786
8,31,6,1,0,13,33,160.52097381741808
10,29,8,1,1,11,30,151.6758564966149
11,27,5,1,1,7,29,149.0462164474976
7,30,10,0,0,9,32,157.86960555661193
9,28,9,1,1,9,30,150.29050489465544
10,30,10,1,0,11,31,154.56651496090794
8,30,11,1,0,10,33,158.32535129428743
11,28,9,1,1,12,29,147.10227674193084
9,33,5,1,0,14,33,164.2208211349806
4,27,9,1,1,10,34,162.71533041832927
14,30,6,0,0,10,28,149.30001874425705
13,29,3,1,0,10,30,156.01152002345023
13,26,4,0,1,10,25,136.90444579935627
14,30,12,1,1,11,28,144.9473169256144
9,30,9,0,0,10,28,145.67931400371148
13,28,3,1,1,13,29,148.9441286231838
11,28,7,1,1,6,28,147.64404001642862
13,28,3,0,1,10,29,153.04499354885593
8,28,4,0,1,7,31,154.82922511287916
12,32,5,0,0,8,31,160.43000482686497
8,27,5,0,0,10,31,154.3241616345536
9,30,2,0,1,8,28,148.39872572366352
4,29,4,0,0,13,35,165.3885772378156
9,27,10,0,1,8,27,137.2009138242152
11,26,8,1,1,10,25,131.85017296563947
17,29,9,0,1,10,25,137.18557256109568
14,32,10,1,1,9,27,145.83445242167727
10,30,12,0,0,9,31,153.87145509586165
9,27,10,1,0,10,31,149.12560923323062
7,27,7,1,1,12,34,166.09023559639186
3,32,3,1,1,12,36,171.53401205472275
12,31,9,1,1,12,30,154.13260705689908
10,29,8,0,0,16,33,157.31485092286584
11,27,4,0,0,4,24,133.57348452660992
9,29,1,0,1,10,32,161.22551217577893
7,29,10,1,1,9,30,148.37326771262502
7,33,5,1,1,13,35,169.1875567771398
7,27,8,0,1,10,30,148.78890448513866
9,30,6,1,0,9,33,162.25578074064424
10,34,4,1,1,12,33,166.63323393018942
13,29,13,1,1,12,30,150.95961940552402
10,30,13,0,1,8,29,147.09416076391332
9,32,11,0,0,12,33,163.0355392000088
7,29,8,1,0,13,33,156.47545816445947
12,30,3,0,1,11,28,149.24384139986492
9,30,10,1,1,11,32,158.27172033680367
10,26,4,0,1,9,30,152.9049435094541
5,30,8,1,0,11,37,174.32030019881768
10,27,5,0,1,12,30,150.37764807764523
10,28,13,0,0,12,29,144.67425802310166
8,29,5,0,0,14,33,157.89678797746706
6,30,9,0,1,9,33,161.50079216416793
14,27,8,1,0,14,27,143.44250263794453
9,26,4,0,0,10,32,155.97453353749876
6,28,10,0,0,10,34,160.73611001122515
12,33,6,1,0,9,29,150.5320630702615
12,35,10,0,1,9,29,151.41297538265985
8,29,12,1,0,8,30,146.52501432619553
8,29,10,1,0,12,34,160.9590120397486
6,29,6,0,0,9,31,153.44765469097626
7,30,14,0,0,10,34,158.65277096151524
8,31,8,0,1,15,34,164.13527058639124
11,31,8,1,1,11,30,151.90319658776266
12,25,9,0,1,10,27,139.50150498003762
8,30,2,0,1,10,31,156.78061434232197
10,30,4,0,1,9,30,154.66572495538946
8,34,9,1,0,11,34,166.80350901424114
12,29,8,0,0,8,24,132.8566370703082
9,26,8,1,0,13,31,151.21021767510558
10,31,7,0,0,11,33,162.9585280730401
8,29,7,0,0,11,32,156.7149630140314
11,30,6,0,0,12,30,153.53056371965442
10,27,8,1,1,12,32,157.51611241923533
14,25,-1,1,1,9,25,141.13040919328316
10,28,8,1,0,8,29,145.70761837273935
13,30,13,1,0,7,26,135.56555038877696
11,28,8,1,0,11,29,148.05302464243746
11,25,9,1,0,12,28,143.94505350128966
12,24,7,0,1,9,28,146.59323255798213
9,31,10,1,1,10,32,158.37730820469088
8,27,8,0,0,12,34,161.13854328828813
15,30,9,0,0,11,28,144.66180133856167
11,27,8,1,1,8,31,155.51824835598975
2,28,12,0,0,8,34,159.44621930059333
8,28,6,1,0,9,30,151.91947914081015
13,28,1,0,1,7,26,142.56789117753718
9,28,8,1,0,14,32,155.59077171162954
10,29,9,0,0,11,31,154.9005231929722
4,30,12,1,0,11,38,171.29181532892355
10,30,11,0,1,9,31,154.95286060102757
11,26,10,0,0,15,32,154.19751019948862
15,27,9,1,1,11,28,144.9006385232758
6,32,7,0,0,10,33,162.5114520508641
12,28,3,0,0,9,29,151.94733984486206
15,28,10,1,1,11,26,137.6921996780578
18,33,10,0,0,10,28,147.64335246253526
12,30,5,0,0,12,30,153.24368257031918
14,31,10,0,0,12,29,148.27031122698952
8,27,3,0,0,14,32,157.86349553779667
10,36,10,0,0,13,35,166.83896996698144
9,29,9,1,1,11,32,156.77131418466794
7,33,7,0,1,7,30,153.28679090082417
6,30,7,0,1,8,30,152.85095099159986
9,31,9,0,0,11,32,158.66122192881565
13,28,7,0,0,9,29,149.69603555943013
8,31,6,1,0,10,32,158.58650131716823
12,35,5,1,1,11,30,157.43920979661362
12,29,9,1,0,13,30,150.40992088123525
15,31,11,0,1,13,27,145.98857022744306
13,33,4,1,1,8,28,150.9845700863547
5,32,6,1,1,9,35,169.5413582291555
15,30,7,1,0,11,30,156.9817817830716
16,31,9,0,1,9,27,143.75063876740722
9,28,3,1,0,14,32,155.77321213103488
9,30,5,0,1,13,33,165.6462470617795
7,33,10,0,1,12,33,162.60187606734246
11,29,11,0,1,15,31,149.810879752854
8,29,7,0,0,9,30,148.5320685965417
8,28,5,1,0,10,34,163.90352220061342
6,30,9,0,0,8,33,158.00389363386844
9,31,11,0,1,10,32,157.2527442816846
9,30,9,1,1,8,30,152.83526730796373
11,31,11,0,1,13,32,155.1571279273115
5,33,9,1,1,11,32,156.23860462241845
8,25,7,1,0,9,30,148.25998834660282
13,30,12,1,0,10,33,163.9716272496368
3,25,6,1,0,13,39,177.4726680127375
10,30,14,1,0,9,30,149.32031493176115
8,30,16,1,0,10,32,151.14580287436897
6,30,10,0,1,10,34,161.54863622663748
7,32,4,1,0,9,35,170.60587770657017
10,29,7,1,0,6,28,145.512843817317
7,30,6,0,0,9,30,149.56530981433593
5,27,6,0,1,14,37,173.0579178491571
12,28,6,0,1,10,30,153.22032207679015
9,31,13,0,1,14,32,153.7217431946249
16,28,6,1,1,13,28,148.19805509691298
8,26,2,0,1,12,32,157.81326472309058
13,30,5,0,0,9,26,141.04951613927057
8,26,6,0,0,15,33,154.61070757751108
5,29,4,1,1,13,35,168.9825882662491
6,33,10,0,0,10,34,166.32175399266157
7,28,7,1,1,13,32,159.15428744795602
10,26,3,0,1,12,29,148.5896426196492
7,27,11,0,1,11,35,166.78248451865986
8,30,4,1,0,11,34,166.5090930840369
14,27,7,0,0,10,27,142.50170503951813
8,28,9,1,1,10,31,152.3152797097366
6,29,7,1,1,11,36,170.5903317632249
17,33,8,1,1,11,28,152.81788755696527
5,29,10,0,1,9,34,162.46722727023538
14,32,5,0,1,11,27,148.45277736673418
10,31,8,0,0,9,29,149.176645204347
7,34,9,1,0,7,34,166.9977044910102
8,26,7,0,0,11,33,160.30649697765352
8,29,7,0,0,7,29,146.78180086494936
14,27,11,1,1,9,26,139.681351131719
10,31,6,1,1,9,30,154.22078824657044
6,28,6,0,1,10,33,158.5431699404314
10,27,11,1,0,11,31,151.4565098889089
8,29,6,0,1,10,29,145.8748030356031
11,30,6,1,1,8,28,147.30919364065664
12,31,13,1,1,8,25,133.39282606784542
10,25,10,1,1,11,28,142.2858365124817
12,36,7,1,1,10,31,159.31760772597912
7,33,12,0,0,8,34,162.86615613782263
11,27,6,0,0,13,29,145.78951486904973
8,29,12,0,1,9,33,159.36126220144843
8,28,13,0,1,9,29,144.52322573216668
8,28,7,0,1,11,36,173.16383205768057
12,33,10,0,1,13,32,162.6476537880901
13,29,7,0,1,8,30,154.5303480422499
14,28,3,1,0,9,28,148.47261109969892
11,31,8,0,1,11,32,159.73797161035662
10,28,7,1,1,14,31,153.47738157738144
9,30,9,0,0,12,33,162.4459618509285
12,31,9,0,0,14,33,161.7119004652458
8,29,6,0,1,8,34,166.59808217656786
10,25,11,0,1,12,28,140.70542609922418
15,30,11,1,1,11,29,150.32857823026157
5,29,5,1,1,12,33,159.0413597892438
11,22,11,1,0,16,32,150.77674350418914
10,28,9,1,0,10,30,150.43537434274396
7,29,5,0,1,11,31,153.928184720298
8,30,10,1,1,12,35,166.01420179556655
7,30,5,0,1,10,34,167.332288285978
12,28,8,0,0,12,31,155.1246722030293
10,31,6,0,0,10,28,144.6477723017342
12,28,4,1,0,10,30,155.6784666820761
13,31,3,0,1,10,30,157.48204097241586
11,27,5,0,0,8,27,139.72928866816147
6,27,6,0,0,15,36,167.78719790599433
11,31,16,1,0,10,29,145.53686754466057
8,30,10,1,0,11,32,153.58610245148353
14,28,6,1,0,16,31,154.97787760216383
11,24,5,0,0,13,30,148.32432702009092
11,33,10,0,1,11,32,159.98195991912414
8,27,8,0,1,6,28,143.52165102438985
11,31,11,1,1,7,28,144.65998939236513
8,29,4,1,0,12,32,159.42454486773076
17,33,4,1,1,10,25,141.48873765300004
5,31,12,1,0,9,34,162.38656334842634
8,30,8,0,1,12,33,160.50443783822314
8,30,13,1,1,10,33,159.6689703348797
11,31,8,1,0,10,30,153.07571419534915
13,29,10,0,1,9,29,149.49696310322568
14,34,4,0,0,10,29,154.42255282225497
6,34,0,0,0,11,35,170.46686629430044
9,31,8,0,0,8,31,154.5874025708527
11,36,9,1,0,10,30,153.00459798052373
12,32,7,1,0,10,30,153.8299066732696
8,26,5,1,0,12,32,154.62361231717207
9,28,5,1,1,7,28,143.56124211784174
4,31,8,0,0,9,33,160.32377127368588
8,28,8,0,0,11,34,164.8237367369131
9,32,8,0,0,9,32,154.46507915402245
14,29,4,1,1,13,29,150.93383724384526
13,28,15,1,1,11,29,144.96740682677196
6,30,8,1,1,13,36,168.1695179553371
7,30,8,0,1,10,32,156.4820479840144
9,32,4,1,1,12,32,163.77274775406786
6,29,12,1,0,8,32,153.59657948018736
6,33,6,0,1,10,35,170.67912190587188
11,28,9,0,1,11,32,158.22709129738075
10,28,8,1,0,11,32,156.4412255420732
12,30,7,1,1,7,27,144.30696333457485
7,31,4,0,1,13,35,169.65873667106172
6,29,7,1,0,8,31,155.73970188682503
6,26,3,0,1,11,32,158.03556620320336
5,32,12,0,0,11,37,170.02613756115727
11,24,10,0,0,10,29,144.50557813068772
6,28,7,0,0,11,34,160.2451245469072
9,27,8,1,1,9,31,152.47575796510594
6,32,15,0,1,9,32,152.88761338588137
11,27,7,1,0,7,29,149.52721423749787
7,28,10,1,0,13,32,151.45384535356962
10,29,9,1,1,6,30,155.12894977003907
11,31,9,1,1,8,27,143.61652984768727
10,30,12,1,1,11,32,161.05227037853388
9,28,9,0,1,6,29,147.39522143497308
10,31,4,0,1,9,33,166.11016040487547
4,28,5,0,0,12,33,160.17935289291086
13,32,10,0,1,11,28,146.82534974546317
10,32,5,1,1,9,29,148.45272044433128
8,29,2,0,0,10,32,160.6085892259133
10,28,9,1,1,10,30,149.4855335359851
12,27,8,0,0,12,29,146.83202609309663
10,27,10,0,1,9,30,150.29210367697445
9,33,6,1,0,14,36,174.34513162240117
9,29,1,1,1,9,32,163.24693199989275
13,28,4,1,0,14,33,164.12847324955936
9,32,12,1,0,11,35,167.76835190420496
7,28,6,0,0,10,32,158.41789638664957
7,28,7,1,1,8,32,159.70419577405724
8,28,10,1,0,10,34,159.73913283237107
8,30,9,0,0,10,30,149.00130210324053
5,29,5,1,1,16,35,165.3035579496328
4,29,14,0,0,14,36,160.6525929316761
5,27,3,1,1,13,36,171.18378853267868
7,32,3,1,0,12,35,167.88242087888307
12,32,9,1,1,14,30,154.4789538937589
5,27,9,0,1,9,35,163.89423648902743
9,31,11,0,0,11,32,157.074915026173
13,29,11,0,1,13,30,150.28838284746155
8,32,4,0,1,10,29,150.93474944886694
12,28,10,0,0,11,29,147.21606837502304
11,31,9,0,1,11,31,154.2006245985762
6,29,9,0,1,10,33,157.87443101666014
6,31,10,1,1,8,31,154.29578174532838
9,28,6,1,0,13,33,160.92850730470684
10,32,7,1,1,15,31,157.95436886579182
5,28,8,1,1,12,35,166.8537688682097
9,28,8,0,0,8,30,148.6354886164831
9,28,9,1,1,9,30,149.69744730742474
5,30,5,1,0,8,34,164.47557367246927
15,27,6,1,0,11,28,147.55199541234558
8,29,15,1,0,14,35,161.06851685087378
13,24,9,1,0,12,30,149.14809920631896
13,33,3,0,0,9,31,161.80399327755134
9,28,9,0,1,11,33,162.35098754793546
5,30,9,1,0,10,36,171.18136782222354
10,27,1,1,1,10,29,151.24483884930177
8,30,8,0,1,9,29,148.83667049917966
11,26,12,0,1,12,31,150.35670226669242
13,29,5,1,1,11,30,153.58425877367097
6,31,11,0,1,10,34,161.75852301243796
13,31,4,0,1,6,26,145.1914779896196
11,29,10,1,1,13,31,154.23952879204737
12,35,4,0,0,8,30,160.44938055962817
12,31,6,0,0,12,31,155.6268948331831
7,28,11,0,0,9,34,161.78028591442987
11,27,12,0,0,9,28,143.47656125731538
13,27,3,0,1,13,30,153.96700800946527
11,28,11,0,0,9,31,153.23136191660274
9,31,3,0,1,10,32,162.136304478627
4,34,1,0,1,10,33,165.53929956945782
5,29,6,0,1,11,33,159.0149842629065
9,31,4,1,1,13,33,163.765794582962
17,28,9,1,0,11,28,145.00526611358467
10,31,4,1,0,13,34,168.3861394844572
5,30,8,1,1,12,34,160.75601711326365
11,31,3,1,0,12,29,148.2958781673536
8,30,13,1,0,11,34,161.09305266073656
12,31,9,0,1,8,29,149.93331180532377
15,27,9,1,1,12,29,148.80044828104684
10,27,5,1,1,11,30,150.08533425073787
7,30,7,0,0,11,32,156.24189033112788
7,29,4,0,1,7,31,155.72450574505172
15,26,9,1,0,12,29,145.40757454793467
12,29,12,1,1,15,33,160.04164216119835
8,31,8,1,0,10,34,163.96618916154463
10,29,7,0,1,13,31,155.0773295550852
8,33,9,1,1,8,32,158.82094525568172
4,32,-1,0,0,11,34,169.80915460410725
14,33,11,1,1,10,26,138.35144085967374
