defendant_age,trial_length_days,previous_convictions,pretrial_detention_days,violent_crime,legal_representation,minority_status,alternative_sentencing,recidivism_rate
9,13,11,15,1,0,0,0,43.39922293305239
27,22,10,17,1,1,0,0,45.43639297104343
34,30,11,9,1,0,0,1,46.02405360529369
24,18,3,20,1,0,1,0,50.23910715623895
43,15,12,19,1,1,1,0,47.62549051687506
13,21,10,17,0,1,1,1,49.41190654357866
31,33,6,15,1,1,1,0,42.71141239703195
43,15,7,6,1,1,1,1,53.11940195862466
31,10,10,14,0,1,1,1,56.06875956323853
32,31,9,17,1,1,0,1,48.685039771237776
27,24,3,12,1,1,1,0,45.68662843337113
25,23,13,14,0,1,0,1,46.83471119570932
25,12,11,12,1,1,1,1,51.65676271907801
30,19,11,7,1,0,1,1,49.11746270357231
28,7,11,13,0,1,1,0,47.91940473353653
27,15,9,23,1,1,0,0,49.51661411043224
33,22,7,13,0,1,1,1,51.51278412035936
14,22,4,15,1,1,0,1,54.0593813172503
18,15,8,15,1,1,0,0,45.26661141357665
33,20,7,6,0,1,0,1,52.10270620076642
29,17,7,17,0,0,1,1,56.88069192213759
33,18,9,8,0,1,0,0,44.633620960809935
27,19,13,18,1,1,1,0,42.85118509630831
37,9,9,7,0,0,0,0,46.69554931579951
19,15,9,18,1,1,1,1,54.796588696715176
31,23,11,13,0,1,1,0,42.72477744446071
33,12,10,15,0,0,0,0,48.62049012393893
22,31,7,12,0,0,0,1,48.12847628471465
19,25,12,16,1,0,0,1,47.56414574969259
22,24,8,14,1,1,0,1,50.62016787548832
36,25,7,19,1,0,1,0,47.46212401542696
40,12,10,3,0,1,1,0,43.99194813973462
37,16,7,14,1,0,1,1,54.87026267991413
23,32,14,16,0,0,1,1,42.69258650527768
39,30,10,24,1,0,1,1,50.95587884934115
23,22,10,6,1,0,1,1,47.39363823609562
21,12,10,9,0,1,0,0,43.35047856697722
41,22,12,9,0,0,1,1,50.078145166398535
29,25,8,10,0,1,1,1,50.674385842190205
15,24,10,13,1,1,1,0,42.137916209986855
36,11,15,15,1,0,1,1,52.17931299823152
26,29,13,9,1,1,1,1,42.907557444181386
25,25,6,19,1,0,0,1,55.00573205137199
31,32,10,10,1,0,1,1,42.963841040968575
21,19,4,23,1,1,1,0,50.57567923097676
19,14,10,10,1,1,1,0,44.68778469901693
36,19,14,9,1,0,1,0,40.518008945102615
20,16,10,23,0,1,1,0,48.53158576838032
27,28,15,12,0,0,1,1,42.99632151366784
32,13,8,12,1,0,1,0,45.76132700770407
36,20,7,28,1,1,0,0,51.729499738116495
24,23,8,9,0,1,1,1,51.09629998096807
33,12,14,23,0,1,1,0,48.49881790799039
25,20,4,12,1,1,1,0,45.879497866621456
28,20,12,22,0,1,1,0,45.651762037096695
36,15,7,16,0,1,0,1,56.67123577448453
17,9,12,18,1,0,0,0,46.72819477592955
28,20,5,13,0,1,0,0,47.92221067702424
33,20,7,16,0,0,1,1,55.58818115244679
7,19,6,9,1,1,0,1,49.07884012595952
21,23,11,7,1,1,1,1,46.08906963558627
39,23,10,21,1,0,1,1,53.24183810176709
26,16,9,15,1,1,1,0,44.01343408279875
28,18,17,21,0,1,1,0,43.63913502129821
35,14,10,7,0,1,0,0,43.03118031272524
18,15,6,13,1,0,0,0,46.79360674498568
38,32,12,22,1,1,0,0,40.80504120415215
37,19,13,10,0,1,0,1,50.165362875106034
19,10,10,13,1,0,1,1,52.38935082305392
28,20,7,18,0,1,1,1,54.31602431520077
25,19,12,3,1,0,1,1,45.10335624988407
33,13,6,9,0,0,1,1,57.76983948517735
21,20,12,14,0,1,1,1,50.993793471931234
26,25,13,7,0,1,1,1,45.40743542625644
36,10,8,17,1,0,0,1,58.13469318128794
29,18,16,11,1,1,0,0,40.33343925265368
23,21,13,13,1,1,1,1,48.19789525678832
43,18,13,2,0,1,1,1,48.26253012394818
20,27,12,17,1,1,0,1,47.25096403556376
21,13,10,12,1,1,1,1,51.77154144819945
26,14,7,21,0,1,1,0,50.14881229210917
43,28,9,8,1,1,1,0,39.79254585357937
37,22,11,16,1,1,1,0,42.50987237412349
24,11,1,17,0,1,1,0,55.76599099190962
39,17,8,15,1,1,1,0,47.24748381229816
18,17,15,10,1,0,0,1,45.99344689026261
23,17,10,21,0,0,0,1,56.48777515129828
30,26,7,24,0,0,1,1,53.80308449381226
41,19,9,15,1,1,1,0,46.06023619938821
25,13,10,14,1,1,0,1,54.34127760546989
28,25,7,26,0,1,1,1,57.41346586917663
19,22,9,12,1,0,0,0,40.08569116743212
30,28,10,11,1,1,1,1,46.90859350464538
18,22,11,15,1,1,1,1,48.762926876938
37,23,3,13,0,0,0,1,55.80744822019889
37,15,11,13,1,0,1,1,52.05216185572039
37,25,10,10,1,0,1,0,39.71120433012309
47,23,15,15,0,0,1,1,48.949382773407294
20,27,10,25,1,1,1,0,43.98160842263759
29,24,5,12,0,0,1,0,44.51696668029839
23,23,12,9,1,0,1,1,46.128208138938206
30,16,14,24,1,1,1,0,46.08801294457831
32,26,7,7,1,1,0,0,41.81963152595841
34,17,14,14,0,0,1,1,50.14774533101494
32,16,12,20,1,1,1,0,49.12150948839115
25,24,10,14,1,1,1,0,41.49317475541263
25,22,1,14,1,1,1,1,55.2251153860484
32,25,10,19,0,0,0,1,54.01161514555773
11,23,15,8,1,1,0,0,32.703319803234976
48,23,10,14,1,0,1,0,43.06034145146264
33,33,8,20,0,1,1,1,51.47307426959962
35,15,10,6,0,1,1,1,51.992562223291145
37,13,12,15,1,1,1,1,53.30955591907274
14,33,7,12,1,1,1,0,38.19824568620048
43,26,7,5,1,0,1,1,46.93936247469483
32,22,10,5,1,1,0,1,49.21557178103429
29,17,13,11,1,0,0,0,40.74982593951784
27,17,10,8,1,0,1,1,50.0922855636141
25,21,12,1,1,1,0,1,44.91501220093082
23,25,11,11,1,1,0,1,48.098702095918206
38,15,11,6,1,1,0,0,42.140068057432366
25,18,10,11,0,1,0,0,43.936569386043146
40,24,9,18,1,0,0,1,52.0007012626288
32,13,6,23,0,0,1,1,59.00952819721782
25,12,12,11,0,0,1,1,52.637351710012375
33,18,12,13,0,0,1,0,42.47733267287303
36,18,6,10,1,1,1,0,45.47691731039284
35,21,9,8,1,0,1,1,49.0730809787521
29,20,15,19,1,1,1,0,42.26370457218591
45,25,10,13,0,1,1,0,44.21340163082761
32,32,7,15,1,1,0,0,41.659912553362894
41,27,17,16,0,1,1,1,45.54962991543015
42,16,10,16,1,1,1,1,54.126964699261954
25,27,4,16,1,0,0,0,43.07343542344643
29,15,5,13,1,1,1,0,48.137736343899576
31,24,10,18,0,1,0,0,45.94252073987432
25,23,12,6,0,1,1,1,45.4816872447858
21,15,11,11,1,1,0,0,42.1647954296312
33,15,13,8,0,1,1,1,50.60746736342333
20,18,14,18,0,0,1,0,41.62892566023516
48,24,14,8,0,0,0,1,48.723067432738766
13,21,6,17,1,1,1,1,52.03238424315779
35,6,8,11,1,1,1,0,51.53547543573939
22,26,4,7,1,1,0,1,50.32678435852171
23,5,10,16,0,1,0,0,51.18824064720855
37,18,15,15,1,1,1,0,43.24309215162141
32,18,10,13,0,1,1,1,53.18884432774942
24,6,14,10,1,1,0,0,45.59263577396709
36,15,9,8,1,1,0,1,53.5389942282246
34,26,12,10,1,0,1,0,37.42331643495872
24,25,8,22,0,1,1,0,45.777233349808725
28,12,10,9,1,1,0,0,45.183914852893935
17,13,12,9,1,0,1,1,48.411613129861806
26,13,6,10,1,1,1,0,45.62159645623856
30,14,6,16,1,0,0,0,48.57401465513906
16,30,12,5,1,0,1,1,40.347977870232725
22,18,8,19,0,1,0,1,53.72699775718763
32,20,8,15,0,1,1,1,55.41738736793962
23,22,14,12,1,1,0,1,45.16181003592292
30,20,5,15,0,0,1,1,53.38201439129971
26,18,10,14,1,0,1,1,51.17335456279805
30,19,9,24,1,1,1,0,50.17225810730952
18,16,6,12,1,1,1,1,52.89492518595142
25,27,7,20,1,0,0,0,44.81495976580942
25,28,8,7,1,0,1,1,45.12388765361269
27,24,11,11,1,1,0,1,48.24371948211966
44,14,6,12,0,0,1,0,50.69588940097876
36,16,3,9,1,1,0,0,48.207384194325904
44,14,11,9,0,1,1,0,45.30411851004825
25,14,8,15,1,1,1,0,47.05363814364054
36,26,9,8,1,1,1,0,40.98301262761067
30,16,9,6,1,1,0,0,43.020850453951866
28,12,10,18,1,0,1,1,56.73634067300687
38,15,9,11,0,1,1,0,47.05739078355387
19,29,10,7,0,1,1,1,44.80392604970661
34,30,11,11,0,0,0,1,46.4921620533557
37,12,13,11,1,0,1,0,46.45921480224997
35,23,10,21,1,1,0,1,54.62376112816538
28,20,10,15,1,0,0,0,44.66857346346804
2,15,5,14,1,1,0,0,45.12007440561994
30,29,7,14,0,1,0,0,43.44834372767431
26,23,15,6,1,1,1,1,40.97533901015496
26,11,6,19,1,1,1,0,51.5677437091991
23,22,10,11,1,1,1,1,49.61303234312685
52,19,7,22,0,1,1,0,52.89662676995746
30,19,10,21,0,1,1,0,49.08488995945451
38,30,10,13,1,0,0,1,47.6425917279288
29,14,14,2,1,1,1,1,47.39817508825458
30,18,8,12,0,1,0,1,53.78594957056989
31,18,16,21,1,1,1,1,50.02269301932426
21,6,9,15,1,0,1,1,55.691464646205446
36,20,14,15,0,1,0,1,52.044850037030656
42,29,9,17,1,1,1,0,42.4563326359009
36,27,12,16,1,1,1,0,40.15634384070558
12,20,9,16,0,1,0,1,51.4899964806602
29,13,6,14,0,0,0,1,58.20317178382513
22,21,17,9,0,0,1,1,42.02984253580959
23,28,10,9,0,1,1,1,44.18791118856051
20,17,16,18,1,1,1,1,50.08646883125385
31,23,15,5,1,1,0,0,34.61038830437956
22,20,13,16,0,1,1,1,50.28787833225487
23,19,12,8,1,1,1,0,40.03767100511424
32,18,10,7,1,0,1,1,47.89591427844145
32,5,10,16,0,0,0,1,59.30257295490826
32,16,10,11,0,1,1,0,45.69609992542389
22,22,12,11,1,1,1,0,40.25672742494741
25,9,8,11,1,1,0,0,47.99191045277556
23,23,9,13,0,1,1,1,50.24038324790406
29,18,7,9,0,0,1,1,51.36920534601866
39,22,8,29,1,1,0,0,49.63322124281413
37,25,4,13,1,0,1,0,46.440205307360976
29,19,10,9,0,1,1,1,51.1059431660269
34,27,8,17,1,1,0,0,42.12962134101596
37,26,8,11,0,1,1,0,44.1092071410681
24,26,6,11,1,1,1,0,42.04882271642031
27,20,8,11,1,1,1,1,50.602496661144734
17,13,9,17,1,0,0,1,53.81417906051156
31,15,12,17,0,1,0,0,45.24861303337934
34,17,8,18,1,0,1,0,48.181044047348166
38,17,12,11,1,1,1,0,42.89919881181246
19,26,4,14,0,1,0,0,46.15538705800964
47,16,2,23,1,1,1,1,63.99786213358122
24,22,10,17,1,1,0,1,49.092480346592026
42,24,5,5,0,0,1,1,50.136291168741465
33,18,10,17,1,0,1,0,46.685118977397
29,22,8,5,1,1,0,0,41.57389870731802
41,18,3,12,1,0,1,1,58.77309172221773
33,16,11,21,1,1,0,0,47.49712341654588
33,10,6,21,1,0,1,1,60.79840893792675
37,22,5,8,0,1,0,1,54.146368435528174
38,12,7,9,0,1,1,1,55.90799592768565
23,12,12,13,1,1,1,1,51.79624400699828
31,20,11,10,1,1,1,0,41.6574651346565
24,15,10,10,0,0,1,1,51.50287069237559
33,17,9,13,1,1,0,0,45.88293939432232
41,20,8,16,0,1,1,0,47.57522196860723
23,16,23,8,0,0,1,0,32.916340046949365
26,29,14,15,0,0,0,1,44.67247983720698
32,21,15,13,0,0,0,1,47.12226976747027
23,16,9,13,0,1,0,1,51.77178604458323
32,21,11,6,1,1,1,0,38.17622597619589
35,25,10,11,0,1,1,0,40.36052612682937
25,19,11,13,0,0,1,1,50.598272832073405
21,22,14,9,1,1,1,1,44.06898467959175
32,18,6,23,1,1,1,0,51.541417577185065
33,21,4,18,0,0,1,1,57.30350464138169
35,22,6,9,1,1,1,0,44.56337735666887
20,16,16,16,0,1,0,0,41.22736124664341
38,11,4,12,0,1,1,1,58.917096887026325
29,15,5,16,1,0,1,1,59.58417600146031
34,27,10,14,1,1,1,0,43.02272819985313
33,19,9,13,1,0,1,0,44.56713291424972
26,24,8,9,1,1,1,1,48.72484982598157
35,17,8,18,1,1,0,1,54.41531743323687
11,22,9,9,0,0,1,1,46.80862170624997
34,12,13,8,1,1,0,0,43.72406078467987
27,26,12,9,0,1,0,1,46.44555439420096
20,7,8,10,1,0,0,0,47.91040912732491
36,17,8,20,1,1,1,0,49.4812711793443
25,24,12,17,1,1,0,0,39.59192482540022
27,19,11,12,1,0,1,1,51.7205941016211
18,26,12,14,1,1,0,0,38.71542431359258
25,20,6,28,1,1,1,0,51.5039992667566
22,19,3,13,1,0,1,1,55.2928877587787
34,14,11,20,0,0,0,0,48.04792909084874
31,26,6,19,0,0,1,1,53.83314078379312
22,35,8,18,0,1,1,0,38.7032438348536
30,13,8,12,0,1,1,0,46.390279995567184
28,21,7,7,1,1,1,1,50.427634350833934
20,20,10,6,1,1,0,1,48.06297509494552
21,24,10,15,0,1,1,0,41.72928891669456
40,24,12,13,0,1,1,0,42.3515576725439
23,19,14,22,1,1,0,1,51.213677268711095
29,14,11,23,1,1,1,0,48.0853571137143
21,6,7,9,1,1,1,1,56.300466893816
24,4,7,14,1,0,0,0,51.208146021419545
36,14,9,29,1,1,0,0,54.606767144261454
31,32,12,10,1,1,1,0,36.43920824878658
28,18,11,17,0,0,0,1,52.697097228312906
32,23,14,12,0,0,0,1,46.30370175844988
37,21,12,13,1,1,0,0,44.15321732132883
25,13,13,5,1,0,0,1,47.08982803547091
24,23,8,17,1,1,0,0,45.011548939463154
9,26,9,21,1,0,1,1,49.109026631722486
29,24,11,18,1,0,0,1,50.866554673002646
36,14,8,20,1,1,1,1,58.48898187304041
26,24,10,13,1,1,1,0,41.24467785711611
25,27,11,10,0,0,0,1,46.0155120375294
40,21,10,15,0,1,0,0,46.40944311973719
26,17,13,8,1,0,1,0,39.12801629683459
29,26,12,11,1,1,1,0,38.20856462670978
37,8,10,7,1,1,1,1,54.6318266112772
29,20,8,16,1,1,0,1,53.29825249410993
24,15,10,22,0,1,1,1,56.46773751621621
32,11,11,20,0,0,0,1,58.3081801999172
40,13,11,17,1,0,1,0,49.71524413757629
22,17,12,12,0,1,1,0,43.08760163516235
37,20,6,11,0,0,0,0,47.20441070330557
28,15,2,9,1,0,1,0,46.71334776781623
16,11,10,20,1,0,0,1,54.31655924571235
30,18,14,15,0,0,0,1,49.465326184995824
32,20,9,10,1,1,1,1,50.86178122340228
15,12,6,14,0,1,1,0,47.02350613397605
34,19,8,19,0,0,0,1,55.181211113756014
24,16,12,21,0,0,0,1,53.19804137301277
20,15,11,18,1,0,1,1,53.27583872972343
34,26,15,14,1,1,1,0,36.66817677999627
23,32,8,14,1,0,0,1,45.75935089431308
22,19,8,9,0,1,0,1,53.14820544690585
25,26,10,10,0,1,1,1,48.380919679682215
32,20,13,22,0,0,1,0,45.28396507253354
26,24,12,18,1,1,0,1,51.16868918218695
19,21,13,8,1,1,1,0,37.170402965792
25,25,7,18,1,0,1,0,45.12394142662588
25,19,9,6,1,1,0,0,41.64372582024186
25,14,8,20,0,1,1,1,58.61420038781793
35,20,7,11,1,1,0,0,43.84592974721765
36,16,9,16,1,1,1,1,56.65504220311743
32,26,9,8,0,1,0,1,47.164507083032085
21,23,15,18,1,1,1,0,37.99301013268125
34,14,6,16,0,1,1,1,60.36653208243411
38,12,14,11,1,0,0,0,43.97673179345773
25,18,7,6,0,1,1,1,51.81161153548821
22,22,8,14,0,1,1,0,43.31790039644053
20,22,10,12,1,1,0,0,40.78062336015502
24,28,13,10,1,1,1,0,34.863915060562654
27,19,13,13,1,0,1,1,47.155738386793885
17,17,12,7,1,0,1,1,46.284474188636594
43,16,13,18,0,1,0,0,48.0847611301682
20,22,9,10,1,1,1,1,50.1183861756864
30,28,11,25,0,1,0,0,46.59019873609529
24,23,9,9,1,1,0,1,48.38267879562973
35,20,9,13,0,1,1,1,50.71273316397773
39,28,9,6,1,1,0,0,38.42764767415151
30,17,9,17,1,0,0,0,47.3009623007033
32,18,8,14,1,0,1,1,54.00814575230913
36,25,9,9,1,1,1,1,49.000245183432746
33,13,6,11,0,1,1,1,56.66786698122733
28,27,10,14,1,1,1,1,49.58671255609932
21,11,7,14,0,1,1,1,56.243397285151474
32,22,7,17,1,0,1,1,53.45008088133255
19,21,12,19,1,0,1,0,43.75979006438114
23,4,10,20,0,1,0,0,50.91796601281479
28,14,8,16,1,1,1,0,48.30489383882247
34,17,10,17,1,1,0,0,48.02509342035008
24,18,2,14,0,1,0,0,50.2785986332818
31,20,11,19,1,1,0,0,44.07957528073713
24,20,6,12,1,1,0,1,53.26288236431027
30,27,16,10,1,0,1,1,44.21339322859013
41,17,6,19,1,1,1,0,52.95844494303312
27,18,13,18,0,1,1,0,45.67888068772926
31,23,11,5,1,0,0,1,44.8101393426893
35,13,7,10,0,1,1,1,57.17965715764949
41,24,4,1,1,1,1,1,51.113906462981
30,17,8,19,0,1,0,0,48.74178866586334
22,16,14,18,1,1,1,0,43.86491351531622
22,25,7,14,1,1,1,0,43.28749672267502
34,27,7,17,0,0,0,1,52.483202859696064
24,7,9,15,1,0,1,1,56.58224417174857
34,15,8,21,0,1,1,1,57.89970612324371
33,28,3,16,1,0,0,1,52.42510696746725
34,21,7,17,0,1,0,1,54.81614980375457
28,20,6,14,1,0,0,0,46.54756961648826
32,33,12,19,1,1,1,0,37.44236581469175
26,21,6,5,0,0,0,1,50.45061282293117
36,23,8,15,1,1,1,1,53.27824768431557
17,18,11,14,1,0,0,1,48.72185818107844
29,27,15,17,1,1,1,1,45.72474274643984
29,24,6,14,1,1,0,1,52.43900672049625
23,21,10,16,1,0,0,0,42.76988138503541
42,8,10,18,1,1,1,1,61.05669505283908
30,22,7,12,1,1,1,0,43.72414031303684
38,14,9,17,1,0,1,0,48.58867689452849
36,21,11,21,1,0,1,1,54.72581107253762
32,23,10,12,1,1,1,0,42.84668370357012
22,26,8,18,0,0,0,1,51.0810479706427
40,21,5,16,1,0,1,0,47.78370209655775
43,25,8,27,1,1,0,0,49.21873432570652
13,15,11,14,0,0,1,1,50.14103167877064
22,33,11,13,1,0,0,1,43.06638888711728
40,2,5,13,1,1,1,1,64.09572508503105
18,23,14,14,1,1,0,0,37.40704230524703
34,31,5,9,0,1,0,0,42.3819662950276
30,13,4,16,1,1,1,0,51.04875364899692
16,15,11,16,1,0,1,0,42.70903553924531
25,14,8,16,1,1,1,1,55.714385805589046
17,22,10,18,1,1,1,1,50.48656628325217
22,19,6,9,1,1,1,0,43.1549827059306
45,25,12,17,0,0,0,1,51.74152066412724
40,15,10,24,1,1,1,0,52.44459482261908
24,6,9,8,1,1,0,1,56.72792680509965
22,7,11,7,1,1,0,1,51.762093702997625
26,19,6,7,1,1,0,1,51.9081587338374
35,18,8,16,1,1,1,0,47.00624512665819
30,26,6,18,1,0,0,0,45.35904069281399
21,17,8,15,1,1,1,1,53.51125224168949
22,33,6,7,0,0,1,1,45.39758490143237
34,18,8,25,1,1,0,0,51.1578602514089
47,12,5,10,0,0,1,1,59.14209064250897
28,20,10,17,1,0,1,1,51.52724978003636
29,12,9,16,1,1,0,0,48.84882549197375
25,31,7,10,1,0,1,1,46.46912262198409
49,27,12,14,0,1,1,1,49.34297800066342
29,19,12,19,1,0,0,0,43.9649106087318
35,27,11,4,0,1,1,1,46.91006462566481
48,12,10,12,1,1,1,0,49.05476867180303
32,21,13,15,0,1,0,0,43.29726706871083
31,31,12,10,0,1,1,0,38.57109297627479
41,28,11,15,0,0,1,1,47.85983343883616
32,12,14,9,0,1,1,0,44.33761430059421
30,14,11,17,0,1,1,1,55.80818399555789
30,22,7,15,1,0,1,1,52.02555522059925
16,23,5,6,0,0,0,1,49.40283925555615
28,24,14,16,1,1,1,0,39.67453216961439
46,19,12,19,1,1,1,0,45.57339456948764
34,15,12,11,0,0,0,1,51.640047452061566
30,19,8,19,0,0,1,1,53.91725121781009
27,28,6,15,1,0,1,1,49.85916661652733
31,11,11,18,0,0,1,1,56.76524861541135
29,9,10,14,1,1,1,1,54.46753434530837
37,22,12,18,1,0,1,0,43.29153466168142
24,23,10,14,0,1,1,1,49.01513345527586
26,16,9,15,1,1,1,0,46.201066771125504
23,32,11,15,1,1,1,0,36.74114384385424
38,25,14,11,0,1,1,0,38.74479169011314
31,19,12,16,1,0,1,1,50.42468317517735
34,20,4,14,1,1,1,0,47.11077232733995
19,27,7,11,0,0,0,1,50.30500798619563
23,18,12,18,1,0,1,0,42.95385764918403
18,24,11,11,0,1,1,0,39.85388857564162
29,15,12,11,0,1,1,1,52.014195269288415
12,14,8,9,1,1,1,0,42.60695227814034
36,27,12,7,1,1,0,1,44.64304209699434
37,21,13,11,1,0,0,0,39.89446358135255
22,16,9,18,1,0,0,0,48.16928245843998
16,30,15,11,0,1,1,1,41.555716459879314
20,18,11,15,1,0,1,1,50.80368092623659
28,16,13,14,1,0,0,1,49.732867896199146
37,23,9,9,1,1,0,0,41.138605931147175
30,24,8,4,0,1,0,1,47.30677027218722
27,15,14,12,1,1,0,1,48.80301521148376
42,24,12,12,0,1,0,0,42.06141522022393
27,22,10,24,1,1,1,1,54.73245223710605
20,27,9,10,1,0,1,0,37.85153642950208
26,24,10,18,1,0,0,1,49.83033506235624
29,16,10,20,1,1,0,0,48.97522550189193
29,24,8,6,0,1,0,0,40.81041399524386
33,20,9,16,1,1,1,0,44.84741806697119
11,11,7,9,0,0,0,1,54.55734447933045
27,18,12,10,1,1,1,0,40.10702630413272
38,25,9,12,1,1,1,0,43.22237447418098
40,27,9,16,1,0,0,0,42.33904078547491
31,22,10,17,0,1,1,1,52.08283179787288
37,13,9,9,1,1,1,0,44.762227625878886
26,25,9,9,1,0,0,1,47.530255617653104
41,18,6,20,1,0,0,0,51.23451508891891
32,21,10,22,1,1,1,0,46.937304496865366
26,23,11,15,1,1,0,1,49.66880790669057
23,31,3,12,1,1,1,0,42.47112062006017
31,25,9,6,1,1,0,0,38.97699617948685
30,23,4,19,1,0,0,1,55.19916630245301
32,17,5,10,1,0,1,1,54.09200218439233
39,26,8,19,1,1,1,0,46.08815178196287
26,25,6,14,0,0,1,0,43.62525014316841
29,9,12,6,1,1,0,0,42.13658089659656
25,18,7,14,1,1,1,1,54.29959538422079
22,24,7,15,0,0,0,0,44.06480729911836
22,20,9,13,0,1,1,1,52.90507083016487
32,20,11,8,1,1,0,0,40.93226722757797
36,11,17,13,1,1,0,1,51.53348368700016
22,13,7,18,0,1,0,0,48.97060104417701
32,33,9,12,0,1,1,0,37.18564999277532
13,25,2,10,0,1,1,1,52.91494426070959
14,26,11,20,1,1,0,1,48.00618576480437
25,21,8,9,1,0,1,0,41.07500527438982
36,9,10,13,1,1,0,0,48.85534261622108
35,28,6,16,1,1,0,0,46.26637518795146
27,14,10,12,1,0,1,1,52.68266513427001
21,14,18,16,1,1,1,0,38.73082928318111
21,26,8,13,0,1,0,1,48.305792892941184
35,21,6,10,0,0,0,1,52.86632424134878
26,22,12,12,1,1,1,0,40.59379894341494
28,16,10,17,1,1,1,0,45.432588035276055
34,20,4,18,0,0,1,0,50.41596489276746
32,19,6,10,1,0,0,1,53.737923818481306
29,27,6,17,1,1,1,0,44.09976828541108
33,19,12,27,1,1,1,0,49.57703296579917
35,20,9,4,0,1,0,1,47.94755504208288
19,15,12,12,1,1,0,1,51.0596989595153
35,16,9,14,1,0,0,1,55.27439972819609
30,18,11,6,0,1,1,1,49.14084876121163
18,19,12,10,1,0,1,0,40.80541735256492
32,23,9,11,1,1,1,0,41.41464235072564
20,25,6,26,1,1,1,0,48.89573640934427
19,15,8,6,1,1,1,0,43.92384078461129
34,12,8,10,1,0,0,0,46.64689665907369
19,34,9,16,0,1,0,1,47.21640767526039
23,19,8,6,0,1,1,1,49.26368829714863
30,19,11,10,1,1,1,0,42.40925162143596
22,6,9,15,0,1,1,0,51.02420419625716
28,15,18,9,1,1,1,0,38.43863519366938
30,28,10,13,1,1,0,1,47.12696513528669
27,24,5,6,0,1,0,0,42.36936100017533
24,23,9,23,0,0,1,0,46.63476003699496
32,16,9,24,0,1,0,0,52.34577077570263
27,16,9,12,1,1,1,1,53.30214496849266
38,27,6,10,1,1,1,1,50.331811460022415
31,25,10,18,1,0,1,0,42.34340313113812
20,11,12,20,1,1,0,0,46.62954809084155
25,20,10,17,1,0,1,0,43.31399568696753
37,31,11,13,0,0,1,0,39.54138932967338
35,16,10,8,0,0,1,1,50.38398868666193
24,27,11,12,1,1,1,1,46.51033784099004
