age,income,rural_residence,previous_beneficiary_status,underemployment_status,cash_transfer_program_enrollment,household_consumption,quality_of_life_index
47,30,0,0,1,1,102.95592886604602,341.71716122185285
18,15,0,0,1,1,46.00954973468944,179.09643731363062
34,20,0,1,0,1,72.81018302659034,259.41869394928415
34,14,0,1,0,1,65.16617814327486,237.2573394947058
17,20,0,0,1,1,51.33838252093999,190.82992830396287
30,34,0,0,1,1,88.41867781540934,292.4519155373658
42,19,1,1,1,1,83.07918681475162,290.53491726970856
17,14,0,1,1,1,43.94747129596593,173.0298374737208
32,32,1,0,1,1,88.92972208738348,292.8962101428651
32,17,1,1,0,1,66.47933204434753,241.05627042823508
18,28,0,0,1,1,65.27301905436072,224.72471775878347
27,29,0,1,1,1,80.07514709694888,267.226416189751
41,27,1,1,0,1,92.28907137000404,309.701190003468
21,16,1,0,1,1,53.29198047760696,196.25986184404252
19,22,0,0,0,1,56.86618845666067,203.11005164429096
21,21,1,0,0,1,56.256626807868805,207.0925272482149
31,15,1,0,0,1,61.52541684070971,224.50354835944788
35,17,1,1,1,1,70.35230138595212,252.21256270519788
24,17,1,0,0,1,57.45474802441131,209.5013949689858
16,18,1,1,1,1,52.09235462353948,191.0122166030752
23,28,1,1,0,1,73.21446555842877,245.5884438117289
30,24,1,0,0,1,73.18546608941904,254.11747199978248
25,15,1,0,1,1,56.06026991212436,206.8019381153677
19,14,1,1,0,1,47.59766980007125,182.97288252967795
25,22,0,1,0,1,65.16342988491411,231.86700729318596
49,15,0,0,0,1,83.03130217690207,294.00406599453044
34,22,0,1,1,1,77.75959216115797,267.7185262323489
24,22,0,1,1,1,64.23665377935072,229.49592912412444
29,14,0,0,0,1,57.23611121020212,215.50512272525543
12,23,1,1,0,1,52.62958964595206,185.86728894372308
17,22,1,1,1,1,57.35908815556545,203.48820647442076
30,18,0,0,1,1,64.29542187096544,231.0671450727436
7,15,0,1,0,1,31.55869266039379,132.3262041082452
20,18,1,0,0,1,54.373234443567526,195.68204390211028
28,14,1,1,0,1,57.57515837507377,214.68461427945323
39,16,1,1,1,1,73.5208926986834,267.48305948097453
30,28,0,0,1,1,80.3131371553392,271.5069356749034
36,21,1,0,1,1,76.83462377073137,270.5653223032352
28,27,0,1,1,1,77.7802981140508,263.42019919764743
29,15,0,1,0,1,57.78507040328362,218.2269149452091
26,15,0,1,0,1,54.23963753811255,206.98708494109775
26,17,0,1,0,1,58.47548441501338,214.0589627118677
26,23,1,1,0,1,68.43559394801709,239.79840301222453
34,20,0,1,1,1,76.07129101494522,265.14522926851384
27,18,0,0,0,1,60.2346521044036,220.6787269183845
36,15,1,0,1,1,69.6200826575032,251.6493156265985
29,17,1,0,1,1,63.60526277062535,229.25253675199576
23,10,1,0,1,1,46.17173006293199,183.91332935364915
27,27,0,1,1,1,75.13959229725943,257.35366086547737
29,27,1,0,0,1,77.63948920634346,263.21061570027604
37,25,0,0,0,1,82.4867000861595,281.6065359350817
45,19,0,1,1,1,84.77159192003666,298.9651493786077
35,7,1,0,0,1,53.662004653455625,212.7429797922833
25,13,1,0,1,1,52.39989370459478,200.3333839835968
34,17,1,0,1,1,70.99545430082017,252.59144272010977
19,31,1,1,1,1,70.91030009025836,240.9035525412744
34,12,0,1,1,1,61.78049058383937,231.68968016816223
22,24,1,0,1,1,66.89423604576861,231.35647087259323
45,19,0,1,0,1,83.66598928375736,292.645922655506
27,16,1,0,0,1,58.10595458054942,214.37193681206327
43,17,0,1,1,1,79.83377391755975,286.0218575305762
40,26,1,0,0,1,88.50259477131941,300.88958152889023
31,32,0,1,0,1,86.23621077694283,285.25431202042245
42,27,0,1,0,1,92.78599321882184,311.5636808616062
33,25,0,0,1,1,79.12400724179454,270.7668790331981
32,23,0,0,1,1,75.07302200207629,262.7205329413611
27,19,0,1,1,1,62.87075302631993,228.5551865323152
31,5,0,0,1,1,47.07816158262698,193.86458631868783
29,17,0,0,0,1,61.3422706148321,224.5266097174001
37,13,0,0,0,1,63.49133682475762,237.556897242375
37,25,1,1,0,1,86.17013504658458,289.65115755908084
35,17,1,0,0,1,69.65637910668875,250.35387016760117
11,20,1,1,1,1,48.2446367263789,178.02242969333108
36,17,0,1,0,1,68.43241304312836,248.325046786537
27,26,0,0,0,1,72.33814702812904,248.15066265444165
15,28,0,0,0,1,62.501778381238665,213.3925093765764
18,19,1,0,0,1,52.53326322612848,190.95365905069457
36,10,0,0,1,1,58.11351912632808,226.95507419381283
44,18,1,1,0,1,82.59433860081697,289.1844740517944
33,29,1,0,0,1,86.36641206659772,286.1367672995497
20,14,0,0,0,1,46.69551157811502,179.65107060123162
32,25,0,0,0,1,75.09526618396454,257.2525334856288
46,19,0,1,1,1,87.79230166125812,307.8460911840052
26,19,0,1,1,1,61.55244718218128,225.51903337320653
33,13,0,0,0,1,61.17571684658337,224.70928766130143
29,13,1,0,0,1,56.53389207909079,213.4103350732669
31,20,1,0,0,1,70.43632401365241,247.7727872798422
35,21,0,1,1,1,75.02957935689349,264.1368248078409
25,24,1,1,1,1,70.09969159931909,240.0307480871098
40,23,1,0,1,1,86.77433194315628,295.85706699802665
23,14,1,1,1,1,53.36112690068282,201.4340940964525
30,21,0,1,0,1,69.48241030926599,246.4276205821316
27,23,1,1,0,1,69.5586671995394,243.45565362517735
26,23,0,0,1,1,65.79314089300017,233.75107265611115
35,29,0,0,1,1,88.33315454917205,295.6091779362432
32,9,1,1,1,1,58.06511185522845,221.55193213465697
41,23,1,1,1,1,88.18495739294552,300.6984160959826
32,16,1,1,0,1,64.84546325715358,235.61395425007933
34,28,0,1,1,1,88.320973687536,291.0207064682817
18,16,0,1,0,1,49.00750115252159,180.8988482411511
21,29,1,1,0,1,72.12239988541037,242.740772286872
30,29,0,1,0,1,81.78000857118941,272.22687072540185
12,18,0,0,0,1,41.33539969518636,161.03692512033686
28,22,1,1,1,1,70.7176245755514,248.16850331065405
35,22,0,1,0,1,78.45954521684163,271.9734014411739
28,31,0,0,1,1,80.11966308915515,269.4747181425614
23,22,0,0,0,1,64.70666954946603,222.81758764206543
30,12,0,1,1,1,58.06289835567736,219.3201088956452
35,33,1,0,1,1,92.43296163149331,305.86063190022145
28,21,0,0,0,1,65.56788269106629,232.9247517139493
30,14,0,0,1,1,57.86266920940731,219.4187989579356
23,15,0,0,0,1,50.59915720051084,194.8215344079476
30,8,0,1,0,1,50.90377157475875,202.90703610152
35,13,1,0,1,1,63.68821619232141,237.59392024698676
35,17,0,0,0,1,69.47515347244232,249.41683313282184
36,18,0,1,1,1,71.65192387745722,258.9677189164079
23,19,1,1,1,1,58.86839136014701,214.261191546096
41,31,0,1,1,1,98.5069871388302,326.51253295666424
34,18,1,0,1,1,70.80441131067786,252.77054781182693
36,28,0,1,1,1,86.7663683857267,294.3437627648461
41,11,0,0,1,1,68.00428336574834,254.77795466288072
37,20,1,0,1,1,75.99154407941734,266.86027281175325
39,6,1,1,0,1,60.197990117444405,229.72535653135748
32,15,1,1,1,1,66.10663824108096,239.62346961498625
27,13,1,0,1,1,55.805969470254006,210.6588956019855
37,8,0,1,0,1,57.49688664966299,225.5995137549104
39,24,0,1,1,1,84.76967991681325,291.9275800322994
36,19,1,0,1,1,75.7879822224592,267.35086358285525
35,11,0,1,0,1,62.64243914344948,234.2771373685786
26,16,0,1,1,1,57.2589729567598,213.9364161676508
18,20,1,0,0,1,54.47338788400725,198.20602999671547
35,17,0,0,1,1,68.60462799246234,248.31809948134256
47,21,1,0,1,1,89.98701599880114,312.1362815660523
31,23,0,0,0,1,71.58301667091942,254.45476970985032
28,22,0,1,0,1,70.38778406922275,245.7097580908641
21,19,0,1,1,1,56.50065912526643,208.1725807820648
24,16,0,0,0,1,53.85770852463195,199.14879547363373
49,26,1,1,0,1,101.59993499344291,343.27478729220576
31,26,1,0,0,1,78.58453112095862,267.7002736181792
39,25,1,0,1,1,87.76216588135993,294.8409563908513
37,19,1,0,0,1,73.81252561387043,262.1488131978025
33,8,0,0,0,1,52.70643819282342,207.0871942197769
26,23,0,1,0,1,68.19651367631009,238.78171822880284
38,19,0,0,0,1,74.89458963286539,265.0203751675371
32,22,0,1,1,1,74.6856245197156,261.1863266331696
43,25,0,1,0,1,91.66178963678108,312.08496310084183
29,17,1,1,1,1,62.98448726164107,229.48432366434852
28,20,1,0,1,1,66.32424169358964,237.3248766216465
42,20,1,1,0,1,85.72301791927916,294.54931631112487
29,22,1,0,1,1,69.01635997072668,243.9209503424337
40,28,1,0,1,1,93.7567754010131,314.55328644066145
31,13,1,1,1,1,60.45888159335514,225.878735383974
30,23,1,1,1,1,75.27444333139475,259.24518104442967
23,27,1,1,1,1,73.58763462993412,250.84166809223288
30,22,1,0,1,1,73.47971310103124,257.3036327389849
39,18,0,1,1,1,77.37471143894592,273.7110369466113
22,14,0,1,1,1,50.69906498136792,193.34376259899375
22,19,1,0,0,1,56.86770193304315,204.42951158333432
24,16,1,0,0,1,55.62149599946579,206.6269310473826
36,18,1,0,1,1,73.30367711863526,262.27188645816966
22,28,1,1,1,1,73.28798037935887,245.74208572657133
25,12,1,0,1,1,52.03240586239009,198.2733889705432
33,17,0,1,0,1,67.20609586667108,241.15082767060116
28,17,1,1,0,1,61.822858258578464,224.8095849358782
33,21,1,1,0,1,74.98944829173854,262.93650432802
32,21,1,0,0,1,71.27364741657982,251.31465109235955
30,15,1,0,1,1,60.62643188827783,227.26563404847747
29,30,0,1,0,1,82.52887154538385,273.1639178616614
34,9,0,0,0,1,57.141689916134304,219.8763898653932
45,28,1,0,0,1,96.82246036970182,325.1881837906482
29,19,1,0,1,1,66.28416594986317,237.2457231005705
39,17,0,0,0,1,73.14186817025316,261.3891834975828
31,13,1,0,0,1,58.08280018682408,219.9139105754763
26,17,1,0,0,1,56.984011564450405,210.78009213711096
40,24,0,1,0,1,84.89885229997864,292.47675038279846
26,15,0,1,0,1,56.62078958165983,210.69690598053197
29,26,1,0,1,1,76.51317275905453,263.43924491416715
48,20,1,0,0,1,88.48473139653338,306.05142916677977
24,22,0,1,1,1,66.25975130745908,231.91478878864356
24,16,1,1,0,1,56.59595996014032,208.80780900830388
19,16,0,1,0,1,48.34262817748879,183.29574072268375
18,14,0,0,1,1,43.31670856758578,170.84336915965713
32,11,0,1,1,1,57.42187352164638,221.6562449955425
49,12,1,1,1,1,80.60363694297217,293.9533804529292
30,26,1,0,1,1,78.66529937919807,265.4525326882699
22,22,1,0,0,1,61.01202526180439,218.68989907973625
32,20,1,0,1,1,71.59024727553322,253.84994047499956
35,22,0,1,1,1,77.73438512196758,272.90254997342475
20,21,0,0,1,1,58.30920739529631,209.66828363914948
22,14,0,0,0,1,48.182606653695,185.8358074201212
24,14,0,0,0,1,49.9718953028626,192.85612136272167
23,21,0,0,0,1,59.54484766686452,213.44320986573007
29,14,1,0,1,1,57.591755891875046,216.64856688146003
27,10,1,0,0,1,48.3525458318735,194.80477361814405
21,19,1,0,0,1,55.403230109600194,202.56712480809665
26,14,0,1,0,1,54.72231393054311,209.4765010128674
24,7,1,1,1,1,41.08422491597314,174.83198646649797
39,24,1,1,1,1,86.95208481104001,297.67241799974806
31,22,0,1,0,1,69.87526596133027,248.3937506781457
32,21,1,1,0,1,73.68542313266462,258.13332027497864
33,12,1,1,1,1,60.84311629977612,228.4282790751071
31,29,1,1,1,1,85.27797951508116,285.21414815922503
28,21,0,0,1,1,68.32568820024713,237.18549508119827
32,10,0,0,0,1,54.25595796796224,211.8999153303883
35,18,1,1,1,1,73.05969946725051,259.7289535077188
20,24,1,0,0,1,61.63642314867271,217.503127660872
39,20,1,1,0,1,80.1101387632049,279.32916474045817
42,17,0,1,0,1,79.75214094084883,282.7475331107729
33,20,1,1,1,1,71.82488919396583,256.8182210391223
34,23,0,0,0,1,75.04957902528128,263.8661372193846
26,20,1,0,0,1,62.45416901263233,222.39177333089663
11,30,1,1,0,1,62.19945972571493,206.45281191536395
32,22,0,1,1,1,75.42981800076143,265.0023301564144
20,17,0,0,1,1,51.32396986030202,190.6859271640421
39,23,1,0,1,1,85.49757202931535,293.23945934846506
30,24,0,1,1,1,76.19809662265465,260.040567980513
30,3,1,0,1,1,45.194197112608045,188.957090457301
41,24,1,0,0,1,86.5470510738815,297.9847747385462
14,8,0,1,1,1,29.93183741740907,139.2424656321893
28,18,1,1,0,1,63.54044751538045,228.4119544994589
30,17,0,0,1,1,63.15126566150396,231.75591023484472
28,8,1,0,0,1,47.3874843235849,190.06312415877255
36,28,1,0,1,1,87.679290498683,295.51351741074643
28,19,1,1,0,1,66.58361985056163,236.09772819824693
30,22,1,0,0,1,70.13088193976544,246.48299209739324
35,16,0,1,1,1,67.34543415415222,247.06847638731816
31,17,1,1,0,1,65.9780954972241,239.73552251633697
22,29,0,0,0,1,71.4631941176039,240.8016767827256
25,16,1,0,0,1,57.12021923832224,209.63054497633024
31,29,0,1,1,1,85.00814783556471,282.07883550228735
37,20,1,1,0,1,76.9909010860815,269.84415844532776
25,26,1,1,0,1,73.54985739435887,248.3073696332044
41,8,0,1,1,1,64.16673759876365,244.7016022211176
33,14,1,1,1,1,65.11219669969422,237.07712718155764
28,27,0,1,1,1,77.39228577923059,261.7193021083358
35,18,0,1,1,1,71.87701747441905,256.91035436245306
33,14,0,1,0,1,62.601685615926975,231.6429364921348
38,16,1,1,1,1,74.69605021042393,267.6220724730766
27,14,1,0,1,1,58.84149433946099,218.75293782336252
14,32,1,0,0,1,68.53627136784613,225.22835969299896
22,13,0,0,0,1,49.55058213125728,190.2761546518441
29,24,1,1,1,1,76.13256179213305,260.62680604194475
27,26,0,1,0,1,72.31787064837752,248.92537167505049
35,24,0,0,1,1,80.55499461197303,279.2700123709782
11,22,0,0,0,1,45.39056349206157,169.3741207243238
41,13,1,1,0,1,72.12424507538876,267.0076885855681
32,26,0,0,0,1,76.27943112696715,260.3371762093585
28,15,0,0,0,1,58.94385963517194,216.41452339136947
37,21,0,1,0,1,79.4086576446254,277.9833673672692
35,8,0,0,0,1,56.94207127346844,218.3830412658565
22,24,1,1,1,1,66.13569099616247,230.6309999845724
26,12,0,0,0,1,49.97428226410237,194.85779238825097
31,16,0,1,0,1,62.59841262655082,231.48837375301383
42,19,1,1,0,1,82.82307661072443,288.97183104298944
41,23,1,0,0,1,87.75948465453081,298.37842869905023
33,23,0,0,0,1,75.36003893210855,261.9735753519002
53,13,1,0,0,1,83.17312393316693,301.1669257095179
29,17,0,0,1,1,61.6518030843562,225.772413333832
11,11,1,0,1,1,33.079689408706024,140.25887837466271
21,21,0,0,1,1,58.082018631468976,207.7882293389852
27,23,1,0,1,1,69.42404611757966,242.26259251750844
37,21,0,0,1,1,77.9305793110944,273.9170262453312
20,23,1,0,0,1,63.19831815116575,219.9885525315319
24,12,0,1,0,1,50.98738032949778,193.465932856059
26,14,0,0,0,1,54.5301358001803,202.599937044579
31,13,1,0,1,1,58.60937858758792,221.7888517137284
32,8,1,1,1,1,54.7039558342733,213.729564425271
33,13,1,1,0,1,64.85856283270131,237.30871415340584
30,18,0,1,0,1,65.67712206565639,232.993061884338
22,9,0,1,1,1,44.02336099873221,178.3631095878777
32,13,0,0,1,1,58.03843347505093,223.01119364740535
27,13,1,0,0,1,53.77723274111538,205.27348292729252
25,35,0,0,0,1,82.47725484893378,269.65386852575546
24,16,1,0,1,1,55.85593125079033,207.71973533045733
32,22,0,1,0,1,74.4842831725268,258.8522678102693
30,12,1,0,0,1,55.7698545684433,211.98770577926825
17,19,1,1,1,1,52.13701822311116,192.88789677195197
38,15,1,1,1,1,72.85896345703178,261.53010910220195
20,16,0,0,1,1,50.051228412859054,189.6069650127502
41,21,0,0,0,1,80.35754869501551,281.97883699936466
31,15,1,1,0,1,64.15407805799857,231.96055535711443
29,15,1,0,1,1,61.384144196108,225.38329129674523
39,16,0,1,0,1,73.07263345423868,261.6440309854537
18,18,1,1,1,1,49.80923001424492,188.79811997377223
25,25,0,1,0,1,70.00194874600018,242.392771775335
32,31,0,0,1,1,87.2760295357433,289.48834995926654
29,16,0,1,1,1,61.21652959174212,222.08508283570615
22,25,0,0,1,1,64.3716901210088,228.17949214634817
24,23,1,1,0,1,67.50931373638048,231.96574797034145
38,20,1,1,0,1,77.25371232077396,270.4682544165546
17,9,0,1,0,1,34.50163782869531,148.54599028340334
20,26,0,0,1,1,64.68503369027418,223.89173335808883
17,22,0,1,0,1,56.54341619534738,201.0567363316932
40,29,0,0,1,1,92.62305593619816,308.69079327891217
30,22,0,1,0,1,71.55678869132508,250.0751420555768
34,22,0,0,1,1,74.48466354912883,262.44714585926755
36,26,1,1,1,1,87.26605102509626,296.1769366359079
46,22,1,1,0,1,91.88374802109227,313.26423900952915
22,16,1,0,0,1,51.36633748838154,195.7390941566459
21,20,1,0,1,1,57.64032896841225,210.79328010118024
28,7,0,1,1,1,46.19060679516624,192.4289033736957
33,24,0,1,0,1,76.14963086464854,264.17173709734175
28,16,0,1,0,1,60.11354567297989,221.7401037743119
39,20,1,1,1,1,80.89944646633934,280.6046722490254
33,24,0,1,0,1,78.51701582653762,269.4020598533699
40,13,0,0,0,1,69.00969271938278,250.8468019640019
26,15,0,1,0,1,56.14243351566908,210.46275568254305
14,15,1,0,1,1,42.35063455711664,167.3197466306633
24,18,0,0,0,1,56.193228954573314,207.64823116099137
29,21,1,1,0,1,68.33438986710198,241.92711125149688
31,19,0,1,1,1,69.51636177584359,246.2103050938356
18,18,0,1,0,1,51.73935689132911,191.949956405034
36,27,1,0,1,1,86.1013696744577,291.2172554756432
13,20,0,1,0,1,46.01275383100656,175.20250827570396
28,33,1,1,1,1,87.84812196966847,288.815861765343
26,14,0,0,0,1,54.14582781845805,205.11066716211027
21,14,0,0,0,1,48.38462192335216,185.80108241119711
31,11,1,0,1,1,55.65147262812355,212.11125737027103
37,28,0,1,0,1,88.14899177495691,297.2116049667162
31,21,1,1,0,1,70.24228120039253,248.6181729109824
23,22,1,1,1,1,65.08793070230817,230.20210591157684
9,18,0,1,1,1,42.932658113591536,163.9509121574192
27,15,1,0,0,1,58.09089155324472,213.62411726970225
10,20,1,0,1,1,45.416508717468055,168.83912272294216
8,22,0,1,1,1,44.50743060094656,166.2590981570495
37,13,1,1,1,1,69.26505662877001,249.67220804673772
31,20,1,0,0,1,68.9683965010994,245.01284361696776
29,12,0,0,1,1,52.6571864985988,207.3621186795542
31,21,0,0,1,1,71.74796871737858,254.21259161493683
30,21,1,1,1,1,72.37674160842644,255.28265294900257
20,18,1,0,0,1,51.11114445313677,191.9993347720074
28,24,0,0,1,1,70.93163670136147,246.599284617503
19,21,1,1,1,1,56.45282489679524,204.99231124423312
20,18,0,1,1,1,52.94731695736594,198.20141223821295
34,36,1,1,0,1,98.6197311568467,320.3315807653905
34,10,0,1,1,1,58.9926070882358,227.07599301721436
29,10,1,0,1,1,51.71126948565261,203.21853531456944
19,20,0,1,0,1,55.76005242518961,203.0564465680725
38,21,1,1,1,1,79.72312818125744,280.41333885729546
30,22,0,0,0,1,70.57557820988312,246.62096394771572
38,14,1,1,0,1,69.52817497346612,253.57242733053667
35,25,0,1,0,1,81.93942905294088,277.8416968264636
36,19,0,1,1,1,76.04888245665077,267.3084841814078
39,20,0,0,0,1,76.99417603966866,273.0158695153065
34,14,0,1,1,1,64.85131811704227,240.021701458851
17,17,0,1,0,1,49.18328151840588,184.16856979430847
17,33,0,1,0,1,72.7553056898254,239.6416204271356
35,22,1,1,1,1,80.34865534236539,277.75636839708426
32,15,0,1,1,1,63.65140997567555,236.25319229286188
34,19,0,1,0,1,72.60167652818953,256.5959110539921
36,20,0,1,1,1,77.06957744037736,270.36006618736207
40,12,1,0,1,1,68.23616374689135,253.7957036753457
16,19,0,0,0,1,49.84838071505007,182.45317377343628
20,13,0,1,1,1,46.50168707489018,182.3830772749628
39,32,0,0,0,1,94.73518255956316,313.9396703625699
44,19,1,0,0,1,83.604558880986,290.4700108867475
27,16,0,1,0,1,57.97228605949278,216.3222916348436
29,5,0,0,1,1,43.89829937163509,185.1227919831441
21,16,1,1,0,1,54.63904735927756,199.39719679786865
46,23,0,1,0,1,91.48519744925012,313.3634810835703
26,33,1,1,1,1,85.24501085883442,279.1168428843574
27,15,1,0,0,1,56.35633598978757,212.6481669934096
24,18,0,0,1,1,59.2496856267052,215.3353881601093
16,18,1,1,1,1,49.74439507380252,187.34875879622072
51,23,1,0,0,1,97.69956795808471,333.933021333548
17,28,0,1,0,1,64.41724987288626,221.15273881640235
28,27,0,1,0,1,77.0657887785824,260.77993197976724
25,24,1,0,0,1,66.94852895855803,235.100963010314
21,10,0,1,1,1,43.11329173716631,176.42687076730354
31,26,0,1,1,1,80.05428138925363,273.0435337693656
29,19,1,0,0,1,65.57470913149879,235.51421365726824
29,24,1,1,0,1,73.5824269999504,252.35894672972344
33,18,0,1,1,1,69.21898739571627,246.1384921529045
31,18,1,0,1,1,65.60616251896857,238.89789209591905
22,29,1,1,1,1,76.00089163496578,253.75176609795852
14,26,0,1,0,1,59.719227998946224,205.5520747331976
40,31,1,0,0,1,97.0405645840986,319.12709142376264
36,17,0,1,1,1,73.74363828622131,263.09356875790394
26,16,1,1,0,1,57.90884938187367,216.3411583942887
21,20,1,1,1,1,60.57261676217336,217.5939611287654
22,22,1,1,0,1,62.89819916130227,221.46533333305516
27,22,1,0,1,1,67.5246324306316,240.8808710607917
24,10,0,1,1,1,46.421844921411655,185.1176848007276
40,20,0,1,0,1,79.80952431719967,280.018275681214
30,13,0,0,0,1,57.02711558091012,217.21216534084837
21,20,0,1,0,1,59.67845022381048,209.45201677157425
24,19,0,1,1,1,60.80300538861588,220.41259787864425
32,17,1,1,1,1,68.97477260521903,247.8944270679145
25,28,0,1,0,1,73.30385187724418,252.17652951047535
31,28,0,1,1,1,82.38650374551092,276.630729275163
38,25,0,1,1,1,83.66482174640245,290.9879017191421
49,22,1,0,1,1,94.53819904096348,324.0647026111502
37,21,1,1,1,1,80.08678933111605,277.2909990175347
32,17,1,0,0,1,66.99613283075595,239.4972740021832
15,23,1,1,1,1,57.32486650764297,200.8064759711807
18,15,0,0,0,1,45.33828007826115,174.58800497954118
23,25,1,1,1,1,68.47160643972694,236.851279367547
35,14,1,1,1,1,67.55650329613334,249.1321515112853
15,15,0,1,1,1,43.89412244268436,170.58844784023955
35,21,0,0,1,1,73.4834472111543,262.74940207624104
37,27,0,0,0,1,85.33897933071452,290.33631822709674
16,19,1,0,1,1,51.70003623943597,189.9292304911716
36,17,0,1,1,1,69.25811043847101,249.71098838685236
28,25,1,0,0,1,74.8334648945393,256.7965065718754
27,19,1,0,1,1,64.39713160487553,232.84724174564377
23,20,0,0,1,1,61.443200425951154,221.0836805721232
21,12,1,1,0,1,47.16747988697827,184.0912140289821
26,19,1,1,0,1,63.82533286106313,227.05533026066857
34,22,1,1,0,1,76.74902105296745,268.0973926416845
38,22,1,1,0,1,81.78772397366409,279.79877491224687
21,20,1,1,0,1,58.09184611409494,209.3842743761781
25,13,0,1,0,1,52.01899404418293,196.971542109464
