student_age,parents_education_years,weekly_study_hours,class_size,low_income_status,gender,rural_residence,scholarship_received,end_year_grade
22,7,8,13,0,1,0,0,75.51274505876519
23,24,16,8,1,1,0,1,86.23828978752952
35,29,8,17,1,1,1,0,95.53386606799276
38,18,9,9,1,1,0,1,100.14833869382274
42,21,7,21,0,1,1,0,98.86491804046548
36,25,15,12,1,0,1,1,101.09123794208756
26,18,6,7,0,1,0,1,89.65767901195011
34,17,13,16,1,0,0,1,98.93863568596876
27,17,11,10,0,1,1,1,91.0976342666424
18,20,5,18,1,1,1,0,75.73211352271774
32,27,12,13,1,1,0,0,89.74408945659587
20,16,8,10,1,0,0,1,80.9620517268717
16,16,7,15,1,0,0,1,80.47347447674584
34,32,9,13,0,0,1,1,102.08095881515511
22,15,12,20,0,0,0,1,84.70756192957903
32,13,3,12,1,1,1,0,86.34417700827677
46,15,12,7,1,1,1,0,98.3306026828324
12,23,6,12,1,1,0,0,67.72763291648496
32,14,7,11,1,1,1,0,88.97615705644378
44,24,14,9,1,0,1,1,108.16965218978692
43,17,3,11,0,0,1,0,100.42914859712378
27,17,6,11,1,0,1,1,89.57869407829534
37,24,7,7,1,1,1,1,102.94722146678724
21,12,10,6,1,0,1,1,80.96884071841185
37,18,7,9,1,1,1,0,91.39276300439862
42,23,12,18,1,1,1,1,108.63253904813894
32,29,11,14,1,0,1,0,89.54041782291154
18,20,15,17,1,0,0,1,81.73245770590775
24,20,4,17,1,1,1,0,81.70292318664787
43,20,11,15,1,1,1,0,100.0618528663019
26,17,8,13,0,1,0,1,90.53336090972054
16,25,11,14,1,1,0,0,73.860471092547
28,21,13,9,0,1,0,0,83.29485018172817
34,13,10,29,1,1,0,0,89.9120565542665
24,21,9,20,1,1,0,0,79.99762073185
32,20,7,17,0,1,1,0,89.72825921672566
1,29,11,12,1,0,1,1,66.02885517526605
34,15,7,13,1,0,1,1,95.32680999821557
34,19,11,15,1,1,1,0,89.97130120886071
31,15,11,20,0,0,1,1,92.78466188941472
32,15,7,15,1,0,1,0,87.08389202770812
40,23,7,10,1,0,1,0,97.3899645425936
33,27,10,11,1,1,1,0,90.6476005725069
18,21,14,6,1,0,1,1,79.91781367384158
29,18,15,11,1,1,1,1,91.36832665454386
26,13,6,14,1,1,0,0,81.67920529410397
33,22,11,9,0,1,1,0,87.90585357208724
36,24,11,19,1,1,0,0,94.27395942717784
40,26,13,1,0,0,1,1,104.79628002392316
27,21,11,18,1,0,1,1,91.40282928388343
31,11,8,10,1,0,0,0,85.18960340734282
27,23,14,14,0,1,0,1,90.88446008410348
20,21,9,20,0,1,1,1,86.34385511141132
19,18,15,10,1,1,0,0,73.77715281707655
23,18,13,8,0,1,1,0,75.37061424883402
43,7,11,14,1,1,1,0,95.4908969805146
39,21,12,18,0,0,1,1,104.98201506226712
28,16,14,10,1,0,0,0,81.20739712759708
25,23,7,8,1,1,0,0,80.56085389753655
38,18,8,12,0,1,1,1,102.37528612325356
29,20,5,22,0,0,1,0,87.28487694298958
27,34,10,4,0,1,1,0,85.96030988593442
18,18,8,13,1,1,1,0,72.20550131176645
10,31,9,20,0,1,0,1,78.95152554588162
41,22,11,14,1,1,0,0,97.86804774266172
37,16,3,6,0,1,1,0,93.16349972982232
21,20,7,20,0,0,0,1,87.1787961441342
31,3,9,14,0,1,1,1,91.08661531336432
41,19,11,14,1,0,1,1,103.91924038179874
31,21,11,10,0,1,1,0,86.26113463468903
16,28,9,15,1,1,1,1,82.98121739465076
28,22,5,12,1,1,0,0,85.13665185407278
40,13,10,17,1,1,1,0,93.9249795999585
23,23,7,3,0,0,1,1,88.84024055082324
29,14,5,12,1,1,1,0,84.67227023884749
28,24,10,8,1,1,1,1,93.25017635601247
22,24,11,18,1,1,0,1,85.95093098478986
32,30,6,16,1,1,0,1,100.54561603227482
20,20,10,17,0,0,1,1,85.40803857073884
39,29,12,7,0,0,0,1,106.36039975453664
18,20,10,7,1,0,0,1,81.27455800665739
46,28,15,9,0,1,0,0,104.82096910493522
31,14,10,15,1,1,0,0,85.20442022702184
53,13,8,17,1,1,1,0,108.75097020464248
35,30,8,13,1,1,0,0,93.847998258406
22,23,12,21,1,0,0,0,78.67476076109425
39,19,13,11,1,1,0,1,103.04796688997403
12,27,8,2,1,0,0,1,77.33812769195875
33,20,12,14,1,1,1,0,89.2497877873048
25,21,8,14,0,1,0,1,92.19076875612274
27,22,11,29,0,1,1,0,85.36347119598386
31,25,7,12,1,1,0,0,90.69184518788288
23,13,6,11,1,1,0,0,78.59866370784299
30,17,12,12,1,0,0,0,84.45542985612448
42,13,14,9,1,1,1,0,94.45002957732932
38,27,3,19,1,0,0,0,99.39584874760668
36,23,11,12,1,0,1,1,100.30748530704172
32,16,9,16,0,1,1,1,96.20355356430372
30,22,11,27,0,1,0,1,96.57642889922504
33,21,12,5,1,0,0,0,87.17879815076924
40,6,9,18,1,1,1,0,90.57847745978418
31,16,6,14,1,1,1,1,95.43222375879496
33,10,8,13,0,1,0,0,85.01647734234533
35,21,10,9,0,1,1,0,91.3866259593506
23,16,9,14,1,0,0,1,84.6862062355448
32,6,9,16,0,0,0,0,84.52507793700396
24,6,14,17,1,1,0,1,83.32083619732545
23,27,8,11,0,1,1,1,88.72756949396965
26,20,12,0,0,0,1,1,90.29027481569275
20,32,8,17,1,1,1,0,77.84318358750289
32,16,8,17,1,1,0,0,86.53333866146897
38,17,7,4,1,0,1,0,91.28559933795732
32,21,9,19,1,1,0,0,90.24109042264934
26,13,10,15,0,1,1,0,81.77444204189707
37,11,10,12,0,1,1,1,99.46721690434664
45,24,4,16,1,1,0,0,103.161916717487
27,24,4,13,1,0,0,0,84.08498976332778
26,36,13,8,1,0,1,1,92.0085273118513
34,16,9,13,1,0,0,0,89.4757971335236
23,20,9,15,1,1,1,0,79.24151508143169
31,18,3,19,0,1,0,1,97.87239019413636
22,29,12,12,0,1,1,1,87.88376397401856
33,24,8,11,1,1,1,0,90.98386145667487
26,28,5,14,0,1,0,0,84.6156570285558
34,23,6,10,0,1,1,1,99.69720980941683
18,28,11,15,0,1,1,1,85.05294221881117
26,22,10,20,0,0,0,1,90.20670103383316
30,28,10,6,1,1,1,1,97.32459022240336
40,18,15,17,1,1,1,0,95.24354176943314
26,19,4,15,1,0,1,1,90.2481200599305
31,20,12,14,0,0,0,1,94.29974299388768
36,30,11,8,1,0,0,1,103.73305142586167
23,25,10,17,0,1,1,1,91.6444851937112
38,33,11,12,0,0,1,1,107.7089362425338
26,28,12,12,0,1,1,1,91.85576538185688
26,24,10,18,1,0,0,1,93.21799911417573
30,19,13,9,0,0,0,1,92.4214414801535
28,15,8,10,1,0,0,1,90.24342101732093
32,19,15,14,0,1,1,1,95.97988151454732
21,27,9,14,1,1,1,0,80.49596776184009
28,16,8,13,1,1,1,0,82.73591404565835
39,23,9,8,0,0,1,1,103.71982498905724
31,18,14,24,1,0,0,1,94.329458167534
28,19,8,21,1,0,0,1,94.70948320800446
27,35,9,19,0,1,1,1,96.35173922080324
20,14,9,17,0,1,1,0,74.87166717969274
26,20,10,12,0,1,1,1,90.53359333895872
35,20,6,13,1,0,0,1,100.2354904637862
30,22,9,15,1,0,1,1,96.65382996560588
40,24,7,6,1,1,1,0,98.87335181485294
51,15,9,14,1,0,1,0,105.70036977085184
32,20,6,23,1,0,0,0,90.62650651663157
35,16,8,20,0,0,1,0,89.73404550107544
24,14,9,7,0,1,1,1,84.50056586334954
52,20,5,14,1,0,1,0,109.66933052851256
37,14,9,11,1,1,1,0,91.40448165618868
31,23,9,15,1,0,0,0,87.93897979074715
16,21,10,20,0,0,1,1,82.30274962773161
27,23,5,19,1,1,1,0,85.02722461761084
23,18,11,16,1,0,0,1,86.72651167274321
27,11,10,12,1,1,1,0,79.54937452608637
18,25,6,16,0,0,1,1,85.67108169838876
38,13,15,14,0,0,1,1,98.81771633722758
31,18,5,22,1,0,1,0,89.05892837234481
27,21,13,13,1,1,1,1,91.183133921606
26,12,11,11,0,1,1,0,78.15765743956987
33,23,11,15,1,0,0,1,98.08896287809954
27,14,6,18,1,0,1,0,80.49325364610687
27,18,11,9,1,1,0,0,81.09912382765731
49,10,7,10,1,0,1,0,102.24254819604477
19,27,10,14,1,0,1,1,85.53550831476886
34,15,6,12,0,1,1,0,89.49953506496465
31,17,15,6,0,1,0,0,83.81422073074998
26,17,11,6,0,0,1,1,88.5670651087159
31,20,9,15,1,0,0,0,87.34171756326623
27,14,12,6,0,1,1,1,87.43905137413769
23,26,13,10,1,1,1,1,89.63288583728072
29,12,10,12,0,1,1,1,91.09886128726896
24,15,8,9,0,1,1,1,86.14403404991657
34,33,7,15,1,1,1,0,94.19106592955978
32,26,11,3,1,1,1,0,88.52986084937434
27,13,6,14,1,0,1,0,80.86328203532614
32,18,10,19,1,0,1,1,96.4185237590582
28,23,6,11,1,1,1,0,83.83183326714271
39,21,6,14,1,0,0,1,103.8192964637238
17,19,6,16,0,1,1,1,83.01277617421631
42,18,8,16,1,1,1,0,96.7411634845749
17,15,15,24,1,1,1,1,78.34995534276078
23,27,7,11,0,0,1,1,91.2722301879584
31,21,14,12,1,0,0,1,94.4963110286012
31,13,7,4,0,1,1,1,93.86999777662668
43,14,13,22,1,1,1,0,96.57742219558
21,18,10,12,0,1,0,1,86.20817353218503
35,18,7,12,0,1,0,0,90.43394882443276
20,18,9,4,1,1,0,0,74.35341575204532
24,19,11,11,1,1,1,0,79.04492141556705
29,12,10,7,1,1,1,0,83.18317351034861
12,27,6,21,1,0,0,0,70.21143428238605
25,12,8,10,0,1,1,0,78.30421626463728
35,26,16,18,1,0,0,1,100.8471896062458
34,18,9,5,1,1,1,0,87.7092528728235
23,13,10,5,1,1,0,0,73.62652995959974
14,26,8,9,1,1,1,1,80.61812330207711
45,16,10,18,1,1,0,0,100.62943936649752
25,25,5,14,1,1,1,0,82.33006050863318
29,18,9,12,1,0,1,1,93.24213193518028
31,22,6,13,1,0,0,0,86.62925631403587
41,18,5,12,1,0,1,0,97.11164575079265
30,11,8,19,1,1,1,1,91.989960173379
32,16,11,8,1,1,0,0,87.335519389119
25,14,5,12,0,1,0,1,89.55297054714079
21,20,9,15,1,0,0,1,85.15982324653176
34,24,9,18,0,1,0,1,102.44725939573318
31,18,10,13,1,1,1,0,87.46199865012042
17,21,11,15,1,0,1,1,81.59427605766592
32,24,9,18,1,0,0,0,89.6118204846366
24,22,3,7,0,1,1,1,90.0805592709512
25,30,13,17,0,1,1,1,91.50862657470914
27,22,6,13,1,0,1,1,92.80169388651518
29,20,10,12,0,1,0,0,83.32172859819764
36,20,7,12,1,1,1,1,100.64389719072966
42,14,8,14,1,1,1,0,95.65600932421115
30,28,13,12,0,1,1,1,94.67618356726558
24,15,14,9,1,1,1,1,84.66032786937407
35,13,8,12,0,1,1,0,89.83346630662633
17,19,6,13,0,0,1,1,82.77025432133875
28,8,9,16,0,1,1,0,80.94998496674434
39,18,8,14,1,1,1,0,95.75056391116978
24,8,11,12,1,1,1,0,75.71558426875151
36,18,13,7,0,1,0,1,97.25696568698793
27,24,5,16,1,1,0,0,85.58869139935787
37,15,10,11,0,0,1,1,97.79562806301556
25,22,7,15,1,1,1,0,82.52213024658542
42,20,9,22,1,1,0,0,101.12871430405416
22,18,9,11,1,1,0,0,75.0348118321116
19,26,9,14,0,0,1,1,85.32218376167359
36,18,16,18,1,0,1,1,100.00468931145431
12,20,10,7,1,1,1,1,76.018042506618
39,8,11,16,0,1,1,1,100.55027204788928
33,20,5,11,0,1,1,1,99.37732894036122
35,21,12,10,0,1,1,0,91.22016716419918
27,32,8,10,1,0,1,1,94.66274231496952
23,20,14,8,0,0,0,1,86.99448465125886
37,26,8,14,1,1,0,0,95.20697160304108
21,15,13,19,0,0,1,1,84.0614582116538
34,9,11,17,1,1,0,0,86.26203349371072
24,18,9,16,1,0,1,1,88.73107988635299
32,19,13,15,1,0,1,1,94.29208529434872
23,11,6,3,1,1,1,1,83.50716133420092
19,14,2,8,1,0,0,0,74.86585383943486
19,32,15,20,0,0,1,1,85.26794642083783
37,18,11,15,1,0,0,1,100.27427083753254
32,6,6,12,1,1,0,1,93.9221502471114
11,21,9,12,1,1,0,0,67.82227836502483
44,14,5,12,1,1,1,0,99.24024380169551
40,7,8,16,0,1,1,0,92.06989268794018
31,20,9,16,1,0,1,0,87.81428737318714
37,18,12,18,1,1,0,1,101.42121822384053
35,16,5,16,1,0,0,0,92.25200600490793
29,15,9,7,1,0,1,1,90.59018076516084
42,11,12,19,1,1,0,0,95.1762186010907
28,25,12,13,1,1,1,0,86.03941120085436
34,21,12,18,1,0,1,1,99.5282376866646
37,21,9,17,1,1,0,0,92.50646902560024
33,25,15,14,1,1,1,1,97.61238819389357
42,22,15,13,1,0,0,1,107.221597585027
38,22,12,8,0,0,1,1,103.2466256398033
43,26,11,15,1,1,0,0,100.29568807947854
15,20,8,20,0,0,0,0,73.1744667442324
20,24,9,19,1,0,1,1,86.6736971513195
37,21,11,1,0,1,1,1,100.68314334032664
27,24,9,18,1,1,0,0,85.52750389754587
33,25,11,8,1,1,0,0,88.92392960557838
25,23,9,13,0,0,1,1,88.77201288974759
22,28,13,15,1,1,1,1,89.36201187891002
24,17,8,14,1,1,0,0,78.64328111046301
32,25,16,16,1,0,1,1,96.25531474939912
16,12,15,12,1,0,1,1,76.17454648457291
32,22,8,16,0,1,0,0,88.26086469870073
36,22,11,5,0,1,0,0,92.88052116915466
44,21,8,9,1,0,1,0,99.75221404420336
34,19,14,9,1,0,0,1,95.42363079250238
25,22,5,8,0,1,0,0,82.05773377308667
43,23,10,12,1,1,0,0,97.83698692879236
29,17,14,13,0,1,0,0,82.98300335672373
27,30,11,14,0,1,1,1,94.62839667871953
31,40,12,15,0,1,1,1,103.38489706385258
47,16,9,14,0,1,1,0,102.302890837327
23,30,7,11,1,1,0,0,82.78138181183829
15,22,12,13,1,1,0,0,71.6123225306849
15,12,9,9,1,0,1,1,76.05394604873274
24,22,9,11,0,1,1,1,88.74245736754607
26,18,9,17,1,1,1,0,82.41501212595684
30,23,9,7,1,0,0,1,96.01178800471564
28,7,6,6,1,1,1,0,79.42257535184976
20,25,12,10,1,0,1,1,83.90177616012414
48,6,9,15,1,1,0,0,99.79998564155038
46,26,16,21,1,1,0,0,104.00936945712252
36,36,8,7,0,1,1,1,105.11265659011951
41,16,8,3,0,1,0,0,96.96419815361962
30,10,9,17,0,1,0,0,82.3769363000848
40,20,11,18,1,1,0,0,95.3743117437738
24,21,12,13,1,1,1,0,79.73038360304405
27,8,14,10,0,1,1,1,85.36408158126241
19,17,13,20,1,0,1,1,81.93911091054974
20,24,10,17,0,0,1,0,76.31836670874588
32,19,9,5,1,1,0,0,87.91370856209157
20,23,9,14,1,1,1,0,76.9971654494163
31,23,9,11,0,0,0,1,95.95468224191016
23,15,5,12,1,1,1,0,77.63300055083914
18,14,14,15,1,0,1,1,79.82183697618328
12,11,14,14,1,0,1,1,71.7816090659915
22,18,9,12,1,1,1,0,74.88805309610811
27,17,3,8,1,1,0,0,82.11575344578553
26,24,10,13,1,1,0,0,82.12160389319776
33,21,12,15,1,1,0,0,87.73514769025861
33,15,8,19,1,0,1,0,88.51232369518691
24,26,7,15,1,1,0,0,82.6177331307664
18,8,9,7,1,1,0,0,71.11377601928379
33,18,10,4,0,1,1,1,95.0889969052325
35,9,14,21,1,0,1,1,95.73762901064572
32,25,10,12,1,0,1,0,89.02191910719466
20,14,12,25,1,0,0,1,83.82134718765215
31,18,10,12,0,0,0,1,96.0550762744846
21,24,7,17,1,1,0,0,82.23906487372992
54,22,12,5,1,1,1,1,117.91406988863504
40,18,11,11,1,1,1,0,93.5777006704761
32,13,8,21,1,1,0,0,86.43650089231242
34,23,11,13,1,1,0,1,98.7756606099565
38,14,10,12,1,1,1,1,98.90718631506128
33,18,10,3,1,1,0,0,89.19141226032752
37,4,9,14,0,1,1,0,88.60941557435733
23,17,6,13,1,1,1,0,78.73917738678178
23,24,8,6,1,0,1,1,89.3412263307611
25,18,9,11,1,0,1,1,89.92374518280705
36,23,9,7,1,0,0,1,101.13896660322696
30,16,7,13,1,0,1,0,86.6900185728994
33,20,10,12,0,0,1,1,97.20334372704
36,17,14,14,1,0,0,1,97.54755577889128
32,29,6,27,0,1,0,0,94.50468668085894
36,16,7,23,1,0,0,1,100.64920978941645
35,30,8,10,1,0,0,0,93.05327594006673
20,18,11,11,1,0,1,1,81.7222525269228
27,20,11,20,1,1,0,1,91.16255640785684
43,15,9,26,0,1,0,0,100.01411625513008
26,23,11,19,1,0,0,0,82.99817152470821
26,25,10,12,1,1,1,0,82.76335200279443
29,29,11,12,1,1,1,1,95.66194977693009
39,22,7,14,0,1,1,1,107.04152583779336
32,16,12,18,0,0,0,1,95.57910913884824
16,29,7,7,1,1,1,0,73.54382159598124
33,16,9,17,0,1,0,1,97.53880049991274
25,2,10,11,1,1,0,0,74.49320130822136
24,19,6,11,1,0,0,1,88.01442285042161
30,9,9,15,1,1,1,0,81.75716970271066
34,13,13,10,0,1,0,1,94.90549976044406
25,11,8,11,1,1,0,0,77.84865970232214
31,12,11,14,1,0,1,1,92.19123663069998
33,29,13,20,1,1,0,0,91.29413520741332
37,22,5,17,0,1,1,0,95.58234987974812
39,13,10,13,1,1,1,1,100.67548767568375
31,24,4,5,0,1,1,0,88.78801375638501
34,25,6,10,1,0,0,1,99.50684043576445
36,22,14,21,0,0,0,1,100.12431886656354
22,24,11,8,1,1,1,1,87.2609823146626
28,17,7,16,0,0,1,1,92.374571764452
32,19,9,24,1,1,1,0,87.7316330747805
15,26,6,7,1,1,1,0,71.68253181517855
24,33,9,22,0,0,1,1,93.8319565685209
35,22,18,15,0,0,1,1,98.10979195444398
30,18,8,5,0,1,1,0,84.87264823876502
34,21,6,7,0,1,1,0,90.61042932234268
21,16,6,16,0,1,1,0,77.30303220997085
33,18,14,18,0,1,0,1,96.35094357422834
20,10,9,7,1,1,1,0,68.1825538420471
30,25,8,11,0,1,1,0,89.55477689183562
35,21,12,15,0,1,0,1,102.51698754673592
30,23,14,18,1,1,1,0,84.43938183231703
21,25,6,17,1,1,1,1,88.58203753471825
16,31,10,4,1,1,0,0,74.47412648916091
37,27,7,12,1,1,1,0,96.66830011904172
31,19,10,5,1,1,0,0,87.64187340512409
27,23,14,18,1,1,0,0,83.2608728081937
25,16,10,13,0,1,0,0,79.36038072178208
30,3,8,16,1,1,1,0,80.11745355550755
32,29,12,9,0,0,1,1,97.22792414988191
25,18,10,13,0,0,1,1,88.70060301670026
18,19,5,19,1,0,1,0,76.04066922162265
27,19,12,8,1,0,0,1,89.60229163822346
30,12,10,19,1,1,1,0,83.55349405461371
25,8,9,17,0,1,1,1,86.3314839089227
34,22,6,11,1,1,0,0,90.496734239245
25,17,14,13,1,1,1,0,78.18846460078551
39,23,5,10,1,0,1,0,96.79761853948382
10,18,5,6,1,1,1,0,67.17814790141442
28,12,13,13,0,1,1,1,89.91286280476645
29,30,9,10,1,1,1,1,97.29330672628006
36,18,12,17,1,1,0,0,89.61338446819653
34,12,8,7,1,1,1,1,94.72840414496082
26,14,8,17,1,1,1,0,80.22380955452108
26,29,8,14,0,0,1,1,94.09159995604443
47,19,4,16,0,0,1,1,113.6561594585408
43,14,13,13,1,1,1,0,96.79959931152668
30,12,10,19,1,0,0,0,84.32580716042894
30,22,12,16,1,1,1,0,86.16823763649992
49,27,12,11,1,1,1,0,106.6101789992468
21,18,8,25,1,1,1,1,86.37594576849446
34,20,11,11,0,0,1,1,96.9128714855441
42,27,11,7,1,1,1,0,100.93761799254756
29,27,8,10,1,0,1,1,94.29517558542976
24,33,10,16,1,1,1,1,92.93142368442518
34,19,5,20,1,0,0,0,90.26578758673794
37,23,5,5,0,0,0,0,96.5501951995143
35,9,10,16,1,1,1,0,87.71798728958905
28,24,6,15,1,1,1,0,86.87457692742119
52,12,13,6,0,0,1,1,112.05452642434808
21,20,6,14,0,1,0,1,84.47750305986008
23,18,9,13,0,1,1,0,77.72758241951314
27,16,5,11,0,1,1,1,91.21841542387884
37,20,8,14,1,0,1,1,104.55806295920232
33,19,13,11,1,1,1,0,87.07460831061871
29,20,14,24,1,0,1,1,93.62013290069166
35,17,10,2,1,1,0,0,87.46680428979226
43,22,12,9,1,1,1,0,98.49845066067498
36,8,6,9,0,1,1,1,97.07086537683216
30,16,10,9,0,1,1,1,91.33004703920962
20,18,9,15,0,1,1,1,83.87017934648449
38,13,10,13,1,0,1,1,101.55124505721716
24,26,3,15,1,1,0,0,82.24375640226305
33,23,9,14,0,1,1,1,99.48139406076098
33,20,13,13,1,1,1,1,97.54642287823803
21,13,7,11,0,1,0,1,82.35283003483111
20,22,12,7,0,0,0,1,83.20152708567366
40,23,7,11,1,0,1,0,96.98344493354224
12,8,8,11,0,1,1,1,71.76560027959242
25,32,10,7,0,1,1,1,91.62938182018918
30,24,10,10,0,0,1,1,97.23236374554077
49,25,7,20,1,1,0,0,110.60691124285792
29,25,8,18,1,1,0,1,96.74774911042456
26,19,9,9,1,1,1,0,80.34410825423751
28,32,8,9,1,0,1,0,87.04434593708257
20,22,11,13,1,1,1,1,84.00157638141613
22,13,10,18,1,1,0,0,76.42364465014398
39,25,11,14,1,1,1,0,94.39641155989924
26,19,10,21,1,1,1,0,80.86230321389196
18,17,14,13,0,1,1,1,81.93427121921916
40,25,10,12,0,0,0,0,97.54752195572804
28,26,8,17,0,1,0,1,95.98315043066532
43,15,16,7,1,1,1,1,103.42569310002897
29,15,9,12,0,1,1,1,92.74787328519464
29,19,11,6,0,1,1,0,84.43654694229056
29,22,5,13,0,1,1,0,89.40761269051814
29,17,10,14,1,1,1,0,84.3128991679169
23,28,4,23,1,0,1,1,93.03591442976354
28,-1,5,3,0,1,1,0,78.46161673482099
49,30,8,21,1,0,1,1,119.18157775570054
33,20,11,11,1,1,0,0,87.90056343123759
33,14,11,17,0,1,0,1,96.5137684957297
32,13,6,9,1,0,1,0,87.39812264219712
32,25,8,15,1,1,0,0,89.08149667198613
16,21,7,13,0,0,0,1,81.79329928533693
36,24,6,18,1,1,1,0,93.79061523653372
32,17,7,17,1,1,0,1,94.47766003202706
22,31,11,10,0,1,1,1,89.42382201674862
24,19,10,14,0,0,1,1,88.3846364392041
24,16,13,26,0,1,1,1,88.20785308234575
21,22,6,14,1,1,0,0,78.89908698781038
35,24,12,17,0,0,1,1,101.11931362458152
34,16,12,9,1,0,1,1,94.93213290612836
26,18,15,10,1,1,0,0,79.13872942357747
25,27,17,16,0,1,1,1,91.20272329021498
51,28,8,11,1,1,1,0,109.1635772567418
22,19,9,15,1,1,0,0,77.93157123963371
34,22,5,18,1,1,1,0,90.64999033268111
29,28,9,17,0,1,1,0,88.37612161302506
21,21,12,11,1,1,1,0,75.23136052184601
29,19,11,17,1,1,1,1,93.99851901623802
37,18,9,11,1,0,1,0,91.44090410486922
37,27,8,16,1,0,0,0,96.64810792219716
20,27,9,17,1,1,1,0,77.2996275101119
33,14,10,14,1,1,0,0,87.95451462615857
23,25,10,1,1,0,1,1,88.82772558418428
23,23,14,7,0,1,1,1,87.53298402360987
19,22,7,20,1,1,1,0,76.17017574496876
19,29,10,15,1,1,0,0,76.35442217615713
